source_file,source_name,geni_id,geni_name,source_father,geni_father,matched_by,verdict
samaritan-sources.ged,'Amram /ben Shalma/,I6000000178794999821,Amram VIII /ben Shalma/,Shalma /ben Tabia/,Shalma II /ben Tabia/,name and father agree,AGREE
samaritan-sources.ged,Jacob /ben Aaron/,,,Aaron /ben Shalma/,,,not on Geni
samaritan-sources.ged,Yitzhaq /ben 'Amram/,I6000000178794973832,Yitzhaq II /ben Amram ben Shalma ben Tabia/,'Amram /ben Shalma/,Amram VIII /ben Shalma/,name and father agree,AGREE
samaritan-sources.ged,Matzliach /ben Phinhas/,I6000000178794683854,Matzliach /ben Phinehas ben Yitzhaq ben Shalma/,Phinhas /ben Yitzhaq/,Phinehas,"name only, unique - father differs or is absent",DISAGREE
samaritan-sources.ged,Abisha /ben Phinhas/,,,Phinhas /ben Yitzhaq/,,,not on Geni
samaritan-sources.ged,'Amram /ben Yitzhaq/,I6000000178795370821,Amram /ben Yitzhaq/,Yitzhaq /ben 'Amram/,Yitzhaq,name and father agree,AGREE
samaritan-sources.ged,Asher /ben Matzliach/,I6000000178794680852,Asher /ben Matzliach ben Phinehas/,Matzliach /ben Phinhas/,Matzliach /ben Phinehas ben Yitzhaq ben Shalma/,name and father agree,AGREE
samaritan-sources.ged,Phinhas /ben Matzliach/,,,Matzliach /ben Phinhas/,,,not on Geni
samaritan-sources.ged,Jacob /ben 'Azzi/,,,'Azzi /ben Jacob/,,,not on Geni
samaritan-sources.ged,Yusef /ben Ab-Hisda/,I6000000227238943846,Yusef /Priest of the line of Ithamar/,Ab-Hisda /ben Jacob/,119th generation Samaritan Itamar line /Priest of the line of Ithamar/,"name only, unique - father differs or is absent",DISAGREE
samaritan-sources.ged,Levi /ben Abisha/,I6000000178794757852,Levi VI /ben Abisha ben Phinehas ben Yitzhaq/,Abisha /ben Phinhas/,Abisha III /ben Phinehas ben Yitzhaq ben Shalma/,name and father agree,AGREE
samaritan-sources.ged,Shalom /ben 'Amram/,I6000000178918781824,Shalom I ben Shembet /Samaritan High Priest/,'Amram /ben Yitzhaq/,Shembet ben Bakhi /Samaritan High Priest/,"name only, unique - father differs or is absent",DISAGREE
samaritan-sources.ged,Eleazar /ben Tsedaka/,,,Tsedaka /ben Yitzhaq/,,,not on Geni
samaritan-sources.ged,Aaron /ben Ab-Hisda/,,,Ab-Hisda /ben Jacob/,,,not on Geni
samaritan-sources.ged,Eleazar //,,,,,,not on Geni
samaritan-sources.ged,Phinhas /ben Eleazar/,,,Eleazar //,,,not on Geni
samaritan-sources.ged,Shalmaiah /ben Phinhas/,,,Phinhas /ben Eleazar/,,,not on Geni
samaritan-sources.ged,Safar /ben Jacob/,,,,,,not on Geni
samaritan-sources.ged,Ab-Za'uta //,I6000000178795218822,Ab-Hisda,,Yaacob I /ben Aaharon ben Shalma/,"name only, unique",geni only: the source records no father
samaritan-sources.ged,Tsedaka /ben Ab-Za'uta/,,,Ab-Za'uta //,,,not on Geni
samaritan-sources.ged,Tabia /ben Ab-Za'uta/,,,Ab-Za'uta //,,,not on Geni
samaritan-sources.ged,Marchiv //,,,,,,not on Geni
samaritan-sources.ged,Abraham /ben Marchiv/,,,Marchiv //,,,not on Geni
samaritan-sources.ged,Yefet /ben Abraham/,,,Abraham /ben Marchiv/,,,not on Geni
samaritan-sources.ged,Batia /bat Yefet/,,,Yefet /ben Abraham/,,,not on Geni
samaritan-sources.ged,Shelach //,,,,,,not on Geni
samaritan-sources.ged,Asher /ben Shelach/,I6000000178794680852,Asher /ben Matzliach ben Phinehas/,Shelach //,Matzliach /ben Phinehas ben Yitzhaq ben Shalma/,"name only, unique - father differs or is absent",DISAGREE
samaritan-sources.ged,Benyamim //,,,Shelach //,,,not on Geni
samaritan-sources.ged,Ratson /ben Benyamim/,,,Benyamim //,,,not on Geni
samaritan-sources.ged,Benyamim /ben Ratson/,,,Ratson /ben Benyamim/,,,not on Geni
samaritan-sources.ged,Yefet /ben Ratson/,,,Ratson /ben Benyamim/,,,not on Geni
samaritan-sources.ged,Gamliel //,,,,,,not on Geni
samaritan-sources.ged,Yisrael /ben Gamliel/,,,Gamliel //,,,not on Geni
samaritan-sources.ged,Nor //,,,,,,not on Geni
samaritan-sources.ged,Abraham /ben Nor/,,,Nor //,,,not on Geni
samaritan-sources.ged,Arieh Nimr Yisaschar /ben Shalma/,,,,,,not on Geni
samaritan-sources.ged,Ab-Sikuwwa //,I6000000178795218822,Ab-Hisda,,Yaacob I /ben Aaharon ben Shalma/,"name only, unique",geni only: the source records no father
samaritan-sources.ged,Yishmael /ben Ab-Sikuwwa/,,,Ab-Sikuwwa //,,,not on Geni
samaritan-sources.ged,Amshallemaa /ben Ab-Sikuwwa/,,,Ab-Sikuwwa //,,,not on Geni
samaritan-sources.ged,Jacob /Hadinfi/,,,,,,not on Geni
samaritan-sources.ged,'Abed Hanuna /ben Jacob Hadinfi/,I6000000227238923834,'Abed Ela ben Shalma /President of the House of 'Abtah/,Jacob /Hadinfi/,Shalma /Priest of the line of Ithamar/,"name only, unique - father differs or is absent",DISAGREE
samaritan-sources.ged,Sadaqa /ben Jacob/,,,Jacob /Hadinfi/,,,not on Geni
samaritan-sources.ged,Ta'or /ben Jacob/,,,,,,not on Geni
samaritan-sources.ged,Ab-Sikkuwwa /ben Saed Hadinfi/,I6000000178795218822,Ab-Hisda,,Yaacob I /ben Aaharon ben Shalma/,"name only, unique",geni only: the source records no father
samaritan-sources.ged,Abraham //,,,,,,not on Geni
samaritan-sources.ged,Marchiv /ben Abraham/,,,Abraham //,,,not on Geni
samaritan-sources.ged,Yehoshua /ben Abraham/,,,Abraham //,,,not on Geni
samaritan-sources.ged,Yusef /ben Yehoshua/,I6000000227238943846,Yusef /Priest of the line of Ithamar/,Yehoshua /ben Abraham/,119th generation Samaritan Itamar line /Priest of the line of Ithamar/,"name only, unique - father differs or is absent",DISAGREE
samaritan-sources.ged,Marchiv /ben Jacob ben Yusef/,,,,,,not on Geni
samaritan-sources.ged,Abraham /ben Yashishakar/,,,,,,not on Geni
samaritan-sources.ged,Abraham /ben Marchiv Hamarchivi/,,,,,,not on Geni
samaritan-sources.ged,Nethanel /ben Abraham/,,,,,,not on Geni
samaritan-sources.ged,Itamar /ben Aaron/,I6000000178916459851,Itamar ben Aaron ben Itamar /Samaritan High Priest/,Aaron /ben Amram/,Aaron ben Itamar,name and father agree,AGREE
samaritan-itamar-spine.ged,Itamar /ben Aaron/,,,,,,not on Geni
samaritan-itamar-spine.ged,11th generation Samaritan Itamar line //,I6000000227239238835,11th generation Samaritan Itamar line,10th generation Samaritan Itamar line //,10th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,101st generation Samaritan Itamar line //,I6000000227239015840,101st generation Samaritan Itamar line,100th generation Samaritan Itamar line //,100th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,102nd generation Samaritan Itamar line //,I6000000227239025835,102nd generation Samaritan Itamar line,101st generation Samaritan Itamar line //,101st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,103rd generation Samaritan Itamar line //,I6000000227239055827,103rd generation Samaritan Itamar line,102nd generation Samaritan Itamar line //,102nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,104th generation Samaritan Itamar line //,I6000000227239088826,104th generation Samaritan Itamar line,103rd generation Samaritan Itamar line //,103rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,105th generation Samaritan Itamar line //,I6000000227239096822,105th generation Samaritan Itamar line,104th generation Samaritan Itamar line //,104th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,106th generation Samaritan Itamar line //,I6000000227239088821,106th generation Samaritan Itamar line,105th generation Samaritan Itamar line //,105th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,107th generation Samaritan Itamar line //,I6000000227238985823,107th generation Samaritan Itamar line,106th generation Samaritan Itamar line //,106th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,108th generation Samaritan Itamar line //,I6000000227238824861,108th generation Samaritan Itamar line,107th generation Samaritan Itamar line //,107th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,109th generation Samaritan Itamar line //,I6000000227238943864,109th generation Samaritan Itamar line,108th generation Samaritan Itamar line //,108th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,110th generation Samaritan Itamar line //,I6000000227238926867,110th generation Samaritan Itamar line,109th generation Samaritan Itamar line //,109th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,12th generation Samaritan Itamar line //,I6000000227239320823,12th generation Samaritan Itamar line,11th generation Samaritan Itamar line //,11th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,111th generation Samaritan Itamar line //,I6000000227238920860,111th generation Samaritan Itamar line,110th generation Samaritan Itamar line //,110th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,112th generation Samaritan Itamar line //,I6000000227239013841,112th generation Samaritan Itamar line,111th generation Samaritan Itamar line //,111th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,113th generation Samaritan Itamar line //,I6000000227238916841,113th generation Samaritan Itamar line,112th generation Samaritan Itamar line //,112th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,114th generation Samaritan Itamar line //,I6000000227238905855,114th generation Samaritan Itamar line,113th generation Samaritan Itamar line //,113th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,115th generation Samaritan Itamar line //,I6000000227238932829,115th generation Samaritan Itamar line,114th generation Samaritan Itamar line //,114th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,116th generation Samaritan Itamar line //,I6000000227238950858,116th generation Samaritan Itamar line,115th generation Samaritan Itamar line //,115th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,Shalma //,I6000000227239037826,Shalma /Priest of the line of Ithamar/,116th generation Samaritan Itamar line //,116th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,'Abed Ela /ben Shalma/,I6000000227238923834,'Abed Ela ben Shalma /President of the House of 'Abtah/,Shalma //,Shalma /Priest of the line of Ithamar/,name and father agree,AGREE
samaritan-itamar-spine.ged,119th generation Samaritan Itamar line //,I6000000227238930836,119th generation Samaritan Itamar line /Priest of the line of Ithamar/,'Abed Ela /ben Shalma/,'Abed Ela ben Shalma /President of the House of 'Abtah/,name and father agree,AGREE
samaritan-itamar-spine.ged,Yusef //,I6000000227238943846,Yusef /Priest of the line of Ithamar/,119th generation Samaritan Itamar line //,119th generation Samaritan Itamar line /Priest of the line of Ithamar/,name and father agree,AGREE
samaritan-itamar-spine.ged,13th generation Samaritan Itamar line //,I6000000227239346821,13th generation Samaritan Itamar line,12th generation Samaritan Itamar line //,12th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,Tabia /ha'Abta'i/,I6000000220294810877,Tabia /ha'Åbtå'i/,Yusef //,Yusef /Priest of the line of Ithamar/,name and father agree,AGREE
samaritan-itamar-spine.ged,14th generation Samaritan Itamar line //,I6000000227238783019,14th generation Samaritan Itamar line,13th generation Samaritan Itamar line //,13th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,15th generation Samaritan Itamar line //,I6000000227239197887,15th generation Samaritan Itamar line,14th generation Samaritan Itamar line //,14th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,16th generation Samaritan Itamar line //,I6000000227239226833,16th generation Samaritan Itamar line,15th generation Samaritan Itamar line //,15th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,17th generation Samaritan Itamar line //,I6000000227239101920,17th generation Samaritan Itamar line,16th generation Samaritan Itamar line //,16th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,18th generation Samaritan Itamar line //,I6000000227239131850,18th generation Samaritan Itamar line,17th generation Samaritan Itamar line //,17th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,19th generation Samaritan Itamar line //,I6000000227239237833,19th generation Samaritan Itamar line,18th generation Samaritan Itamar line //,18th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,20th generation Samaritan Itamar line //,I6000000227238891997,20th generation Samaritan Itamar line,19th generation Samaritan Itamar line //,19th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,3rd generation Samaritan Itamar line //,I6000000227239289852,3rd generation Samaritan Itamar line,Itamar /ben Aaron/,Itamar ben Aaron,name and father agree,AGREE
samaritan-itamar-spine.ged,21st generation Samaritan Itamar line //,I6000000227239069889,21st generation Samaritan Itamar line,20th generation Samaritan Itamar line //,20th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,22nd generation Samaritan Itamar line //,I6000000227239178859,22nd generation Samaritan Itamar line,21st generation Samaritan Itamar line //,21st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,23rd generation Samaritan Itamar line //,I6000000227238782981,23rd generation Samaritan Itamar line,22nd generation Samaritan Itamar line //,22nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,24th generation Samaritan Itamar line //,I6000000227239101910,24th generation Samaritan Itamar line,23rd generation Samaritan Itamar line //,23rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,25th generation Samaritan Itamar line //,I6000000227239202836,25th generation Samaritan Itamar line,24th generation Samaritan Itamar line //,24th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,26th generation Samaritan Itamar line //,I6000000227239115912,26th generation Samaritan Itamar line,25th generation Samaritan Itamar line //,25th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,27th generation Samaritan Itamar line //,I6000000227239116868,27th generation Samaritan Itamar line,26th generation Samaritan Itamar line //,26th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,28th generation Samaritan Itamar line //,I6000000227239167839,28th generation Samaritan Itamar line,27th generation Samaritan Itamar line //,27th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,29th generation Samaritan Itamar line //,I6000000227239058893,29th generation Samaritan Itamar line,28th generation Samaritan Itamar line //,28th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,30th generation Samaritan Itamar line //,I6000000227238982995,30th generation Samaritan Itamar line,29th generation Samaritan Itamar line //,29th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,4th generation Samaritan Itamar line //,I6000000227239361822,4th generation Samaritan Itamar line,3rd generation Samaritan Itamar line //,3rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,31st generation Samaritan Itamar line //,I6000000227239197854,31st generation Samaritan Itamar line,30th generation Samaritan Itamar line //,30th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,32nd generation Samaritan Itamar line //,I6000000227238985902,32nd generation Samaritan Itamar line,31st generation Samaritan Itamar line //,31st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,33rd generation Samaritan Itamar line //,I6000000227239101905,33rd generation Samaritan Itamar line,32nd generation Samaritan Itamar line //,32nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,34th generation Samaritan Itamar line //,I6000000227239049857,34th generation Samaritan Itamar line,33rd generation Samaritan Itamar line //,33rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,35th generation Samaritan Itamar line //,I6000000227238914930,35th generation Samaritan Itamar line,34th generation Samaritan Itamar line //,34th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,36th generation Samaritan Itamar line //,I6000000227239248823,36th generation Samaritan Itamar line,35th generation Samaritan Itamar line //,35th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,37th generation Samaritan Itamar line //,I6000000227239203824,37th generation Samaritan Itamar line,36th generation Samaritan Itamar line //,36th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,38th generation Samaritan Itamar line //,I6000000227239198827,38th generation Samaritan Itamar line,37th generation Samaritan Itamar line //,37th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,39th generation Samaritan Itamar line //,I6000000227238949922,39th generation Samaritan Itamar line,38th generation Samaritan Itamar line //,38th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,40th generation Samaritan Itamar line //,I6000000227239119840,40th generation Samaritan Itamar line,39th generation Samaritan Itamar line //,39th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,5th generation Samaritan Itamar line //,I6000000227239290854,5th generation Samaritan Itamar line,4th generation Samaritan Itamar line //,4th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,41st generation Samaritan Itamar line //,I6000000227239175833,41st generation Samaritan Itamar line,40th generation Samaritan Itamar line //,40th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,42nd generation Samaritan Itamar line //,I6000000227239183845,42nd generation Samaritan Itamar line,41st generation Samaritan Itamar line //,41st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,43rd generation Samaritan Itamar line //,I6000000227239119835,43rd generation Samaritan Itamar line,42nd generation Samaritan Itamar line //,42nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,44th generation Samaritan Itamar line //,I6000000227238891974,44th generation Samaritan Itamar line,43rd generation Samaritan Itamar line //,43rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,45th generation Samaritan Itamar line //,I6000000227238824916,45th generation Samaritan Itamar line,44th generation Samaritan Itamar line //,44th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,46th generation Samaritan Itamar line //,I6000000227239260821,46th generation Samaritan Itamar line,45th generation Samaritan Itamar line //,45th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,47th generation Samaritan Itamar line //,I6000000227238985889,47th generation Samaritan Itamar line,46th generation Samaritan Itamar line //,46th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,48th generation Samaritan Itamar line //,I6000000227239197837,48th generation Samaritan Itamar line,47th generation Samaritan Itamar line //,47th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,49th generation Samaritan Itamar line //,I6000000227239040889,49th generation Samaritan Itamar line,48th generation Samaritan Itamar line //,48th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,50th generation Samaritan Itamar line //,I6000000227239167828,50th generation Samaritan Itamar line,49th generation Samaritan Itamar line //,49th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,6th generation Samaritan Itamar line //,I6000000227239303848,6th generation Samaritan Itamar line,5th generation Samaritan Itamar line //,5th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,51st generation Samaritan Itamar line //,I6000000227239037880,51st generation Samaritan Itamar line,50th generation Samaritan Itamar line //,50th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,52nd generation Samaritan Itamar line //,I6000000227238985877,52nd generation Samaritan Itamar line,51st generation Samaritan Itamar line //,51st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,53rd generation Samaritan Itamar line //,I6000000227239012876,53rd generation Samaritan Itamar line,52nd generation Samaritan Itamar line //,52nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,54th generation Samaritan Itamar line //,I6000000227239104852,54th generation Samaritan Itamar line,53rd generation Samaritan Itamar line //,53rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,55th generation Samaritan Itamar line //,I6000000227239174826,55th generation Samaritan Itamar line,54th generation Samaritan Itamar line //,54th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,56th generation Samaritan Itamar line //,I6000000227238824911,56th generation Samaritan Itamar line,55th generation Samaritan Itamar line //,55th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,57th generation Samaritan Itamar line //,I6000000227239233822,57th generation Samaritan Itamar line,56th generation Samaritan Itamar line //,56th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,58th generation Samaritan Itamar line //,I6000000227239142855,58th generation Samaritan Itamar line,57th generation Samaritan Itamar line //,57th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,59th generation Samaritan Itamar line //,I6000000227239176846,59th generation Samaritan Itamar line,58th generation Samaritan Itamar line //,58th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,60th generation Samaritan Itamar line //,I6000000227239110831,60th generation Samaritan Itamar line,59th generation Samaritan Itamar line //,59th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,7th generation Samaritan Itamar line //,I6000000227238907082,7th generation Samaritan Itamar line,6th generation Samaritan Itamar line //,6th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,61st generation Samaritan Itamar line //,I6000000227239127826,61st generation Samaritan Itamar line,60th generation Samaritan Itamar line //,60th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,62nd generation Samaritan Itamar line //,I6000000227239204824,62nd generation Samaritan Itamar line,61st generation Samaritan Itamar line //,61st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,63rd generation Samaritan Itamar line //,I6000000227239213823,63rd generation Samaritan Itamar line,62nd generation Samaritan Itamar line //,62nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,64th generation Samaritan Itamar line //,I6000000227239152827,64th generation Samaritan Itamar line,63rd generation Samaritan Itamar line //,63rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,65th generation Samaritan Itamar line //,I6000000227238930917,65th generation Samaritan Itamar line,64th generation Samaritan Itamar line //,64th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,66th generation Samaritan Itamar line //,I6000000227238824894,66th generation Samaritan Itamar line,65th generation Samaritan Itamar line //,65th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,67th generation Samaritan Itamar line //,I6000000227239176834,67th generation Samaritan Itamar line,66th generation Samaritan Itamar line //,66th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,68th generation Samaritan Itamar line //,I6000000227239099870,68th generation Samaritan Itamar line,67th generation Samaritan Itamar line //,67th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,69th generation Samaritan Itamar line //,I6000000227239104836,69th generation Samaritan Itamar line,68th generation Samaritan Itamar line //,68th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,70th generation Samaritan Itamar line //,I6000000227238891939,70th generation Samaritan Itamar line,69th generation Samaritan Itamar line //,69th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,8th generation Samaritan Itamar line //,I6000000227239342829,8th generation Samaritan Itamar line,7th generation Samaritan Itamar line //,7th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,71st generation Samaritan Itamar line //,I6000000227238891934,71st generation Samaritan Itamar line,70th generation Samaritan Itamar line //,70th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,72nd generation Samaritan Itamar line //,I6000000227239100826,72nd generation Samaritan Itamar line,71st generation Samaritan Itamar line //,71st generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,73rd generation Samaritan Itamar line //,I6000000227238906971,73rd generation Samaritan Itamar line,72nd generation Samaritan Itamar line //,72nd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,74th generation Samaritan Itamar line //,I6000000227239133822,74th generation Samaritan Itamar line,73rd generation Samaritan Itamar line //,73rd generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,75th generation Samaritan Itamar line //,I6000000227238930891,75th generation Samaritan Itamar line,74th generation Samaritan Itamar line //,74th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,76th generation Samaritan Itamar line //,I6000000227238894907,76th generation Samaritan Itamar line,75th generation Samaritan Itamar line //,75th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,77th generation Samaritan Itamar line //,I6000000227239108835,77th generation Samaritan Itamar line,76th generation Samaritan Itamar line //,76th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,78th generation Samaritan Itamar line //,I6000000227239037863,78th generation Samaritan Itamar line,77th generation Samaritan Itamar line //,77th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,79th generation Samaritan Itamar line //,I6000000227239042863,79th generation Samaritan Itamar line,78th generation Samaritan Itamar line //,78th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,80th generation Samaritan Itamar line //,I6000000227239040856,80th generation Samaritan Itamar line,79th generation Samaritan Itamar line //,79th generation Samaritan Itamar line,name and father agree,AGREE
samaritan-itamar-spine.ged,9th generation Samaritan Itamar line //,I6000000227239069922,9th generation Samaritan Itamar line,8th generation Samaritan Itamar line //,8th generation Samaritan Itamar line,name and father agree,AGREE
