token,bearers,as_given,as_surname,as_married,behaves,patronymic_marker,script,placeholder
Abraham,1219,1142,35,49,both,,Latin,
Elisabeth,1219,1218,1,0,both,,Latin,
III,1218,1160,21,55,both,,Latin,
Juana,1204,1203,0,2,given,,Latin,
González,1199,12,838,945,both,,Latin,
Ann,1191,1191,0,0,given,,Latin,
Isaac,1161,1093,28,45,both,,Latin,
George,1141,1089,37,31,both,,Latin,
Rd.,1116,1112,4,3,both,,Latin,
Ingeborg,1115,1114,0,1,given,,Latin,
Charles,1113,1107,4,3,both,,Latin,
Karen,1097,1096,0,1,given,,Latin,
Raden,1084,1051,24,95,both,,Latin,
Pedersen,1072,678,197,335,both,-sen,Latin,
Richard,1056,1010,31,24,both,,Latin,
Salomon,1040,916,58,87,both,,Latin,
Johannes,1027,1027,0,0,given,,Latin,
ben,1024,333,214,646,both,particle,Latin,
Hansen,1022,503,282,414,both,-sen,Latin,
Martin,1022,728,210,165,both,,Latin,
Castro,1009,15,437,853,both,,Latin,
Jane,1000,1000,0,0,given,,Latin,
Jose,999,999,0,0,given,,Latin,
João,998,994,3,2,both,,Latin,
Cahen,992,0,586,779,surname,,Latin,
Francisca,989,987,1,1,both,,Latin,
Josefa,983,981,2,1,both,,Latin,
Larsson,975,403,418,300,both,-sson,Latin,
Pedersdatter,973,767,166,157,both,-sdatter,Latin,
Erik,965,964,0,1,given,,Latin,
Andersen,957,476,242,378,both,-sen,Latin,
Jeanne,950,950,0,0,given,,Latin,
Fernández,942,20,473,794,both,,Latin,
?,939,748,128,136,both,,none,yes
La,939,124,576,577,both,,Latin,
Margaret,939,939,0,0,given,,Latin,
Moses,924,884,20,28,both,,Latin,
이,922,44,900,12,both,,Hangul,
王,919,7,174,901,both,,Han,
Simon,899,723,88,132,both,,Latin,
김,886,243,880,6,both,,Hangul,
di,881,44,540,521,both,,Latin,
Karl,862,862,0,0,given,,Latin,
Heinrich,849,849,0,0,given,,Latin,
NR.,839,839,0,0,given,,Latin,
Ola,838,838,0,0,given,,Latin,
Gómez,833,52,549,543,both,,Latin,
Larsdatter,831,709,108,85,both,-sdatter,Latin,
Nils,825,824,1,0,both,,Latin,
Teresa,821,819,1,1,both,,Latin,
Andersson,817,225,375,378,both,-sson,Latin,
Hansdatter,810,570,207,165,both,-sdatter,Latin,
Sophie,810,810,0,0,given,,Latin,
García,802,130,486,539,both,,Latin,
Manuel,802,773,10,28,both,,Latin,
Sara,799,798,1,0,both,,Latin,
Diego,796,794,1,2,both,,Latin,
Maren,783,783,0,0,given,,Latin,
松平,776,0,719,737,surname,,Han,
Jens,769,769,0,0,given,,Latin,
Flores,767,25,596,436,both,,Latin,
河南洛陽,766,0,766,1,surname,,Han,
-,754,278,75,439,both,,none,yes
Guillaume,754,754,0,0,given,,Latin,
R.,754,747,5,4,both,,Latin,
Sousa,754,23,203,686,both,,Latin,
Unknown,753,633,133,66,both,,Latin,yes
Pereira,742,22,239,680,both,,Latin,
Catherine,736,736,0,0,given,,Latin,
崔,735,0,55,735,surname,,Han,
Johanna,734,734,0,0,given,,Latin,
Goldschmidt,726,1,369,485,both,,Latin,
Antonia,725,721,2,4,both,,Latin,
Leonor,723,723,0,0,given,,Latin,
盧,720,1,10,719,both,,Han,
Larsen,719,442,144,208,both,-sen,Latin,
Webster,712,31,492,443,both,,Latin,
Carl,699,699,0,0,given,,Latin,
bin,697,569,98,134,both,particle,Latin,
Pangeran,695,681,2,24,both,,Latin,
Martha,693,691,1,1,both,,Latin,
Meyer,691,221,253,337,both,,Latin,
Gonzalez,690,28,532,222,both,,Latin,
Andersdatter,687,449,208,163,both,-sdatter,Latin,
Levy,687,41,374,480,both,,Latin,
Marguerite,680,680,0,0,given,,Latin,
1,675,652,4,19,both,,none,
IV,675,650,7,26,both,,Latin,
Inger,673,673,0,0,given,,Latin,
Jakob,672,668,2,2,both,,Latin,
Johanne,672,672,0,0,given,,Latin,
Jon,670,669,1,1,both,,Latin,
Daniel,669,583,57,59,both,,Latin,
鄭,665,6,101,654,both,,Han,
Nathan,664,543,62,88,both,,Latin,
Miguel,661,635,15,21,both,,Latin,
Wife,660,641,7,17,both,,Latin,
zu,659,21,340,491,both,,Latin,
韋,657,1,34,656,both,,Han,
Jensen,656,366,143,239,both,-sen,Latin,
verch,655,7,464,608,both,,Latin,
Louis,652,651,0,1,given,,Latin,
Edward,647,644,1,2,both,,Latin,
Muhammad,644,588,35,61,both,,Latin,
Oppenheim,638,2,327,443,both,,Latin,
Rasmus,638,638,0,0,given,,Latin,
Olson,632,511,102,75,both,-son,Latin,
Margrethe,627,626,0,1,given,,Latin,
Silva,624,20,228,571,both,,Latin,
Afonso,621,414,85,209,both,,Latin,
Hannah,619,619,0,0,given,,Latin,
López,617,15,375,494,both,,Latin,
張,617,7,262,600,both,,Han,
Mendoza,615,6,307,528,both,,Latin,
Marta,612,612,0,0,given,,Latin,
Rodríguez,612,8,435,467,both,,Latin,
Andreas,609,609,0,0,given,,Latin,
Al-Husayni,608,1,471,607,both,,Latin,
Warren,604,68,411,431,both,,Latin,
京兆長安,603,0,603,0,surname,,Han,
mac,602,169,284,403,both,particle,Latin,
Alice,601,601,0,0,given,,Latin,
ab,600,6,245,592,both,,Latin,
Niels,598,594,0,4,given,,Latin,
Albert,597,595,2,2,both,,Latin,
Rodrigues,597,75,214,471,both,,Latin,
Bernheim,595,1,359,425,both,,Latin,
Agnes,593,593,0,0,given,,Latin,
Borjigin,591,0,50,543,surname,,Latin,
e,591,24,237,469,both,,Latin,
Julius,588,586,1,1,both,,Latin,
Pease,588,7,374,480,both,,Latin,
Ruiz,582,21,371,343,both,,Latin,
Benjamin,580,521,43,37,both,,Latin,
dynasty,571,2,57,513,both,,Latin,
Борджигин,569,2,561,61,both,,Cyrillic,
Berta,566,565,0,1,given,,Latin,
Mas,564,546,5,23,both,,Latin,
the,561,173,133,319,both,,Latin,
King,556,197,69,324,both,,Latin,
Nielsen,553,291,119,215,both,-sen,Latin,
Alexander,552,472,32,60,both,,Latin,
Catalina,552,552,0,0,given,,Latin,
Pérez,549,13,306,451,both,,Latin,
Otto,548,545,2,3,both,,Latin,
Jensdatter,547,388,108,117,both,-sdatter,Latin,
Sánchez,543,11,312,459,both,,Latin,
Friedrich,540,540,0,0,given,,Latin,
Swetland,540,7,453,384,both,,Latin,
2,538,514,6,18,both,,none,
邱,538,1,415,506,both,,Han,
R,536,532,1,15,both,,Latin,
Lévy,534,8,229,362,both,,Latin,
Von,533,70,326,314,both,,Latin,
Garcia,532,131,283,171,both,,Latin,
Christian,524,515,4,6,both,,Latin,
Marcus,523,501,9,17,both,,Latin,
Rosa,523,501,14,22,both,,Latin,
譚,521,22,486,496,both,,Han,
Brita,519,519,0,0,given,,Latin,
Luis,515,513,1,1,both,,Latin,
Mathilde,515,514,1,1,both,,Latin,
Louise,514,514,0,0,given,,Latin,
Katz,512,9,246,346,both,,Latin,
劉,512,1,292,490,both,,Han,
Fernando,509,509,0,0,given,,Latin,
Esther,506,506,1,0,both,,Latin,
Wolf,505,414,36,64,both,,Latin,
Of,504,419,28,80,both,,Latin,
Emma,503,502,0,1,given,,Latin,
Rachel,503,503,0,0,given,,Latin,
Ratu,503,501,2,3,both,,Latin,
Johann,501,501,0,0,given,,Latin,
Rasmusdatter,498,454,57,26,both,-sdatter,Latin,
Knut,497,497,0,0,given,,Latin,
h.,496,24,393,247,both,,Latin,
Gonçalves,492,80,134,415,both,,Latin,
Gabriel,490,480,5,7,both,,Latin,
Chan,487,6,112,477,both,,Latin,
Rodriguez,487,13,348,189,both,,Latin,
Stangeland,486,3,307,336,both,,Latin,
Gomes,484,140,109,335,both,,Latin,
Mayer,484,209,144,181,both,,Latin,
Alfred,483,483,0,0,given,,Latin,
Nilsson,483,236,127,193,both,-sson,Latin,
Zēng,483,2,283,470,both,,Latin,
Alonso,482,401,40,72,both,,Latin,
Peter,482,481,0,1,given,,Latin,
Kari,479,479,2,0,both,,Latin,
ibn,479,168,144,291,both,particle,Latin,
Hirsch,478,281,91,132,both,,Latin,
Aron,477,283,108,132,both,,Latin,
Eriksson,473,70,252,260,both,-sson,Latin,
Kirsten,472,472,0,0,given,,Latin,
Catarina,471,471,0,0,given,,Latin,
Henriette,469,469,0,0,given,,Latin,
Burnham,468,17,327,284,both,,Latin,
Eriksdatter,465,377,65,55,both,-sdatter,Latin,
Jonsdatter,465,402,71,47,both,-sdatter,Latin,
Caroline,463,463,0,0,given,,Latin,
Per,462,461,0,1,given,,Latin,
Charlotte,459,459,0,0,given,,Latin,
Pierre,456,447,7,10,both,,Latin,
Treviño,455,10,424,287,both,,Latin,
ferch,454,3,214,363,both,,Latin,
DE,453,13,306,229,both,,Latin,
Lee,450,112,80,299,both,,Latin,
Fernandes,449,74,141,357,both,,Latin,
Melo,449,2,236,356,both,,Latin,
楊,449,2,78,444,both,,Han,
Eriksen,448,300,69,121,both,-sen,Latin,
Barbosa,447,8,177,404,both,,Latin,
Y,446,22,212,301,both,,Latin,
Beatriz,443,443,0,0,given,,Latin,
Elias,443,404,19,28,both,,Latin,
Villarreal,440,7,406,208,both,,Latin,
Gertrudis,437,437,0,0,given,,Latin,
Fernandez,436,30,289,189,both,,Latin,
Nilsdatter,435,370,73,33,both,-sdatter,Latin,
Jørgen,434,432,1,1,both,,Latin,
Rd,433,432,1,0,both,,Latin,
Ludwig,430,427,2,3,both,,Latin,
Wilhelm,430,426,4,0,both,,Latin,
Lucius,429,427,1,1,both,,Latin,
Ellen,428,428,0,0,given,,Latin,
Gutiérrez,428,3,290,335,both,,Latin,
León,428,16,271,341,both,,Latin,
Gonçalo,427,426,0,1,given,,Latin,
Hermosillo,427,6,307,308,both,,Latin,
Margareta,426,426,0,0,given,,Latin,
Martins,425,69,123,355,both,,Latin,
Michael,425,395,11,20,both,,Latin,
源,420,6,329,409,both,,Han,
TAN,418,2,37,409,both,,Latin,
Menezes,417,9,146,395,both,,Latin,
Kristine,416,416,0,0,given,,Latin,
Clara,414,410,1,4,both,,Latin,
Magdalena,410,408,3,2,both,,Latin,
蕭,410,1,19,406,both,,Han,
Jonas,409,401,4,7,both,,Latin,
Ignacio,408,407,0,1,given,,Latin,
Nilsen,408,247,97,118,both,-sen,Latin,
Sofie,408,408,0,0,given,,Latin,
黄,408,3,195,332,both,,Han,
Ali,407,378,16,31,both,,Latin,
Soares,405,47,141,338,both,,Latin,
Helene,403,403,0,0,given,,Latin,
京兆杜陵,403,0,403,1,surname,,Han,
Smith,402,24,230,252,both,,Latin,
Phelps,401,4,254,250,both,,Latin,
Martín,400,178,159,183,both,,Latin,
wife,400,343,0,57,given,,Latin,
Nielsdatter,398,237,111,119,both,-sdatter,Latin,
Luisa,396,396,0,0,given,,Latin,
Henrik,393,392,1,0,both,,Latin,
Rebecca,393,392,1,0,both,,Latin,
Diogo,391,391,1,1,both,,Latin,
Elisabet,391,391,0,0,given,,Latin,
Marx,391,167,118,154,both,,Latin,
Weil,391,4,232,291,both,,Latin,
los,391,77,233,221,both,,Latin,
bint,390,362,13,21,both,particle,Latin,
Elen,389,389,0,0,given,,Latin,
Gomez,386,36,260,140,both,,Latin,
Иван,386,386,0,0,given,,Cyrillic,
Restrepo,385,0,311,251,surname,,Latin,
裴,385,0,11,385,surname,,Han,
Hermann,384,375,4,5,both,,Latin,
Jacques,384,383,0,1,given,,Latin,
Walter,384,364,14,17,both,,Latin,
Lopez,383,33,220,179,both,,Latin,
May,383,187,118,135,both,,Latin,
Trembath,383,9,260,317,both,,Latin,
Bertha,382,382,0,0,given,,Latin,
Rodrigo,380,379,2,1,both,,Latin,
August,379,377,2,0,both,,Latin,
D.,378,374,3,1,both,,Latin,
du,378,11,211,311,both,,Latin,
Ayu,377,373,3,2,both,,Latin,
Kristian,377,377,0,0,given,,Latin,
af,373,30,144,271,both,,Latin,
Paul,372,369,2,2,both,,Latin,
Ball,371,46,234,216,both,,Latin,
Pires,371,62,106,314,both,,Latin,
av,371,32,162,219,both,,Latin,
Abdullah,369,337,13,30,both,,Latin,
Larsdotter,369,93,222,140,both,-sdotter,Latin,
琅邪臨沂,368,0,368,0,surname,,Han,
Graf,367,134,124,193,both,,Latin,
Martínez,367,8,235,286,both,,Latin,
Alvarez,366,26,214,225,both,,Latin,
Fernão,366,366,1,0,both,,Latin,
Hugues,365,364,0,1,given,,Latin,
Stanley,365,52,192,239,both,,Latin,
Lewis,364,132,164,155,both,,Latin,
Rønneberg,363,23,240,241,both,,Latin,
Frances,362,347,12,13,both,,Latin,
Loeb,362,185,86,130,both,,Latin,
der,362,29,168,286,both,,Latin,
Иванович,362,362,0,0,given,,Cyrillic,
河東聞喜,362,0,362,0,surname,,Han,
Andersdotter,360,76,222,172,both,-sdotter,Latin,
Elvira,360,359,0,1,given,,Latin,
3,359,337,11,11,both,,none,
V,359,340,9,12,both,,Latin,
Johannesdatter,358,285,79,42,both,-sdatter,Latin,
Campo,357,6,255,250,both,,Latin,
N,357,316,28,144,both,,Latin,
KHOO,356,4,211,340,both,,Latin,
Roger,356,297,56,21,both,,Latin,
Sotomayor,355,0,195,270,surname,,Latin,
Ernst,353,351,2,1,both,,Latin,
Muñoz,353,12,223,250,both,,Latin,
Anes,352,70,84,274,both,,Latin,
Catharina,351,351,0,0,given,,Latin,
Landau,349,0,193,247,surname,,Latin,
Guri,348,347,0,1,given,,Latin,
Salazar,347,4,271,239,both,,Latin,
Horowitz,346,1,187,247,both,,Latin,
Olav,346,345,0,1,given,,Latin,
Israel,345,278,27,51,both,,Latin,
Joan,342,341,0,1,given,,Latin,
Joana,342,342,0,0,given,,Latin,
Olof,342,341,0,1,given,,Latin,
弘農華陰,342,0,342,0,surname,,Han,
Nelson,341,50,176,194,both,-son,Latin,
Noronha,341,12,174,311,both,,Latin,
Bore,338,0,256,237,surname,,Latin,
Martim,337,337,0,0,given,,Latin,
Ragnhild,337,337,0,0,given,,Latin,
Sven,337,335,0,2,given,,Latin,
Williams,334,17,206,237,both,,Latin,
no,334,312,4,19,both,,Latin,
Guerra,333,3,274,187,both,,Latin,
Herz,331,259,34,48,both,,Latin,
Munk,331,16,154,279,both,,Latin,
Lara,330,11,203,281,both,,Latin,
Lima,330,8,144,293,both,,Latin,
Else,329,329,0,0,given,,Latin,
Kahn,329,2,177,219,both,,Latin,
Lea,329,118,142,153,both,,Latin,
Oppenheimer,329,0,160,229,surname,,Latin,
Anton,328,327,1,1,both,,Latin,
Arthur,328,310,12,12,both,,Latin,
Wright,328,21,221,202,both,,Latin,
Jan,327,323,4,2,both,,Latin,
Mariana,327,327,0,0,given,,Latin,
Judith,326,326,0,0,given,,Latin,
Nyi,326,326,1,1,both,,Latin,
권,326,6,321,3,both,,Hangul,
Henri,325,325,0,0,given,,Latin,
Jonsen,325,238,36,72,both,-sen,Latin,
Moshe,325,297,8,23,both,,Latin,
Ruth,325,324,0,1,given,,Latin,
Washington,325,114,180,166,both,,Latin,
Rasmussen,322,277,37,30,both,-ssen,Latin,
Dreyfus,321,2,166,236,both,,Latin,
Jonsson,321,72,158,185,both,-sson,Latin,
Michel,321,295,12,17,both,,Latin,
Olofsson,321,23,193,223,both,-sson,Latin,
Vasconcelos,321,8,122,281,both,,Latin,
Abreu,318,7,72,300,both,,Latin,
Bernard,318,288,8,26,both,,Latin,
Ida,318,318,0,0,given,,Latin,
Cunha,316,9,116,270,both,,Latin,
范陽涿縣,316,0,316,0,surname,,Han,
Gustaf,315,315,0,0,given,,Latin,
Gaius,314,314,0,0,given,,Latin,
NR,314,314,0,0,given,,Latin,
陸,314,0,83,314,surname,,Han,
Brites,312,311,0,1,given,,Latin,
Trevino,311,4,262,51,both,,Latin,
Hanna,310,304,4,3,both,,Latin,
Malena,310,310,1,0,both,,Latin,
Margarita,309,309,0,0,given,,Latin,
Mendes,309,63,106,240,both,,Latin,
Helena,308,308,1,1,both,,Latin,
Lucy,307,289,11,17,both,,Latin,
Georg,305,305,0,0,given,,Latin,
Álvaro,305,305,0,0,given,,Latin,
Gruffudd,303,155,58,148,both,,Latin,
Stern,303,2,153,213,both,,Latin,
Sexton,302,6,218,196,both,,Latin,
黃,302,10,140,286,both,,Han,
Julia,301,299,0,2,given,,Latin,
Julie,301,301,0,0,given,,Latin,
Aguirre,300,1,182,230,both,,Latin,
Levi,300,150,73,101,both,,Latin,
Alfonso,299,211,37,82,both,,Latin,
Ane,299,299,0,0,given,,Latin,
Henriques,299,20,102,256,both,,Latin,
Kristina,299,299,0,0,given,,Latin,
Magnus,299,252,35,30,both,,Latin,
Matilda,298,298,0,0,given,,Latin,
Sophia,298,297,1,0,both,,Latin,
Wolff,298,63,125,154,both,,Latin,
Persson,297,28,146,197,both,-sson,Latin,
White,297,22,181,194,both,,Latin,
Fanny,296,296,0,0,given,,Latin,
Pauline,294,294,0,0,given,,Latin,
Rasmusson,294,269,34,11,both,-sson,Latin,
i,294,19,159,223,both,,Latin,
Amalie,292,292,0,0,given,,Latin,
Leopold,292,282,7,7,both,,Latin,
Moritz,292,285,4,3,both,,Latin,
Adolf,291,291,0,0,given,,Latin,
Martinez,291,3,239,92,both,,Latin,
Gunnar,290,290,0,0,given,,Latin,
Nicolas,290,288,1,1,both,,Latin,
Barbara,289,289,1,0,both,,Latin,
Francis,289,280,3,7,both,,Latin,
(Wife,287,287,0,0,given,,Latin,
Bassett,287,6,199,195,both,,Latin,
Carlsson,287,12,207,98,both,-sson,Latin,
Karlsson,287,25,202,114,both,-sson,Latin,
Ramírez,287,4,157,226,both,,Latin,
唐,287,3,9,284,both,,Han,
Pederson,286,262,25,19,both,-son,Latin,
Dorothea,285,285,0,0,given,,Latin,
Håland,285,3,163,189,both,,Latin,
Arias,284,41,139,202,both,,Latin,
Augusta,284,282,1,2,both,,Latin,
Díaz,284,15,163,236,both,,Latin,
Araújo,283,3,82,254,both,,Latin,
Guy,283,265,15,16,both,,Latin,
Vélez,283,5,197,215,both,,Latin,
do,282,28,87,231,both,,Latin,
허,282,7,277,2,both,,Hangul,
Inês,281,281,0,0,given,,Latin,
Porter,281,16,182,175,both,,Latin,
Portugal,281,6,173,238,both,,Latin,
Rosenkrantz,281,4,214,219,both,,Latin,
Sømme,281,10,197,199,both,,Latin,
姬姓,281,0,281,0,surname,,Han,
Nassau,280,2,223,170,both,,Latin,
Bernhard,279,276,1,3,both,,Latin,
Sancha,279,278,0,1,given,,Latin,
Bloch,278,11,109,192,both,,Latin,
Frank,278,133,70,95,both,,Latin,
Gutierrez,278,13,193,124,both,,Latin,
Perez,278,29,167,152,both,,Latin,
元,278,21,22,257,both,,Han,
Olsson,276,101,107,91,both,-sson,Latin,
織田,276,0,260,267,surname,,Han,
Hollister,275,1,102,236,both,,Latin,
Roberts,275,10,159,213,both,,Latin,
Rui,275,275,0,0,given,,Latin,
姬,275,10,152,233,both,,Han,
António,274,273,0,1,given,,Latin,
Tore,273,273,0,0,given,,Latin,
某,273,268,4,5,both,,Han,
Guzmán,272,3,142,234,both,,Latin,
Nicolás,272,272,0,0,given,,Latin,
Sofia,272,272,0,0,given,,Latin,
Vaz,272,32,52,239,both,,Latin,
Isabelle,271,271,0,0,given,,Latin,
Jonson,270,240,32,21,both,-son,Latin,
Montemayor,270,0,261,120,surname,,Latin,
‎,270,25,8,269,both,,none,
‏‏‎,270,26,8,270,both,,none,
4,269,253,9,9,both,,none,
Zhāng,269,14,25,254,both,,Latin,
Jørgensdatter,268,224,39,32,both,-sdatter,Latin,
Daughter,267,259,4,4,both,,Latin,
Gustav,267,267,0,0,given,,Latin,
Sigrid,267,267,0,0,given,,Latin,
Abu,266,230,8,32,both,,Latin,
Axel,266,266,0,0,given,,Latin,
Bille,266,4,175,234,both,,Latin,
Christina,266,266,0,0,given,,Latin,
Count,266,226,7,38,both,,Latin,
Emilie,266,266,0,0,given,,Latin,
Mette,266,266,0,0,given,,Latin,
Miranda,266,22,115,206,both,,Latin,
N.,266,189,36,66,both,,Latin,
Van,266,12,140,166,both,,Latin,
Ivar,264,260,2,4,both,,Latin,
Raymond,264,234,23,29,both,,Latin,
鄭州榮澤,264,0,264,0,surname,,Han,
Katzenellenbogen,263,0,183,171,surname,,Latin,
Nancy,263,260,1,2,both,,Latin,
Romo,263,13,229,86,both,,Latin,
Worms,263,6,98,182,both,,Latin,
Abigail,262,262,0,0,given,,Latin,
Adelheid,262,262,0,0,given,,Latin,
Gunhild,262,262,0,0,given,,Latin,
Jørgensen,262,196,37,53,both,-sen,Latin,
Mari,262,253,5,7,both,,Latin,
Christopher,261,257,3,1,both,,Latin,
Hywel,261,125,59,145,both,,Latin,
Velasco,261,10,129,185,both,,Latin,
Leon,260,99,110,67,both,,Latin,
Llewelyn,260,127,45,138,both,,Latin,
Lozano,260,4,225,135,both,,Latin,
Löb,260,212,41,23,both,,Latin,
Berte,259,259,0,0,given,,Latin,
Hansson,259,184,49,61,both,-sson,Latin,
Johannesen,259,119,76,100,both,-sen,Latin,
Azevedo,257,3,87,241,both,,Latin,
Juel,257,15,154,200,both,,Latin,
Nava,257,2,176,177,both,,Latin,
Josef,256,253,3,2,both,,Latin,
Leib,256,245,8,3,both,,Latin,
Philippe,256,254,0,2,given,,Latin,
Rose,256,207,21,39,both,,Latin,
Tjora,256,0,207,169,surname,,Latin,
南蘭陵,256,0,256,0,surname,,Han,
Gil,255,136,64,100,both,,Latin,
Schwarzschild,255,0,79,195,surname,,Latin,
박,255,48,232,19,both,,Hangul,
Frederick,254,253,0,1,given,,Latin,
Spivey,254,5,147,168,both,,Latin,
Philip,253,229,9,23,both,,Latin,
Picard,253,1,104,178,both,,Latin,
Coutinho,252,5,90,226,both,,Latin,
Eleanor,252,251,1,0,both,,Latin,
Fredrik,252,252,0,0,given,,Latin,
Rhys,252,103,59,157,both,,Latin,
Tan,252,7,184,205,both,,Latin,
Chinn,251,7,141,175,both,,Latin,
Manuela,251,250,1,1,both,,Latin,
Alix,250,249,0,1,given,,Latin,
Emil,250,250,0,0,given,,Latin,
Lourenço,250,169,30,87,both,,Latin,
Nyai,250,249,0,1,given,,Latin,
und,250,9,111,178,both,,Latin,
Mrs.,249,244,0,5,given,,Latin,
前田,249,0,231,240,surname,,Han,
Owain,248,103,66,151,both,,Latin,
Soemodilogo,248,7,4,245,both,,Latin,
Sanchez,247,11,168,104,both,,Latin,
Berge,246,26,131,148,both,,Latin,
Nilsdotter,246,61,145,118,both,-sdotter,Latin,
Gonzalo,245,245,0,0,given,,Latin,
Johansson,245,30,138,129,both,-sson,Latin,
Ageng,244,231,2,32,both,,Latin,
Halphen,244,0,142,192,surname,,Latin,
Toro,244,0,208,131,surname,,Latin,
des,244,9,165,205,both,,Latin,
Correia,243,11,85,222,both,,Latin,
Herbert,243,137,92,102,both,,Latin,
Madog,243,121,41,127,both,,Latin,
Polanco,243,1,35,237,both,,Latin,
홍,243,15,238,1,both,,Hangul,
Aaron,242,197,19,34,both,,Latin,
Ferreira,242,20,110,206,both,,Latin,
Kyai,242,239,2,1,both,,Latin,
Wertheim,242,0,148,174,surname,,Latin,
Karin,241,241,0,0,given,,Latin,
St.,240,101,98,93,both,,Latin,
Tickner,240,3,98,196,both,,Latin,
Vasco,240,235,2,6,both,,Latin,
Ahmad,239,225,5,11,both,,Latin,
Hauge,239,4,167,153,both,,Latin,
Iversen,239,133,64,72,both,-sen,Latin,
Lehmann,239,43,80,153,both,,Latin,
Samaritan,239,115,0,124,given,,Latin,
Gilbert,238,125,88,58,both,,Latin,
Stephen,238,234,3,4,both,,Latin,
Auerbach,237,0,86,174,surname,,Latin,
Olofsdotter,237,25,153,153,both,-sdotter,Latin,
Peláez,237,0,169,160,surname,,Latin,
Aragón,236,0,130,203,surname,,Latin,
Eliza,236,236,0,0,given,,Latin,
daughter,236,180,25,34,both,,Latin,
Brown,235,10,159,131,both,,Latin,
Helga,235,234,0,1,given,,Latin,
Hurtado,235,5,133,185,both,,Latin,
Ingrid,235,235,0,0,given,,Latin,
M.,235,234,0,1,given,,Latin,
晉昌冥安,235,0,235,0,surname,,Han,
Ayala,234,1,170,186,both,,Latin,
Philipp,234,228,4,3,both,,Latin,
柳,234,4,3,230,both,,Han,
Betancur,233,0,188,106,surname,,Latin,
Dias,232,33,89,168,both,,Latin,
Grude,232,2,179,162,both,,Latin,
Inés,232,232,0,0,given,,Latin,
Øksnevad,232,1,175,176,both,,Latin,
عبد,232,225,8,2,both,,Arabic,
Christensen,231,100,70,110,both,-sen,Latin,
Eva,230,223,5,6,both,,Latin,
Friis,230,6,144,198,both,,Latin,
Woolcock,230,17,128,190,both,,Latin,
or,230,185,19,29,both,,Latin,
Antoine,229,229,0,0,given,,Latin,
Bø,228,2,147,173,both,,Latin,
Einion,227,117,38,115,both,,Latin,
Gaspar,227,227,0,0,given,,Latin,
Urraca,227,227,0,0,given,,Latin,
bat,227,68,73,111,both,particle,Latin,
Cornelius,226,198,19,17,both,,Latin,
Grace,226,225,0,1,given,,Latin,
til,226,37,86,122,both,,Latin,
Christen,225,225,0,0,given,,Latin,
Mirza,225,189,10,40,both,,Latin,
Siri,225,225,0,0,given,,Latin,
Sultan,225,184,9,41,both,,Latin,
Toledo,225,1,81,211,both,,Latin,
Castilla,224,6,126,189,both,,Latin,
