round	geni_id	qid	band	ours	theirs	our_parents	their_parents	comparable_slots	slots_agreeing
2	6000000016237537030	Q102227773	BOTH-PARENTS-AGREE	Eleonora de Cárdenas	Leonor de Cárdenas, dei Marchesi di Laino e Conti d'Acerra	2	2	2	2
2	6000000016243116205	Q76374278	ONE-PARENT-AGREE	Nicola Caracciolo IV Principe di Castagneto	Nicola Caracciolo, 4th Prince of Castagneto	1	2	1	1
2	6000000016245564635	Q76374300	BOTH-PARENTS-AGREE	Emanuela Caracciolo	Donna Emanuela Caracciolo Stella	2	2	2	2
2	6000000016245951274	Q109335130	BOTH-PARENTS-AGREE	Vincenzo Carafa VI principe di Roccella	Vincenzo III Carafa, 6.Principe di Roccella, Principe del S.R.I.	2	2	2	2
2	6000000016261363731	Q3610276	BOTH-PARENTS-AGREE	Alessandro Ruspoli	Alessandro Ruspoli, 2nd Prince of Cerveteri	2	2	2	2
2	6000000016261525439	Q76374170	BOTH-PARENTS-AGREE	Prudenza Marescotti Capizucchi Patrizia Romana	Prudenza Marescotti Capizucchi	2	2	2	2
2	6000000016269034896	Q108935594	BOTH-PARENTS-AGREE	Maria Angelica Ruspoli	Donna Anna Maria Angelica Ruspoli	2	2	2	2
2	6000000016269174497	Q108935587	BOTH-PARENTS-AGREE	Girolamo Vincenzo Giustiniani IV principe di Bassano	Don Girolamo, 4.Principe Giustiniani	2	2	2	2
2	6000000016291151438	Q3263375	BOTH-PARENTS-AGREE	Louis de Beauvau	Louis de Beauvau	2	2	2	2
2	6000000016328183262	Q527455	BOTH-PARENTS-PARTIAL	Margaretha von Cilly	Margareta of Celje	2	2	2	1
2	6000000016333629987	Q115923654	BOTH-PARENTS-AGREE	Tanneguy le Venneur	Tanneguy le Veneur	2	2	2	2
2	6000000016369469860	Q16405369	ONE-PARENT-DISAGREE	Johann Christian Tideböhl	Wilhelm Christian Harpe	1	2	1	0
2	6000000016369566657	Q94939231	PARENTS-ONE-SIDE	Johann von Tideböhl	Johann Tideböhl	1	0	0	0
2	6000000016378966480	Q110521231	BOTH-PARENTS-AGREE	Maria Constança de Saldanha Oliveira e Daun	Doña Maria Constancia de Saldanha Oliveira e Daun	2	2	2	2
2	6000000016382462072	Q20857376	BOTH-PARENTS-AGREE	Maximilien-Loüis van der Noot Marquis d'Assche, Baron van Schoonhoven, Marets	M.L. markies van der Noot van Assche	2	2	2	2
2	6000000016420686862	Q3659485	BOTH-PARENTS-AGREE	Carlo Cybo Malaspina	Carlo II Cybo-Malaspina	2	2	2	2
2	6000000016420817195	Q110748987	BOTH-PARENTS-AGREE	Teresa Pamphilj	Teresa Pamphili	2	2	2	2
2	6000000016420888192	Q3827864	BOTH-PARENTS-AGREE	Laura d'Este	Laura d'Este	2	2	2	2
2	6000000016453458564	Q1616012	ONE-PARENT-AGREE	Hesso von Hochberg Graf von Hochberg	Hesso, Margrave of Baden-Hachberg	2	1	1	1
2	6000000016453607286	Q133015203	NAMES-CONFLICT	Agnès von Hohen-Geroldseck	Margareta von Tübingen	2	2	2	0
2	6000000016465465677	Q27995020	ONE-PARENT-AGREE	Berta condesa consorte de Toulouse comtessa consort de Tolosa	Berta de Reims	2	1	1	1
2	6000000016487552428	Q110521426	PARENTS-ONE-SIDE	Paris Franz von Boymund zu Payrsperg	Paris Franz, Graf von Poymund und Payersberg	2	0	0	0
2	6000000016511420364	Q75653834	BOTH-PARENTS-AGREE	Margaret de Lacy Lady of Dulek	Margaret de Lacy	2	2	2	2
2	6000000016518764700	Q7330202	BOTH-PARENTS-AGREE	Richard de Moreville Constable of Scotland	Richard de Morville	2	2	2	2
2	6000000016522453244	Q86331	BOTH-PARENTS-AGREE	Henri François de Bombelles	Heinrich von Bombelles	2	2	2	2
2	6000000016599495562	Q110415632	PARENTS-ONE-SIDE	Melchior Friedrich Gottfried von Hatzfeld	Melchior Friedrich von Hatzfeld, Herr zu Wildenburg, Schönstein und Werther	0	2	0	0
2	6000000016679772250	Q55848560	BOTH-PARENTS-AGREE	Wulf von Blome	Wulf von Blome	2	2	2	2
2	6000000016680659763	Q130683259	BOTH-PARENTS-AGREE	Cathrine Margrethe von Hahn	Cathrine Margrethe von Hahn	2	2	2	2
2	6000000016688833199	Q45426612	PARENTS-ONE-SIDE		Lu Jian	0	1	0	0
2	6000000016699391648	Q45422157	PARENTS-ONE-SIDE		Lu Xu	0	1	0	0
2	6000000016707110913	Q113883647	PARENTS-ONE-SIDE	Christine de Luze	Christine de Luze	0	2	0	0
2	6000000016707338797	Q45425174	PARENTS-ONE-SIDE		Lu Zhengxing	0	1	0	0
2	6000000016707584237	Q45425048	PARENTS-ONE-SIDE		Lu Ao	0	1	0	0
2	6000000016735809130	Q3745090	BOTH-PARENTS-AGREE	Filippo Andrea Doria Pamphilj Landi XI principe di Melfi	Filippo Andrea V Doria Pamphili	2	2	2	2
2	6000000016762562511	Q97782809	BOTH-PARENTS-AGREE	Guy d'Amboise	Gui d'Amboise, Sire de Ravel	2	2	2	2
2	6000000016762831894	Q110586826	ONE-PARENT-AGREE	Anne d'Alègre Dame de Viteaux et de Précy	Anne d'Alègre, Dame de Viteaux et de Précy	1	2	1	1
2	6000000016762960974	Q75890133	BOTH-PARENTS-AGREE	Jean Malet de Graville	Jean V Mallet, Seigneur de Granville, Montagu et Marcoussins	2	2	2	2
2	6000000016763714107	Q98698536	BOTH-PARENTS-AGREE	Maya Margaretha Wolmarsdotter Wrangell	Maya Wrangel	2	2	2	2
2	6000000016764622956	Q98698594	PARENTS-ONE-SIDE	Margaretha von Gilsen a.d.H. Ass	Maret Gylsen, heiress of Kiltsi castle	0	1	0	0
2	6000000016812529214	Q109686892	PARENTS-ONE-SIDE	Maria Ursula Groschlag von Diepurg	Maria Ursula Groschlag von Diepurg	0	2	0	0
2	6000000016812626296	Q94799158	PARENTS-ONE-SIDE	Philipp Ernst von Daun	Philipp Ernst von Daun	0	2	0	0
2	6000000016838746319	Q109010822	BOTH-PARENTS-AGREE	Louis de La Rochefoucauld	Louis de La Rochefoucauld, Seigneur de Montendre	2	2	2	2
2	6000000016838891550	Q109010823	BOTH-PARENTS-PARTIAL	Jacquette Mortimer	Jacquette de Mortemer	2	2	2	1
2	6000000016854365811	Q742997	BOTH-PARENTS-AGREE	Gian Giacomo Trivulzio marchese di Vigevano	Gian Giacomo Trivulzio	2	2	2	2
2	6000000016898427601	Q110715356	NO-PARENTS	NN	NN	0	0	0	0
2	6000000016900455292	Q105704664	ONE-PARENT-AGREE	Maria Magdalena von Salm-Neuburg	Maria Magdalena von Salm-Neuburg	1	2	1	1
2	6000000016917960596	Q54810667	BOTH-PARENTS-AGREE	Agnes von Braunschweig-Lüneburg	Agnes of Brunswick-Lüneburg	2	2	2	2
2	6000000017003094478	Q102544419	PARENTS-ONE-SIDE	Sofie Schirmer von Soss	Susanna von Hofkirchen	1	0	0	0
2	6000000017003495208	Q55904538	PARENTS-ONE-SIDE	Pilgrim VI. von Puchheim-Heidenreichstein	Hans Christoph von Puchaim	2	0	0	0
2	6000000017048031624	Q112048833	BOTH-PARENTS-AGREE	Philippe de Lévis	Philippe de Lévis, Baron de Mirepoix	2	2	2	2
2	6000000017049450640	Q112048573	BOTH-PARENTS-AGREE	Louise de La Trémoille	Louise de La Trémoïlle, vicomtesse de Monségur	2	2	2	2
2	6000000017054740641	Q112969065	NO-PARENTS	Torleif UKN	Thorliot	0	0	0	0
2	6000000017069829672	Q10941153	NO-PARENTS	Jiang	Tai Jiang	0	0	0	0
2	6000000017083812173	Q110414695	BOTH-PARENTS-AGREE	Dorothea Rantzau	Dorothea Rantzau	2	2	2	2
2	6000000017107296539	Q110315216	PARENTS-ONE-SIDE	Fossifia de Moncontour	NN	1	0	0	0
2	6000000017131079284	Q116180685	ONE-PARENT-AGREE	Fernão de Sousa de Castelo-Branco Coutinho e Menezes 10º conde de Redondo	Fernao IV de Sousa, 9.Senhor de Gouvea, 1.Conde de Redondo	1	2	1	1
2	6000000017158122285	Q102815066	ONE-PARENT-AGREE	Michel de Lur-Saluces	Michel de Lur-Saluces, Seigneur de Longua, Baron de Mussidan	1	2	1	1
2	6000000017159425151	Q122359318	BOTH-PARENTS-AGREE	Pieter van Leyden	Pieter, Rijksbaron van Leyden van Leeuwen	2	2	2	2
2	6000000017186246399	Q20498321	BOTH-PARENTS-AGREE	Ludovico Orsini 7°conte di Pitigliano	Lodovico Orsini	2	2	2	2
2	6000000017187220121	Q61778656	BOTH-PARENTS-AGREE	Giulia Conti	Giulia Conti	2	2	2	2
2	6000000017198662910	Q75726831	PARENTS-ONE-SIDE	Margaretha Catharina Bruyns	Margaretha Catharina Bruyns	0	2	0	0
2	6000000017203539718	Q75268392	BOTH-PARENTS-AGREE	Margaret Stewart Lady Saltoun	Lady Margaret Stewart	2	2	2	2
2	6000000017251025383	Q47496365	NAMES-CONFLICT	Jakob Georg Lilliesköld	Edward Samuel Byam	2	2	2	0
2	6000000017251133872	Q106509536	PARENTS-ONE-SIDE	Anna Margareta Sellin	NN	2	0	0	0
2	6000000017260978565	Q99304039	NO-PARENTS	Adalasie Amici de Forcalquier	Adalaicia	0	0	0	0
2	6000000017320498477	Q76240010	PARENTS-ONE-SIDE	vrouw van Diederik van Teisterbant	unknown daughter van Teisterbant	0	1	0	0
2	6000000017320653720	Q94621162	ONE-PARENT-AGREE	Heinrich Ludwig von Thurn und Valsassina	Heinrich Ludwig Thurn-Valsassina	2	1	1	1
2	6000000017340282554	Q122359530	ONE-PARENT-AGREE	Ana Barbosa	Anna Barbosa	1	1	1	1
2	6000000017358437794	Q94785503	ONE-PARENT-AGREE	Johann Ewald I von Mirbach Herr auf Pussen	Johann Ewald von Mirbach	2	1	1	1
2	6000000017427657741	Q105796180	PARENTS-ONE-SIDE	Bleckert von Helmstedt	Bleckert von Helmstedt	2	0	0	0
2	6000000017445747084	Q1631529	ONE-PARENT-AGREE	Ebal I of Challant the Great	Ebal I of Challant	2	1	1	1
2	6000000017477383930	Q76346688	PARENTS-ONE-SIDE	Roger	Armand d'Eu	0	2	0	0
2	6000000017497812275	Q134290009	BOTH-PARENTS-AGREE	Jan Jacob Iman Sprenger	Jan Jacob Iman Sprenger, Heer van Buttinge en Zandvoort	2	2	2	2
2	6000000017497812281	Q134290022	PARENTS-ONE-SIDE	Cecilia Cornelia Lantsheer	Cecilia Cornelia Lantsheer	0	2	0	0
2	6000000017547412216	Q20005583	NO-PARENTS	Marcus Salvius Otho	Marcus Salvius Otho	0	0	0	0
2	6000000017555886036	Q1063783	PARENTS-ONE-SIDE		Empress Wei	0	2	0	0
2	6000000017573323355	Q110557700	PARENTS-ONE-SIDE	Adolph Hendrik Ripperda	Adolf Hendrik Ripperda	0	2	0	0
2	6000000017573323361	Q110557713	BOTH-PARENTS-AGREE	Wilhelmina van Tuyll Van Serooskerken	Wilhelmina van Tuyll van Serooskerken	2	2	2	2
2	6000000017585049287	Q110617958	ONE-PARENT-AGREE	Claudine d'Hébrard de Saint Sulpice	Claude d'Ebrard, Dame de Saint Sulpice	1	2	1	1
2	6000000017638082249	Q76258643	PARENTS-ONE-SIDE	Anna Magdalena von Gleichen Blankenhain	Anna Magdalena von Gleichen-Blankenhain	0	2	0	0
2	6000000017638380030	Q1690981	BOTH-PARENTS-AGREE	Jobst II von Hoya	Jobst II, Count of Hoya	2	2	2	2
2	6000000017664646616	Q111998417	PARENTS-ONE-SIDE	Jacob Marcelis	Jacob Jansz. Marcelis	0	2	0	0
2	6000000017664901953	Q111998425	PARENTS-ONE-SIDE	Grietje Bruyn	Grietje Claesdr. Bruyn	0	2	0	0
