geni_id	our_name	qid	candidate_name	slot	via	sex	shared_words
5332479376060057893	Delphine Grimaldi	Q75360941	Q75360941	child	Joseph Marie Jérôme Honoré Grimaldi	F	
5332525305210101761	Louis Gabriel Aynard de la Tour du Pin Gouvernet Marquis de La Charce	Q75360901	Q75360901	child	Honorine Camille Arthénais Grimaldi	M	
5332836938470046418		Q75360928	Q75360928	child	Anne Marie de Caumont La Force	M	
5356082981350013230		Q75328801	Q75328801	child	Carlo Borromeo d'Adda	M	
5356181409770022151		Q75328821	Q75328821	child	Emanuele Febo Borromeo d'Adda	F	
5393820134460119729	John Lowe II	Q130718018	John Lowe, of Denby	child	John Lowe	M	john lowe
5410727231260138733	John Montacute	Q3020313	Q3020313	child	Margaret de Monthermer	M	anne margaret montacute monthermer
5415732585790046528	Elisabeth Leontine Di Castelbarco-Simonetta	Q75305123	Q75305123	child	Louisette Ceschi	F	
5484737837420072665	Alvaro Jaime de Orléans-Borbón y Parodi Delfino	Q75384271	Q75384271	child	Álvaro Antonio Fernando Carlos Felipe de Orléans-Borbón y Sajonia-Coburgo-Gotha 6. duque de Galliera.	M	
5494290410820121204		Q75384340	Q75384340	child	Anne Mary Sibylla Liddell-Grainger	F	anne liddellgrainger
5497270035750121492	Juana García García de Leyva Señora de Hacinas, Quintanilla y Villavaquerín	Q101402721	Juana García de Leiva, Señora de Villavaquería	child	María Díaz de Ceballos y Carrillo	F	ceballos daz diego gonzalo leiva leyva lpez mara monterrey pedro seor ziga
5502628019800047120	Edward Pomeroy	Q75546006	Q75546006	child	Elizabeth Denzell	M	
5527867375260034278	Caroline Mathilde von Sachsen-Coburg und Gotha	Q75388894	Q75388894	child	Johann Leopold William Albert Ferdinand Victor	F	johann leopold
5527990183100040059	Hubertus Dietmar Friedrich Wilhelm Philipp of Saxe-Coburg-Gotha	Q4540064	Prince Hubertus of Saxe-Coburg and Gotha	child	Viktoria Adelheid Helene Luise Marie Frederike von Schleswig-Holstein-Sonderburg-Glücksburg Herzogin zu Sachsen-Coburg und Gotha, Duchess of Albany	M	adelheid charles duke edward gotha johann leopold mathilde princess sibylla viktoria
5528259343400088537		Q6352984	Prince Adrian of Saxe-Coburg and Gotha	child	Friedrich Josias Carl Eduard Ernst Kyrill Harald von Sachsen-Coburg und Gotha Prinz	M	
5536947727080125577	Valentina Mocenigo	Q75305178	Q75305178	child	Olga Maria Friederike Franziska Mocenigo	F	
5537021132540100003	Fredrico Nicolis	Q75305184	Q75305184	child	Carlo Nicolis, Conte di Robilant e Cereaglio	M	
5545172533990026062	Charlotte St Maur Duchess of Somerset	Q65656812	Q65656812	child	Archibald Hamilton	F	archibald seymour
5552060564400042957	Thorolf Frederik Pauludan Müller Pedersen	Q6039339	Thorolf Frederik Pedersen	child	Thomas Vilhelm Pedersen	M	pedersen
5568194800220066571	Berta Stenström	Q136387048	Aina Procopé	child	Elfrida Axela Gustava Procopé	F	procope
5657859427710067471	Louis Vasa av Sverige Prins	Q61792658	Louis of Wasa	child	Gustav Prinz von Vasa Vasa av Sverige Kronprins, Prinz von Wasa, Graf von Itterburg	M	gustav vasa
