qid,geni_id,en_label,reaches_charlemagne
Q10340914,6000000075401800891,Du Pengju,no
Q1034103,6000000038242189907,Imperial Uncle Cao,yes
Q10341447,6000000039105350852,Yang Daya,yes
Q10341540,6000000074771301902,Yang Hongzhong,no
Q10341728,,Yang Qing,yes
Q10341764,6000000074706037951,Yang Hongli,yes
Q10342159,6000000074705682021,Yang Ji,no
Q10342428,6000000074705691179,Yang Hong,no
Q10342622,6000000075050629107,Yang Zantu,yes
Q10342645,6000000075051044821,Yang Zanyu,yes
Q10343063,6000000075506668860,Hang Wenru,no
Q10346439,6000000074699048453,Lin Chongzhi,no
Q10346479,6000000075427056913,Lin Qianzhi,no
Q10346666,6000000074771354963,Lin Danai,no
Q10347349,6000000074782456514,Lin Jingxi,no
Q10347547,6000000074699871900,Lin Gai,yes
Q10348303,6000000074728565879,Lin Yun,no
Q10348617,6000000074727965444,Lin Ting,no
Q10349228,,Bai Qi,no
Q10349252,,Bai Liangqi,no
Q10349754,,Zha Kui,no
Q10350168,,Liu Zhongli,yes
Q10350183,6000000075405930843,Liu Zhongying,yes
Q10350263,6000000052102539054,Liu Gongchuo,yes
Q10350503,6000000021121976747,Liu Ji,yes
Q10350730,,Liu Jing,yes
Q10350785,,Liu Fang,yes
Q10353016,6000000075405012028,Gui Wanrong,no
Q10356212,6000000074788693309,Liang Yin,no
Q10356963,,Liang Shi,yes
Q10359721,6000000074737764855,Yang Xin,no
Q10359797,6000000075343839164,Yang Yuanqing,yes
Q10360383,6000000074733202025,Yang Yi,yes
Q10360464,6000000074706064896,Yang Riyan,no
Q10360558,6000000074728157065,Yang Dong,no
Q10360753,6000000075050686950,Yang Rushi,yes
Q10360814,,Yang Chaoguan,no
Q10363244,6000000074691652913,Fan Zhigu,no
Q10363272,6000000074701622866,Lou Guang,yes
Q10363294,6000000074701159281,Lou Chang,yes
Q10363322,6000000074701356110,Lou Yi,yes
Q10365264,6000000074736025998,Quan Qu,yes
Q1036575,,Chinkim,yes
Q10366772,6000000037591607386,Ouyang Guan,yes
Q10367424,,Wu Ruheng,no
Q10367469,6000000074771241888,Wu Yuanshuang,yes
Q1036784,6000000002188099722,Yelü Bei,no
Q10368456,,Wu Yihuang,no
Q10371453,6000000074714989033,Mao Pang,no
Q10378427,6000000075422628947,Shaoyu Jiang,no
Q10378748,6000000074749067997,Jiang Wenwei,no
Q10379457,6000000075424189868,Wang Yifeng,no
Q10379466,6000000074704091471,Wang Siwen,yes
Q10379479,6000000075423723133,Wang Chucai,no
Q10379511,6000000075503047827,Fenyang Shanzhao,no
Q10379533,6000000074727711062,Shen Zuozhe,no
Q10379544,,Shen Junli,yes
Q10379589,6000000074771306943,Shen Jizu,no
Q10379593,6000000075049908144,Shen Qi,no
Q10381917,6000000074727367964,Hong Qin,no
Q10382117,6000000074727880928,Hong Chu,yes
Q10396531,,Wen Yanjiang,yes
Q10396554,,Wen Daya,yes
Q10396666,,Wen Zhang,yes
Q10396675,,Wen Zao,yes
Q10396714,6000000075499936871,Teng Lin,no
Q10396886,6000000074730415860,Pan Daguan,no
Q10412105,,Wang Renyou,yes
Q10412293,6000000075423110935,Wang Shen,no
Q10412907,6000000074751603901,Wang Zhou,no
Q10414172,6000000074705540855,Wang Deyong,no
Q10414324,6000000074751196346,Wang Weizhong,no
Q10414568,6000000075419950888,Wang Cao,no
Q10414594,6000000075418902373,Wang Zhengzhong,no
Q10414698,6000000075403421823,Wang Jingzhi,yes
Q10414855,6000000075419495993,Wang Zhaosu,no
Q10415243,6000000074705487931,Wang Ciweng,no
Q10415352,6000000075420955032,Wang Ruyi,no
Q10415399,6000000075407408958,Wang Yisun,no
Q10415436,6000000074705519893,Wang Yan,no
Q10415546,6000000074705153070,Wang Huai,no
Q10415648,6000000075412302875,Wang Yanwu,no
Q10415993,6000000074725840475,Zhifang Wang,no
Q10416241,6000000075420092840,Wang Ji,no
Q10416678,6000000074792423972,Wang Ruoxu,no
Q10416779,6000000074705540888,Wang Shen,no
Q10416850,,Wang Bao,yes
Q10416918,,Wang Gui,yes
Q10416943,6000000074705384967,Wang Di,no
Q10417099,,Wang Xiangzhi,no
Q10417129,6000000074705088051,Wang Yiyong,yes
Q10417198,6000000046992252027,Wang Zhi,yes
Q10417288,6000000074727807075,Wang Pizhi,no
Q10417313,6000000074728459057,Wang Mai,no
Q10417744,6000000074784466035,Wang Yuan,no
Q10417893,6000000074705203882,Wang Shao,no
Q10425928,6000000075422015941,Tian Chongjin,no
Q10430257,6000000075422530838,Bai Zhongzan,no
Q10435527,,Lu Hongzheng,yes
Q10435702,6000000074701104269,Lu Zhiyuan,no
Q10439517,6000000074724833455,Shi Yuansun,yes
Q10451117,,Qin Ying,no
Q10451687,6000000074744918979,Cheng Bushi,no
Q10451804,6000000074747474965,Cheng Dexuan,no
Q10452000,6000000075062034852,Cheng Yu,no
Q10452048,6000000074685242052,Cheng Qi,no
Q10452130,6000000074745522964,Cheng Ruoyong,no
Q10452159,6000000074792705843,Cheng Jiong,no
Q10454222,6000000075368107880,Dou Yue,yes
Q10454247,,Dou Huaizhe,yes
Q10454303,6000000075368353862,Dou Dan,yes
Q10454327,6000000075369593821,Dou Kui,yes
Q10454410,,Dou Yun,yes
Q10454482,6000000074716923880,Dou Yujun,no
Q10454506,,Dou Qun,yes
Q10455076,6000000074792391970,Zhang Ruyu,no
Q10455369,6000000074686727070,Zhang Pin,no
Q10456598,6000000074747558921,Fu Weizhong,yes
Q10479413,,Yang Dan,yes
Q10484606,6000000074791990957,Yelü Zhimo,no
Q10484733,6000000017547984176,Yelü Pidie,no
Q10484790,6000000074791731076,Yelü Shao,no
Q10484847,6000000074792156856,Yelü Longxian,no
Q10484874,6000000002188099829,Yelü Keling,no
Q10488819,6000000075326741871,Hu Mengyu,no
Q10489374,6000000074698195059,Hu Dan,no
Q10489897,6000000074771520848,Hu Hong,no
Q10491346,,Kua Tou,yes
Q10497131,6000000074703625964,Shu Dan,no
Q10503599,6000000074745494830,Fan Tianshun,no
Q10503843,6000000074788784303,Fan Peng,no
Q10503917,6000000038046081130,Fan Wen,no
Q10511382,6000000021260997305,Xiao Lezi,yes
Q10511544,6000000021151516915,Xiao Siye,yes
Q10511648,6000000021260901361,Xiao Zheng,yes
Q10511702,,Xiao Zao,yes
Q10511856,6000000021261083078,Xiao Jun,yes
Q10513339,6000000074706270872,Ye Qingchen,no
Q10513347,6000000075490053922,Ye Xiufa,no
Q10513386,6000000074726979208,Ge Huaimin,no
Q10513832,6000000019641138761,Jiang Guangxu,yes
Q10513848,6000000074711201065,Jiang Junming,yes
Q10513896,,Xiao Shangzhi,yes
Q10513912,6000000021260901339,Xiao Xia,yes
Q10513951,6000000074711853983,Xue Xiang,no
Q10513957,,Xue Shu,yes
Q10513960,6000000074691248524,Xue Jixuan,no
Q10513976,6000000074787533048,Xue Zhi,no
Q10513979,,Xue Chuyu,yes
Q10513981,6000000074787847866,Xue Han,no
Q10514148,6000000074730399861,Su Kui,yes
Q10514163,6000000074716205881,Su Shidan,no
Q10514216,6000000074730174939,Su Chao,yes
Q10514231,6000000037592032099,Su Guo,yes
Q10514395,6000000074768794922,Yu Li,no
Q10515090,6000000074718595122,Yuan Fu,yes
Q10515140,6000000074718729073,Yuan Zhang,yes
Q10515168,6000000075430140911,Yuan Jizhong,no
Q10515294,6000000074719123821,Yuan Gu,yes
Q10516050,,Pei Shiqing,yes
Q10516101,6000000075378007821,Pei Qiu,yes
Q10516183,,Pei Yanlu,yes
Q10516920,6000000074789150860,Chu Boxiu,no
Q10516947,6000000047586637983,Chu Jie,yes
Q10525283,6000000074690026303,Ji Yougong,no
Q10525881,6000000075481803826,Xu Xi,no
Q10526159,6000000074692168102,Xu Shen,no
Q10526198,6000000074725999273,Xu Han,no
Q10526342,6000000074731774882,Xu Yi,no
Q10527549,6000000074692224975,Xie Ji,no
Q10528065,6000000051909807260,Xie Bi,no
Q10528095,6000000038132116328,Xie Tao,yes
Q10529209,6000000074786402552,Xu Yi,no
Q10529363,6000000075481078360,Xu Dunren,no
Q10531548,6000000074748886065,Xie Tang,no
Q10532586,6000000074728553987,Feng Cunfang,no
Q10532705,6000000074728793822,Feng Ji,no
Q10534760,6000000075346132851,Helan Yueshi,yes
Q10535295,6000000074690644899,Jia Yi,no
Q10535353,6000000074711233929,Jia Leng,no
Q10535372,6000000074690678928,Jia Wei,yes
Q10538044,,Ye Gan,yes
Q10538981,,Sai Jingchu,no
Q10539983,,Zhao Yuankai,yes
Q10540020,6000000075492154008,Zhao Kuangzan,yes
Q10540138,6000000075429491825,Zhao Zili,no
Q10540292,6000000012653142108,Zhao Delin,yes
Q10540334,6000000075404647153,Zhao Deyan,yes
Q10540403,6000000019314627512,Zhao Weigu,yes
Q10540462,6000000048810561880,Zhao Changyan,no
Q10540766,,Zhao Meng,no
Q10542125,6000000074789666969,Zhao Shiyan,no
Q10542196,6000000075490687008,Zhao Xie,no
Q10542390,6000000074687808029,Zhao Ke,yes
Q10542488,6000000074727792002,Zhao Fang,no
Q10542554,6000000074782998154,Zhao Cuizhong,no
Q10542589,6000000074690635825,Zhao Fan,no
Q10542620,6000000075491156957,Zhao Kui,no
Q10543449,6000000074714661111,Lu Zhen,no
Q10544513,6000000074726979523,Fu Guang,no
Q10545795,6000000074691997036,Xin Zhongfu,no
Q10546031,6000000075424539917,Xin Bing,no
Q10554236,6000000074771742823,Deng Mingshi,no
Q10554325,6000000074771313004,Deng Xiaofu,no
Q10554923,6000000074725902900,Xing Shu,no
Q10556091,6000000075414843861,Qiu Kui,no
Q10556205,6000000074709493962,Shao Bo,no
Q10557154,6000000074698758058,Lang Jian,no
Q10557221,,Zheng Renji,yes
Q10557333,6000000074788668830,Zheng Hejing,no
Q10557609,6000000074727088655,Sixiao Zheng,no
Q10557693,6000000074690670883,Wenbao Zheng,no
Q10557918,,Zheng Ai,yes
Q10558773,6000000074727771171,Guo Yin,no
Q10558956,6000000074719167862,Guo Shuowen,yes
Q10559784,6000000075482425382,Guo Jin,no
Q10562559,6000000074745020186,Zheng Ke,no
Q10563349,,Zheng Hao,yes
Q10563374,,Zheng Mo,yes
Q10563821,6000000075424228033,Shi Huaishen,no
Q10563824,6000000075503124822,Shi Sizhi,no
Q10564129,6000000022293564329,Qian Chen,yes
Q10564135,6000000022318563290,Qian Ceng,no
Q10564247,6000000047502989238,Qian Xie,yes
Q10564258,6000000014042433326,Qian Jingzhen,yes
Q10564259,6000000014042520931,Qian Xuan,yes
Q10564545,6000000075500208253,Yan Shougong,no
Q10564550,6000000075499817515,Yan Rixin,no
Q10564901,6000000075404219479,Ruan Yue,no
Q10565026,6000000075486046861,Lu Juren,no
Q10565028,6000000074753698821,Lu Chizhi,yes
Q10565030,6000000074789315892,Lu Wengui,no
Q10565049,6000000075485219000,Chen Yunping,no
Q10565256,6000000075485280983,Chen Dazhen,no
Q10565372,6000000074749537082,Chen He,no
Q10565383,6000000074749617057,Chen Mi,no
Q10565385,6000000075419654339,Chen Xuan,no
Q10565456,6000000074727742870,Chen Ke,no
Q10565459,6000000074737444031,Chen Gongfu,no
Q10565468,6000000074734478907,Chen Shuqing,yes
Q10565470,6000000074734221999,Chen Shubiao,yes
Q10565472,6000000074734503866,Chen Shuming,yes
Q10565478,6000000075484349157,Chen Shan,no
Q10565528,6000000075484951366,Chen Zhensun,no
Q10565629,6000000074786612248,Chen Shunyu,no
Q10565643,6000000074685203986,Chen Gou,yes
Q10565646,6000000074792570892,Chen Yu,no
Q10565667,6000000074785301333,Tao Bi,no
Q10565911,6000000074724969212,Huo Duanyou,no
Q10566044,6000000075328438258,Wei Dan,yes
Q10566046,6000000075406140894,Wei Ao,yes
Q10566059,6000000074711749911,Han Xing,no
Q10566063,6000000038103572025,Han Wei,yes
Q10566064,6000000074730425667,Han Ju,no
Q10566086,,Han Gun,no
Q10566119,6000000020601831750,Yuansun Yan,yes
Q10566122,6000000020601979689,Yan Silu,yes
Q10566145,6000000075406203946,Gu Yin,no
Q10566153,6000000074749009116,Xiang Anshi,no
Q10566301,6000000075424175958,Shoushan Xingnian,no
Q10566505,6000000075397955886,Ma Huaisu,no
Q10566512,6000000075428942891,Zhao Liangsi,no
Q10566566,6000000075327093893,Feng Ang,yes
Q10566608,6000000074715059009,Ma Liao,yes
Q10566624,6000000074769576149,Zuchang Ma,no
Q10566694,6000000074735951046,Gao Sisun,no
Q10566744,,Gao Wenmin,yes
Q10566811,6000000074698779896,Gao Jixuan,yes
Q10566814,6000000074769047148,Gao Zhu,no
Q10566821,6000000075049404437,Gao Ruona,no
Q10566822,6000000075429016122,Gao He,no
Q10566842,6000000075063259870,Gao Zunyu,yes
Q10566889,,Gao Zhen,yes
Q10566913,6000000074717708200,Wei Xianxin,yes
Q10566915,6000000074705265132,Wei Anxing,no
Q10566932,6000000074758087905,Wei Ye,no
Q10566948,6000000074707158488,Yu Zhouxun,no
Q10566966,6000000075326324236,Xianyu Qujin,no
Q10566997,6000000075426497934,Bao Yunlong,no
Q10567154,6000000075486952113,Huang Shiyi,no
Q10567174,6000000074727874040,Huang Gan,no
Q10567184,6000000075326672908,Chaoying Huang,no
Q10567193,6000000074749924008,Huang Huan,no
Q10567228,6000000075486725342,Huang Yigang,no
Q10567246,6000000074750111835,Huang Shiyong,no
Q10567264,6000000074749810034,Huang You,no
Q10567376,6000000075431272845,Long Dayuan,no
Q10567407,6000000074698637159,Gong Yuan,no
Q10567410,6000000074727205096,Gong Yizheng,no
Q10593949,6000000074791961050,Yelü Lage,no
Q1060250,,Shō On,yes
Q10658829,6000000074792115883,Yelü Yindidan,no
Q1067326,,Behter,yes
Q10742819,6000000057294314037,Pei Shuye,yes
Q10743129,6000000075501777319,Baiyun Shouduan,no
Q10771770,6000000074725376484,Hou Renbao,no
Q10788073,,Li Yanshou,yes
Q10788156,6000000074699059879,Li Changling,yes
Q108048019,6000000075503319862,Fojian Huiqin,no
Q10827258,6000000021150725082,Xiao Yi,yes
Q10864131,,Ding Bing,no
Q10864136,6000000075505989862,Ding Qianxue,no
Q10864137,6000000075508602848,Ding Renchang,no
Q10864139,,Ding Yici,yes
Q10864187,6000000074753856840,Ding Gu,no
Q10864242,6000000051947208931,Ding Baochen,no
Q10864243,6000000075508580835,Ding Baoquan,no
Q10864264,6000000050037661311,Yu Shileng,no
Q10864322,6000000075508654834,Ding Huai,no
Q10864354,6000000075503575947,Ding Yu,no
Q10864445,6000000075406591220,Ding Henian,no
Q10864996,6000000074750446079,Wanshou,yes
Q10867334,6000000074702619170,Shangguan Ning,no
Q10867338,6000000075050108967,Shangguan Jun,no
Q10867344,,Shangguan Tingzhi,yes
Q10877044,,Kong Xun,no
Q10877280,6000000074783483825,Sun Daofu,no
Q10879719,,Yeku,yes
Q10880605,6000000075507917116,Yu Shimei,no
Q10881168,6000000074749816694,Li Mou,yes
Q10882472,6000000074690990833,Jing Du,no
Q10883269,6000000058103125021,Jing Tang,no
Q10884622,6000000074725351013,Ren Boyu,no
Q10884632,6000000075503684833,Ren Zhaolin,no
Q10884676,6000000074748986762,Ren Xiyi,no
Q10884704,6000000075327446878,Ren Fang,no
Q10884739,6000000074750825033,Ren Fu,no
Q10885650,,Buyannemekü,no
Q10886013,6000000074726031087,He Li,no
Q10886032,6000000065514245857,He Jun,yes
Q10886102,6000000074787583902,He Menggui,no
Q10886241,6000000074692228886,He Changyan,no
Q10886401,6000000075326717935,He Wei,no
Q10886484,6000000074717854885,Yu Zhong,no
Q10886521,6000000074727463142,Yu Tianren,no
Q10886522,6000000074727128389,Yu Tianxi,no
Q10886638,6000000075426328930,Yu Jie,no
Q10886662,6000000029287521426,Yu Zhaokang,yes
Q10886680,6000000074789305011,Yu Que,no
Q10886706,6000000075501960092,Shi Liaoyuan,no
Q10886783,6000000075502321513,Shi Huiyuan,no
Q10886870,6000000075504157841,Tong Jingwen,no
Q10887307,,Hou Fangxia,no
Q10887379,,Hou Zhenyang,no
Q10887771,6000000074707920827,Yu Chong,no
Q10887805,6000000074707644028,Yu Xidan,no
Q10887831,6000000075429306859,Yu Wenbao,no
Q10887861,6000000074707808906,Yu Xianke,no
Q10887897,6000000029164217552,Biyun Yu,yes
Q10888130,,Houling,yes
Q10888349,6000000074770488422,Ni Si,no
Q10888383,,Ni Liangyao,no
Q10889004,,Fu Boshou,no
Q10889005,,Fu Bocheng,no
Q10889027,6000000075610986822,Fu Jianian,no
Q10889040,6000000028794990301,Fu Shoutong,yes
Q10889061,6000000074692075876,Fu Songqing,no
Q10889114,6000000074725505451,Fu Ji,no
Q10889139,6000000075488225848,Fu Qian,no
Q10889159,6000000074728573853,Fu Zhi,no
Q10889177,,Fu Zide,no
Q10889256,,Chu Fangqing,no
Q10889485,6000000075506338902,Chu Zhaofeng,no
Q10889489,,Chu Zaiwen,no
Q10889491,6000000075612192006,Chu Dawen,no
Q10889495,,Chu Baoshu,no
Q10889499,,Chu Jinguan,no
Q10889501,,Chu Mishu,no
Q10889504,,Chu Yuwen,no
Q10889520,6000000075502261003,Shi Yunkan,no
Q10889559,,Yuan Shao,yes
Q10889796,6000000075402812863,Yuan Jie,no
Q10889803,,Yuan Yu,yes
Q10889877,,Chongbao,yes
Q10893110,6000000075507404034,Liushiqi,no
Q10894958,6000000211880717821,Mao Guangsheng,no
Q10894962,6000000075505884323,Mao Xiang,no
Q10895352,6000000047502280188,Feng Zheng,no
Q10895355,6000000075326567994,Feng Shike,no
Q10895376,6000000075485869291,Feng Mengde,no
Q10895694,6000000074726889389,Shi Jingyuan,no
Q10897041,,Liu Shih-heng,no
Q10897086,6000000074789287110,Liu Renben,no
Q10897091,6000000075405432851,Liu Xianlun,no
Q10897177,6000000019472378152,Liu Mianzhi,no
Q10897209,6000000074792886892,Liu Taigong,no
Q10897315,6000000074725440821,Liu Anjie,no
Q10897343,6000000075499066578,Liu Zai,no
Q10897425,6000000074700873422,Liu Cen,no
Q10897491,6000000075500458942,Liu Tingrang,no
Q10897492,,Liu Jian,yes
Q10897501,6000000074729802850,Liu Yi,yes
Q10897770,6000000074752994843,Liu Wen Sou,yes
Q10897853,6000000074790473050,Liu Qi,no
Q10897896,6000000074752877271,Liu Xizhong,yes
Q10897951,6000000074717584102,Liu Mengsou,no
Q10897989,6000000074787342015,Liu Guo,no
Q10898037,,Liu Jinzao,yes
Q10899334,6000000074789844821,Liu Sanwu,no
Q10899418,,Liu Zhuan,yes
Q10899496,6000000019150224561,Liu Zhaoyang,yes
Q10899517,6000000075506341834,Liu Siwan,yes
Q10899556,6000000075500442828,Liu Kui,no
Q10899600,6000000074731094015,Zihui Liu,yes
Q10899619,6000000075508910889,Liu Xueqian,no
Q10899629,6000000074768573858,Liu Anren,no
Q10899676,6000000075346206974,Liu Shenli,yes
Q10899693,6000000019152033093,Liu Lvxuan,yes
Q10899749,6000000075506713819,Liu Pengnian,no
Q10899754,6000000040034083356,Liu Fu,yes
Q10899765,6000000075345603283,Liu Dewei,yes
Q10899845,6000000051565801969,Zhi Liu,yes
Q10899846,6000000039025031998,Liu Ban,no
Q10899898,,Liu Ang,yes
Q10899914,6000000050095879945,Liu Xingwei,yes
Q10899970,6000000075376918822,Liu Qichu,yes
Q10900037,6000000068782596870,Liu Yongzuo,yes
Q10900041,,Liu Rumo,yes
Q10900049,6000000074700151413,Liu Hang,no
Q10900077,,Liu Tuan,yes
Q10900121,6000000068782697052,Liu Xuan,yes
Q10900135,6000000074717949828,Liu Xigu,no
Q10900137,,Liu Xizuo,yes
Q10900175,,Liu Dian,yes
Q10900189,6000000075615211933,Liu Ruiqi,no
Q10900190,,Liu Jui-fen,no
Q10900194,6000000074787461218,Liu Lian,no
Q10900201,6000000074787856886,Liu Jing,no
Q10900203,6000000019509994747,Liu Yonghe,yes
Q10900216,6000000019152083001,Liu Zhanhan,yes
Q10900237,6000000050095962883,Liu Zhongzhi,yes
Q10900270,6000000068742822043,Liu Weilie,yes
Q10900301,6000000075500712887,Liu Xisou,no
Q10900304,6000000074733085842,Liu Qiao,yes
Q10900354,6000000075508660002,Liu Ruoceng,no
Q10900362,6000000075508746915,Liu Hua,no
Q10900370,6000000074738687939,Liu Fen,no
Q10900416,6000000050096164859,Liu Jinzhi,yes
Q10900435,6000000074712838871,Liu Qi,yes
Q10900438,,Liu Yueyun,yes
Q10900444,6000000074784752567,Liu Hui,no
Q10900552,6000000075346339935,Liu Su,yes
Q10900561,6000000013011443945,Liu Tiqian,yes
Q10900562,6000000075407329038,Liu Tiren,no
Q10901287,,Lekdehun,yes
Q10901319,,Lerbei,yes
Q10901320,,Lergiyen,yes
Q10901590,6000000074727465108,Bao Hui,no
Q10906067,6000000018175548157,Zhuo Xiaofu,yes
Q10909656,6000000075505270898,Bian Yongyu,no
