# The seeds of the round being exported RIGHT NOW, written at creation time and
# overwritten every round — the same handoff shape as midpoint-seeds-to-open.tsv,
# not a history. It exists because the 2026-08-17 crash left three downloaded zips
# with nothing in the repo saying what they were: the seed IDs are the whole state
# of a round, and they are cheap to write down and expensive to reconstruct.
# Empty below the header means no round is mid-flight.
seed_geni_id	seed_name	tier	slot	target_geni_id	target_name
6000000227316420926	NN Keplinger	4	BARR MIDPOINT: father of John Lewis Kepplinger	6000000002625917550	Andy Barr (24 missing)
6000000227316475959	NN Stevenson	4	BARR 2nd: father of Sarah Stevenson Hedger 1721-1772	6000000002625917550	Andy Barr 24->14
6000000227317750879	NN Heinemann	4	ZECH mid1: father of Hans Heinemann 1580-1638	6000000004016043175	Uli Zech (24 missing)
6000000227317899894	NN von Meschede	4	ZECH mid2: father of Graf Konrad von Montfort Hilleke von Meschede	6000000004016043175	Uli Zech 24->7
6000000227320367837	NN Svensson	4	LINDAHL end: father of Emelie Josephine Svensson 1831	6000000020104796553	Erik Robert Lindahl 22->6
6000000227320438845	Torstein Kusse	1	LINDAHL mid: father of Torstein Torsteinsson el Arnesson Kusse	6000000020104796553	Lindahl 2nd export
6000000227320837821	Anders father of Johanna	2	LIEBERT end: father of Johanna Andersdotter 1846-1929	6000000043443420498	Karl Gosta Liebert 22->7
6000000227320885873	Hans Thon	1	LIEBERT mid: father of Johan Hansen Thon 1860	6000000043443420498	Liebert 2nd export
6000000227321662900	Александр Синайский	1	SINAISKIS end	6000000182814226840	22->14
6000000227321625911	NN Алексенко	4	SINAISKIS mid	6000000182814226840	14->0 CLOSED
6000000227321754898	NN Diesterweg	4	DIESTERWEG end	6000000021228638868	22->4
6000000227322001858	NN Gülden von Grünberg	4	DIESTERWEG mid	6000000021228638868	running
6000000227322054871	NN Lihavainen	4	BROMS end (queued)	6000000000498185763	pending
6000000227322307822	Anders father of Anders Brodin	2	BRODIN end	6000000017512587298	running
6000000227322273840	NN Arnqvist	4	LUNDMARK end	6000000000378545599	staged
6000000227322313875	NN Cawalier	4	BROMS mid	6000000000498185763	staged
6000000227322579826	NN Runge	4	RUNGE end	6000000053452245068	running
6000000227322079156	Jon father of Olof Jonsson	2	LUNDMARK mid	6000000000378545599	staged
6000000227322780900	NN Peregrini	4	CLEMENT XIII end	6000000012449602209	18->3 threshold
6000000227323176832	NN Nuri	4	BAHAULLAH end	6000000010354381155	17->7
6000000227323214867	NN mother of Zahir al-Umar	5	BAHAULLAH mid	6000000010354381155	7->0 CLOSED
6000000227323276867	NN Lemkin	4	LEMKIN end	6000000043649084885	17->11
6000000227323649841	NN Stusser	4	LEMKIN mid	6000000043649084885	11->3 spent
6000000227323770853	NN Ohlin	4	OHLIN end	6000000018758779136	17->4
6000000227323847848	NN Furtenbach	4	OHLIN mid	6000000018758779136	4->0 CLOSED
6000000227324100822	Lorent father of Anne Maria Lorentzen	2	THUE end	6000000029363285200	17->1 threshold
6000000227324063894	NN Montini	4	PAUL VI end	6000000057959889971	16->8
6000000227324271854	NN Bergström	4	PAUL VI mid	6000000057959889971	8->1 spent
6000000227324494828	NN Balchen	4	BALCHEN end	6000000006604342018	16->0 CLOSED
6000000227324602853	NN La Valle	4	BUGLIO end	6000000148779404114	16->0 CLOSED
6000000227324862874	NN Torcher	4	LEO XIV mid	6000000018800542417	14->4 spent
6000000227325165838	Nicolay father of Nicolay Ludvig Nicolaysen	2	NYGAARD end	6000000009875303979	13->2 threshold
6000000227325485844	NN Sicco	4	JOHN XVII end	6000000184169690842	12->1 threshold
6000000227325855824	NN 陳	4	FU SSU-NIEN end	6000000012827520384	12->10
6000000227325518941	Per Dahlpihl	1	FU SSU-NIEN mid	6000000012827520384	10->0 CLOSED
6000000227325966875	NN Watanabe	4	WATANABE end	6000000056836304898	11->4
6000000227326052897	Halvor Drangsholt	1	WATANABE mid	6000000056836304898	4->0 CLOSED
6000000227326275870	NN Jones	4	BENEDICT XVI mid	6000000010888345851	10->1 threshold
6000000227326264911	Lars Hallaråker	1	URBAN VIII mid-A	6000000002375565387	10->4
			URBAN VIII	6000000002375565387	spent at 4: no open parent slot in the Este/Barberini/Brunswick trees
6000000227326510857	NN da Pirovano	4	GREGORY X end	6000000003897531253	9->0 CLOSED
6000000227326680842	NN de l'Isle Jourdain	4	JOHN XXII end	6000000012734378784	8->0 CLOSED
6000000227327574823	NN Parentuccelli	4	NICHOLAS V end	6000000022945004064	8->3 threshold
6000000227327679856	NN Parravicini	4	GREGORY XIV end	6000000015350503911	6->0 CLOSED
6000000227327789838	NN Godinho	4	JOHN XXI end	6000000139834612831	6->0 CLOSED
6000000227327848841	Lars father of Maren Larsdatter	2	BENEDICT XV mid	6000000076714784457	5->0 CLOSED
