qid,geni_id,label,in_universe,wikidata_degree,wd_bure_in_component,wd_nearest_bure_hops,tree_bure_in_component,tree_nearest_bure_hops
Q3428167,6000000012648547676,Olof Kolmodin I,1,9,231,25,250,5
Q3450190,6000000011539184038,Johan Hisinger till Fagervik,1,5,231,1,250,1
Q3462736,6000000011700742344,Samuel Gustaf Hermelin,1,10,231,2,250,2
Q352296,6000000008649822236,Magnus Fredrik Brahe,1,21,231,1,250,1
Q362485,6000000008403251632,Sten Carl Turesson Bielke,1,3,231,6,250,3
Q364270,6000000006429643351,Carl Gustaf Patrik de Laval,1,4,231,4,250,3
Q3655969,6000000004032037913,Anders Engelbertsson Bure,1,7,231,1,250,2
Q3946660,6000000013286633067,Samuel af Ugglas,1,5,231,2,250,2
Q4157020,6000000003579020143,Magnus Julius Axelsson De la Gardie till Tullgarn,1,18,231,1,250,1
Q4225027,6000000021500080690,Olof Andersson Knös,1,5,231,1,250,2
Q4355686,6000000007900343922,August Gustaf Nordenskjöld,1,4,231,1,250,2
Q455071,6000000001515418125,Hans Axel von Fersen II,1,5,231,1,250,2
Q456456,6000000002797432088,Matthias Petri Steuchius,1,9,231,1,250,1
Q4569362,6000000006128111121,Mathias Rosenblad,1,7,231,1,250,2
Q469962,1551393,Eva Sophia Sofia von Fersen,1,11,231,1,250,2
Q473225,6000000008496890943,Georg Brandt,1,5,231,3,250,3
Q4830275,344146815060011563,Axel Gustaf Gyllenkrok,1,9,231,1,250,1
Q490686,6000000019584518841,Anders Abraham Grafström,1,5,231,2,250,2
Q490870,6000000001865040777,Anders Jacobsson Chydenius,1,5,231,1,250,2
Q4938400,6000000020584191181,Christina Charlotta Cronhielm af Hakunge,1,5,231,3,250,3
Q4941089,6000000007756041590,Catharina Bröms,1,6,231,5,250,4
Q4944366,6000000007753195350,Charlotta Aurora De Geer af Finspång,1,9,231,1,250,1
Q4944381,6000000016586458365,Brita Sofia De la Gardie,1,7,231,1,250,1
Q4945294,6000000006329684570,Ulrika Eleonora von Düben,1,5,231,1,250,1
Q4945900,6000000013173880845,Helena Maria Ehrenstråhle,1,4,231,1,250,1
Q4953277,6000000017986416972,Margareta Charlotta Heijkenskjöld,1,3,231,1,250,1
Q4972997,6000000000404695772,Christina Törne,1,12,231,1,250,1
Q4973002,6000000008649644785,Christina Charlotta Piper,1,9,231,1,250,1
Q4976863,6000000042115980532,Stina Claesdotter Sandels,1,3,231,7,250,6
Q4989142,6000000011182671903,Eva Helena Löwen,1,7,231,1,250,1
Q4989818,6000000044151433054,Ulrika Eleonora Strömfelt,1,6,231,1,250,1
Q4992085,6000000008943401649,Lars von Engeström,1,11,231,4,250,2
Q4993033,6000000012734454230,Carl Gustaf Nordin,1,6,231,2,250,3
Q5040378,6000000007306021857,Carl Jesper Benzelius,1,7,231,1,250,1
Q524071,6000000033257118889,Peter Artedi,1,2,1,,250,6
Q543935,6000000006127523501,Gustaf Mauritz Armfelt,1,11,231,1,250,1
Q546949,6000000009217333438,Sofia Magdalena Montgomery,1,4,231,2,250,2
Q5542574,6000000007293370456,Johan Fredrik Adelheim Borgström,1,4,1,,250,6
Q5542622,6000000006127732217,Johan Adelswärd,1,7,231,1,250,1
Q5542628,6000000009401515923,Erik Göran Adelswärd,1,8,231,1,250,1
Q5542632,6000000009726668887,Eric Reinhold Adelswärd,1,6,231,1,250,1
Q5547967,6000000038458872253,Erik Alstrin,1,5,1,,250,3
Q5548897,6000000001502447400,Gregorius Aminoff I,1,4,231,4,250,4
Q5561270,6000000006979041910,Mattias Asp,1,6,231,2,250,2
Q5562579,6000000007025966290,Magnus Petri Aurivillius,1,8,231,1,250,1
Q5562598,6000000007318765242,Samuel Aurivillius,1,11,231,1,250,1
Q5568857,6000000006776755330,Daniel Jonsson Behmer,1,10,231,3,250,4
Q5570926,6000000007247592424,Gustaf Benzelstierna,1,8,231,1,250,2
Q5570928,6000000006782861172,Lars Benzelstierna,1,11,231,1,250,1
Q5570931,6000000011593945394,Lars Benzelstierna,1,6,231,1,250,1
Q5574572,6000000018254235320,Christian August Berwald,1,4,231,1,250,2
Q5575580,6000000001801796027,Gustaf Ture Bielke,1,6,231,1,250,1
Q5575607,6000000001801755169,Nils Adam Turesson Bielke,1,11,231,1,250,1
Q5580703,6000000006127985923,Carl Julius Bernhard von Bohlen,1,5,231,2,250,3
Q5580881,6000000011536457635,Carl Gustaf Boije af Gennäs,1,4,231,4,250,4
Q5580888,6000000006127120913,Erik Gustaf Boije af Gennäs,1,4,231,2,250,2
Q5580892,6000000020865415341,Fredrik Carl Boije af Gennäs,1,4,231,4,250,4
Q5584506,6000000009718220062,Magnus Brahe,1,12,231,1,250,1
Q5585470,6000000009190508789,Johan Brauner,1,2,231,4,250,3
Q5587236,6000000006127817165,Carl Johan Gyllenborg,1,4,231,1,250,1
Q5589950,6000000010230616079,Jakob Bunge,1,7,231,1,250,1
Q5590143,6000000004032591603,Jonas Engelbertsson Bure,1,7,231,1,250,2
Q5590194,6000000007277919295,Nils Jakobsson Burensköld,1,9,231,1,250,2
Q5590212,6000000024594396398,Laurentius Bureus,1,3,231,1,250,2
Q5590407,6000000026433911361,Eric Burman,1,3,231,3,250,3
Q5605565,6000000019149843256,Germund Ludvig Cederhielm,1,2,231,3,250,4
Q5605651,6000000020086878142,Fredrik Johan Cederschiöld,1,3,231,4,250,4
Q5605668,6000000007675721719,Petrus Eliae Cederschiöld till Lidboholm,1,5,231,3,250,3
Q5613434,6000000007026278130,Börje Cronberg,1,6,231,5,250,4
Q5618759,6000000003694920477,Adam Carl De la Gardie,1,11,231,1,250,2
Q5618766,6000000008820838686,Axel Gabriel De la Gardie till Maltesholm,1,9,231,1,250,1
Q5618770,6000000006127523477,Carl Julius Magnusson De la Gardie till Häringe,1,11,231,1,250,1
Q5618800,6000000012159725691,Pontus Fredrik De la Gardie,1,12,231,1,250,1
Q5618813,6000000006127907767,Ulrik Gustaf Magnusson De la Gardie,1,8,231,1,250,1
Q5622753,6000000172119806833,Daniel Djurberg,1,3,1,,250,4
Q5626148,6000000007680468910,Carl Wilhelm von Düben,1,6,231,1,250,2
Q5628179,6000000019271045023,Pehr Jacob von Ehrenheim,1,4,231,3,250,3
Q5698210,6000000054235169012,Samuel Chydenius,1,4,231,1,250,2
Q5702986,6000000070658376932,Carl Olof Delldén,1,3,231,6,250,6
Q5706932,6000000008780306729,Claes Julius Ekeblad,1,4,231,1,250,1
Q5724521,6000000008979441405,Christopher Falkengréen,1,2,231,5,250,5
