qid	label	geni_ids	in_corpus	shape	detail
Q101228323	Georg Friedrich, Freiherr von Creytzen	6000000022395121584;6000000032417867833	0	neither profile is in our corpus	
Q101245989	Caleb Dana	6000000003939198233;6000000096324927026	0	neither profile is in our corpus	
Q101246108	John Worden	6000000001563121510;6000000099763332915	0	neither profile is in our corpus	
Q101423528	Sarah Stiles	6000000068972355830;6000000077984751142	0	neither profile is in our corpus	
Q102084893	Beniamin Krusche	6000000019469318392;6000000195039898476	0	neither profile is in our corpus	
Q102107	Johann Bernhard Wilbrand	6000000016304127645;6000000109154324849	0	neither profile is in our corpus	
Q102157397	Francis Lee Johnson	6000000034909757077;6000000052322757845	0	neither profile is in our corpus	
Q102157541	Sarah Josephine Williams	6000000034998266603;6000000052322512972	0	neither profile is in our corpus	
Q102228062	Robert Lawrence Stearns	6000000001915109394;6000000077367935005	0	neither profile is in our corpus	
Q102392633	Teofila Odyniec	6000000083070121013;6000000177210640867	0	neither profile is in our corpus	
Q102402448	Мацвей Васілевіч Чацвярцінскі	6000000014069067503;6000000081277796957	0	neither profile is in our corpus	
Q102417262	Stanisław Wołłowicz	6000000022877198431;6000000032053972914	0	neither profile is in our corpus	
Q102417560	Юзаф Слізень	6000000009403304982;6000000038134418659	0	neither profile is in our corpus	
Q102536628	Petronela Wołodkowicz	6000000024782378925;6000000036997569010	0	neither profile is in our corpus	
Q102942382	Nadezhda Gagarina	6000000009189346638;6000000157681677948	0	neither profile is in our corpus	
Q103056725	Daniel Frydrychowicz Puzyna	6000000024948366049;6000000192281757854	0	neither profile is in our corpus	
Q10347425	Pedro Dias Pais Leme da Câmara	6000000017378299777;6000000149401900880	0	neither profile is in our corpus	
Q103765961	Martha Kingsbury	6000000007269610446;6000000027652562439	0	neither profile is in our corpus	
Q103768923	Ephraim Kingsbury	6000000007268878697;6000000027652282460	0	neither profile is in our corpus	
Q103811042	Петка Свірскі	6000000012155903106;6000000080760134101	0	neither profile is in our corpus	
Q103811236	Henrietta Foster	6000000014437907504;6000000073137207941	0	neither profile is in our corpus	
Q103819215	Michał Frąckiewicz-Radzimiński	6000000024757887164;6000000045888454989	0	neither profile is in our corpus	
Q103819224	Антанела Друцкая-Горская	6000000015151679024;6000000082673313933	0	neither profile is in our corpus	
Q103903312	Franciszka Chałecka	6000000083820194298;6000000130989090257	0	neither profile is in our corpus	
Q103942821	Mariya Shuvalova	6000000013548621899;6000000190090630168	0	neither profile is in our corpus	
Q103954861	Wawrzyniec Rudomina Dusiacki	6000000028265674829;6000000084632491886	0	neither profile is in our corpus	
Q103955273	Zofia Felicja Wołłowicz	6000000020070655734;6000000028265657861	0	neither profile is in our corpus	
Q104037323	Gottlieb Krusche	6000000019469300344;6000000195039898464	0	neither profile is in our corpus	
Q104434100	Krzysztof Stetkiewicz	6000000015346478921;6000000018647774625;6000000086473062890	0	neither profile is in our corpus	
Q104444488	John Sherman, Jr.	6000000009006812704;6000000206780488872	0	neither profile is in our corpus	
Q104477830	Elena Pavlovna Bibikova	6000000008651330863;6000000190047298086	0	neither profile is in our corpus	
Q104478164	Pavel Gavrilovich Bibikov	6000000011275428930;6000000190046853438	0	neither profile is in our corpus	
Q104522218	Eufrozyna Chrzanowska	6000000011706766353;6000000024947919726	0	neither profile is in our corpus	
Q104522426	Andrzej Woyna	6000000039239819485;6000000087360252247	0	neither profile is in our corpus	
Q104522429	Łukasz Woyna	6000000041469650378;6000000094084263858	0	neither profile is in our corpus	
Q104523661	Tadeusz Narbutt	6000000015387184733;6000000176783424836	0	neither profile is in our corpus	
Q104523980	Юзаф Аскерка	6000000130880649836;6000000142414361910;6000000207402402850	0	neither profile is in our corpus	
Q104523990	Ганна Агінская	6000000130880012821;6000000207402480823	0	neither profile is in our corpus	
Q104530946	Anna Klonowska	6000000024758016141;6000000045888636858	0	neither profile is in our corpus	
Q104531054	Maciej Michał Frąckiewicz Radzimiński	6000000038188552163;6000000038238417086	0	neither profile is in our corpus	
Q104538484	Wasylissa Hołownia-Ostrożecka	6000000011242995218;6000000090936593835	0	neither profile is in our corpus	
Q104589904	Maciej Dembiński	6000000016365997755;6000000024758106181	0	neither profile is in our corpus	
