round	slot	method	geni_id	fs_id	from_geni	from_fs_id	evidence
4	child	date	6000000226873737894	KL62-4DB	6000000006365407973	GNVF-KMX	born 1140 vs 1140
4	child	date	6000000025029989899	PMM1-Q2N	6000000001934674984	LYQ5-YDP	born 1210 vs 1210
5	child	date	6000000003827305605	K8W4-HDH	6000000003827315945	GKZC-R1L	born 1117 vs 1117
5	child	date	6000000004533664681	LK2Q-8HJ	6000000002187723026	MY4M-31D	born 1064 vs 1064
5	child	date	6000000003454383180	LK54-V53	6000000006351173172	LRL9-7LZ	born 1312 vs 1312
5	child	date	6000000006727873134	P442-KCY	6000000003087125859	LBG5-LJT	born 1097 vs 1097
5	child	date	6000000010936026383	P44L-QW7	6000000003087125859	LBG5-LJT	born 1108 vs 1108
5	child	date	6000000002187834546	GWSG-2C7	6000000008568510482	GCQF-5M3	born 1116 vs 1116
5	child	date	6000000219102465824	PCQW-MQ7	6000000219102521834	GX92-QGX	born 1090 vs 1090
5	child	name	6000000008416350166	GNHV-VP1	6000000002979879011	L28D-TJH	shared: boulogne
5	child	date	6000000006727871125	GGSB-XQN	6000000002400782615	LKJQ-7RT	born 1120 vs 1120
5	child	date	6000000002187829624	949N-VNX	6000000002400782615	LKJQ-7RT	born 1132 vs 1132
5	child	date	6000000011094380324	GP89-8ZX	6000000003827147216	LR5R-KXV	born 1052 vs 1052
5	child	date	6000000007369880557	LT2H-M7K	6000000003494707647	LDHS-6S3	born 913 vs 913
5	child	date	6000000006880491517	LCTV-5WG	6000000006386710007	LBLG-G8H	born 1182 vs 1182
5	child	date	6000000019952684438	L22S-BJ8	6000000017343841179	GZV8-NTM	born 1753 vs 1753
5	child	date	6000000026709996368	GLFK-94D	6000000003232509478	KZSM-RXV	born 990 vs 990
5	child	date	6000000006727871125	GGSB-XQN	4946518870490042172	MQBD-YLM	born 1120 vs 1120
5	child	date	6000000002187829624	949N-VNX	4946518870490042172	MQBD-YLM	born 1132 vs 1132
5	child	date	6000000011094380324	GP89-8ZX	6000000006906578140	GT8F-Z23	born 1052 vs 1052
5	child	solo	6000000177922427822	G353-TRS	6000000177921458979	PC5K-KTX	position
5	child	date	6000000003454383180	LK54-V53	6000000002601866292	LRTN-SMP	born 1312 vs 1312
5	child	date	6000000002187651872	GRQR-MF2	6000000001183913030	99PY-ZDF	born 950 vs 950
5	child	date	6000000002188026910	P6Y8-PMS	6000000002043208938	LT83-H6M	born 1040 vs 1040
5	child	date	6000000007369880557	LT2H-M7K	6000000001441184437	LBBB-4XS	born 913 vs 913
5	child	date	6000000002187834546	GWSG-2C7	6000000008568510486	9WDN-7LX	born 1116 vs 1116
5	child	date	6000000084728138886	GL8L-B5M	6000000072080538984	GL8L-N97	born 1148 vs 1148
5	child	date	6000000003827445735	PZSV-LWD	6000000005414590318	GMF1-J32	born 1170 vs 1170
5	child	date	6000000025029989899	PMM1-Q2N	4102767	GM63-XM6	born 1210 vs 1210
6	child	name	6000000027403935091	GGL8-PN5	6000000001023157027	GGL8-1N1	shared: hallkjellsdatter
6	child	date	6000000004533221286	GX99-TB1	6000000060260088872	LRYD-36S	born 1140 vs 1140
6	child	date	6000000001934910815	KP42-P8X	370166216450011194	LT11-D99	born 1265 vs 1265
6	child	date	6000000003349295306	PCH8-V5F	370166216450011194	LT11-D99	born 1270 vs 1270
6	child	date	6000000195144093842	P78R-VWN	6000000195144306823	PQB1-1QM	born 966 vs 966
6	child	date	6000000008899601765	GTH4-XGR	6000000008152322755	GJD4-LCC	born 1067 vs 1067
6	child	date	6000000003827445735	PZSV-LWD	6000000001643397812	LHL1-6KV	born 1170 vs 1170
6	child	solo	3739404	GY3R-SZY	6000000009897859618	GYQW-PS8	position
6	child	date	6000000026505640810	MNF9-VK3	6000000020056592341	L4TV-4G5	born 1778 vs 1778
6	child	date	6000000026506455307	KZLF-HKC	6000000020056592341	L4TV-4G5	born 1796 vs 1796
6	child	date	6000000001935440284	PS8T-7QQ	6000000008755327481	GYQG-KLJ	born 1075 vs 1075
6	child	date	6000000002187798266	KZGW-F3Q	6000000009458060257	LDW2-RVK	born 982 vs 982
6	child	date	358242310870003906	G65L-22B	6000000003858604945	GPL2-54Q	born 1050 vs 1050
6	child	date	6000000052008703890	G7MJ-L7M	6000000003827445075	GV7Y-QDZ	born 1212 vs 1212
6	child	date	6000000010563690202	KLLG-WFS	6000000002893299272	GY31-VFT	born 1295 vs 1295
6	child	date	6000000001934910815	KP42-P8X	6000000003349243920	P39P-D3K	born 1265 vs 1265
6	child	date	6000000003349295306	PCH8-V5F	6000000003349243920	P39P-D3K	born 1270 vs 1270
6	child	date	6000000004533221286	GX99-TB1	6000000012396594448	GSK2-NDY	born 1140 vs 1140
6	child	date	6000000019952684438	L22S-BJ8	6000000017343741206	L271-GPJ	born 1753 vs 1753
6	child	date	6000000002187798266	KZGW-F3Q	6000000009457920593	LDW2-RVB	born 982 vs 982
6	child	date	358242310870003906	G65L-22B	6000000000462713383	G3BW-ZY7	born 1050 vs 1050
6	child	date	6000000008630676988	GDRS-GGB	6000000002135737061	LYK6-52W	born 1073 vs 1073
6	child	date	6000000084728138886	GL8L-B5M	6000000174319097912	GLZY-GRY	born 1148 vs 1148
7	child	date	6000000012591182222	G94P-WJG	367832048560012718	LTRX-LBS	born 1700 vs 1700
7	child	solo	6000000069193419854	GPZK-758	6000000134767998835	LDW2-1TJ	position
7	child	date	6000000002545426326	L4BQ-VZ9	6000000001198751004	LH2S-LV7	born 1215 vs 1215
7	child	date	6000000002545426326	L4BQ-VZ9	6000000005005449637	L4BQ-KSQ	born 1215 vs 1215
7	child	date	6000000002187828650	G2CJ-GJF	6000000004533709443	GP89-8ZX	born 1079 vs 1079
7	child	date	6000000002187801746	PWWD-S7D	6000000019774088407	K8ZB-D3V	born 1145 vs 1145
7	child	date	6000000008630676988	GDRS-GGB	6000000003495325673	GRQL-JHG	born 1073 vs 1073
7	child	solo	6000000001354377386	949X-4FW	6000000004533150728	9ZHS-1C8	position
7	child	date	4815866939850026583	LLMJ-H3W	6000000001210401775	LBS8-7SB	born 1085 vs 1085
7	child	date	6000000002187801746	PWWD-S7D	6000000011157233963	KLVJ-VNV	born 1145 vs 1145
7	child	date	6000000001935440284	PS8T-7QQ	358242310870003906	GYQG-FYV	born 1075 vs 1075
7	child	date	6000000052008703890	G7MJ-L7M	6000000008248430400	GYLY-PPD	born 1212 vs 1212
7	child	date	6000000029368702537	GPKS-ZWZ	6000000002187825190	G1RX-SHK	born 1109 vs 1109
7	child	date	6000000009153219333	PQYM-QWR	6000000002187825190	G1RX-SHK	born 1110 vs 1110
7	child	date	6000000026505640810	MNF9-VK3	6000000005607086971	LZDJ-SVD	born 1778 vs 1778
7	child	date	6000000026506455307	KZLF-HKC	6000000005607086971	LZDJ-SVD	born 1796 vs 1796
7	child	date	6000000012397163725	GG7G-13H	6000000010923283882	GX2Q-S65	born 1050 vs 1050
7	child	solo	3739404	GY3R-SZY	6000000007090867238	GY7M-7VT	position
7	child	date	6000000012397163725	GG7G-13H	6000000129562486879	GKML-GZM	born 1050 vs 1050
7	child	date	6000000002187828650	G2CJ-GJF	6000000002187828634	GT2F-THV	born 1079 vs 1079
8	child	date	6000000003827751413	GMXQ-PTC	6000000002043258831	29T6-NVP	born 1120 vs 1120
8	father	solo	6000000003243493509	GVQT-KXY	6000000012469030707	P33Y-B9B	position
8	mother	solo	6000000009029323222	GVH4-46M	6000000012469030707	P33Y-B9B	position
8	child	date	6000000002187721811	PQK9-L47	6000000003827300347	G8WY-BND	born 1115 vs 1115
8	child	date	6000000029321299870	GBKH-GCH	6000000026534693043	GBKH-WFG	born 1824 vs 1824
8	child	date	6000000012591182222	G94P-WJG	367831168160012668	LTRX-P9Q	born 1700 vs 1700
8	child	date	6000000002187721811	PQK9-L47	6000000004533173484	GDCF-JR4	born 1115 vs 1115
8	child	date	6000000004533725621	GHXK-K57	6000000001205369626	PWGH-QQ5	born 1080 vs 1080
8	child	date	6000000002187798493	LDMJ-K8X	6000000002980019814	LDMJ-KCB	born 1196 vs 1196
8	child	date	6000000009438388801	GDJG-G6R	6000000021786557580	GC35-TBX	born 1040 vs 1040
8	father	solo	6000000003684097114	PSDB-T7F	6000000000141507598	GQXY-TCW	position
8	mother	solo	6000000011418224721	PSDB-GTV	6000000000141507598	GQXY-TCW	position
8	child	date	6000000004533725621	GHXK-K57	6000000180815172825	LJR2-KC2	born 1080 vs 1080
8	child	date	6000000003827751413	GMXQ-PTC	6000000002043258825	G935-3GB	born 1120 vs 1120
8	child	date	6000000029321299870	GBKH-GCH	6000000029344188783	LH3L-XVH	born 1824 vs 1824
8	child	date	6000000003645734140	G311-N4X	6000000001052543006	LDV1-DSC	born 1194 vs 1194
8	child	date	6000000009438388801	GDJG-G6R	6000000009304846198	GJT8-95Q	born 1040 vs 1040
9	child	date	6000000002187797000	PWNX-VQ5	6000000002043214660	KZYN-7D2	born 1110 vs 1110
9	child	date	6000000002187797000	PWNX-VQ5	6000000000424904289	G94L-F5W	born 1110 vs 1110
9	child	date	6000000012957519194	KD96-B2X	6000000018014716237	LH3L-6N4	born 1797 vs 1797
9	child	date	6000000002187798493	LDMJ-K8X	6000000000269787574	LHC4-3QK	born 1196 vs 1196
9	child	date	6000000012957519194	KD96-B2X	6000000002834048221	LH3L-6FN	born 1797 vs 1797
9	child	solo	6000000083981945502	MLHR-K4H	6000000083960074884	KHHR-LYH	position
10	child	date	6000000002187826980	LCXF-J88	6000000002187826932	LCXF-VYN	born 1120 vs 1120
10	child	date	6000000003095174586	KCJ6-4XV	6000000006979615129	27NH-17L	born 1734 vs 1734
10	child	name	6000000121848782878	M37H-46R	6000000005607086930	KZXV-7KG	shared: ranveig
10	child	date	6000000005607506165	LQDT-2C9	6000000005609534659	L7P9-HCP	born 1757 vs 1757
10	child	date	6000000002187826980	LCXF-J88	362185222750011958	G4FF-FYC	born 1120 vs 1120
10	child	date	6000000004533774104	PQDZ-DMX	6000000011284638203	GTCY-62C	born 1150 vs 1150
10	child	date	6000000003095174586	KCJ6-4XV	6000000008777364122	LZLR-S5F	born 1734 vs 1734
10	child	date	6000000004533774104	PQDZ-DMX	6000000002187796127	LVCS-SMK	born 1150 vs 1150
10	child	date	6000000003094961509	MFF9-5V9	6000000006608072164	LWM4-1JX	born 1746 vs 1746
10	child	date	6000000003217832020	LH75-21Y	6000000036566411602	L4MY-MLY	born 1200 vs 1200
10	child	date	6000000002187814195	PQZG-DXK	6000000003827477206	GSSG-YMR	born 1180 vs 1180
10	child	date	6000000013401823173	PSNZ-529	6000000002350777345	27NL-NBL	born 1275 vs 1275
10	child	date	6000000002187814195	PQZG-DXK	6000000003827618255	GLQ3-DMV	born 1180 vs 1180
11	child	date	6000000003094961509	MFF9-5V9	6000000006608072143	GLQ2-SP5	born 1746 vs 1746
11	child	date	6000000005607506165	LQDT-2C9	6000000005609534669	L7P9-CSN	born 1757 vs 1757
11	child	date	6000000051569011060	PMMZ-CRD	6000000003827438915	LYHG-6LK	born 1210 vs 1210
11	child	solo	6000000002187684567	GYZ6-WR8	6000000224579755869	G5FL-PJR	position
11	child	date	6000000007978309515	KC5J-JLX	337606717430005362	KG9K-S8W	born 1760 vs 1760
11	child	date	6000000002187823529	G2LB-9QM	6000000009305044275	GDVG-HRQ	born 1239 vs 1239
11	child	date	6000000051569011060	PMMZ-CRD	6000000003827438909	GHFR-JL8	born 1210 vs 1210
11	child	date	6000000003827624510	9C7F-JJY	6000000003827727268	LYCC-KVJ	born 1224 vs 1224
11	child	solo	6000000002187684567	GYZ6-WR8	6000000002187684559	GQ9S-8GW	position
11	child	solo	6000000076951552417	P34P-PRQ	6000000021833577469	LZCT-3WF	position
12	child	date	317651825030005113	PX71-DB1	6000000010160609967	MKHB-WDB	born 1241 vs 1241
12	child	solo	6000000035236593853	LJPJ-9FK	6000000002964097237	LJPJ-9HC	position
12	child	date	6000000003094967657	KD9K-NPN	6000000003025443818	L7L1-D1F	born 1645 vs 1645
12	child	date	6000000004255444782	LHXY-QC1	6000000002951550914	PX1B-5MS	born 1600 vs 1600
12	child	date	6000000003492055058	MTHB-YMR	6000000005609398151	LQ5W-L32	born 1600 vs 1600
12	child	date	6000000046723971972	27V5-MQ5	6000000001770176883	27V5-M3P	born 1670 vs 1670
12	child	date	6000000003492057365	MFVW-S1J	6000000007398990394	LDSY-7DK	born 1667 vs 1667
12	child	date	6000000009688774424	PQ83-NT7	6000000003827618261	GR7J-XS1	born 1235 vs 1235
12	child	date	6000000005607123569	K8ZB-3G2	6000000003023941406	L7N1-946	born 1640 vs 1640
12	child	solo	6000000047221835938	27FC-VKP	6000000003095209385	LZXR-Z4M	position
12	child	date	6000000002603751241	L27W-ZCW	5441313740220126371	LQ55-FJB	born 1240 vs 1240
12	child	date	6000000000709878499	LTGC-9XK	5441313740220126371	LQ55-FJB	born 1241 vs 1241
12	child	date	6000000003094967657	KD9K-NPN	6000000003025703029	L7L1-6CH	born 1645 vs 1645
12	child	date	6000000003492057365	MFVW-S1J	6000000006776180733	LDSY-7XC	born 1667 vs 1667
12	child	date	6000000004255444782	LHXY-QC1	6000000002963848857	LKSX-BTD	born 1600 vs 1600
12	child	date	6000000002603751241	L27W-ZCW	6000000001651460598	M68C-8BM	born 1240 vs 1240
12	child	date	6000000000709878499	LTGC-9XK	6000000001651460598	M68C-8BM	born 1241 vs 1241
12	child	date	317651825030005113	PX71-DB1	6000000025029989899	GBCD-49V	born 1241 vs 1241
12	child	date	6000000150597225037	LCCT-MRB	6000000005606860168	LXSW-D6B	born 1712 vs 1712
12	child	date	6000000007167947349	KHMK-558	6000000006776180208	L44Y-N2X	born 1651 vs 1651
12	child	date	6000000000437643140	9HVL-7R9	6000000008933309505	L1P1-VNH	born 982 vs 982
12	child	date	6000000003492037068	LH52-BV2	6000000003492077372	LZ87-Y57	born 1700 vs 1700
12	child	date	6000000011593060560	MGZG-CGL	6000000003095033353	LHZT-9PL	born 1718 vs 1718
12	child	date	6000000007978309515	KC5J-JLX	337607033510005360	27Y2-HYB	born 1760 vs 1760
12	child	date	6000000150597225037	LCCT-MRB	6000000005606860158	LCCT-MCW	born 1712 vs 1712
12	child	date	6000000046723971972	27V5-MQ5	6000000006171259545	27TK-39Q	born 1670 vs 1670
12	child	date	6000000078214883071	LZ8W-LQB	6000000018844559071	L5N5-D25	born 1000 vs 1000
12	child	date	6000000007167947349	KHMK-558	6000000002976342395	L44Y-FGX	born 1651 vs 1651
13	child	date	6000000007408369533	MTBY-22J	6000000005607092443	2D6P-WT3	born 1686 vs 1686
13	child	date	6000000003492055600	LVQZ-L5S	6000000005607081976	L4MR-7TG	born 1615 vs 1615
13	child	date	6000000005609333520	GPSW-CM7	6000000002964341318	GPPJ-832	born 1595 vs 1595
13	child	date	6000000005609333520	GPSW-CM7	6000000008197305060	GGZR-94H	born 1595 vs 1595
13	child	date	6000000005609529484	L44V-GYV	5421954123260085632	L7T5-H9B	born 1688 vs 1688
13	father	solo	6000000003376377487	LHND-1SV	6000000002482165558	LZ9K-8SJ	position
13	mother	solo	6000000001169235389	27DS-T27	6000000002482165558	LZ9K-8SJ	position
13	child	date	6000000003492037068	LH52-BV2	6000000003491951383	2Z83-4J4	born 1700 vs 1700
13	child	date	6000000009688774424	PQ83-NT7	6000000002187820156	P4MM-FKF	born 1235 vs 1235
13	child	date	6000000014426577091	LCR7-WV9	6000000014428630381	LZRK-WJN	born 1715 vs 1715
13	child	date	6000000014426577091	LCR7-WV9	6000000005606971970	GQJM-2HS	born 1715 vs 1715
13	child	date	6000000008686142047	LBLY-BMF	4462761	LHQF-BGL	born 1632 vs 1632
13	child	solo	6000000012641799518	MFVJ-DDR	6000000009674998495	KHHT-HQV	position
13	child	date	6000000007408369533	MTBY-22J	6000000005607387720	2D6P-4HY	born 1686 vs 1686
13	child	date	6000000172051305205	MFFS-TCL	6000000009143822743	LY6Q-PDM	born 1776 vs 1776
13	child	date	6000000007774553544	KVG3-86L	4462693	LTF3-KQF	born 1630 vs 1630
13	child	date	6000000008686142047	LBLY-BMF	4462693	LTF3-KQF	born 1632 vs 1632
13	child	date	6000000014510786749	L7FX-XCX	6000000003492057597	LDSY-7XJ	born 1684 vs 1684
13	child	date	5336768638830104036	MTLR-P5J	6000000003026039395	L4S2-3BF	born 1711 vs 1711
13	child	solo	6000000005606986619	L4S6-NVH	6000000003023815661	GJLZ-BRZ	position
13	child	name	6000000129967526823	G43G-9YZ	6000000008177465443	GLNH-Z4P	shared: cuijck
13	child	name	6000000031801098920	LQ58-Y28	6000000003491944572	P9HK-J9G	shared: gauteset
13	child	date	6000000003492055058	MTHB-YMR	6000000015924905417	LH8L-CNZ	born 1600 vs 1600
13	child	date	6000000011593060560	MGZG-CGL	6000000012795251432	LHZT-9RN	born 1718 vs 1718
13	child	date	6000000007980806675	21TS-48J	6000000007980672770	LH3B-FWP	born 1650 vs 1650
13	child	name	6000000129967526823	G43G-9YZ	6000000001937247084	GLN4-183	shared: cuijck
14	child	date	6000000172051305205	MFFS-TCL	6000000009144086268	L71B-LYP	born 1776 vs 1776
14	child	date	6000000003094925416	2X5S-18F	6000000007473365529	PQ84-T1V	born 1560 vs 1560
14	child	date	6000000003492049325	L24H-QXG	6000000005415158955	LCVP-S7Z	born 1595 vs 1595
14	child	date	6000000005609361472	GLFS-B64	6000000003094935070	LB71-1TM	born 1580 vs 1580
14	child	date	6000000003492049325	L24H-QXG	6000000000496947634	LCVP-SHG	born 1595 vs 1595
14	child	date	6000000014510786749	L7FX-XCX	6000000006776171788	L44Y-XVB	born 1684 vs 1684
14	child	solo	6000000012641799518	MFVJ-DDR	6000000009674682481	MXX7-9CR	position
14	child	date	6000000005609403917	L44C-N8Q	6000000005606916394	KJP2-7R2	born 1671 vs 1671
14	child	date	6000000110813128935	KVL6-KXH	4819810754900042161	LBQ8-HDJ	born 1571 vs 1571
14	child	date	6000000003491976213	MZWN-N61	6000000005607086641	K8TH-WTD	born 1635 vs 1635
14	child	date	6000000005170722018	MGG1-XRC	6000000005607086641	K8TH-WTD	born 1610 vs 1610
14	child	date	6000000005170722018	MGG1-XRC	6000000005609325475	LZXT-YYB	born 1610 vs 1610
14	child	date	6000000014233882228	KJ4S-K2B	6000000006979663876	K2YP-B1G	born 1570 vs 1570
14	child	date	6000000005609529484	L44V-GYV	5421954137570085638	LQR6-RG9	born 1688 vs 1688
14	child	date	6000000014233882228	KJ4S-K2B	6000000014233858106	K2YP-1W5	born 1570 vs 1570
14	child	date	6000000110813128935	KVL6-KXH	6000000003195477790	KVL7-T19	born 1571 vs 1571
14	child	name	6000000005607119681	9K9K-3LH	6000000005607119667	L43M-K3X	shared: pedersdatter
14	child	date	6000000006859469812	L7R9-D36	6000000009655394426	L443-NH4	born 1665 vs 1665
14	child	date	6000000003094925416	2X5S-18F	6000000004225241931	GNHS-K8N	born 1560 vs 1560
14	child	date	6000000015731027131	G41R-QYZ	6000000003827424467	GS5W-2L5	born 1281 vs 1281
15	child	date	6000000003700298879	2Z3C-JJJ	6000000004201592622	LH7H-VB6	born 1560 vs 1560
15	child	date	6000000005609361472	GLFS-B64	6000000005607133268	LBWM-DHM	born 1580 vs 1580
15	child	date	6000000005609275001	L7G1-LS1	6000000002301741691	LCRV-J81	born 1650 vs 1650
15	child	date	6000000005607439185	G98C-DF9	6000000003095006159	L89N-NGX	born 1650 vs 1650
15	child	date	6000000015731027131	G41R-QYZ	6000000001501062059	LCPN-J43	born 1281 vs 1281
15	child	date	6000000007231373383	MXPB-D7P	6000000008075842193	L4TJ-5HQ	born 1580 vs 1580
15	child	date	5336768638830104036	MTLR-P5J	6000000003026055190	L4S2-3YJ	born 1711 vs 1711
15	child	date	6000000007231373383	MXPB-D7P	6000000006835051081	97SM-P7C	born 1580 vs 1580
15	child	name	6000000005607119681	9K9K-3LH	6000000005607119675	L43M-K7M	shared: pedersdatter
15	child	date	6000000005609275001	L7G1-LS1	6000000002301685738	LCRV-JH6	born 1650 vs 1650
15	child	date	6000000003700298879	2Z3C-JJJ	6000000004201793856	LH7H-VBQ	born 1560 vs 1560
15	child	date	6000000005607439185	G98C-DF9	6000000004140989099	PXFJ-92N	born 1650 vs 1650
15	child	date	6000000005609403917	L44C-N8Q	6000000005606916386	LH8N-4WB	born 1671 vs 1671
16	child	solo	6000000001700497477	P9CP-3VL	6000000005264351012	P94R-VGZ	position
16	mother	solo	6000000014350974019	KVL6-PML	6000000006171302672	GZXC-F1Z	position
16	child	date	6000000001045934541	GYQP-457	6000000001459443083	LH21-61C	born 1015 vs 1015
16	child	date	6000000001045934541	GYQP-457	6000000001046097064	MJ25-9PK	born 1015 vs 1015
17	child	date	6000000006802737977	GDX5-CGB	6000000001169186893	GNWQ-J48	born 862 vs 862
17	child	date	6000000001169143209	G66D-YZW	6000000002416554006	L6Y7-Z1Z	born 1520 vs 1520
17	child	date	6000000005607392866	KZ99-HDB	6000000005021180024	GFMK-LQX	born 1660 vs 1660
17	mother	solo	6000000017618918448	L6RV-J73	6000000004066243871	LYJ8-QVC	position
17	child	date	6000000005607392866	KZ99-HDB	6000000005021157137	LWLH-RV4	born 1660 vs 1660
17	child	date	6000000001169143209	G66D-YZW	6000000002416344770	L6XY-Q2C	born 1520 vs 1520
17	child	date	6000000006802737977	GDX5-CGB	6000000006906447529	LTZX-XK7	born 862 vs 862
