qid	wikidata_label	geni_id	geni_name	verdict	our_father	our_mother	anchor_father	anchor_mother	decisive	withheld_because	one_is_the_other_parent	decided_by
Q100911058	Josephine Price	6000000084668288909		UNKNOWN (not in our tree)				6000000084667999984	no		no	
Q100912081	Ruhamah Thayer	6000000003938082443		UNKNOWN (not in our tree)				6000000003939234233	no		no	
Q100912081	Ruhamah Thayer	6000000014223651318		UNKNOWN (not in our tree)				6000000003939234233	no		no	
Q100912093	Jane Dunbar Smith	6000000000490937051		UNKNOWN (not in our tree)				6000000003868254513	no		no	
Q100912093	Jane Dunbar Smith	6000000003939234233		UNKNOWN (not in our tree)				6000000003868254513	no		no	
Q100913572	Judith Rogers	6000000006770427124		UNKNOWN (not in our tree)			6000000006768536339		no		no	
Q100913572	Judith Rogers	6000000014178313068		UNKNOWN (not in our tree)			6000000006768536339		no		no	
Q100914279	Stephen West	6000000000426640539		UNKNOWN (not in our tree)			6000000002665562067	6000000002665481809	no		no	
Q100914279	Stephen West	6000000003939144139		UNKNOWN (not in our tree)			6000000002665562067	6000000002665481809	no		no	
Q100938060	Pricilla Mitchel	6000000020271475649		UNKNOWN (not in our tree)				6000000015426151485	no		no	
Q100938060	Pricilla Mitchel	6000000192207539829		UNKNOWN (not in our tree)				6000000015426151485	no		no	
Q100938304	Amos D. Smith	6000000020274482924		UNKNOWN (not in our tree)			6000000005908942429	6000000000323092769	no		no	
Q100938304	Amos D. Smith	6000000077859411410		UNKNOWN (not in our tree)			6000000005908942429	6000000000323092769	no		no	
Q100938304	Amos D. Smith	6000000192207336844		UNKNOWN (not in our tree)			6000000005908942429	6000000000323092769	no		no	
Q100943395	Susannah Tinkham	6000000003013912002		UNKNOWN (not in our tree)			6000000006442206931	6000000012568377201	no		no	
Q100943395	Susannah Tinkham	6000000006290363411		UNKNOWN (not in our tree)			6000000006442206931	6000000012568377201	no		no	
Q100950217	Grigorijus Vaina	6000000039230963203		UNKNOWN (not in our tree)			6000000039228305378		no		no	
Q100950217	Grigorijus Vaina	6000000115012446864		UNKNOWN (not in our tree)			6000000039228305378		no		no	
Q100952170	Robert Earle	6000000015519431443		UNKNOWN (not in our tree)			6000000011330118378		no		no	
Q100952170	Robert Earle	6000000040735984942		UNKNOWN (not in our tree)			6000000011330118378		no		no	
Q101208369	Yekaterina Tolstaya	6000000039678190404		UNKNOWN (not in our tree)			6000000039678296878		no		no	
Q101208369	Yekaterina Tolstaya	6000000184911063845		UNKNOWN (not in our tree)			6000000039678296878		no		no	
Q101226431	Benjamin Bird	6000000004237645211		UNKNOWN (not in our tree)				6000000004237645049	no		no	
Q101226431	Benjamin Bird	6000000025581808569		UNKNOWN (not in our tree)				6000000004237645049	no		no	
Q101228323	Georg Friedrich, Freiherr von Creytzen	6000000022395121584		UNKNOWN (not in our tree)			6000000022395140168	6000000022395152642	no		no	
Q101228323	Georg Friedrich, Freiherr von Creytzen	6000000032417867833		UNKNOWN (not in our tree)			6000000022395140168	6000000022395152642	no		no	
