fs_id	qid	geni_id
GGGP-21K		
GY3G-6K9		
G14L-BJX		
LZY4-QKX		
P4RW-R53		
9HF9-YVT		
L8Y6-3PF		
9HFS-N8S		
M5J7-PVM		
K26J-GHJ		
LB8T-SHB		
GVYJ-VB8		
GHLZ-1CP		
K2M5-47F		
LRWF-FHB		
KV29-4YL		
9KM9-3MS		
LZX5-VX3		
GN9V-1P6		
9HFS-BQ9		
LRZ5-2SS		
GT4F-TZ5		
G387-6HD		
L19D-FLY		
KN65-TN6		
9HF9-1YM		
GBCD-S76		
9HF3-7J1		
K2Q5-ZGC		
GPFW-PL6		
24FG-ZVV		
LCP6-SSY		
9HF9-YY3		
PZ2F-7H8		
G39W-25C		
LHD4-8QT		
GVYJ-DCN		
M8L3-6S7		
L2G9-1H3		
GBZ3-1KD		
P7W1-24W		
9VMQ-6SS		
G8S4-QBP		
GBYR-FQH		
L7NB-P69		
G67B-77F		
P8GS-MKY		
LKQ2-49H		
P45H-1C6		
GGYN-P4W		
G5KF-2PS		
P31V-7MQ		
KHDS-D2C		
GJXW-WS2		
KNDT-SDJ		
GBCD-WDR		
LZRJ-6FR		
P95D-R3C		
P7W1-QDY		
G2JY-1XZ		
GY3R-9MC		
PMM4-SG7		
P8G9-TPB		
LH5K-5QK		
LC37-9RS		
P45C-X7X		
G68B-63Q		
G1FV-JTV		
GDY5-S1R		
GBHD-JLZ		
P458-WQC		
GYQX-PSR		
P6R8-HKP		
GGC1-JX3		
LC3B-24Q		
LC5N-ZQR		
GDBT-3M5		
9KM9-S1T		
KK1K-YKQ		
KNDB-W1P		
GNXS-JPD		
GY3L-BC3		
LZDH-4MV		
2W7N-FX5		
LZY4-QJH		
K26J-GZ2		
GXDP-2XD		
LJT5-3MQ		
PXZJ-ND6		
P45C-F1K		
KJ57-559		
GKG1-WPN		
K2Q5-ZTH		
LRW8-VS4		
P6D1-JZ3		
LRL9-7LZ		
LV4C-XD8		
G68B-Z1K		
G1FV-753		
P956-4WR		
GPJX-Q3M		
G1FV-F2W		
PFNJ-5NZ		
P9DJ-SH3		
LRD3-M88		
G3WH-QHM		
GBHD-2BN		
LCR2-739		
LRTN-SMP		
P31J-PX6		
KGCQ-Z9Q		
GPF4-4ZR		
GHL8-CKY		
P45Z-QH9		
GRN7-3RD		
GYQS-NHL		
GDS7-9YJ		
P45C-NY9		
PMHK-JW7		
G1FV-LL9		
9HF9-1YQ		
LZNJ-XM7		
LYX1-JGD		
P45C-9NW		
K85B-F6W		
P7W1-XHW		
LC8C-3YV		
LVGN-31M		
GDBR-15C		
G3M8-8G1		
GV2L-254		
M9ZK-TCD		
GX8T-8LF		
LH3H-LKY		
P9N1-X4S		
KK1K-YP1		
L875-TZ1		
GTHZ-N6T		
9492-498		
P6D1-DTH		
GY35-R4V		
LX3V-NS1		
GSD8-FHC		
GHMQ-7FR		
GBWC-P17		
GRQP-3YC		
GY31-WNG		
L4P9-6FF		
G1FJ-K1N		
9HFS-CGL		
GMXH-QJ1		
G89L-FN9		
9HFS-25C		
KCB6-WM5		
G3R2-FBK		
9HFS-5T6		
LJT9-31P		
GB4G-T4H		
PHCF-ZJC		
L2G9-1DZ		
PC2G-2RQ		
9HFS-2MF		
G1GB-7GF		
LRCG-M7M		
P31J-WZB		
GGSZ-YDZ		
GMX4-T5P		
G28V-Q5D		
GGYJ-SWN		
9HFS-2TS		
LTS5-5L4		
27NL-NBL		
LZDH-H3G		
9HF3-Q83		
GPNZ-BXV		
G6CS-2NH		
GDZY-FCX		
P7W1-TLT		
P9S4-YYW		
LZDH-4NP		
GY35-PM8		
9HGY-52X		
9HFS-QYL		
LHCM-XNK		
GXDP-1LX		
G915-LRC		
PMGJ-KRQ		
P33N-FS3		
P45C-Y24		
GG53-63G		
GNP6-D2C		
LTD9-77V		
9MLQ-RGH		
GY31-RPG		
9HF9-YV5		
G9J3-FD2		
9MZF-574		
PF6K-99L		
G273-HNQ		
LZDH-42K		
LZQ5-76K		
GHJN-GQZ		
LBM7-2VS		
M68C-8BM		
P6LW-TGW		
GZ7K-RJM		
9HFS-MGP		
LCN1-6QP		
PCH8-5TB		
GB8Q-CSW		
GX38-NKB		
L25F-SNJ		
G28V-9M9		
PF5M-8R7		
P7T4-X8V		
MXMN-259		
P7W1-BBM		
P39P-D3K		
GH6V-KWV		
LQ55-FJB		
GB8Q-WC6		
9HFS-RHM		
KK12-NT9		
LHGR-RXL		
GF3D-WMQ		
M3HT-YRK		
LC1D-S46		
GBCD-HS3		
LCQZ-M41		
GCWF-PZF		
G1LD-P3Y		
GY3R-8PQ		
G67S-CXX		
KCJY-3GW		
LH56-SL9		
PHCX-6WM		
LH35-5L5		
GL8S-4F2		
LC2Z-HM7		
PFWX-656		
GBWC-4PS		
PHNW-JVS		
9SP7-SMR		
P6RZ-35B		
P757-T5K		
LVGN-QMT		
9HFS-TBW		
PMM1-CND		
GZP2-Q3Q		
GH66-3Y4		
GDBT-4RW		
G6DM-FHD		
GGSZ-JK1		
PFWX-B3H		
LT11-D99		
GSD8-BKP		
GJ92-3PZ		
LZDL-V26		
GYQ7-YCL		
LZ4L-MC2		
LCN1-D1C		
L6VN-PSX		
GN9V-R1K		
GSF7-4QR		
GPFL-KT4		
LB86-GYM		
GFMH-SJR		
G14S-J4B		
94Y4-QHY		
LZY4-QFG		
PQ7Z-JS5		
PQZ7-NQP		
LZ3N-8VJ		
G68B-P9M		
G5FN-MLL		
LHD4-WPY		
LH35-5LS		
LCQZ-MJZ		
GGJP-H3S		
PMY1-SLG		
PHTN-YR9		
GRQR-GZK		
LKWP-RKX		
LV87-CMY		
LT9V-DLS		
GYCQ-9SN		
GGL8-1N1		
GJ92-288		
GY3G-4KW		
M8LM-VQ7		
LHP6-174		
LKSQ-5L8		
K26J-GX4		
PZ19-B5W		
P31J-XKP		
P4YQ-67N		
P8SF-Q99		
GVMZ-H8M		
GRN7-WMN		
GY35-SRJ		
2RBB-T13		
P6R8-C96		
PFPZ-FQ9		
L1R2-68V		
GT76-7C2		
P7W1-FZ4		
GY3R-JHS		
PQYD-N67		
PMBV-LBV		
GBG7-17G		
LJL5-DQ9		
GPCM-JXD		
G6DM-C5X		
9XN7-GR7		
LT35-BZR		
L41F-BRT		
PHGQ-4HT		
K2SF-N9D		
LR7S-L97		
9HFS-BJM		
PMQR-TTT		
L4J3-FJC		
LVZZ-9WC		
G2D4-DTL		
L6L2-618		
MWBQ-DK2		
L6BB-Z99		
PMM1-ZLP		
PSNZ-627		
L5L2-52R		
9HF9-YW8		
G2MD-4Y5		
KC7R-4FQ		
GTHZ-XTV		
G8SH-KZK		
P4R7-PTH		
P45Z-R7Q		
KN8P-3W5		
PMM1-H9Z		
KVGN-XRV		
L4J3-FL3		
K2M5-47P		
9HF9-Y5Z		
GG9D-YWF		
LK1Y-WWM		
GK8C-D8N		
GYQM-BRP		
9HFS-XCJ		
9QGQ-5ZM		
KNVW-DLW		
G1FP-H8R		
MZQ4-W84		
GNZ9-L68		
9HF9-1J2		
GNS3-KQP		
LCGS-ZFX		
GVBH-JMW		
K2M6-JTV		
P31J-5KS		
9HF9-TNF		
LHLT-PDM		
GQT5-ZHG		
K23H-WB3		
KF2Y-YLM		
LYC9-2TR		
G2NJ-RYD		
L4TT-V2T		
9HF3-MX7		
GSF7-6V8		
L4BQ-2MW		
LFPC-RMQ		
GV2J-1QM		
KJ57-5R9		
K8DZ-V1Q		
MPP5-5S8		
PCTV-D8M		
LTSM-M1M		
G1QR-Y93		
KN43-FV2		
GY3R-3GY		
9HFS-823		
MZ6X-M51		
GBWC-D23		
MTP4-GN6		
9NCQ-HX9		
GNCQ-998		
G1FG-J2Y		
9HFS-1TT		
GVBH-B3S		
KN1Q-BQ2		
GY35-3R9		
K23H-WCD		
LVZZ-93H		
LYKV-XBX		
K859-KP7		
9KGT-C3X		
G5NP-XPP		
GX9D-94J		
M63T-47Z		
9HFS-MK9		
PCB4-185		
PZBZ-K8X		
P94R-PTY		
GPNZ-RG5		
K2M6-JYT		
GPJM-ZW1		
9HF9-1TP		
PMDZ-KSC		
GMPY-48B		
LC1Y-91L		
93K1-YTG		
LVZZ-9QL		
G8SH-YH5		
LKTZ-RQ3		
LHC7-LZ5		
L25F-XVG		
GGYJ-L24		
G1FG-JQG		
GNSZ-BMR		
GY3P-LDH		
9HF9-1VJ		
L6JG-8NQ		
9HF9-B6R		
MDQ9-YDF		
9HFS-1QN		
GVGZ-47G		
GB4G-ZBV		
GBLP-1J2		
PCHD-B8X		
KK1K-YNR		
GGL8-3G3		
G9R6-3HW		
G115-FQL		
9HFS-T51		
KNJG-DCM		
G9GL-1VB		
GY3R-MQ8		
PSM2-ZW8		
LZJ2-2ZL		
G2NJ-TB5		
P9Q7-V11		
GS28-G9R		
MS1R-7DX		
LZS3-H95		
KLLG-SKB		
GBCD-RWB		
GYQS-JBR		
K88G-M88		
KNJG-D3X		
G31P-X5T		
GNXS-7X4		
L7XR-5M1		
GG8T-2CR		
9HFS-MVW		
LZ6R-F2Z		
GSGZ-SL5		
L2PF-CXH		
MS4D-1BP		
P4L9-HTK		
GY3R-LP6		
LZ37-YCJ		
P4TQ-7RZ		
P4TQ-PTB		
GY35-N41		
GBWC-YR2		
KCBC-6S4		
9HFS-LSV		
9HFS-5VQ		
KL16-WYG		
LTGG-S23		
9HF3-SGX		
PCH8-2FJ		
LVZZ-M4N		
LHGR-PJH		
GTHW-6MV		
GYQW-PS8		
KK1G-RSH		
LLSD-JPT		
LZ6T-9S4		
G273-7QN		
LZRX-5ZH		
MTD7-7TK		
L4BC-2PR		
P94B-PNW		
9KMF-Y6Q		
MRPM-Y4S		
GV2V-WQD		
G3R2-FBN		
K8N7-QF3		
LVLN-15S		
9HF3-QF5		
LZ6H-7S8		
KK1G-FMP		
P94R-2QR		
KNJG-R3G		
MZ1V-Q9C		
G1FF-J6F		
GZ7K-64Z		
LZXB-JHB		
L17C-L65		
PZ8M-QYM		
GY35-G21		
9HF9-1LJ		
KCDK-TSB		
LZCR-WQS		
LLMW-BQ2		
GB83-GJR		
GDG9-8JV		
MTD7-7RC		
G6HP-3NS		
GYQX-5LZ		
GV2J-BJ6		
PSJP-6VX		
GK4B-WPC		
GY35-J9C		
9HFS-JK3		
GG8T-RHZ		
MLWN-6WC		
GYQS-KM9		
GFNN-NHN		
2S22-RCK		
G5LK-YP9		
GY3R-9PK		
LTQ4-CJJ		
9HF9-TLB		
GL27-SY5		
GBCD-2Q5		
9HF9-YVB		
GYQF-D5Q		
PQD1-9SF		
GT4J-ZD8		
GYQM-9P9		
G3R2-2P9		
LK54-V53		
L6LF-TFZ		
GXJ3-B4Z		
G8ZT-NC7		
LH8Y-L7T		
9HFS-TLJ		
GPNZ-62J		
G2M8-GWX		
LZXB-JCN		
KN17-3J5		
GSCY-9J4		
GJ38-CMQ		
G1FL-3B4		
GY75-MHG		
PSNZ-529		
GYQG-DKX		
L48S-VXY		
MTD7-75B		
G3R2-2PM		
L4SX-Q39		
K2M6-J5G		
LCCS-GCJ		
L89K-M3F		
9HFS-GQZ		
GTZL-BWT		
GNCQ-ZD2		
KJPZ-LC6		
LBNC-B75		
P45Z-Y89		
L4KJ-HKV		
L27W-ZCW		
KNBR-GLW		
GDBR-TB2		
KNH6-TCD		
GBRT-QSR		
LCQZ-M3X		
GRHM-248		
GGL8-G6B		
PCH8-V5F		
GBCD-G5V		
LYGX-1MF		
9NCQ-H6B		
GYQX-V3W		
2Z9D-7K5		
L4SN-JCH		
9KM9-3SJ		
GSDH-8K6		
PMM1-WRG		
G1FG-L6V		
GTZG-WXC		
9KGT-C3N		
KC5W-Z46		
9HF9-1T7		
9SNF-Y1L		
GLZS-JBL		
9QG3-2RQ		
L8TV-PY4		
KZ6F-4ST		
G4Z8-K6Y		
KN81-NVG		
LLSD-LVZ		
LDFS-CX7		
G9GL-Y2T		
GY35-TD5		
G9R6-W5S		
G3WC-ZRH		
9HFS-R36		
9HF9-YCJ		
KH2Q-R1Z		
GTCY-TP8		
P9S4-8YN		
9HFS-RSP		
LC2C-D6K		
9HF9-1V5		
G3YM-WZX		
9HWJ-PQV		
GDHN-ZLR		
G8GM-PW7		
K4PQ-4RZ		
9HFS-2CJ		
GBCD-LLR		
M63T-49X		
PCHD-6MG		
G5KN-FG5		
9HFS-MY9		
LHD4-DF3		
G5KN-QLS		
LW3Z-638		
99C4-2JZ		
GQ23-6Y1		
GY35-YXC		
93K1-YR6		
GVB9-P2F		
PXWJ-2LF		
LK3H-LBK		
L4T2-ZMD		
GK4Y-8FP		
L6F6-NVD		
GQT5-F69		
KCJN-6VV		
GDL7-Q47		
9HF9-1P2		
L8YR-1WS		
L2W6-9N6		
GB83-GJ5		
LZ4F-QP4		
G31P-FC4		
G1F2-5H3		
LX7C-6PG		
2MRP-P3Y		
G8SH-VG1		
L2WT-N81		
PSTH-23W		
GBZ1-RMY		
LTGG-31F		
L7KS-3Y8		
KN81-MX5		
LJN1-FLM		
KNDX-QFK		
KNBT-Z14		
KNDM-3WH		
G31P-V13		
LYW4-1CK		
LRLG-DQR		
GYQW-2Y2		
GZW1-FWS		
L6MJ-PM7	Q141216369	6000000002572728015
GBC1-MGF		
GD6C-TTF		
G573-SK6		
G22L-QFF		
LTTH-3DK		
LB4D-P8Z		
G53D-T26		
9HFS-T26		
9HFS-4ST		
KPH9-TSS		
9HFS-MDH		
LTGG-SBH		
9HFS-MTQ		
L4J3-FND		
G34R-5QJ		
GY3G-81Q		
G8CC-V47		
KZ31-6Z7		
G1RG-PW7		
KLX7-L9D		
NBN8-WGG		
GTC9-SCY		
GSF7-TXP		
9WS2-48B		
GR41-JP9		
L4J3-FP8		
KNJG-D7Y		
PSJP-XGW		
GZXZ-9HC		
PS9Z-NDS		
PMQ5-5ZP		
LCZV-D6Z		
PSNZ-JXB		
P7YD-89R		
GDZX-PD2		
LY9M-F9B		
P94B-YBN		
L7NB-PZ2		
G3MC-X1K		
PSN8-MSY		
GQTP-DQQ		
G6HP-W56		
GZ7H-3BM		
LD7S-2TX		
KVK1-RXT		
L89V-BYC		
GRRW-X4T		
KCM6-X6N		
G5KN-8L8		
KVK1-RXB		
GN4X-D3G		
MZX6-8SZ		
PCH8-5HZ		
LH3R-XS4		
GNCQ-WZB		
MRPM-Y45		
G13G-ZS3		
P458-STF		
GMY2-WZT		
L4Q5-GB6		
LT4M-63H		
GTHZ-FB5		
G5KN-KXS		
GXTQ-M43		
GGSZ-53Q		
27NL-8VB		
KK12-XVS		
GY3R-SC2		
L6L6-JKK		
GGWW-JTV		
9HF9-BXS		
MCPD-C1C		
9HYX-CG8		
GFCS-NNC		
GNZ9-J3P		
GSH3-3TV		
G5KN-YC9		
L4J3-FKD		
KV29-4YV		
KCK6-LJV		
P4L1-X6W		
9HFS-YFL		
PXM7-FR8		
GV2K-DGV		
MNR5-NXC		
G77V-Q5W		
9HFS-28R		
K4PQ-MW9		
G3YM-SV5		
GRFG-XH9		
MTD7-758		
9HFS-16F		
9N5P-QH8		
PW36-B69		
LH6W-526		
KVJV-C47		
MLHV-PJ5		
LD33-PGC		
M5RK-QFT		
PSNZ-FTH		
LTW1-S3D		
GB4D-ZM4		
9KDQ-JYH		
LT39-BKM		
27NG-81K		
L28V-8BX		
LFPC-5BP		
9HF9-Y8D		
PMM1-G5V		
KNH8-TJB		
ML8P-9JF		
GBTX-7JT		
PHXP-9N7		
LCM4-NB4		
GNCQ-G5C		
M4WS-6LR		
L4RB-4C2		
LD19-1PS		
9NCQ-H6R		
GTZL-BTC		
LZDL-Z34		
9NCQ-H6N		
KK12-JHF		
P9DX-KRG		
M6N5-MZ9		
GKG1-9R2		
LYKV-XBD		
LWXM-JXH		
LTDX-GDP		
P45Z-GNR		
KNDM-3CX		
P7VK-VMV		
9HF3-3VM		
GY35-RP7		
MW92-K6J		
KN1F-X44		
GZF7-T9S		
LX7S-BF3		
GRHM-JYG		
G1F2-4JD		
LBG8-4ZH		
GMR5-TCP		
PHTF-Y3V		
G8FG-LK9		
GGL8-PN5		
GPJX-N46		
2CY8-ZPY		
MVSK-7V3		
LYJW-G8P		
G1MS-9X3		
GRVZ-57L		
LJTD-L7J		
KVJK-GYK		
9KM9-S1P		
K2QN-4GN		
PZB8-MSV		
GRHM-GHD		
KL18-VS5		
KLH1-CFB		
KNXD-V3H		
KN1F-JT7		
G9GL-P3P		
9HF9-YN4		
27N2-XJR		
GC57-R32		
9HY3-RYP		
9ZHV-G8V		
M1YF-21N		
GVYJ-18S		
M8LM-V35		
9N5P-QN3		
GSMW-1B2		
LVFW-HCH		
9HFS-5GJ		
9HFS-MVZ		
GY31-R5M		
GY31-S7N		
GPJX-WQK		
KJ59-2K2		
L17Q-3RY		
L4QC-N6S		
L4J3-FPR		
27NL-D2C		
LDFS-H4G		
2TL9-3J9		
M8LM-V3S		
M6CJ-RT7		
GH4Z-WMD		
PCCJ-QXH		
GGBD-GJC		
LYBN-6ZJ		
PX71-TLV		
P7JF-BXQ		
GBWC-7NQ		
GY35-XY5		
9HFS-PKG		
P4L9-G2G		
LH5K-R3K		
GPG7-8GG		
9HF9-YPB		
LCFM-MSF		
L8PD-LV6		
P9N1-H5C		
L7KQ-2NG		
GJLC-9FM		
PXTR-JGV		
MBR6-CCG		
GP42-F2M		
9HF9-YYW		
G4PN-RPX		
L8QL-QCT		
GY35-KHJ		
9KMF-Y6W		
93TZ-FSP		
L4J3-FNT		
GY35-ZW2		
GY35-ZVT		
GVPQ-C75		
9K4K-WPT		
KNH8-T2Y		
9HF9-YZT		
LCM4-NYR		
LZXN-KW3		
PM8V-N3H		
GY3P-R5S		
9HFS-YJK		
KNJG-R3F		
GVGZ-W6L		
P89G-RMQ		
KNV3-Q85		
G1F2-V4B		
LZ4J-JS7		
K234-FVW		
9HFS-MRK		
9HFS-JLB		
GDBT-98F		
L87Y-WQJ		
2WFL-Z9P		
K8QY-Q7G		
G2S2-VB2		
9HFS-MR5		
P89G-7WV		
9KMF-YD5		
P7F3-R3C		
GPHW-C73		
GVBG-Y22		
9HF9-TRM		
G6HP-77L		
G64K-ZP7		
GB83-BQR		
2WVG-P9Y		
M74X-NPL		
GY3R-D49		
ML2L-NQH		
G1FP-SZH		
G64K-DCQ		
9HFS-W3K		
P9N1-KHC		
GBCD-LLP		
G88M-2VF		
GY3R-W2L		
GVL9-2FD		
LZJL-BDZ		
KN81-NK3		
GTCR-S4K		
GYQ9-HLQ		
GYQ4-98H		
LXM8-Q1G		
MKHB-WDB		
MCNC-8VY		
L8TV-RPX		
G6JB-3JF		
GB2F-678		
LTGG-7YM		
G5RQ-4F9		
LHD4-D69		
9WLB-FBQ		
LZ66-D7Z		
GBZ1-HXH		
9HWJ-P3F		
KP42-P8X		
L444-YNP		
9HF9-1GQ		
GRFL-YKX		
KNBR-GL6		
GVPQ-6XV		
932M-C21		
LTGC-9XK		
G5KF-BVS		
LZXM-NYG		
MTD7-75M		
G652-3JJ		
9HF3-3YP		
LZLL-8KL		
LT81-KV1		
LHD9-RNS		
GLX4-X45		
G91B-2HC		
G1FL-796		
LXMB-D73		
GX5P-ZPK		
PMM1-DHG		
9HF9-YHL		
GBZ3-133		
9HF9-YQ4		
L4J3-FFD		
9HFS-MTR		
27NL-653		
L7PH-Q44		
LHVF-CCD		
GPJF-SCN		
P7JF-L4W		
G96M-P8K		
GBZ3-4W3		
LKDQ-81M		
9NCQ-HX7		
LVGN-SKW		
GRKK-S5B		
LC5N-HQ6		
L7DP-G2J		
GXC3-K5F		
G93W-FH6		
G5KX-55Y		
9KM9-39F		
P46N-7ZB		
KCMW-B2T		
GP1J-5Y2		
9HF9-YZQ		
G64K-H5Q		
P45Z-24V		
LZLL-BHX		
K23F-TK2		
9NCQ-HNJ		
LHHS-HMW		
9NCQ-HFC		
93K1-Y5Y		
GSSC-5KD		
L677-DP3		
GK4Y-1VC		
LYLZ-S5L		
L4BM-M2B		
K2QP-18X		
P31J-3C6		
P4HK-6HZ		
9HFS-RKP		
GY3R-KQC		
K8X8-9RD		
GY3P-28G		
LVZZ-MR5		
G86H-Z3C		
GCMZ-RB5		
9HFS-M8T		
G1F2-26B		
LTGG-36H		
G6HP-4ZL		
MTD7-7Y9		
GTY2-183		
9HWJ-P9J		
KVJV-CW2		
G7ZB-FW9		
LDLN-N4N		
LHJC-NXN		
LHJK-FK9		
9HFS-YGJ		
GTZG-FZM		
LRQ4-FGD		
GKCT-YK9		
MRM2-KKW		
L4BZ-RYW		
PXMQ-TN5		
LTGG-3HZ		
KK1K-R7J		
LCPB-H9X		
LHRY-B7S		
M63B-2R3		
PCH6-936		
KV26-9D4		
LY1T-CRV		
9HF9-BZ6		
GRRL-JFH		
GVB3-CCZ		
2MGN-R44		
9HF9-B9L		
MB16-3XF		
GRR4-32H		
K4J6-17J		
GYQM-7MJ		
9HF9-B9T		
KND1-S2M		
GQ79-KLB		
G4R4-R4H	Q141205942	6000000002572701505
GBZ3-FTL		
K4R3-K3S		
MHRZ-TTD		
LZRX-N81		
9HFS-MMF		
PQHY-FQJ		
KC1W-J5T		
P9WT-CXX		
PMQF-8XR		
GK5X-PQ7		
9HF9-Y8C		
9NCQ-H3K		
GW16-1N1		
GBRR-TXM		
MQ3Q-QVV		
KZSX-JCB		
LHJC-NCY		
