qid	kind	case	leading_title	live_mul	live_en	proposed_label	proposed_aliases	hold	langs_carrying_live	geni_ids
Q51028	title	upper	Prince		Prince Albert of Prussia			no-change	en en-ca	6000000001504298716
Q51133	title	upper	King	King Vidor	King Vidor			no-change	mul en en-ca fr de nl sv da nb fi es it pt pl cs hu	6000000010681423829
Q53109	title	upper	Count		Count Palatine Francis Louis of Neuburg			no-change	en en-ca	
Q53343	title	upper	Don		Don Budge			no-change	en en-ca de nl da nb fi es it pt pl cs hu	6000000015506760409
Q54386	title	upper	Infanta		Infanta Elena, Duchess of Lugo			no-change	en en-ca	
Q55256	title	upper	King		King Li of Zhou			no-change	en	
Q57304	title	upper	Prince		Prince Bernhard of Lippe-Biesterfeld			no-change	en	2435340
Q57339	title	upper	Don	Don McLean	Don McLean			no-change	mul en en-ca fr de nl sv da nb fi es it pt pl cs hu	6000000047817357000
Q57355	title	upper	Prince		Prince Georg Friedrich, Prince of Prussia			no-change	en	
Q57468	title	upper	Prince		Prince Louis of Battenberg			no-change	en	6000000003221640265
Q57531	title	upper	Princess		Princess Ludovika of Bavaria			no-change	en	6000000002459840683
Q57533	title	upper	Princess		Princess Wilhelmine of Baden			no-change	en	6000000003446622340
Q57569	title	upper	Prince		Prince Henry of Prussia			no-change	en	379729261220012874
Q57626	title	upper	Princess		Princess Sibylla of Saxe-Coburg and Gotha			no-change	en en-ca	6000000001562041916
Q57653	title	upper	Princess		Princess Sophie of Bavaria			no-change	en	6000000004120107775
Q57658	title	upper	Princess		Princess Victoria of Hesse and by Rhine			no-change	en	6000000003221554850
Q57949	title	upper	Princess		Princess Sophie of Saxony			no-change	en	6000000002188425836
Q57950	title	upper	Princess		Princess Alexandra of Saxe-Altenburg			no-change	en	4215174429090031533
Q58001	title	upper	Duchess		Duchess Alexandra of Oldenburg			no-change	en	6000000000632003152
Q58010	title	upper	Prince		Prince Wilhelm Karl, 2nd Duke of Urach			no-change	en	
Q58016	title	upper	Princess		Princess Maria Josepha of Saxony			no-change	en en-ca	6000000003219727883
Q58023	title	upper	Prince		Prince Maximilian of Saxony			no-change	en	5415727940560046047
Q58063	title	upper	Princess		Princess Elisabeth of Hesse and by Rhine			no-change	en en-ca	6000000000703760713
Q58067	title	upper	Princess		Princess Victoria of Saxe-Coburg-Saalfeld			no-change	en en-ca	6000000000697437319
Q58233	title	upper	Prince		Prince Mohamed Bolkiah of Brunei			no-change	en	
Q58670	title	upper	Princess		Princess Charlotte of Prussia			no-change	en	
Q58777	title	upper	Prince	Prince August Wilhelm of Prussia	Prince August Wilhelm of Prussia			no-change	mul en	6000000001504298927
Q58779	title	upper	Princess		Princess Louise Auguste of Denmark			no-change	en	323432678610004289
Q59684	title	upper	Duke		Duke Dao of Cao			no-change	en nl	
Q60232	title	upper	Princess		Princess Charlotte of Württemberg			no-change	en	6000000000707629259
Q60292	title	upper	Duchess		Duchess Helene in Bavaria			no-change	en en-ca	6000000003232545426
Q60371	title	upper	Prince		Prince Joachim of Prussia			no-change	en	4308161423560044092
Q60382	title	upper	Princess		Princess Viktoria of Prussia			no-change	en	6000000000307239773
Q60431	title	upper	Countess		Countess Palatine Dorothea Sophie of Neuburg			no-change	en	
Q60505	title	upper	Prince		Prince Friedrich Karl of Prussia			no-change	en	6000000000307240942
Q60511	title	upper	Princess		Princess Mary of Great Britain			no-change	en	6000000000048910716
Q60516	title	upper	Duchess		Duchess Mathilde Ludovika, Countess of Trani			no-change	en	6000000003232545458
Q60522	title	upper	Prince		Prince Karl Ludwig, Hereditary Prince of Baden			no-change	en	6000000002122357427
Q60601	title	upper	Princess		Princess Juliane of Saxe-Coburg and Gotha			no-change	en	5231535732550029808
Q60607	title	upper	Princess		Princess Louise of Prussia			no-change	en es	6000000001009256420
Q60610	title	upper	Prince		Prince Adalbert of Bavaria			no-change	en en-ca	6000000007329537419
Q60697	title	upper	Duke		Duke Adolf Friedrich of Mecklenburg-Schwerin			no-change	en	6000000002188424776
Q60707	title	upper	Princess		Princess Viktoria Adelheid of Schleswig-Holstein			no-change	en	6000000001504612236
Q60709	title	upper	Prince		Prince William of Hesse-Kassel			no-change	en en-ca	4532996
Q60741	title	upper	Prince		Prince Philipp, Landgrave of Hesse			no-change	en	6000000001366787129
Q60744	title	upper	Prince		Prince Frederick William of Hesse-Kassel			no-change	en	6000000001601907832
Q60747	title	upper	Princess		Princess Helena, Duchess of Albany			no-change	en	6000000000717955193
Q60796	title	upper	Princess		Princess Mathilde Caroline of Bavaria			no-change	en	6000000003219723729
Q60912	title	upper	Duchess		Duchess Sophie Charlotte in Bavaria			no-change	en	
Q60919	title	upper	Princess		Princess Marie of Saxe-Weimar-Eisenach			no-change	en	6000000000307246847
Q61015	title	upper	Prince		Prince Leopold of Bavaria			no-change	en	6000000007329537632
Q61103	title	upper	Duchess		Duchess Maria Dorothea of Württemberg			no-change	en es	6000000000307247496
Q61155	title	upper	Duke		Duke Alexander of Württemberg			no-change	en en-ca	6000000001543450275
Q61207	title	upper	Prince		Prince Friedrich of Hesse-Kassel			no-change	en	6000000002447248679
Q61234	title	upper	Princess		Princess Adelgunde of Bavaria			no-change	en	6000000007329537405
Q61241	title	upper	Princess		Princess Hildegard Louise of Bavaria			no-change	en	6000000007329537412
Q61242	title	upper	Prince		Prince Oskar of Prussia			no-change	en	
Q61243	title	upper	Princess		Princess Alexandra of Hanover			no-change	en	6000000001536987528
Q61246	title	upper	Prince		Prince Francis Joseph of Battenberg			no-change	en en-ca	6000000001435041398
Q61264	title	upper	Princess		Princess Christine Louise of Oettingen-Oettingen			no-change	en	6000000005599009966
Q61282	title	upper	Prince		Prince Maximilian of Wied-Neuwied			no-change	en	6000000000628817279
Q61328	title	upper	Princess		Princess Augusta of Cambridge			no-change	en hu	
Q61338	title	upper	Princess		Princess Margaret of Prussia			no-change	en	
Q61345	title	upper	Princess		Princess Alexandra of Saxe-Coburg and Gotha			no-change	en	6000000001194822688
Q61448	title	upper	Princess		Princess Hermine Reuss of Greiz			no-change	en	6000000002176677291
Q61449	title	upper	Princess		Princess Victoria, Duchess of Nemours			no-change	en	6000000002188416054
Q61450	title	upper	Princess		Princess Marie Gabriele, Princess Rupprecht of Bavaria			no-change	en	
Q61464	title	upper	Duke		Duke Johann Albrecht of Mecklenburg-Schwerin			no-change	en	6000000002188402493
Q61487	title	upper	Princess		Princess Marie of Waldeck and Pyrmont			no-change	en es	6000000000900837244
Q61489	title	upper	Countess		Countess Augusta Reuss of Ebersdorf			no-change	en	6000000001535193225
Q61548	title	upper	Prince		Prince Karl Theodor of Bavaria			no-change	en en-ca	6000000007329537312
Q61777	title	upper	Prince		Prince Georg Wilhelm of Hanover			no-change	en	6000000000307254380
Q61781	title	upper	Duchess		Duchess Louise Charlotte of Mecklenburg-Schwerin			no-change	en	4284776786610034331
Q61786	title	upper	Prince		Prince Albert of Prussia			no-change	en en-ca	5036441958970123764
Q61789	title	upper	Princess		Princess Marie Auguste of Thurn and Taxis			no-change	en es	6000000003581437848
Q61911	title	upper	Princess		Princess Therese of Saxe-Altenburg			no-change	en	6000000006127645027
Q62022	title	upper	Prince		Prince Wilhelm of Prussia			no-change	en en-ca	6000000003232583515
Q62036	title	upper	Princess		Princess Alexandra of Bavaria			no-change	en	6000000130570369092
Q62043	title	upper	Princess		Princess Philippine Charlotte of Prussia			no-change	en	6000000002774950185
Q62056	title	upper	Prince		Prince Eitel Friedrich of Prussia			no-change	en	4308132713530068682
Q62063	title	upper	Countess		Countess Palatine Caroline of Zweibrücken			no-change	en	6000000004025305942
Q62068	title	upper	Princess		Princess Augusta of Hesse-Kassel			no-change	en	6000000001260403655
Q62261	title	upper	Princess		Princess Theodolinde de Beauharnais of Leuchtenberg			no-change	en	
Q62263	title	upper	Prince		Prince Ludwig Ferdinand of Bavaria			no-change	en en-ca	6000000002188424681
Q62264	title	upper	Princess		Princess Marie Amelie of Baden			no-change	en es	5260834362310100117
Q62265	title	upper	Prince		Prince Friedrich Christian, Margrave of Meissen			no-change	en	
Q62267	title	upper	Princess		Princess Auguste of Bavaria			no-change	en	6000000002188402903
Q62280	title	upper	Duke		Duke Maximilian Emanuel in Bavaria			no-change	en en-ca	
Q62284	title	upper	Princess		Princess Mathilde of Saxony			no-change	en en-ca da nb fi et es	6000000002188370376
Q62336	title	upper	Baron		Baron Wilhelm von Biela			no-change	en es	6000000172816559432
Q62385	title	upper	Duke		Duke Carl, Duke of Württemberg			no-change	en	
Q62393	title	upper	Princess		Princess Amelia of Great Britain			no-change	en en-ca	6000000000769944219
Q62401	title	upper	Duke		Duke George of Oldenburg			no-change	en en-ca	4290454638540043428
Q62549	title	upper	Princess		Princess Eleonore of Solms-Hohensolms-Lich			no-change	en	6000000001435667555
Q62550	title	upper	Duchess		Duchess Sophia Charlotte of Oldenburg			no-change	en	6000000002188604075
Q62579	title	upper	Duke		Duke Joachim Ernst I, Duke of Anhalt			no-change	en	6000000002188615020
Q62602	title	upper	Prince		Prince Berthold, Margrave of Baden			no-change	en	6000000002188615956
Q62775	title	upper	Duke		Duke Wilhelm in Bavaria			no-change	en en-ca es	6000000006231684572
Q62816	title	upper	Duke	Duke Peter of Oldenburg	Duke Peter of Oldenburg			no-change	mul en	
Q62994	title	upper	Princess		Princess Isabella, Duchess of Genoa			no-change	en	6000000008113867200
Q62996	title	upper	Princess		Princess Antoinette of Saxe-Coburg-Saalfeld			no-change	en	6000000005599214945
Q63000	title	upper	Prince		Prince Ferdinand of Saxe-Coburg and Gotha			no-change	en	6000000002159471272
Q63010	title	upper	Princess		Princess Elisabeth of Anhalt			no-change	en	
Q63014	title	upper	Princess		Princess Marie Auguste of Anhalt			no-change	en	6000000000307247125
Q63057	title	upper	Princess		Princess Louise of Stolberg-Gedern			no-change	en en-ca	6000000001573869044
Q63076	title	upper	Prince		Prince Karl, 3rd Prince of Leiningen			no-change	en	6000000005599219969
Q63082	title	upper	Princess		Princess Mathilde of Bavaria			no-change	en	
Q63093	title	upper	Prince		Prince Waldemar of Prussia			no-change	en es	6000000002074469310
Q63095	title	upper	Princess		Princess Augusta Reuss of Köstritz			no-change	en	6000000002281434244
Q63261	title	upper	Princess		Princess Louise Eleanore of Hohenlohe-Langenburg			no-change	en	6000000000307250056
Q63284	title	upper	Prince		Prince Moritz, Landgrave of Hesse			no-change	en	6000000031801834292
Q63532	title	upper	Duchess		Duchess Amalie in Bavaria			no-change	en en-ca	
Q63575	title	upper	Prince		Prince Louis Ferdinand of Prussia			no-change	en	6000000000307252502
Q63590	title	upper	Prince		Prince Moritz of Saxe-Altenburg			no-change	en	
Q63593	title	upper	Princess		Princess Maria Augusta of Saxony			no-change	en nl	6000000002188425999
Q63597	title	upper	Duchess		Duchess Jutta of Mecklenburg-Strelitz			no-change	en es	6000000007329600413
Q63603	title	upper	Princess		Princess Charlotte of Saxe-Meiningen			no-change	en	4284798184440034609
Q63605	title	upper	Prince		Prince Francis Xavier of Saxony			no-change	en	6000000002188436370
Q63612	title	upper	Duke		Duke Philipp of Württemberg			no-change	en en-ca	6000000008510291623
Q63649	title	upper	Count		Count Palatine Joseph Charles of Sulzbach			no-change	en en-ca nl es	6000000001390233175
Q63653	title	upper	Prince		Prince Alfons of Bavaria			no-change	en en-ca hu	6000000008379292586
Q63679	title	upper	Prince		Prince Frederick Charles of Hesse			no-change	en	6000000001366671070
Q63813	title	upper	Prince		Prince Friedrich Karl of Prussia			no-change	en en-ca es it	6000000002188604469
Q63820	title	upper	Duke		Duke George August of Mecklenburg			no-change	en	6000000003405497395
Q63930	title	upper	Countess		Countess Palatine Hedwig Elisabeth of Neuburg			no-change	en en-ca	6000000008258391410
Q64193	title	upper	Duke		Duke Friedrich Wilhelm II, Duke of Saxe-Altenburg			no-change	en	6000000001504715146
Q64204	title	upper	Duchess		Duchess Marie of Württemberg			no-change	en en-ca nl	6000000005599214336
Q64207	title	upper	Princess		Princess Magdalena Augusta of Anhalt-Zerbst			no-change	en nl	6000000002459818207
Q64217	title	upper	Prince		Prince Franz Wilhelm of Prussia			no-change	en	
Q64218	title	upper	Countess		Countess Maria Louise Albertine of Leiningen-Falkenburg-Dagsburg			no-change	en	6000000001977028302
Q64225	title	upper	Princess		Princess Frederica Wilhelmina of Prussia			no-change	en	6000000003243593042
Q64243	title	upper	Duke		Duke Anthony Ulrich of Brunswick			no-change	en en-ca	6000000003421224434
Q64251	title	upper	Duke		Duke Albrecht II, Duke of Mecklenburg			no-change	en	6000000003858754511
Q64412	title	upper	Frei	Frei Otto	Frei Otto			no-change	mul en en-ca fr de nl sv da nb fi et es it pt la pl cs hu	6000000040672912821
Q64462	title	upper	Princess		Princess Charlotte of Saxe-Hildburghausen			no-change	en en-ca	6000000003232543518
Q64553	title	upper	Princess		Princess Helena of Nassau			no-change	en	6000000000899772697
Q64613	title	upper	Prince		Prince August of Württemberg			no-change	en en-ca es	6000000003232543558
Q64704	title	upper	Prince		Prince Sigismund of Prussia			no-change	en en-ca	6000000002074343520
Q64907	title	upper	Prince		Prince Georg Ludwig of Holstein-Gottorp			no-change	en en-ca es	
Q64921	title	upper	Duke		Duke Pius August in Bavaria			no-change	en en-ca	
Q64956	title	upper	Prince		Prince Arnulf of Bavaria			no-change	en en-ca es	6000000000307256699
Q64965	title	upper	Prince		Prince Maria Emanuel, Margrave of Meissen			no-change	en	6000000031614950133 6000000008114832398
Q64976	title	upper	Duke		Duke Nikolaus, Hereditary Grand Duke of Oldenburg			no-change	en	6000000003631933625
Q65016	title	upper	Princess		Princess Emma of Anhalt-Bernburg-Schaumburg-Hoym			no-change	en es	
Q65234	title	upper	Princess		Princess Charlotte Sophie of Saxe-Coburg-Saalfeld			no-change	en es	6000000003375383789
Q65293	title	upper	Princess		Princess Antoinette of Saxe-Altenburg			no-change	en	6000000003243449909
Q65406	title	upper	Prince		Prince Augustus of Prussia			no-change	en en-ca nl es	6000000111030586840
Q65509	title	upper	Prince		Prince Albert of Saxe-Altenburg			no-change	en es	6000000002188416841
Q65647	title	upper	Princess		Princess Marie of Hesse-Kassel			no-change	en en-ca	6000000001547676181
Q65680	title	upper	Duchess		Duchess Agnes of Württemberg			no-change	en en-ca es	6000000014282651569
Q65704	title	upper	Duchess		Duchess Elisabeth Alexandrine of Württemberg			no-change	en es	6000000001545596804
Q65713	title	upper	Countess		Countess Palatine Elisabeth Auguste Sofie of Neuburg			no-change	en en-ca nl es	6000000001389913914
Q65996	title	upper	Prince		Prince August Ludwig I, Prince of Anhalt-Köthen			no-change	en	6000000015978180657
Q66130	title	upper	Prince		Prince Wilhelm, 5th Prince of Wied			no-change	en	6000000002188424848
Q66424	title	upper	Prince		Prince Wilhelm, Prince of Hohenzollern			no-change	en	6000000002145044196
Q66530	title	upper	Prince		Prince Hermann, 4th Prince of Wied			no-change	en	6000000001504551770
Q66535	title	upper	Princess		Princess Louise of Saxe-Hildburghausen			no-change	en	6000000000707740918
Q66553	title	upper	Princess		Princess Elisabeth Helene, Margravine of Meissen			no-change	en	6000000002188409264
Q66561	title	upper	Prince		Prince Konrad of Bavaria			no-change	en hu	6000000008106726290
Q66589	title	upper	Princess		Princess Elisabeth Marie of Bavaria			no-change	en	6000000004964748670
Q66639	title	upper	Princess		Princess Feodora of Saxe-Meiningen			no-change	en en-ca	6000000002188586024
Q66642	title	upper	Prince		Prince Friedrich, Prince of Hohenzollern			no-change	en	6000000008222062635
Q66698	title	upper	Prince		Prince Eduard of Saxe-Altenburg			no-change	en es	6000000002188399586
Q66727	title	upper	Princess		Princess Adelheid of Anhalt-Bernburg-Schaumburg-Hoym			no-change	en en-ca es	6000000002188444548
Q67038	title	upper	Prince		Prince Wolfgang of Hesse			no-change	en en-ca es	6000000001366725294
Q67043	title	upper	Prince	Prince Leopold I of Lippe	Leopold I, Prince of Lippe			no-change	mul	
Q67196	title	upper	Duke		Duke Adam of Württemberg			no-change	en en-ca nl es	6000000002188502117
Q67226	title	upper	Duchess		Duchess Helene of Mecklenburg-Strelitz			no-change	en es	
Q67344	title	upper	Princess		Princess Irmingard of Bavaria			no-change	en en-ca nl es	6000000003479755825
Q67362	title	upper	Prince		Prince Ludwig of Bavaria			no-change	en en-ca es	6000000008093504242
Q67441	title	upper	Princess		Princess Marie of Battenberg			no-change	en	6000000005598776711
Q67777	title	upper	Princess		Princess Elisabeth Sophie of Saxe-Altenburg			no-change	en	6000000001534928000
Q67871	title	upper	Princess		Princess Leopoldine of Baden			no-change	en es	
Q67890	title	upper	Prince		Prince Frederick of Schaumburg-Lippe			no-change	en	6000000002927030585
Q68034	title	upper	Prince		Prince Paul of Thurn and Taxis			no-change	en nl es hu	6000000009792413754
Q68089	title	upper	Princess		Princess Pauline of Waldeck and Pyrmont			no-change	en es	6000000001504576152
Q68270	title	upper	Prince		Prince Wilhelm Friedrich of Wied			no-change	en	6000000000901322017
Q68560	title	upper	Princess		Princess Maria Christina of Saxony			no-change	en nl es	376458179730012918
Q68771	title	upper	Prince		Prince Josias of Coburg			no-change	en	6000000005599165234
Q68918	title	upper	Princess		Princess Theresa of Bavaria			no-change	en	6000000002188374256
Q69420	title	upper	Prince		Prince Friedrich Wilhelm, Prince of Hohenzollern			no-change	en	6000000008115635586
Q69425	title	upper	Duchess		Duchess Marie of Mecklenburg-Strelitz			no-change	en	6000000007329600417
Q69465	title	upper	Prince		Prince Heinrich of Bavaria			no-change	en es hu	6000000008107132308
Q69655	title	upper	Prince		Prince Johann Ernst of Saxe-Weimar			no-change	en es	
Q69916	title	upper	Prince		Prince John August of Saxe-Gotha-Altenburg			no-change	en	6000000005599137755
Q69929	title	upper	Princess		Princess Maria Amalie of Saxony			no-change	en	6000000002188425924
Q69999	title	upper	Prince		Prince Friedrich Erdmann I, Prince of Anhalt-Köthen-Pless			no-change	en	6000000011449349457
Q70203	title	upper	Duke		Duke Christian Ludwig of Mecklenburg-Schwerin			no-change	en	
Q70244	title	upper	Princess		Princess Maria Christina of Saxony			no-change	en	6000000002188450440
Q70589	title	upper	Prince		Prince Wilhelm of Baden			no-change	en	
Q70596	title	upper	Count		Count Otto von Bray-Steinburg			no-change	en es	6000000004097614533
Q70599	title	upper	Prince		Prince Maximilian of Saxony			no-change	en	6000000002188370460
Q70632	title	upper	Prince		Prince Frederick of Prussia			no-change	en en-ca	323488943050002573
Q70700	title	upper	Countess		Countess Palatine Anna Maria of Neuburg			no-change	en nl	6000000003827359350
Q70760	title	upper	Prince		Prince Hubertus of Prussia			no-change	en	323484712110004248
Q70762	title	upper	Prince		Prince Friedrich of Prussia			no-change	en	
Q70766	title	upper	Prinzessin	Prinzessin Friederike von Hannover	Princess Friederike, Baroness of Pawel-Rammingen			no-change	mul de	
Q70768	title	upper	Princess		Princess Maria, Duchess of Calabria			no-change	en	6000000008093605411
Q70771	title	upper	Princess	Princess Marie Victoire d'Arenberg	Princess Marie Victoire d'Arenberg			no-change	mul en da nb pt	6000000013343445800
Q70776	title	upper	Duchess		Duchess Therese of Mecklenburg-Strelitz			no-change	en	6000000001504571422
Q70787	title	upper	Duchess		Duchess Sibylle of Saxe-Lauenburg			no-change	en en-ca	
Q70797	title	upper	Prince		Prince Wittekind, Prince of Waldeck and Pyrmont			no-change	en	
Q70850	title	upper	Princess		Princess Elisabeth of Hesse and by Rhine			no-change	en en-ca es	6000000001366540381
Q70924	title	upper	Duke		Duke Charles of Mecklenburg			no-change	en	6000000184844872839
Q70932	title	upper	Prince		Prince Wilhelm of Schaumburg-Lippe			no-change	en	6000000002188399665
Q71062	title	upper	Princess		Princess Ida of Saxe-Meiningen			no-change	en	6000000002188420379
Q71109	title	upper	Duke		Duke Georg Alexander, Duke of Mecklenburg-Strelitz			no-change	en	6000000000717487245
Q71176	title	upper	Prince		Prince Albert of Saxony			no-change	en	6000000008115069229
Q71196	title	upper	Prince		Prince Konstantin of Bavaria			no-change	en en-ca fr pt	6000000008105671271
Q71236	title	upper	Countess		Countess Palatine Maria Eufrosyne of Zweibrücken			no-change	en nl	6000000001340366085
Q71440	title	upper	Princess		Princess Amalia of Nassau-Dietz			no-change	en	
Q71680	title	upper	Princess		Princess Sophie of Saxe-Coburg-Saalfeld			no-change	en	
Q71778	title	upper	Prince		Prince Donatus, Landgrave of Hesse			no-change	en	
Q71931	title	upper	Duke		Duke Clement Francis of Bavaria			no-change	en en-ca	
Q71944	title	upper	Countess		Countess Emilie Juliane of Barby-Mühlingen			no-change	en es	
Q72431	title	upper	Duke		Duke Louis Ernest of Brunswick-Lüneburg			no-change	en en-ca es	
Q72575	title	upper	Duke		Duke William Frederick Philip of Württemberg			no-change	en hu	4276948620390069283
Q72770	title	upper	Prince		Prince Johann Georg of Hohenzollern			no-change	en en-ca es	4113919
Q72967	title	upper	Count		Count Karl-Wilhelm Finck von Finckenstein			no-change	en es hu	6000000018569919033
Q73637	title	upper	Prince		Prince Ernst Heinrich of Saxony			no-change	en es	6000000008115171242
Q73995	title	upper	Count		Count Karl II, Count of Hohenzollern-Sigmaringen			no-change	en	
Q74145	title	upper	Princess		Princess Karoline Amalie of Hesse-Kassel			no-change	en nl	6000000000051746206
Q74673	title	upper	Countess		Countess Palatine Eleonora Catherine of Zweibrücken			no-change	en nl	
Q74754	title	upper	Princess		Princess Luise Dorothea of Saxe-Meiningen			no-change	en nl es	6000000007356632248
Q75112	title	upper	Princess		Princess Alexandrine of Prussia			no-change	en	6000000000632003309
Q75167	title	upper	Duke		Duke Friedrich, Hereditary Duke of Württemberg			no-change	en	6000000009645766406
Q75426	title	upper	Lady		Lady Gabriella Windsor			no-change	en	6000000003159646194
Q75770	title	upper	Count		Count Palatine Wolfgang George Frederick of Neuburg			no-change	en	
Q75817	title	upper	Prince		Prince Franz of Bavaria			no-change	en en-ca	6000000002188374136
Q76930	title	upper	Prince		Prince Rupert of the Rhine			no-change	en en-ca	6000000006727746848
Q76967	title	upper	Princess		Princess Augusta of Saxe-Gotha			no-change	en	6000000003891753089
Q77185	title	upper	Countess		Countess Marie Larisch von Moennich			no-change	en fi	6000000004289277725
Q77556	title	upper	Prince		Prince Wilhelm of Prussia			no-change	en en-ca	6000000003232528911
Q77810	title	upper	Princess		Princess Adelgunde, Princess of Hohenzollern			no-change	en	
Q77835	title	upper	Countess		Countess Eleonore of Löwenstein-Wertheim-Rochefort			no-change	en	6000000009500037872
Q77927	title	upper	Prince		Prince Waldemar of Prussia			no-change	en	6000000005599120498
Q77937	title	upper	Princess		Princess Kira of Prussia			no-change	en	
Q78027	title	upper	Duchess		Duchess Maria Elisabeth in Bavaria			no-change	en nl	6000000006283136493
Q78223	title	upper	Prince		Prince Ludwig I, Prince of Hohenlohe-Langenburg			no-change	en	
Q78537	title	upper	Count		Count Karl von Stürgkh			no-change	en	6000000041717970254
Q78567	title	upper	Prince		Prince Aloys of Liechtenstein			no-change	en	6000000003365802887
Q78596	title	upper	Prince		Prince Maximilian, 1st Duke of Hohenberg			no-change	en	
Q78659	title	upper	Prince		Prince Ernst of Hohenberg			no-change	en en-ca es	
Q78673	title	upper	Count		Count Karl Ludwig von Ficquelmont			no-change	en nl es hu	
Q78692	title	upper	Prince		Prince Karl, 8th Prince of Auersperg			no-change	en	6000000016478828627
Q78741	title	upper	Baron		Baron Max Wladimir von Beck			no-change	en es hu	6000000031558817744
Q78770	title	upper	Baron	Baron Anton von Doblhoff-Dier	Baron Anton von Doblhoff-Dier			no-change	mul en nl es	6000000067487329854
Q78831	title	upper	Count		Count Johann Bernhard von Rechberg und Rothenlöwen			no-change	en nl es	6000000016492393570
Q78852	title	upper	Count		Count Manfred von Clary-Aldringen			no-change	en	6000000002188468501
Q78853	title	upper	Prince		Prince Gottfried of Hohenlohe-Schillingsfürst			no-change	en	6000000013941255775
Q78939	title	upper	Baron		Baron Eligius Franz Joseph von Münch-Bellinghausen			no-change	en nl es	6000000016432226010
Q79001	title	upper	Count		Count Karl Ferdinand von Buol			no-change	en nl es	6000000019391624911
Q79052	title	upper	Count		Count Richard von Bienerth-Schmerling			no-change	en nl es hu	6000000068348426877
Q79069	title	upper	Count		Count Anton Alexander von Auersperg			no-change	en da	6000000024852459208
Q79083	title	upper	Count		Count Franz Philipp von Lamberg			no-change	en nl es	6000000016276022613
Q79101	title	upper	Count		Count Johann Nepomuk Wilczek			no-change	en nl es	6000000016216051342
Q79109	title	upper	Baron		Baron Raimund von Stillfried			no-change	en fr es	6000000010121884523
Q80976	title	upper	Prince		Prince Philip, Duke of Edinburgh			no-change	en en-us	6000000003075171096
Q84971	title	upper	Duchess		Duchess Rosa, Duchess of Württemberg			no-change	en	6000000008210960948
Q84999	title	upper	Count		Count Joseph Alexander Hübner			no-change	en nl es	6000000004096873613
Q85021	title	upper	Duchess		Duchess Maria Anna Josepha of Bavaria			no-change	en nl es	6000000000699639917
Q85092	title	upper	Baron		Baron Karl Ludwig von der Pfordten			no-change	en nl es it hu	6000000041537970857
Q85457	title	upper	Count		Count Erich Kielmansegg			no-change	en	6000000020250831835
Q85538	title	upper	Prince		Prince Aloys Franz de Paula Maria			no-change	en	
Q86044	title	upper	Duchess		Duchess Helena, Hereditary Duchess of Württemberg			no-change	en	6000000008210854496
Q86673	title	upper	Countess		Countess Charlotte Johanna of Waldeck-Wildungen			no-change	en en-ca es	
Q86710	title	upper	Count		Count Otto von Czernin			no-change	en nl es	6000000017428076138
Q86732	title	upper	Princess		Princess Rosemary of Salm-Salm			no-change	en en-ca es	6000000008440059689
Q86984	title	upper	Countess		Countess Palatine Christiane Henriette of Zweibrücken			no-change	en	6000000094458912000
Q87916	title	upper	Countess		Countess Julie von Brandenburg			no-change	en	6000000004651050727
