qid	lineage	roster_name	verdict	p31	wikidata_label
Q135579364	other	Hakikoku no Miyatsuko	not in the local store		
Q11487892	other	Hikoushi no Ōkimi	human	Q5	Hikoushi no Ōkimi
Q135579426	other	Hiraoka no Kuninori	not in the local store		
Q135579468	other	Hiraoka no Naokiyo	not in the local store		
Q135579453	other	Hiraoka no Naonori	not in the local store		
Q135579461	other	Hiraoka no Naotaka	not in the local store		
Q135579417	other	Hiraoka no Takataka	not in the local store		
Q135579422	other	Hiraoka no Tsunetaka	not in the local store		
Q135579504	other	Hisayama no Mototaka	not in the local store		
Q55533680	other	Iiirine	not in the local store		
Q11379683	other	Ijimu Kuni no Miyatsuko	not in the local store		
Q135579459	other	Inaoka no Nobutaka	not in the local store		
Q11634953	other	Kamo district	not in the local store		
Q11591020	other	Kando district	not in the local store		
Q11369801	other	King Hōfei	not in the local store		
Q135579474	Kitajima	Kitajima no Tokitaka	not in the local store		
Q135579480	Kitajima	Kitajima no Yasutaka	not in the local store		
Q3314711	other	Minamoto no Masanobu	human	Q5	Minamoto no Masanobu
Q11564103	other	Minamoto no Sukenori	human	Q5	Minamoto no Sukenori
Q11504612	other	Musashi no Kuni no Miyatsuko	not in the local store		
Q11502674	other	Niihari no Kuni no Miyatsuko	not in the local store		
Q965742	other	Nomi no Sukune	human	Q5;Q21070568	Nomi no Sukune
Q11493025	other	Ohfubutsu no Ōkimi	human	Q5	Ohfubutsu no Ōkimi
Q135579412	other	Ookuma no Munetoshi	not in the local store		
Q135579419	other	Ookuma no Sadakuni	not in the local store		
Q135579363	other	Oshima no Kuni no Miyatsuko	not in the local store		
Q11497661	other	Prince Oshisaka Hikohito no Ōe	human	Q5	Prince Oshisaka-no-Hikohito-no-Ōe
Q11072254	other	Prince Shiki	human	Q5	Shiki no miko
Q135579489	other	Sakusa no Jisei	not in the local store		
Q11382364	other	Sasaki Tsunekata	human	Q5	Sasaki Tsunekata
Q135579390	other	Sasaki no Moriyoshi	not in the local store		
Q135579393	other	Sasaki no Yoshiaki	not in the local store		
Q135579408	other	Shioya no Tokimune	not in the local store		
Q135579467	other	Takahama no Tomotaka	not in the local store		
Q135579460	other	Takahama no Yoshitaka	not in the local store		
Q48752911	other	Takao Takashige	not in the local store		
Q6129881	other	Takaoka Muneyasu	human	Q5	Takaoka Muneyasu
Q11486866	other	Takebe no Omi	not in the local store		
Q11457249	other	Toda Yoshiyasu	human	Q5	Toda Yoshiyasu
Q11452691	other	Toshio Hōga	not in the local store		
Q119922998	other	Tsushima no Agata no Atai	not in the local store		
Q13264213	other	Wakanuke no Futamata	human	Q5	Wakanuke no Futamata
Q135579507	other	Yakura no Motonori	not in the local store		
Q461258	other	Yamato Takeru	legendary human figure	Q124710051	Yamato Takeru
Q135579401	other	Yoshida no Yoshide	not in the local store		
Q11582190	other	sagamu no kuni no miyatsuko	not in the local store		
Q11668988	other	takanokunimiyatsuko	not in the local store		
Q97706278	other	Ōka kuni no atai	not in the local store		
