wikidata_qid,property,label,value,geni_id,orderlife_qid,verdict
Q6323112,P1185,Rodovid ID,79268,,Q4675,already stated
Q1752707,P1185,Rodovid ID,79318,,Q4676,already stated
Q231258,P1185,Rodovid ID,351444,6000000000803988858,Q4680,already stated
Q231258,P4159,WeRelate person ID,Julia_Maesa_(1),6000000000803988858,Q4680,already stated
Q231258,P6821,Alvin ID,alvin-person:33953,6000000000803988858,Q4680,already stated
Q231258,P1819,genealogics.org person ID,I00446879,6000000000803988858,Q4680,already stated
Q231258,P9495,National Historical Museums of Sweden ID,person/33bfac98-a0cd-44ef-8e77-e6da44574e14,6000000000803988858,Q4680,already stated
Q235090,P1185,Rodovid ID,351454,,Q4681,already stated
Q235090,P1819,genealogics.org person ID,I00446888,,Q4681,already stated
Q235090,P4159,WeRelate person ID,Julia_Avita_Mamaea_(1),,Q4681,already stated
Q235090,P9495,National Historical Museums of Sweden ID,person/68daa57b-c2ee-4aac-ba65-40227aa7502d,,Q4681,already stated
Q29201,P1185,Rodovid ID,564467,6000000001381274001,Q6420,already stated
Q4302144,P1185,Rodovid ID,564473,,Q6421,already stated
Q3056696,P1185,Rodovid ID,564489,,Q6423,already stated
Q1441379,P1185,Rodovid ID,564461,,Q6425,already stated
Q200188,P1185,Rodovid ID,485810,,Q6432,already stated
Q198180,P1185,Rodovid ID,564447,,Q6445,already stated
Q860434,P9495,National Historical Museums of Sweden ID,person/00CEEFB7-DFD6-4DF0-8ECD-E5AF4A7BB308,,Q6447,already stated
Q721756,P1185,Rodovid ID,592533,,Q6453,already stated
Q313321,P1185,Rodovid ID,485809,,Q6456,already stated
Q1207613,P1185,Rodovid ID,1443298,,Q6478,already stated
Q313345,P1185,Rodovid ID,485808,,Q6481,already stated
Q271536,P1185,Rodovid ID,485806,,Q6538,already stated
Q455602,P1185,Rodovid ID,485815,,Q6590,already stated
Q780446,P1185,Rodovid ID,593754,,Q6591,already stated
Q1151674,P1185,Rodovid ID,593756,,Q6598,already stated
Q1202982,P1185,Rodovid ID,593764,,Q6603,already stated
Q1151706,P1185,Rodovid ID,593765,,Q6610,already stated
Q465081,P1185,Rodovid ID,593768,,Q6625,already stated
Q698909,P1185,Rodovid ID,593862|1443296,6000000003645919420,Q6629,item states a DIFFERENT value for this property
Q536732,P1185,Rodovid ID,593839,,Q6639,already stated
Q1061289,P1185,Rodovid ID,593860|1443295,,Q6647,item states a DIFFERENT value for this property
Q468747,P1185,Rodovid ID,1443299,,Q6649,already stated
Q333530,P1185,Rodovid ID,485800,,Q6792,already stated
Q461258,P1185,Rodovid ID,485797,,Q6804,already stated
Q313119,P1819,genealogics.org person ID,I00524450,,Q6950,already stated
Q13264213,P1185,Rodovid ID,485792,,Q6952,already stated
Q1066593,P1819,genealogics.org person ID,I00524451,,Q6986,already stated
Q329769,P1819,genealogics.org person ID,I00719979,,Q7003,already stated
Q11493025,P1185,Rodovid ID,485790,,Q7008,already stated
Q2297842,P1819,genealogics.org person ID,I00719982,,Q7038,already stated
Q11492328,P1819,genealogics.org person ID,I00524440,,Q7051,already stated
Q14759561,P1819,genealogics.org person ID,I00524455,,Q7065,already stated
Q357266,P1819,genealogics.org person ID,I00524446,,Q7077,already stated
Q357273,P1819,genealogics.org person ID,I00719980,,Q7082,already stated
Q11064567,P1819,genealogics.org person ID,I00524439,,Q7089,already stated
Q11075749,P1819,genealogics.org person ID,I00524445,,Q7110,already stated
Q334644,P1819,genealogics.org person ID,I00719984,,Q7112,already stated
Q349277,P1185,Rodovid ID,485658,,Q7120,already stated
Q349277,P1819,genealogics.org person ID,I00524444,,Q7120,already stated
Q316637,P1185,Rodovid ID,485654,,Q7121,already stated
Q316637,P1819,genealogics.org person ID,I00524438,,Q7121,already stated
Q7554458,P1819,genealogics.org person ID,I00719972,,Q7129,already stated
Q11625199,P1819,genealogics.org person ID,I00719974,,Q7130,already stated
Q329792,P1819,genealogics.org person ID,I00524435,,Q7142,already stated
Q329728,P1819,genealogics.org person ID,I00524437,,Q7143,already stated
Q11585498,P1819,genealogics.org person ID,I00524436,,Q7144,already stated
Q241765,P1819,genealogics.org person ID,I00719985,,Q7149,already stated
Q106095999,P1819,genealogics.org person ID,I00719977,,Q7151,already stated
Q298057,P1819,genealogics.org person ID,I00719971,,Q7156,already stated
Q349238,P1819,genealogics.org person ID,I00719973,,Q7162,already stated
Q329761,P1185,Rodovid ID,485649,,Q7176,already stated
Q329761,P1819,genealogics.org person ID,I00524431,,Q7176,already stated
Q11617199,P1819,genealogics.org person ID,I00524433,,Q7177,already stated
Q11412643,P1819,genealogics.org person ID,I00524434,,Q7213,already stated
Q314802,P1185,Rodovid ID,485646,,Q7229,already stated
Q314802,P1819,genealogics.org person ID,I00524426,,Q7229,already stated
Q335181,P1185,Rodovid ID,806655,,Q7231,already stated
Q335181,P1819,genealogics.org person ID,I00719966,,Q7231,already stated
Q91089971,P1819,genealogics.org person ID,I00523682,,Q7253,already stated
Q11642123,P1819,genealogics.org person ID,I00719969,,Q7273,already stated
Q11447356,P1819,genealogics.org person ID,I00719960,,Q7274,already stated
Q233224,P1819,genealogics.org person ID,I00719959,,Q7283,already stated
Q6647029,P1185,Rodovid ID,806657,,Q7286,already stated
Q11072254,P1185,Rodovid ID,485642,,Q7287,already stated
Q11072254,P1819,genealogics.org person ID,I00524428,,Q7287,already stated
Q177517,P1819,genealogics.org person ID,I00523635,,Q7295,already stated
Q1046438,P1819,genealogics.org person ID,I00719961,,Q7301,already stated
Q91089384,P1819,genealogics.org person ID,I00523681,,Q7346,already stated
Q433995,P1185,Rodovid ID,813651,,Q7366,already stated
Q433995,P1819,genealogics.org person ID,I00523634,,Q7366,already stated
Q357246,P1819,genealogics.org person ID,I00719963,,Q7370,already stated
Q11623185,P1819,genealogics.org person ID,I00719964,,Q7388,already stated
Q2173602,P1185,Rodovid ID,812437,,Q7389,already stated
Q2173602,P1819,genealogics.org person ID,I00523637,,Q7389,already stated
Q1890878,P1185,Rodovid ID,812483,,Q7390,already stated
Q1370638,P1185,Rodovid ID,812485,,Q7392,already stated
Q426317,P1185,Rodovid ID,812486,,Q7393,already stated
Q329713,P1819,genealogics.org person ID,I00719956,,Q7406,already stated
Q540305,P1185,Rodovid ID,812536,,Q7434,already stated
Q11366911,P1819,genealogics.org person ID,I00523633,,Q7456,already stated
Q11623426,P1819,genealogics.org person ID,I00523638,,Q7477,already stated
Q7677188,P1819,genealogics.org person ID,I00524430,,Q7502,already stated
Q314846,P1819,genealogics.org person ID,I00524424,,Q7508,already stated
Q3090678,P1185,Rodovid ID,812535,,Q7527,already stated
Q3090622,P1185,Rodovid ID,812487,,Q7546,already stated
Q11623088,P1819,genealogics.org person ID,I00523639,,Q7671,already stated
Q2110461,P1819,genealogics.org person ID,I00524425,,Q7692,already stated
Q11623305,P1819,genealogics.org person ID,I00719953,,Q7693,already stated
Q353558,P1819,genealogics.org person ID,I00719954,,Q7712,already stated
Q316654,P1185,Rodovid ID,485615,,Q7713,already stated
Q316654,P1819,genealogics.org person ID,I00523859,,Q7713,already stated
Q374136,P1819,genealogics.org person ID,I00719952,,Q7715,already stated
Q1058216,P1819,genealogics.org person ID,I00523860,,Q7876,already stated
Q3090616,P1819,genealogics.org person ID,I00523640,,Q7895,already stated
Q10891999,P2949,WikiTree person ID,八十宮-1,,Q46648,already stated
Q11573356,P1819,genealogics.org person ID,I00523789,,Q8015,already stated
Q11623484,P1819,genealogics.org person ID,I00523641,,Q8058,already stated
Q11623369,P1819,genealogics.org person ID,I00523801,,Q8157,already stated
Q960841,P1185,Rodovid ID,812227,,Q8167,already stated
Q667119,P1819,genealogics.org person ID,I00523642,,Q8168,already stated
Q5507548,P1185,Rodovid ID,812419,,Q8174,already stated
Q357225,P1185,Rodovid ID,812223,,Q8247,already stated
Q357225,P1819,genealogics.org person ID,I00719950,,Q8247,already stated
Q11623306,P1819,genealogics.org person ID,I00719951,,Q8288,already stated
Q349267,P1185,Rodovid ID,485610,,Q8321,already stated
Q349267,P1819,genealogics.org person ID,I00523790,,Q8321,already stated
Q106214012,P1819,genealogics.org person ID,I00523643,,Q8350,already stated
Q2720494,P1185,Rodovid ID,805036,,Q8410,already stated
Q1397196,P1185,Rodovid ID,974281|810155,,Q8455,item states a DIFFERENT value for this property
Q1397196,P1819,genealogics.org person ID,I00523644,,Q8455,already stated
Q127411,P1819,genealogics.org person ID,I00719949,,Q8461,already stated
Q5507544,P1185,Rodovid ID,812428,,Q8475,already stated
Q349243,P1819,genealogics.org person ID,I00719948,,Q8526,already stated
Q11623488,P1819,genealogics.org person ID,I00523791,,Q8625,already stated
Q329753,P1185,Rodovid ID,485608,6000000011627224453,Q8632,already stated
Q329753,P1819,genealogics.org person ID,I00523792,6000000011627224453,Q8632,already stated
Q11623317,P1819,genealogics.org person ID,I00523650,,Q8704,already stated
Q2598268,P1185,Rodovid ID,812431,,Q8708,already stated
Q2994735,P1185,Rodovid ID,810158,,Q8743,already stated
Q3090646,P1185,Rodovid ID,810160,,Q8744,already stated
Q1397601,P1185,Rodovid ID,810140|974280,,Q8745,item states a DIFFERENT value for this property
Q1397601,P1819,genealogics.org person ID,I00523646,,Q8745,already stated
Q1473290,P1185,Rodovid ID,812423,,Q8769,already stated
Q106242324,P1819,genealogics.org person ID,I00523647,,Q8809,already stated
Q1378455,P1185,Rodovid ID,810141,,Q8826,already stated
Q3099236,P1185,Rodovid ID,814212,,Q8906,already stated
Q361019,P1819,genealogics.org person ID,I00719946,,Q8923,already stated
Q374015,P1185,Rodovid ID,485606,,Q8924,already stated
Q374015,P1819,genealogics.org person ID,I00523794,,Q8924,already stated
Q1321703,P1185,Rodovid ID,974276|808516,,Q9015,item states a DIFFERENT value for this property
Q1321703,P1819,genealogics.org person ID,I00523649,,Q9015,already stated
Q433133,P1185,Rodovid ID,808515|974273,,Q9018,item states a DIFFERENT value for this property
Q433133,P1819,genealogics.org person ID,I00523651,,Q9018,already stated
Q11623398,P1185,Rodovid ID,820537,,Q9043,already stated
Q759338,P1185,Rodovid ID,820534,,Q9044,already stated
Q759338,P2949,WikiTree person ID,Fujiwara-1,,Q9044,already stated
Q325207,P1185,Rodovid ID,808786|974279,,Q9070,item states a DIFFERENT value for this property
Q325207,P1819,genealogics.org person ID,I00523648,,Q9070,already stated
Q3090641,P1185,Rodovid ID,810142,,Q9073,already stated
Q2531241,P1185,Rodovid ID,814213,,Q9155,already stated
Q590523,P1185,Rodovid ID,814214,,Q9156,already stated
Q3090676,P1185,Rodovid ID,810135,,Q9162,already stated
Q578397,P1185,Rodovid ID,810133,,Q9187,already stated
Q3090629,P1185,Rodovid ID,808785,,Q9268,already stated
Q7142051,P2949,WikiTree person ID,女二宮-1,,Q46644,already stated
Q1054488,P1819,genealogics.org person ID,I00523795,,Q9270,already stated
Q374125,P1185,Rodovid ID,485604,,Q9274,already stated
Q374125,P1819,genealogics.org person ID,I00719943,,Q9274,already stated
Q11623276,P1185,Rodovid ID,812553,,Q9334,already stated
Q1290220,P1185,Rodovid ID,810134,,Q9337,already stated
Q1439775,P535,Find a Grave memorial ID,8102406,,Q9349,already stated
Q1370620,P1185,Rodovid ID,974269,,Q9406,already stated
Q1370620,P1819,genealogics.org person ID,I00523652,,Q9406,already stated
Q3090649,P1185,Rodovid ID,814095,,Q9408,already stated
Q11623643,P1185,Rodovid ID,814090,,Q9412,already stated
Q11623184,P2949,WikiTree person ID,Fujiwara-3,,Q9433,already stated
Q5507551,P1185,Rodovid ID,810139,,Q9447,already stated
Q11623274,P1819,genealogics.org person ID,I00719945,,Q9448,already stated
Q2699951,P1185,Rodovid ID,814215,,Q9556,already stated
Q361000,P1185,Rodovid ID,805379,,Q9701,already stated
Q361000,P1819,genealogics.org person ID,I00719942,,Q9701,already stated
Q349296,P1185,Rodovid ID,485600,6000000011627106008,Q9813,already stated
Q349296,P1819,genealogics.org person ID,I00523784,6000000011627106008,Q9813,already stated
Q1366049,P1185,Rodovid ID,974268|808513,,Q9821,item states a DIFFERENT value for this property
Q1366049,P1819,genealogics.org person ID,I00523624,,Q9821,already stated
Q356060,P1819,genealogics.org person ID,I00719938,,Q9837,already stated
Q11564375,P1819,genealogics.org person ID,I00523625,,Q9861,already stated
Q3082851,P1185,Rodovid ID,814216,,Q9976,already stated
Q11564359,P1185,Rodovid ID,814334,,Q9984,already stated
Q11564350,P1185,Rodovid ID,814330,,Q9988,already stated
Q11382379,P1185,Rodovid ID,820332,,Q10156,already stated
Q923640,P1185,Rodovid ID,974266,,Q10267,already stated
Q923640,P1819,genealogics.org person ID,I00523626,,Q10267,already stated
Q464267,P1185,Rodovid ID,485588,,Q10312,already stated
Q464267,P1819,genealogics.org person ID,I00523760,,Q10312,already stated
Q32613,P1185,Rodovid ID,814219,,Q10465,already stated
Q11564276,P1185,Rodovid ID,814217,,Q10466,already stated
Q3083118,P1185,Rodovid ID,814218,,Q10467,already stated
Q532301,P1185,Rodovid ID,814286,,Q10601,already stated
Q11564062,P1185,Rodovid ID,814302,,Q10604,already stated
Q310445,P1185,Rodovid ID,814306,,Q10606,already stated
Q3142238,P1185,Rodovid ID,814303,,Q10607,already stated
Q6863150,P1185,Rodovid ID,814299,,Q10608,already stated
Q988170,P1185,Rodovid ID,814298,,Q10609,already stated
Q11609929,P1185,Rodovid ID,814305,,Q10611,already stated
Q10514091,P1185,Rodovid ID,805219,,Q10780,already stated
Q837231,P1185,Rodovid ID,485501,,Q33050,already stated
Q837231,P1819,genealogics.org person ID,I00523240,,Q33050,already stated
Q837231,P2949,WikiTree person ID,Masahito-shinnō_誠仁親王-1,,Q33050,already stated
Q349284,P1185,Rodovid ID,485584,,Q10816,already stated
Q349284,P1819,genealogics.org person ID,I00523746,,Q10816,already stated
Q718939,P1185,Rodovid ID,974265,,Q10821,already stated
Q718939,P1819,genealogics.org person ID,I00523627,,Q10821,already stated
Q900258,P1819,genealogics.org person ID,I00523747,,Q10874,already stated
Q349287,P1185,Rodovid ID,805373,,Q10883,already stated
Q349287,P1819,genealogics.org person ID,I00719937,,Q10883,already stated
Q1354407,P1185,Rodovid ID,974264|805080,,Q10905,item states a DIFFERENT value for this property
Q1354407,P1819,genealogics.org person ID,I00523628,,Q10905,already stated
Q5507535,P1819,genealogics.org person ID,I00719936,,Q10942,already stated
Q378425,P1185,Rodovid ID,814077,,Q10962,already stated
Q316658,P1185,Rodovid ID,485573,6000000011627248393,Q11056,already stated
Q316658,P1819,genealogics.org person ID,I00523752,6000000011627248393,Q11056,already stated
Q11564260,P1185,Rodovid ID,814274,,Q11066,already stated
Q11564275,P1185,Rodovid ID,814220,,Q11067,already stated
Q3314719,P1185,Rodovid ID,814272,,Q11069,already stated
Q1381638,P1185,Rodovid ID,814221,,Q11072,already stated
Q11564265,P1185,Rodovid ID,814683,,Q11082,already stated
Q6863154,P1185,Rodovid ID,814685,,Q11083,already stated
Q11564001,P1185,Rodovid ID,814503,,Q11116,already stated
Q732097,P1185,Rodovid ID,814579,,Q11189,already stated
Q3473845,P1185,Rodovid ID,814687,,Q11250,already stated
Q7079829,P1185,Rodovid ID,952988,,Q11336,already stated
Q11408506,P1185,Rodovid ID,1377650,,Q11337,already stated
Q3128270,P1185,Rodovid ID,994346,,Q11344,already stated
Q7424985,P1185,Rodovid ID,820335,,Q11372,already stated
Q4806168,P1185,Rodovid ID,820340,,Q11373,already stated
Q317984,P1185,Rodovid ID,485580,6000000011626980739,Q11480,already stated
Q317984,P1819,genealogics.org person ID,I00523748,6000000011626980739,Q11480,already stated
Q373997,P1819,genealogics.org person ID,I00719935,,Q11483,already stated
Q3315855,P1819,genealogics.org person ID,I00719930,,Q11548,already stated
Q6863161,P1185,Rodovid ID,814307,,Q11574,already stated
Q367538,P1185,Rodovid ID,805035,,Q11588,already stated
Q3464635,P1185,Rodovid ID,805215,,Q11618,already stated
Q11061157,P1819,genealogics.org person ID,I00523749,,Q11716,already stated
Q11564038,P1819,genealogics.org person ID,I00523753,,Q11723,already stated
Q1139202,P1185,Rodovid ID,814297,,Q11724,already stated
Q357261,P1185,Rodovid ID,485575,6000000011627126557,Q11781,already stated
Q357261,P1819,genealogics.org person ID,I00523750,6000000011627126557,Q11781,already stated
Q316651,P1185,Rodovid ID,805370,,Q11802,already stated
Q316651,P1819,genealogics.org person ID,I00719929,,Q11802,already stated
Q357269,P1185,Rodovid ID,485567,6000000011627264565,Q11810,already stated
Q357269,P1819,genealogics.org person ID,I00523754,6000000011627264565,Q11810,already stated
Q357249,P1819,genealogics.org person ID,I00719926,,Q11811,already stated
Q2376525,P1185,Rodovid ID,814295,,Q11839,already stated
Q1339356,P1185,Rodovid ID,814293,,Q11845,already stated
Q11564205,P1185,Rodovid ID,952978,,Q11851,already stated
Q512934,P535,Find a Grave memorial ID,7737947,,Q11920,already stated
Q11503761,P1185,Rodovid ID,814581,,Q11941,already stated
Q11383483,P1185,Rodovid ID,814690,,Q11992,already stated
Q5507534,P1819,genealogics.org person ID,I00719927,,Q12063,already stated
Q3464638,P1185,Rodovid ID,808531,,Q12065,already stated
Q2087778,P1185,Rodovid ID,814308,,Q12076,already stated
Q11636814,P1185,Rodovid ID,993896,,Q12077,already stated
Q7392303,P1185,Rodovid ID,1377648,,Q12118,already stated
Q11408527,P1185,Rodovid ID,1377655,,Q12166,already stated
Q11636816,P1185,Rodovid ID,994344,,Q12173,already stated
Q11382187,P1185,Rodovid ID,820336,,Q12204,already stated
Q11382365,P1185,Rodovid ID,820337,,Q12205,already stated
Q3473770,P1185,Rodovid ID,820339,,Q12207,already stated
Q11636819,P1185,Rodovid ID,814309,,Q12405,already stated
Q3198714,P1185,Rodovid ID,805034,,Q12430,already stated
Q349259,P1185,Rodovid ID,485561,,Q12481,already stated
Q349259,P1819,genealogics.org person ID,I00523693,,Q12481,already stated
Q7223238,P1185,Rodovid ID,808530,,Q12529,already stated
Q357221,P1819,genealogics.org person ID,I00719923,,Q12634,already stated
Q11423363,P1185,Rodovid ID,814511,,Q12694,already stated
Q11503763,P1185,Rodovid ID,814582,,Q12726,already stated
Q11382090,P1185,Rodovid ID,820344,,Q12808,already stated
Q11382306,P1185,Rodovid ID,820345,,Q12809,already stated
Q11382303,P1185,Rodovid ID,820346,,Q12810,already stated
Q7139984,P1819,genealogics.org person ID,I00719924,,Q12828,already stated
Q5507526,P1819,genealogics.org person ID,I00523694,,Q12836,already stated
Q11636790,P1185,Rodovid ID,993898,,Q12849,already stated
Q3198715,P1185,Rodovid ID,805038,,Q13139,already stated
Q3514226,P1185,Rodovid ID,804569,,Q13141,already stated
Q10380962,P1819,genealogics.org person ID,I00719921,,Q13181,already stated
Q349246,P1185,Rodovid ID,485558,,Q13196,already stated
Q349246,P1819,genealogics.org person ID,I00523691,,Q13196,already stated
Q360972,P1185,Rodovid ID,805232,,Q13212,already stated
Q360972,P1819,genealogics.org person ID,I00719920,,Q13212,already stated
Q7223333,P1185,Rodovid ID,808529,,Q13248,already stated
Q7223260,P1185,Rodovid ID,808528,,Q13290,already stated
Q3198718,P1185,Rodovid ID,805039,,Q13313,already stated
Q11503730,P1185,Rodovid ID,814583,,Q13429,already stated
Q955290,P1185,Rodovid ID,804570,,Q13472,already stated
Q11382424,P1185,Rodovid ID,820347,,Q13473,already stated
Q11382448,P1185,Rodovid ID,820349,,Q13478,already stated
Q2389294,P1185,Rodovid ID,804568,,Q13741,already stated
Q313942,P1185,Rodovid ID,805235,6000000011627012029,Q13781,already stated
Q313942,P1819,genealogics.org person ID,I00719912,6000000011627012029,Q13781,already stated
Q313942,P2949,WikiTree person ID,Go-Daigo-tennō_後醍醐天皇-1,6000000011627012029,Q13781,already stated
Q313942,P535,Find a Grave memorial ID,7797927,6000000011627012029,Q13781,already stated
Q373949,P1185,Rodovid ID,485554,6000000011626825815,Q13785,already stated
Q373949,P1819,genealogics.org person ID,I00523689,6000000011626825815,Q13785,already stated
Q373949,P2949,WikiTree person ID,Fushimi-tennō_伏見天皇-1,6000000011626825815,Q13785,already stated
Q440538,P1185,Rodovid ID,805233,6000000011626574126,Q13796,already stated
Q440538,P1819,genealogics.org person ID,I00719917,6000000011626574126,Q13796,already stated
Q440538,P2949,WikiTree person ID,Go-Uda-tennō_後宇多天皇-2,6000000011626574126,Q13796,already stated
Q440503,P2949,WikiTree person ID,Hanazono-tennō_花園天皇-1,,Q13797,already stated
Q440503,P1819,genealogics.org person ID,I00719914,,Q13797,already stated
Q3514218,P1185,Rodovid ID,804567,,Q13887,already stated
Q7223450,P1819,genealogics.org person ID,I00523688,,Q13890,already stated
Q3198712,P1185,Rodovid ID,805040,,Q13911,already stated
Q11636829,P1185,Rodovid ID,993901,,Q14028,already stated
Q2389291,P1185,Rodovid ID,804571,,Q14037,already stated
Q11392540,P1185,Rodovid ID,820350,,Q14044,already stated
Q11382186,P1185,Rodovid ID,820356,,Q14048,already stated
Q17229187,P1185,Rodovid ID,805041,,Q14197,already stated
Q3198721,P1185,Rodovid ID,805044,,Q14198,already stated
Q7223159,P1185,Rodovid ID,808526,,Q14250,already stated
Q11657998,P1819,genealogics.org person ID,I00719913,,Q14305,already stated
Q440447,P1185,Rodovid ID,805237,,Q14313,already stated
Q440447,P1819,genealogics.org person ID,I00719911,,Q14313,already stated
Q11372686,P1819,genealogics.org person ID,I00523690,,Q14328,already stated
Q440454,P1185,Rodovid ID,485547,6000000011626573108,Q14329,already stated
Q440454,P1819,genealogics.org person ID,I00523687,6000000011626573108,Q14329,already stated
Q440454,P2949,WikiTree person ID,Go-Fushimi-tennō_後伏見天皇-1,6000000011626573108,Q14329,already stated
Q11427426,P1819,genealogics.org person ID,I00719919,,Q14340,already stated
Q297107,P1185,Rodovid ID,993902,,Q14491,already stated
Q297107,P2949,WikiTree person ID,Ashikaga-5,,Q14491,already stated
Q466321,P1185,Rodovid ID,993909,,Q14516,already stated
Q466321,P2949,WikiTree person ID,Ashikaga-4,,Q14516,already stated
Q4306921,P2949,WikiTree person ID,Ashikaga-6,,Q14517,already stated
Q11392545,P1185,Rodovid ID,820351,,Q14529,already stated
Q1036907,P1185,Rodovid ID,820355,,Q14532,already stated
Q11503735,P1185,Rodovid ID,814586,,Q14557,already stated
Q11406096,P1185,Rodovid ID,814594,,Q14570,already stated
Q11408605,P1185,Rodovid ID,1377658,,Q14635,already stated
Q7223311,P1185,Rodovid ID,808525,,Q14713,already stated
Q1328796,P1185,Rodovid ID,814587,,Q14752,already stated
Q7141661,P1819,genealogics.org person ID,I00719910,,Q14753,already stated
Q451864,P1185,Rodovid ID,805239,,Q14755,already stated
Q451864,P1819,genealogics.org person ID,I00719909,,Q14755,already stated
Q7240164,P2889,FamilySearch person ID,L5VF-3NX,6000000012967608603,Q30960,already stated
Q3514221,P1185,Rodovid ID,804565,,Q14804,already stated
Q248381,P1185,Rodovid ID,993911,,Q14820,already stated
Q248381,P2949,WikiTree person ID,Ashikaga-3,,Q14820,already stated
Q471799,P1819,genealogics.org person ID,I00719905,,Q46684,already stated
Q11392552,P1185,Rodovid ID,820352,,Q14935,already stated
Q1054305,P2949,WikiTree person ID,今川-2,,Q15002,already stated
Q1054305,P535,Find a Grave memorial ID,210527763,,Q15002,already stated
Q187550,P2949,WikiTree person ID,豊臣-4,,Q15008,already stated
Q187550,P535,Find a Grave memorial ID,20258,,Q15008,already stated
Q171977,P2949,WikiTree person ID,松平-78,6000000001751290215,Q15010,already stated
Q171977,P1819,genealogics.org person ID,I00523403,6000000001751290215,Q15010,already stated
