geni_id,cjk,culture,evidence
3044492,緯 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044498,朓 玄暉 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044504,謨 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044510,韶 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044514,恩 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044520,曜 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044523,密 弘微 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044540,颺 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044552,朏 敬冲 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044555,顥 仁悠 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044558,嵸 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044564,[艹瀹] 義潔 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044579,譓 謝,zh,"graph traversal, 1 hop(s)"
3044582,哲 謝,zh,"graph traversal, 2 hop(s)"
3044585,覽 景滌 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044593,舉 言揚 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044602,嘏 含茂 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044609,儼 謝,zh,"graph traversal, 1 hop(s)"
3044616,11 謝,zh,"graph traversal, 1 hop(s)"
3044627,僑 謝,zh,"graph traversal, 2 hop(s)"
3044655,靖 謝,zh,"graph traversal, 1 hop(s)"
3044690,邈 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044704,沖 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044714,方明 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
335810395400002148,恕 陳,zh,"graph traversal, 6 hop(s)"
335810729030011752,氏 王,zh,"graph traversal, 7 hop(s)"
335811147510012602,說 陳,zh,"graph traversal, 5 hop(s)"
335811473890011753,母 陳,zh,"graph traversal, 6 hop(s)"
335816110050013397,則 陳,zh,"graph traversal, 4 hop(s)"
335816278950004492,氏 王,zh,"graph traversal, 5 hop(s)"
335817165450003733,稹 陳,zh,"graph traversal, 3 hop(s)"
335817455410003820,氏 周,zh,"graph traversal, 4 hop(s)"
335817458640005409,勇 陳,zh,"graph traversal, 2 hop(s)"
335818189960004543,氏 郭,zh,"graph traversal, 3 hop(s)"
335819110260011714,承逸 陳,zh,"graph traversal, 1 hop(s)"
335819752460011750,氏 蕭,zh,"graph traversal, 2 hop(s)"
335847370560002574,徽 京兆萬年,zh,"carries the clan seat 京兆萬年, which is Chinese"
335847596160003997,氏 梁,zh,"graph traversal, 1 hop(s)"
335847828470013445,元史 京兆萬年,zh,"carries the clan seat 京兆萬年, which is Chinese"
335848157230003994,母 陳,zh,"graph traversal, 1 hop(s)"
335848458130005369,伯黨 京兆萬年,zh,"carries the clan seat 京兆萬年, which is Chinese"
335848880110006014,伯宣 京兆萬年,zh,"carries the clan seat 京兆萬年, which is Chinese"
335849381360005366,灌 京兆萬年,zh,"carries the clan seat 京兆萬年, which is Chinese"
335850147730012636,母 陳,zh,"graph traversal, 1 hop(s)"
335850906110003774,母 陳,zh,"graph traversal, 1 hop(s)"
335854204270012799,京 慶復 京兆長安,zh,"carries the clan seat 京兆長安, which is Chinese"
335854384000006042,兼 京兆長安,zh,"carries the clan seat 京兆長安, which is Chinese"
335854422680013447,母 陳,zh,"graph traversal, 1 hop(s)"
335854588070006052,陳母,zh,"graph traversal, 1 hop(s)"
335854821380006026,球 陳,zh,"graph traversal, 1 hop(s)"
335855648790014180,母 陳,zh,"graph traversal, 1 hop(s)"
335856564180012766,固 陳,zh,"graph traversal, 7 hop(s)"
335856885890002545,母 陳,zh,"graph traversal, 8 hop(s)"
335857144200006053,母 陳,zh,"graph traversal, 7 hop(s)"
335857220250004640,蔣 陳,zh,"graph traversal, 6 hop(s)"
335857832300007013,黯 陳,zh,"graph traversal, 5 hop(s)"
335858083180005368,母 陳,zh,"graph traversal, 6 hop(s)"
335858492280005389,顯 陳,zh,"graph traversal, 4 hop(s)"
335858913620007074,母 陳,zh,"graph traversal, 5 hop(s)"
335859176380007051,嘉 陳,zh,"graph traversal, 3 hop(s)"
335859615070003936,母 陳,zh,"graph traversal, 4 hop(s)"
335859955920003990,夷實 陳,zh,"graph traversal, 2 hop(s)"
335860364720004760,定 陳,zh,"graph traversal, 2 hop(s)"
335860612540004657,母 陳,zh,"graph traversal, 2 hop(s)"
335861015670003981,繹 陳,zh,"graph traversal, 1 hop(s)"
335861693390004698,母 陳,zh,"graph traversal, 2 hop(s)"
335862388720003999,彭城武原,zh,"graph traversal, 1 hop(s)"
335863126630012639,王后 沈,zh,"graph traversal, 1 hop(s)"
335864257170012785,母 陳,zh,"graph traversal, 1 hop(s)"
335864792060014110,董,zh,"graph traversal, 1 hop(s)"
335865142040012806,道巨 天然 陳,zh,"graph traversal, 1 hop(s)"
335865411230005367,猛 希賢 陳,zh,"graph traversal, 2 hop(s)"
335866248060003988,詠 陳,zh,"graph traversal, 3 hop(s)"
336651374470012770,陵 陳,zh,"graph traversal, 2 hop(s)"
336657583970005376,承進 陳,zh,"graph traversal, 1 hop(s)"
336658372290005366,羽 陳,zh,"graph traversal, 1 hop(s)"
336658932010013534,堯 陳,zh,"graph traversal, 2 hop(s)"
336659170590012634,氏 黃,zh,"graph traversal, 1 hop(s)"
336659416350011820,裕 陳,zh,"graph traversal, 2 hop(s)"
336659966450013487,华 陳,zh,carries a form that exists only in simplified Chinese
336660278520011823,招 陳,zh,"graph traversal, 2 hop(s)"
336660616370014224,氏 郭,zh,"graph traversal, 3 hop(s)"
336660843990014199,崇 陳,zh,"graph traversal, 3 hop(s)"
336661210990013479,逐 陳,zh,"graph traversal, 3 hop(s)"
336661443490003097,盈 陳,zh,"graph traversal, 3 hop(s)"
336662660820003072,隆 陳,zh,"graph traversal, 3 hop(s)"
336663738750002638,濟 陳,zh,"graph traversal, 4 hop(s)"
336663757520007088,旦 陳,zh,"graph traversal, 4 hop(s)"
336665832520003084,諒 陳,zh,"graph traversal, 5 hop(s)"
336666070740003042,誥 陳,zh,"graph traversal, 5 hop(s)"
336671734360011827,宿 陳,zh,"graph traversal, 6 hop(s)"
336675783220002604,真 陳,zh,"graph traversal, 6 hop(s)"
336676333160012847,絳 陳,zh,"graph traversal, 6 hop(s)"
336680315170002657,黄中 陳,zh,"graph traversal, 7 hop(s)"
336680715260005337,允中 陳,zh,"graph traversal, 7 hop(s)"
336681597610002630,時中 陳,zh,"graph traversal, 7 hop(s)"
375165424910012483,萇 京兆長安,zh,"carries the clan seat 京兆長安, which is Chinese"
375166100800012345,璫 京兆長安,zh,"carries the clan seat 京兆長安, which is Chinese"
375166905030012379,歸 陳,zh,"graph traversal, 1 hop(s)"
389785802820002076,洽 陳,zh,"graph traversal, 2 hop(s)"
389786295930007560,母 陳,zh,"graph traversal, 3 hop(s)"
389786585800007547,陵 陳,zh,"graph traversal, 3 hop(s)"
389786949970010586,邕公 許州長社,zh,"graph traversal, 1 hop(s)"
389787275690003309,母 陳,zh,"graph traversal, 4 hop(s)"
389787551200003375,當 陳,zh,"graph traversal, 4 hop(s)"
389788054780012564,高,zh,"graph traversal, 1 hop(s)"
389789133470002074,夷錫 許州長社,zh,"graph traversal, 2 hop(s)"
389789472240002101,夷行 京兆長安,zh,"carries the clan seat 京兆長安, which is Chinese"
389789863260004418,夷實 許州長社,zh,"graph traversal, 1 hop(s)"
389793624590003318,徐,zh,"graph traversal, 3 hop(s)"
389862954730003319,忠公 許州長社,zh,"graph traversal, 2 hop(s)"
389870766530004396,李,zh,"graph traversal, 2 hop(s)"
4367556745500051128,新 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367559368720029299,序 黃,zh,"graph traversal, 14 hop(s)"
4367561757010072856,重 黃,zh,"graph traversal, 13 hop(s)"
4367565555590050711,伊 黃,zh,"graph traversal, 12 hop(s)"
4367570693420088471,乔 黃,zh,"graph traversal, 11 hop(s)"
4367573898680123477,体政 黃,zh,"graph traversal, 10 hop(s)"
4367578851280063926,显忠 黃,zh,"graph traversal, 9 hop(s)"
4367581235720028965,由直 黃,zh,"graph traversal, 8 hop(s)"
4367584011550050537,婴倚 黃,zh,"graph traversal, 7 hop(s)"
4367588944050014302,前修 黃,zh,"graph traversal, 6 hop(s)"
4367593523730063640,安民 黃,zh,"graph traversal, 5 hop(s)"
4367596406730072634,亮 黃,zh,"graph traversal, 4 hop(s)"
4367599498460088311,满宽 黃,zh,"graph traversal, 3 hop(s)"
4367604502840051100,果显 黃,zh,"graph traversal, 2 hop(s)"
4367609425930072648,珙兴 黃,zh,"graph traversal, 1 hop(s)"
4367614194510122873,华令 黃,zh,carries a form that exists only in simplified Chinese
4367617083260072827,文叶 黃,zh,"graph traversal, 1 hop(s)"
4367622393300088525,鲁成 黃,zh,"graph traversal, 2 hop(s)"
4367627566350063997,昭 黃,zh,"graph traversal, 3 hop(s)"
4367630022810064284,鄂 黃,zh,"graph traversal, 4 hop(s)"
4367632720620049202,丙 黃,zh,"graph traversal, 5 hop(s)"
4367636069120122805,衍微 黃,zh,"graph traversal, 6 hop(s)"
4367641863210014163,敏通 黃,zh,"graph traversal, 7 hop(s)"
4367647196480051004,敦复 黃,zh,"graph traversal, 8 hop(s)"
4367649966710072993,光祖 黃,zh,"graph traversal, 9 hop(s)"
4367653294920088176,玖 黃,zh,"graph traversal, 10 hop(s)"
4367659721400014637,孕 黃,zh,"graph traversal, 11 hop(s)"
4367664817430028632,署 黃,zh,"graph traversal, 12 hop(s)"
4367668303790029126,鄂锜 黃,zh,"graph traversal, 13 hop(s)"
4367673772950050610,惠 黃,zh,"graph traversal, 14 hop(s)"
4367677010220050445,敬唐 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367686251610014630,固 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367689716970088486,友乔 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367696633560050566,祎南 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367702168130073092,初盛 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367705074270048982,谟 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367720359130050547,立言 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367726375240072708,藩 黃,zh,the surname 黃 is Chinese in 100% of the records already settled
4367731664240049052,文 黃,zh,"graph traversal, 14 hop(s)"
4367735194370088101,洙 黃,zh,"graph traversal, 13 hop(s)"
4367741406530123181,源 黃,zh,"graph traversal, 12 hop(s)"
4367746879700014418,宜韶 黃,zh,"graph traversal, 11 hop(s)"
4367752975240088126,石虞 黃,zh,"graph traversal, 10 hop(s)"
4367799027120088577,修 黃,zh,"graph traversal, 9 hop(s)"
4367806361940088429,颜 黃,zh,"graph traversal, 8 hop(s)"
4367811448850072829,绮 黃,zh,"graph traversal, 7 hop(s)"
4367813910820028641,渊 黃,zh,"graph traversal, 6 hop(s)"
4367817762920088126,秉 黃,zh,"graph traversal, 5 hop(s)"
4367823696530029180,畅 黃,zh,"graph traversal, 4 hop(s)"
4367831129870051198,正 黃,zh,"graph traversal, 3 hop(s)"
4367836969510123202,应 黃,zh,"graph traversal, 2 hop(s)"
4367843319620028861,邺 黃,zh,"graph traversal, 1 hop(s)"
4367849529660028609,龙 黃,zh,carries a form that exists only in simplified Chinese
4367852778420088353,刚中 黃,zh,"graph traversal, 1 hop(s)"
4367859247280063538,要 黃,zh,"graph traversal, 2 hop(s)"
4367862615040050600,模 黃,zh,"graph traversal, 3 hop(s)"
4367869147100123247,侠仙 黃,zh,"graph traversal, 4 hop(s)"
4367872321890063557,所 黃,zh,"graph traversal, 5 hop(s)"
4367878377590035155,寿 黃,zh,"graph traversal, 6 hop(s)"
4367884018170049523,俞 黃,zh,"graph traversal, 7 hop(s)"
4367887145010035791,函 黃,zh,"graph traversal, 8 hop(s)"
4367890111090064154,凯 黃,zh,"graph traversal, 9 hop(s)"
4367892713910035040,冕 黃,zh,"graph traversal, 10 hop(s)"
4367895710950123642,厚 黃,zh,"graph traversal, 11 hop(s)"
4367898244960123552,舒 黃,zh,"graph traversal, 10 hop(s)"
4367900916370035527,最 黃,zh,"graph traversal, 9 hop(s)"
4367908839000014329,奇 黃,zh,"graph traversal, 8 hop(s)"
4367911737050014525,嘉 黃,zh,"graph traversal, 7 hop(s)"
4367914676290123740,南陆 黃,zh,"graph traversal, 6 hop(s)"
4367921425350064097,陆终 黃,zh,"graph traversal, 5 hop(s)"
4367925489970035269,吴回 黃,zh,"graph traversal, 4 hop(s)"
4367928252130063882,卷章 黃,zh,"graph traversal, 3 hop(s)"
4367931290840029397,伯益 黃,zh,"graph traversal, 2 hop(s)"
4367937257320049612,皋陶 黃,zh,"graph traversal, 1 hop(s)"
4367943317830050602,大业 黃,zh,carries a form that exists only in simplified Chinese
4367946411990063951,称 黃,zh,"graph traversal, 1 hop(s)"
4367959496500014505,颛顼 姬,zh,"graph traversal, 2 hop(s)"
4571609738370037583,彩雲 邱,zh,the surname 邱 is Chinese in 100% of the records already settled
5585043251410027169,洪義 陳,zh,"graph traversal, 11 hop(s)"
5585058808700067045,匡義 陳,zh,"graph traversal, 11 hop(s)"
5585058821260067052,蠲公 陳,zh,"graph traversal, 10 hop(s)"
5585141496780072278,俊義 陳,zh,"graph traversal, 11 hop(s)"
5585264496830120466,征公 陳,zh,"graph traversal, 9 hop(s)"
5585289720980105350,元達 陳,zh,"graph traversal, 8 hop(s)"
5585304282340085095,仲寓 陳,zh,"graph traversal, 7 hop(s)"
5585318411320045561,仲弼 陳,zh,"graph traversal, 7 hop(s)"
5585318494340045567,喜公 陳,zh,"graph traversal, 6 hop(s)"
5585331872090085401,仲志 陳,zh,"graph traversal, 7 hop(s)"
5585667847100045951,元通 陳,zh,"graph traversal, 8 hop(s)"
5585696322060027118,元道 陳,zh,"graph traversal, 8 hop(s)"
5585711141710107295,元遠 陳,zh,"graph traversal, 8 hop(s)"
5585750659800067792,慶公 陳,zh,"graph traversal, 9 hop(s)"
5585763104500111593,饒公 陳,zh,"graph traversal, 10 hop(s)"
5585861533330057910,禄公 陳,zh,"graph traversal, 9 hop(s)"
5585879627810085849,福生 陳,zh,"graph traversal, 10 hop(s)"
5585892731670107144,福養 陳,zh,"graph traversal, 10 hop(s)"
5585905696580027639,福貴 陳,zh,"graph traversal, 10 hop(s)"
5586107344060107473,肇公 陳,zh,"graph traversal, 9 hop(s)"
5586119881400030561,黯公 陳,zh,"graph traversal, 9 hop(s)"
5586133431310139764,仁暖 陳,zh,"graph traversal, 10 hop(s)"
5586155541450106913,仁煦 陳,zh,"graph traversal, 10 hop(s)"
5586173297700121847,仁旴 陳,zh,"graph traversal, 10 hop(s)"
5586185862310046393,光彖 陳,zh,"graph traversal, 11 hop(s)"
5586198385680030437,光著 陳,zh,"graph traversal, 11 hop(s)"
5586210356080057276,光憲 陳,zh,"graph traversal, 11 hop(s)"
5586379328060067525,恭公 陳,zh,"graph traversal, 6 hop(s)"
5586379346180067532,丞公 陳,zh,"graph traversal, 5 hop(s)"
5586392474450085841,仲友 陳,zh,"graph traversal, 7 hop(s)"
5586406437010068095,仲規 陳,zh,"graph traversal, 7 hop(s)"
5593903896650124903,聞公 陳,zh,"graph traversal, 4 hop(s)"
5593916385650057493,茹公 陳,zh,"graph traversal, 4 hop(s)"
5593916397370057400,儔公 陳,zh,"graph traversal, 3 hop(s)"
5593927694600057906,嘉公 陳,zh,"graph traversal, 4 hop(s)"
5593954651670114060,夷則 陳,zh,"graph traversal, 2 hop(s)"
5594304127190058077,壽公 陳,zh,"graph traversal, 2 hop(s)"
5594311221080130570,玄禮 陳,zh,"graph traversal, 3 hop(s)"
5594324984540068966,元禮 陳,zh,"graph traversal, 3 hop(s)"
6000000000024087515,范公 陳,zh,"graph traversal, 3 hop(s)"
6000000000032217822,锦公 陳,zh,carries a form that exists only in simplified Chinese
6000000000032272824,霸柄 陳,zh,"graph traversal, 5 hop(s)"
6000000000032319880,岩公 陳,zh,"graph traversal, 2 hop(s)"
6000000000032533493,霸隆 陳,zh,"graph traversal, 5 hop(s)"
6000000000032542713,铭公 陳,zh,carries a form that exists only in simplified Chinese
6000000000032545216,伯亮 陳,zh,"graph traversal, 1 hop(s)"
6000000000032556160,锜公 陳,zh,"graph traversal, 2 hop(s)"
6000000000032560325,霸图 陳,zh,"graph traversal, 3 hop(s)"
6000000000032572201,伯高 陳,zh,"graph traversal, 3 hop(s)"
6000000000035623990,霸姶 陳,zh,"graph traversal, 6 hop(s)"
6000000000035757522,霸先 陳,zh,"graph traversal, 6 hop(s)"
6000000000035785218,尚之 陳,zh,"graph traversal, 4 hop(s)"
6000000000035785991,天生 陳,zh,"graph traversal, 7 hop(s)"
6000000000035802784,天麟 陳,zh,"graph traversal, 7 hop(s)"
6000000000035803423,康之 陳,zh,"graph traversal, 5 hop(s)"
6000000000035807708,季麟 陳,zh,"graph traversal, 8 hop(s)"
6000000000035831436,顯逵 陳,zh,"graph traversal, 4 hop(s)"
6000000000035834308,公 陳,zh,"graph traversal, 7 hop(s)"
6000000000035849538,顼公 陳,zh,"graph traversal, 7 hop(s)"
6000000000035861072,休之 陳,zh,"graph traversal, 5 hop(s)"
6000000000035862155,椽公 陳,zh,"graph traversal, 5 hop(s)"
6000000000035900055,顯達 陳,zh,"graph traversal, 4 hop(s)"
6000000000035979360,季凤 陳,zh,"graph traversal, 8 hop(s)"
6000000000035979427,季祥 陳,zh,"graph traversal, 8 hop(s)"
6000000000036056012,伯昌 陳,zh,"graph traversal, 7 hop(s)"
6000000000037189174,津公 陳,zh,"graph traversal, 3 hop(s)"
6000000000037714810,伯华 陳,zh,carries a form that exists only in simplified Chinese
6000000000037776924,伯驪 陳,zh,"graph traversal, 2 hop(s)"
6000000000037784600,果义 陳,zh,carries a form that exists only in simplified Chinese
6000000000037868931,敷公 陳,zh,"graph traversal, 3 hop(s)"
6000000000037904163,果仁 陳,zh,"graph traversal, 1 hop(s)"
6000000000037912252,果信 陳,zh,"graph traversal, 2 hop(s)"
6000000000037917859,敏公 陳,zh,"graph traversal, 3 hop(s)"
6000000000037919752,克运 陳,zh,"graph traversal, 2 hop(s)"
6000000000037922242,果智 陳,zh,"graph traversal, 2 hop(s)"
6000000000037940096,果礼 陳,zh,"graph traversal, 2 hop(s)"
6000000000037951471,克耕 陳,zh,"graph traversal, 2 hop(s)"
6000000000037964444,克飞 陳,zh,carries a form that exists only in simplified Chinese
6000000000038052192,元光 陳,zh,"graph traversal, 4 hop(s)"
6000000000038063114,政公 陳,zh,"graph traversal, 3 hop(s)"
6000000000098518870,泰 玄伯 潁川許昌,zh,"graph traversal, 1 hop(s)"
6000000000098634962,宗尧 陳,zh,"graph traversal, 5 hop(s)"
6000000000098644784,寔 仲弓 潁川許縣,zh,"graph traversal, 3 hop(s)"
6000000000098646947,祈山 陳,zh,"graph traversal, 1 hop(s)"
6000000000098656940,道沅 陳,zh,"graph traversal, 4 hop(s)"
6000000000098668740,世珍 陳,zh,"graph traversal, 7 hop(s)"
6000000000098676533,群 長文 潁川許昌,zh,"graph traversal, 1 hop(s)"
6000000000098682979,顿昌 陳,zh,"graph traversal, 2 hop(s)"
6000000000098706477,引奇 陳,zh,"graph traversal, 4 hop(s)"
6000000000098716469,紀 元方 潁川許昌,zh,"graph traversal, 2 hop(s)"
6000000000098721852,全温 陳,ja,"graph traversal, 1 hop(s)"
6000000000098724375,冲翘 陳,zh,"graph traversal, 5 hop(s)"
6000000000098724567,天爵 陳,zh,"graph traversal, 6 hop(s)"
6000000000098729477,绶公 陳,zh,"graph traversal, 1 hop(s)"
6000000000098768546,立贤 陳,zh,"graph traversal, 2 hop(s)"
6000000000098768757,见深 陳,zh,carries a form that exists only in simplified Chinese
6000000000098770462,武公 陳,ja,"graph traversal, 2 hop(s)"
6000000000098774599,仲成 陳,ja,"graph traversal, 3 hop(s)"
6000000000098788548,成子 陳,ja,"name ends in 子, a Japanese given-name ending"
6000000000098799537,昭子 陳,ja,"name ends in 子, a Japanese given-name ending"
6000000000098804872,履 陳,ja,"graph traversal, 5 hop(s)"
6000000000098806942,璉 陳,ja,"graph traversal, 4 hop(s)"
6000000000098825146,康晋 陳,zh,"graph traversal, 6 hop(s)"
6000000000098829535,季子 陳,ja,"name ends in 子, a Japanese given-name ending"
6000000000098845183,希古 陳,zh,"graph traversal, 3 hop(s)"
6000000000098846175,若海 陳,zh,"graph traversal, 3 hop(s)"
6000000000098880630,哀子 陳,ja,"name ends in 子, a Japanese given-name ending"
6000000000098895492,鱼公 陳,ja,"graph traversal, 4 hop(s)"
6000000000098904397,康子 陳,ja,"name ends in 子, a Japanese given-name ending"
6000000000098924801,辉公 陳,ja,"graph traversal, 6 hop(s)"
6000000000098935030,孟琏 陳,zh,"graph traversal, 4 hop(s)"
6000000000098943151,公望 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099015603,伯成 陳,ja,"graph traversal, 9 hop(s)"
6000000000099019122,宪公 陳,ja,"graph traversal, 1 hop(s)"
6000000000099046911,伯公 陳,ja,"graph traversal, 14 hop(s)"
6000000000099078119,武子 陳,ja,"name ends in 子, a Japanese given-name ending"
6000000000099101022,衍 21,ja,"graph traversal, 3 hop(s)"
6000000000099136412,璵 陳,ja,"graph traversal, 4 hop(s)"
6000000000099166194,從善 陳,ja,"graph traversal, 11 hop(s)"
6000000000099173402,從古 陳,ja,"graph traversal, 11 hop(s)"
6000000000099185753,湯 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099199139,周昌 陳,ja,"graph traversal, 7 hop(s)"
6000000000099222057,裔公 陳,ja,"graph traversal, 8 hop(s)"
6000000000099222766,澄公 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099224596,平公 陳,ja,"graph traversal, 14 hop(s)"
6000000000099228756,子遠 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099254036,德紹 陳,ja,"graph traversal, 12 hop(s)"
6000000000099254595,述公 陳,ja,"graph traversal, 13 hop(s)"
6000000000099293420,凭公 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099324192,考 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099423044,原仁 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099442110,勋公 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099449661,公子过 陳,ja,"graph traversal, 6 hop(s)"
6000000000099458049,與京 陳,zh,the surname 陳 is Chinese in 98% of the records already settled
6000000000099639642,公子黄 陳,ja,"graph traversal, 6 hop(s)"
6000000000099898282,太子禦夏 陳,ja,"graph traversal, 2 hop(s)"
6000000000099901032,司徒招 陳,ja,"graph traversal, 6 hop(s)"
6000000000099921566,夷公說 陳,ja,"graph traversal, 6 hop(s)"
6000000000099929224,太子免 陳,ja,"graph traversal, 3 hop(s)"
6000000000099929739,完寇 田,ja,"graph traversal, 3 hop(s)"
6000000000099959205,公子子 陳,ja,"name ends in 子, a Japanese given-name ending"
6000000000100001028,躍 嬀姓,ja,"graph traversal, 3 hop(s)"
6000000000100607790,畴公 陳,zh,"graph traversal, 2 hop(s)"
6000000000100675961,祐公 陳,zh,"graph traversal, 5 hop(s)"
6000000000100690776,忠 孝先 潁川許縣,zh,"graph traversal, 5 hop(s)"
6000000000100694784,談 陳,zh,"graph traversal, 5 hop(s)"
6000000000100700627,训公 陳,zh,"graph traversal, 1 hop(s)"
6000000000100736655,締 陳,zh,"graph traversal, 5 hop(s)"
6000000000100767799,唐公 陳,zh,"graph traversal, 5 hop(s)"
6000000000100853086,声公 陳,zh,"graph traversal, 2 hop(s)"
6000000000100902118,諶 季方 潁川許縣,zh,"graph traversal, 4 hop(s)"
6000000000104035781,滿,ko,"graph traversal, 3 hop(s)"
6000000000104210392,臯羊 嬀姓,ko,"graph traversal, 3 hop(s)"
6000000000104251063,犀侯 媯姓,ko,"graph traversal, 3 hop(s)"
6000000000135773735,太姬 姬,ko,"graph traversal, 2 hop(s)"
6000000000139615941,邘叔 姬,ko,"graph traversal, 2 hop(s)"
6000000000211897857,武子 田,ja,"name ends in 子, a Japanese given-name ending"
6000000000211910741,厘子 田,ja,"name ends in 子, a Japanese given-name ending"
6000000000211982974,和 田,ja,"graph traversal, 2 hop(s)"
6000000000212006527,莊 田,ja,"graph traversal, 1 hop(s)"
6000000000212039671,白 田,ja,"graph traversal, 1 hop(s)"
6000000000212054246,夷 田,ja,"graph traversal, 2 hop(s)"
6000000000212077256,文子 田,ja,"name ends in 子, a Japanese given-name ending"
