qid	relative	kinship	qualifiers
Q10284783	Q1441967	Q3603531	P1039
Q10284783	Q18715803	Q3752578	P1039
Q10284783	Q9619174	Q3603531	P1039
Q10284783	Q17420920	Q3603531	P1039
Q10285001	Q1791007	Q76557	P1039
Q10285097	Q10389338	Q11921506	P1039
Q10285168	Q139793998	Q11921506	P1039
Q10285824	Q16337889	Q3403377	P1039
Q10287	Q117481	Q4120409	P1039
Q10287	Q6745106	Q12315099	P1039
Q10287	Q59362807	Q19682162	P1039
Q10287	Q11928764	Q2500621	P1039
Q10287	Q3442563	Q23009870	P1039
Q1028770	Q1028766	Q19680017	P1039
Q1028770	Q218979	Q11921506	P1039
Q1028770	Q640420	Q11921506	P1039
Q1028770	Q1003829	Q11921506	P1039
Q10292794	Q16144253	Q223973	P1039
Q10292794	Q128668	Q223973	P1039
Q10293884	Q119789687	Q12158205	P1039
Q10307137	Q269572	Q4113832	P1039
Q10307235	Q10310324	Q3603531	P1039
Q10307235	Q105763767	Q2096646	P1039
Q10308751	Q10284847	Q11921506	P1039
Q1030887	Q561656	Q23009870	P1039
Q10309148	Q56653509	Q13204680	P1039
Q10309155	Q10303348	Q3752578	P1039
Q10309479	Q9697395	Q9238344	P1039
Q1031	Q365246	Q4113832	P1039
Q10310324	Q10307235	Q9238344	P1039
Q10310324	Q10310324	Q76557	P1039
Q10310660	Q26213597	Q15224724	P1039
Q10311269	Q10285221	Q9238344	P1039
Q10311269	Q10338171	Q11921506	P1039
Q10311269	Q9655629	Q18489480	P1039
Q10311727	Q10391730		
Q10311727	Q13012		
Q10311727	Q16940040		
Q10311939	Q173481	Q15224724	P1039
Q10313207	Q5857404	Q9238344	P1039
Q10313207	Q129708910	Q76557	P1039
Q1031551	Q873033	Q3752578	P1039
Q10320421	Q105818897	Q9238344	P1039
Q103216	Q57564	Q4120409	P1039
Q10321696	Q3186526	Q11921506	P1039
Q10321696	Q10321613	Q11921506	P1039
Q10321696	Q10372928	Q19756330	P1039
Q1032278	Q463600	Q183905	P1039;P5102
Q10324156	Q96182816	Q12051531	P1039
Q10324632	Q116204990	Q2500621	P1039
Q1032524	Q1122994	Q13204680	P1039
Q10325871	Q20974095	Q19756330	P1039
Q10325958	Q9159897	Q76557	P1039
Q1032743	Q1032745	Q11921506	P1039
Q1032750	Q1032745	Q23009870	P1039
Q10329740	Q10329739	Q3813877	P1039
Q10329740	Q10329741	Q76557	P1039
Q10329740	Q10347372	Q31819505	P1039
Q10330024	Q10299237	Q402152	P1039
Q103325	Q104446		
Q10334181	Q6539276	Q11921506	P1039
Q103345546	Q75708029	Q12160962	P1039
Q1033656	Q115322696	Q23045278	P1039
Q10336891	Q10336892	Q23045211	P1039
Q10342553	Q10284951	Q15224724	P1039
Q10342553	Q569063	Q11921506	P1039
Q1034588	Q23931723	Q11921506	P1039
Q10346400	Q16935229	Q15224724	P1039
Q10347372	Q10293322	Q76557	P1039
Q10347372	Q10329741	Q76557	P1039
Q10347372	Q10329740	Q31819505	P1039
Q103477990	Q54945	Q15224724	P1039
Q10349696	Q172849	Q9238344	P1039
Q1035	Q7901264	Q13183045	P1039
Q1035	Q3186048	Q76557;Q12160962	P1039
Q1035	Q242147	Q12051531	P1039
Q1035	Q7352349	Q19680017	P1039
Q1035	Q9074548	Q19671714	P1039
Q1035	Q5076724	Q12158205	P1039
Q1035	Q234050	Q9238344	P1039
Q1035	Q139899945	Q23045293	P1039
Q1035	Q140043708	Q12443619	P1039
Q1035	Q140090791	Q12443619	P1039
Q1035	Q140090808	Q12443619	P1039
Q1035	Q140090809	Q12443619	P1039
Q1035295	Q98120025	Q23868497	P1039
Q1035295	Q98120041	Q12150903	P1039
Q1035295	Q98410956	Q23868497	P1039
Q103556	Q328391	Q16658574	P1039
Q103556	Q504792	Q76557	P1039
Q103578	Q7137312	Q41798832	P1039
Q103578	Q16240598	Q41798817	P1039
Q103578	Q7244161	Q41798817	P1039
Q103584	Q90299	Q12158205	P1039
Q10360699	Q5374523		
Q1036252	Q384123	Q3752578	P1039
Q10363699	Q30938034		
Q10363699	Q115554819		
Q10363699	Q10266475		
Q10363699	Q115566942		
Q10364348	Q136417103	Q19682171	P1039
Q10364348	Q16491784	Q58837291	P1039
Q10364348	Q133866003	Q12158205	P1039
Q10364348	Q10272444	Q12158205	P1039
Q10364348	Q126004711	Q3813877	P1039
Q10364348	Q9664074	Q3813877	P1039
Q10364348	Q10317400	Q84158642	P1039
Q10364348	Q30605861	Q84158642;Q42301631	P1039
Q10364348	Q97377430	Q42301631;Q31819505	P1039
Q10367343	Q106372029	Q13204680	P1039
Q1036858	Q9184551	Q23009870	P1039
Q1037161	Q138109270		
Q103756	Q26129176	Q12183411	P1039
Q103756	Q1243791	Q3752578	P1039
Q1037779	Q1037794	Q11921506	P1039
Q1037793	Q137459148	Q19680017	P1039
Q1037794	Q137459148	Q11921506	P1039
Q103784	Q2224507	Q19756330	P1039
Q103784884	Q4568698		
Q1037874	Q582421	Q13204680	P1039
Q1038111	Q2547520	Q3752578	P1039
Q103820116	Q7609827	Q11921506	P1039
Q103822391	Q257808	Q2500621	P1039
Q103825000	Q956665	Q3752578	P1039
Q103841872	Q113516648	Q19822354	P1039
Q103841872	Q113516689	Q19822354	P1039
Q1038705	Q3704618	Q6035384	P1039
Q1038705	Q1898633	Q3813877	P1039
Q1038705	Q3856574	Q42301620	P1039
Q1038705	Q134636959	Q11921506	P1039
Q1038705	Q87067399	Q4994791	P1039
Q10388146	Q1754878	Q9238344	P1039
Q1038846	Q75342724	Q3403377	P1039
Q1039038	Q91390	Q3752578	P1039
Q1039047	Q2572850	Q2914212	P1039
Q1039295	Q973535	Q9238344	P1039
Q103934143	Q9588111	Q15224724	P1039
Q103934143		Q15224724	P1039;P2561
Q103939	Q3180060	Q76557	P1039
Q103939	Q220918		
Q103939	Q449965		
Q1039501	Q1463276		
Q1039749	Q1871860		
Q104000	Q57410	Q84158642	P1039
Q104000	Q5388105	Q3752578	P1039
Q104106	Q1696981		
Q104106	Q94919011		
Q104106	Q94901217		
Q1041068	Q86409	Q42297295	P1039
Q104117052	Q103869244	Q15224724	P1039
Q104117052	Q104155988	Q76557	P1039
Q104126119	Q26876	Q19756330	P1039
Q104127	Q110824076	Q31819505	P1039
Q104127	Q6551441	Q69612540	P1039
Q1041346	Q78597		
Q1041346	Q1289066		
Q1041465	Q1874129	Q4994791	P1039
Q1041465	Q1819602	Q26181623	P1039
Q1041465	Q1463725	Q4120409	P1039
Q1041465	Q1818563	Q4120409	P1039
Q1041465	Q85261677	Q31819505	P1039
Q1041465	Q1875172	Q31819505	P1039
Q1041465	Q2063405	Q31819505	P1039
Q104152351	Q22686	Q15224724	P1039
Q1041527	Q1525082	Q76557	P1039
Q104161	Q103788	Q3752578	P1039;P580
Q104161	Q149507	Q3752578	P1039;P580
Q104161	Q139805640	Q19756330	P1039
Q104177085	Q3159095	Q9238344	P1039
Q104177085	Q172965	Q9238344	P1039
Q1041868	Q1382978		
Q1041908	Q108936371	Q23009870	P1039
Q1042058	Q3851432	Q4346792	P1039
Q1042058	Q3618938	Q19822354	P1039
Q1042058	Q126896196	Q11921506	P1039
Q104207618	Q140285515	Q11921506	P1039
Q104218447	Q448538	Q84158642	P1039
Q104218447	Q4058091	Q84158642	P1039
Q1042391	Q23957297	Q16658574	P1039
Q104243479	Q718537	Q76557	P1039
Q104283214	Q171248	Q15224724	P1039
Q104286408	Q7087808	Q3752578	P1039
Q104286470	Q2624463	Q2914212	P1039
Q104286470	Q6225700	Q2914212	P1039
Q104286470	Q6187736	Q3403377	P1039
Q104286470	Q64796804	Q3403377	P1039
Q104286470	Q8009304	Q2914212	P1039
Q104286470	Q64731332	Q3238556	P1039
Q104286470	Q7790727	Q2914212	P1039
Q104286470	Q6285797	Q76557	P1039
Q104286470	Q110123895	Q15224724	P1039
Q104286470	Q110123791	Q15224724	P1039
Q104293	Q2032777	Q11921506	P1039
Q104380	Q869909		
Q104391	Q765327	Q9238344	P1039
Q104405885	Q111962132	Q11921506	P1039
Q104405885	Q104658076	Q11921506	P1039
Q104434347	Q140032139	Q9238344	P1039
Q104439219	Q11885343	Q20746702	P1039
Q104439231	Q11885343	Q20746702	P1039
Q104440045	Q7344837	Q31819505	P1039
Q104443819	Q107987139	Q4113832	P1039
Q1044488	Q5081649	Q9238344	P1039
Q104451146	Q104451312	Q13204680	P1039
Q104451146	Q2434138	Q9238344	P1039
Q104451217	Q6246683	Q2914212	P1039
Q104451217	Q2557801	Q13204680	P1039
Q104451217	Q18926769	Q723868	P1039
Q104451217	Q297071	Q3752578	P1039
Q104451312	Q231249	Q19756330	P1039
Q104451312	Q228766	Q19756330	P1039
Q104451312	Q4797044	Q15224724	P1039
Q10451593	Q55999469	Q12433519	P1039
Q104518648	Q6146923	Q2920422	P1039
Q104518995	Q130752	Q12051531	P1039
Q104523317	Q22998248	Q11921506	P1039
Q1045300	Q116039047	Q3403377	P1039
Q104540769	Q60455403	Q4113830	P1039
Q1045511	Q2034816		
Q104552201	Q55721231	Q5992509	P1039
Q104552212	Q55721231	Q23045435	P1039
Q104552212	Q7329844	Q13204680	P1039
Q104552212	Q18810539	Q723868	P1039
Q104552250	Q78145858	Q12158205	P1039
Q104552250	Q8011998	Q12158205	P1039
Q104552250	Q6281456	Q12158205	P1039
Q104552250	Q6172292	Q5992509	P1039
Q104552250	Q130242943	Q12158205	P1039
Q104552250	Q5076781	Q4120409	P1039
Q104552250	Q312950	Q13204680	P1039
Q104552250	Q104552305	Q723868	P1039
Q104552250	Q233943	Q3752578	P1039
Q104552250	Q63391521	Q3752578	P1039
Q104552250	Q215011	Q3238556	P1039
Q104552305	Q104552250	Q3752578	P1039
Q104552547	Q55721231	Q5992509	P1039
Q104552547	Q3760499	Q23045211	P1039
Q104554499	Q55131052	Q2500621	P1039
Q104573979	Q94911499	Q15224724	P1039
Q1045798	Q6286598	Q12158205	P1039
Q1045798	Q7273493	Q31819505	P1039
Q1045798	Q61748714	Q23067129	P1039
Q104591	Q18710545	Q183905	P1039
Q104591	Q77260	Q13204680	P1039
Q104602226	Q104602336	Q12158205	P1039
Q1046087	Q137799313	Q19756330	P1039
Q1046087	Q137799328	Q11921506	P1039
Q104635935	Q75883684	Q61740757	P1039
Q104635935	Q75883684	Q20746725	P1039
Q104641589	Q133457216	Q12158205	P1039
Q104651815	Q2218257		P1480
Q104654459	Q105488785	Q15224724	P1039
Q104658076	Q104658308	Q76557	P1039
Q104658076	Q104405885	Q9235758	P1039
Q104658076	Q119082	Q23009870	P1039
Q104667329	Q140169515	Q23045444	P1039
Q10467138	Q16650467	Q2914212	P1039
Q10467138	Q116775806	Q2914212	P1039
Q104677385	Q31810	Q2914212	P1039
Q104677385	Q24631981	Q76557	P1039
Q104677385	Q110693472	Q13204680	P1039
Q104677385	Q1575206	Q76557	P1039
Q104686154	Q134087193	Q19756330	P1039
Q104691918	Q21465581	Q4346792	P1039
Q104719514	Q6119276	Q5992509	P1039
Q104783358	Q1237820	Q19680017	P1039
Q10479	Q76364168	Q15224724	P1039
Q10479	Q107266256	Q3403377	P1039
Q10479	Q75540576	Q2500620	P1039
Q1048	Q255870	Q5992509	P1039
Q1048	Q231696	Q23045293	P1039
Q104819215	Q761453	Q15224724	P1039
Q104823338	Q4785964	Q3752578	P1039
Q1048333	Q63025727	Q9238344	P1039
Q104837741	Q84767934		
Q104855	Q2287706		
Q104855	Q253453		
Q104855	Q109859		
Q104855	Q99772		
Q10490	Q82864	Q12443619	P1039
Q104905129	Q94331780	Q15224724	P1039
Q104919	Q499022	Q13204680	P1039
Q1049510	Q3295199	Q16658574	P1039
Q104972120	Q50942950	Q3752578	P1039
Q104981264	Q118533812	Q19680017	P1039
Q105013	Q131981	Q2914212;Q31819505	P1039
Q105013	Q130805	Q76557;Q13204680	P1039
Q105013	Q161131	Q12051531	P1039
Q105013	Q231876	Q20094017	P1039
Q105013	Q470056	Q76557	P1039
Q105013	Q213797	Q3752578	P1039
Q105013	Q1463282	Q31819505	P1039
Q105078831	Q127684478	Q23045211	P1039
Q1050921	Q935	Q76557	P1039
Q105095582	Q137273243	Q3752578	P1039
Q105095582	Q94930265	Q11921506	P1039
Q105100301	Q109375916	Q2914212	P1039
Q105100301	Q2833795	Q1282201	P1039
Q105100301	Q93791667	Q723868	P1039
Q105100301	Q3190535	Q3238556	P1039
Q105100301	Q30752537	Q3238556	P1039
Q105100301	Q3371417	Q11921506	P1039
Q10511648	Q1368034	Q402152	P1039
Q105142115	Q11881	Q9238344	P1039
Q105144962	Q1681158	Q13204680	P1039;P580
Q105144962	Q65496345	Q15224724	P1039
Q105173583	Q113668881	Q12183411	P1039
Q105173583	Q12331489	Q19680017	P1039
Q105173583	Q98193684	Q19680017	P1039
Q1052356	Q79460884	Q31819505	P1039
Q105237	Q1490640	Q9238344	P1039
Q105237	Q113759	Q9238344	P1039
Q105237	Q1405551	Q13204680	P1039
Q105248408	Q7782141	Q76557	P1039
Q105248408	Q7793234	Q13204680	P1039
Q105295890	Q2043420	Q9238344	P1039
Q1052976	Q95703645	Q3403377;Q20746728	P1039
Q105320	Q3271271	Q15224724	P1039
Q105320	Q55685535	Q26004701	P1039
Q105320	Q40599	Q2914212	P1039
Q105320	Q15997394	Q3403377	P1039
Q105320	Q3093977	Q23009870	P1039
Q105336597	Q311594	Q76557	P1039
Q105348820	Q25491942	Q4994791	P1039
Q105361049	Q94749020	Q18489480	P1039
Q105378	Q79789	Q31819505	P1039
Q105378	Q42305	Q2914212	P1039
Q10540749	Q5547967	Q31819505	P1039
Q105418	Q1506667		
Q105418	Q106609		
Q1054316	Q137799313	Q19756330	P1039
Q1054316	Q137799328	Q11921506	P1039
Q1054390	Q41476289	Q15224724	P1039
Q105454439	Q67594		
Q105455276	Q105455288		
Q10545696	Q10546686	Q76557	P1039
Q105458466	Q105458470	Q3238556	P1039
Q105458470	Q105458466	Q3238556	P1039
Q105459395	Q106535763	Q11921506	P1039
Q10546686	Q10545696	Q3403377	P1039
Q105488785	Q104654459	Q76557	P1039
Q105515123	Q20893919	Q2914212	P1039
Q105525682	Q20751142		
Q105525682	Q18508284		
Q105525682	Q59640214		
Q105525682	Q136101822		
Q1055424	Q136343516	Q76557	P1039
Q105548699	Q60623518	Q3752578	P1039
Q1055665	Q1159752		
Q105610423	Q136327018	Q11921506	P1039
Q105618288	Q105618368	Q18489480	P1039
Q105618288	Q124400285	Q19756330	P1039
Q105618510	Q105618368	Q18489480	P1039
Q105618510	Q124400285	Q19756330	P1039
Q1056562	Q854729		
Q105657556	Q97107	Q76557	P1039
Q105667063	Q8018868	Q88998721	P1039
Q105675	Q127693022	Q11921506	P1039
Q105688240	Q131805	Q76557	P1039
Q105696411	Q105693510	Q3403377	P1039
Q105728132	Q721159	Q31819505	P1039
Q105728132	Q359694	Q9238344	P1039
Q105736101	Q6022244	Q41823427	P1039
Q105753269	Q2960213	Q13204680	P1039;P580;P582
Q105753269	Q87673	Q76557	P1039
Q105753269	Q506177	Q76557	P1039
Q105761008	Q110965871	Q2914212	P1039
Q1057736	Q795022	Q3813877	P1039
Q1057926	Q2662683	Q61740757	P1039
Q105817153	Q3021012	Q3813877	P1039
Q105919612	Q124599043	Q13204680	P1039
Q105953875	Q19629001	Q402152	P1039
Q105953875	Q111442083	Q2500621	P1039
Q105953875	Q24205953	Q9238344	P1039
Q105953875	Q28936494	Q7565	P1039
Q105953875	Q45107526	Q7565	P1039
Q105953875	Q25455059	Q7565	P1039
Q105953875	Q42331664	Q7565	P1039
Q105953875	Q121734982	Q7565	P1039
Q105953875	Q112623711	Q7566	P1039
Q105953875	Q111263400	Q7566	P1039
Q105953875	Q106313060	Q23009870	P1039
Q10600804	Q5782834	Q13204680	P1039
Q106020012	Q1504279	Q9238344	P1039
Q106072112	Q574685	Q84158642	P1039
Q106072112	Q5042198	Q84158642	P1039
Q106084259	Q114830391	Q23009870	P1039
Q106084677	Q137258578	Q4994791	P1039
Q106116216	Q52155659	Q76557	P1039
Q106143	Q21192421	Q15224724	P1039
Q106185492	Q5809268	Q11921506	P1039
Q106208	Q6925001	Q31819505	P1039
Q106208	Q117485669	Q76557	P1039
Q106209	Q119846282	Q3403377	P1039
Q106209	Q119846200	Q3403377	P1039
Q106209	Q131687558	Q3403377	P1039
Q106223633	Q501379	Q76557	P1039
Q106230589	Q95435321	Q15657883	P1039
Q106236	Q55769529	Q3752578	P1039
Q106238428	Q12000333	Q15224724	P1039
Q106238769	Q1315842	Q76557	P1039
Q106238769	Q1680590	Q2914212	P1039
Q106238769	Q89659	Q2914212	P1039
Q106238769	Q15428578	Q23009870	P1039
Q106238769	Q106280486	Q11921506	P1039
Q106238931	Q106280486	Q11921506	P1039
Q106238931	Q106646520	Q19756330	P1039
Q106239	Q59524566	Q4120409	P1039
Q1062517	Q134192680	Q19682162	P1039
Q106255	Q78469279	Q11921506	P1039
Q106275	Q2636650	Q3813877	P1039
Q106276	Q1506721		
Q1062778	Q87135399	Q76507	P1039
Q1062778	Q87133479	Q31819505	P1039
Q106313060	Q19629001	Q402152	P1039
Q106313060	Q111442083	Q58837291	P1039
Q106313060	Q24205953	Q2500621	P1039
Q106313060	Q121734982	Q19682162	P1039
Q106313060	Q18716348	Q4994791	P1039
Q106313060	Q19606689	Q31819505	P1039
Q106320543	Q31349940	Q15224724	P1039
Q106320546	Q106320547	Q19595226	P1039
Q106320546	Q16139627	Q4994791	P1039
Q106320546	Q85424807	Q12158205	P1039
Q106320546	Q31349940	Q31819505	P1039
Q106320547	Q85424807	Q12158205	P1039
Q106320547	Q31349940	Q31819505	P1039
Q106320547	Q136202443	Q19822354	P1039
Q106320547	Q136202448	Q4346792	P1039
Q106320547	Q106320546	Q19595226	P1039
Q106320547	Q107076236	Q4838063	P1039
Q106328018	Q6141796	Q9238344	P1039
Q10633	Q156548	Q41798832	P1039
Q1063449	Q437832	Q4120409	P1039
Q106353	Q94783325	Q15224724	P1039
Q106353	Q94783330	Q15224724	P1039
Q106366462	Q102813	Q23009870	P1039
Q106372029	Q10367343	Q3752578	P1039
Q106376074	Q19629001	Q402152	P1039
Q106376074	Q122772984	Q19682171	P1039
Q106376074	Q122664308	Q76557	P1039
Q106376074	Q25455134	Q23009870	P1039
Q106376074	Q106313060	Q23009870	P1039
Q106392626	Q125257216	Q2914212	P1039
Q106399485	Q735212	Q19822352	P1039
Q1064274	Q2573201		
Q1064274	Q94845117		
Q1064363	Q21165806	Q31819505	P1039
Q1064506	Q354352	Q76557	P1039
Q1064506	Q1035	Q19682162	P1039
Q1064506	Q1333425	Q76557	P1039
Q1064506	Q1374840	Q76557	P1039
Q1064506	Q191026	Q223973	P1039
Q106451053	Q19629001	Q402152	P1039
Q106451053	Q28936494	Q12158205	P1039
Q106451053	Q24205953	Q12158205	P1039
Q106451053	Q45107526	Q31819505	P1039
Q106451053	Q25455059	Q31819505	P1039
Q106459568	Q106473100	Q3238556	P1039
Q106466721	Q1339785	Q23009870	P1039
Q1064671	Q1733790		
Q1064692	Q7163400	Q89002867	P1039
Q106473100	Q106474035	Q3238556	P1039
Q106473100	Q106459568	Q3238556	P1039
Q106474035	Q106473100	Q3238556	P1039
Q106474151	Q5707382	Q13204680	P1039
Q1064793	Q127074301	Q19822354	P1039
Q1064912	Q134661	Q13204680	P1039
Q1064912	Q6779503	Q723868	P1039
Q1064912	Q441991	Q3238556	P1039
Q1065068	Q3266370	Q76557	P1039
Q106508969	Q2456433	Q11921506	P1039
Q106509074	Q106513503	Q76557	P1039
Q106509074	Q106513525	Q76557	P1039
Q106509074	Q2456433	Q15224724	P1039
Q106510381	Q6174232	Q20746702	P1039
Q106513649	Q106508969	Q11921506	P1039
Q106513649	Q106513525	Q11921506	P1039
Q106513649	Q106513503	Q11921506	P1039
Q106513649	Q437690	Q19680017	P1039
Q106513649	Q106508871	Q19680017	P1039
Q106513649	Q106509074	Q19680017	P1039
Q106513649	Q2631847	Q19680017	P1039
Q1065210	Q17503525	Q53277248	P1039
Q106522361	Q19629001	Q402152	P1039
Q1065281	Q3262439	Q76557	P1039
Q1065281	Q21055169	Q76507	P1039
Q1065281	Q134085	Q13204680	P1039
Q1065281	Q61963095	Q723868	P1039
Q106529338	Q19662856	Q15224724	P1039
Q106536987	Q106518028	Q13204680	P1039
Q106541724	Q106527768		
Q106541724	Q131769185		
Q106543540	Q6551880	Q76507	P1039
Q106555636	Q9327	Q4113830	P1039
Q1065635	Q2863365	Q15224724	P1039
Q106570288	Q12404008	Q12160962	P1039
Q106571712	Q106571760	Q11921506	P1039
Q106571760	Q106571712	Q9238344	P1039
Q106571760	Q106571674	Q76557	P1039
Q106571760	Q4358945	Q76557	P1039
Q106571760	Q3920816	Q23009870	P1039
Q106577540	Q106577999	Q5992509	P1039
Q106577540	Q106578009	Q12158205	P1039
Q106577540	Q106577990	Q31819505	P1039
Q106577990	Q106578063	Q31819505	P1039
Q106577990	Q104762510	Q12051531	P1039
Q106577990	Q106577540	Q31819505	P1039
Q106577990	Q106578034	Q12051531	P1039
Q106577990	Q1371822	Q4120409	P1039
Q106577990	Q106578009	Q4120409	P1039
Q106577999	Q106578063	Q23045211	P1039
Q106577999	Q104762510	Q23045278	P1039
Q106577999	Q106577540	Q23045211	P1039
Q106577999	Q106578034	Q23045278	P1039
Q106577999	Q125106	Q13184281	P1039
Q106577999	Q106578013	Q104590970	P1039
Q106578074	Q4014597	Q9238344	P1039
Q1065815	Q155712	Q23009870	P1039
Q106587227	Q106577696	Q3752578	P1039
Q106587227	Q117342587	Q12158205	P1039
Q1066050	Q711589	Q4994791	P1039
Q106618785	Q45313730	Q19682162	P1039
Q106627162	Q817746	Q11921506	P1039;P22
Q106627470	Q106627479	Q11921506	P1039;P22
Q106629190	Q138578214	Q23045211	P1039
Q106629223	Q138578214	Q23045211	P1039
Q106637244	Q984347	Q76557	P1039
Q106637244	Q8016502	Q31819505	P1039
Q10664	Q597701	Q76557	P1039
Q106640683	Q47243	Q23009870	P1039
Q106642198	Q66524	Q23868497	P1039
Q106642198	Q56435227	Q12150903	P1039
Q106643010	Q77204	Q19682162	P1039
Q106654496	Q106648142		
Q106671	Q102491	Q15224724	P1039
Q106681170	Q4862528	Q15224724	P1039
Q106685	Q136678269		
Q1066885	Q8253514		
Q106691420	Q188526	Q19595228	P1039
Q106691420	Q4503416	Q19595228	P1039
Q1067	Q57413931	Q183905	P1039
Q106705820	Q11309406	Q61740757	P1039
Q106705820	Q56422936	Q61740758	P1039
Q106708	Q1699594	Q3752578	P1039
Q106708	Q366845	Q2914212	P1039
Q106730652	Q94282163	Q13204680	P1039
Q106748005	Q19749051	Q15224724	P1039
Q106764992	Q78649	Q23009870	P1039
Q106764992	Q115097	Q23009870	P1039
Q106775	Q258220	Q4113830	P1039
Q106777319	Q55800	Q19595229	P1039
Q106777319	Q106777352	Q19595227	P1039
Q106777352	Q55800	Q19595229	P1039
Q106777352	Q106777319	Q19595229	P1039
Q106778933	Q2575859	Q12158205	P1039
Q106778933	Q15990519	Q5992509	P1039
Q1067919	Q465935	Q11921506	P1039
Q1067919	Q16597550		P1039
Q106811980	Q16595452	Q9235758	P1039
Q106812434	Q55215351	Q76557	P1039
Q106824322	Q115740065	Q9235758	P1039
Q106829	Q63470	Q3752578	P1039
Q106829	Q92336	Q3752578	P1039
Q106862757	Q743162	Q4346792	P1039
Q106862757	Q106862842	Q4346792	P1039
Q106866537	Q6117843	Q76507	P1039
Q106879997	Q2854465	Q41823427	P1039
