char,codepoint,unicode_name,script_word,occurrences,top_tags,sample
я,U+044F,CYRILLIC SMALL LETTER YA,CYRILLIC,33138,TITL:25520; NAME:2876; GIVN:914; SURN:839,принц на Франция
д,U+0434,CYRILLIC SMALL LETTER DE,CYRILLIC,32186,TITL:20160; NAME:4997; GIVN:2900; SURN:1397,граф Мьодо
á,U+00E1,LATIN SMALL LETTER A WITH ACUTE,LATIN,29298,NAME:11414; _MARNM:5517; SURN:4057; GIVN:2404,Miriam Aida Fátima /Gaya Pereyra/
í,U+00ED,LATIN SMALL LETTER I WITH ACUTE,LATIN,28777,NAME:11203; GIVN:5522; _MARNM:3430; SURN:2871,Andrés /Mejía Gaya/
ó,U+00F3,LATIN SMALL LETTER O WITH ACUTE,LATIN,28725,NAME:8031; PLAC:4289; STAE:3839; _MARNM:3161,Ximena Verónica /Gaya Capriles/
т,U+0442,CYRILLIC SMALL LETTER TE,CYRILLIC,27585,TITL:16158; NAME:4296; GIVN:2698; CTRY:1156,Наполеон Жозеф Шарл Пол Бонапарт
陳,U+9673,CJK UNIFIED IDEOGRAPH-9673,CJK,21483,NAME:11475; _MARNM:5330; SURN:3790; GIVN:475,貞 元正 /陳郡陽夏/
ñ,U+00F1,LATIN SMALL LETTER N WITH TILDE,LATIN,19877,NAME:5382; CTRY:4419; _MARNM:2300; SURN:2005,"Villar del Pedroso, Cáceres, Extremadura, España"
å,U+00E5,LATIN SMALL LETTER A WITH RING ABOVE,LATIN,19123,PLAC:4584; CITY:3233; OCCU:2714; NAME:2614,Kari er nemd som brukar til garden i1626- 1626. Svært velståande
ь,U+044C,CYRILLIC SMALL LETTER SOFT SIGN,CYRILLIC,18689,TITL:12596; NAME:2724; GIVN:1293; SURN:536,граф Мьодо
п,U+043F,CYRILLIC SMALL LETTER PE,CYRILLIC,17789,TITL:15777; NAME:749; GIVN:321; SURN:273,Наполеон Жозеф Шарл Пол Бонапарт
ا,U+0627,ARABIC LETTER ALEF,ARABIC,17500,NAME:7218; SURN:4233; GIVN:2542; _MARNM:1820,دسپنه خاتون‎ //
у,U+0443,CYRILLIC SMALL LETTER U,CYRILLIC,17007,TITL:7773; NAME:3398; GIVN:1536; SURN:1200,"1906 год, Потомки Рюрика по книге Василия Дурасова "
Р,U+0420,CYRILLIC CAPITAL LETTER ER,CYRILLIC,16982,TITL:14438; CTRY:852; NAME:714; GIVN:292,Dobronega Maria Vladimirovna /Рюриковичи/ Rurikid
室,U+5BA4,CJK UNIFIED IDEOGRAPH-5BA4,CJK,16748,NAME:8802; GIVN:4523; OCCU:3073; NICK:300,信秀側室 /織田/
Ø,U+00D8,LATIN CAPITAL LETTER O WITH STROKE,LATIN,16142,STAE:9604; PLAC:2632; NAME:1201; _MARNM:651,"Ørslev kirke, (Ombegravd på änkans begäran)"
ö,U+00F6,LATIN SMALL LETTER O WITH DIAERESIS,LATIN,15461,PLAC:4921; STAE:2616; NAME:2209; CITY:1340,Norrköping
м,U+043C,CYRILLIC SMALL LETTER EM,CYRILLIC,15425,TITL:7650; NAME:3425; GIVN:1901; SURN:819,Соломея
ل,U+0644,ARABIC LETTER LAM,ARABIC,14893,NAME:6193; SURN:3988; GIVN:1927; _MARNM:1547,الاسكندرية
й,U+0439,CYRILLIC SMALL LETTER SHORT I,CYRILLIC,14807,NAME:5157; TITL:3296; GIVN:2184; SURN:1551,Великий Князь Киевский
К,U+041A,CYRILLIC CAPITAL LETTER KA,CYRILLIC,14448,TITL:10080; NAME:1511; GIVN:677; STAE:468,княжна Добронега Мария Киевская
ä,U+00E4,LATIN SMALL LETTER A WITH DIAERESIS,LATIN,14178,STAE:3845; PLAC:2891; NAME:2058; OCCU:1295,Bohuslän
з,U+0437,CYRILLIC SMALL LETTER ZE,CYRILLIC,13911,TITL:10255; NAME:1279; STAE:537; SURN:442,Наполеон Жозеф Шарл Пол Бонапарт
ي,U+064A,ARABIC LETTER YEH,ARABIC,13243,NAME:5382; SURN:4040; _MARNM:1573; GIVN:1291,الاسكندرية
П,U+041F,CYRILLIC CAPITAL LETTER PE,CYRILLIC,11637,TITL:9603; NAME:796; GIVN:434; SURN:251,Наполеон Жозеф Шарл Пол Бонапарт
ч,U+0447,CYRILLIC SMALL LETTER CHE,CYRILLIC,11420,NAME:5381; GIVN:4379; TITL:464; SURN:434,Dobronega Maria Vladimirovna /Рюриковичи/ Rurikid
正,U+6B63,CJK UNIFIED IDEOGRAPH-6B63,CJK,11385,NAME:6154; GIVN:3075; OCCU:1754; NICK:186,貞 元正 /陳郡陽夏/
曾,U+66FE,CJK UNIFIED IDEOGRAPH-66FE,CJK,11201,NAME:5516; _MARNM:2956; SURN:2625; GIVN:62,曾氏 /Chan/
原,U+539F,CJK UNIFIED IDEOGRAPH-539F,CJK,10733,NAME:6333; SURN:2054; _MARNM:1599; OCCU:319,/彭城武原/
х,U+0445,CYRILLIC SMALL LETTER HA,CYRILLIC,10221,TITL:6985; NAME:1496; GIVN:872; NICK:246,Наполеон Бонапарт - единственная найденная картина художника
藤,U+85E4,CJK UNIFIED IDEOGRAPH-85E4,CJK,10150,NAME:6088; _MARNM:1712; SURN:1552; OCCU:391,多津 /伊藤/
李,U+674E,CJK UNIFIED IDEOGRAPH-674E,CJK,9965,_MARNM:5232; NAME:3256; TITL:745; SURN:490,李氏 /Chan/
河,U+6CB3,CJK UNIFIED IDEOGRAPH-6CB3,CJK,9773,NAME:4895; SURN:4673; GIVN:74; OCCU:52,三河守
ã,U+00E3,LATIN SMALL LETTER A WITH TILDE,LATIN,9680,NAME:3594; GIVN:2143; TITL:1109; _MARNM:648,"Roi de France, King of Western Francia, Rei da França Ocidental (922-923), Dux Francorum (em 892, um cargo militar digno"
ü,U+00FC,LATIN SMALL LETTER U WITH DIAERESIS,LATIN,9496,NAME:2597; STAE:1379; _MARNM:1224; SURN:937,Jewish Cemetery Mühringen
子,U+5B50,CJK UNIFIED IDEOGRAPH-5B50,CJK,9248,NAME:5112; GIVN:2960; TITL:430; NICK:305,陳子玉 /Chan/
æ,U+00E6,LATIN SMALL LETTER AE,LATIN,9241,PLAC:1818; NAME:1792; TITL:970; _MARNM:937,Indre Nessa i Nedstrand; jfr g og æ Tysvær bok / s 589
Д,U+0414,CYRILLIC CAPITAL LETTER DE,CYRILLIC,9229,TITL:6221; NAME:1439; GIVN:927; SURN:236,Доброгне́ва В крещении Мария
平,U+5E73,CJK UNIFIED IDEOGRAPH-5E73,CJK,9196,NAME:5074; SURN:2018; _MARNM:941; GIVN:501,陳早平 /Chan/
長,U+9577,CJK UNIFIED IDEOGRAPH-9577,CJK,9165,NAME:4778; SURN:1583; GIVN:1525; TITL:427,京 慶復 /京兆長安/
田,U+7530,CJK UNIFIED IDEOGRAPH-7530,CJK,9155,NAME:5276; _MARNM:1498; SURN:1377; OCCU:481,完寇 /田/
陽,U+967D,CJK UNIFIED IDEOGRAPH-967D,CJK,8582,NAME:4221; SURN:3990; GIVN:127; TITL:96,貞 元正 /陳郡陽夏/
ç,U+00E7,LATIN SMALL LETTER C WITH CEDILLA,LATIN,8475,NAME:3387; GIVN:1562; _MARNM:1073; TITL:718,"Count of Moncalieri, Prince Napoleon, 3rd Prince of Montfort, HIH Napoléon Joseph Charles Paul Prince Napoléon, Prince F"
州,U+5DDE,CJK UNIFIED IDEOGRAPH-5DDE,CJK,8191,NAME:4093; SURN:4054; GIVN:19; OCCU:10,邕公 /許州長社/
Б,U+0411,CYRILLIC CAPITAL LETTER BE,CYRILLIC,8070,TITL:3985; NAME:1736; SURN:868; GIVN:643,Наполеон Жозеф Шарл Пол Бонапарт
道,U+9053,CJK UNIFIED IDEOGRAPH-9053,CJK,7505,NAME:3848; SURN:2588; GIVN:861; TITL:86,韜元 道韞 /陳郡陽夏/
王,U+738B,CJK UNIFIED IDEOGRAPH-738B,CJK,7483,TITL:2669; NAME:2174; _MARNM:1714; GIVN:414,氏 /王/
南,U+5357,CJK UNIFIED IDEOGRAPH-5357,CJK,7419,NAME:3772; SURN:3289; GIVN:188; _MARNM:80,陳南鳳 /Chan/
م,U+0645,ARABIC LETTER MEEM,ARABIC,7381,NAME:3355; GIVN:1875; SURN:1097; _MARNM:450,سليمان قتيل فخ /الحسني/
한,U+D55C,HANGUL SYLLABLE HAN,HANGUL,7331,PLAC:7164; NAME:86; SURN:46; GIVN:32,한국 경기도 구리시 인창동 산 2-1번지 동구릉 건원릉
В,U+0412,CYRILLIC CAPITAL LETTER VE,CYRILLIC,7293,TITL:2549; NAME:2137; GIVN:1209; SURN:387,Доброгне́ва В крещении Мария
국,U+AD6D,HANGUL SYLLABLE GUG,HANGUL,7240,PLAC:7206; NAME:23; GIVN:7; NICK:3,중국 j이린 吉林市
安,U+5B89,CJK UNIFIED IDEOGRAPH-5B89,CJK,6641,NAME:3456; SURN:2460; GIVN:496; _MARNM:100,京 慶復 /京兆長安/
西,U+897F,CJK UNIFIED IDEOGRAPH-897F,CJK,6561,NAME:3340; SURN:2780; GIVN:139; _MARNM:126,陳西序 /Chan/
А,U+0410,CYRILLIC CAPITAL LETTER A,CYRILLIC,6555,TITL:2230; NAME:2093; GIVN:1585; NICK:259,Анна Мария Луиза /Медичи/
б,U+0431,CYRILLIC SMALL LETTER BE,CYRILLIC,6550,TITL:3157; NAME:1326; SURN:649; _MARNM:441,Доброгне́ва В крещении Мария
С,U+0421,CYRILLIC CAPITAL LETTER ES,CYRILLIC,6323,NAME:2030; TITL:1648; GIVN:1010; SURN:678,Соломея
世,U+4E16,CJK UNIFIED IDEOGRAPH-4E16,CJK,6323,NAME:4514; GIVN:1039; NSFX:332; SURN:233,陳世盛 /Chan 116/
松,U+677E,CJK UNIFIED IDEOGRAPH-677E,CJK,6071,NAME:3406; _MARNM:887; SURN:869; OCCU:393,松平信康正室
М,U+041C,CYRILLIC CAPITAL LETTER EM,CYRILLIC,5960,TITL:1829; NAME:1760; GIVN:1271; NICK:289,граф Мьодо
ر,U+0631,ARABIC LETTER REH,ARABIC,5882,NAME:2498; GIVN:1308; SURN:943; TITL:495,الاسكندرية
ن,U+0646,ARABIC LETTER NOON,ARABIC,5881,NAME:2510; SURN:1094; GIVN:965; TITL:637,دسپنه خاتون‎ //
忠,U+5FE0,CJK UNIFIED IDEOGRAPH-5FE0,CJK,5865,NAME:3496; GIVN:1811; OCCU:352; NICK:181,陳忠 /Chan/
縣,U+7E23,CJK UNIFIED IDEOGRAPH-7E23,CJK,5787,NAME:2889; SURN:2851; _MARNM:16; NICK:12,"Shí 實 zì: Zhònggōng 字:仲弓 /潁川許縣/ 89,81,48,1g"
è,U+00E8,LATIN SMALL LETTER E WITH GRAVE,LATIN,5611,NAME:2349; GIVN:837; _MARNM:566; SURN:436,Adalbert /de Pontevès/
京,U+4EAC,CJK UNIFIED IDEOGRAPH-4EAC,CJK,5592,NAME:2776; SURN:2553; STAE:58; _MARNM:58,徽 /京兆萬年/
氏,U+6C0F,CJK UNIFIED IDEOGRAPH-6C0F,CJK,5435,NAME:2995; GIVN:1142; TITL:561; _MARNM:318,大唐帝國 /謝氏/
信,U+4FE1,CJK UNIFIED IDEOGRAPH-4FE1,CJK,5408,NAME:3193; GIVN:1644; OCCU:307; NICK:159,陳信 /Chan/
公,U+516C,CJK UNIFIED IDEOGRAPH-516C,CJK,5406,NAME:3293; GIVN:1514; TITL:338; NICK:181,"Chén Měng Gōng, 陳猛公, 103, 62, 15"
ú,U+00FA,LATIN SMALL LETTER U WITH ACUTE,LATIN,5399,NAME:2296; _MARNM:1004; SURN:660; GIVN:460,Bernardo Lainez /Bermúdez/
ب,U+0628,ARABIC LETTER BEH,ARABIC,5340,NAME:2625; GIVN:1105; SURN:843; _MARNM:313,اباقا خان Sulamish - Chichak
隴,U+96B4,CJK UNIFIED IDEOGRAPH-96B4,CJK,5310,NAME:2654; SURN:2653; NICK:2; _MARNM:1,旦 /隴西狄道/
ю,U+044E,CYRILLIC SMALL LETTER YU,CYRILLIC,5291,TITL:4548; NAME:310; SURN:185; NICK:98,Dobronega Maria Vladimirovna /Рюриковичи/ Rurikid
元,U+5143,CJK UNIFIED IDEOGRAPH-5143,CJK,5193,NAME:1941; TITL:1357; GIVN:1157; _MARNM:514,貞 元正 /陳郡陽夏/
兆,U+5146,CJK UNIFIED IDEOGRAPH-5146,CJK,5116,NAME:2564; SURN:2497; GIVN:42; NICK:6,徽 /京兆萬年/
Г,U+0413,CYRILLIC CAPITAL LETTER GHE,CYRILLIC,5095,TITL:2046; NAME:1229; GIVN:545; SURN:474,Санкт-Петербургская Губерния
狄,U+72C4,CJK UNIFIED IDEOGRAPH-72C4,CJK,5082,NAME:2542; SURN:2533; GIVN:5; _MARNM:2,旦 /隴西狄道/
大,U+5927,CJK UNIFIED IDEOGRAPH-5927,CJK,4989,NAME:2663; GIVN:632; SURN:566; _MARNM:484,大唐帝國 /謝氏/
山,U+5C71,CJK UNIFIED IDEOGRAPH-5C71,CJK,4981,NAME:2802; SURN:1124; _MARNM:502; GIVN:254,陳孟山 /Chan/
ع,U+0639,ARABIC LETTER AIN,ARABIC,4812,NAME:2157; GIVN:1144; SURN:807; _MARNM:332,الوليد بن عبد الملك
墓,U+5893,CJK UNIFIED IDEOGRAPH-5893,CJK,4775,TITL:4769; NAME:2; GIVN:2; OCCU:1,〔隋〕陳叔明墓誌銘
〔,U+3014,LEFT TORTOISE SHELL BRACKET,LEFT,4700,TITL:4698; NICK:2,〔隋〕陳叔明墓誌銘
〕,U+3015,RIGHT TORTOISE SHELL BRACKET,RIGHT,4700,TITL:4698; NICK:2,〔隋〕陳叔明墓誌銘
誌,U+8A8C,CJK UNIFIED IDEOGRAPH-8A8C,CJK,4692,TITL:4688; NAME:2; GIVN:2,〔隋〕陳叔明墓誌銘
س,U+0633,ARABIC LETTER SEEN,ARABIC,4643,NAME:1939; SURN:1023; GIVN:776; _MARNM:408,دسپنه خاتون‎ //
И,U+0418,CYRILLIC CAPITAL LETTER I,CYRILLIC,4627,NAME:1897; GIVN:1695; TITL:729; NICK:197,Иоганн //
陵,U+9675,CJK UNIFIED IDEOGRAPH-9675,CJK,4520,NAME:2256; SURN:2189; GIVN:51; PLAC:16,陵 /陳/
東,U+6771,CJK UNIFIED IDEOGRAPH-6771,CJK,4513,NAME:2303; SURN:1869; GIVN:135; _MARNM:78,陳東 /Chan/
川,U+5DDD,CJK UNIFIED IDEOGRAPH-5DDD,CJK,4423,NAME:2461; SURN:921; _MARNM:617; OCCU:182,泰 玄伯 /潁川許昌/
銘,U+9298,CJK UNIFIED IDEOGRAPH-9298,CJK,4378,TITL:4329; NAME:26; GIVN:21; _MARNM:2,〔隋〕陳叔明墓誌銘
Á,U+00C1,LATIN CAPITAL LETTER A WITH ACUTE,LATIN,4021,NAME:1817; _MARNM:732; GIVN:489; SURN:443,Álvarez de Lara
ы,U+044B,CYRILLIC SMALL LETTER YERU,CYRILLIC,4018,TITL:2158; NAME:752; GIVN:270; SURN:244,"Ярослав Юрий ""Мудрый"" Владимирович //"
城,U+57CE,CJK UNIFIED IDEOGRAPH-57CE,CJK,3957,NAME:1966; SURN:1637; GIVN:103; OCCU:81,/彭城武原/
清,U+6E05,CJK UNIFIED IDEOGRAPH-6E05,CJK,3912,NAME:2203; SURN:827; GIVN:667; OCCU:99,陳世清 /Chan/
د,U+062F,ARABIC LETTER DAL,ARABIC,3842,NAME:1789; GIVN:1136; SURN:437; TITL:199,دسپنه خاتون‎ //
ā,U+0101,LATIN SMALL LETTER A WITH MACRON,LATIN,3822,NAME:2025; GIVN:915; _MARNM:456; NICK:185,zì: Tiānrán 字:天然
Å,U+00C5,LATIN CAPITAL LETTER A WITH RING ABOVE,LATIN,3818,NAME:1056; PLAC:670; GIVN:451; _MARNM:367,Kari Ågesdatter /Nessa/
鄭,U+912D,CJK UNIFIED IDEOGRAPH-912D,CJK,3767,NAME:1511; _MARNM:1218; SURN:917; TITL:99,鄭氏 /Chan/
و,U+0648,ARABIC LETTER WAW,ARABIC,3594,NAME:1497; GIVN:764; SURN:567; TITL:403,دسپنه خاتون‎ //
â,U+00E2,LATIN SMALL LETTER A WITH CIRCUMFLEX,LATIN,3573,NAME:985; TITL:625; _MARNM:492; OCCU:357,"Chevalier, capitaine de la ville et du châteaux d'Exmes"
院,U+9662,CJK UNIFIED IDEOGRAPH-9662,CJK,3558,NAME:2198; GIVN:958; NICK:125; _MARNM:103,養徳院 /池田/
宗,U+5B97,CJK UNIFIED IDEOGRAPH-5B97,CJK,3525,NAME:2070; GIVN:1096; OCCU:87; NICK:84,隋朝列祖列宗 /謝氏/
ж,U+0436,CYRILLIC SMALL LETTER ZHE,CYRILLIC,3525,NAME:1162; SURN:803; STAE:401; CTRY:281,княжна Добронега Мария Киевская
高,U+9AD8,CJK UNIFIED IDEOGRAPH-9AD8,CJK,3497,NAME:1938; GIVN:696; _MARNM:302; SURN:254,/高/
政,U+653F,CJK UNIFIED IDEOGRAPH-653F,CJK,3474,NAME:2066; GIVN:1060; OCCU:214; NICK:122,陳维政 /Chan/
義,U+7FA9,CJK UNIFIED IDEOGRAPH-7FA9,CJK,3442,NAME:2070; GIVN:1138; OCCU:144; NICK:46,[艹瀹] 義潔 /陳郡陽夏/
久,U+4E45,CJK UNIFIED IDEOGRAPH-4E45,CJK,3405,NAME:2054; GIVN:580; SURN:286; _MARNM:286,久道 /加納/
野,U+91CE,CJK UNIFIED IDEOGRAPH-91CE,CJK,3396,NAME:1974; SURN:547; _MARNM:469; OCCU:162,野公 /Gui 媯/
唐,U+5510,CJK UNIFIED IDEOGRAPH-5510,CJK,3375,TITL:2247; _MARNM:575; NAME:400; SURN:75,大唐帝國 /謝氏/
三,U+4E09,CJK UNIFIED IDEOGRAPH-4E09,CJK,3308,NAME:1771; NSFX:440; _MARNM:273; GIVN:265,陳丹三 /Chan/
文,U+6587,CJK UNIFIED IDEOGRAPH-6587,CJK,3302,NAME:1749; GIVN:1037; SURN:174; TITL:120,陳文德 /Chan 121/
重,U+91CD,CJK UNIFIED IDEOGRAPH-91CD,CJK,3223,NAME:1965; GIVN:990; OCCU:167; NICK:87,重 /陳郡陽夏/
武,U+6B66,CJK UNIFIED IDEOGRAPH-6B66,CJK,3223,NAME:1628; SURN:843; GIVN:280; _MARNM:238,/彭城武原/
光,U+5149,CJK UNIFIED IDEOGRAPH-5149,CJK,3221,NAME:1916; GIVN:1054; OCCU:104; NICK:77,光祖 /黃/
一,U+4E00,CJK UNIFIED IDEOGRAPH-4E00,CJK,3170,NAME:1659; NSFX:802; GIVN:320; OCCU:117,陳丹一 /Chan/
洛,U+6D1B,CJK UNIFIED IDEOGRAPH-6D1B,CJK,3132,NAME:1563; SURN:1533; GIVN:22; PLAC:11,/河南洛陽/
井,U+4E95,CJK UNIFIED IDEOGRAPH-4E95,CJK,3105,NAME:1832; _MARNM:484; SURN:464; OCCU:181,村井重勝
直,U+76F4,CJK UNIFIED IDEOGRAPH-76F4,CJK,3031,NAME:1787; GIVN:952; OCCU:201; NICK:50,由直 /黃/
ح,U+062D,ARABIC LETTER HAH,ARABIC,3017,NAME:1352; GIVN:720; SURN:540; _MARNM:241,سليمان قتيل فخ /الحسني/
Т,U+0422,CYRILLIC CAPITAL LETTER TE,CYRILLIC,2974,TITL:1078; NAME:773; GIVN:432; NICK:217,Теодор II Палеолог
利,U+5229,CJK UNIFIED IDEOGRAPH-5229,CJK,2915,NAME:1724; GIVN:543; _MARNM:192; OCCU:189,池田恒利正室のち織田信長乳母のち織田信秀側室
源,U+6E90,CJK UNIFIED IDEOGRAPH-6E90,CJK,2904,NAME:1745; _MARNM:428; SURN:360; GIVN:211,混 叔源 /陳郡陽夏/
成,U+6210,CJK UNIFIED IDEOGRAPH-6210,CJK,2835,NAME:1638; GIVN:761; SURN:177; NICK:90,铁木真成吉思汗 //
譚,U+8B5A,CJK UNIFIED IDEOGRAPH-8B5A,CJK,2831,NAME:1136; _MARNM:809; SURN:794; GIVN:46,譚氏 /Chan/
ł,U+0142,LATIN SMALL LETTER L WITH STROKE,LATIN,2827,NAME:1029; GIVN:595; SURN:281; TITL:245,Małopolskie
貞,U+8C9E,CJK UNIFIED IDEOGRAPH-8C9E,CJK,2809,NAME:1683; GIVN:1006; OCCU:87; NICK:26,貞 元正 /陳郡陽夏/
ш,U+0448,CYRILLIC SMALL LETTER SHA,CYRILLIC,2808,TITL:1191; NAME:674; GIVN:309; SURN:211,"княжна Киевская, Королева Польши / Storfurstinna av Polen"
Ö,U+00D6,LATIN CAPITAL LETTER O WITH DIAERESIS,LATIN,2793,PLAC:761; STAE:605; NAME:362; CITY:270,Österreich
范,U+8303,CJK UNIFIED IDEOGRAPH-8303,CJK,2777,NAME:1335; SURN:1236; _MARNM:182; GIVN:15,茂范
華,U+83EF,CJK UNIFIED IDEOGRAPH-83EF,CJK,2767,NAME:1214; SURN:883; TITL:390; GIVN:244,陳世華 /Chan/
条,U+6761,CJK UNIFIED IDEOGRAPH-6761,CJK,2742,NAME:1623; _MARNM:435; SURN:417; OCCU:141,二条城
小,U+5C0F,CJK UNIFIED IDEOGRAPH-5C0F,CJK,2700,NAME:1605; _MARNM:375; SURN:357; GIVN:139,小田井殿 栄輪院 /織田/
女,U+5973,CJK UNIFIED IDEOGRAPH-5973,CJK,2644,NAME:1594; GIVN:617; OCCU:270; NICK:150,"Nukui, 女溃"
張,U+5F35,CJK UNIFIED IDEOGRAPH-5F35,CJK,2629,NAME:1243; _MARNM:848; SURN:290; TITL:149,張氏 /Chan/
昌,U+660C,CJK UNIFIED IDEOGRAPH-660C,CJK,2615,NAME:1430; SURN:594; GIVN:498; OCCU:46,陳世昌 /Chan/
Ш,U+0428,CYRILLIC CAPITAL LETTER SHA,CYRILLIC,2613,TITL:1399; NAME:564; SURN:252; _MARNM:187,Наполеон Жозеф Шарл Пол Бонапарт
北,U+5317,CJK UNIFIED IDEOGRAPH-5317,CJK,2609,TITL:1239; NAME:785; SURN:237; _MARNM:163,京都市北区
Л,U+041B,CYRILLIC CAPITAL LETTER EL,CYRILLIC,2575,TITL:1478; NAME:457; GIVN:214; SURN:121,Анна Мария Луиза /Медичи/
之,U+4E4B,CJK UNIFIED IDEOGRAPH-4E4B,CJK,2526,NAME:1370; GIVN:985; TITL:75; NICK:51,山之内
頼,U+983C,CJK UNIFIED IDEOGRAPH-983C,CJK,2520,NAME:1547; GIVN:785; OCCU:114; NICK:55,含笑院殿(織田良頼の娘) /織田/
明,U+660E,CJK UNIFIED IDEOGRAPH-660E,CJK,2499,NAME:1412; GIVN:802; NICK:75; OCCU:72,方明 /陳郡陽夏/
家,U+5BB6,CJK UNIFIED IDEOGRAPH-5BB6,CJK,2483,NAME:1299; GIVN:596; OCCU:232; NICK:140,織田家
김,U+AE40,HANGUL SYLLABLE GIM,HANGUL,2469,NAME:1300; SURN:887; GIVN:244; NICK:19,경순 /김/
ō,U+014D,LATIN SMALL LETTER O WITH MACRON,LATIN,2449,NAME:1373; GIVN:498; STAE:142; CITY:117,"Chén Měng Gōng, 陳猛公, 103, 62, 15"
弘,U+5F18,CJK UNIFIED IDEOGRAPH-5F18,CJK,2440,NAME:1278; SURN:696; GIVN:401; TITL:41,密 弘微 /陳郡陽夏/
ē,U+0113,LATIN SMALL LETTER E WITH MACRON,LATIN,2439,NAME:1366; _MARNM:476; SURN:285; GIVN:217,Iōánnēs Ángelos [Komnēnós] Palaiológos Kantakouzēnós
邱,U+90B1,CJK UNIFIED IDEOGRAPH-90B1,CJK,2437,NAME:1133; SURN:653; _MARNM:644; GIVN:4,Chye Hoon /KHOO 邱/
أ,U+0623,ARABIC LETTER ALEF WITH HAMZA ABOVE,ARABIC,2403,NAME:1093; GIVN:484; SURN:415; TITL:186,الوليد /الأموي/
盧,U+76E7,CJK UNIFIED IDEOGRAPH-76E7,CJK,2388,_MARNM:1508; NAME:717; TITL:131; GIVN:16,盧氏 /Chan/
ì,U+00EC,LATIN SMALL LETTER I WITH GRAVE,LATIN,2386,NAME:1455; GIVN:757; NICK:78; SURN:41,"Chén Yì, 陳繹"
吳,U+5433,CJK UNIFIED IDEOGRAPH-5433,CJK,2380,NAME:1172; SURN:1098; _MARNM:95; GIVN:11,吳氏 /Chan/
親,U+89AA,CJK UNIFIED IDEOGRAPH-89AA,CJK,2363,NAME:1550; GIVN:535; OCCU:112; NICK:62,秋篠宮文仁親王
皇,U+7687,CJK UNIFIED IDEOGRAPH-7687,CJK,2360,NAME:1044; SURN:386; OCCU:319; GIVN:204,崇光天皇皇后
中,U+4E2D,CJK UNIFIED IDEOGRAPH-4E2D,CJK,2347,NAME:1170; _MARNM:261; GIVN:247; PLAC:235,陳積中 /Chan 114/
趙,U+8D99,CJK UNIFIED IDEOGRAPH-8D99,CJK,2326,NAME:1143; SURN:956; _MARNM:209; GIVN:11,Jew Law Ying 趙羅英
陰,U+9670,CJK UNIFIED IDEOGRAPH-9670,CJK,2325,NAME:1160; SURN:1138; _MARNM:8; OCCU:6,畝傍山西南御陰井上陵
崔,U+5D14,CJK UNIFIED IDEOGRAPH-5D14,CJK,2301,_MARNM:1416; NAME:680; TITL:144; SURN:55,崔
魏,U+9B4F,CJK UNIFIED IDEOGRAPH-9B4F,CJK,2218,TITL:1974; NAME:88; _MARNM:88; SURN:32,西魏文帝
勝,U+52DD,CJK UNIFIED IDEOGRAPH-52DD,CJK,2213,NAME:1307; GIVN:643; OCCU:104; NICK:72,陳勝一 /Chan/
