regnal	name	qid	lineage	role
	Hiraoka no Tsunetaka	Q135579422	other	
	Hisayama no Mototaka	Q135579504	other	
	Hoori		other	
	Iiirine	Q55533680	other	
	Ijimu Kuni no Miyatsuko	Q11379683	other	
	Inaoka no Nobutaka	Q135579459	other	
	Isetsuhiko		other	
	Izumo no Kaneie	Q135579396	Izumo	
	Kamikami no Kuni no Miyatsuko		other	
	Kamo district	Q11634953	other	
	Kando district	Q11591020	other	
	King Hōfei	Q11369801	other	
	Kitajima no Tokitaka	Q135579474	Kitajima	
	Kitajima no Yasutaka	Q135579480	Kitajima	
	Kushiyatama-no-kami	Q86734749	other	kokuso
	Minamoto no Masanobu	Q3314711	other	
	Minamoto no Sukenori	Q11564103	other	
	Musashi no Kuni no Miyatsuko	Q11504612	other	
	Niihari no Kuni no Miyatsuko	Q11502674	other	
	Ninigi-no-Mikoto		other	
	Nomi no Sukune	Q965742	other	kokuso
	Ohfubutsu no Ōkimi	Q11493025	other	
	Ookuma no Hiro	Q135579424	other	
	Ookuma no Munetoshi	Q135579412	other	
	Ookuma no Sadakuni	Q135579419	other	
	Oshima no Kuni no Miyatsuko	Q135579363	other	
	Prince Oshisaka Hikohito no Ōe	Q11497661	other	
	Prince Shiki	Q11072254	other	
	Sakusa no Jisei	Q135579489	other	
	Sasaki Hideyoshi	Q7424985	other	
	Sasaki Tametoshi	Q11382323	other	
	Sasaki Tsunekata	Q11382364	other	
	Sasaki Yasukiyo	Q11382304	other	
	Sasaki Yoshikiyo	Q4806168	other	
	Sasaki no Moriyoshi	Q135579390	other	
	Sasaki no Yoshiaki	Q135579393	other	
	Shimazu no Kuni no Miyatsuko		other	
	Shioya no Tokimune	Q135579408	other	
	Takahama no Tomotaka	Q135579467	other	
	Takahama no Yoshitaka	Q135579460	other	
	Takao Takashige	Q48752911	other	
	Takaoka Muneyasu	Q6129881	other	
	Takaoka no Shigeyasu	Q135579463	other	
	Takebe no Omi	Q11486866	other	
	Toda Yoshiyasu	Q11457249	other	
	Toshio Hōga	Q11452691	other	
	Tsushima no Agata no Atai	Q119922998	other	
	Ugayafukiaezu		other	
	Unagami no Isachi	Q11558664	other	
	Wakanuke no Futamata	Q13264213	other	
	Yakura no Motonori	Q135579507	other	
	Yamato Takeru	Q461258	other	
	Yoshida no Yoshide	Q135579401	other	
	sagamu no kuni no miyatsuko	Q11582190	other	
	takanokunimiyatsuko	Q11668988	other	
	Ōka kuni no atai	Q97706278	other	
	Ōtataneko		other	
