regnal	name	qid	lineage	geni_ids	status
	Akatsuka no Masakuni	Q135579465	other		NO GENI ID
	Akatsuka no Masatoki	Q135579456	other		NO GENI ID
	Akatsuka no Nagatoshi	Q135579484	other		NO GENI ID
	Akatsuka no Tokinobu	Q135579473	other		NO GENI ID
	Amabe clan	Q65272445	other		NO GENI ID
	Amami Haniyasu no Mikoto	Q136908598	other		NO GENI ID
	Amaterasu	Q455602	other		NO GENI ID
	Ame-no-oshihomimi	Q462555	other		NO GENI ID
	Ancestor of Kikumakoku Governor	Q11619936	other		NO GENI ID
	Ancestor of Suga no Kuni no Miyatsuko	Q85883175	other		NO GENI ID
	Aogaki Publishing	Q140447402	other		NO GENI ID
	Atsumi-shinnō	Q11499521	other	6000000012562127252	in corpus
	Awa no Kuni no Miyatsuko	Q11657515	other		NO GENI ID
	Daichi Sokei		other		no wikidata item
	Emperor Annei	Q313345	other		NO GENI ID
	Emperor Bidatsu	Q316637	other		NO GENI ID
	Emperor Chūai	Q179971	other		NO GENI ID
	Emperor Itoku	Q271536	other		NO GENI ID
	Emperor Jimmu	Q200188	other		NO GENI ID
	Emperor Jomei	Q329761	other		NO GENI ID
	Emperor Kaika	Q333548	other		NO GENI ID
	Emperor Kanmu	Q314846	other		NO GENI ID
	Emperor Keikō	Q329723	other		NO GENI ID
	Emperor Keitai	Q349277	other		NO GENI ID
	Emperor Kinmei	Q329792	other		NO GENI ID
	Emperor Kōan	Q312821	other		NO GENI ID
	Emperor Kōgen	Q333572	other		NO GENI ID
	Emperor Kōkō	Q440518	other		NO GENI ID
	Emperor Kōnin	Q958662	other	6000000011627413251	in corpus
	Emperor Kōrei	Q313041	other		NO GENI ID
	Emperor Kōshō	Q312841	other		NO GENI ID
	Emperor Ninmyō	Q349271	other		NO GENI ID
	Emperor Nintoku	Q313119	other		NO GENI ID
	Emperor Saga	Q316654	other		NO GENI ID
	Emperor Suinin	Q314850	other		NO GENI ID
	Emperor Suizei	Q313321	other		NO GENI ID
	Emperor Sujin	Q333530	other		NO GENI ID
	Emperor Tenji	Q314802	other		NO GENI ID
	Emperor Uda	Q349267	other		NO GENI ID
	Emperor Ōjin	Q317997	other		NO GENI ID
	Empress Jingū	Q232803	other		NO GENI ID
	En'ya Sadakiyo	Q18225783	other		NO GENI ID
	En'ya Takasada	Q11428604	other		NO GENI ID
	En'ya Yoriyasu	Q18236076	other		NO GENI ID
	Futakata Kuni no Miyatsuko	Q108487217	other		NO GENI ID
	Haji clan	Q10927758	other		NO GENI ID
	Hakikoku no Miyatsuko	Q135579364	other		NO GENI ID
	Higashianatsuu	Q135579470	other		NO GENI ID
	Higashinobutoshi	Q135579490	other		NO GENI ID
	Higashisadanobu	Q135579486	other		NO GENI ID
	Higashisadatsune	Q135579500	other		NO GENI ID
	Higashisadayori	Q135579434	other		NO GENI ID
	Higashitakakage	Q135579411	other		NO GENI ID
	Higashitakanori	Q135579454	other		NO GENI ID
	Higashitakataka	Q135579423	other		NO GENI ID
	Higashitokitaka	Q135579418	other		NO GENI ID
	Higashiyasunori	Q135579462	other		NO GENI ID
	Higashiyoshiakira	Q135579483	other		NO GENI ID
	Hikoushi no Ōkimi	Q11487892	other		NO GENI ID
	Hiraoka no Kuninori	Q135579426	other		NO GENI ID
	Hiraoka no Naokiyo	Q135579468	other		NO GENI ID
	Hiraoka no Naonori	Q135579453	other		NO GENI ID
	Hiraoka no Naotaka	Q135579461	other		NO GENI ID
	Hiraoka no Sadataka	Q135579410	other		NO GENI ID
	Hiraoka no Takataka	Q135579417	other		NO GENI ID
	Hiraoka no Tsunetaka	Q135579422	other		NO GENI ID
	Hisayama no Mototaka	Q135579504	other		NO GENI ID
	Hoori		other		no wikidata item
	Iiirine	Q55533680	other		NO GENI ID
	Ijimu Kuni no Miyatsuko	Q11379683	other		NO GENI ID
	Inaoka no Nobutaka	Q135579459	other		NO GENI ID
	Isetsuhiko		other		no wikidata item
	Izumo no Kaneie	Q135579396	Izumo		NO GENI ID
	Kamikami no Kuni no Miyatsuko		other		no wikidata item
	Kamo district	Q11634953	other		NO GENI ID
	Kando district	Q11591020	other		NO GENI ID
	King Hōfei	Q11369801	other		NO GENI ID
	Kitajima no Tokitaka	Q135579474	Kitajima		NO GENI ID
	Kitajima no Yasutaka	Q135579480	Kitajima		NO GENI ID
	Kushiyatama-no-kami	Q86734749	other		NO GENI ID
	Minamoto no Masanobu	Q3314711	other		NO GENI ID
	Minamoto no Sukenori	Q11564103	other		NO GENI ID
	Musashi no Kuni no Miyatsuko	Q11504612	other		NO GENI ID
	Niihari no Kuni no Miyatsuko	Q11502674	other		NO GENI ID
	Ninigi-no-Mikoto		other		no wikidata item
	Nomi no Sukune	Q965742	other		NO GENI ID
	Ohfubutsu no Ōkimi	Q11493025	other		NO GENI ID
	Ookuma no Hiro	Q135579424	other		NO GENI ID
	Ookuma no Munetoshi	Q135579412	other		NO GENI ID
	Ookuma no Sadakuni	Q135579419	other		NO GENI ID
	Oshima no Kuni no Miyatsuko	Q135579363	other		NO GENI ID
	Prince Oshisaka Hikohito no Ōe	Q11497661	other		NO GENI ID
	Prince Shiki	Q11072254	other		NO GENI ID
	Sakusa no Jisei	Q135579489	other		NO GENI ID
	Sasaki Hideyoshi	Q7424985	other		NO GENI ID
	Sasaki Tametoshi	Q11382323	other		NO GENI ID
	Sasaki Tsunekata	Q11382364	other		NO GENI ID
	Sasaki Yasukiyo	Q11382304	other		NO GENI ID
	Sasaki Yoshikiyo	Q4806168	other		NO GENI ID
	Sasaki no Moriyoshi	Q135579390	other		NO GENI ID
	Sasaki no Yoshiaki	Q135579393	other		NO GENI ID
	Shimazu no Kuni no Miyatsuko		other		no wikidata item
	Shioya no Tokimune	Q135579408	other		NO GENI ID
	Takahama no Tomotaka	Q135579467	other		NO GENI ID
	Takahama no Yoshitaka	Q135579460	other		NO GENI ID
	Takao Takashige	Q48752911	other		NO GENI ID
	Takaoka Muneyasu	Q6129881	other		NO GENI ID
	Takaoka no Shigeyasu	Q135579463	other		NO GENI ID
	Takebe no Omi	Q11486866	other		NO GENI ID
	Toda Yoshiyasu	Q11457249	other		NO GENI ID
	Toshio Hōga	Q11452691	other		NO GENI ID
	Tsushima no Agata no Atai	Q119922998	other		NO GENI ID
	Ugayafukiaezu		other		no wikidata item
	Unagami no Isachi	Q11558664	other		NO GENI ID
	Wakanuke no Futamata	Q13264213	other		NO GENI ID
	Yakura no Motonori	Q135579507	other		NO GENI ID
	Yamato Takeru	Q461258	other		NO GENI ID
	Yoshida no Yoshide	Q135579401	other		NO GENI ID
	sagamu no kuni no miyatsuko	Q11582190	other		NO GENI ID
	takanokunimiyatsuko	Q11668988	other		NO GENI ID
	Ōka kuni no atai	Q97706278	other		NO GENI ID
	Ōtataneko		other		no wikidata item
