regnal	roster_name	qid	lineage	geni_id	geni_name	status
	Akatsuka no Tokinobu	Q135579473	other			not found
	Amabe clan	Q65272445	other			not found
	Amami Haniyasu no Mikoto	Q136908598	other			not found
	Amaterasu	Q455602	other			not found
	Ame-no-oshihomimi	Q462555	other	6000000011630077286	Ame-no-oshihomimi	match (hop 4)
	Ancestor of Kikumakoku Governor	Q11619936	other			not found
	Ancestor of Suga no Kuni no Miyatsuko	Q85883175	other			not found
	Aogaki Publishing	Q140447402	other			not found
	Atsumi-shinnō	Q11499521	other			not found
	Awa no Kuni no Miyatsuko	Q11657515	other			not found
	Daichi Sokei		other			not found
	Emperor Annei	Q313345	other			not found
	Emperor Bidatsu	Q316637	other			not found
	Emperor Chūai	Q179971	other	6000000209931865841	Emperor Chūai	match (hop 16)
	Emperor Itoku	Q271536	other			not found
	Emperor Jimmu	Q200188	other	6000000001829589817	Jimmu  no Mikoto	match (hop 8)
	Emperor Jomei	Q329761	other			not found
	Emperor Kaika	Q333548	other			not found
	Emperor Kanmu	Q314846	other			not found
	Emperor Keikō	Q329723	other			not found
	Emperor Keitai	Q349277	other			not found
	Emperor Kinmei	Q329792	other			not found
	Emperor Kōan	Q312821	other			not found
	Emperor Kōgen	Q333572	other			not found
	Emperor Kōkō	Q440518	other			not found
	Emperor Kōnin	Q958662	other			not found
	Emperor Kōrei	Q313041	other			not found
	Emperor Kōshō	Q312841	other			not found
	Emperor Ninmyō	Q349271	other			not found
	Emperor Nintoku	Q313119	other			not found
	Emperor Saga	Q316654	other			not found
	Emperor Suinin	Q314850	other			not found
	Emperor Suizei	Q313321	other			not found
	Emperor Sujin	Q333530	other			not found
	Emperor Tenji	Q314802	other			not found
	Emperor Uda	Q349267	other			not found
	Emperor Ōjin	Q317997	other			not found
	Empress Jingū	Q232803	other			not found
	En'ya Sadakiyo	Q18225783	other			not found
	En'ya Takasada	Q11428604	other			not found
	En'ya Yoriyasu	Q18236076	other			not found
	Futakata Kuni no Miyatsuko	Q108487217	other			not found
	Haji clan	Q10927758	other			not found
	Hakikoku no Miyatsuko	Q135579364	other			not found
	Higashianatsuu	Q135579470	other			not found
	Higashinobutoshi	Q135579490	other			not found
	Higashisadanobu	Q135579486	other			not found
	Higashisadatsune	Q135579500	other			not found
	Higashisadayori	Q135579434	other			not found
	Higashitakakage	Q135579411	other			not found
	Higashitakanori	Q135579454	other			not found
	Higashitakataka	Q135579423	other			not found
	Higashitokitaka	Q135579418	other			not found
	Higashiyasunori	Q135579462	other			not found
	Higashiyoshiakira	Q135579483	other			not found
	Hikoushi no Ōkimi	Q11487892	other			not found
	Hiraoka no Kuninori	Q135579426	other			not found
	Hiraoka no Naokiyo	Q135579468	other			not found
	Hiraoka no Naonori	Q135579453	other			not found
	Hiraoka no Naotaka	Q135579461	other			not found
	Hiraoka no Sadataka	Q135579410	other			not found
	Hiraoka no Takataka	Q135579417	other			not found
	Hiraoka no Tsunetaka	Q135579422	other			not found
	Hisayama no Mototaka	Q135579504	other			not found
	Hoori		other			not found
	Iiirine	Q55533680	other			not found
	Ijimu Kuni no Miyatsuko	Q11379683	other			not found
	Inaoka no Nobutaka	Q135579459	other			not found
	Isetsuhiko		other			not found
	Izumo no Kaneie	Q135579396	Izumo			not found
	Kamikami no Kuni no Miyatsuko		other			not found
	Kamo district	Q11634953	other			not found
	Kando district	Q11591020	other			not found
	King Hōfei	Q11369801	other			not found
	Kitajima no Tokitaka	Q135579474	Kitajima			not found
	Kitajima no Yasutaka	Q135579480	Kitajima			not found
	Kushiyatama-no-kami	Q86734749	other			not found
	Minamoto no Masanobu	Q3314711	other			not found
	Minamoto no Sukenori	Q11564103	other			not found
	Musashi no Kuni no Miyatsuko	Q11504612	other			not found
	Niihari no Kuni no Miyatsuko	Q11502674	other			not found
	Ninigi-no-Mikoto		other	6000000001829776153	Ninigi-no-Mikoto	match (hop 5)
	Nomi no Sukune	Q965742	other	6000000012789324922	Nomi-no-sukune	match (hop 9)
	Ohfubutsu no Ōkimi	Q11493025	other			not found
	Ookuma no Hiro	Q135579424	other			not found
	Ookuma no Munetoshi	Q135579412	other			not found
	Ookuma no Sadakuni	Q135579419	other			not found
	Oshima no Kuni no Miyatsuko	Q135579363	other			not found
	Prince Oshisaka Hikohito no Ōe	Q11497661	other			not found
	Prince Shiki	Q11072254	other			not found
	Sakusa no Jisei	Q135579489	other			not found
	Sasaki Hideyoshi	Q7424985	other			not found
	Sasaki Tametoshi	Q11382323	other			not found
	Sasaki Tsunekata	Q11382364	other			not found
	Sasaki Yasukiyo	Q11382304	other			not found
	Sasaki Yoshikiyo	Q4806168	other			not found
	Sasaki no Moriyoshi	Q135579390	other			not found
	Sasaki no Yoshiaki	Q135579393	other			not found
	Shimazu no Kuni no Miyatsuko		other			not found
	Shioya no Tokimune	Q135579408	other			not found
	Takahama no Tomotaka	Q135579467	other			not found
	Takahama no Yoshitaka	Q135579460	other			not found
	Takao Takashige	Q48752911	other			not found
	Takaoka Muneyasu	Q6129881	other			not found
	Takaoka no Shigeyasu	Q135579463	other			not found
	Takebe no Omi	Q11486866	other			not found
	Toda Yoshiyasu	Q11457249	other			not found
	Toshio Hōga	Q11452691	other			not found
	Tsushima no Agata no Atai	Q119922998	other			not found
	Ugayafukiaezu		other	6000000001829628888	彦波瀲武盧茲草葺不合尊  no Mikoto	match (hop 7)
	Unagami no Isachi	Q11558664	other			not found
	Wakanuke no Futamata	Q13264213	other	6000000179131571831	Wakanuke  no Futamata	match (hop 17)
	Yakura no Motonori	Q135579507	other			not found
	Yamato Takeru	Q461258	other	6000000209931782848	Yamato Takeru	match (hop 15)
	Yoshida no Yoshide	Q135579401	other			not found
	sagamu no kuni no miyatsuko	Q11582190	other			not found
	takanokunimiyatsuko	Q11668988	other			not found
	Ōka kuni no atai	Q97706278	other			not found
	Ōtataneko		other			not found
