sv_title	qid	geni_id	tree_url
Israel Hwasser	Q5818420	6000000019777574162	https://www.geni.com/family-tree/index/6000000019777574162
Jakob Wilhelm Sprengtporten	Q6185927	6000000008649800582	https://www.geni.com/family-tree/index/6000000008649800582
Johan Adelswärd	Q5542622	6000000006127732217	https://www.geni.com/family-tree/index/6000000006127732217
Johan Anders Linder	Q5955392	6000000021334420003	https://www.geni.com/family-tree/index/6000000021334420003
Johan Brauner (1712–1773)	Q5585470	6000000009190508789	https://www.geni.com/family-tree/index/6000000009190508789
Johan Martin Reftelius	Q6066129	6000000026434836045	https://www.geni.com/family-tree/index/6000000026434836045
Johan Otto Nauckhoff	Q16649958	6000000013020967973	https://www.geni.com/family-tree/index/6000000013020967973
Johan von Hermansson	Q5802518	6000000006127557446	https://www.geni.com/family-tree/index/6000000006127557446
Jonas Carl Linnerhielm	Q5959480	6000000013173980231	https://www.geni.com/family-tree/index/6000000013173980231
Karl Sandels	Q6092396	6000000036292089942	https://www.geni.com/family-tree/index/6000000036292089942
Lars Benzelstierna (biskop)	Q5570931	6000000011593945394	https://www.geni.com/family-tree/index/6000000011593945394
Lars Georg Rabenius	Q6060350	6000000023896755915	https://www.geni.com/family-tree/index/6000000023896755915
Magnus Brahe (1790–1844)	Q5584506	6000000009718220062	https://www.geni.com/family-tree/index/6000000009718220062
Malla Silfverstolpe	Q546949	6000000009217333438	https://www.geni.com/family-tree/index/6000000009217333438
Margaretha Heijkenskjöld	Q4953277	6000000017986416972	https://www.geni.com/family-tree/index/6000000017986416972
Mathias Rosenblad	Q4569362	6000000006128111121	https://www.geni.com/family-tree/index/6000000006128111121
Matthias Asp	Q5561270	6000000006979041910	https://www.geni.com/family-tree/index/6000000006979041910
Matthias von Hermansson	Q5802535	6000000006128046380	https://www.geni.com/family-tree/index/6000000006128046380
Mikael von Törne (1726–1796)	Q16650516	6000000008605117809	https://www.geni.com/family-tree/index/6000000008605117809
Mikael von Törne (1775–1854)	Q16650517	6000000008605294394	https://www.geni.com/family-tree/index/6000000008605294394
Mårten Bunge (1764–1815)	Q16945169	6000000138783072822	https://www.geni.com/family-tree/index/6000000138783072822
Nils Abraham Bruncrona	Q16945159	6000000017424989989	https://www.geni.com/family-tree/index/6000000017424989989
Nils Gyldenstolpe (1799–1864)	Q5779125	6000000007464308710	https://www.geni.com/family-tree/index/6000000007464308710
Nils Nordenskiöld	Q593706	6000000000446956140	https://www.geni.com/family-tree/index/6000000000446956140
Nils Rosenblad (1749–1827)	Q6079648	6000000006127526943	https://www.geni.com/family-tree/index/6000000006127526943
Nils von Rosenstein	Q6080164	6000000009855557161	https://www.geni.com/family-tree/index/6000000009855557161
Olof Andersson Knös	Q4225027	6000000021500080690	https://www.geni.com/family-tree/index/6000000021500080690
Olof Broman	Q2021113	6000000078709755794	https://www.geni.com/family-tree/index/6000000078709755794
Olof Ingelsson Rabenius	Q6060365	6000000017425518359	https://www.geni.com/family-tree/index/6000000017425518359
Olof Pryss	Q6057321	6000000001208426544	https://www.geni.com/family-tree/index/6000000001208426544
Otto Reinhold Klingspor	Q5914181	6000000006127120304	https://www.geni.com/family-tree/index/6000000006127120304
Pehr Gustaf Svedelius	Q16650430	6000000014032409455	https://www.geni.com/family-tree/index/6000000014032409455
Pehr Kalling	Q5898100	6000000006127453696	https://www.geni.com/family-tree/index/6000000006127453696
Pehr Svedelius	Q16650429	6000000019327213179	https://www.geni.com/family-tree/index/6000000019327213179
Per Henrik Widmark	Q6240337	6000000009585266046	https://www.geni.com/family-tree/index/6000000009585266046
Peter Artedi	Q524071	6000000033257118889	https://www.geni.com/family-tree/index/6000000033257118889
Robert Henrik Rehbinder	Q2575818	6000000000909345046	https://www.geni.com/family-tree/index/6000000000909345046
Robert Magnus von Rosen	Q14554945	6000000050931739847	https://www.geni.com/family-tree/index/6000000050931739847
Roland Martin (jurist)	Q135513404	6000000026092005226	https://www.geni.com/family-tree/index/6000000026092005226
Samuel Gustaf Hermelin	Q3462736	6000000011700742344	https://www.geni.com/family-tree/index/6000000011700742344
Samuel af Ugglas	Q3946660	6000000013286633067	https://www.geni.com/family-tree/index/6000000013286633067
Sten Carl Bielke	Q362485	6000000008403251632	https://www.geni.com/family-tree/index/6000000008403251632
Ulrika Eleonora von Düben	Q4945294	6000000006329684570	https://www.geni.com/family-tree/index/6000000006329684570
Ulrika Strömfelt	Q4989818	6000000044151433054	https://www.geni.com/family-tree/index/6000000044151433054
Wilhelm Erik Svedelius	Q6197780	6000000019361833914	https://www.geni.com/family-tree/index/6000000019361833914
Wilhelm Hisinger	Q900478	6000000004138124294	https://www.geni.com/family-tree/index/6000000004138124294
Zacharias Hæggström	Q5819456	6000000078585591829	https://www.geni.com/family-tree/index/6000000078585591829
