person,geni_id,name,status,geni_url
Clara Amilia Hoknes,6000000006323365059,Cutha Cathwulf,held,https://www.geni.com/people/x/6000000006323365059
Clara Amilia Hoknes,6000000006727895068,Gwynhafar verch Clemen,held,https://www.geni.com/people/x/6000000006727895068
Clara Amilia Hoknes,6000000006906038788,Tora Drengjamor,absent,https://www.geni.com/people/x/6000000006906038788
Clara Amilia Hoknes,6000000006906122964,"Svanhild ""Gold-feather"" Dagsdóttir, {Hversum Noreg byggdist}",absent,https://www.geni.com/people/x/6000000006906122964
Clara Amilia Hoknes,6000000006906341870,Godhjalt Sæmingsson av Hålogaland,absent,https://www.geni.com/people/x/6000000006906341870
Clara Amilia Hoknes,6000000006906341951,"Sverdhjalt Godhjaltsson, of Hålogaland",absent,https://www.geni.com/people/x/6000000006906341951
Clara Amilia Hoknes,6000000006906358038,"Hodbrod Sverdhjaltsson, av Hålogaland",absent,https://www.geni.com/people/x/6000000006906358038
Clara Amilia Hoknes,6000000006906358050,nn wife of Hodbrod,absent,https://www.geni.com/people/x/6000000006906358050
Clara Amilia Hoknes,6000000006906358126,Himileig Hodbrodsson,absent,https://www.geni.com/people/x/6000000006906358126
Clara Amilia Hoknes,6000000006906358150,n n wife of Himileig,absent,https://www.geni.com/people/x/6000000006906358150
Clara Amilia Hoknes,6000000006906358240,"Vedrhall Himileigsson, av Hålogaland",absent,https://www.geni.com/people/x/6000000006906358240
Clara Amilia Hoknes,6000000006906358364,"Haavard - 'the Strong' / den handsterke Vedrhallsson, of Hålogaland, Norway",absent,https://www.geni.com/people/x/6000000006906358364
Clara Amilia Hoknes,6000000006906358387,NN wife of Haavard ukjent,absent,https://www.geni.com/people/x/6000000006906358387
Clara Amilia Hoknes,6000000006906358393,"King Alf ""Finnalf"" Raumsson",absent,https://www.geni.com/people/x/6000000006906358393
Clara Amilia Hoknes,6000000006906358557,"Godgest Haavardsson, King of Hålogaland, Norway",absent,https://www.geni.com/people/x/6000000006906358557
Clara Amilia Hoknes,6000000006906358676,NN vife of Heimgest Godgestsson,absent,https://www.geni.com/people/x/6000000006906358676
Clara Amilia Hoknes,6000000006906358909,Princess Eyfuru Svafrlamisdatter,absent,https://www.geni.com/people/x/6000000006906358909
Clara Amilia Hoknes,6000000006971626120,Storvirk,absent,https://www.geni.com/people/x/6000000006971626120
Clara Amilia Hoknes,6000000006971674088,N N mother of Starkad,absent,https://www.geni.com/people/x/6000000006971674088
Clara Amilia Hoknes,6000000006990590476,"Bældæg, king in Westphalia",held,https://www.geni.com/people/x/6000000006990590476
Clara Amilia Hoknes,6000000007329382852,Sea King Vifil,held,https://www.geni.com/people/x/6000000007329382852
Clara Amilia Hoknes,6000000007329382857,Eimyrja Logisdatter,held,https://www.geni.com/people/x/6000000007329382857
Clara Amilia Hoknes,6000000007329383086,Dana Danpsdatter,absent,https://www.geni.com/people/x/6000000007329383086
Clara Amilia Hoknes,6000000007347974421,"Sigrlami, King of Gardariki",absent,https://www.geni.com/people/x/6000000007347974421
Clara Amilia Hoknes,6000000008123783874,Elesa,held,https://www.geni.com/people/x/6000000008123783874
Clara Amilia Hoknes,6000000008177323005,"Bergdis Trymsdatter, til Alfheim",absent,https://www.geni.com/people/x/6000000008177323005
Clara Amilia Hoknes,6000000008248123866,"King Dag ""the Great"" Halvdansson",absent,https://www.geni.com/people/x/6000000008248123866
Clara Amilia Hoknes,6000000008248183477,Ama Ymirsdatter,absent,https://www.geni.com/people/x/6000000008248183477
Clara Amilia Hoknes,6000000008248206405,Kong Trym Jotun av Vârmland,absent,https://www.geni.com/people/x/6000000008248206405
Clara Amilia Hoknes,6000000008630666201,Niae Dunlaing mac Éndae Niae,absent,https://www.geni.com/people/x/6000000008630666201
Clara Amilia Hoknes,6000000008630666206,Éndae Niae mac Bressail Bélach,absent,https://www.geni.com/people/x/6000000008630666206
Clara Amilia Hoknes,6000000009305090835,"Leutfrid, duke of the Alemannians",held,https://www.geni.com/people/x/6000000009305090835
Clara Amilia Hoknes,6000000009317454738,"Wihtlaeg, King of the Angles in Germany",held,https://www.geni.com/people/x/6000000009317454738
Clara Amilia Hoknes,6000000009440111686,Fiachu MacCathaír Bélach,absent,https://www.geni.com/people/x/6000000009440111686
Clara Amilia Hoknes,6000000010571262869,Munia de Galicia,held,https://www.geni.com/people/x/6000000010571262869
Clara Amilia Hoknes,6000000010571345575,"Ferralando, Count of Galicia",held,https://www.geni.com/people/x/6000000010571345575
Clara Amilia Hoknes,6000000011158782423,"Clemen ap Bledrig, King of Dumnonia, England",held,https://www.geni.com/people/x/6000000011158782423
Clara Amilia Hoknes,6000000011830244763,NN Ulster,absent,https://www.geni.com/people/x/6000000011830244763
Clara Amilia Hoknes,6000000011830284701,NN Dál Fiatach,absent,https://www.geni.com/people/x/6000000011830284701
Clara Amilia Hoknes,6000000011830295477,NN Ulster,absent,https://www.geni.com/people/x/6000000011830295477
Clara Amilia Hoknes,6000000013143010817,Vladin Drvanić,absent,https://www.geni.com/people/x/6000000013143010817
Clara Amilia Hoknes,6000000013677915086,second wife of Visbur Vanlandeson,absent,https://www.geni.com/people/x/6000000013677915086
Clara Amilia Hoknes,6000000013991825894,Luz Vitulez De Cantabria,held,https://www.geni.com/people/x/6000000013991825894
Clara Amilia Hoknes,6000000014055774662,NN,absent,https://www.geni.com/people/x/6000000014055774662
Clara Amilia Hoknes,6000000014056180070,N.N.,absent,https://www.geni.com/people/x/6000000014056180070
Clara Amilia Hoknes,6000000014796143018,"king Logi Fornjotsson, of Hálogaland",held,https://www.geni.com/people/x/6000000014796143018
Clara Amilia Hoknes,6000000022190831813,Dronning av Varmland,absent,https://www.geni.com/people/x/6000000022190831813
Clara Amilia Hoknes,6000000023926421002,"Custennin ap Cadwy, High King Of Britain",held,https://www.geni.com/people/x/6000000023926421002
Clara Amilia Hoknes,6000000025527604698,NN NN,held,https://www.geni.com/people/x/6000000025527604698
Clara Amilia Hoknes,6000000025805309228,"Gudmund Gudmundsson Ulfhedin, af Glæsivollene",absent,https://www.geni.com/people/x/6000000025805309228
Clara Amilia Hoknes,6000000026122573687,"L'Archonte Dervain Drvanić, (Drvenar)",absent,https://www.geni.com/people/x/6000000026122573687
Clara Amilia Hoknes,6000000026123325932,Prince Dervan I Lusatic Serbs,absent,https://www.geni.com/people/x/6000000026123325932
Clara Amilia Hoknes,6000000026698760180,King Of Als Sigmundr,absent,https://www.geni.com/people/x/6000000026698760180
Clara Amilia Hoknes,6000000026979610847,Marianos Argyros,absent,https://www.geni.com/people/x/6000000026979610847
Clara Amilia Hoknes,6000000039571596217,Duke Vítulo of Cantabria,held,https://www.geni.com/people/x/6000000039571596217
Clara Amilia Hoknes,6000000042162462996,N.N. Hundingsdottir von Saksen,absent,https://www.geni.com/people/x/6000000042162462996
Clara Amilia Hoknes,6000000042162599932,König von Sachsen Hundingr,absent,https://www.geni.com/people/x/6000000042162599932
Clara Amilia Hoknes,6000000045210662979,Grím Jotne,absent,https://www.geni.com/people/x/6000000045210662979
Clara Amilia Hoknes,6000000045210778868,Queen Glöd Grimsdatter Grimsdatter,held,https://www.geni.com/people/x/6000000045210778868
Clara Amilia Hoknes,6000000045210889832,"Alvor, of Alfheim",absent,https://www.geni.com/people/x/6000000045210889832
Clara Amilia Hoknes,6000000049537463401,Gudmund,absent,https://www.geni.com/people/x/6000000049537463401
Clara Amilia Hoknes,6000000054349869839,? De Varmland,absent,https://www.geni.com/people/x/6000000054349869839
Clara Amilia Hoknes,6000000054350254834,Fordi Fridleifsdatter,absent,https://www.geni.com/people/x/6000000054350254834
Clara Amilia Hoknes,6000000059937585923,Arsson Valesdatter,absent,https://www.geni.com/people/x/6000000059937585923
Clara Amilia Hoknes,6000000081429991439,Mother of Agni's sons,absent,https://www.geni.com/people/x/6000000081429991439
Clara Amilia Hoknes,6000000109024116883,Eymund Ringsson,absent,https://www.geni.com/people/x/6000000109024116883
Clara Amilia Hoknes,6000000124612701822,NN wife of Sverdhjalt,absent,https://www.geni.com/people/x/6000000124612701822
Clara Amilia Hoknes,6000000124614089821,n n wife of Godhjalt Sæmingsson,absent,https://www.geni.com/people/x/6000000124614089821
Clara Amilia Hoknes,6000000173611846238,Glasvinta Ferrara,held,https://www.geni.com/people/x/6000000173611846238
Clara Amilia Hoknes,6000000173611856201,Flavia Juliana,absent,https://www.geni.com/people/x/6000000173611856201
Clara Amilia Hoknes,6000000173612107098,Trasamundo Frolilas Ferrandes,held,https://www.geni.com/people/x/6000000173612107098
Clara Amilia Hoknes,6000000173612392965,Teodrofredo Balthes,absent,https://www.geni.com/people/x/6000000173612392965
Clara Amilia Hoknes,6000000196282195908,"Hailaga Halfdansson, {Legendary}",absent,https://www.geni.com/people/x/6000000196282195908
Clara Amilia Hoknes,6000000202994658944,Brasila,absent,https://www.geni.com/people/x/6000000202994658944
Clara Amilia Hoknes,6000000202995657822,Evancio Chirino,absent,https://www.geni.com/people/x/6000000202995657822
Clara Amilia Hoknes,6000000203595483902,N.N. ferch Guitoli ab Urbgen,held,https://www.geni.com/people/x/6000000203595483902
Clara Amilia Hoknes,6000000208850051846,Maria De Cantabria,held,https://www.geni.com/people/x/6000000208850051846
Clara Amilia Hoknes,6000000217288613841,"Dag Dagling, ""o Grande""",absent,https://www.geni.com/people/x/6000000217288613841
Clara Amilia Hoknes,6000000217288758824,Þóra drengjamóður,absent,https://www.geni.com/people/x/6000000217288758824
Clara Amilia Hoknes,6000000218047461825,Woden,held,https://www.geni.com/people/x/6000000218047461825
Clara Amilia Hoknes,6000000227086455824,NN der Alemannen,held,https://www.geni.com/people/x/6000000227086455824
Randolph Paulus Borsheim,3138183,Domar Domaldeson av Ynglingene,absent,https://www.geni.com/people/x/3138183
Randolph Paulus Borsheim,3138252,"Svegdi Fjolnarson, King of Uppsala",absent,https://www.geni.com/people/x/3138252
Randolph Paulus Borsheim,3138260,"Fjolnir, King of Uppsala",absent,https://www.geni.com/people/x/3138260
Randolph Paulus Borsheim,5050635554390041613,Kung i Danpsted Rig Drott of Danpsted,absent,https://www.geni.com/people/x/5050635554390041613
Randolph Paulus Borsheim,5620659842590034492,Ottar in Egilsson,absent,https://www.geni.com/people/x/5620659842590034492
Randolph Paulus Borsheim,5620730465330062045,"King Aun ""The Aged"" Jörundsson, of Uppsala",absent,https://www.geni.com/people/x/5620730465330062045
Randolph Paulus Borsheim,5620764032290123026,King Jörund Yngvesson,absent,https://www.geni.com/people/x/5620764032290123026
Randolph Paulus Borsheim,5620778200760077477,Yngve Alreksson av Sveariket,absent,https://www.geni.com/people/x/5620778200760077477
Randolph Paulus Borsheim,5620814643950034262,"Alrek Agnasson, king of Sweden",absent,https://www.geni.com/people/x/5620814643950034262
Randolph Paulus Borsheim,5621360343390114039,"Agni ""the Powerful"" Dagsson, King in Sweden",absent,https://www.geni.com/people/x/5621360343390114039
Randolph Paulus Borsheim,5621423870110100976,"Dag ""the Wise"", King of Uppsala",absent,https://www.geni.com/people/x/5621423870110100976
Randolph Paulus Borsheim,5621487493390051701,Queen Drott Danpsdatter of Uppsala,absent,https://www.geni.com/people/x/5621487493390051701
Randolph Paulus Borsheim,5621895665330114523,"Domaldi Visbursson, King in Uppsala",absent,https://www.geni.com/people/x/5621895665330114523
Randolph Paulus Borsheim,5622011640720034761,"Vanlandi, King of Uppsala",absent,https://www.geni.com/people/x/5622011640720034761
Randolph Paulus Borsheim,5622011688610034767,Driva Snaersdotter Snødatter,absent,https://www.geni.com/people/x/5622011688610034767
Randolph Paulus Borsheim,5624606243540035685,"Queen of Saxland Ulla Sigmundrsdotter, {Legendary}",absent,https://www.geni.com/people/x/5624606243540035685
Randolph Paulus Borsheim,5625229909380062806,"Koning Hreithgotaland Heidrek Hofundsson, King in Reidgotaland, Norway",absent,https://www.geni.com/people/x/5625229909380062806
Randolph Paulus Borsheim,5625264223350021109,"Frilla Hervor ""Hjørvard"" Angantyrsdotter",absent,https://www.geni.com/people/x/5625264223350021109
Randolph Paulus Borsheim,5625264248090021115,"Höfund Gudmundsson, king in Glaesivollum",absent,https://www.geni.com/people/x/5625264248090021115
Randolph Paulus Borsheim,5625289620290113243,Angantyr the Berserker,absent,https://www.geni.com/people/x/5625289620290113243
Randolph Paulus Borsheim,5625693347300080816,"Svafrlami Sigrlamasson, King of Gardariki, Russia",absent,https://www.geni.com/people/x/5625693347300080816
Randolph Paulus Borsheim,5625693387980080822,Frid,absent,https://www.geni.com/people/x/5625693387980080822
Randolph Paulus Borsheim,6000000000115617983,N.N.,absent,https://www.geni.com/people/x/6000000000115617983
Randolph Paulus Borsheim,6000000000183188387,(No Name),held,https://www.geni.com/people/x/6000000000183188387
Randolph Paulus Borsheim,6000000000314930135,"Heid Gylfesdotter, Queen of Gardarriket",absent,https://www.geni.com/people/x/6000000000314930135
Randolph Paulus Borsheim,6000000000314930151,Gylfi (Gylve) King of Sweden,absent,https://www.geni.com/people/x/6000000000314930151
Randolph Paulus Borsheim,6000000000314930399,Weaga,held,https://www.geni.com/people/x/6000000000314930399
Randolph Paulus Borsheim,6000000000437546093,"Coenwalh, King of Wessex",held,https://www.geni.com/people/x/6000000000437546093
Randolph Paulus Borsheim,6000000000452686437,Freawine,held,https://www.geni.com/people/x/6000000000452686437
Randolph Paulus Borsheim,6000000000462674113,"Nauma, Queen of Haalogaland",absent,https://www.geni.com/people/x/6000000000462674113
Randolph Paulus Borsheim,6000000001074275300,Wigg,held,https://www.geni.com/people/x/6000000001074275300
Randolph Paulus Borsheim,6000000001257444591,"Ceawlin, King of Wessex",held,https://www.geni.com/people/x/6000000001257444591
Randolph Paulus Borsheim,6000000001351755864,Bressal Belach mac Fiachu,absent,https://www.geni.com/people/x/6000000001351755864
Randolph Paulus Borsheim,6000000001452856681,Cormac mac Ailella Ó'Dúnlainge,absent,https://www.geni.com/people/x/6000000001452856681
Randolph Paulus Borsheim,6000000001452856689,Ailill mac Dunlainge,absent,https://www.geni.com/people/x/6000000001452856689
Randolph Paulus Borsheim,6000000001510650092,Weothulgeot,held,https://www.geni.com/people/x/6000000001510650092
Randolph Paulus Borsheim,6000000001588414303,"Harald Reidgotaland, King of Reidgotaland",absent,https://www.geni.com/people/x/6000000001588414303
Randolph Paulus Borsheim,6000000001712703292,King in Denmark Danp Rigsson,absent,https://www.geni.com/people/x/6000000001712703292
Randolph Paulus Borsheim,6000000002122855531,"Wermund, King of the Angles in Germany",held,https://www.geni.com/people/x/6000000002122855531
Randolph Paulus Borsheim,6000000002123050763,Ēomǣr,held,https://www.geni.com/people/x/6000000002123050763
Randolph Paulus Borsheim,6000000002123075677,Thrytho,held,https://www.geni.com/people/x/6000000002123075677
Randolph Paulus Borsheim,6000000002123129520,Angeltheow,held,https://www.geni.com/people/x/6000000002123129520
Randolph Paulus Borsheim,6000000002142178772,Ceolweald,held,https://www.geni.com/people/x/6000000002142178772
Randolph Paulus Borsheim,6000000002142188519,"Crioda, King of West Saxons",held,https://www.geni.com/people/x/6000000002142188519
Randolph Paulus Borsheim,6000000002142247689,"Cerdic, king of the West Saxons",held,https://www.geni.com/people/x/6000000002142247689
Randolph Paulus Borsheim,6000000002142248176,Cuthwine,held,https://www.geni.com/people/x/6000000002142248176
Randolph Paulus Borsheim,6000000002172915806,"Vana, Queen of Uppsala",absent,https://www.geni.com/people/x/6000000002172915806
Randolph Paulus Borsheim,6000000002188062164,N.N.,absent,https://www.geni.com/people/x/6000000002188062164
Randolph Paulus Borsheim,6000000002188140029,NN NN,absent,https://www.geni.com/people/x/6000000002188140029
Randolph Paulus Borsheim,6000000002188140044,NN NN,absent,https://www.geni.com/people/x/6000000002188140044
Randolph Paulus Borsheim,6000000002290445635,"Offa - 'the Gentle', King of the Angles in Germany",held,https://www.geni.com/people/x/6000000002290445635
Randolph Paulus Borsheim,6000000002290827232,Cynewald,held,https://www.geni.com/people/x/6000000002290827232
Randolph Paulus Borsheim,6000000002290827454,"Pybba, king of Mercia",held,https://www.geni.com/people/x/6000000002290827454
Randolph Paulus Borsheim,6000000002290867232,Icel,held,https://www.geni.com/people/x/6000000002290867232
Randolph Paulus Borsheim,6000000002290874853,"Creoda, king of Mercia",held,https://www.geni.com/people/x/6000000002290874853
Randolph Paulus Borsheim,6000000002290907506,Cnebba,held,https://www.geni.com/people/x/6000000002290907506
Randolph Paulus Borsheim,6000000003051138960,Bjartmar van Adeigjuborg,absent,https://www.geni.com/people/x/6000000003051138960
Randolph Paulus Borsheim,6000000003086822906,nn wife of Gyllaug Gudleiksson,held,https://www.geni.com/people/x/6000000003086822906
Randolph Paulus Borsheim,6000000003086828004,N.N. wife of Vedrhall,absent,https://www.geni.com/people/x/6000000003086828004
