token	ja	ja_count	zh	zh_count
Abrial	アブリアル	2		0
Abrikosov	アブリコソフ	3		0
Abril		0	阿布里尔	2
Absalon	アブサロン	2	阿布薩隆	2
Abse	アブセ	2		0
Absolon	アブソロン	2		0
Abu	アブー	12	阿布	8
Abubakar		0	阿布巴卡尔	2
Abujamra		0	阿贾姆罗拉	2
Abul	アブル	2		0
Acastus		0	阿卡斯图斯	2
Acciaioli		0	阿恰约利	2
Acciaiuoli		0	阿恰约利	2
Ace	エース	3	艾斯	2
Acevedo	アセベド	4	阿塞维多	3
Achaemenes	アケメネス	2		0
Achaeus		0	阿凯夫斯	2
Acheson	アチソン	4	艾奇逊	4
Achille	アシル	7	阿希尔	7
Achilles	アキレス	2	阿基里斯	3
Achim	アヒム	2		0
Achmed		0	阿基米德	2
Achté	アクテ	2		0
Acke	アッケ	2		0
Acker	アッカー	2		0
Ackerley		0	阿克利	2
Ackerman	アッカーマン	4		0
Ackermann	アッカーマン	4	阿克曼	5
Acking		0	阿金	2
Ackles	アクレス	2	阿克斯	2
Acland	アクランド	15	阿克兰	7
Acmon	アクモン	3		0
Acosta	アコスタ	11	阿科斯塔	8
Acquaviva	アクアヴィーヴァ	2		0
Acton	アクトン	3	阿克顿	3
Acuña		0	阿库纳	2
Ad	アド	3	亞德	2
Ada	エイダ	9	艾达	5
Adachi		0	足立	2
Adah	アダ	2		0
Adair	アデア	8	阿代尔	3
Adalbert	アーダルベルト	10		0
Adalberto	アダルベルト	2	阿达尔贝托	2
Adam	アダム	135	亚当	59
Adama	アダマ	2		0
Adami		0	阿达米	2
Adamo	アダモ	2		0
Adamos		0	阿达莫斯	2
Adamovská		0	阿达莫夫斯卡	2
Adams	アダムズ	52	亚当斯	45
Adamski	アダムスキー	2	亚当斯基	2
Adamson	アダムソン	4	亚当森	3
Adan	アダン	2		0
Adani	アダニ	2		0
Aday	アデイ	2		0
Addams	アダムズ	3	亚当斯	3
Addi	アッディ	2		0
Addington	アディントン	5		0
Addison	アディソン	13	艾迪生	5
Addy	アディ	2	阿迪	3
Ade	アデ	4	阿德	3
Adeane	アディーン	13		0
Adebiyi		0	阿德比伊	2
Adebowale		0	阿德博瓦莱	2
Adela	アデラ	5		0
Adelaide	アデレイド	6	阿德莱德	5
Adelbert	アデルバート	5		0
Adele	アデル	9	阿黛尔	5
Adelgunde	アーデルグンデ	2		0
Adelheid	アーデルハイト	6		0
Adelina	アデリーナ	2	阿德利娜	2
Adeline	アデリン	2	阿德琳	2
Adelino	アデリーノ	2		0
Adelson	アデルソン	5		0
Adelswärd	アデルスヴァルト	10	阿德尔斯瓦德	12
Aden	アデン	3	阿登	2
Adenauer	アデナウアー	3		0
Adeoye		0	阿德奥耶	2
Adewale	アドウェール	2		0
Adeyemi		0	阿德耶米	2
Adgate	アドゲイト	2		0
Adham	アドハム	2	阿德姆	2
Adhanom		0	阿德诺姆	2
Adhemar		0	阿德马尔	2
Adi	アディ	3	阿迪	4
Adil	アーディル	3	阿迪尔	3
Adila	アディラ	2		0
Aditya		0	阿迪亚	2
Adkins	アドキンズ	2	阿德金斯	3
Adlai	アドレー	2		0
Adler	アドラー	35	阿德勒	21
Adlercreutz	アドラークロイツ	4	阿德勒克罗伊茨	5
Adlersparre	アドレルスパッレ	2		0
Adlon	アドロン	3	阿德隆	4
Admiral	アドミラル	2		0
Adna	アドナ	2		0
Adnan	アドナン	4	阿德南	9
Ado	アド	2	阿多	3
Adolf	アドルフ	112	阿道夫	68
Adolfo	アドルフォ	13	阿道弗	9
Adolph	アドルフ	31	阿道夫	21
Adolphe	アドルフ	23	阿道夫	18
Adolpho	アドルフォ	3		0
Adolphson	アドルフソン	2	阿道弗森	6
Adolphus	アドルファス	9		0
Adone	アドネ	2		0
Adoniram	アドニラム	6		0
Adonis	アドニス	2	阿多尼斯	6
Ador		0	阿多尔	2
Adorján		0	阿多詹	2
Adorni	アドルニ	2		0
Adorno		0	阿多诺	2
Adosinda	アドシンダ	2		0
Adriaan	アドリアーン	7	阿德里安	5
Adriaen	アドリアーン	4	阿德里安	3
Adrian	エイドリアン	25	阿德里安	18
Adriana	アドリアーナ	6	阿德里安娜	4
Adriane	アドリアーネ	2	阿德莉安妮	2
Adrianne	アドリアンヌ	2	阿德里安娜	2
Adriano	アドリアーノ	11	阿德里亚诺	6
Adrianus	アドリアヌス	3	阿德里安努斯	2
Adrie		0	阿德里	2
Adrien	アドリアン	8	阿德里安	10
Adrienne	エイドリアン	7	阿德里安娜	3
Adrià	アドリア	2	阿德里亚	2
Adrián		0	阿德里安	5
Adriënne		0	阿德里安娜	2
Adulyadej		0	阿杜德	2
Adyan		0	埃迪扬	2
Adámek	アダーメク	2		0
Adán	アダン	2	阿丹	2
Adèle	アデル	5	阿代勒	2
Adéla	アデーラ	3		0
Adélard	アデラード	2		0
Adélaïde	アデライード	5		0
Aelia	アエリア	3		0
Aelius		0	艾利乌斯	2
Aemilia	アエミリア	3	艾米利亚	2
Aemilianus	アエミリアヌス	2		0
Aemilius	アエミリウス	11	埃米利乌斯	6
Aethra	アイトラー	2		0
Afa	アファ	2		0
Afanasy	アファナシー	4		0
Afet	アフェト	2	阿费特	2
Affleck	アフレック	5	阿弗莱克	5
Afolabi		0	阿弗拉比	2
Afonso	アフォンソ	9	阿方索	6
Africanus	アフリカヌス	3		0
Afzelius	アフセリウス	2	阿夫塞柳斯	2
Aga	アガ	2		0
Agafiya	アガーフィヤ	2		0
Agafya	アガフィヤ	2		0
Agalarov	アガラロフ	2	阿加拉罗夫	2
Agamben	アガンベン	2		0
Agamemnon		0	阿伽门农	3
Agar	エイガー	5		0
Agardh	アガード	2	阿加德	2
Agashe	アガシェ	2		0
Agassi	アガシ	2		0
Agassiz	アガシー	2	阿加西	2
Agata	アガタ	2	阿加塔	3
Agatha	アガサ	3		0
Agathe	アガーテ	2	阿加特	6
Agda	アグダ	2		0
Age	エイジ	3		0
Agenor	アゲノル	2		0
Ager	エイジャー	2		0
Agger		0	阿格	2
Aglaé	アグラエ	4		0
Agne		0	昂内	2
Agnelli	アニェッリ	12	阿涅利	9
Agnello	アニェッロ	2		0
Agnes	アグネス	76	艾格尼丝	3
Agnessa	アグネッサ	2		0
Agneta	アグニェータ	2	阿格妮塔	2
Agnetha	アグネッタ	2		0
Agnew	アグニュー	14	阿格纽	4
Agni	アグニ	3		0
Agnieszka	アグニェシュカ	2		0
Agnès	アニエス	4	阿涅丝	4
Agosti	アゴスティ	2		0
Agostinho	アゴスティーニョ	2		0
Agostini	アゴスティーニ	5	阿戈斯蒂尼	2
Agostino	アゴスティーノ	14	阿戈斯蒂诺	5
Agranovich		0	阿格拉诺维奇	2
Agricola	アグリコラ	6	阿格里科拉	3
Agrippa	アグリッパ	4	阿格里帕	2
Agrippina	アグリッピーナ	2		0
Agron	アグロン	2		0
Agronsky		0	阿格龙斯基	2
Aguado		0	阿瓜多	4
Agudo	アグード	2		0
Aguilar	アギラール	5	阿吉拉尔	5
Aguilera	アギレラ	4	阿奎莱拉	2
Aguinaldo	アギナルド	2		0
Aguirre	アギーレ	4	阿吉雷	3
Agus		0	阿古斯	2
Agusta		0	阿古斯塔	2
Agustin	アガスティン	2	奥古斯丁	2
Agustín	アグスティン	13	阿古斯丁	9
Agyeman		0	阿杰曼	2
Agáta		0	阿加莎	2
Agénor	アジェノール	3		0
Agüero	アグエロ	2		0
Aha		0	阿哈	2
Aharon	アーロン	2	阿哈龙	4
Ahaziah	アハズヤ	2	亚哈谢	2
Ahenobarbus	アヘノバルブス	8	阿赫諾巴爾比	5
Ahern	アハーン	2		0
Ahinoam		0	亚希暖	2
Ahl		0	阿尔	2
Ahlefeldt		0	阿勒费尔特	2
Ahlin		0	阿林	2
Ahlsell	アールセル	3	阿尔塞尔	4
Ahmad	アフマド	18	艾哈迈德	12
Ahmed	アフメト	5	艾哈迈德	8
Ahmet	アフメト	5	艾哈迈德	6
Ahmose	イアフメス	5	雅赫摩斯	11
Ahn	アン	2		0
Aho	アホ	4	阿霍	4
Ahrens		0	阿伦斯	2
Ahti	アハティ	3	阿赫蒂	4
Ahtisaari	アハティサーリ	2	阿赫蒂萨里	2
Ai	艾	2	艾	2
Aichinger	アイヒンガー	2		0
Aida	アイーダ	2	艾达	2
Aidan	エイダン	2	艾丹	2
Aiden		0	艾登	2
Aignan		0	艾尼昂	2
Aikawa		0	相川	2
Aiken	エイケン	8	艾肯	8
Aikin	エイキン	5		0
Aikman	エイクマン	2	艾克曼	3
Aileen	アイリーン	3	艾琳	2
Ailes		0	艾尔斯	2
Aili	アイリ	2		0
Aillaud		0	阿约	2
Aiman		0	艾曼	2
Aimar		0	艾马尔	2
Aimee	エイミー	6	艾美	2
Aimo	アイモ	4	艾莫	3
Aimé	エメ	6	艾梅	2
Aimée		0	艾梅	3
Aina	アイナ	2		0
Aini	アイニ	2		0
Aino	アイノ	10	爱诺	5
Ainsley	エインズリー	3		0
Ainslie	エインズリー	4		0
Ainsworth	エインズワース	3		0
Air		0	艾尔	3
Aira	アイラ	2	艾拉	2
Airey	エアリー	2		0
Airton		0	艾尔顿	2
Airy	エアリー	2		0
Aisha	アイシャ	4	艾莎	3
Aishwarya		0	艾西瓦娅	2
Aislabie	エイズラビー	4	艾斯拉比	2
Aitchison	エイチソン	3		0
Aitken	エイトケン	10	艾特肯	3
Aiton	エイトン	2		0
Ajay	アジャイ	2	阿杰	2
Ajda	アジダ	2		0
Ajemian	アジェミアン	2		0
Ajmal		0	阿杰马尔	2
Akan	アカン	2		0
Akande		0	阿坎德	2
Akane	あかね	2		0
Akay		0	阿凯	2
Akayev		0	阿卡耶夫	2
Akbar	アクバル	4	阿克巴	2
Akers	エイカーズ	3		0
Akhtar	アクタル	4	阿赫塔尔	3
Aki	アキ	2	阿基	3
Akiba	アキバ	2		0
Akin		0	阿金	2
Akins	エイキンズ	3	阿金斯	2
Akira		0	Akira	2
Akis	アキス	2	阿基斯	2
Akisada	あきさだ	2	Akisada	2
Akiyama		0	秋山	2
Akmal	アクマル	2	阿克马尔	2
Akram	アクラム	2	阿克拉姆	2
Aksakov	アクサーコフ	4	阿克萨科夫	2
Aksel	アクセル	7	阿克塞尔	8
Akseli	アクセリ	2		0
Akshay	アクシャイ	2		0
Aksyonov	アクショーノフ	2		0
Aku	アク	2	阿库	3
Akın		0	阿金	2
Al	アル	87	阿尔	28
Ala	アラ	4	阿剌	2
Alaa	アラー	2	阿拉	2
Aladin	アラディン	2		0
Aladino	アラディーノ	2		0
Alaia	アライア	2		0
Alain	アラン	30	阿兰	22
Alam		0	阿拉姆	2
Alamanno	アラマンノ	3		0
Alan	アラン	111	艾伦	44
Alana	アラナ	5		0
Aland	アーラント	3		0
Alandia		0	阿兰迪亚	2
Alanen		0	阿拉宁	2
Alanis	アラニス	3		0
Alanko		0	阿兰科	2
Alanna	アラナ	2	阿兰娜	2
Alannah	アランナ	2		0
Alanson	アランソン	3		0
Alaric	アラリック	2		0
Alastair	アラステア	6	阿拉斯泰尔	5
Alaster	アラスター	2		0
Alba	アルバ	12	阿尔巴	5
Albach	アルバッハ	2		0
Alban	アルバン	4	阿尔班	3
Albana	アルバナ	2		0
Albanel		0	阿尔巴内尔	2
Albanese	アルバネーゼ	4	阿尔巴尼斯	3
Albani	アルバーニ	4	阿爾巴尼	3
Albano	アルバーノ	3		0
Albar	アルバール	2	阿尔巴	2
Albarn	アルバーン	2		0
Albayrak	アルバイラク	2		0
Albedyll	アルベディル	2		0
Albee		0	阿尔比	2
Alben	アルバン	2		0
Albergaria		0	阿尔贝加里亚	2
Alberico	アルベリコ	2		0
Albers	アルバース	3		0
Albert	アルバート	128	阿尔伯特	46
Alberta	アルバータ	2		0
Albertas	アルベルタス	2		0
Alberti	アルベルティ	4	阿尔贝蒂	2
Albertina	アルベルティーナ	2		0
Albertine	アルベルティーネ	2		0
Albertino		0	阿尔贝蒂诺	2
Alberto	アルベルト	58	阿尔贝托	32
Albertson	アルバートソン	3	艾伯森	3
Albertus	アルベルトゥス	4	阿尔贝图斯	3
Albery	アルバリー	11		0
Albicocco	アルビコッコ	2		0
Albin	アルビン	6	阿尔宾	5
Albina	アルビナ	3		0
Albini	アルビニ	2	阿尔比尼	2
Albinia	アルビニア	2		0
Albino	アルビーノ	3	阿尔比诺	2
Albinus	アルビヌス	6		0
Albio	アルビオ	2		0
Albion	アルビオン	4	阿尔比恩	2
Albizzi	アルビッツィ	2		0
Albrecht	アルブレヒト	51	阿尔布雷希特	16
Albright	アルブライト	5	奥尔布赖特	2
Albro	アルブロー	3		0
Albrycht		0	阿尔布赖希特	2
Albu		0	阿尔布	2
Albuquerque	アルブケルケ	3	阿爾伯克基	2
Alcalá	アルカラ	3	阿尔卡拉	2
Alcaraz	アルカラス	2		0
Alchevska	アルチェフスカ	2		0
Alchevsky	アルチェフスキー	2		0
Alcibiades	アルキビアデス	2		0
Alcmaeon		0	阿尔克迈翁	2
Alcock	オルコック	7		0
Alcott	オルコット	5	奥尔科特	3
Alcántara	アルカンタラ	3		0
Alda	アルダ	6	阿尔达	2
Alden	オールデン	11	奥尔登	5
Alder	アルダー	2		0
Alderson	オルダーソン	10		0
Aldo	アルド	24	阿尔多	13
Aldobrandini	アルドブランディーニ	3	阿尔多布兰迪尼	2
Aldous	オルダス	3	奥尔德斯	2
Aldrich	アルドリッチ	6	奥尔德里奇	4
Aldridge	オルドリッジ	7	奥尔德里奇	3
Aldworth	アルドワース	5		0
Aleardi	アレアルディ	2		0
Aleardo	アレアルド	3	阿利尔多	3
Alec	アレック	11	亚历克	6
Alechine		0	阿莱钦	2
Alecu		0	阿莱库	2
Alegría		0	阿莱格里亚	2
Aleida	アレイダ	2	阿莱达	2
Alejandra	アレハンドラ	2	亚历杭德拉	2
Alejandrina		0	亚历杭德里娜	2
Alejandro	アレハンドロ	22	亚历杭德罗	20
Alejo	アレホ	2	阿莱霍	2
Aleks		0	阿莱克斯	2
Aleksandar	アレクサンダル	2	亚历山大	3
Aleksander	アレクサンデル	27	亚历山大	22
Aleksandr	アレクサンドル	44	亚历山大	21
Aleksandra	アレクサンドラ	12	亚历山德拉	8
Aleksandras	アレクサンドラス	2		0
Aleksandrovich	アレクサンドロヴィチ	8	亚历山德罗维奇	7
Aleksanteri		0	亚历山泰里	3
Aleksei	アレクセイ	8	阿列克谢	4
Aleksej	アレクセイ	3	阿列克谢	2
Aleksey	アレクセイ	18	阿列克谢	5
Alekseyev		0	阿列克谢耶夫	2
Alekseyevich		0	阿列克谢耶维奇	2
Aleksis	アレクシス	2		0
Alemán		0	阿莱曼	2
Alen	アレン	5		0
Alena	アレナ	3	阿莱纳	2
Alencar	アレンカル	3		0
Alene	アリーン	2		0
Aleramo	アレラーモ	3		0
Ales	アレス	2		0
Alesia	アレシア	2		0
Alessandra	アレッサンドラ	9	亚历山德拉	5
Alessandri	アレッサンドリ	6	亞歷山德里	2
Alessandrin		0	亚历山德林	2
Alessandrini	アレッサンドリーニ	2	亚历山德里尼	2
Alessandro	アレッサンドロ	43	亚历山德罗	21
Alessia	アレッシア	3	阿莱西亚	4
Alessio	アレッシオ	5	阿莱西奥	4
Aletta	アレッタ	2	阿莱塔	2
Alex	アレックス	48	亚历克斯	21
Alexa	アレクサ	4		0
Alexander	アレクサンダー	245	亚历山大	218
Alexandr	アレクサンドル	2	亚历山大	2
Alexandra	アレクサンドラ	37	亚历山德拉	24
Alexandre	アレクサンドル	39	亚历山大	31
Alexandria	アレクサンドリア	3	亚历山德里亚	2
Alexandrine	アレクサンドリーヌ	3		0
Alexandros	アレクサンドロス	6	亚历山德罗斯	5
Alexandrovich	アレクサンドロヴィチ	4		0
Alexandru	アレクサンドル	6	亚历山德鲁	4
Alexei	アレクセイ	17	阿列克谢	6
Alexey	アレクセイ	13	阿列克谢	6
Alexeyevich		0	阿列克谢耶维奇	3
Alexia	アレクシア	2	亚历克西娅	3
Alexie		0	亚历克西/阿列克谢	2
Alexios	アレクシオス	9	阿莱克修斯	12
Alexis	アレクシス	14	亚历克西斯	6
Aleš	アレシュ	3		0
Alf	アルフ	6	阿尔夫	7
Alfano	アルファノ	2		0
Alfaro	アルファロ	5	阿尔法罗	4
Alfeo	アルフェオ	2		0
Alfi	アルフィ	2		0
Alfie	アルフィー	2		0
Alfieri	アルフィエリ	3	阿尔菲耶里	2
Alfons	アルフォンス	8		0
Alfonso	アルフォンソ	18	阿方索	15
Alford	アルフォード	3	奥尔福德	3
Alfred	アルフレッド	154	阿尔弗雷德	99
Alfredo	アルフレード	17	阿尔弗雷多	19
Alfredson	アルフレッドソン	3	阿尔弗雷德森	4
Alfvén	アルヴェーン	3		0
Alger	アルジャー	4		0
Algernon	アルジャーノン	16	阿爾傑農	4
Algirdas	アルギルダス	3	阿尔吉尔达斯	2
Ali	アリー	39	阿里	38
Alia	アーリヤー	2		0
Alice	アリス	123	爱丽丝	17
Alicia	アリシア	23	艾丽西亚	6
Alick	アリック	4		0
Alida	アリーダ	2		0
Aliev	アリエフ	2	阿利耶夫	3
Alieva	アリエヴァ	2	阿利耶娃	3
Alighieri		0	阿利吉耶里	3
Alighiero	アリギエーロ	3		0
Aliki		0	阿利基	2
Alimi		0	阿利米	3
Alimov		0	阿利莫夫	2
Alin		0	阿林	2
Alina	アリナ	5	阿林娜	6
Aline	アリーヌ	3	艾琳	2
Alington	アリントン	6		0
Aliona		0	阿廖娜	2
Alisa	アリーサ	2	阿利萨	3
Alison	アリソン	17	艾莉森	8
Alissa	アリッサ	2		0
Alistair	アリスター	5	阿利斯泰尔	4
Alix	アリックス	6	阿利克斯	2
Aliya	アリヤ	3	阿莉娅	3
Aliyev	アリエフ	4	阿利耶夫	3
Alka	アルカ	2		0
Alkan	アルカン	4		0
Alke	アルケ	2		0
Alkio	アルキオ	2		0
Alkmin	アルクミン	2		0
Alksnis	アルクスニス	3		0
Alla	アラ	3	阿拉	8
Allabert		0	阿拉伯特	2
Allah		0	阿拉	4
Allamand	アラマンド	2		0
Allan	アラン	39	艾倫	13
Allard	アラード	3	阿拉德	5
Allasio		0	阿拉西奥	3
Allbritton	オルブリットン	2		0
Allee	アリー	2	阿利	2
Allegra	アレグラ	2	阿莱格拉	4
Allen	アレン	109	艾伦	37
Allenby	アレンビー	4		0
Allende	アジェンデ	3	阿连德	3
Allerton		0	阿勒顿	3
Alley		0	艾黎	2
Alleyn		0	阿連	2
Alleyne	アレイン	3	阿莱恩	2
Alli	アッリ	3		0
Allik	アッリク	2		0
Alliluyev	アリルーエフ	3		0
Alliluyeva	アリルーエワ	2	阿利卢耶娃	2
Allingham	アリンガム	4	阿林厄姆	2
Allison	アリソン	23	艾莉森	4
Allister	アリスター	3		0
Allman	オールマン	8	奧爾曼	2
Allport	オールポート	2		0
Allred	オールレッド	3		0
Allsopp	オールソップ	2		0
Allston	オールストン	2	奥尔斯顿	2
Allsup	オルサップ	2		0
Allu	アッル	5	阿鲁	2
Ally	アリー	4	阿利	2
Allyn	アリン	7	奥琳	2
Allyson	アリソン	2		0
Allégret	アレグレ	3	阿莱格雷	2
Alma	アルマ	14	阿尔玛	11
Almaas		0	阿尔马斯	2
Almeida	アルメイダ	9	阿尔梅达	10
Almina	アルミナ	2		0
Almirante	アルミランテ	2	阿尔米兰特	5
Almond	アーモンド	3	阿尔蒙德	2
Almudena	アルムデナ	3		0
Almásy	アルマシー	2		0
Alnæs	アルネス	2		0
Alo		0	阿洛	2
Aloeus	アローエウス	2		0
Alois	アロイス	14	阿洛伊斯	7
Aloisia	アロイジア	2		0
Aloisio	アロイージオ	2		0
Alon	アロン	2	阿龙	2
Alonso	アロンソ	12	阿隆索	16
Alonzo	アロンゾ	6	阿朗佐	2
Aloys	アロイス	5	阿洛伊斯	2
Aloysius	アロイシウス	2		0
Alp		0	阿爾普	3
Alpatov	アルパトフ	2		0
Alper		0	阿尔珀	2
Alpert	アルパート	2		0
Alperten	アルペルテン	2		0
Alpha	アルファ	2	阿尔法	2
Alpheus	アルフィアス	4	阿尔菲厄斯	2
Alphonse	アルフォンス	13	阿方斯	9
Alphonso	アルフォンソ	4	阿方索	2
Alphonzo	アルフォンソ	2		0
Alpo	アルポ	3		0
Alsop	アルソップ	2	艾尔索普	2
Alston	アルストン	4	阿尔斯顿	2
Alströmer	アルストレーマー	3		0
Alt	アルト	3		0
Altagracia		0	阿尔塔格蕾霞	2
Altamirano		0	阿尔塔米拉诺	3
Altan	アルタン	2	阿尔坦	3
Altaras	アルタラス	2	阿尔塔拉斯	5
Altenburg	アルテンブルク	12		0
Alter	オルター	2	奥尔特	2
Alterman	アルテルマン	2		0
Althann	アルトハン	2		0
Altman	アルトマン	4	奥尔特曼	2
Altmann	アルトマン	2		0
Altoviti	アルトヴィーティ	2		0
Altschul		0	阿尔茨契尔	3
Altuğ		0	阿尔图格	2
Alured		0	阿留雷德	2
Alva	アルヴァ	4	阿尔瓦	2
Alvah	アルヴァー	2		0
Alvan	アルヴァン	4	阿尔万	2
Alvar	アルヴァル	3	阿尔瓦尔	2
Alvara	アルヴァラ	3		0
Alvarado	アルバラード	3	阿尔瓦拉多	3
Alvarez	アルヴァレズ	2		0
Alvaro	アルヴァロ	3	阿尔瓦罗	3
Alvear	アルベアール	2		0
Alves	アルベス	2	阿尔维斯	7
Alvin	アルヴィン	4	阿尔文	6
Alvis		0	阿尔维斯	2
Alvise	アルヴィーゼ	3		0
Alwin	アルヴィン	3		0
Alwyn	アルウィン	2	阿尔文	2
Aly	アリー	2		0
Alyn	アリン	4	艾琳	2
Alys	アリス	2		0
Alyson	アリソン	3		0
Alyssa	アリッサ	3		0
Alzheimer		0	阿尔茨海默	2
Alžběta	アルシュビエタ	2		0
Amadeo	アマデオ	4	阿马德奥	2
Amadeus	アマデウス	6		0
Amadio	アマディオ	2		0
Amado	アマド	2		0
Amador	アマドール	2	阿马多尔	2
Amadé		0	阿玛德	2
Amal	アマル	3		0
Amaldi	アマルディ	2		0
Amalia	アマリア	4	阿马利娅	2
Amalie	アマーリエ	11	阿马莉	2
Aman	アマン	4		0
Amancio	アマンシオ	2		0
Amanda	アマンダ	29	阿曼达	19
Amar		0	阿马尔	3
Amari	アマーリ	6		0
Amarillo		0	阿马里洛	2
Amaro		0	阿马罗	2
Amaru	アマル	3	阿马鲁	2
Amaryllis	アマリリス	2		0
Amasa	アマサ	3		0
Amash	アマーシュ	2		0
Amata	アマタ	3		0
Amato	アマート	5	阿马托	3
Amaury	アモーリー	2	阿莫里	2
Amaya	アマヤ	3	阿马亚	2
Ambani	アンバニ	4	安巴尼	6
Ambedkar	アンベードカル	3		0
Amber	アンバー	12	安柏	2
Ambra		0	安布拉	4
Ambrogio	アンブロージョ	3	安布罗焦	2
Ambroise	アンブロワーズ	6	安布鲁瓦兹	4
Ambros	アンブロス	2		0
Ambrose	アンブローズ	18	安布罗斯	8
Ambrosio	アンブロージオ	2		0
Ambrosius	アンブロジウス	4	安布罗修斯	2
Ambroży		0	安布罗齐	2
Ambrož	アンブロシュ	2		0
Ambrus	アンブルシュ	2		0
Ambustus	アンブストゥス	6		0
Amby	アンビー	2		0
Amedeo	アメデーオ	6	阿梅代奥	7
Amel	アメル	4		0
Amelia	アメリア	21	阿梅莉亚	2
Amelie	アメリ	2		0
Amell	アメル	3	阿美尔	2
