han	corpus_count	ko	ja_kana_candidate	ja_romaji_candidate	zh_pinyin
武	936	무	たけし	takeshi	wǔ
二	931	이	に	ni	èr
喜	923	희	き	ki	xǐ
女	909	여 녀	おんな	onna	nǚ
頼	879	뇌 뢰	らい	rai	lài
中	875	중	なか	naka	zhōng
娘	837	낭	むすめ	musume	niáng
文	826	문	ぶん	bun	wén
聞	823	문	ぶん	bun	wén
家	798	가	いえ	ie	jiā
昌	782	창	まさ	masa	chāng
明	775	명	めい	mei	míng
勝	769	승	かち	kachi	shèng
之	763	지	ゆき	yuki	zhī
定	744	정	てい	tei	dìng
弘	743	홍	ひろし	hiroshi	hóng
陰	742	음	いん	in	yīn
実	739	실	み	mi	shí
上	730	상	うえ	ue	shàng
部	725	부	ぶ	bu	bù
吉	721	길	きち	kichi	jí
范	720	범	はん	han	fàn
皇	708	황	こう	kou	huáng
吳	694	오			wú
華	692	화	はな	hana	huá
隆	667	융 륭	たかし	takashi	lóng
内	666	내	ない	nai	nèi
良	664	양 량	りょう	ryou	liáng
趙	638	조	ちょう	chou	zhào
伊	634	이	い	i	yī
通	631	통	とおり	toori	tōng
本	621	본	ほん	hon	běn
仁	619	인	ひとし	hitoshi	rén
村	613	촌	むら	mura	cūn
臨	605	임 림	りん	rin	lín
仲	586	중	なか	naka	zhòng
江	585	강	こう	kou	jiāng
佐	580	좌	さ	sa	zuǒ
太	577	태	た	ta	tài
蘭	577	난 란	らん	ran	lán
継	576	계	けい	kei	jì
景	575	경	けい	kei	jǐng
郡	574	군	ぐん	gun	jùn
俊	573	준	しゅん	shun	jùn
姓	565	성	せい	sei	xìng
前	559	전	まえ	mae	qián
天	556	천	てん	ten	tiān
鄭	553	정	てい	tei	zhèng
興	552	흥	きょう	kyou	xìng
綱	550	강	つな	tsuna	gāng
木	546	목	き	ki	mù
杜	546	두	もり	mori	dù
姬	538	희			jī
季	538	계	き	ki	jì
朝	537	조	あさ	asa	cháo
房	534	방	ぼう	bou	fáng
広	531	광	こう	kou	guǎng
津	522	진	つ	tsu	jīn
北	519	북 배	きた	kita	běi
島	518	도	しま	shima	dǎo
織	513	직	しょく	shoku	zhī
臣	510	신	しん	shin	chén
秀	507	수	しゅう	shuu	xiù
石	505	석	いし	ishi	shí
行	504	행 항	ぎょう	gyou	xíng
開	504	개	かい	kai	kāi
多	498	다	た	ta	duō
基	497	기	もと	moto	jī
紀	496	기	き	ki	jì
方	491	방	ほう	hou	fāng
邪	491	사	じゃ	ja	xié
琅	490	낭 랑	ろう	rou	láng
時	482	시	とき	toki	shí
名	482	명	めい	mei	míng
孝	479	효	たかし	takashi	xiào
保	476	보	ほ	ho	bǎo
沂	474	기	ぎ	gi	yí
康	473	강	やすし	yasushi	kāng
水	466	수	みず	mizu	shuǐ
封	464	봉	ふう	fuu	fēng
永	458	영	えい	ei	yǒng
倉	458	창	くら	kura	cāng
盛	446	성	じょう	jou	shèng
德	439	덕			dé
経	432	경	けい	kei	jīng
邱	430	구	きゅう	kyuu	qiū
徳	430	덕	とく	toku	dé
晉	427	진	すすむ	susumu	jìn
泰	422	태	やすし	yasushi	tài
農	413	농	のう	nou	nóng
榮	413	영	さかえ	sakae	róng
有	412	유	あり	ari	yǒu
五	406	오	ご	go	wǔ
伯	404	백	はく	haku	bó
四	403	사	し	shi	sì
土	399	토	つち	tsuchi	tǔ
豊	397	풍	ゆたか	yutaka	lǐ
寺	396	사	てら	tera	sì
養	388	양	よう	you	yǎng
李	387	이 리	すもも	sumomo	lǐ
達	384	달	とおる	tooru	dá
衛	382	위	まもる	mamoru	wèi
涿	382	탁			zhuō
和	381	화	わ	wa	hé
姫	380	진 희	ひめ	hime	jī
郎	379	낭 랑	ろう	rou	láng
国	379	국	くに	kuni	guó
次	376	차	つぎ	tsugi	cì
兼	375	겸	けん	ken	jiān
池	374	지	いけ	ike	chí
真	372	진	まこと	makoto	zhēn
國	371	국	くに	kuni	guó
門	368	문	もん	mon	mén
常	368	상	つね	tsune	cháng
宮	367	궁	みや	miya	gōng
春	363	춘	はる	haru	chūn
遠	362	원	えん	en	yuǎn
師	359	사	し	shi	shī
某	358	모	ぼう	bou	mǒu
叔	356	숙	しゅく	shuku	shū
劉	356	유 류	りゅう	ryuu	liú
阿	351	아	あ	a	ā
橘	351	귤	たちばな	tachibana	jú
毛	348	모	け	ke	máo
林	345	임 림	はやし	hayashi	lín
茂	343	무	しげる	shigeru	mào
張	342	장	ちょう	chou	zhāng
治	336	치	おさむ	osamu	zhì
為	334	위	ため	tame	wèi
日	331	일	にち	nichi	rì
澤	330	택	さわ	sawa	zé
生	327	생	なま	nama	shēng
知	327	지	ち	chi	zhī
博	327	박	ひろし	hiroshi	bó
馬	321	마	うま	uma	mǎ
萬	319	만	まん	man	wàn
宣	316	선	せん	sen	xuān
濟	309	제	すみ	sumi	jì
昭	308	소 조	あきら	akira	zhāo
資	305	자	し	shi	zī
坂	304	판	さか	saka	bǎn
寶	304	보	たから	takara	bǎo
六	302	육 륙	ろく	roku	liù
都	300	도	みやこ	miyako	dōu dū
加	299	가	か	ka	jiā
解	299	해	かい	kai	jiě
蒲	292	포	かま	kama	pú
海	291	해	うみ	umi	hǎi
守	291	수	しゅ	shu	shǒu
湖	291	호	みずうみ	mizuumi	hú
尾	290	미	お	o	wěi
秋	284	추	あき	aki	qiū
廣	282	광	こう	kou	guǎng
九	282	구	きゅう	kyuu	jiǔ
雄	280	웅	おす	osu	xióng
莊	279	장	そう	sou	zhuāng
胤	279	윤	たね	tane	yìn
賢	278	현	さとし	satoshi	xián
賀	277	하	が	ga	hè
麻	277	마	あさ	asa	má
細	276	세	さい	sai	xì
玄	274	현	げん	gen	xuán
敬	273	경	たかし	takashi	jìng
慶	272	경	よし	yoshi	qìng
戸	271	호	こ	ko	hù
福	269	복	ふく	fuku	fú
堀	268	굴	ほり	hori	kū
古	267	고	こ	ko	gǔ
則	265	칙	のり	nori	zé
足	260	족	あし	ashi	zú
年	259	연 년	ねん	nen	nián
妻	259	처	つま	tsuma	qī
顕	259	현	けん	ken	xiǎn
酒	258	주	さけ	sake	jiǔ
雅	257	아	まさ	masa	yǎ
友	256	우	とも	tomo	yǒu
英	255	영	えい	ei	yīng
千	253	천	せん	sen	qiān
思	252	사	おもい	omoi	sī
教	252	교	きょう	kyou	jiào
範	250	범	はん	han	fàn
口	248	구	くち	kuchi	kǒu
冥	245	명	めい	mei	míng
滎	245	형			xíng
善	243	선	ぜん	zen	shàn
竹	242	죽	たけ	take	zhú
呂	240	여 려	ろ	ro	lǚ
周	239	주	しゅう	shuu	zhōu
下	239	하	した	shita	xià
能	239	능	のう	nou	néng
近	239	근	きん	kin	jìn
笠	239	입 립	かさ	kasa	lì
岡	238	강	おか	oka	gāng
葉	237	엽 섭	は	ha	yè
眉	235	미	まゆ	mayu	méi
十	234	십	じゅう	juu	shí
潁	232	영	えい	ei	yǐng
深	232	심	しん	shin	shēn
建	232	건	けん	ken	jiàn
彭	231	팽	ほう	hou	péng
鼎	231	정	かなえ	kanae	dǐng
延	230	연	えん	en	yán
尚	229	상	たかし	takashi	shàng
谷	229	곡	たに	tani	gǔ
橋	225	교	はし	hashi	qiáo
相	225	상	そう	sou	xiāng
御	223	어	お	o	yù
市	223	시	し	shi	shì
泉	222	천	いずみ	izumi	quán
人	220	인	にん	nin	rén
鳥	219	조	とり	tori	niǎo
孔	218	공	あな	ana	kǒng
智	217	지	さとる	satoru	zhì
夏	216	하	なつ	natsu	xià
純	216	순 준	じゅん	jun	chún
満	216	만	まん	man	mǎn
士	216	사	さむらい	samurai	shì
黃	214	황			huáng
命	214	명	いのち	inochi	mìng
憲	209	헌	のり	nori	xiàn
宇	209	우	う	u	yǔ
美	209	미	び	bi	měi
祖	207	조	そ	so	zǔ
金	206	금 김	きん	kin	jīn
府	206	부	ふ	fu	fǔ
贊	203	찬	さん	san	zàn
居	202	거	きょ	kyo	jū
承	201	승	しょう	shou	chéng
代	201	대	だい	dai	dài
蘇	200	소	そ	so	sū
順	197	순	じゅん	jun	shùn
堂	197	당	どう	dou	táng
森	197	삼	もり	mori	sēn
孫	195	손	まご	mago	sūn
黄	194	황	き	ki	huáng
業	194	업	ぎょう	gyou	yè
益	193	익	ます	masu	yì
稲	193	도	いね	ine	dào
衡	193	형	こう	kou	héng
青	192	청	あお	ao	qīng
溫	192	온			wēn
敏	191	민	とし	toshi	mǐn
富	190	부	とみ	tomi	fù
玉	188	옥	たま	tama	yù
寿	187	수	ひさし	hisashi	shòu
路	187	노 로	みち	michi	lù
須	187	수	す	su	xū
君	185	군	くん	kun	jūn
八	185	팔	はち	hachi	bā
柳	184	유 류	やなぎ	yanagi	liǔ
彥	183	언			yàn
見	181	견 현	けん	ken	jiàn
言	180	언	げん	gen	yán
里	180	이 리	さと	sato	lǐ
幸	180	행	さち	sachi	xìng
浅	179	천	せん	sen	qiǎn
瀬	179	뇌	せ	se	lài
持	179	지	じ	ji	chí
輔	179	보	すけ	suke	fǔ
恒	178	항	つね	tsune	héng
浦	178	포	うら	ura	pǔ
鄉	178	향			xiāng
園	176	원	その	sono	yuán
嗣	174	사	つぐ	tsugu	sì
月	172	월	がつ	gatsu	yuè
新	171	신	しん	shin	xīn
我	171	아	われ	ware	wǒ
雲	170	운	くも	kumo	yún
杉	170	삼	すぎ	sugi	shān
岩	169	암	いわ	iwa	yán
神	169	신	かみ	kami	shén
間	169	간	かん	kan	jiān
郷	168	향	さと	sato	xiāng
沢	168	택	さわ	sawa	zé
祐	167	우	すけ	suke	yòu
七	167	칠	しち	shichi	qī
丹	166	단 란	たん	tan	dān
章	164	장	しょう	shou	zhāng
種	164	종	たね	tane	zhǒng
風	164	풍	かぜ	kaze	fēng
立	163	입 립	りつ	ritsu	lì
澄	163	징	すみ	sumi	chéng
第	163	제	だい	dai	dì
莘	163	신			shēn
壽	160	수	ひさし	hisashi	shòu
修	159	수	おさむ	osamu	xiū
晴	159	청	せい	sei	qíng
希	157	희	まれ	mare	xī
祥	157	상	しょう	shou	xiáng
牧	157	목	まき	maki	mù
輝	157	휘	てる	teru	huī
殿	156	전	どの	dono	diàn
寛	156	관	ひろし	hiroshi	kuān
百	156	백	ひゃく	hyaku	bǎi
容	156	용	よう	you	róng
柏	155	백	かしわ	kashiwa	bǎi bó
助	153	조	じょ	jo	zhù
辺	153	변	へん	hen	biān
恭	152	공	やす	yasu	gōng
仙	151	선	せん	sen	xiān
夫	150	부	おっと	otto	fū
內	150	내			nèi
納	149	납	のう	nou	nà
栄	149	영	さかえ	sakae	róng
彦	149	언	ひこ	hiko	yàn
畠	149	전	はたけ	hatake	tián
就	149	취	しゅう	shuu	jiù
扶	149	부	ふ	fu	fú
崇	148	숭	すう	suu	chóng
黒	148	흑	くろ	kuro	hēi
連	148	연 련	れん	ren	lián
乗	147	승	じょう	jou	chéng
惟	147	유	ただ	tada	wéi
羽	146	우	はね	hane	yǔ
衍	145	연	えん	en	yǎn
任	145	임	にん	nin	rèn
主	145	주	しゅ	shu	zhǔ
町	143	정	まち	machi	tǐng dīng
後	142	후	のち	nochi	hòu
禮	141	예 례	れい	rei	lǐ
出	141	출	しゅつ	shutsu	chū
岐	141	기	し	shi	qí
越	141	월	えつ	etsu	yuè
志	140	지	こころざし	kokorozashi	zhì
極	140	극	きょく	kyoku	jí
卿	139	경	きょう	kyou	qīng
嘉	139	가	か	ka	jiā
花	139	화	はな	hana	huā
板	139	판	いた	ita	bǎn
右	137	우	みぎ	migi	yòu
湘	136	상	しょう	shou	xiāng
菅	135	관	かん	kan	jiān
法	134	법	ほう	hou	fǎ
波	134	파	なみ	nami	bō
休	133	휴	きゅう	kyuu	xiū
爾	133	이	じ	ji	ěr
汾	133	분	ふん	fun	fén
宅	132	택 댁	たく	taku	zhái
姜	132	강	きょう	kyou	jiāng
龍	131	용 룡	りゅう	ryuu	lóng
理	130	이 리	り	ri	lǐ
尊	130	존	みこと	mikoto	zūn
字	129	자	じ	ji	zì
甫	129	보	すけ	suke	fǔ
傳	129	전	でん	den	chuán
邦	128	방	くに	kuni	bāng
照	127	조	しょう	shou	zhào
済	127	제	すみ	sumi	jì
宋	127	송	そう	sou	sòng
左	125	좌	ひだり	hidari	zuǒ
寧	125	영 녕 령	ねい	nei	níng
譙	124	초			qiào
側	123	측	がわ	gawa	cè
管	123	관	かん	kan	guǎn
尼	122	이 니	あま	ama	ní
陸	122	육 륙	りく	riku	lù
由	121	유	ゆ	yu	yóu
紹	121	소	しょう	shou	shào
比	121	비	ひ	hi	bǐ
好	119	호	こう	kou	hǎo
台	119	태	だい	dai	tái
如	118	여	じょ	jo	rú
亮	118	양 량	あきら	akira	liàng
敦	118	돈	あつし	atsushi	dūn
今	118	금	いま	ima	jīn
植	118	식	しょく	shoku	zhí
棘	118	극	なつめ	natsume	jí
貴	117	귀	たかし	takashi	guì
愛	117	애	あい	ai	ài
长	117	장			zhǎng
屋	115	옥	や	ya	wū
端	114	단	はじ	haji	duān
在	113	재	ざい	zai	zài
秦	113	진	しん	shin	qín
辻	112	십	つじ	tsuji	shí
媛	112	원	ひめ	hime	yuàn
進	111	진	すすむ	susumu	jìn
先	110	선	さき	saki	xiān
若	110	약 야	じゃく	jaku	ruò
孟	110	맹	もう	mou	mèng
熊	110	웅	くま	kuma	xióng
丸	110	환	まる	maru	wán
心	110	심	こころ	kokoro	xīn
斎	110	재	さい	sai	zhāi
香	110	향	かおり	kaori	xiāng
唐	109	당	とう	tou	táng
覚	109	각	かく	kaku	jué
渡	109	도	わたり	watari	dù
楊	109	양	よう	you	yáng
司	108	사	つかさ	tsukasa	sī
万	108	만	まん	man	wàn mò
円	108	엔	えん	en	yuán
令	107	영 령	れい	rei	lìng
胡	106	호	こ	ko	hú
汝	106	여	なんじ	nanji	rǔ
鉅	105	거	きょ	kyo	jù
以	104	이	い	i	yǐ
庭	104	정	にわ	niwa	tíng
渤	104	발	ぼつ	botsu	bó
虎	103	호	とら	tora	hǔ
沛	103	패	はい	hai	pèi
芳	102	방	ほう	hou	fāng
鎮	102	진	ちん	chin	zhèn
倍	102	배	ばい	bai	bèi
特	102	특	とく	toku	tè
會	102	회	かい	kai	huì
別	101	별	べつ	betsu	bié
誠	101	성	まこと	makoto	chéng
樂	101	낙 락 악 요	らく	raku	lè
慈	100	자	じ	ji	cí
亀	100	구	かめ	kame	guī
矩	100	구	のり	nori	jǔ
懷	100	회	ふところ	futokoro	huái
同	98	동	どう	dou	tóng
陈	97	진			chén
崎	97	기	さき	saki	qí
父	97	부	ちち	chichi	fù
滋	97	자	しげる	shigeru	zī
斉	96	제	せい	sei	qí
階	96	계	かい	kai	jiē
維	95	유	い	i	wéi
用	95	용	よう	you	yòng
尹	95	윤	いん	in	yǐn
派	95	파	は	ha	pài
蓨	95	수			tiáo
科	94	과	か	ka	kē
鷹	94	응	たか	taka	yīng
拓	94	척 탁	たく	taku	tà
溝	93	구	みぞ	mizo	gōu
克	92	극	かつ	katsu	kè
駒	92	구	こま	koma	jū
惠	91	혜	めぐみ	megumi	huì
齊	91	제	せい	sei	qí
将	91	장	しょう	shou	jiāng
可	91	가	か	ka	kě
蜂	91	봉	はち	hachi	fēng
堯	90	요	ぎょう	gyou	yáo
全	90	전	ぜん	zen	quán
慎	90	신	しん	shin	shèn
角	89	각	かく	kaku	jiǎo
鍋	88	과	なべ	nabe	guō
勢	88	세	せい	sei	shì
総	88	총	そう	sou	zǒng
儀	88	의	ぎ	gi	yí
裕	87	유	ひろし	hiroshi	yù
局	87	국	きょく	kyoku	jú
跋	87	발	ばつ	batsu	bá
簡	87	간	かん	kan	jiǎn
允	86	윤	いん	in	yǔn
登	86	등	とう	tou	dēng
那	86	나	な	na	nà
冬	86	동	ふゆ	fuyu	dōng
早	86	조	そう	sou	zǎo
奥	86	오	おく	oku	ào
庸	86	용	よう	you	yōng
珍	85	진	ちん	chin	zhēn
從	85	종	じゅう	juu	cóng
庄	85	장	しょう	shou	zhuāng
祁	85	기	け	ke	qí
娶	83	취	しゅ	shu	qǔ
后	82	후	きさき	kisaki	hòu
梅	82	매	うめ	ume	méi
雍	82	옹	よう	you	yōng
沈	81	침 심	ちん	chin	shěn chén
處	81	처	ところ	tokoro	chù
菊	80	국	きく	kiku	jú
入	80	입	にゅう	nyuu	rù
息	80	식	いき	iki	xī
瑞	80	서	ずい	zui	ruì
脩	80	수	しゅう	shuu	xiū
増	80	증	ぞう	zou	zēng
幼	79	유	よう	you	yòu
襄	79	양	じょう	jou	xiāng
繁	79	번	はん	han	fán
熙	79	희	き	ki	xī
葛	79	갈	くず	kuzu	gé
米	79	미	こめ	kome	mǐ
沼	79	소	ぬま	numa	zhǎo
幹	79	간	かん	kan	gàn
撫	79	무	ぶ	bu	fǔ
宜	78	의	ぎ	gi	yí
関	78	관	かん	kan	guān
斯	78	사	し	shi	sī
度	77	도 탁	ど	do	dù
應	77	응	おう	ou	yīng
堅	77	견	けん	ken	jiān
冷	77	냉 랭	れい	rei	lěng
充	76	충	じゅう	juu	chōng
淵	76	연	ふち	fuchi	yuān
伴	76	반	はん	han	bàn
羅	76	나 라	ら	ra	luó
稽	76	계	けい	kei	jī
韓	75	한	かん	kan	hán
所	74	소	ところ	tokoro	suǒ
匡	74	광	きょう	kyou	kuāng
慕	74	모	ぼ	bo	mù
兒	73	아 예	じ	ji	ér
弼	73	필	ひつ	hitsu	bì
白	73	백	しろ	shiro	bái
意	73	의	い	i	yì
廉	73	염 렴	れん	ren	lián
洞	73	동 통	ほら	hora	dòng
謙	73	겸	けん	ken	qiān
譚	73	담	たん	tan	tán
閬	73	낭 랑			làng
無	72	무	む	mu	wú
留	72	유 류	りゅう	ryuu	liú
詮	72	전	せん	sen	quán
欽	72	흠	きん	kin	qīn
望	71	망	ぼう	bou	wàng
侯	71	후	こう	kou	hóu
东	71	동			dōng
厚	70	후	あつし	atsushi	hòu
典	70	전	てん	ten	diǎn
飛	70	비	ひ	hi	fēi
節	70	절	ふし	fushi	jié
朱	70	주	しゅ	shu	zhū
梁	69	양 량	はり	hari	liáng
顯	69	현	けん	ken	xiǎn
姉	69	자	あね	ane	zǐ
鬼	69	귀	おに	oni	guǐ
淑	69	숙	しゅく	shuku	shū
赤	68	적	あか	aka	chì
員	68	원 운	いん	in	yuán
致	68	치	ち	chi	zhì
烏	68	오	からす	karasu	wū
軽	68	경	けい	kei	zhì
忌	68	기	き	ki	jì
婺	68	무			wù
倫	67	윤 륜	りん	rin	lún
具	67	구	ぐ	gu	jù
功	67	공	こう	kou	gōng
崔	67	최	さい	sai	cuī
殤	67	상	しょう	shou	shāng
杨	67	양			yáng
物	66	물	もの	mono	wù
勧	66	권	かん	kan	quàn
根	66	근	ね	ne	gēn
素	66	소	もと	moto	sù
稚	66	치	ち	chi	zhì
嬴	66	영	えい	ei	yíng
恕	65	서	じょ	jo	shù
規	65	규	き	ki	guī
辰	65	진 신	たつ	tatsu	chén
伏	65	복	ふく	fuku	fú
广	65	엄	げん	gen	guǎng
母	64	모	はは	haha	mǔ
徽	64	휘	き	ki	huī
潤	64	윤	じゅん	jun	rùn
色	64	색	いろ	iro	sè
豐	64	풍	ゆたか	yutaka	fēng
融	63	융	ゆう	yuu	róng
起	63	기	き	ki	qǐ
實	62	실 지	じつ	jitsu	shí
鶴	62	학	つる	tsuru	hè
諸	62	제	しょ	sho	zhū
岳	62	악	がく	gaku	yuè
聖	62	성	ひじり	hijiri	shèng
毓	62	육	いく	iku	yù
繼	62	계	けい	kei	jì
镇	62	진			zhèn
兵	61	병	へい	hei	bīng
備	61	비	び	bi	bèi
約	61	약 요	やく	yaku	yuē
賓	61	빈	ひん	hin	bīn
最	60	최	さい	sai	zuì
弥	60	미	や	ya	mí
錢	60	전	せん	sen	qián
芬	60	분	ふん	fun	fēn
帝	59	제	みかど	mikado	dì
逸	59	일	いつ	itsu	yì
錫	59	석	すず	suzu	xī
於	59	어	お	o	yú
棟	59	동	とう	tou	dòng
宏	59	굉	ひろし	hiroshi	hóng
穆	59	목	ぼく	boku	mù
沖	58	충	おき	oki	chōng
懿	58	의	い	i	yì
省	58	성 생	しょう	shou	shěng
廬	58	여 려	ろ	ro	lú
固	57	고	こ	ko	gù
樹	57	수	き	ki	shù
桂	57	계	かつら	katsura	guì
宝	57	보	たから	takara	bǎo
売	57	매	ばい	bai	mài
化	57	화	か	ka	huà
音	56	음	おと	oto	yīn
統	56	통	とう	tou	tǒng
妃	56	비	きさき	kisaki	fēi
集	56	집	しゅう	shuu	jí
韶	55	소	しょう	shou	sháo
初	55	초	はつ	hatsu	chū
筒	55	통	つつ	tsutsu	tǒng
合	55	합	ごう	gou	hé
蔵	55	장	くら	kura	zāng
甘	55	감	かん	kan	gān
荒	55	황	こう	kou	huāng
郭	54	곽	かく	kaku	guō
恵	54	혜	めぐみ	megumi	huì
俞	54	유			yú
当	54	당	とう	tou	dāng
麿	54	마	まろ	maro	mo
少	54	소	しょう	shou	shǎo
鹿	54	녹 록	しか	shika	lù
易	54	역 이	えき	eki	yì
貫	54	관	かん	kan	guàn
县	54	현			xiàn
魯	54	노 로	ろ	ro	lǔ
洪	53	홍	こう	kou	hóng
餘	53	여	よ	yo	yú
振	53	진	しん	shin	zhèn
性	53	성	せい	sei	xìng
禎	53	정	てい	tei	zhēn
来	53	내 래	らい	rai	lái
施	53	시	し	shi	shī
奉	53	봉	ほう	hou	fèng
鳳	52	봉	おおとり	ootori	fèng
夷	52	이	えびす	ebisu	yí
璋	52	장	しょう	shou	zhāng
量	52	양 량	りょう	ryou	liàng
弟	52	제	おとうと	otouto	dì
峯	52	봉	みね	mine	fēng
威	52	위	い	i	wēi
僧	52	승	そう	sou	sēng
枝	51	지	えだ	eda	zhī
微	50	미	び	bi	wēi
式	50	식	しき	shiki	shì
垣	50	원	かき	kaki	yuán
孤	50	고	こ	ko	gū
昇	50	승	のぼる	noboru	shēng
復	49	복 부	ふく	fuku	fù
民	49	민	たみ	tami	mín
温	49	온	おん	on	wēn
履	49	이 리	り	ri	lǚ
結	49	결	けつ	ketsu	jié
耀	49	요	よう	you	yào
喬	49	교	たかし	takashi	qiáo
嵩	49	숭	かさ	kasa	sōng
偃	49	언	えん	en	yǎn
權	49	권	けん	ken	quán
模	48	모	も	mo	mó
煕	48	희	き	ki	xī
務	48	무	つとむ	tsutomu	wù
坊	48	방	ぼう	bou	fāng
片	48	편	へん	hen	piàn
肅	48	숙	しゅく	shuku	sù
溪	48	계	けい	kei	xī
才	47	재	さい	sai	cái
宿	47	숙 수	やど	yado	sù
自	47	자	じ	ji	zì
浄	47	정	じょう	jou	jìng
珪	47	규	けい	kei	guī
老	47	노 로	ろう	rou	lǎo
卜	47	복	ぼく	boku	bo bǔ
質	47	질	しつ	shitsu	zhì
曲	47	곡	きょく	kyoku	qū
妙	46	묘	みょう	myou	miào
露	46	노 로	つゆ	tsuyu	lù
寬	46	관			kuān
男	46	남	おとこ	otoko	nán
手	46	수	て	te	shǒu
静	46	정	せい	sei	jìng
楚	46	초	そ	so	chǔ
曹	46	조	そう	sou	cáo
隱	46	은	いん	in	yǐn
緒	46	서	お	o	xù
期	46	기	き	ki	qī
塘	46	당	とう	tou	táng
舉	45	거	こぶし	kobushi	jǔ
秉	45	병			bǐng
奇	45	기	き	ki	qí
犬	45	견	いぬ	inu	quǎn
依	45	의	い	i	yī
布	45	포	ぬの	nuno	bù
県	45	현	けん	ken	xiàn
魚	45	어	さかな	sakana	yú
炊	45	취	すい	sui	chuī
發	45	발	はつ	hatsu	fā
蘆	45	노 로	あし	ashi	lú
冲	44	충	ちゅう	chuu	chōng
舒	44	서	じょ	jo	shū
滝	44	농	たき	taki	lóng
奈	44	내 나	な	na	nài
榊	44	신	さかき	sakaki	shén
幽	44	유	ゆう	yuu	yōu
閑	44	한	ひま	hima	xián
恪	44	각	かく	kaku	kè
獨	44	독	どく	doku	dú
獻	44	헌	けん	ken	xiàn
靜	44	정	せい	sei	jìng
朗	43	낭 랑	あきら	akira	lǎng
暉	43	휘	き	ki	huī
巨	43	거	きょ	kyo	jù
歸	43	귀	き	ki	guī
鈴	43	영 령	すず	suzu	líng
向	43	향	こう	kou	xiàng
官	43	관	かん	kan	guān
貝	43	패 배	かい	kai	bèi
訓	43	훈	くん	kun	xùn
桐	43	동	きり	kiri	tóng
悅	43	열			yuè
亨	43	형	とおる	tooru	hēng
祚	43	조	そ	so	zuò
顏	43	안	かお	kao	yán
斛	43	곡	こく	koku	hú
恩	42	은	おん	on	ēn
徐	42	서	じょ	jo	xú
幡	42	번	はた	hata	fān
末	42	말	まつ	matsu	mò
従	42	종	じゅう	juu	cóng
儒	42	유	じゅ	ju	rú
翼	42	익	つばさ	tsubasa	yì
横	42	횡	よこ	yoko	héng
得	42	득	え	e	dé
猷	42	유	ゆう	yuu	yóu
瑜	42	유	ゆ	yu	yú
凌	42	능 릉	りょう	ryou	líng
述	41	술	じゅつ	jutsu	shù
孛	41	패	はい	hai	bèi
嶋	41	도	しま	shima	dǎo
珠	41	주	しゅ	shu	zhū
岑	41	잠	みね	mine	cén
鑑	41	감	かん	kan	jiàn
峰	41	봉	みね	mine	fēng
啟	41	계			qǐ
崑	41	곤	こん	kon	kūn
斤	40	근	きん	kin	jīn
乾	40	건	いぬい	inui	qián gān
蔭	40	음	いん	in	yīn
廷	40	정	てい	tei	tíng
篤	40	독	あつし	atsushi	dǔ
不	40	불 부	ふ	fu	bù
烈	40	열 렬	れつ	retsu	liè
浜	40	빈	はま	hama	bāng
児	40	아	じ	ji	ér
儉	40	검	けん	ken	jiǎn
