fs_id	qid	name	french_placed	new_in_rootsmagic
L8WY-474	Q30728996	Hélie de Semur-en-Brionnais		yes
L8WY-WD4	Q216787	David I 'the Saint'		yes
L8WY-WYP	Q79789	Friedrich I. 'Barbarossa'		yes
L8YY-5HK	Q313436	Olof Eriksson		yes
L8YY-5PB	Q312594	William 'The Lion'		yes
LB23-C6T	Q382156	Emund Olavsen-Slembe		yes
LB23-RVZ	Q275998	Adelaide di Susa		yes
LB35-9QD	Q7308926	Reginald de Warenne		yes
LBBZ-8DB	Q312904	Foulques V d'Anjou		yes
LBLP-Q79	Q311351	Árpád-házi Bajnok Bela I		yes
LBNJ-3C7	Q267849	Jelena Helena Vukanović		yes
LBXP-QNT	Q2718796	Godred Haraldsson		yes
LCPG-8Q9	Q41628	Ioannis II Komninos		yes
LD91-95X	Q4171758	András Árpádházi		yes
LD91-PX3	Q3182333	Margaret of Scotland		yes
LD91-ST3	Q2332287	Ingegerd Olofsdotter		yes
LD9C-ZGZ	Q463626	Poppa		yes
LDHR-J9V	Q141442395	Hersir Eriksson Bure		yes
LDJV-PG1	Q141442500	Gunnar Herse Bure		yes
LDMN-5Y4	Q360112	Boleslav I Duke of Bohemia		yes
LDMT-HMZ	Q188943	Ярослав 'Мудрий' Володи́мирович		yes
LDSS-LKR	Q2543933	Åsta Guðbrandsdottír		yes
LDSS-ZMW	Q940404	Walther of de Northumbria		yes
LDSV-P4D	Q152256	Konrad II. 'der Ältere',		yes
LDZ2-8G7	Q117647	Edward		yes
LHPZ-9WQ	Q183499	Æthelred		yes
LHXT-LR1	Q1367604	Ragnvald 'de vise' Eysteinsson		yes
LKK3-33C	Q367578	Vladislav Premyslovec		yes
LTXV-1JH	Q610698	Ketil Bjornsson 'King Of Scotland'		yes
LV7Y-KR4	Q141442399	Thord i Byr		yes
LV7Y-KXL	Q141442366	Hersesson Bure		yes
LVGG-K94	Q141442499	Gunnafir Thordsdotter		yes
LVKC-K29	Q60843	"Alexander I ""The Fierce"" Canmore"		yes
LVZ5-9LT	Q203647	Harald Sigurdson Hardrada		yes
LY6J-G8R	Q232761	Edith of Scotland,		yes
LYF2-L38	Q3112191	Helena Torildsdotter		yes
LYHQ-HDW	Q159862	Elisabeth von Thüringen		yes
LYZH-4RG	Q456174	Boleslav Premyslovec		yes
LZ19-924	Q332136	Malcolm II mac Domall		yes
LZ84-SKX	Q2536999	Adelaide Of Warenne		yes
LZDH-NFR	Q273773	Rollo		yes
LZFD-SD8	Q318478	Erik 'Ejegod' Svendsøn		yes
LZLM-6ST	Q312938	Otakar Premysl		yes
LZXX-FT2	Q201041	"Harald ""Bluetooth"" Gormsson"		yes
MVX3-57J	Q104092972	Béatrice de Mandeville		yes
P3SL-SGZ	Q141442442	Ingeborg Petersdotter		yes
P3XK-J52	Q141442592	Sigrid Ingeborg Olofsdotter		yes
P7CL-XSN	Q141442540	Ingeborg Eriksdotter		yes
PNM1-8TX	Q141498442	Henning Rømer		yes
PNM1-S1L	Q141450322	Ølver Henningsson Rømer		yes
PNM1-TRW	Q141499824	Ulvhild Ragnvaldsdatter Rømer		yes
PSKW-C6G	Q141442389	Fartegn Gamle Hersesson av Vastanar og Herreby		yes
PSKW-MCB	Q141442390	Herse Fartegnsson		yes
PWY3-K4N	Q141442596	Olof Olofsson Bure		yes
PWYS-BRF	Q141442595	Olof Olofsson Bure		yes
279S-KZ1	Q141318975	Anna Matilda Johansdotter		no
G4R4-R4H	Q141205942	Tøre Gardsen		no
GF2B-NKG	Q141539855	Emma Olivia Andersdotter		no
GJQ6-ZD9	Q141382447	Stina Larsdotter		no
GY31-V99	Q141314173	Ogmund Arnbjørnsen		no
KHW5-BDP	Q141382445	Niklas Olsson		no
L4LT-7LS	Q141314046	Sigrid Arnesdatter Aga		no
L6MJ-PM7	Q141216369	Gard Lagmann Toresen		no
L6MJ-PSD	Q141216350	Ramborg Knutsdtr Lejon Frilledtr		no
LJ2N-LV6	Q141205937	Ragnhild Eivindsdatter		no
PN9J-8ZP	Q141318607	Anders Petter Nilsson		no
PN9N-1RY	Q141225693	Karl Anton Andersson		no
PNMB-2Z8	Q141219148	Carl Ersson		no
PNMB-6Q5	Q141219071	Ulrika Persdotter		no
PNMB-BKG	Q141524199	Nils Olofsson		no
PNMB-K5N	Q141219160	Christina Sofia Carlsdotter		no
PNMB-MKW	Q141223907	Elly Olivia Andersson		no
