qid,en_label,geni_id,label_langs,has_parent,has_child
Q116007153,NN,,2,,yes
Q116471089,NN,,1,,yes
Q116150736,NN,,2,yes,yes
Q116004969,NN,,2,,yes
Q98698907,NN,,5,,yes
Q76299128,NN,,5,,yes
Q110422525,NN,,3,,yes
Q116007587,NN,,2,,yes
Q101248962,NN,,4,,yes
Q131732213,NN,,2,,yes
Q96240868,NN,,3,,yes
Q130313034,NN,,2,,yes
Q110578351,NN,,2,,yes
Q129093527,NN,,2,,yes
Q101248756,NN,,3,,yes
Q116119471,NN,,2,yes,yes
Q101248753,NN,,6,,yes
Q24238356,unknown,,67,,
Q112607049,NN,,2,,yes
Q96079250,Unknown,,3,,
Q131725581,NN,,2,,yes
Q130358294,NN,,2,,yes
Q101249014,?,,4,,yes
Q110738144,NN,,2,,yes
Q136028162,NN,,1,,yes
Q112971403,NN,,3,,yes
Q100439846,NN,,3,,yes
Q129066316,NN,,5,,
Q21156446,NN,,1,,yes
Q110737979,NN,,2,,yes
Q110537525,NN,,2,,yes
Q110278628,NN,,3,,yes
Q116170456,NN,,2,yes,yes
Q117303291,NN,,2,,yes
Q112643479,NN,,2,,yes
Q110703077,NN,,2,,yes
Q96439904,NN,,3,,yes
Q96090213,Unknown,,2,,yes
Q96090212,Unknown,,2,,
Q131726448,NN,,2,,yes
Q105793269,NN,,3,,yes
Q134895146,NN,,1,,yes
Q101248724,NN,,3,,yes
Q116474557,NN,,5,yes,yes
Q139670248,N.N.,,1,,yes
Q96240859,NN,,3,,yes
Q101248481,NN,,3,yes,yes
Q101247268,NN,,3,,yes
Q101247944,NN,,3,yes,yes
Q127270503,NN,,2,,yes
Q98697736,NN,,3,,yes
Q110378953,NN,,3,,yes
Q96240860,NN,,3,,yes
Q116029986,NN,,3,,yes
Q103807190,NN,,3,,yes
Q127270833,NN,,2,yes,yes
Q98697745,NN,,3,,yes
Q102857494,NN,,3,,yes
Q96240834,NN,,3,,yes
Q131725908,NN,,2,,yes
Q96963446,NN,,3,,yes
Q130338014,NN,,2,,yes
Q110456402,NN,,3,,yes
Q110578169,NN,,2,,yes
Q131731340,NN,,2,yes,yes
Q136275662,NN,,1,,yes
Q116032563,NN,,3,,yes
Q96076602,Unknown,,2,,
Q110611860,NN,,3,,yes
Q116007139,NN,,2,,yes
Q110324614,NN,,3,,yes
Q110378881,NN,,3,,yes
Q130335261,NN,,2,yes,yes
Q131741134,NN,,2,,yes
Q123207263,NN,,2,,yes
Q110613784,NN,,2,,yes
Q108912225,NN,,3,,yes
Q109852943,NN,,3,,yes
Q116040043,NN,,2,,yes
Q106704833,NN,,3,,yes
Q110614746,NN,,2,,yes
Q101247288,NN,,3,,yes
Q102349760,NN,,3,,yes
Q116150416,NN,,2,,yes
Q129257300,NN,,2,,yes
Q111464804,NN,,3,,yes
Q114213918,NN,,2,,yes
Q128804059,NN,,2,,yes
Q108935832,NN,,3,,yes
Q111465476,NN,,2,,yes
Q120604030,NN,,2,,yes
Q111452857,NN,,2,,yes
Q105791775,NN,,3,,yes
Q112476371,NN,,2,,yes
Q129257302,NN,,2,,yes
Q104551246,NN,,3,,yes
Q96215562,NN,,3,,yes
Q116812845,NN,,2,,yes
Q116178117,NN,,2,,yes
Q101530983,NN,,4,,yes
Q136006159,NN,,1,,yes
Q110456940,NN,,3,,yes
Q136192940,NN,,1,,yes
Q112475561,NN,,2,,yes
Q99387396,NN,,3,,yes
Q111443593,NN,,2,,yes
Q96778465,NN,,3,,yes
Q110424356,NN,,3,,yes
Q122260218,NN,,2,,yes
Q97008663,NN,,3,,yes
Q136006551,NN,,1,,yes
Q132075020,NN,,2,,yes
Q101247306,NN,,3,,yes
Q112534635,NN,,3,,yes
Q101354988,NN,,3,,yes
Q110066774,NN,,4,yes,yes
Q103838175,NN,,4,,yes
Q97570387,NN,,3,,yes
Q97570388,NN,,3,,yes
Q96241613,NN,,3,,yes
Q96241616,NN,,3,,yes
Q116004953,NN,,2,,yes
Q110377938,NN,,4,,yes
Q100441975,NN,,4,,yes
Q87496154,?,,447,,
Q108654238,NN,,3,,yes
Q115714762,NN,,2,,yes
Q96197557,NN,,3,,yes
Q96198470,NN,,3,,yes
Q97095092,NN,,3,,yes
Q96201498,NN,,3,,yes
Q96201886,NN,,3,,yes
Q96202331,NN,,3,,yes
Q98961826,NN,,3,,yes
Q96206336,NN,,3,,yes
Q96209445,NN,,3,,yes
Q96213116,NN,,3,,yes
Q96215651,NN,,3,,yes
Q96216092,NN,,3,,yes
Q105877955,NN,,3,,yes
Q96237502,NN,,3,,yes
Q96985262,NN,,3,,yes
Q127270765,NN,,2,,yes
Q96288213,NN,,3,,yes
Q96317195,NN,,3,,yes
Q96778531,NN,,3,,yes
Q96813292,NN,,3,,yes
Q96983983,NN,,3,,yes
Q97103680,NN,,3,,yes
Q98072502,NN,,3,,yes
Q98101290,NN,,3,,yes
Q98273396,NN,,3,,yes
Q110603037,NN,,2,,yes
Q98697971,NN,,3,,yes
Q98698490,NN,,3,,yes
Q107296446,NN,,3,,yes
Q98698549,NN,,3,,yes
Q98699187,NN,,3,,yes
Q98698838,NN,,3,,yes
Q131446483,NN,,2,,yes
Q98053545,NN,,3,,yes
Q99208764,NN,,3,,yes
Q130682441,NN,,2,,yes
Q130682440,NN,,2,,yes
Q100154303,NN,,3,,yes
Q98697737,NN,,3,,yes
Q112971101,NN,,2,,yes
Q101340821,NN,,3,yes,yes
Q101167268,NN,,3,,yes
Q116172114,NN,,2,,yes
Q110383325,NN,,3,,yes
Q110315134,NN,,3,,yes
Q110315255,NN,,3,,yes
Q110520474,NN,,2,,yes
Q112974573,NN,,2,,yes
Q103782783,NN,,3,,yes
Q104550343,NN,,3,,yes
Q106503696,NN,,3,,yes
Q104471756,NN,,3,,yes
Q105873095,NN,,3,,yes
Q105877969,NN,,3,,yes
Q110370089,NN,,3,,yes
Q106072273,NN,,3,,yes
Q106704201,NN,,3,,yes
Q96074297,Unknown,,2,,yes
Q113558613,NN,,2,,yes
Q136222158,NN,,1,,yes
Q110601809,NN,,2,,yes
Q110355956,NN,,3,,yes
Q108923954,NN,,3,,yes
Q110386435,NN,,3,,yes
Q102542986,NN,,3,,yes
Q109533561,NN,,4,,yes
Q110152487,NN,,3,,yes
Q110302502,NN,,3,,yes
Q110426541,NN,,3,,yes
Q110362794,NN,,3,,yes
Q110362707,NN,,3,,yes
Q110363204,NN,,3,,yes
Q110364873,NN,,3,,yes
Q110380856,NN,,3,,yes
Q110505532,NN,,2,,yes
Q110851010,NN,,2,,yes
Q130334557,NN,,2,,yes
Q130334559,NN,,2,,yes
Q110704748,NN,,2,,yes
Q116150113,NN,,2,,yes
Q98699156,NN,,3,,yes
Q112647925,NN,,2,,yes
Q136385100,NN,,1,,yes
Q105905302,NN,,3,,yes
Q113928558,NN,,2,,yes
Q110578326,NN,,2,yes,yes
Q116033695,NN,,2,,yes
Q116040141,NN,,2,,yes
Q116087871,NN,,2,,yes
Q116172108,NN,,2,,yes
Q116173324,NN,,2,,yes
Q116480300,NN,,2,,yes
Q116469332,NN,,2,,yes
Q116090694,NN,,2,,yes
Q122358108,NN,,2,,yes
Q110423485,NN,,3,,yes
Q111442600,NN,,2,,yes
Q111442606,NN,,2,,yes
Q110578219,NN,,2,,yes
Q96075253,Unknown,,2,,yes
Q96087987,Unknown,,2,,yes
Q111464858,NN,,2,,yes
Q100439648,NN,,3,,yes
Q110102167,NN,,3,,yes
Q109335092,NN,,3,,yes
Q116119459,NN,,2,,yes
Q135617441,NN,,1,yes,yes
Q130334064,NN,,2,,yes
Q98699243,NN,,3,,yes
Q116004686,NN,,2,,yes
Q130359560,NN,,2,,yes
Q96081786,Unknown,,2,,yes
Q121745801,NN,,2,,yes
Q116168632,NN,,2,,yes
Q116474215,NN,,2,,yes
Q112971407,NN,,3,yes,yes
Q110616723,NN,,2,,yes
Q101402709,NN,,3,,yes
Q110616695,NN,,2,,yes
Q97102343,NN,,3,,yes
Q110363354,NN,,3,,yes
Q116150135,NN,,2,,yes
Q110314336,NN,,3,,yes
Q131257313,NN,,2,,yes
Q105826451,NN,,3,,yes
Q101575352,NN,,3,,yes
Q101575364,NN,,4,,yes
Q116041866,NN,,2,,yes
Q96962543,NN,,3,,yes
Q110572635,NN,,2,,yes
Q108943554,NN,,3,,yes
Q106703508,NN,,3,,yes
Q107275316,NN,,3,,yes
Q110398992,NN,,3,,yes
Q110398993,NN,,3,,yes
Q108760462,NN,,3,,yes
Q108760470,NN,,3,,yes
Q110622813,NN,,2,,yes
Q106072295,NN,,3,,yes
Q116092187,NN,,3,,yes
Q96086555,Unknown,,2,,
Q111456805,NN,,3,,yes
Q102143994,NN,,3,,yes
Q102143996,NN,,3,,yes
Q109335090,NN,,3,,yes
Q96077504,Unknown,,2,,yes
Q110315993,NN,,3,,yes
Q116030622,NN,,2,,yes
Q131726441,NN,,2,,yes
Q108840535,NN,,3,,yes
Q99304160,NN,,4,,yes
Q105873291,NN,,3,,yes
Q96241100,NN,,4,,yes
Q112968698,NN,,2,,yes
Q116107505,NN,,2,,yes
Q105938770,NN,,3,,yes
Q122261771,NN,,2,,yes
Q129257299,NN,,2,,yes
Q110731323,NN,,2,,yes
Q96075681,Unknown,,3,,
Q96079741,Unknown,,3,,yes
Q108913123,NN,,3,,yes
Q110588035,NN,,3,,yes
Q110549903,NN,,2,,yes
Q130338052,NN,,2,,yes
Q135480243,NN,,1,yes,yes
Q117268487,NN,,2,,yes
Q116030733,NN,,2,,yes
Q117323626,NN,,2,,yes
Q131441855,NN,,2,,yes
Q110371546,NN,,3,,yes
Q110504640,NN,,2,,yes
Q110268851,NN,,3,,yes
Q121745599,NN,,2,,yes
Q103761257,NN,,3,,yes
Q110640265,NN,,2,,yes
Q110562433,NN,,2,,yes
Q110509744,NN,,2,,yes
Q116007154,NN,,2,,yes
Q116150739,NN,,2,,yes
Q97570425,NN,,3,,yes
Q101402813,NN,,3,,yes
Q114096640,NN,,2,,yes
Q135418431,NN,,1,,yes
Q136028976,NN,,1,,yes
Q129093555,NN,,2,,yes
Q129093597,NN,,2,yes,yes
Q101248959,NN,,4,yes,yes
Q127955835,NN,,2,,yes
Q135507477,NN,,1,,yes
Q116134058,NN,,2,,yes
Q130285714,NN,,2,yes,
Q116058758,NN,,2,,yes
Q96240847,NN,,3,,yes
Q112968863,NN,,2,,yes
Q112962422,NN,,2,,yes
Q116004511,NN,,2,,yes
Q110570737,NN,,3,,yes
Q56273632,NN,,8,,yes
Q101248960,NN,,3,,yes
Q135418429,NN,,1,,yes
Q110737923,NN,,2,,yes
Q110737904,NN,,2,,yes
Q115634130,NN,,2,,yes
Q110315216,NN,,3,,yes
Q130354014,NN,,1,,yes
Q110355715,NN,,3,,yes
Q102227782,NN,,3,yes,yes
Q108760464,NN,,3,,yes
Q96241139,NN,,3,,yes
Q102542739,NN,,3,yes,yes
Q110302442,NN,,3,,yes
Q116177820,NN,,2,,yes
Q116093960,NN,,2,,yes
Q111457081,NN,,2,,yes
Q111457182,NN,,3,,yes
Q110399629,NN,,3,,yes
Q101167254,NN,,3,,yes
Q101247246,NN,,3,,yes
Q99203047,NN,,3,,yes
Q110611913,NN,,2,,yes
Q135444662,NN,,1,,yes
Q113883143,NN,,2,,yes
Q101247845,NN,,3,,yes
Q112528133,NN,,3,,yes
Q105872999,NN,,4,,yes
Q126938579,NN,,2,,yes
Q110384330,NN,,3,,yes
Q110457603,NN,,3,,yes
Q75491971,unknown,,4,yes,yes
Q103219637,NN,,3,,yes
Q97784949,NN,,3,,yes
Q116007865,NN,,2,,yes
Q110715356,NN,,2,,yes
Q96241086,NN,,4,,yes
Q110385452,NN,,3,,yes
Q112971402,NN,,2,,yes
Q110425540,NN,,3,,yes
Q96241140,NN,,3,,yes
Q135686156,NN,,1,,yes
Q110738136,NN,,3,,yes
Q116471674,NN,,2,,yes
Q116471675,NN,,2,yes,yes
Q131731535,NN,,2,yes,yes
Q126165493,NN,,2,,yes
Q112630260,NN,,2,,yes
Q110369316,NN,,3,,yes
Q110715254,NN,,2,,yes
Q108913100,NN,,3,,yes
Q110386450,NN,,3,,yes
Q130340457,NN,,2,,yes
Q110586123,NN,,2,,yes
Q110315118,NN,,3,,yes
Q99239198,NN,,3,,yes
Q110622011,NN,,2,yes,yes
Q105939035,NN,,3,,yes
Q116146049,NN,,2,,yes
Q105842321,NN,,3,,yes
Q96078168,Unknown,,2,,yes
Q116003714,NN,,2,,yes
Q110240553,NN,,3,,yes
Q112943019,NN,,2,,yes
Q116156723,NN,,2,,yes
Q116028920,NN,,2,,yes
Q110702764,NN,,2,,yes
Q110548729,NN,,2,,yes
Q111444180,NN,,2,,yes
Q110332150,NN,,3,,yes
Q112194810,NN,,2,,yes
Q116469465,NN,,2,,yes
Q100326696,NN,,3,,yes
Q96078920,Unknown,,2,,
Q112630216,NN,,2,,yes
Q112630217,NN,,2,,yes
Q110378888,NN,,3,,yes
Q112974816,NN,,2,,yes
Q103566211,NN,,3,,yes
Q110412874,NN,,3,,yes
Q116169037,NN,,2,,yes
Q110715306,NN,,2,,yes
Q110398777,NN,,3,,yes
Q99304153,NN,,4,,yes
Q136387056,NN,,1,,yes
Q110380878,NN,,3,,yes
Q110539018,NN,,2,,yes
Q135680715,NN,,1,yes,yes
Q136028978,NN,,1,,yes
Q116182879,NN,,2,,yes
Q135682013,NN,,1,,yes
Q110549304,NN,,2,,yes
Q112648013,NN,,2,,yes
Q116179686,NN,,2,,yes
Q101248198,NN,,3,,yes
Q131726350,NN,,2,,yes
Q98697826,NN,,3,,yes
Q110457106,NN,,3,,yes
Q116027230,NN,,2,,yes
Q136207670,NN,,1,,yes
Q110570759,NN,,4,,yes
Q110378977,NN,,3,,yes
Q100326623,NN,,3,,yes
Q116177411,NN,,3,,yes
Q116028789,NN,,2,,yes
Q131725912,NN,,2,,yes
Q115861319,NN,,2,,yes
Q97543270,NN,,3,,yes
Q105817802,NN,,3,,yes
Q116027206,NN,,2,,yes
Q116119270,NN,,2,,yes
Q99745908,NN,,3,,yes
Q110439519,NN,,3,yes,yes
Q110580753,NN,,2,,yes
Q101163278,NN,,4,,yes
Q116108072,NN,,2,,yes
Q109010839,NN,,4,,yes
Q116005377,NN,,2,,yes
Q130338218,NN,,2,,yes
Q116007155,NN,,2,,yes
Q110324613,NN,,3,,yes
Q110623189,NN,,2,,yes
Q119889111,NN,,2,,yes
Q103568853,NN,,3,,yes
Q116027194,NN,,2,,yes
Q116027184,NN,,2,,yes
Q111464805,NN,,2,,yes
Q130335262,NN,,2,,yes
Q110613348,NN,,2,,yes
Q131342618,NN,,2,,yes
Q110612377,NN,,2,,yes
Q123206948,NN,,2,,yes
Q96074409,Unknown,,2,,yes
Q96074417,Unknown,,2,,yes
Q110613779,NN,,2,,yes
Q110730868,NN,,2,,yes
Q110278620,NN,,3,,yes
Q111444226,NN,,2,,yes
Q135418623,NN,,1,,yes
Q135418624,NN,,1,,yes
Q100900807,NN,,3,,yes
Q130335228,NN,,2,,yes
Q136121470,NN,,1,,yes
Q101522142,NN,,3,,yes
Q116146412,NN,,2,,yes
Q129257443,NN,,2,,yes
Q110456968,NN,,3,,yes
Q115959222,NN,,2,,yes
Q129257301,NN,,2,,yes
Q130336044,NN,,2,,yes
Q105842320,NN,,4,,yes
Q130336042,NN,,2,,yes
Q109394335,NN,,3,,yes
Q116042356,NN,,2,,yes
Q116030611,NN,,2,,yes
Q105799993,NN,,3,,yes
Q116042330,NN,,2,,yes
Q116042345,NN,,2,,yes
Q116042333,NN,,2,,yes
Q110423055,NN,,3,,yes
Q97072065,NN,,3,,yes
Q96197719,NN,,3,,yes
Q110549856,NN,,2,,yes
Q107275809,NN,,3,,yes
Q101530607,NN,,3,,yes
Q110618254,NN,,3,,yes
Q116028698,NN,,2,,yes
Q96074018,Unknown,,2,,
Q96076086,Unknown,,2,,
Q116025956,NN,,2,,yes
Q111443592,NN,,2,,yes
Q128857007,NN,,2,,yes
Q110314335,NN,,3,,yes
Q110589602,NN,,2,,yes
Q110600490,NN,,2,,yes
Q116163179,NN,,2,,yes
Q110640729,NN,,2,,yes
Q112630223,NN,,2,,yes
Q115860710,NN,,2,,yes
Q116057653,NN,,2,,yes
Q96076017,Unknown,,2,,yes
Q116004952,NN,,2,,yes
Q116032412,NN,,2,,yes
Q139559974,N.N.,,1,,yes
Q139559977,N.N.,,1,,yes
Q110619061,NN,,2,,yes
Q100437773,NN,,3,,yes
Q110613328,NN,,2,,yes
Q116004975,NN,,2,,yes
Q97534135,NN,,4,,yes
Q100997943,NN,,3,,yes
Q115860725,NN,,2,,yes
Q96221354,NN,,3,,yes
Q130359529,NN,,2,,yes
Q96243582,NN,,3,,yes
Q96340024,NN,,3,,yes
Q96372152,NN,,3,,yes
Q96985228,NN,,3,,yes
Q98072517,NN,,3,,yes
Q98072519,NN,,3,,yes
Q98698878,NN,,3,,yes
Q99203254,NN,,3,,yes
Q104472418,NN,,3,,yes
Q106704751,NN,,3,,yes
Q109807726,NN,,3,,yes
Q101342837,NN,,3,yes,yes
Q101469437,NN,,2,,yes
Q136030442,NN,,1,,yes
Q102227919,NN,,3,,yes
Q110362442,NN,,3,,yes
Q102858264,NN,,3,,yes
Q110302832,NN,,3,,yes
Q113454528,NN,,2,,yes
Q97088565,NN,,3,,yes
Q104473166,NN,,3,,yes
Q104503319,NN,,3,,yes
Q105905271,NN,,3,,yes
Q105816993,NN,,3,,yes
Q105805028,NN,,3,,yes
Q96317749,NN,,3,,yes
Q127270750,NN,,2,yes,yes
Q106509786,NN,,3,,yes
Q110538040,NN,,2,,yes
Q127952753,NN,,2,,yes
Q96244507,NN,,3,,yes
Q110571591,NN,,2,,yes
Q108410338,NN,,3,,yes
Q110423550,NN,,3,,yes
Q110313758,NN,,3,,yes
Q139557016,N.N.,,1,,yes
Q130258377,NN,,2,,yes
Q110386349,NN,,3,,yes
Q102542982,NN,,3,,yes
Q122381099,NN,,2,,yes
Q110378976,NN,,3,,yes
Q110622808,NN,,2,,yes
Q122362819,NN,,2,,yes
Q110304602,NN,,3,,yes
Q110347543,NN,,3,,yes
Q116150949,NN,,2,,yes
Q110362264,NN,,3,,yes
Q110363335,NN,,3,,yes
Q110364869,NN,,3,,yes
Q110369392,NN,,3,,yes
Q110520483,NN,,2,,yes
Q110423508,NN,,4,,yes
Q110519110,NN,,2,,yes
Q111989281,NN,,2,,yes
Q110578243,NN,,2,,yes
Q110616103,NN,,2,,yes
Q110623300,NN,,2,,yes
Q110639434,NN,,2,yes,yes
Q110704741,NN,,2,,yes
Q110737717,NN,,2,yes,yes
Q111989336,NN,,2,,yes
Q116177507,NN,,2,,yes
Q113295847,NN,,2,,yes
Q105803415,NN,,3,,yes
Q116006295,NN,,2,,yes
Q116040816,NN,,2,,yes
Q136125732,NN,,1,,yes
Q101403671,NN,,3,,yes
Q113504346,NN,,2,,yes
Q100438803,NN,,3,,yes
Q109335074,NN,,4,,yes
Q136277064,NN,,1,,yes
Q96221802,NN,,3,,yes
Q96221817,NN,,3,,yes
Q110523321,NN,,2,,yes
Q111452988,NN,,2,,yes
Q111442617,NN,,2,,yes
Q103807399,NN,,3,,yes
Q111442627,NN,,2,,yes
Q111442604,NN,,3,,yes
Q110390635,NN,,3,yes,yes
Q96221114,NN,,3,yes,yes
Q112648018,NN,,2,,yes
Q110562328,NN,,2,,yes
Q101247518,NN,,3,,yes
Q110389761,NN,,3,,yes
Q135444663,NN,,1,,yes
Q110582650,NN,,2,,yes
Q139769461,N.N.,,1,,yes
Q116004131,NN,,2,,yes
Q116004138,NN,,2,,yes
Q131784020,NN,,2,,yes
Q110612117,NN,,2,,yes
Q110152708,NN,,3,,yes
Q116170457,NN,,2,,yes
Q121745804,NN,,2,,yes
Q102393976,NN,,4,,yes
Q121745720,NN,,2,,yes
Q130359559,NN,,2,,yes
Q121745800,NN,,2,,yes
Q136006354,NN,,1,,yes
Q136006355,NN,,1,,yes
Q110362650,NN,,3,,yes
Q139671876,N.N.,,1,,yes
Q103565866,NN,,3,,yes
Q105939033,NN,,3,,yes
Q116183114,NN,,2,,yes
Q139560448,N.N.,,1,,yes
Q134509134,NN,,2,,yes
Q117268365,NN,,2,,yes
Q110640853,NN,,2,,yes
Q112330179,NN,,2,,yes
Q116150250,NN,,2,,yes
Q96077477,Unknown,,2,,
Q136006690,NN,,1,,yes
Q103568046,NN,,3,,yes
Q125525655,NN,,2,,yes
Q110600445,NN,,2,,yes
Q111506585,NN,,2,,yes
Q110378937,NN,,3,,yes
Q111456803,NN,,2,,yes
Q110458676,NN,,3,,yes
Q116040046,NN,,2,,yes
Q96241098,NN,,4,,yes
Q110378083,NN,,3,,yes
Q116104232,NN,,2,,yes
Q115633782,NN,,2,,yes
Q96073507,Unknown,,5,,yes
Q116170403,NN,,2,,yes
Q108943201,NN,,3,,yes
Q108943258,NN,,3,,yes
Q116004960,NN,,2,,yes
Q135427804,NN,,1,,yes
Q102858500,NN,,3,,yes
Q105820709,NN,,3,,yes
Q110411392,NN,,3,,yes
Q110438560,NN,,3,,yes
Q110605465,NN,,2,,yes
Q97069480,NN,,3,,yes
Q125524402,NN,,2,,yes
Q101467104,NN,,3,,yes
Q108935788,NN,,3,,yes
Q101247357,NN,,3,,yes
Q116128505,NN,,2,,yes
Q110715292,NN,,2,,yes
Q110715299,NN,,2,,yes
Q123436181,NN,,2,,yes
Q117323627,NN,,2,,yes
Q109686993,NN,,3,,yes
Q96221768,NN,,3,,yes
Q110154679,NN,,5,,yes
Q116119447,NN,,2,yes,yes
Q116118611,NN,,2,,yes
Q110562318,NN,,2,,yes
Q101231654,NN,,3,,yes
Q99304086,NN,,3,,yes
Q110506312,NN,,2,,yes
Q116031234,NN,,2,,yes
Q129093518,NN,,2,,yes
Q103560373,NN,,3,,yes
Q110560787,NN,,2,,yes
Q102227571,NN,,3,,yes
Q111453002,NN,,2,,yes
Q101353265,NN,,3,,yes
Q110562429,NN,,2,,yes
Q110557444,NN,,2,,yes
Q110557445,NN,,2,,yes
Q101466929,NN,,3,,yes
Q116053825,NN,,2,,yes
Q97534136,NN,,4,,yes
Q116040041,NN,,2,,yes
Q101248416,NN,,3,yes,yes
Q116003828,NN,,2,,yes
Q97570426,NN,,3,,yes
Q116007080,NN,,2,,yes
Q110562389,NN,,2,,yes
Q107211742,NN,,3,,yes
Q110398778,NN,,3,,yes
Q129168388,NN,,2,,yes
Q101403665,NN,,3,,yes
Q100435663,NN,,3,,yes
Q129093602,NN,,2,,yes
Q110377914,NN,,3,,yes
Q116133767,NN,,2,,yes
Q108838896,NN,,3,yes,yes
Q116148081,NN,,2,,yes
Q110715486,NN,,2,,yes
Q104471721,NN,,3,,yes
Q123206945,NN,,2,,yes
Q110526104,NN,,2,,yes
Q110616883,NN,,2,,yes
Q110737921,NN,,2,,yes
Q116149963,NN,,2,,yes
Q116005532,NN,,2,,yes
Q131347320,NN,,2,,yes
Q110315217,NN,,3,,yes
Q99203011,NN,,3,,yes
Q102227783,NN,,3,,yes
Q100438929,NN,,3,,yes
Q110384128,NN,,3,,yes
Q102542745,NN,,3,yes,yes
Q110582461,NN,,3,yes,yes
Q116119450,NN,,2,,yes
Q110622610,NN,,2,,yes
Q110578161,NN,,2,,yes
Q110737895,NN,,2,,yes
Q111457080,NN,,2,,yes
Q99203045,NN,,3,,yes
Q110616597,NN,,2,,yes
Q102832858,NN,,3,,yes
Q110351536,NN,,3,,yes
Q110384329,NN,,3,,yes
Q116170207,NN,,2,,yes
Q101499973,NN,,3,,yes
