qid	geni_id	kind	geni_name
Q25984055	6000000008162308283	addition	Berit Gøril /Havrevold/
Q76355849	6000000008640446405	addition	Conan /de Fiennes/ chevalier, seigneur de Fiennes
Q3102581	6000000010671354763	addition	Zayd Abu Zayd
Q4084004	6000000011349920903	already stated	Edward /Bergenhem/
Q63826596	6000000011673667679	already stated	Eva Anna Charlotta /Berg/
Q62059943	6000000012065752781	already stated	Georg Ludvig Andreas /Frølich/
Q99336896	6000000012267523813	already stated	Elin Mathilda /Schönmeyr/
Q99325076	6000000012267651317	already stated	Anna Emilia /Schönmeyr/
Q7424985	6000000012561014967	addition	Hideyoshi秀義 Genzo /Sasaki佐々木/
Q4806168	6000000012561210538	addition	Yoshikiyo義清 Goro /Sasaki佐々木/
Q11382323	6000000012561575227	addition	Suesada /Sasaki佐々木/
Q18236076	6000000012562003977	addition	Yoriyasu /En'ya/
Q11065428	6000000012788043101	addition	Takehinatori-no-mikoto
Q10940685	6000000012788527451	addition	Ameno-hohi-no-mikoto
Q135579354	6000000012789160423	addition	Tsusa-no-mikoto
Q135284917	6000000012789241315	addition	Kushini-no-mikoto
Q86734749	6000000012789241315	addition	Kushini-no-mikoto
Q135579355	6000000012789283534	addition	Kushimikasaki-no-mikoto
Q135579359	6000000012789332311	addition	Kushida-no-mikoto
Q135579360	6000000012789365875	addition	Chiri-no-mikoto
Q55533077	6000000012789418407	addition	Izumo-Furune-no-mikoto
Q135579358	6000000012789429513	addition	Kushimikatomi-no-mikoto
Q135579356	6000000012789489311	addition	Kishitsuki-no-mikoto
Q135579361	6000000012789539255	addition	Morosu-no-mikoto
Q29053513	6000000012881192786	already stated	Ingegerd Anna /Ahlgrensson/
Q110941606	6000000013151471748	already stated	Seved /Ribbing/
Q55858484	6000000013376335548	already stated	Rudolf /Schiff/
Q4970907	6000000013715574428	already stated	Edith Johanne /Oldrup Pedersen/
Q18225319	6000000013953053734	addition	Lodewijk /van Egmont/
Q101228628	6000000015130013466	already stated	Margarethe /von Zweiffel/
Q4945651	6000000015898170241	already stated	Ebba Johanna Cecilia /von Hallwyl/
Q751918	6000000016254584618	addition	"Sanballat ""the Horonite"" Governor of Samaria"
Q53032176	6000000017982799254	already stated	Anna Margareta /Gottsman/
Q19812768	6000000019187015830	already stated	Frans /Siberg/
Q4968400	6000000019187164452	already stated	Anna Katarina Fredrika /Munthe/
Q10650645	6000000019187411204	already stated	Johan Reinhold /Norstedt/
Q135579407	6000000019403016022	addition	Yasutaka 52 /Izumo-kokuso/
Q135579471	6000000019459119872	addition	Takatoshi /Senge/
Q135579410	6000000019459238863	addition	Sadataka /Hiraoka/
Q135579411	6000000019459424477	addition	Takakage /Azuma/
Q135579409	6000000019459698488	addition	Takatoki /Izumo-kokuso/
Q135579415	6000000019459773306	addition	Takamune /Senge/
Q135579464	6000000019459822378	addition	Naonobu /Senge/
Q135579441	6000000019459850459	addition	Takakuni /Senge/
Q135579416	6000000019459854230	addition	Sadataka /Kitajima/
Q135579455	6000000019459881225	addition	Mochikuni /Senge/
Q135579420	6000000019459924115	addition	Naokuni /Senge/
Q135579414	6000000019460072018	addition	Kiyotaka /Izumo/
Q135579478	6000000019460177052	addition	Toyotoshi /Senge/
Q111367918	6000000019752430175	already stated	Frida Mariana /Dahlberg/
Q15728524	6000000021488603372	already stated	Hanna /Sohlman/
Q110146986	6000000021609587953	already stated	Elis Wilhelm /Ohlin/
Q90083790	6000000023051357087	already stated	Jonas Jakob /Ljunggren/
Q75388104	6000000024238659209	addition	Walter /Stewart of Morphie/
Q6163722	6000000024852299508	already stated	Yngve Sigurd Isidor /Rasmussen/
Q179493	6000000025767967979	already stated	Bertil Gotthard /Ohlin/
Q89033025	6000000029886012214	addition	Emy /Reuterskiöld/
Q67141938	6000000035429163036	already stated	Richard Alexander /von Post/
Q58717942	6000000037643074954	addition	Peter Nicolaj Zernichow /Arentz/
Q86648620	6000000038778067865	already stated	Agnes Amalia /Behmer/
Q88797061	6000000040189994699	already stated	Knut Robert Fabian /Reuterskiöld/
Q89018987	6000000040190259253	already stated	Maria Sofia /Thomée/
Q87345365	6000000040190473039	already stated	Ellen Anna Elisabet /Reuterskiöld/
Q5546274	6000000040899150915	already stated	Nils Erik /Alexanderson/
Q12330899	6000000051899520076	addition	Sigrid Fritze /Ræder/
Q3073717	6000000051899520076	addition	Sigrid Fritze /Ræder/
Q38598602	6000000054968645865	addition	Johann Bertram /Bachoven von Echt/
Q3609909	6000000058357831833	addition	Alessandro /Casati/
Q90081324	6000000059468058024	already stated	Samuel Gustav /Ljunggren/
Q90080945	6000000059468209001	already stated	Emanuel /Ljunggren/
Q87311049	6000000059786705908	already stated	Anna Lovisa Celanire /Rydvall/
Q6793829	6000000066689644853	already stated	Mauritz /Gisiko/
Q57555651	6000000095421842447	addition	Alexander Georg Wilhelm Егорович /Baumann/
Q1463600	6000000148750185821	addition	Friedrich /Von Bolanden/
Q99930388	6000000154303395822	already stated	Hilda Maria Amalia Maria Amalia /Liedholm/
Q105488237	6000000174188145416	addition	Shad Molouk Malik /Timurid/
Q39715931	6000000176128322888	already stated	Betsy Louise Luise /Scholz/
Q120564	6000000177656672888	second geni id	“Okiko” Meisho 109th Emperor 1629–1643
Q20502598	6000000178917300876	addition	Jonathan I /Samaritan High Priest/
Q2911644	6000000178918027844	addition	Baba Rabba /Samaritan High Priest/
Q87470638	6000000180566653840	second geni id	Catharina Elisabet /Elfstrand/
Q3721829	6000000184120509831	addition	Eleonora /d'Este/
Q94929115	6000000186711237860	addition	Gédéon /Le Cointe/
Q109321836	6000000206937878824	already stated	Frans /Cronman/
Q51676	6000000227239142939	second geni id	Aaron I /Samaritan High Priest/
Q1675214	6000000227239206857	addition	Itamar ben Aaron
Q477527	6000000227239234867	addition	Amram
Q594805	6000000227239238885	addition	Jochebed
Q1514983	6000000227239284860	addition	Gershom
Q9077	6000000227239290894	addition	Moses
Q1941782	6000000227239364860	addition	Nadab /ben Aaron/
Q159443	6000000227239386881	addition	Eleazar I /ben Aaron/
Q205523	6000000227239417841	addition	Zipporah
Q128063	6000000227239421822	addition	Phinehas I /Samaritan High Priest/
Q321166	6000000227239426835	addition	Abihu /ben Aaron/
Q1195680	6000000227239453825	addition	Eliezer
Q2836764	6000000227239506922	addition	Bakhi ben Sashai /Samaritan High Priest/
Q2338482	6000000227239529842	addition	Abishua I /Samaritan High Priest/
Q115804497	6000000227239653826	addition	Sashai ben Abishua /Samaritan High Priest/
Q135579511	6000000227331536905	addition	Takanori 77 /Senge/
Q135579499	6000000227331577963	addition	Toyomi 74 /Senge/
Q135579462	6000000227331577978	addition	Yasunori /Higashi/
Q135579518	6000000227331591841	addition	Takasumi 79 /Senge/
Q135579494	6000000227331605900	addition	Takafusa 69 /Senge/
Q135579404	6000000227331607945	addition	Masataka 50 /Izumo/
Q135579418	6000000227331611963	addition	Tokitaka /Azuma/
Q135579389	6000000227331619947	addition	Kunitake 41 /Izumo/
Q135579493	6000000227331623899	addition	Munetoshi 71 /Senge/
Q135579399	6000000227331623962	addition	Munetaka 47 /Izumo/
Q135579500	6000000227331650867	addition	Higashisadatsune /Senge/
Q11405449	6000000227331651847	addition	Takatomi 80 /Senge/
Q135579515	6000000227331651878	addition	Takamago 78 /Senge/
Q135579490	6000000227331674896	addition	Nobutoshi /Higashi/
Q135579498	6000000227331674921	addition	Toyomasa 73 /Senge/
Q135579508	6000000227331690863	addition	Toshihide 76 /Senge/
Q135579486	6000000227331690912	addition	Sadanobu /Higashi/
Q135579454	6000000227331694933	addition	Takanori /Higashi/
Q135579495	6000000227331698868	addition	Naoharu 70 /Senge/
Q135579483	6000000227331698934	addition	Yoshiakira /Higashi/
Q135579377	6000000227331711977	addition	Hitonaga 30 /Izumo/
Q135579470	6000000227331719906	addition	Anatsuu /Higashi/
Q135579505	6000000227331729823	addition	Toshikatsu 75 /Senge/
Q135579400	6000000227331729891	addition	Takafusa 48 /Izumo/
Q135579397	6000000227331730867	addition	Kanetada 45 /Izumo/
Q135579463	6000000227331730906	addition	Shigeyasu /Takaoka/
Q135579481	6000000227331756829	addition	Yoshihiro 65 /Senge/
Q135579477	6000000227331762828	addition	Yoshikatsu 64 /Senge/
Q135579388	6000000227331789887	addition	Kuniaki 40 /Izumo/
Q135579391	6000000227331796880	addition	Yukikane 42 /Izumo/
Q135579402	6000000227331840857	addition	Takatsuna 49 /Izumo/
Q135579423	6000000227331845853	addition	Takataka /Azuma/
Q135579406	6000000227331852838	addition	Yoshitaka 51 /Izumo/
Q135579374	6000000227331852896	addition	Obitake 23 /Izumo/
Q123511663	6000000227331880928	addition	Raihita no Wiho 14 /no Mikoto/
Q135579381	6000000227331882876	addition	Toyomochi 34 /Izumo/
Q135579386	6000000227331884904	addition	Harutoshi 38 /Izumo/
Q135579387	6000000227331885873	addition	Yoshitada 39 /Izumo/
Q135579434	6000000227331888821	addition	Sadayori /Higashi/
Q135579369	6000000227331888918	addition	Funei 19 /Izumo/
Q135579371	6000000227331898861	addition	Miho 21 /Izumo/
Q135579370	6000000227331898875	addition	Ihohiku 20 /Izumo/
Q135579367	6000000227331911824	addition	Miyamukasu 17 /Ashinazu-ni-Mikoto/
Q135579395	6000000227331915821	addition	Kanemune 44 /Izumo/
Q95161958	6000000227331924854	addition	Ka'an 24 /Izumo/
Q135579385	6000000227331939856	addition	Ujihiro 36 /Izumo/
Q135579380	6000000227331940846	addition	Tabito 33 /Izumo/
Q135579368	6000000227331940873	addition	Funin 18 /Izumo/
Q135579382	6000000227331950830	addition	Tokinobu 35 /Izumo/
Q95161959	6000000227331968828	addition	Masakata 27 /Izumo/
Q135579373	6000000227331968838	addition	Eiya 22 /Izumo/
Q135579384	6000000227331989821	addition	Tsunesuke 36 /Izumo/
Q135579366	6000000227332000825	addition	Mishima 15 /Ashinazu-ni-Mikoto/
Q92924732	6000000227332003822	addition	Hiroshima 25 /Izumo/
Q109361305	6000000227332010837	addition	Okimimi 13 /no Mikoto/
Q135579365	6000000227332010844	addition	Ukatsu Kunu 12 /no Mikoto/
Q55406423	6000000227332013831	addition	Ou 16 /Ashinazu-ni-Mikoto/
Q17193127	6000000227333117897	addition	Isetsuhiko /no Mikoto/
Q55536798	6000000227334033836	addition	Mikihime /no Mikoto/
Q108729770	6000000227334155842	addition	Ōtataneko
Q135579376	6000000227334231868	addition	Kuninari 29 /Izumo/
Q95161949	6000000227334262869	addition	Otoyama 26 /Izumo/
Q135579396	6000000227334274865	addition	Kaneie /Izumo/
Q135579378	6000000227334291838	addition	Kanemutsu 32 /Izumo/
Q135579476	6000000227334350078	addition	Naokiyo /Hiraoka/
Q135579394	6000000227334351847	addition	Munefusa 43 /Izumo/
Q135579398	6000000227334361840	addition	Kanetsune 46 /Izumo/
Q135579379	6000000227334372830	addition	Chikuni 31 /Izumo/
Q135579375	6000000227334396821	addition	Kunikami 28 /Izumo/
Q135579472	6000000227334759839	addition	Takakatsu 62 /Senge/
Q135579424	6000000227334843823	addition	Ujihiro Okuma /Senge/
Q135579513	6000000227335008051	addition	Okitaka 72 /Kitajima/
Q135579421	6000000227335094894	addition	Yoshitaka 56 /Kitajima/
Q135579425	6000000227335131944	addition	Yukitaka 57 /Kitajima/
Q135579485	6000000227335155963	addition	Hisataka 62 /Kitajima/
Q135579503	6000000227335299879	addition	Michitaka 67 /Kitajima/
Q135579447	6000000227335301867	addition	Takataka 58 /Kitajima/
Q135579457	6000000227335324856	addition	Yoshitaka 59 /Kitajima/
Q135579512	6000000227335337887	addition	Akitaka 70 /Kitajima/
Q135579509	6000000227335339873	addition	Yoritaka 69 /Kitajima/
Q135579506	6000000227335344839	addition	Naotaka 68 /Kitajima/
Q135579496	6000000227335353899	addition	Takamitsu 68 /Senge/
Q135579466	6000000227335360837	addition	Masataka 60 /Kitajima/
Q135579516	6000000227335365856	addition	Nobutaka 71 /Kitajima/
Q135579517	6000000227335365861	addition	Zentaka 74 /Kitajima/
Q135579475	6000000227335366839	addition	Hidetaka 61 /Kitajima/
Q135579514	6000000227335376843	addition	Yoritaka 73 /Kitajima/
Q135579492	6000000227335378827	addition	Harutaka 64 /Kitajima/
Q135579502	6000000227335397826	addition	Kanetaka 66 /Kitajima/
Q135579487	6000000227335415836	addition	Motokatsu 66 /Senge/
Q135579488	6000000227335430822	addition	Hirokatsu 63 /Kitajima/
Q135579497	6000000227335430827	addition	Tsunetaka 65 /Kitajima/
Q135579491	6000000227335444826	addition	Takanou 67 /Senge/
Q135579501	6000000227335472827	addition	Hiromitsu 72 /Senge/
Q135579476	6000000227335699823	addition	Naokatsu 63 /Senge/
Q106241380	6000000227347981951	addition	Furutama /no Mikoto/
Q106521646	6000000227350251880	addition	Nintachikatapinomikoto /忍立毛比/ Kamitsu Unakami no Kuni Miyatsuko
Q11558664	6000000227350297833	addition	Unagami no Isachi /Kamitsu Unakami no Kuni Miyatsuko/
Q135524858	6000000227350432965	addition	Yorikiyo /Tanba/
Q135524821	6000000227350450833	addition	Yasuji /Tanba/
Q135524864	6000000227350457835	addition	Toshiyasu /Tanba/
Q135524890	6000000227350458858	addition	Tsuginaga /Tanba/
Q135524873	6000000227350459846	addition	Ienaga /Tanba/
Q135524804	6000000227350466844	addition	Yoriyasu /Tanba/
Q135524875	6000000227350466908	addition	Muneyasu /Tanba/
Q135524824	6000000227350468901	addition	Ikimoto /Tanba/
Q135524833	6000000227350468906	addition	Masatsune /Tanba/
Q135524822	6000000227350468920	addition	Motoaki /Tanba/
Q135524846	6000000227350468929	addition	Hisanaga /Tanba/
Q135524790	6000000227350480005	addition	Kiyomasa /Tanba/
Q135524797	6000000227350480021	addition	Tadayasu /Tanba/
Q135524848	6000000227350480136	addition	Motoyoshi /Tanba/
Q135524892	6000000227350480176	addition	Kaneyasu /Tanba/
Q135524807	6000000227350483979	addition	Tsuneyasu /Tanba/
Q135524830	6000000227350483988	addition	Yoshimoto /Tanba/
Q17212991	6000000227350486846	addition	Masatada /Tanba/
Q135524810	6000000227350486925	addition	Norimoto /Tanba/
Q135524899	6000000227350486977	addition	Ariyasu /Tanba/
Q11368580	6000000227350487098	addition	Tokinaga /Tanba/
Q135524834	6000000227350504993	addition	Masatsugu /Tanba/
Q135524798	6000000227350508924	addition	Shigeyasu /Tanba/
Q135524814	6000000227350508962	addition	Masanaga /Tanba/
Q135524844	6000000227350508982	addition	Naganobu /Tanba/
Q135524806	6000000227350511019	addition	Mikoyasu /Tanba/
Q135524793	6000000227350512947	addition	Toshiyoshi /Tanba/
Q135524898	6000000227350524835	addition	Morinaga /Tanba/
Q135524894	6000000227350524887	addition	Nagahira /Tanba/
Q135524803	6000000227350527916	addition	Shigeyori /Tanba/
Q135524973	6000000227350530885	addition	Tamemoto /Tanba/
Q135524975	6000000227350530892	addition	Tokimichi /Tanba/
Q135524984	6000000227350530913	addition	Tsunetoshi /Tanba/
Q135524808	6000000227350531833	addition	Motoyasu /Tanba/
Q135524915	6000000227350533879	addition	Sueyoshi /Tanba/
Q135524789	6000000227350539869	addition	Shigemitsu /Tanba/
Q1466794	6000000227350547867	addition	Yasuyori /Tanba/
Q135524794	6000000227350551882	addition	Tadamitsu /Tanba/
Q135524809	6000000227350556836	addition	Tomoyasu /Tanba/
Q135524815	6000000227350557852	addition	Yorimoto /Tanba/
Q11665947	6000000227350572848	addition	Asukai Masaharu /Tanba/
Q135524856	6000000227350573858	addition	Yorimoto /Tanba/
Q132435802	6000000227350573875	addition	Shigetada /Tanba/
Q135524831	6000000227350575878	addition	Tsunenaga /Tanba/
Q135524879	6000000227350585923	addition	Ennaga /Tanba/
Q135524835	6000000227350585974	addition	Hisamoto /Tanba/
Q135524842	6000000227350587897	addition	Yoriyuki /Tanba/
Q135524801	6000000227350588855	addition	Nakakiyo /Tanba/
Q135524930	6000000227350589923	addition	Nagachika /Tanba/
Q135524988	6000000227350589990	addition	Kiyoyoshi /Tanba/
Q135524812	6000000227350590843	addition	Shigenaga /Tanba/
Q135524795	6000000227350592846	addition	Shigetsune /Tanba/
Q135524816	6000000227350595891	addition	Tsunemoto /Tanba/
Q135524896	6000000227350595928	addition	Sadayasu /Tanba/
Q135524902	6000000227350595951	addition	Yorihide /Tanba/
Q11665951	6000000227350595957	addition	Asukai Masatsuna /Tanba/
Q135524928	6000000227350596084	addition	Mitsuyo /Tanba/
Q135524799	6000000227350600828	addition	Masayasu /Tanba/
Q135524888	6000000227350600851	addition	Iemae /Tanba/
Q135524805	6000000227350605869	addition	Shigemoto /Tanba/
Q135524823	6000000227350605885	addition	Nobuyasu /Tanba/
Q135524860	6000000227350605921	addition	Hiromoto /Tanba/
Q135524829	6000000227350605990	addition	Arimichi /Tanba/
Q135524901	6000000227350610914	addition	Haruyasu /Tanba/
Q135524904	6000000227350610924	addition	Toshinaga /Tanba/
Q135524849	6000000227350611012	addition	Ieyasu /Tanba/
Q135524845	6000000227350612827	addition	Naganaga /Tanba/
Q135524871	6000000227350617868	addition	Norinaga /Tanba/
Q135524935	6000000227350617924	addition	Atsunao /Nishikikoji/
Q135524820	6000000227350639842	addition	Tomomoto /Tanba/
Q135524832	6000000227350661830	addition	Motokane /Tanba/
Q135524841	6000000227350675940	addition	Tadatoshi /Tanba/
Q135524868	6000000227350675955	addition	Akihito /Tanba/
Q135524869	6000000227350675960	addition	Hisayoshi /Tanba/
Q135524931	6000000227350676015	addition	Tokimi /Tanba/
Q135524865	6000000227350676859	addition	Yukimoto /Tanba/
Q135524874	6000000227350676868	addition	Hisayasu /Tanba/
Q135524884	6000000227350676877	addition	Tomonaga /Tanba/
Q135524885	6000000227350683839	addition	Moriyasu /Tanba/
Q135524826	6000000227350683895	addition	Tadanori /Tanba/
Q135524836	6000000227350693884	addition	Yorinori /Tanba/
Q135524862	6000000227350698848	addition	Yukinaga /Tanba/
Q135524878	6000000227350700901	addition	Nagahiro /Tanba/
Q135524909	6000000227350700930	addition	Yoritoki /Tanba/
Q135524855	6000000227350703883	addition	Nagatomo /Tanba/
Q135524886	6000000227350703891	addition	Nagatoyo /Tanba/
Q135524850	6000000227350703911	addition	Takamoto /Tanba/
Q135524863	6000000227350704822	addition	Morinaga /Tanba/
Q135524889	6000000227350704830	addition	Hidenaga /Tanba/
Q135524893	6000000227350704918	addition	Shigeyo /Tanba/
Q135524828	6000000227350705908	addition	Yasunaga /Tanba/
Q135524840	6000000227350705920	addition	Nagatada /Tanba/
Q135524839	6000000227350708868	addition	Yasumitsu /Tanba/
Q135524905	6000000227350709826	addition	Yorihiro /Tanba/
Q135524877	6000000227350716844	addition	Nagauji /Tanba/
Q135524907	6000000227350716880	addition	Nagamoto /Tanba/
Q11368575	6000000227350727867	addition	Tadamori /Tanba/
Q135524887	6000000227350727872	addition	Suetoshi /Tanba/
Q135524853	6000000227350733847	addition	Shigeuji /Tanba/
Q135524914	6000000227350734863	addition	Mitsumoto /Tanba/
Q135524939	6000000227350734887	addition	Moriyo /Tanba/
Q135524854	6000000227350737865	addition	Tadamoto /Tanba/
Q135524882	6000000227350738821	addition	Kanehira /Tanba/
Q135524895	6000000227350739830	addition	Sadanaga /Tanba/
Q135524906	6000000227350739844	addition	Yasunaga /Tanba/
Q135524811	6000000227350739851	addition	Yoritada /Tanba/
Q135524838	6000000227350739858	addition	Yasutaka /Tanba/
Q135524872	6000000227350739869	addition	Nagasue /Tanba/
Q135524936	6000000227350744934	addition	Sadayo /Tanba/
Q135524937	6000000227350744940	addition	Chikanori /Tanba/
Q135524900	6000000227350747823	addition	Yoritoyo /Tanba/
Q135524852	6000000227350747859	addition	Masanori /Tanba/
Q135524927	6000000227350747937	addition	Naganori /Tanba/
Q135524897	6000000227350748821	addition	Yorinobu /Tanba/
Q135524851	6000000227350752844	addition	Masahisa /Tanba/
Q135524867	6000000227350759848	addition	Yukiyasu /Tanba/
Q135524916	6000000227350759876	addition	Tokinori /Tanba/
Q135524933	6000000227350763845	addition	Yasutsune /Tanba/
Q135524924	6000000227350767823	addition	Atsumoto /Tanba/
Q135524962	6000000227350769911	addition	Kiyomoto /Tanba/
Q135524969	6000000227350769923	addition	Yorimoto /Tanba/
Q135524987	6000000227350769945	addition	Shigetoshi /Tanba/
Q135524910	6000000227350790824	addition	Tadanaga /Tanba/
Q135524945	6000000227350797870	addition	Nagaaki /Tanba/
Q135524960	6000000227350797893	addition	Tamemoto /Tanba/
Q135524934	6000000227350800834	addition	Naochoku /Tanba/
Q135524921	6000000227350800846	addition	Tadayori /Tanba/
Q135524911	6000000227350802824	addition	Suehiro /Tanba/
Q135524940	6000000227350802831	addition	Nagaharu /Tanba/
Q135524932	6000000227350811835	addition	Tadakage /Tanba/
Q135524922	6000000227350814835	addition	Yasuie /Tanba/
Q135524919	6000000227350819822	addition	Naganori /Tanba/
Q135524955	6000000227350822857	addition	Munekiyo /Tanba/
Q135524957	6000000227350822862	addition	Munetada /Tanba/
Q135524917	6000000227350826825	addition	Yasuyo /Tanba/
Q135524941	6000000227350826842	addition	Tadayuki /Tanba/
Q135524947	6000000227350826862	addition	Tadayuki 2 /Tanba/
Q135524952	6000000227350826883	addition	Sueyoshi 2 /Tanba/
Q135524950	6000000227350828860	addition	Suekata /Tanba/
Q135524972	6000000227350828902	addition	Hideyori /Tanba/
Q135524989	6000000227350837845	addition	Masayoshi /Tanba/
Q135524961	6000000227350855841	addition	Toshimichi /Tanba/
Q135524943	6000000227350856824	addition	Chikatoki /Tanba/
Q135524981	6000000227350856861	addition	Chikayoshi /Tanba/
Q135524948	6000000227350857841	addition	Suekage /Tanba/
Q135524974	6000000227350858841	addition	Hideyoshi /Tanba/
Q135524968	6000000227350861849	addition	Toshitada /Tanba/
Q135524986	6000000227350861875	addition	Ariyoshi /Tanba/
Q135524942	6000000227350867821	addition	Hideyo /Tanba/
Q135524944	6000000227350867826	addition	Yukiyasu /Tanba/
Q135524946	6000000227350869832	addition	Yorikage /Tanba/
Q135524979	6000000227350871828	addition	Yukiyoshi /Tanba/
Q135524977	6000000227350877878	addition	Taneyoshi /Tanba/
Q135524990	6000000227350877904	addition	Suetoshi /Tanba/
Q135524971	6000000227350878846	addition	Yasumichi /Tanba/
Q135524985	6000000227350878880	addition	Hidemasa /Tanba/
Q135524993	6000000227350878899	addition	Yoshitoshi /Tanba/
Q135524995	6000000227350878907	addition	Yoshitomo /Tanba/
Q135524980	6000000227350880839	addition	Motoyoshi /Tanba/
Q135524965	6000000227350881838	addition	Suetoshi /Tanba/
Q135524994	6000000227350881854	addition	Yoshikuni /Tanba/
Q135524854	6000000227350884822	addition	Tadamoto /Tanba/
Q135525000	6000000227351138949	addition	Yorinao /Tanba/
Q135525006	6000000227351138968	addition	Yorinaka /Tanba/
Q135524876	6000000227351157886	addition	Fuyuyasu /Tanba/
Q135525012	6000000227351174975	addition	Motonori Taki /Tanba/
Q135525001	6000000227351205884	addition	Yoriyoshi /Tanba/
Q135524996	6000000227351212844	addition	Nagatoshi /Tanba/
Q55529040	6000000227351216851	addition	Mototaka Taki /Tanba/
Q135525009	6000000227351241860	addition	Motonao Kanpo /Tanba/
Q135524999	6000000227351250838	addition	Yorikazu /Tanba/
Q135525010	6000000227351269845	addition	Motokatsu Kanpo /Tanba/
Q135524925	6000000227351269898	addition	Tokiyo /Tanba/
Q135525008	6000000227351270846	addition	Yorifusa /Tanba/
Q135525003	6000000227351273825	addition	Yorimoto /Tanba/
Q135525002	6000000227351301821	addition	Yorishige /Tanba/
Q135525011	6000000227351315822	addition	Motoen Kanpo /Tanba/
Q135524912	6000000227351379821	addition	Sueyasu /Tanba/
Q135524954	6000000227379158022	addition	Sueyoshi /Tanba/ Jr.
Q135524991	6000000227379231882	addition	Masatoshi /Tanba/
Q135524952	6000000227379436850	addition	Sueyoshi /Tanba/ Sr.
