qid	n_geni	n_in_corpus	n_absent	closest_hops	one_export_covers	missing_first_degree	first_degree_total	already_refreshed	sources	geni_in_corpus	geni_absent	names
Q23502804	2	2	0	3	yes	15	15	no	structural;wikidata-p2600	6000000011568169088;6000000045460618205		Catarina Fernández de Córdoba y Fi | Catalina Fernández de Córdoba y En
Q270541	2	2	0	2	yes	15	15	no	structural;wikidata-p2600	6000000002512272519;6000000005049052310		Gunhild «Mother of Kings» Gormsdat | Gunhild Ossursdotter daughter of O
Q116889623	2	2	0	2	yes	14	14	no	structural;wikidata-p2600	6000000015877440407;6000000020839870171		Agathe Benigna von der Osten-Sacke | Christine Emerentia von Haudring
Q133730231	2	2	0	4	yes	14	14	no	structural;wikidata-p2600	5542177710550115482;6000000014746324453		Wichard Johann Erbkam | Unknown Erbkam
Q6645502	2	2	0	2	yes	14	14	no	wikidata-p2600;zipper	6000000074759622191;6000000075329016910		? | ?
Q20041593	2	2	0	1	yes	13	13	no	structural;wikidata-p2600	6000000021151182078;6000000074748617821		? | ?
Q56373638	2	2	0	2	yes	13	13	no	structural;wikidata-p2600	6000000003769917354;6000000053049183109		Maud de Beauchamp | Eva la Zouche
Q75242583	2	2	0	2	yes	13	13	no	structural;wikidata-p2600	6000000005597798062;6000000012400539452		Annabella of Strathearn | Agnes Noble
Q973338	2	2	0	1	yes	13	13	no	structural;wikidata-p2600	6000000015701405566;6000000019329482198		Carl Henrik Boheman | Petronella Amalia Åberg
Q2298294	2	2	0	2	yes	12	12	no	structural;wikidata-p2600	6000000001172213829;6000000004533699174		Rogneda Anastasia | Adelia von Öhningen
Q3624235	2	2	0	2	yes	12	12	no	structural;wikidata-p2600	6000000005913940193;6000000166549839980		Hadwig von Babenberg | Gisela da Aquitania
Q96216079	2	2	0	2	yes	12	12	no	structural;wikidata-p2600	6000000002311769083;6000000016781491930		Elizabeth Ingleden | Ruth Weeden
Q103784023	2	2	0	3	yes	11	11	no	structural;wikidata-p2600	6000000172492341585;6000000183586045823		N.N. Nielsdatter Panter | Edel Saltensee
Q11087518	2	2	0	2	yes	11	11	no	wikidata-p2600;zipper	6000000074750800003;6000000074767273172		? | ?
Q118720037	2	2	0	1	yes	11	11	no	structural;wikidata-p2600	6000000028995789749;6000000204790929885		Ki Ageng Ngerang III Kyai Buyut in | Ki Ageng Ngerang-3
Q4534844	2	2	0	2	yes	11	11	no	structural;wikidata-p2600	6000000003897534439;6000000016930528569		Yury Mikhailovich Tarussky | Ivan Konstantinovich Tarussky
Q45422861	2	2	0	2	yes	11	11	no	wikidata-p2600	6000000074788367110;6000000074788721899		? | ?
Q688914	2	2	0	2	yes	11	11	no	structural;wikidata-p2600	6000000011927175372;6000000189299194833		Wigerich of Lotharingia | NN 3rd husband partner of Cunigond
Q11097545	2	2	0	2	yes	10	10	no	wikidata-p2600	6000000074735059038;6000000074735329020		? | ?
Q123182145	2	2	0	2	yes	10	10	no	wikidata-p2600	6000000021077665995;6000000186395139495		Constança Maria da Conceição Berqu | Constança Maria Conceição Berquó d
Q16421105	2	2	0	2	yes	10	10	no	structural;wikidata-p2600	6000000003645908760;6000000003645908840		Thjodhild Jörundsdóttir | Thorbjarga
Q2899786	2	2	0	2	yes	10	10	no	structural;wikidata-p2600	6000000005913162130;6000000010094943325		Haldetrude Adaltrudis | Beretrudis De Burgondie
Q45462208	2	2	0	1	yes	10	10	no	structural;wikidata-p2600	6000000074733774367;6000000074735088825		? | ?
Q642469	2	2	0	1	yes	10	10	no	structural;wikidata-p2600	6000000006101423357;6000000007151145957		Dagalaiphus | Flavius Areobindus Dagalaiphus
Q75240461	2	2	0	2	yes	10	10	no	structural;wikidata-p2600	6000000001061869741;6000000003243167090		Donada ingen Maíl Coluim meic Ciná | Anonym frille, Mother of Brusi, Su
Q110619336	2	2	0	2	yes	9	9	no	structural;wikidata-p2600	6000000009649641350;6000000011387025504		Anna Elisabeth von Tausas | Anna* Elisabeth von Jarmersted
Q2012278	2	2	0	2	yes	9	9	no	structural;wikidata-p2600	6000000006378405308;6000000190357909828		Hamengkubuwana IV Raden Mas Ibnu J | Gusti Bandara Radin Mas Bagus
Q543195	2	2	0	3	yes	9	9	no	structural;wikidata-p2600	6000000010319332129;6000000107321718833		Johan Henrik Kellgren | Jonas Henrik Kellgren
Q66555044	2	2	0	3	yes	9	9	no	wikidata-p2600;zipper	6000000011456805386;6000000041749925420		Vasili Michailovich of Pinsk | Bazyli ??? Narimontovich
Q19654347	2	2	0	3	yes	8	8	no	structural;wikidata-p2600	6000000001169221318;6000000003645760161		Sigurd Toresson | Sigurd Toresson Hund of Bjarkøy
Q2469918	2	2	0	2	yes	8	8	no	structural;zipper	6000000003493392075;6000000004122198949		Charles de Noailles | Anne de Noailles
Q45422389	2	2	0	1	yes	8	8	no	structural;wikidata-p2600	6000000075402309007;6000000145008112825		? | ?
Q9790	2	2	0	2	yes	8	8	no	structural;wikidata-p2600	6000000010801039129;6000000074749972381		? | ?
Q99208440	2	2	0	2	yes	8	8	no	structural;zipper	6000000006444353932;6000000006444602562		Sybil Devereux | Isabel Devereux
Q107026120	2	2	0	2	yes	7	7	no	structural;wikidata-p2600	6000000032399614568;6000000204933311872		? | Private
Q18223300	2	2	0	2	yes	7	7	no	structural;wikidata-p2600	6000000001744821523;6000000013451205956		Ermengarde d'Auvergne | Amelia of Swabia-Brunswick
Q2042216	2	2	0	2	yes	7	7	no	structural;wikidata-p2600	6000000000437327174;6000000033071098322		Anna | Milolika of Bulgaria
Q263266	2	2	0	2	yes	7	7	no	structural;wikidata-p2600	6000000003146948304;6000000003726141100		NN | Beatrix de Vermandois
Q45420203	2	2	0	2	yes	7	7	no	wikidata-p2600;zipper	6000000075061502982;6000000075346406899		? | ?
Q45420339	2	2	0	4	yes	7	7	no	structural;wikidata-p2600	6000000075345603378;6000000075372317848		? | ?
Q76154269	2	2	0	2	yes	7	7	no	wikidata-p2600	6000000039488647235;6000000039488819945		Rhys ab Bledri ap Bledri Baron of  | Rhys ap Bledri
Q98791711	2	2	0	2	yes	7	7	no	structural	6000000031614283969;6000000078562269983		Semion, prince of Novosil and Gluh | Simeon Mikhailovich Gluhovsky
Q121643089	2	2	0	2	yes	6	6	no	wikidata-p2600;zipper	6000000003645772949;6000000195144093842		NN Håkonsdatter mother of Ivar Kvi | Ragnild Ingeborg Håkonsdatter
Q16596800	2	2	0	2	yes	6	6	no	structural;zipper	6000000053367214213;6000000053367846829		Unknown Wife or Concubine | Gunhild
Q16630592	2	2	0	2	yes	6	6	no	wikidata-p2600	4915441647200047771;6000000018169602518		? | Vladimiras
Q22813498	2	2	0	2	yes	6	6	no	wikidata-p2600	6000000075060771886;6000000075060896873		? | ?
Q4267365	3	2	1	2	yes	6	6	no	structural;wikidata-p2600;zipper	6000000003494757809;6000000215483414831	6000000071161145835	Lothar I Graf von Stade | Lothar II von Stade
Q45419087	2	2	0	2	yes	6	6	no	wikidata-p2600	6000000074747743378;6000000074748427891		? | ?
Q10513912	2	2	0	1	yes	5	5	no	structural;wikidata-p2600	6000000021260901339;6000000074733211860		? | ?
Q1054237	2	2	0	2	yes	5	5	no	structural;wikidata-p2600	6000000022627373063;6000000144664236978		? | ?
Q110578320	2	2	0	2	yes	5	5	no	structural	6000000001517866371;6000000003243318255		unknown mother of Geoffroy (concub | unknown mother of Guillaume (concu
Q45419003	2	2	0	1	yes	5	5	no	structural;wikidata-p2600	6000000075333381910;6000000145209460200		? | ?
Q56260236	2	2	0	2	yes	5	5	no	structural;wikidata-p2600	6000000008865740566;6000000075308798871		Anna Semenovna NN | Marija Fedorovna
Q75258158	2	2	0	2	yes	5	5	no	structural;zipper	6000000008300530070;6000000183942139825		Joan Douglas | NN NN
Q97929236	2	2	0	2	yes	5	5	no	wikidata-p2600	6000000022542965983;6000000028015703141		Anne Jeanne Malcy | Anne Jeanne Rouyer
Q10721233	2	2	0	2	yes	4	4	no	wikidata-p2600;zipper	6000000074767506018;6000000074767547840		? | ?
Q19421311	2	2	0	2	yes	4	4	no	structural;wikidata-p2600	6000000006127307137;6000000178480889821		Sofia Wrede | Nn
Q3918735	2	2	0	3	yes	4	4	no	wikidata-p2600	6000000012580992305;6000000175526147872		"Constantine ""Armless"" son of Tautv | Constantine ""Armless"" ???"
Q61310641	2	2	0	4	yes	4	4	no	structural;wikidata-p2600	6000000005784777539;6000000017615255109		Al-Husayn Al-Hasani | Al-Husayn Al-Hasani
Q75393563	2	2	0	2	yes	4	4	no	structural;wikidata-p2600	6000000001522987557;6000000023320891069		Gyda Ásulfsdóttir Rein | Torbjørg Gyda Gyrid Åsulvsdatter T
Q961910	2	2	0	2	yes	4	4	no	wikidata-p2600;zipper	6000000014163322246;6000000185833360841		Jean Toussaint Arrighi de Casanova | Jean Toussaint ARRIGHI DE CASANOVA
Q98698831	2	2	0	2	yes	4	4	no	structural;wikidata-p2600	6000000007373561245;6000000010119457388		Bernardus von Hoya | Theodericus von Kokenhusen
Q12085112	2	2	0	4	yes	3	3	no	wikidata-p2600;zipper	6000000019589207004;6000000080892097734		Bryachislav Davydovich of Izyaslav | ?
Q15954845	2	2	0	2	yes	3	3	no	wikidata-p2600;zipper	6000000074750788964;6000000074766717720		? | ?
Q17045022	2	2	0	2	yes	3	3	no	wikidata-p2600	6000000007377273393;6000000177596210821		Vsevolod Glebovich of Iziaslavl an | Vsevolod Glebovich of Izyaslavl
Q20101126	2	2	0	2	yes	3	3	no	wikidata-p2600;zipper	6000000003827464536;6000000009126264881		Smassmann von Rappoltstein Herr vo | Sassmann (Maximin) I. Graf von Rap
Q45420481	2	2	0	2	yes	3	3	no	structural;wikidata-p2600	6000000075374273859;6000000075374362839		? | ?
Q45421949	2	2	0	2	yes	3	3	no	wikidata-p2600	6000000075060870891;6000000075060956830		? | ?
Q45422586	2	2	0	2	yes	3	3	no	structural;wikidata-p2600	6000000075375845833;6000000117172710865		? | ?
Q10721524	2	2	0	2	yes	2	2	no	wikidata-p2600	6000000074767464979;6000000074767755875		? | ?
Q22774427	2	2	0	4	yes	2	2	no	wikidata-p2600;zipper	6000000074758467512;6000000074759288919		? | ?
Q237156	2	2	0	3	yes	2	11	no	wikidata-p2600;zipper	6000000002187617608;6000000003513191421		Laodice I | Laodice
Q254920	2	2	0	3	yes	2	14	yes	structural;wikidata-p2600	6000000000701001474;6000000041137333411		Salome | Salome I of Idumaea
Q2583477	2	2	0	2	yes	2	11	yes	structural;zipper	6000000003820968464;6000000005785596137		Cypros of Nabatea I | Cypros Kypros Kufra of Nabatea
Q2607489	2	2	0	2	yes	2	2	no	wikidata-p2600;zipper	6000000014925718454;6000000041298129918		Voytek Moniwid | Albertas Jonaitis Manvydas
Q45419706	2	2	0	2	yes	2	2	no	wikidata-p2600;zipper	6000000074747981248;6000000074748315105		? | ?
Q703346	2	2	0	3	yes	2	14	yes	wikidata-p2600	6000000002205507182;6000000003827963052		Marcus Livius Drusus Consul (112 B | Marcus Livius Salinator Drusus Dru
Q104717485	2	2	0	2	yes	1	1	no	wikidata-p2600;zipper	6000000012481742068;6000000016365474593		Fryderyk Sapieha-Koden | Teodoras Sapiega
Q120564	2	2	0	2	yes	1	3	no	geni-about-me;geni-wikidata-pairs;wikidata-p2600	6000000011626883169;6000000177656672888		Okiko Meisho-tenno | “Okiko” Meisho 109th Emperor 1629–
Q122925422	2	2	0	2	yes	1	1	no	wikidata-p2600	6000000038414606035;6000000038414714892		Raina Regina Sapieha | Wasylisa ??? Sapieha
Q122925764	2	2	0	2	yes	1	1	no	wikidata-p2600	6000000041241763571;6000000041241858399		Tomas Stanislaus Sapiega | Stanislovas Sapiega
Q1270114	2	2	0	3	yes	1	7	yes	structural;wikidata-p2600	6000000000172782992;6000000010502216907		Gaius Livius Drusus Consul of the  | Marcus Livius Drusus
Q140354402	2	2	0	2	yes	1	1	no	wikidata-p2600	6000000016751327433;6000000041177692728		Teodora Kurcz h. Radwan | Teresė Kurčaitė
Q1893528	2	2	0	2	yes	1	6	yes	wikidata-p2600;zipper	6000000003645697517;6000000009458314295		Marcia Regia | Pompeia
Q135489731	2	2	0	1	yes	0	5	yes	structural;wikidata-p2600	6000000178795360828;6000000227245553985		Tsedaka II ben Tabia ha'Åbtå'i | Yitzhaq I ben Tsedaka
Q135579476	2	2	0	1	yes	0	3	yes	geni-about-me;izumo-roster;izumo-sister-roster	6000000227334350078;6000000227335699823		Naokiyo Hiraoka | Naokatsu 63 Senge
Q886894	2	2	0	2	yes	0	2	yes	wikidata-p2600	6000000003645908672;6000000041073777758		Ptolemy Apion King of Cyrene | Ptolemy Apion
Q2241510	3	2	1		no	27	27	no	wikidata-p2600;zipper	5235605714220070458;6000000033201846251	6000000071619140369	Rikissa of Sweden of Poland | Ryksa of Poland
Q101247043	2	2	0		no	18	18	no	structural;wikidata-p2600	6000000006771365089;6000000010742449081		Elisabet Schildt | Elisabet Pedersdotter Lindeskyld
Q350498	2	2	0		no	18	18	no	structural;wikidata-p2600	5381159762450127210;6000000000574567645		Sigurd II Munn Haraldsøn Konge av  | Unas Kambar
Q107305260	2	2	0		no	17	17	no	structural;wikidata-p2600	6000000124643402889;6000000191652399917		Detlof von Tiesenhausen | Detleff von Tisenhusen, af Erla
Q11719600	2	2	0		no	17	17	no	structural;wikidata-p2600	6000000015353012202;6000000018648806323		Jan Feliks Jan Oleśnicki h. Dębno | Jan z Sienna h. Dębno
Q101247040	3	2	1		no	16	16	no	structural;wikidata-p2600	6000000001163650247;6000000002037832193	4050982006040121406	Magnus Stråle af Sjöared | Karl Andersson Stråle af Sjöared
Q2026887	2	2	0		no	15	15	no	wikidata-p2600;zipper	6000000002512346178;6000000071619545883		Sofia Volodarsdatter von Polotzk Q | Sofija Volodaraitė
Q6175112	2	2	0		no	14	14	no	structural;wikidata-p2600	6000000001046977484;6000000001169229798		Þórður Gilsson | Þórður Þorvaldsson
Q642075	2	2	0		no	14	14	no	structural;wikidata-p2600	6000000003645734389;6000000055909030855		Kristin Sigurdsdatter of Norway | NN Friller
Q104550779	2	2	0		no	12	12	no	structural;wikidata-p2600	6000000008831869602;6000000027270925071		Jürgen von Kursell a Sommerpahlen, | Georg Kurtzel af Sommerpahl
Q1436	2	2	0		no	12	12	no	structural;wikidata-p2600	6000000006101317550;6000000041325754478		Publius Helvius Pertinax Augustus | Pertinax
Q69756781	2	2	0		no	12	12	no	wikidata-p2600;zipper	6000000000436954608;6000000119100397957		Jeanne de Joinville | NN de Joinville
Q25483915	2	2	0		no	11	11	no	wikidata-p2600;zipper	6000000003828254510;6000000014961432483		Gebhard von Querfurt-Magdeburg | Gerhard lV von Querfurt-Magdeburg 
Q13478569	2	2	0		no	10	10	no	wikidata-p2600;zipper	6000000002240822537;6000000080810860893		Princess Alexandra (Paraskeva) Bry | ?
Q16573948	2	2	0		no	10	10	no	structural;wikidata-p2600	6000000010713512335;6000000011535582857		Private | Hámundur Gunnarsson
Q3154496	3	2	1		no	10	10	no	structural;wikidata-p2600;zipper	6000000003299280458;6000000018813376333	6000000007324411270	NN poss Ermengarde de Tours | Ermingarde Carolingian
Q4139580	2	2	0		no	10	10	no	wikidata-p2600;zipper	4913735229900074272;6000000018197588373		Gleb, Grand Prince of Smolensk | Gleb Svyatoslavich of Smolensk
Q104550781	2	2	0		no	9	9	no	structural	6000000021615133684;6000000086691914821		Judith von Dönhoff | Elisabet Yxkull Yxkull af Felix
Q13478526	2	2	0		no	9	9	no	wikidata-p2600;zipper	6000000013766131859;6000000080810418078		Vasilko II Bryachislavich of Viteb | ?
Q4097582	2	2	0		no	9	9	no	wikidata-p2600;zipper	6000000008537579083;6000000080795286877		Bracheslav Vasylkovich Polozki II | ?
Q6001687	2	2	0		no	9	9	no	structural;wikidata-p2600	6000000006127434165;6000000040898531327		Otto Helmer von Mörner Governor | Otto Helmer von Mörner af Morlanda
Q20172498	2	2	0		no	8	8	no	structural;wikidata-p2600	6000000010756611367;6000000013586122511		Yosef ibn Yahya | Yosef ben David Ibn Yahya
Q15615597	2	2	0		no	5	5	no	wikidata-p2600;zipper	6000000006727876082;6000000020992263311		Svyatopolk Duke Of Novgorod Volyni | ?
Q45379363	2	2	0		no	5	5	no	structural;wikidata-p2600	6000000020504918591;6000000046926641968		? | ?
Q557859	2	2	0		no	5	5	no	wikidata-p2600	6000000009134071127;6000000177205638847		Witenes | ?
Q11978726	2	2	0		no	4	4	no	wikidata-p2600	6000000020050914098;6000000105491391008		Johan Georg Müller | Johan Georg Møller
Q13478538	2	2	0		no	4	4	no	wikidata-p2600;zipper	6000000008785883861;6000000080817176840		Lyubava Vasilkovna of Vitebsk | ?
Q17095892	2	2	0		no	4	4	no	wikidata-p2600;zipper	6000000014058991722;6000000014878152198		Anna Worotyńska | Anna Fedkaitė Korybut
Q233444	2	2	0		no	4	15	yes	wikidata-p2600;zipper	6000000000700912476;6000000008218463991		Scribonia | Clodia Pulchra
Q638599	2	2	0		no	4	4	no	wikidata-p2600;zipper	6000000009129141310;6000000080834032500		Daumantas Romantaitis of Utena | Daumantas Mindaugaitis Mindaugaiti
Q130391088	2	2	0		no	3	3	no	wikidata-p2600;zipper	4913726906610024668;6000000017971574617		Dymitry Glebovich Rurikov | Dmitriy Glebovich Rurikid
Q47306394	3	2	1		no	3	3	no	wikidata-p2600;zipper	6000000003523237946;6000000064526129883	6000000022874673786	Sofija Sapiegaitė | Sofija Sapiegaitė
Q61139374	3	2	1		no	3	3	no	wikidata-p2600	6000000013879333457;6000000025875082214	6000000078171890833	Johanna von Baden-Durlach | Johanna Margareta von Baden-Hochbe
Q61707798	2	2	0		no	3	16	yes	structural;wikidata-p2600	6000000000424698354;6000000010829886244		Fulvia Flacca Bambula | Sentia
Q1339771	2	2	0		no	2	8	yes	structural;wikidata-p2600	6000000024902478637;6000000027312259703		<private> Caepio | Quintus Servilius Caepio the Young
Q2236673	2	2	0		no	2	5	no	structural;wikidata-p2600	6000000007519655888;6000000027214639182		Appius Claudius Nero | Tiberius Claudius Nero
Q432100	2	2	0		no	2	9	yes	structural;wikidata-p2600	6000000024902708910;6000000027290117295		? | Livia Drusa
Q66438379	2	2	0		no	2	2	no	wikidata-p2600	6000000024778341822;6000000184795855851		Vasily Mikhailovich Drutsky | Vasil Mikhailovich Drutski
Q135524854	2	2	0		no	0	3	yes	geni-about-me;geni-wikidata-pairs;tanba-roster	6000000227350737865;6000000227350884822		Tadamoto Tanba | Tadamoto Tanba
Q135524952	2	2	0		no	0	3	yes	geni-about-me;tanba-roster	6000000227350826883;6000000227379436850		Sueyoshi 2 Tanba | Sueyoshi Tanba Sr.
Q9746	2	1	1		no	74	74	no	structural;wikidata-p2600;zipper	6000000002188099881	6000000074767562860	?
Q718227	2	1	1		no	70	70	no	wikidata-p2600;zipper	6000000003175650332	6000000074734517880	?
Q2973254	2	1	1		no	62	62	no	structural;wikidata-p2600	6000000017538450842	6000000017538195517	KGPAA Mangkoenagara VI GRM. Soejit
Q108732931	2	1	1		no	61	61	no	wikidata-p2600;zipper	6000000000466253490	6000000048214481776	Husen Jamaludin Akbar Jumadil Kubr
Q9700	2	1	1		no	56	56	no	structural;wikidata-p2600;zipper	6000000002188101188	6000000075059949348	Emperor Gaozu of Tang
Q537570	2	1	1		no	53	53	no	wikidata-p2600;zipper	6000000039886210816	6000000145499759821	Husayn Mirza Bayqara
Q9701	2	1	1		no	48	48	no	wikidata-p2600;zipper	6000000007915729523	6000000075061209887	?
Q315031	2	1	1		no	41	41	no	wikidata-p2600;zipper	4752719506900128751	6000000001825764855	Musa al-Kazim Al-Husayni
Q12487162	2	1	1		no	38	38	no	wikidata-p2600;zipper	6000000001580945871	6000000044135387483	Ibrahim Azmatkhan
Q9760	3	1	2		no	38	38	no	wikidata-p2600	6000000010801513590	6000000074750170168;6000000074750258148	?
Q9761	3	1	2		no	38	38	no	structural;wikidata-p2600;zipper	6000000010801040068	6000000074750425046;6000000074750591904	?
Q1327614	2	1	1		no	36	36	no	wikidata-p2600;zipper	6000000002188193998	6000000074790906878	?
Q177320	2	1	1		no	36	36	no	wikidata-p2600;zipper	6000000002187576459	6000000074791906833	Hulagu Borjigin dynasty
Q7636596	2	1	1		no	32	32	no	wikidata-p2600;zipper	6000000015285111523	6000000013385988590	Abdul Jalil Riayat Shah IV ibni Tu
Q9749	3	1	2		no	30	30	no	structural;wikidata-p2600;zipper	6000000010801495047	6000000074750441989;6000000074767579859	?
Q9825	2	1	1		no	28	28	no	structural;wikidata-p2600;zipper	6000000010801406769	6000000074750634862	?
Q712113	2	1	1		no	26	26	no	structural;wikidata-p2600;zipper	6000000003175649423	6000000074734431863	?
Q1074798	2	1	1		no	25	25	no	wikidata-p2600;zipper	6000000002188195316	6000000074790774944	?
Q106197221	2	1	1		no	23	23	no	structural;wikidata-p2600;zipper	6000000189802723867	6000000013413199708	?
Q9722	2	1	1		no	23	23	no	wikidata-p2600;zipper	6000000002188099860	6000000074767489943	?
Q1071582	2	1	1		no	22	22	no	structural;wikidata-p2600;zipper	6000000002188195181	6000000074790323009	?
Q1149178	2	1	1		no	22	22	no	wikidata-p2600	6000000002188195738	6000000075329340860	?
Q312311	2	1	1		no	22	22	no	structural;wikidata-p2600;zipper	6000000223734385003	6000000004533182051	"Pedro III ""el Grande"" de Aragón Ki"
Q9891	2	1	1		no	22	22	no	structural;wikidata-p2600;zipper	6000000010801623795	6000000074750675857	?
Q18226567	2	1	1		no	21	21	no	structural;wikidata-p2600;zipper	6000000055769535900	6000000075344513850	?
Q358365	2	1	1		no	21	21	no	structural;wikidata-p2600;zipper	6000000000831222922	6000000000628817210	Carlos III 'el Noble' de Navarra r
Q49699	2	1	1		no	21	21	no	structural;wikidata-p2600;zipper	6000000023724565705	6000000074732670125	?
Q9703	2	1	1		no	21	21	no	wikidata-p2600;zipper	6000000007915975712	6000000074767088371	?
Q9755	2	1	1		no	21	21	no	structural;wikidata-p2600;zipper	6000000010801237168	6000000075337702855	?
Q115742965	2	1	1		no	20	20	no	wikidata-p2600;zipper	6000000017548386276	6000000026619516067	Ageng Abdurahman Ageng Selo
Q75278555	2	1	1		no	20	20	no	structural;wikidata-p2600;zipper	6000000007069116381	6000000050810732273	Mary Frances Fowler
Q1071591	2	1	1		no	19	19	no	wikidata-p2600;zipper	6000000002188195635	6000000075329172008	?
Q133891316	2	1	1		no	19	19	no	structural;wikidata-p2600;zipper	4301208601180054964	6000000159225321903	Jeanne Crevier Dit Bellerive
