card_id	slot	side	sex	options	geni_id	our_name	qid	candidate_name
child|283181900190003966|F|theirs	child	theirs		2	6000000008630614257	Amyitis	Q3306534	Amytis
sibling|283181900190003966|F|theirs	sibling	theirs		2	6000000008630614257	Amyitis	Q2917844	Rhodogune
sibling|283181900190003966|F|theirs	sibling	theirs		2	6000000008630614257	Amyitis	Q3306534	Amytis
child|284163373700001067|M|ours	child	ours	M	5	6000000193113618824	Jesper Nilsson Kruus	Q5715615	Erik Nilsson Kruse
child|284163373700001067|M|ours	child	ours	M	5	6000000006788344716	Erik Nilsson Kruus till Uddboö	Q5715615	Erik Nilsson Kruse
child|284163373700001067|M|ours	child	ours	M	5	6000000193114065824	Olof Nilsson Kruus	Q5715615	Erik Nilsson Kruse
child|284163373700001067|M|ours	child	ours	M	5	6000000193113872863	Per Nilsson Kruus	Q5715615	Erik Nilsson Kruse
child|284163373700001067|M|ours	child	ours	M	5	6000000193114151827	Eggert Nilsson Kruus	Q5715615	Erik Nilsson Kruse
child|2852897|M|theirs	child	theirs		2	6000000009676403170	Anders Lagerlöf	Q16649609	Nils Lagerlöf
child|2852897|M|theirs	child	theirs		2	6000000009676403170	Anders Lagerlöf	Q136522383	Magnus Lagerlöf
sibling|2852897|M|theirs	sibling	theirs		2	6000000009676403170	Anders Lagerlöf	Q16649609	Nils Lagerlöf
sibling|2852897|M|theirs	sibling	theirs		2	6000000009676403170	Anders Lagerlöf	Q136522383	Magnus Lagerlöf
sibling|2852958|M|theirs	sibling	theirs		2	6000000009676403170	Anders Lagerlöf	Q16649609	Nils Lagerlöf
sibling|2852958|M|theirs	sibling	theirs		2	6000000009676403170	Anders Lagerlöf	Q136522383	Magnus Lagerlöf
child|285601342810004065|M|ours	child	ours	M	2	6000000007085895106	Ingvar Emundsson Vittfarne	Q2857802	Anund Emundsson
child|285601342810004065|M|ours	child	ours	M	2	4327380585790011824	Anund Emundsson	Q2857802	Anund Emundsson
child|287592833490001438|F|ours	child	ours	F	3	287594692340001442	Ingrid Elisabet Essén	Q12300729	Agnes Frijs
child|287592833490001438|F|ours	child	ours	F	3	287594964250008000	Ellen Lydia Bratt	Q12300729	Agnes Frijs
child|287592833490001438|F|ours	child	ours	F	3	287595331540001429	Kerstin Johanna Bratt	Q12300729	Agnes Frijs
sibling|288390320120001964|F|ours	sibling	ours	F	2	6000000016472903799	NN d'Austrasie	Q263082	Landrada
sibling|288390320120001964|F|ours	sibling	ours	F	2	6000000004575079255	Hiltrud von Bayern I	Q263082	Landrada
child|291357663390004615|M|ours	child	ours	M	4	6000000004921607035	Pierre Francois Denis de La Ronde	Q114036520	Pierre Denys de La Ronde
child|291357663390004615|M|ours	child	ours	M	4	6000000025866228975	Pierre Denys De La Ronde	Q114036520	Pierre Denys de La Ronde
child|291357663390004615|M|ours	child	ours	M	4	6000000095243747947	Philippe Louis Denys De La Ronde	Q114036520	Pierre Denys de La Ronde
child|291357663390004615|M|ours	child	ours	M	4	6000000095243747935	Charles Denys De laronde	Q114036520	Pierre Denys de La Ronde
child|292350426030002931|F|ours	child	ours	F	3	6000000006330659958		Q19897058	Annelise Seidenfaden
child|292350426030002931|F|ours	child	ours	F	3	6000000006331019193		Q19897058	Annelise Seidenfaden
child|292350426030002931|F|ours	child	ours	F	3	6000000001481413745		Q19897058	Annelise Seidenfaden
sibling|292350426030002931|F|ours	sibling	ours	F	3	6000000006330659958		Q19897058	Annelise Seidenfaden
sibling|292350426030002931|F|ours	sibling	ours	F	3	6000000006331019193		Q19897058	Annelise Seidenfaden
sibling|292350426030002931|F|ours	sibling	ours	F	3	6000000001481413745		Q19897058	Annelise Seidenfaden
child|293973974880002434|M|ours	child	ours	M	2	6000000010768166454	Fulk Pembridge MP	Q76252916	Fulco de Pembruge
child|293973974880002434|M|ours	child	ours	M	2	6000000002939285046	Richard de Pembrugge	Q76252916	Fulco de Pembruge
child|294740744670002534|F|ours	child	ours	F	4	6000000004641857376	Eleanor Hill	Q117381681	Elizabeth Marvyn
child|294740744670002534|F|ours	child	ours	F	4	839874	Margaret Drewry	Q117381681	Elizabeth Marvyn
child|294740744670002534|F|ours	child	ours	F	4	6000000003216108228	Anne Mervyn	Q117381681	Elizabeth Marvyn
child|294740744670002534|F|ours	child	ours	F	4	6000000053711270343	Mary Aden	Q117381681	Elizabeth Marvyn
child|298183310170001736|F|ours	child	ours	F	7	6000000001880150674	Rachel Fleming	Q76313027	Lady Mary Fleming
child|298183310170001736|F|ours	child	ours	F	7	6000000017898447777	Ann Fleming	Q76313027	Lady Mary Fleming
child|298183310170001736|F|ours	child	ours	F	7	6000000072806771971	Johanna Fleming	Q76313027	Lady Mary Fleming
child|298183310170001736|F|ours	child	ours	F	7	6000000002116134533	Mary Fleming	Q76313027	Lady Mary Fleming
child|298183310170001736|F|ours	child	ours	F	7	6000000026259493852	Margaret Fleming	Q76313027	Lady Mary Fleming
child|298183310170001736|F|ours	child	ours	F	7	6000000049932323842	Sarah Fleming	Q76313027	Lady Mary Fleming
child|298183310170001736|F|ours	child	ours	F	7	6000000049932335881	NN Campbell	Q76313027	Lady Mary Fleming
child|298732052860003667|M|ours	child	ours	M	2	6000000002187834686	Ludwig von Görz Tirol	Q20005093	Lluís de Gorízia-Tirol
child|298732052860003667|M|ours	child	ours	M	2	6000000000628802390	Meinhard von Tirol III	Q20005093	Lluís de Gorízia-Tirol
sibling|298732052860003667|M|ours	sibling	ours	M	2	6000000002187834686	Ludwig von Görz Tirol	Q20005093	Lluís de Gorízia-Tirol
sibling|298732052860003667|M|ours	sibling	ours	M	2	6000000000628802390	Meinhard von Tirol III	Q20005093	Lluís de Gorízia-Tirol
child|298741096650002960|F|ours	child	ours	F	2	6000000015106410229	Elisabeth Wrocławska	Q114723019	Elżbieta
child|298741096650002960|F|ours	child	ours	F	2	6000000015106377177	Małgorzata Wrocławska	Q114723019	Elżbieta
child|298841683070006373|M|ours	child	ours	M	6	6000000008548510697	Gustaf Herman Karlsson Örbom	Q109466361	Gustaf Herman Örbom
child|298841683070006373|M|ours	child	ours	M	6	6000000053307280976	Carl Christopher Örbom	Q109466361	Gustaf Herman Örbom
child|298841683070006373|M|ours	child	ours	M	6	6000000053307608838	Anders Gustaf Örbom	Q109466361	Gustaf Herman Örbom
child|298841683070006373|M|ours	child	ours	M	6	6000000053306946072	Johan Magnus Örbom	Q109466361	Gustaf Herman Örbom
child|298841683070006373|M|ours	child	ours	M	6	6000000053307438980	Erik Johan Örbom	Q109466361	Gustaf Herman Örbom
child|298841683070006373|M|ours	child	ours	M	6	6000000053307695821	Nils Wilhelm Örbom	Q109466361	Gustaf Herman Örbom
child|299075233490003656|F|ours	child	ours	F	2	6000000002188445821	Maximiliane von Bayern Prinzessin	Q16740105	Theresa Benedicta of Bavaria
child|299075233490003656|F|ours	child	ours	F	2	6000000002188445827	Theresia Benedicte Maria	Q16740105	Theresa Benedicta of Bavaria
sibling|299075233490003656|M|theirs	sibling	theirs		2	6000000002188445843	Joseph Ludwig Leopold von Bayern Prinz	Q18411753	Franz Ludwig von Holnstein
sibling|299075233490003656|M|theirs	sibling	theirs		2	6000000002188445843	Joseph Ludwig Leopold von Bayern Prinz	Q128790720	Joseph Louis of Bavaria
sibling|299075233490003656|F|ours	sibling	ours	F	2	6000000002188445821	Maximiliane von Bayern Prinzessin	Q16740105	Theresa Benedicta of Bavaria
sibling|299075233490003656|F|ours	sibling	ours	F	2	6000000002188445827	Theresia Benedicte Maria	Q16740105	Theresa Benedicta of Bavaria
child|302036983420005577|M|ours	child	ours	M	2	6000000006101322593	Annius Libo	Q1894078	Marcus Annius Libo
child|302036983420005577|M|ours	child	ours	M	2	6000000041423656126	Marcus Annius Libo	Q1894078	Marcus Annius Libo
child|302036983420005577|F|ours	child	ours	F	2	6000000006101322597	Annia Fundania Faustina	Q4769172	Annia Fundania Faustina
child|302036983420005577|F|ours	child	ours	F	2	6000000041422782587	Annia Fundania Faustina	Q4769172	Annia Fundania Faustina
child|302329770210002882|F|ours	child	ours	F	2	6000000006444239329	Jane Neville	Q75251176	Margaret Neville
child|302329770210002882|F|ours	child	ours	F	2	6000000005223422535	Margaret Brooke	Q75251176	Margaret Neville
child|303610933880008288|M|ours	child	ours	M	3	6000000033107299257	Robert Colville Kt.	Q16205024	James Colville
child|303610933880008288|M|ours	child	ours	M	3	303609464910003767	James Colville	Q16205024	James Colville
child|303610933880008288|M|ours	child	ours	M	3	6000000031033618257	John Colville	Q16205024	James Colville
child|303641689860003787|F|ours	child	ours	F	2	6000000007605068623	Catherine Isaac	Q75388045	Katherine Isaac
child|303641689860003787|F|ours	child	ours	F	2	6000000007605068608	Maud Isaac	Q75388045	Katherine Isaac
sibling|304460088870001751|F|ours	sibling	ours	F	4	6000000002188466138	Matilda	Q17634902	Princess Matilde d'Este of Modena
sibling|304460088870001751|F|ours	sibling	ours	F	4	6000000002188466146	Beatrice	Q17634902	Princess Matilde d'Este of Modena
sibling|304460088870001751|F|ours	sibling	ours	F	4	6000000002188466176	Maria Elisabetta Ernestina Salomone	Q17634902	Princess Matilde d'Este of Modena
sibling|304460088870001751|F|ours	sibling	ours	F	4	6000000224917292382	Félicité ESTE (d')	Q17634902	Princess Matilde d'Este of Modena
sibling|304669747340006434|M|ours	sibling	ours	M	5	6000000007980604940	Christian Nielsen Foss	Q56706627	Christian Foss
sibling|304669747340006434|M|ours	sibling	ours	M	5	4335497093180013396	Jens Nielsen Foss d. æ til Svanø	Q56706627	Christian Foss
sibling|304669747340006434|M|ours	sibling	ours	M	5	6000000007980604991	Peder Nielsen Foss	Q56706627	Christian Foss
sibling|304669747340006434|M|ours	sibling	ours	M	5	6000000007980604996	Jacob Nielsen Foss	Q56706627	Christian Foss
sibling|304669747340006434|M|ours	sibling	ours	M	5	6000000016238902186	Laurits Nielsen Foss	Q56706627	Christian Foss
child|3047562|M|ours	child	ours	M	6	6000000010887013261	Peter Tham	Q6206811	Peter Tham
child|3047562|M|ours	child	ours	M	6	6000000018514741945	Alexander Tham	Q6206811	Peter Tham
child|3047562|M|ours	child	ours	M	6	6000000018515144351	Carl Gustaf Tham	Q6206811	Peter Tham
child|3047562|M|ours	child	ours	M	6	6000000018513807988	Carl Gustaf Tham	Q6206811	Peter Tham
child|3047562|M|ours	child	ours	M	6	6000000009404546601	Johan Tham	Q6206811	Peter Tham
child|3047562|M|ours	child	ours	M	6	6000000018515248045	Johan Fredrik Tham	Q6206811	Peter Tham
sibling|3047562|M|ours	sibling	ours	M	6	6000000010887013261	Peter Tham	Q6206811	Peter Tham
sibling|3047562|M|ours	sibling	ours	M	6	6000000018514741945	Alexander Tham	Q6206811	Peter Tham
sibling|3047562|M|ours	sibling	ours	M	6	6000000018515144351	Carl Gustaf Tham	Q6206811	Peter Tham
sibling|3047562|M|ours	sibling	ours	M	6	6000000018513807988	Carl Gustaf Tham	Q6206811	Peter Tham
sibling|3047562|M|ours	sibling	ours	M	6	6000000009404546601	Johan Tham	Q6206811	Peter Tham
sibling|3047562|M|ours	sibling	ours	M	6	6000000018515248045	Johan Fredrik Tham	Q6206811	Peter Tham
child|3047566|M|ours	child	ours	M	4	6000000010887013261	Peter Tham	Q6206811	Peter Tham
child|3047566|M|ours	child	ours	M	4	6000000018514741945	Alexander Tham	Q6206811	Peter Tham
child|3047566|M|ours	child	ours	M	4	6000000018515144351	Carl Gustaf Tham	Q6206811	Peter Tham
child|3047566|M|ours	child	ours	M	4	6000000018513807988	Carl Gustaf Tham	Q6206811	Peter Tham
sibling|3047566|M|ours	sibling	ours	M	4	6000000010887013261	Peter Tham	Q6206811	Peter Tham
sibling|3047566|M|ours	sibling	ours	M	4	6000000018514741945	Alexander Tham	Q6206811	Peter Tham
sibling|3047566|M|ours	sibling	ours	M	4	6000000018515144351	Carl Gustaf Tham	Q6206811	Peter Tham
sibling|3047566|M|ours	sibling	ours	M	4	6000000018513807988	Carl Gustaf Tham	Q6206811	Peter Tham
child|304855247150008288|M|ours	child	ours	M	3	6000000014363241687	Francisco de Faro	Q3291358	Fadrique de Portugal
child|304855247150008288|M|ours	child	ours	M	3	6000000014363393655	Fradique de Faro Bispo de Segovia y Sigüenza, Virrey de Cataluña y su Capitán	Q3291358	Fadrique de Portugal
child|304855247150008288|M|ours	child	ours	M	3	6000000014363498243	Antonio de Noronha clérigo	Q3291358	Fadrique de Portugal
sibling|304855247150008288|M|ours	sibling	ours	M	3	6000000014363241687	Francisco de Faro	Q3291358	Fadrique de Portugal
sibling|304855247150008288|M|ours	sibling	ours	M	3	6000000014363393655	Fradique de Faro Bispo de Segovia y Sigüenza, Virrey de Cataluña y su Capitán	Q3291358	Fadrique de Portugal
sibling|304855247150008288|M|ours	sibling	ours	M	3	6000000014363498243	Antonio de Noronha clérigo	Q3291358	Fadrique de Portugal
child|305505408250004454|F|ours	child	ours	F	2	6000000008087476264	Catharina Göransdotter Stiernsköld	Q112973925	Kaarina Yrjänäntytär
child|305505408250004454|F|ours	child	ours	F	2	6000000006127434135	Anna Göransdotter (Stiernsköld)	Q112973925	Kaarina Yrjänäntytär
child|306650341960001516|F|ours	child	ours	F	5	342142850370011892	Eunice Willard	Q93965551	Abigail Willard
child|306650341960001516|F|ours	child	ours	F	5	342147068290013721	Margaret Willard	Q93965551	Abigail Willard
child|306650341960001516|F|ours	child	ours	F	5	342147947390013732	Hannah Willard	Q93965551	Abigail Willard
child|306650341960001516|F|ours	child	ours	F	5	342151325420012967	Sarah Willard	Q93965551	Abigail Willard
child|306650341960001516|F|ours	child	ours	F	5	342150122060013708	Eunice Willard	Q93965551	Abigail Willard
sibling|311788525210007050|M|ours	sibling	ours	M	3	6000000028520161910	Edward	Q596134	Anton von Branconi
sibling|311788525210007050|M|ours	sibling	ours	M	3	6000000028520169005	Henry	Q596134	Anton von Branconi
sibling|311788525210007050|M|ours	sibling	ours	M	3	6000000028520008128	William Henry	Q596134	Anton von Branconi
sibling|312092994390004595|M|ours	sibling	ours	M	3	6000000028520161910	Edward	Q596134	Anton von Branconi
sibling|312092994390004595|M|ours	sibling	ours	M	3	6000000028520169005	Henry	Q596134	Anton von Branconi
sibling|312092994390004595|M|ours	sibling	ours	M	3	6000000028520008128	William Henry	Q596134	Anton von Branconi
child|3137485|M|theirs	child	theirs		1	6000000001164759909	Knut Rutencrantz	Q101247072	Gustav Gustavson i Hässle
child|314101746470005971|F|ours	child	ours	F	4	6000000196488368833	Ida Hedvig Karolina Charlotta Hörlin	Q123505760	Tekla Augusta Viktoria von Rosen
child|314101746470005971|F|ours	child	ours	F	4	6000000187539516845	Selma Maria Louise von Rosen	Q123505760	Tekla Augusta Viktoria von Rosen
child|314101746470005971|F|ours	child	ours	F	4	6000000187539971826	Agnes Ottilia Vilhelmina von Rosen	Q123505760	Tekla Augusta Viktoria von Rosen
child|314101746470005971|F|ours	child	ours	F	4	6000000187324899843	Maria Teresia* von Heijne	Q123505760	Tekla Augusta Viktoria von Rosen
child|314109907650001743|F|ours	child	ours	F	4	6000000196488368833	Ida Hedvig Karolina Charlotta Hörlin	Q123505760	Tekla Augusta Viktoria von Rosen
child|314109907650001743|F|ours	child	ours	F	4	6000000187539516845	Selma Maria Louise von Rosen	Q123505760	Tekla Augusta Viktoria von Rosen
child|314109907650001743|F|ours	child	ours	F	4	6000000187539971826	Agnes Ottilia Vilhelmina von Rosen	Q123505760	Tekla Augusta Viktoria von Rosen
child|314109907650001743|F|ours	child	ours	F	4	6000000187324899843	Maria Teresia* von Heijne	Q123505760	Tekla Augusta Viktoria von Rosen
child|323399779060006439|F|ours	child	ours	F	5	6000000002188416646	Juliette Marie Louise d'Ursel	Q75376858	Marie-Magdelaine d'Ursel
child|323399779060006439|F|ours	child	ours	F	5	6000000217893994632	Carola D’URSEL	Q75376858	Marie-Magdelaine d'Ursel
child|323399779060006439|F|ours	child	ours	F	5	6000000217893994640	Augustine D'URSEL	Q75376858	Marie-Magdelaine d'Ursel
child|323399779060006439|F|ours	child	ours	F	5	6000000217893994648	Marguerite D'URSEL	Q75376858	Marie-Magdelaine d'Ursel
child|323399779060006439|F|ours	child	ours	F	5	6000000002188416497	Marie Joséphine Madeleine d'Ursel	Q75376858	Marie-Magdelaine d'Ursel
child|323980878400001404|M|theirs	child	theirs		3	323983545690001427		Q76371779	Wilfred Alexander von Thyssen-Bornemisza
child|323980878400001404|M|theirs	child	theirs		3	323983545690001427		Q75296349	George Baron von Thyssen-Bornemisza
child|323980878400001404|M|theirs	child	theirs		3	323983545690001427		Q76332193	Lorne Baron Thyssen-Bornemisza de Kászon et Impérfalva
sibling|324517406800002850|M|ours	sibling	ours	M	2	6000000003179794031	Christian Ludvig Mansa	Q5975251	Jacob Henrik Mansa
sibling|324517406800002850|M|ours	sibling	ours	M	2	6000000021039018142	Jacob Henrik Mansa (C²) (E.M.1.) (R.St.Stan.2.)	Q5975251	Jacob Henrik Mansa
sibling|324517712290005475|M|ours	sibling	ours	M	2	6000000003179794031	Christian Ludvig Mansa	Q5975251	Jacob Henrik Mansa
sibling|324517712290005475|M|ours	sibling	ours	M	2	6000000021039018142	Jacob Henrik Mansa (C²) (E.M.1.) (R.St.Stan.2.)	Q5975251	Jacob Henrik Mansa
sibling|324807843790001589|M|ours	sibling	ours	M	2	6000000010192446278	Eochaid mac Domnaill Ard-rí na h'Éireann	Q5142154	Colcu mac Domnaill
sibling|324807843790001589|M|ours	sibling	ours	M	2	6000000000437198125	Colgu Macdomhnall	Q5142154	Colcu mac Domnaill
child|3279041|F|theirs	child	theirs		3	6000000056036401966	Grissell Hepburn	Q76001304	Agnes Hay
child|3279041|F|theirs	child	theirs		3	6000000056036401966	Grissell Hepburn	Q76001305	Christian Hay
child|3279041|F|theirs	child	theirs		3	6000000056036401966	Grissell Hepburn	Q76001311	Grissel Hay
child|328061367880007095|M|ours	child	ours	M	3	6000000098241849974	George Steptoe Washington	Q83437092	William Temple Washington
child|328061367880007095|M|ours	child	ours	M	3	6000000001180351910	William Temple Washington	Q83437092	William Temple Washington
child|328061367880007095|M|ours	child	ours	M	3	6000000002649969440	George Steptoe Washington Jr.	Q83437092	William Temple Washington
child|3303742|F|theirs	child	theirs		2	6000000013548220764	Antoinette Alexandrine Claudine Fitz-James	Q75360800	Antoinette Alexandrine Claudine de Fitzjames
child|3303742|F|theirs	child	theirs		2	6000000013548220764	Antoinette Alexandrine Claudine Fitz-James	Q98960454	Victorine Mangay de Hellering
sibling|3355261|M|ours	sibling	ours	M	3	3355414		Q75294270	Karl-Ludwig Felix Melchoir Prinz von Arenberg
sibling|3355261|M|ours	sibling	ours	M	3	3355493		Q75294270	Karl-Ludwig Felix Melchoir Prinz von Arenberg
sibling|3355261|M|ours	sibling	ours	M	3	3355476		Q75294270	Karl-Ludwig Felix Melchoir Prinz von Arenberg
child|336540115720011832|M|theirs	child	theirs		3	6000000020014390963	Archibald Erskine D.D	Q75772603	unknown son Erskine
child|336540115720011832|M|theirs	child	theirs		3	6000000020014390963	Archibald Erskine D.D	Q76015053	unknown son Erskine
child|336540115720011832|M|theirs	child	theirs		3	6000000020014390963	Archibald Erskine D.D	Q76061991	unknown son Erskine
child|337578418680004010|F|ours	child	ours	F	2	6000000000315843774	Carosa	Q4064906	Anastasia
child|337578418680004010|F|ours	child	ours	F	2	6000000000315923674	Anatasia	Q4064906	Anastasia
sibling|337578418680004010|F|ours	sibling	ours	F	2	6000000000315843774	Carosa	Q4064906	Anastasia
sibling|337578418680004010|F|ours	sibling	ours	F	2	6000000000315923674	Anatasia	Q4064906	Anastasia
child|343758628940005731|F|ours	child	ours	F	2	6000000204568972841		Q124284921	Agnes Uggla
child|343758628940005731|F|ours	child	ours	F	2	6000000204563532830		Q124284921	Agnes Uggla
sibling|344401615140012727|M|ours	sibling	ours	M	3	6000000012428524536	Willem Momma	Q40102598	Willem (Welam) Momma
sibling|344401615140012727|M|ours	sibling	ours	M	3	6000000006595720407	Niklas Momma	Q40102598	Willem (Welam) Momma
sibling|344401615140012727|M|ours	sibling	ours	M	3	6000000006595720419	Isaak Momma	Q40102598	Willem (Welam) Momma
sibling|346259024290014789|M|ours	sibling	ours	M	7	6000000002801479262	François Desaulniers	Q134985352	Isaac-Stanislas Lesieur-Désaulniers
sibling|346259024290014789|M|ours	sibling	ours	M	7	6000000002801479268	Isaac Stanislas Desaulniers	Q134985352	Isaac-Stanislas Lesieur-Désaulniers
sibling|346259024290014789|M|ours	sibling	ours	M	7	6000000002801479336	Odilon Desaulniers	Q134985352	Isaac-Stanislas Lesieur-Désaulniers
sibling|346259024290014789|M|ours	sibling	ours	M	7	6000000002801479342	Severe Desaulniers	Q134985352	Isaac-Stanislas Lesieur-Désaulniers
sibling|346259024290014789|M|ours	sibling	ours	M	7	6000000007120436201	Antoine Lesieur / Desaulniers	Q134985352	Isaac-Stanislas Lesieur-Désaulniers
sibling|346259024290014789|M|ours	sibling	ours	M	7	6000000214335780881	Isaac Lesieur Desaulniers	Q134985352	Isaac-Stanislas Lesieur-Désaulniers
sibling|346259024290014789|M|ours	sibling	ours	M	7	6000000214335780886	Antoine Lesieur Desaulniers	Q134985352	Isaac-Stanislas Lesieur-Désaulniers
child|347657700690011265|M|ours	child	ours	M	2	6000000014744969765	NN R1b1a1b1a1a2b (PF6570/S28/U152)	Q326712	Czcibor
child|347657700690011265|M|ours	child	ours	M	2	6000000006906495557	Cideborus Piast	Q326712	Czcibor
sibling|347657700690011265|M|ours	sibling	ours	M	2	6000000014744969765	NN R1b1a1b1a1a2b (PF6570/S28/U152)	Q326712	Czcibor
sibling|347657700690011265|M|ours	sibling	ours	M	2	6000000006906495557	Cideborus Piast	Q326712	Czcibor
child|347769507610012681|F|ours	child	ours	F	2	6000000033111920572	Emma Andelius	Q92268804	Emma Andelius
child|347769507610012681|F|ours	child	ours	F	2	6000000123751442832	Alma Broström	Q92268804	Emma Andelius
sibling|347769507610012681|F|ours	sibling	ours	F	2	6000000033111920572	Emma Andelius	Q92268804	Emma Andelius
sibling|347769507610012681|F|ours	sibling	ours	F	2	6000000123751442832	Alma Broström	Q92268804	Emma Andelius
sibling|347769631050013515|F|ours	sibling	ours	F	2	6000000033111920572	Emma Andelius	Q92268804	Emma Andelius
sibling|347769631050013515|F|ours	sibling	ours	F	2	6000000123751442832	Alma Broström	Q92268804	Emma Andelius
child|347803456540001332|F|theirs	child	theirs		1	6000000000769926059	Gunnhild Knutsdottir af Danmark	Q75386640	unknown daughter (?)
sibling|348198331680012678|M|ours	sibling	ours	M	3	6000000041802165083		Q3607116	Aimaro Isola
sibling|348198331680012678|M|ours	sibling	ours	M	3	6000000041801981702	Saverio Oreglia d'Isola e di Castina	Q3607116	Aimaro Isola
sibling|348198331680012678|M|ours	sibling	ours	M	3	349483564920011662		Q3607116	Aimaro Isola
sibling|348200053680011419|M|ours	sibling	ours	M	3	6000000041802165083		Q3607116	Aimaro Isola
sibling|348200053680011419|M|ours	sibling	ours	M	3	6000000041801981702	Saverio Oreglia d'Isola e di Castina	Q3607116	Aimaro Isola
sibling|348200053680011419|M|ours	sibling	ours	M	3	349483564920011662		Q3607116	Aimaro Isola
child|348889594040013469|M|theirs	child	theirs		3	6000000002205613665	Louis Holy Roman Emporer	Q4102952	Walo
child|348889594040013469|M|theirs	child	theirs		3	6000000002205613665	Louis Holy Roman Emporer	Q11934781	Manassès II de Dijon
child|348889594040013469|M|theirs	child	theirs		3	6000000002205613665	Louis Holy Roman Emporer	Q111367941	Hervé bishop of Autun
child|349364682420013503|M|ours	child	ours	M	2	6000000003098171074	Alexander Lindsay K.B.	Q75591936	Sir Alexander de Lindsay
child|349364682420013503|M|ours	child	ours	M	2	6000000003086887183	William de Lindsay	Q75591936	Sir Alexander de Lindsay
child|351261120140012823|M|ours	child	ours	M	2	351253967970010727	Ferdinand Cte d'Oultremont	Q136281761	Philippe, Comte d'Oultremont
child|351261120140012823|M|ours	child	ours	M	2	5578050330170056564	Philippe Eugène Félix Marie d'Oultremont	Q136281761	Philippe, Comte d'Oultremont
sibling|359660795510011158|M|ours	sibling	ours	M	6	359665967850011174	Erik Johan Grönlund	Q115281234	Conrad Grönlund
sibling|359660795510011158|M|ours	sibling	ours	M	6	358454421290002308	Conrad Grönlund	Q115281234	Conrad Grönlund
sibling|359660795510011158|M|ours	sibling	ours	M	6	359669055250011173	Abraham Grönlund	Q115281234	Conrad Grönlund
sibling|359660795510011158|M|ours	sibling	ours	M	6	307298647500008295	Jonas Edvard Grönlund	Q115281234	Conrad Grönlund
sibling|359660795510011158|M|ours	sibling	ours	M	6	359673332240007422	Nathanael Grönlund	Q115281234	Conrad Grönlund
sibling|359660795510011158|M|ours	sibling	ours	M	6	359673686990007430	Christofer Grönlund	Q115281234	Conrad Grönlund
sibling|3602493|F|ours	sibling	ours	F	2	6000000031046933882	Elisabeth	Q11696733	Elisabeth (II) of Pomerania
sibling|3602493|F|ours	sibling	ours	F	2	6000000006727790693	Elisabeth	Q11696733	Elisabeth (II) of Pomerania
