sv_title,qid,kind,geni_ids
Axel von Fersen,Q455071,person,6000000001515418125
Axel von Rosen,Q6079124,person,6000000015119243250
Baltzar von Platen (1898–1984),Q805827,person,6000000006127899214
Behm (släkt),Q5494071,family,
Behmer,Q10427712,family,
Bengt Reinhold Geijer,Q5754581,person,6000000008331521234
Benzelius,Q4890754,family,
Benzelstierna,Q56173375,family,
Berge Frondin,Q5745627,person,6000000020128505901
Bilberg,Q10429525,family,
Bildt (adelsätter),Q89536539,family,
Birger Fredrik Rothoff,Q6081414,unknown,
Björnram (adelsätter),Q10430742,family,
Bogeman,Q10432066,family,
Boije af Gennäs,Q4090354,unknown,
Bratt af Höglunda,Q10434874,unknown,
Brauner,Q10434909,family,
Braunerhielm,Q10434911,family,
Brita Behm,Q10435656,person,
Brita Catharina Lidbeck,Q4962004,person,
Brita Sophia De la Gardie,Q4944381,person,6000000016586458365
Bruncrona,Q10436338,family,
Brynolf Hesselgren,Q16649376,unknown,
Bunge (släkt),Q60823041,family,
Bungencrona,Q10437752,family,
Bure (adelsätt),Q10437812,family,
Burensköld,Q10437815,family,
Bureätten,Q4347640,family,
Bäfverfeldt,Q10438450,family,
Börje Cronberg,Q5613434,person,6000000007026278130
Carl Albrecht Rosenadler,Q6165670,unknown,
Carl August Ehrensvärd (1745–1800),Q1036858,person,6000000000122049006
Carl Aurivillius,Q1527696,person,6000000008390619113
Carl Birger Rutström,Q6084610,unknown,
Carl Bunge,Q19631559,person,
Carl Claes Mörner,Q6001555,person,6000000006127542348
Carl Erik Mannerheim,Q1814297,person,6000000000047267273
Carl Fredric Nordenskiöld den yngre,Q6014711,person,
Carl Fredrik Eneskjöld,Q16649175,unknown,
Carl Fredrik Piper (1700–1770),Q6161733,person,6000000001883008064
Carl Fredrik Weltzin,Q6235485,unknown,
Carl Georg Sparre,Q6184896,person,6000000010894303789
Carl Gripenhielm,Q5772257,person,
Carl Gustaf Boije,Q5580881,person,6000000011536457635
Carl Gustaf Bungencrona,Q5589965,unknown,
Carl Gustaf Indebetou,Q5823030,person,6000000008260592602
Carl Gustaf Mannerheim,Q2415388,person,6000000000047165787
Carl Gustaf Nordin,Q4993033,person,6000000012734454230
Carl Gustaf Spens (militär),Q6185468,person,
Carl Gustaf Spens (ämbetsman),Q6185472,person,
Carl Gustaf Wennerstedt,Q6235986,person,1552522
Carl Harald Strömfelt,Q19860752,person,6000000008650533822
Carl Hofverberg,Q5809299,unknown,
Carl Jesper Benzelius,Q5040378,person,6000000007306021857
Carl Johan Gyllenborg,Q5587236,person,6000000006127817165
Carl Johan Knös,Q5916183,person,
Carl Johan af Nordin,Q6015181,person,6000000012736122012
Carl Julius Bernhard von Bohlen,Q5580703,person,6000000006127985923
Carl Julius De la Gardie,Q5618770,person,6000000006127523477
Carl Lagerbring,Q5930909,person,6000000012597002570
Carl Leijell,Q5944894,unknown,
Carl Mörner (1792–1870),Q19828095,person,6000000006127570365
Carl Odelstierna,Q6022338,person,
Carl Olof Delldén,Q5702986,person,6000000070658376932
Carl Otto Lagercrantz,Q5930987,person,6000000007160673211
Carl Petter Törnebladh,Q6218068,person,6000000007858436950
Carl Reinhold Sahlberg,Q2361145,person,5580434788100067215
Carl Rinman,Q6164895,person,
Carl Schultén (1677–1730),Q6169558,person,
Carl Stellan Mörner,Q6001589,person,6000000011399399424
Carl Stridsberg,Q19976100,unknown,
Carl Wijnbladh,Q6241109,person,
Carl Wilhelm von Düben,Q5626148,person,6000000007680468910
Carl von Roland,Q6077169,unknown,
Carl von Rosenstein,Q930758,person,6000000009785836259
Carolina Weltzin,Q4990278,unknown,
Carolus Lithman,Q5960165,person,6000000007511893155
Casten Feif,Q5727161,unknown,
Catharina Bröms,Q4941089,person,6000000007756041590
Catharina Burea,Q16165426,person,6000000012526829690
Catharina Cederström,Q10443915,person,
Catharina Elisabet Grubb,Q4988599,person,
Cederberg,Q10444363,family,
Cedermarck,Q10444372,family,
Cederstråle,Q10444379,family,
Charlotta Aurora De Geer,Q4944366,person,6000000007753195350
Charlotta Berger,Q4938400,person,6000000020584191181
Charlotta Åkerhielm,Q4991042,person,
Charlotte Cederström,Q2965864,person,6000000006127529349
Charlotte Manderström,Q16595793,person,
Christiernus Alsinius,Q19976198,unknown,
Christina Piper,Q4972997,person,6000000000404695772
Christopher Falkengréen,Q5724521,person,6000000008979441405
Christopher Jacob Boström,Q821990,person,6000000010837141342
Claes Fredrik Horn af Åminne (1791–1865),Q5813639,person,6000000006127657041
Claes Julius Ekeblad,Q5706932,person,6000000008780306729
Claes Rålamb (landshövding),Q6086476,person,
Clerck,Q10455033,family,
Clo,Q10455257,family,
Cronberg,Q10461914,family,
Daniel Behmer,Q5568857,person,6000000006776755330
Daniel Djurberg (geograf),Q5622753,person,6000000172119806833
Daniel Melanderhjelm,Q5983613,person,6000000018625012640
David Ludvig Silfverstolpe,Q19976089,person,
David Wilhelm Silfverstolpe,Q6175942,person,6000000007510100335
De la Motte,Q10467383,unknown,
Detlof Heijkenskjöld den yngre,Q5797554,person,6000000011370804802
Djurklou,Q10474965,family,
Duwall,Q10477875,family,
Eberhard Zacharias Munck af Rosenschöld,Q6155408,person,
Edenberg,Q10479876,family,
Edvard Fredrik von Saltza,Q10480021,person,6000000012942583482
Ehrenstråhle,Q10480346,family,
Elgenstierna,Q10481361,family,
Elias Frondin,Q5745634,person,
Elias Palmskiöld,Q6034059,unknown,
Elias von Walcker,Q6229400,person,6000000007675744536
Elof Rosenblad,Q6079637,person,6000000006127907129
Elof Steuch,Q6330080,person,342032974900007076
Emanuel Rothoff,Q6081422,unknown,
Emanuel Swedenborg,Q185832,person,6000000006713354346
Emil Stjernvall-Walleen,Q6190771,person,6000000000840156453
Emil von Troil,Q6215508,unknown,
Eneskjöld,Q10484118,family,
Engelbert Halenius,Q5783613,person,6000000003770432103
Eric Alstrin,Q5547967,person,6000000038458872253
Eric Burman,Q5590407,person,6000000026433911361
Eric Melander,Q19976047,person,
Eric Michael Fant,Q5725105,person,6000000019344206446
Eric Nordewall,Q6014941,unknown,
Eric Samuel Sparre,Q6184934,person,6000000006127346098
Eric Waldius,Q16650560,unknown,
Eric af Palén,Q11858191,person,6000000007512032119
Erich Gustaf Boije,Q5580885,person,
Ericus Johannis Fluur,Q16649233,unknown,
Ericus Olai Plantin,Q16650154,person,6000000003374922780
Erik Benzelius den yngre,Q1340404,person,6000000006645331010
Erik Benzelstierna,Q5570923,person,
Erik Bergstedt,Q5573103,unknown,
Erik Eriksson Borgström,Q10487644,unknown,
Erik Eriksson Niurenius,Q6012886,unknown,
Erik Gustaf Johansson Boije,Q5580888,person,6000000006127120913
Erik Göran Adelswärd,Q5542628,person,6000000009401515923
Erik Odelstierna (1661–1704),Q6158199,person,6000000006783102821
Erik Odelström,Q19631563,person,6000000006783257558
Erik Reinhold Adelswärd,Q5542632,person,6000000009726668887
Erik Waller (biskop),Q6230837,person,
Eva Ekeblad,Q1393227,person,6000000006718066339
Eva Löwen,Q4989142,person,6000000011182671903
Fabian von Fersen (1762–1818),Q19312912,person,6000000008778928032
Fale Abrahamsson Burman,Q17154112,unknown,
Feif,Q10494520,family,
Floderus,Q10496895,family,
Forssell (släkt i Västerbotten),Q10498173,unknown,
Frans Michael Franzén,Q333297,person,6000000001005202384
Franz Berwald,Q217044,person,6000000018252392646
Fredensköld,Q10498688,family,
Fredric Philip Klingspor,Q5914160,person,6000000006127120320
Fredrica Linder,Q98545670,person,
Fredrik August Adelswärd,Q19975889,person,6000000006127732174
Fredrik Bogislaus von Schwerin,Q6170263,person,6000000007400284855
Fredrik Boije,Q5580892,person,6000000020865415341
Fredrik Cederborgh,Q5605481,unknown,
Fredrik Georg Strömfelt,Q6193512,person,6000000008650680292
Fredrik Johan Cederschiöld,Q5605651,person,6000000020086878142
Fredrik Magnus Cronberg,Q5499497,person,
Fredrik Olof Widmark,Q19977252,person,
Fredrik Otto Silfverstolpe,Q6175945,person,6000000019324978972
Fredrik Otto von Bilberg,Q5575852,unknown,
Fredrik Ribbing,Q6070068,person,6000000004310057362
Fredrik Rothoff,Q6081429,person,
Fredrik Tersmeden (militär),Q6206392,person,6000000013400608577
Fredrika von Kaulbars,Q4958366,person,
Furuhjelm,Q2337148,family,
Gabriel Hwasser,Q16649452,unknown,
Gabriel Marklin,Q5976894,person,6000000044191693814
Georg Brandt,Q473225,person,6000000008496890943
Georg Johan De Besche,Q15738101,unknown,
Georg Ludvig von Köhler,Q6145888,person,6000000002309876747
Georg Ulfsparre,Q6219193,person,
Germund Ludvig Cederhielm,Q5605565,person,6000000019149843256
Giertta,Q10504809,family,
Graan,Q10507753,family,
Gregorius Aminoff (1788–1847),Q5548897,person,6000000001502447400
Grubb,Q21492810,family,
Grubbenhielm,Q18242092,family,
Grundelstierna,Q10509113,family,
Gunilla Grubb,Q16185975,person,
Gustaf Adolf Lagerfelt,Q5931081,person,6000000008890247904
Gustaf Adolph Bruncrona,Q16945157,person,
Gustaf Benzelstierna,Q5570926,person,6000000007247592424
Gustaf Boije,Q5580894,unknown,
Gustaf Fredrik Linnerhielm,Q5959472,unknown,
Gustaf Fredrik von Rosen (1758–1815),Q6079275,person,6000000013143783109
Gustaf Fredrik Åkerhielm,Q6255155,person,6000000013400675492
Gustaf Harmens,Q5790728,person,6000000008831013351
Gustaf Knös,Q5916189,person,6000000021501491188
Gustaf Magnus Mallmin,Q5973407,unknown,
Gustaf Mauritz Armfelt,Q543935,person,6000000006127523501
Gustaf Thure Bielke,Q5575580,person,6000000001801796027
Gustaf af Nordin,Q10511089,person,
Gustaf de Laval,Q364270,person,6000000006429643351
Gustaf von Engeström,Q5712209,person,
Gustaf von Essen (1803–1874),Q10511031,person,6000000018736511969
Gustaf von Paykull,Q932770,person,6000000019273184653
Gustavus Hamilton,Q5621136,person,
Gyldenklou,Q10511293,family,
Gyllenkrook,Q10511328,family,
Gyllenållon,Q10511346,family,
Gösta Sandels (direktör),Q16650277,person,
Gösta Sandels (konstnär),Q6092385,person,6000000026306044337
Halenius,Q10516191,family,
Hallencreutz,Q10516375,family,
Hampus Mörner,Q6001608,person,6000000006127550611
Hampus Stellan Mörner,Q124606807,person,
Hans Fredrik Harald Strömfelt,Q19860753,person,
Hans Henric von Essen (1755–1824),Q657814,person,6000000012617406308
Hans Henrik Boije,Q5580899,person,
Hans Larsson (Björnram),Q5578329,person,
Harald Strömfelt (död 1707),Q19977123,person,
Harmens,Q10518133,family,
Hedda Piper,Q16596096,person,
Hedda von Fersen,Q3129338,person,6000000008778922864
Hedvig Amalia Charlotta Klinckowström,Q4959104,person,
Hedvig Catharina von Fersen,Q2066886,person,
Hedvig Sofia von Rosen,Q16596199,person,6000000012056862710
Hedvig Strömfelt,Q16596480,person,
Hedvig Ulrika De la Gardie,Q2075113,person,6000000006127523492
Heijkenskjöld,Q10519300,family,
Helena Maria Ehrenstråhle,Q4945900,person,6000000013173880845
Henning Adolf Gyllenborg,Q763053,person,6000000013296288034
Henning Mankell (tonsättare),Q329253,person,6000000010039794573
Henric Benzelius,Q692994,person,6000000007247681864
Henrik Gabriel Porthan,Q333651,person,6000000012069920227
Henrik Johan Nauckhoff,Q6003542,person,
Hising,Q10524548,family,
Hjulhammar,Q10524810,family,
Hugo Herman von Saltza,Q6090110,person,
Hugo Martin,Q5977879,person,6000000020984646082
Ihre,Q10534289,family,
Israel Hwasser,Q5818420,person,6000000019777574162
Israël Lagerfelt (1754–1821),Q5931099,person,6000000008887558053
Jacob Benzelius,Q1340357,person,6000000006645210002
Jacob Bure,Q15496569,person,
Jacob Burensköld,Q5590189,person,
Jacob De la Gardie,Q4157018,person,
Jacob Johan Tersmeden,Q6206408,person,6000000013175234469
Jacob Lagerstedt,Q5931530,unknown,
Jacob Nils Tersmeden,Q6206413,person,
Jacob von Engeström,Q5712215,person,
Jakob Bunge,Q5589950,person,6000000010230616079
Jakob Törnsköld,Q19977201,person,6000000007814473860
Jakob Wilhelm Sprengtporten,Q6185927,person,6000000008649800582
Jernfeltz,Q18243023,family,
Johan Adelswärd,Q5542622,person,6000000006127732217
Johan Anders Linder,Q5955392,person,6000000021334420003
Johan Anton Millén,Q5987411,unknown,
Johan Brauner (1712–1773),Q5585470,person,6000000009190508789
Johan Carl Strömfelt,Q27863581,person,6000000009366671365
Johan Diedric Duwall,Q5626081,unknown,
Johan Fredric Adelheim,Q5542574,person,6000000007293370456
Johan Graan,Q2490612,person,6000000007548029494
Johan Henning Gyllenborg,Q5779272,person,
Johan Hisinger,Q3450190,person,6000000011539184038
Johan Ihre,Q719983,person,6000000011116437821
Johan Jacob Burman,Q17154108,unknown,
Johan Liljencrantz,Q5951779,person,6000000013400899375
Johan Magnus af Nordin,Q6015299,person,
Johan Martin Reftelius,Q6066129,person,6000000026434836045
Johan Mathias von Engeström,Q5712230,person,
Johan Otto Nauckhoff,Q16649958,person,6000000013020967973
Johan Plantin,Q16650157,unknown,
Johan Rosenadler,Q6220177,unknown,
Johan Simmingsköld,Q20652898,unknown,
Johan Stålbom (kyrkoherde),Q16650417,unknown,
Johan Ture Bielke,Q5575588,person,
Johan Wilhelm Liljencrantz,Q5951795,person,6000000013400741602
Johan Wilhelm Palmstruch,Q921951,person,
Johan von Engeström (1743–1807),Q5712237,person,
Johan von Hermansson,Q5802518,person,6000000006127557446
Johan von Rosenheim,Q16650231,unknown,
Johannes Bureus,Q633094,person,6000000004334763223
Johannes Ilsbodinus,Q16649467,unknown,
Johannes Jacobi Bureus,Q5590208,person,
Johannes Johannis Anthelius,Q16158291,person,
Johannes Marci Bullernæsius,Q16649855,person,
Johannes Olai Gevaliensis,Q5757503,unknown,
Johannes Steuchius,Q552374,person,
Jonas Bure,Q5590143,person,6000000004032591603
Jonas Carl Linnerhielm,Q5959480,person,6000000013173980231
Jonas Genberg,Q16649271,person,
Jonas Petri Halenius,Q6045996,unknown,
Jonas Petri Linnerius,Q5959493,person,6000000007885223091
Jonas Stecksén,Q6187679,unknown,
Jägerskiöld,Q10541638,family,
Kalling (adelsätt),Q10542774,family,
Karl Sandels,Q6092396,person,6000000036292089942
Katarina Bure,Q4941223,unknown,
Kerstin Sandels,Q16596266,person,
Kewenbrinck,Q10545207,family,
Lagercreutz,Q10553208,family,
Lagerfelt,Q106766236,family,
Lagermarck,Q10553224,family,
Lagerstedt,Q10553228,family,
Lars Adolf Prytz,Q11874742,person,
Lars Augustin Mannerheim,Q5975022,person,6000000000047190401
Lars Benzelstierna (biskop),Q5570931,person,6000000011593945394
Lars Benzelstierna (mineralog),Q5570928,person,6000000006782861172
Lars Benzelstierna (äventyrare),Q5596616,unknown,
Lars Fredrik von Kaulbars,Q5903874,person,
Lars Georg Rabenius,Q6060350,person,6000000023896755915
Lars Grubbe,Q5773252,person,6000000107274459226
Lars Gustaf Tersmeden,Q6206421,person,6000000013175221906
Lars Wallenstedt,Q6230749,person,
Lars von Engeström,Q4992085,person,6000000008943401649
Lasse Olsson,Q5939340,person,
Laurentius Bureus,Q5590212,person,6000000024594396398
Laurentius Jonæ Halenius,Q5783620,person,
Laurentius Olai Gestricius,Q16650078,person,
Liljencrantz,Q10561667,family,
Lilljemarck,Q10561874,family,
Lindersköld,Q10562506,family,
Linnerhielm,Q10562845,family,
Louise Meijerfeldt,Q4966876,person,
Ludvig Manderström,Q4993034,person,
Magdalena Margareta Stenbock,Q19006898,person,
Magdalena Rudenschöld,Q4975813,person,
Magnus Adlerstam,Q5542901,unknown,
Magnus Aurivillius,Q5562579,person,6000000007025966290
Magnus Brahe (1790–1844),Q5584506,person,6000000009718220062
Magnus Fredrik Brahe,Q352296,person,6000000008649822236
Magnus Julius De la Gardie,Q4157020,person,6000000003579020143
Magnus Petri Grubb,Q136686501,person,
Magnus Stenbock (1763–1822),Q6188840,person,
Malla Silfverstolpe,Q546949,person,6000000009217333438
Malmerfelt,Q10576077,family,
Manderstierna,Q4280301,family,
Mankell (släkt),Q18244228,family,
Marcus Simming den yngre,Q16650340,unknown,
Marcus Simming den äldre,Q19977092,person,
Margaretha Heijkenskjöld,Q4953277,person,6000000017986416972
Martin Lundell (kyrkoherde),Q16649790,unknown,
Martinus Gestrinius,Q5757435,person,6000000007548228373
Martinus Olai Gestricius,Q5757422,person,
Martinus Olai Nycopensis,Q5978482,unknown,
Mathias Benzelstierna,Q1910650,person,
Mathias Rosenblad,Q4569362,person,6000000006128111121
Matthias Asp,Q5561270,person,6000000006979041910
Matthias von Hermansson,Q5802535,person,6000000006128046380
Mattias Steuchius,Q456456,person,6000000002797432088
Mauritz Klingspor,Q2624238,person,6000000006127108986
Michael Grubb,Q5773257,person,
Michael Törnflycht,Q6218214,person,6000000002933418844
Mikael Hising,Q5807131,person,6000000011532511759
Mikael von Törne (1726–1796),Q16650516,person,6000000008605117809
Mikael von Törne (1775–1854),Q16650517,person,6000000008605294394
Munck af Fulkila,Q4307528,unknown,
Munck af Rosenschöld,Q10590171,unknown,
Munck af Sommernäs,,unknown,
Munsterhjelm,Q10590350,family,
Mårten Bunge (1630–1694),Q108615842,person,6000000007755528298
Mårten Bunge (1764–1815),Q16945169,person,6000000138783072822
Mårten Kalling,Q19822796,person,
Nauckhoff,Q10595019,family,
Nicolaus Jacobi Bothniensis,Q16649477,person,6000000008394576487
Nicolaus Sternell,Q16650392,person,
Nils Abraham Bruncrona,Q16945159,person,6000000017424989989
Nils Adam Bielke,Q5575607,person,6000000001801755169
Nils Burensköld,Q5590194,person,6000000007277919295
Nils Gripenhielm,Q5772271,person,6000000011724781475
Nils Grubb,Q5773264,unknown,
Nils Gyldenstolpe (1799–1864),Q5779125,person,6000000007464308710
Nils Nordenskiöld,Q593706,person,6000000000446956140
Nils Rosenblad (1749–1827),Q6079648,person,6000000006127526943
Nils von Rosenstein,Q6080164,person,6000000009855557161
Nisbeth,Q10601249,family,
Odelstierna,Q10606793,family,
Odelström,Q10606795,family,
Odencrantz,Q10606801,family,
Odert Reinhold von Essen den yngre,Q5855920,person,
Olaus Abrahami Burman,Q16165504,unknown,
Olaus Laurentii Bure,Q16649630,unknown,
Olaus Martini,Q3881468,person,
Olaus Olai Nauclerus,Q16649961,person,
Olaus Petri Niurenius,Q10608167,person,6000000003110778492
Olaus Simonis Nauclerus,Q11993753,person,
Oliveblad,Q10609135,family,
Olivecrona,Q125636551,family,
Olof Andersson (Stockholms borgmästare),Q16496669,unknown,
Olof Andersson Knös,Q4225027,person,6000000021500080690
Olof Bidenius Renhorn,Q16650190,unknown,
Olof Broman,Q2021113,person,6000000078709755794
Olof Bure,Q26405863,person,6000000001218533012
Olof Hersesson,Q50368774,unknown,
Olof Ingelsson Rabenius,Q6060365,person,6000000017425518359
Olof Kolmodin den yngre,Q5918044,person,
Olof Kolmodin den äldre,Q3428167,person,6000000012648547676
Olof Nauclér,Q16649960,person,311815313480004654
Olof Pryss,Q6057321,person,6000000001208426544
Olof Riddercreutz,Q6071574,unknown,
Olof Stiernman,Q16945514,unknown,
Olof Törnflycht,Q6218220,person,6000000012056738350
Olof Wexionius,Q6238796,person,
Olof von Törne,Q6218062,person,
Otto August Cronhielm,Q5613471,person,
Otto Henrik Nordenskjöld,Q6014779,person,6000000001609127338
Otto Johan Lagerfelt,Q19976679,person,6000000008890203139
Otto Palmstierna,Q6034157,person,6000000008988776807
Otto Reinhold Klingspor,Q5914181,person,6000000006127120304
Otto Reinhold Strömfelt,Q2040261,person,6000000007014532346
Pehr Fabian Aurivillius,Q5562596,person,
Pehr Gustaf Cederschjöld,Q5605664,person,
Pehr Gustaf Svedelius,Q16650430,person,6000000014032409455
Pehr Kalling,Q5898100,person,6000000006127453696
Pehr Olof von Asp,Q5561282,person,
Pehr Sebastian Tham,Q6206805,unknown,
Pehr Svedelius,Q16650429,person,6000000019327213179
Pehr von Ehrenheim,Q5628179,person,6000000019271045023
Per Adlerheim,Q5542866,unknown,
Per Andersson Grubb,Q127270432,person,
Per Gustaf Linnerhielm,Q5959487,unknown,
Per Henrik Widmark,Q6240337,person,6000000009585266046
Per Reinhold Tersmeden (1751–1842),Q6206425,person,6000000007441921037
Peter Artedi,Q524071,person,6000000033257118889
Peter Munck af Rosenschöld,Q5996862,unknown,
Peter Niklas von Gedda,Q5754056,person,
Petrus Andreæ Grubb,Q5773273,person,
Petrus Cederschiöld,Q5605668,person,6000000007675721719
Petrus Kenicius,Q1345250,person,6000000002567020255
Petrus Stjernman,Q10625276,unknown,
Philip von Schwerin,Q15695135,person,
Plantenstedt,Q10632990,family,
Pontus Fredrik De la Gardie,Q5618800,person,6000000012159725691
Printzsköld,Q10638854,family,
Rabenius,Q10648281,family,
Ribbing af Koberg,Q10654708,unknown,
Riben,Q10654721,family,
Robert Henrik Rehbinder,Q2575818,person,6000000000909345046
Robert Magnus von Rosen,Q14554945,person,6000000050931739847
Roland Martin (jurist),Q135513404,person,6000000026092005226
Roland Martin (medicinare),Q5978038,person,1386522
Roland Olai Bure,Q16650076,unknown,
Rosenadler,Q10656947,family,
Rosenblad (adelsätt),Q7368538,family,
Rosenlindt,Q10657001,family,
Rutger Macklean,Q4992745,person,
Salomon Jakob Gyllenadler,Q19721216,person,
Salomon von Köhler,Q19721217,person,6000000002309876767
Samuel Andreæ Grubb,Q5773287,person,5105724209600128719
Samuel Aurivillius,Q5562598,person,6000000007318765242
Samuel Chydenius,Q5698210,person,6000000054235169012
Samuel Gustaf Hermelin,Q3462736,person,6000000011700742344
Samuel Nauclér,Q6003576,person,
Samuel Pryss,Q16650163,person,6000000001720825110
Samuel Schillerfelt,Q126419662,person,
Samuel Schröderstierna,Q6169398,person,
Samuel Skragge,Q19977097,unknown,
Samuel Troilius,Q1168365,person,6000000007442688545
Samuel af Ugglas,Q3946660,person,6000000013286633067
Scheffer,Q10663211,family,
Schönström (adelsätt),Q10663845,family,
Segerfelt,Q18245689,family,
Silfversparre,Q10667784,family,
Simmingsköld,Q10668036,family,
Simon Isogaeus,Q16649472,unknown,
Simon Melander,Q19976772,person,
Snack,Q10672604,family,
Sophie Piper,Q469962,person,1551393
Sophie von Knorring,Q450795,person,
Sprengtporten,Q10676574,family,
Stackelberg,Q6298451,family,
Sten Carl Bielke,Q362485,person,6000000008403251632
Steuch,Q10679560,family,
Stiernfelt eller Grubbe,Q10679818,unknown,
Stiernheim,Q18246093,family,
Stiernhielm,Q10679820,family,
Stina Piper,Q4973002,person,6000000008649644785
Stina Sandels,Q4976863,person,6000000042115980532
Strömfelt,Q6980636,family,
Sture (friherrlig ätt),Q10682444,family,
Svart (släkt),Q10684385,family,
Sven Bunge,Q5589959,person,
Sveno Nicolai Bothniensis,Q19976342,unknown,
Thore Petre,Q6045829,person,4983826543490109811
Thure Gustaf Rudbeck (1714–1786),Q6082455,person,6000000003580303855
Tigerklou,Q10697823,family,
Torsten Rudenschöld,Q6082697,person,6000000007985537209
Törnebladh,Q10708200,family,
Törnflycht,Q10708211,family,
Törnsköld,Q10708225,family,
Törnstierna,Q10708227,family,
Ulfhielm,Q10708697,family,
Ulla Adlerfelt,Q3426850,person,
Ulrik Gustaf De la Gardie,Q5618813,person,6000000006127907767
Ulrika Eleonora von Düben,Q4945294,person,6000000006329684570
Ulrika Strömfelt,Q4989818,person,6000000044151433054
Uno von Troil,Q943803,person,6000000002811012188
Vilhelm Hising,Q5807136,person,6000000006127951020
Vilhelm von Rosenheim,Q16650232,unknown,
Von Asp,Q10716748,family,
Von Gavel,Q10716775,family,
Von Günthersberch,Q821250,family,
Von Kaulbars,Q1960694,family,
Von Kiörning,Q10716790,family,
Von Krassow,Q1445123,family,
Von Köhler,Q4219077,family,
Von Nolcken,Q2026284,family,
Von Prinzencreutz,Q10716812,family,
Von Roland,Q10716817,family,
Von Rosenheim,Q10716819,family,
Von Saltza,Q827241,family,
Von Stierneman,Q10716833,family,
Von Troil,Q10716839,family,
Von Törne,Q10716840,family,
Von Vicken,Q10716843,family,
Von der Osten genannt Sacken,Q479231,family,
Wennerstedt,Q10719602,family,
Wijnbladh,Q10720033,family,
Wilhelm Erik Svedelius,Q6197780,person,6000000019361833914
Wilhelm Hisinger,Q900478,person,6000000004138124294
Wilhelm Tornérhjelm,Q6213731,unknown,
Wudd,Q10720719,family,
Wärnschöld,Q10720761,family,
Zacco,Q10724041,family,
Zacharias Hæggström,Q5819456,person,6000000078585591829
Zacharias Olai Plantin,Q16650156,unknown,
Åke Rålamb,Q6166560,person,6000000009889929969
