qid	roster_name	geni_ids	geni_names
Q95161949	Izumo no Otoyama	6000000227334262869	Otoyama 26 Izumo
Q95161959	Izumo no Masukata	6000000227331968828	Masakata 27 Izumo
Q135579375	Izumo no Kunikami	6000000227334396821	Kunikami 28 Izumo
Q135579376	Izumo no Kuninari	6000000227334231868	Kuninari 29 Izumo
Q135579377	Izumo no Hitonaga	6000000227331711977	Hitonaga 30 Izumo
Q135579378	Izumo no Kanemutsu	6000000227334291838	Kanemutsu 32 Izumo
Q135579379	Izumo no Chikuni	6000000227334372830	Chikuni 31 Izumo
Q135579380	Izumo no Tabito	6000000227331940846	Tabito 33 Izumo
Q135579381	Izumo no Toyomochi	6000000227331882876	Toyomochi 34 Izumo
Q135579382	Izumo no Tokinobu	6000000227331950830	Tokinobu 35 Izumo
Q135579384	Izumo no Tsunesuke	6000000227331989821	Tsunesuke 36 Izumo
Q135579385	Izumo no Ujihiro	6000000227331939856	Ujihiro 36 Izumo
Q135579386	Izumo no Harutoshi	6000000227331884904	Harutoshi 38 Izumo
Q135579387	Izumo no Yoshitada	6000000227331885873	Yoshitada 39 Izumo
Q135579388	Izumo no Kuniaki	6000000227331789887	Kuniaki 40 Izumo
Q135579389	Izumo no Kunitake	6000000227331619947	Kunitake 41 Izumo
Q135579391	Izumo no Yukikane	6000000227331796880	Yukikane 42 Izumo
Q135579394	Izumo no Munefusa	6000000227334351847	Munefusa 43 Izumo
Q135579395	Izumo no Kanemune	6000000227331915821	Kanemune 44 Izumo
Q135579396	Izumo no Kaneie	6000000227334274865	Kaneie Izumo
Q135579397	Izumo no Kanetada	6000000227331730867	Kanetada 45 Izumo
Q11382323	Sasaki Tametoshi	6000000012561575227	
Q135579398	Izumo no Kanetsune	6000000227334361840	Kanetsune 46 Izumo
Q135579399	Izumo no Munetaka	6000000227331623962	Munetaka 47 Izumo
Q7424985	Sasaki Hideyoshi	6000000012561014967	
Q135579400	Izumo no Takafusa	6000000227331729891	Takafusa 48 Izumo
Q4806168	Sasaki Yoshikiyo	6000000012561210538	
Q135579402	Izumo no Takatsuna	6000000227331840857	Takatsuna 49 Izumo
Q11382304	Sasaki Yasukiyo	6000000001753971014	Yasukiyo Jiro Sasaki
Q135579404	Izumo no Masataka	6000000227331607945	Masataka 50 Izumo
Q18236076	En'ya Yoriyasu	6000000012562003977	Yoriyasu En'ya
Q135579406	Izumo no Yoshitaka	6000000227331852838	Yoshitaka 51 Izumo
Q135579407	Izumo no Yasutaka	6000000019403016022	Yasutaka 52 Izumo-kokuso
Q135579409	Izumo no Takatoki	6000000019459698488	Takatoki Izumo-kokuso
Q135579410	Hiraoka no Sadataka	6000000019459238863	Sadataka Hiraoka
Q135579411	Higashitakakage	6000000019459424477	Takakage Azuma
Q135579414	Izumo no Kiyotaka	6000000019460072018	Kiyotaka Izumo
Q135579415	Senge no Takamune	6000000019459773306	Takamune Senge
Q135579416	Kitajima no Sadataka	6000000019459854230	Sadataka Kitajima
Q135579418	Higashitokitaka	6000000227331611963	Tokitaka Azuma
Q135579420	Senge no Naokuni	6000000019459924115	Naokuni Senge
Q135579421	Kitajima no Yoshitaka	6000000227335094894	Yoshitaka 56 Kitajima
Q135579423	Higashitakataka	6000000227331845853	Takataka Azuma
Q135579424	Ookuma no Hiro	6000000227334843823	Ujihiro Okuma Senge
Q135579425	Kitajima no Yukitaka	6000000227335131944	Yukitaka 57 Kitajima
Q135579434	Higashisadayori	6000000227331888821	Sadayori Higashi
Q135579441	Senge no Takakuni	6000000019459850459	Takakuni Senge
Q135579447	Kitajima no Takataka	6000000227335301867	Takataka 58 Kitajima
Q135579454	Higashitakanori	6000000227331694933	Takanori Higashi
Q135579455	Senge no Mochikuni	6000000019459881225	Mochikuni Senge
Q135579457	Kitajima no Yoshitaka	6000000227335324856	Yoshitaka 59 Kitajima
Q135579462	Higashiyasunori	6000000227331577978	Yasunori Higashi
Q135579463	Takaoka no Shigeyasu	6000000227331730906	Shigeyasu Takaoka
Q135579464	Senge no Naonobu	6000000019459822378	Naonobu Senge
Q135579466	Kitajima no Masataka	6000000227335360837	Masataka 60 Kitajima
Q135579470	Higashianatsuu	6000000227331719906	Anatsuu Higashi
Q135579471	Senge no Takatoshi	6000000019459119872	Takatoshi Senge
Q135579472	Senge no Takakatsu	6000000227334759839	Takakatsu 62 Senge
Q135579475	Kitajima no Hidetaka	6000000227335366839	Hidetaka 61 Kitajima
Q135579476	Senge no Naokatsu	6000000227334350078;6000000227335699823	Naokiyo Hiraoka | Naokatsu 63 Senge
Q135579477	Senge no Yoshikatsu	6000000227331762828	Yoshikatsu 64 Senge
Q135579478	Senge no Toyotoshi	6000000019460177052	Toyotoshi Senge
Q135579481	Senge no Yoshihiro	6000000227331756829	Yoshihiro 65 Senge
Q135579483	Higashiyoshiakira	6000000227331698934	Yoshiakira Higashi
Q135579485	Kitajima no Hisataka	6000000227335155963	Hisataka 62 Kitajima
Q135579486	Higashisadanobu	6000000227331690912	Sadanobu Higashi
Q135579487	Senge no Motokatsu	6000000227335415836	Motokatsu 66 Senge
Q135579488	Kitajima no Hirokatsu	6000000227335430822	Hirokatsu 63 Kitajima
Q135579490	Higashinobutoshi	6000000227331674896	Nobutoshi Higashi
Q135579491	Senge no Takanou	6000000227335444826	Takanou 67 Senge
Q135579492	Kitajima no Harutaka	6000000227335378827	Harutaka 64 Kitajima
Q135579493	Senge no Munetoshi	6000000227331623899	Munetoshi 71 Senge
Q135579494	Senge no Takafusa	6000000227331605900	Takafusa 69 Senge
Q135579495	Senge no Naoharu	6000000227331698868	Naoharu 70 Senge
Q135579496	Senge no Takamitsu	6000000227335353899	Takamitsu 68 Senge
Q135579497	Kitajima no Tsunetaka	6000000227335430827	Tsunetaka 65 Kitajima
Q135579498	Senge no Toyomasa	6000000227331674921	Toyomasa 73 Senge
Q135579499	Senge no Toyomi	6000000227331577963	Toyomi 74 Senge
Q135579500	Higashisadatsune	6000000227331650867	Higashisadatsune Senge
Q135579501	Senge no Hiromitsu	6000000227335472827	Hiromitsu 72 Senge
Q135579502	Kitajima no Kanetaka	6000000227335397826	Kanetaka 66 Kitajima
Q135579503	Kitajima no Michitaka	6000000227335299879	Michitaka 67 Kitajima
Q135579505	Senge no Toshikatsu	6000000227331729823	Toshikatsu 75 Senge
Q135579506	Kitajima no Naotaka	6000000227335344839	Naotaka 68 Kitajima
Q135579508	Senge no Toshihide	6000000227331690863	Toshihide 76 Senge
Q135579509	Kitajima no Yoritaka	6000000227335339873	Yoritaka 69 Kitajima
Q135579511	Senge no Takanori	6000000227331536905	Takanori 77 Senge
Q135579512	Kitajima no Akitaka	6000000227335337887	Akitaka 70 Kitajima
Q135579513	Kitajima no Okitaka	6000000227335008051	Okitaka 72 Kitajima
Q135579514	Kitajima no Yoritaka	6000000227335376843	Yoritaka 73 Kitajima
Q135579515	Senge no Takamago	6000000227331651878	Takamago 78 Senge
Q135579516	Kitajima no Nobutaka	6000000227335365856	Nobutaka 71 Kitajima
Q135579517	Kitajima no Zentaka	6000000227335365861	Zentaka 74 Kitajima
Q135579518	Senge no Takasumi	6000000227331591841	Takasumi 79 Senge
Q11405449	Senge Takatomi	6000000227331651847	Takatomi 80 Senge
