step,geni_id,name,born,qid,action,component
80,6000000004997607271,Iver Axelsen Juul til Villestrup og Lundbæk,1563,Q110154731,already on Wikidata,1116499
81,6000000001504741364,Maren Maltesdatter Sehested,1561,Q110154738,already on Wikidata,1116499
82,6000000008340355269,Sophie Clausdatter Bille,1529,Q110154742,already on Wikidata,1116499
83,5667846312780113020,Anne Maltesdatter Sehested,1554,Q111989137,already on Wikidata,1116499
84,5149418213010139402,"Jørgen Ovesen til Odden, Birkelse og Hessel",1577,Q6321529,already on Wikidata,1116499
85,6000000001504256100,Margrethe Jørgensdatter Lunge (Dyre),1616,Q116775733,already on Wikidata,1116499
86,6000000000212178557,Christen Albretsen Skeel,1603,Q104784714,already on Wikidata,1116499
87,6000000011661117606,Birgitte Skeel till Gamla Kjögegård,1638,Q4969197,already on Wikidata,1116499
88,6000000004380428757,Knud Ottesen Thott til Gavnø,1639,Q6209563,already on Wikidata,1116499
89,6000000004364276266,Jytte Dorothea Knudsdatter Gyldenstierne,1617,Q110303951,already on Wikidata,1116499
90,6000000004362531040,Øllegaard Jacobsdatter Huitfeldt,1582,Q110303963,already on Wikidata,1116499
91,6000000003462294757,Karen Knudsdatter Gyldenstierne,1605,Q110549377,already on Wikidata,1116499
92,6000000004380417018,Tage Ottesen Tott til Skabersjø,1580,Q12338717,already on Wikidata,1116499
93,6000000008959864719,Sophie Ottesdatter Brahe,1556,Q56029,already on Wikidata,1116499
94,6000000002525465512,Beate Clausdatter Bille til Allinde,1526,Q2917684,already on Wikidata,1116499
95,6000000002936566207,Axel Ottesen Brahe,1550,Q3430350,already on Wikidata,1116499
96,6000000006910675540,Sophie Axelsdatter Brahe,1578,Q3429184,already on Wikidata,1116499
97,6000000004380261996,Jørgen Holgersen Rosenkrantz til Kjeldgaard,1607,Q6080027,already on Wikidata,1116499
98,6000000001921191638,Jens Jørgensen Rosenkrantz af Rosenholm,1640,Q12319454,already on Wikidata,1116499
99,6000000001921401608,Dorte Mogensdatter Friis-Frijsenborg,1654,Q110304133,already on Wikidata,1116499
100,6000000004533774983,"Mogens Nielsen Friis-Frijsenborg Vadskjærgaard, Frisenborg m.m.",1623,Q5744644,already on Wikidata,1116499
101,6000000004533774969,Dorte Mogensdatter Gyldenstierne til Restrup,1602,Q110304662,already on Wikidata,1116499
102,6000000005736754159,Hedvig Ebbesdatter Ulfeldt,1550,Q110303316,already on Wikidata,1116499
103,6000000002503678686,Lene Mogensdatter Gyldenstierne,1588,Q110303302,already on Wikidata,1116499
104,6000000006128193473,Helle Holgersdatter Rosenkrantz til Gavnø og Vemmetofte,1618,Q110303163,already on Wikidata,1116499
105,6000000006128193458,Nils Trolle till Trolleholm,1599,Q6517115,already on Wikidata,1116499
106,6000000006128193446,"Birger Trolle af Bergkvara til Bråde, til Hersomgaard, Trolholm & Tvisholm",?,Q110303268,already on Wikidata,1116499
107,6000000006128193414,Niels Jacobsen Trolle af Bergkvara til Braade,1520,Q110303271,already on Wikidata,1116499
108,6000000001948601679,Kirsten Herlufsdotter Skave,1476,Q104550458,already on Wikidata,1116499
109,6000000001901996517,Herluf Trolle,1516,Q573244,already on Wikidata,1116499
110,6000000001901927592,Birgitte Mogensdatter Gøye,1511,Q4916317,already on Wikidata,1116499
111,6000000002920667882,"Mogens Eskildsen Gøye til Krenkerup, Torbenfeld, Clausholm, Løgismose m.m.",1470,Q5780827,already on Wikidata,1116499
112,6000000002929678457,Mette Eriksdatter Rosenkrantz,1456,Q12326846,already on Wikidata,1116499
113,6000000000780481382,Sofie Henriksdatter Gyldenstjerne til Boller,1430,Q96240747,already on Wikidata,1116499
114,6000000000294659189,Anna Mogensdatter Munk,1400,Q96240756,already on Wikidata,1116499
115,6000000000725170698,Knud Henriksen Gyldenstierne til Restrup og Ivernæs,1420,Q5779081,already on Wikidata,1116499
116,6000000000725159715,Henrik Knudsen Gyldenstjerne,1455,Q50804829,already on Wikidata,1116499
117,6000000002325798114,Karen Bentsdatter Bille,1456,Q110303313,already on Wikidata,1116499
118,6000000000781629074,Bent Torbjörnsson Torbernsson Bille til Egede-Søholm,1424,Q110549451,already on Wikidata,1116499
119,6000000002517621586,Torbern Bille,1399,Q15621898,already on Wikidata,1116499
120,6000000000944955419,Inger Torbernsatter Torbernsdatter Galen,1370,Q96240770,already on Wikidata,1116499
121,5002939941520048424,Torben Pedersen Pedersen Galen til Lyngbygaard,1340,Q96240771,already on Wikidata,1116499
122,6000000001827572230,Peder Torbernsen Torbernsen Galen,1298,Q96240772,already on Wikidata,1116499
123,5101278036720043911,Torben Jonsen Jonsen,1265,Q110549525,already on Wikidata,1116499
124,5101289224620044006,Jon Jonsen Lille til Tommerup,1248,Q116150298,already on Wikidata,1116499
125,305332989800002467,Cecilie Ebbesdatter Hvide,1157,Q116150300,already on Wikidata,1116499
126,6000000003166417414,Ebbe Sunesen Hvide,1145,Q16063657,already on Wikidata,1116499
127,4947248545210089938,Bengta Ebbesdotter Ebbesdatter Galen Queen of Sweden,1170,,create,
128,6000000003491193955,"Sverker II ""the Younger"" Karlsson King of Sweden",1164,Q365072,already on Wikidata,1116499
129,6000000003491071836,Ingegerd Birgersdotter (Bjälboätten),1180,Q2718143,already on Wikidata,1116499
130,6000000001169174151,Brigida Haraldsdotter Gille of Norway,1130,Q2925391,already on Wikidata,1116499
131,6000000001169124236,Magnus Henriksson II of Sweden,1130,Q856159,already on Wikidata,1116499
132,6000000001669615869,Ingrid Ragnvaldsdatter Rögnvaldsdóttir,1105,Q438469,already on Wikidata,1116499
133,6000000001024948055,Margarite Arnesdotter Stovreim,1132,Q101248137,already on Wikidata,1116499
134,6000000008779271234,Filippus Simonsson Simonsson,1155,Q887965,already on Wikidata,1116499
135,6000000008779231604,Kristin Sverresdatter av Norge,1190,Q3480086,already on Wikidata,1116499
136,6000000001251580171,Margareta Eriksdotter av Norge,1155,Q1991150,already on Wikidata,1116499
137,4181250114820035915,Eric Jedvardsson of Sweden IX,1120,Q310152,already on Wikidata,1116499
138,6000000004533679272,Katarina Eriksdotter Blaka,1154,Q4958289,already on Wikidata,1116499
139,6000000009649571091,Kristina Nikulasdotter Blaka,1175,Q4959919,already on Wikidata,1116499
140,6000000001669618094,Håkon Folkvidsson Galen,1170,Q967845,already on Wikidata,1116499
141,6000000004327387126,Cecilia Sigurdsdatter,1155,Q1052410,already on Wikidata,1116499
142,6000000001052543006,Bárðar Skúli Guttormsson,1150,Q1019325,already on Wikidata,1116499
143,6000000003645734140,Ingeborg Bårdsdotter (Rein),1194,Q19375604,already on Wikidata,1116499
144,6000000002325844350,Erling Alvsson,1230,Q5717887,already on Wikidata,1116499
