bearers	have	create_counterpart
12	Jonesdatter	Jonesen
12	Håvardson	Håvardsdotter
12	Fredrikson	Fredriksdotter
12	Christianson	Christiansdotter
11	Øysteinsson	Øysteinsdotter
11	Tørressen	Tørressdatter
11	Torstenson	Torstensdotter
11	Torgrimson	Torgrimsdotter
11	Torbjornsdatter	Torbjornsen
11	Tjærandson	Tjærandsdotter
11	Oddsson	Oddsdotter
11	Nikolaison	Nikolaisdotter
11	Munson	Munsdotter
11	Kåresson	Kåresdotter
11	Halvardsdotter	Halvardsson
11	Hallsteinsdatter	Hallsteinsen
11	Haldorsson	Haldorsdotter
11	Haakonsdatter	Haakonsen
11	Gulleiksdatter	Gulleiksen
11	Grimsson	Grimsdotter
11	Finnsdatter	Finnsen
11	Enevaldson	Enevaldsdotter
11	Bergson	Bergsdotter
11	Berendsen	Berendsdatter
11	Arnfinnson	Arnfinnsdotter
11	Alvsdatter	Alvsen
11	Absalonsen	Absalonsdatter
10	Þorgeirsson	Þorgeirsdotter
10	Villumsdatter	Villumsen
10	Tobiassen	Tobiassdatter
10	Tjølson	Tjølsdotter
10	Tarjeisson	Tarjeisdotter
10	Taralsdatter	Taralsen
10	Syvertsen	Syvertsdatter
10	Svalesdatter	Svalesen
10	Sunesen	Sunesdatter
10	Sjovatson	Sjovatsdotter
10	Ragnarsson	Ragnarsdotter
10	Paulson	Paulsdotter
10	Omundson	Omundsdotter
10	Mickelsson	Mickelsdotter
10	Markussen	Markussdatter
10	Lassesdatter	Lassesen
10	Kristoffersdotter	Kristoffersson
10	Kristiansdotter	Kristiansson
10	Josefson	Josefsdotter
10	Gunderson	Gundersdotter
10	Eivindsson	Eivindsdotter
10	Eilefson	Eilefsdotter
10	Eggertsdatter	Eggertsen
10	Børresdatter	Børresen
10	Asbjørnsson	Asbjørnsdotter
10	Amundson	Amundsdotter
9	Øyusen	Øyusdatter
9	Ulvsson	Ulvsdotter
9	Torbernsdatter	Torbernsen
9	Tjerandson	Tjerandsdotter
9	Thoresson	Thoresdotter
9	Påvelsson	Påvelsdotter
9	Philipson	Philipsdotter
9	Paalsen	Paalsdatter
9	Nosson	Nosdotter
9	Mortensdotter	Mortensson
9	Monssen	Monssdatter
9	Josephsson	Josephsdotter
9	Josefsdatter	Josefsen
9	Ingebrigtson	Ingebrigtsdotter
9	Gullikson	Gulliksdotter
9	Grjotgardsson	Grjotgardsdotter
9	Gautesson	Gautesdotter
9	Gauteson	Gautesdotter
9	Garmansdatter	Garmansen
9	Erlandsen	Erlandsdatter
9	Erickson	Ericksdotter
9	Enevaldsdatter	Enevaldsen
9	Egilsson	Egilsdotter
9	Brynjulfson	Brynjulfsdotter
9	Brandsson	Brandsdotter
9	Bergeson	Bergesdotter
9	Arntson	Arntsdotter
9	Alison	Alisdotter
8	Østensdotter	Østensson
8	Åsmundson	Åsmundsdotter
8	Wolfson	Wolfsdotter
8	Tostenson	Tostensdotter
8	Tomassen	Tomassdatter
8	Thorvaldsson	Thorvaldsdotter
8	Tarjeisdatter	Tarjeisen
8	Sveinungsdatter	Sveinungsen
8	Steinsson	Steinsdotter
8	Steinson	Steinsdotter
8	Sigtryggsson	Sigtryggsdotter
8	Palnesen	Palnesdatter
8	Osen	Osdatter
8	Nilssøn	Nilssdatter
8	Melchiorsdatter	Melchiorsen
8	Kjetilsdotter	Kjetilsson
8	Justsen	Justsdatter
8	Isachsen	Isachsdatter
8	Ingebrigtsson	Ingebrigtsdotter
8	Håvardsson	Håvardsdotter
8	Hennekesdatter	Hennekesen
8	Halldorson	Halldorsdotter
8	Gustavson	Gustavsdotter
8	Eyvindsson	Eyvindsdotter
8	Eskilsson	Eskilsdotter
8	Erlendsdatter	Erlendsen
8	Cortsen	Cortsdatter
8	Corfitzsøn	Corfitzsdatter
8	Christiansson	Christiansdotter
8	Brynjulvsson	Brynjulvsdotter
8	Brynjulvsdatter	Brynjulvsen
8	Brigtson	Brigtsdotter
8	Bertilsson	Bertilsdotter
8	Algotsson	Algotsdotter
8	Albretson	Albretsdotter
7	Villumsdotter	Villumsson
7	Tjerandsson	Tjerandsdotter
7	Thorson	Thorsdotter
7	Thorolfsson	Thorolfsdotter
7	Swanson	Swansdotter
7	Svendsdotter	Svendsson
7	Sigmundsson	Sigmundsdotter
7	Sevatsdatter	Sevatsen
7	Salveson	Salvesdotter
7	Salmundsdotter	Salmundsson
7	Roaldson	Roaldsdotter
7	Philippson	Philippsdotter
7	Olssen	Olssdatter
7	Offesen	Offesdatter
7	Nikolaisdatter	Nikolaisen
7	Mstislavsdatter	Mstislavsen
7	Mikjellson	Mikjellsdotter
7	Lassen	Lassdatter
7	Ketilsdatter	Ketilsen
7	Jørundsson	Jørundsdotter
7	Jørundson	Jørundsdotter
7	Holgersdotter	Holgersson
7	Hendrichsdatter	Hendrichsen
7	Heineson	Heinesdotter
7	Gudrødsson	Gudrødsdotter
7	Garmanson	Garmansdotter
7	Finnsson	Finnsdotter
7	Fartegnsdatter	Fartegnsen
7	Erlendsson	Erlendsdotter
7	Ellingsdotter	Ellingsson
7	Dagsdatter	Dagsen
7	Chesson	Chesdotter
7	Böðvarsson	Böðvarsdotter
7	Brynjulfsson	Brynjulfsdotter
7	Bondesdatter	Bondesen
7	Bergsdatter	Bergsen
7	Bendixson	Bendixsdotter
7	Augustinussen	Augustinussdatter
7	Antoniussen	Antoniussdatter
7	Alfredsen	Alfredsdatter
7	Aleksandersen	Aleksandersdatter
7	Adriansdatter	Adriansen
7	Aadneson	Aadnesdotter
6	Ølversson	Ølversdotter
6	Ølverson	Ølversdotter
6	Åmundson	Åmundsdotter
6	Ågesdatter	Ågesen
6	Vincentsson	Vincentsdotter
6	Vikingson	Vikingsdotter
6	Victorsson	Victorsdotter
6	Ulfsen	Ulfsdatter
6	Torkjellson	Torkjellsdotter
6	Torkellson	Torkellsdotter
6	Torkellsdatter	Torkellsen
6	Tollefsdotter	Tollefsson
6	Thorkelsson	Thorkelsdotter
6	Stevenson	Stevensdotter
6	Steinsdatter	Steinsen
6	Skoftesson	Skoftesdotter
6	Sjovatsdatter	Sjovatsen
6	Rolfsdatter	Rolfsen
6	Ringsson	Ringsdotter
6	Reierson	Reiersdotter
6	Ottoson	Ottosdotter
6	Olasdotter	Olasson
6	Olaisdatter	Olaisen
6	Oddmundson	Oddmundsdotter
6	Mikkelsdotter	Mikkelsson
6	Magnesdatter	Magnesen
6	Levinson	Levinsdotter
6	Joensdotter	Joensson
6	Jeremiassen	Jeremiassdatter
6	Iverson	Iversdotter
6	Ingemarsdotter	Ingemarsson
6	Ingebriktson	Ingebriktsdotter
6	Hanssøn	Hanssdatter
6	Hallsson	Hallsdotter
6	Gyrdsson	Gyrdsdotter
6	Gerhardsen	Gerhardsdatter
6	Georgsen	Georgsdatter
6	Frodesson	Frodesdotter
6	Fridleifsson	Fridleifsdotter
6	Fanuelsdatter	Fanuelsen
6	Enoksdotter	Enoksson
6	Engelbrechtsdatter	Engelbrechtsen
6	Clementsen	Clementsdatter
6	Claussen	Claussdatter
6	Christenson	Christensdotter
6	Benedictsen	Benedictsdatter
6	Arvesen	Arvesdatter
6	Arnórsdóttir	Arnórsson
6	Arnbjørnsdatter	Arnbjørnsen
6	Anderssøn	Anderssdatter
6	Amundsson	Amundsdotter
6	Alvsson	Alvsdotter
6	Alanson	Alansdotter
6	Abelsøn	Abelsdatter
6	Aamundson	Aamundsdotter
5	Ásgeirsson	Ásgeirsdotter
5	Vilsen	Vilsdatter
5	Vikingsson	Vikingsdotter
5	Vermundsdatter	Vermundsen
5	Ulvsdatter	Ulvsen
5	Torgrimsson	Torgrimsdotter
5	Thuesen	Thuesdatter
5	Thormodsen	Thormodsdatter
5	Thorkildsdatter	Thorkildsen
5	Sæbjørnsson	Sæbjørnsdotter
5	Sæbjørnsdatter	Sæbjørnsen
5	Sunesdotter	Sunesson
5	Stigsdotter	Stigsson
5	Sigvardsdatter	Sigvardsen
5	Saxesen	Saxesdatter
5	Rolandsson	Rolandsdotter
5	Roaldsson	Roaldsdotter
5	Rison	Risdotter
5	Reidarsson	Reidarsdotter
5	Ragnvaldson	Ragnvaldsdotter
5	Ottarsson	Ottarsdotter
5	Oskarsen	Oskarsdatter
5	Oscarsson	Oscarsdotter
5	Orson	Orsdotter
5	Olaussen	Olaussdatter
5	Oddmundsdatter	Oddmundsen
5	Nicolaysen	Nicolaysdatter
5	Michelsson	Michelsdotter
5	Macsen	Macsdatter
5	Ljødeson	Ljødesdotter
5	Lagesdotter	Lagesson
5	Kollson	Kollsdotter
5	Kolbeinsson	Kolbeinsdotter
5	Kolbeinsdatter	Kolbeinsen
5	Jøgersen	Jøgersdatter
5	Johnsdotter	Johnsson
5	Jesperson	Jespersdotter
5	Hågensen	Hågensdatter
5	Hrolfsson	Hrolfsdotter
5	Hoskuldsen	Hoskuldsdatter
5	Holmsen	Holmsdatter
5	Holmgersson	Holmgersdotter
5	Hersesdotter	Hersesson
5	Hendriksen	Hendriksdatter
5	Hemmingsen	Hemmingsdatter
5	Haroldsson	Haroldsdotter
5	Gudbrandsdatter	Gudbrandsen
5	Fartegnson	Fartegnsdotter
5	Esgesdatter	Esgesen
5	Esen	Esdatter
5	Erlendson	Erlendsdotter
5	Engelbertsson	Engelbertsdotter
5	Emmikesdatter	Emmikesen
5	Eindridesson	Eindridesdotter
5	Eilivson	Eilivsdotter
5	Edmondson	Edmondsdotter
5	Ditlefsdatter	Ditlefsen
5	Dansson	Dansdotter
5	Christofferson	Christoffersdotter
5	Christensson	Christensdotter
5	Brynjulfsdatter	Brynjulfsen
5	Bosdotter	Bosson
5	Bodvarsson	Bodvarsdotter
5	Berthelsen	Berthelsdatter
5	Benjaminsen	Benjaminsdatter
5	Bassen	Bassdatter
5	Baggesdatter	Baggesen
5	Baardsson	Baardsdotter
5	Audunson	Audunsdotter
5	Asgautsen	Asgautsdatter
5	Albrechtson	Albrechtsdotter
5	Akselsson	Akselsdotter
5	Akselsdatter	Akselsen
5	Agnarsson	Agnarsdotter
5	Adamsson	Adamsdotter
5	Adamson	Adamsdotter
5	(son	(sdotter
