round	slot	from_geni	from_fs_id	ours_unmatched	theirs_unmatched
1	child	6000000002572728015	L6MJ-PM7	6000000005049046245	GPJH-BLH;GQ79-KLB;KVL6-L5J;LD3S-FWF;LKLY-CGM;MR8L-LFZ
1	child	6000000004870612250	GYQ7-ZPD	6000000003095080182	G39W-LCD;GM9C-Z7D;KNWB-8S7;L4S2-QNP;LRTT-MDL
1	child	6000000002461246164	L8WY-WD4	6000000208333314826;6000000001068387165	9HT5-QDP;LZB4-2C7
1	child	6000000002224457876	LDSV-P4D	5104803485940063952	GT3W-VKD;LHG4-N8V;P6G8-7FX
1	child	4573114	LDMT-HMZ	6000000001745033558;6000000016948836802;4273985	G4PH-JHN;L4BB-Z8Y;LY6V-8G3;PXXK-RTS
1	child	6000000002214625732	9CZV-2KJ	6000000003726054418;6000000005767888778;6000000078216322748;6000000002214147382	KFX1-BZD;LDW5-JN2
1	spouse	6000000001441509684	KT4G-S84	6000000011511306547;6000000003232503455;6000000120648964948	2MRF-3P5
1	child	6000000001441509684	KT4G-S84	6000000003726141100;6000000001441184437	9HPT-832
1	child	6000000001199952528	LDSS-LKR	6000000001200091331;6000000010018784061;6000000003645683752;6000000001169186154	G9JM-FD8;GTHZ-VK5;L1SG-91Z
1	child	6000000178275437038	PNMB-MKW	6000000177921459052;6000000177920500890;6000000178116652845	PNMB-3YK
1	child	6000000001821187530	933H-W94	6000000004696096351;6000000036190717593	G1QT-Q7Z;PS8C-YMK
1	child	2915061	LZDH-NFR	6000000001169157426;6000000000333911909	LD9Y-CW9
1	child	6000000009432315864	L8M6-YW7	6000000007807958435;6000000009437417889;6000000002265626776;6000000005599170844	93W4-WLG;KDQN-9MB;LVKC-K29
1	child	6000000039622000739	GL3P-RNN	6000000039622384013	GHWM-5JB;GLQW-CWN;GQCT-SVT;LTB3-5MS;P87R-FQT
1	child	6000000011078918407	PNMB-9FS	6000000011078726908;6000000039229563859;6000000227891680354	LRDZ-9HG
1	spouse	6000000001770214435	LZ46-4QK	6000000002893390182;6000000025498328093	9QLT-N13
1	spouse	6000000003714562119	MBMH-FJ9	6000000010483213276;6000000003232561048	GRZW-T2Z
1	child	6000000003714562119	MBMH-FJ9	6000000001544508860;6000000006727885898;6000000002198417233;6000000006727888669	LW3Q-K6B;PC8F-759
1	spouse	6000000000157358561	L8WB-MRH	6000000003726379301	GF1V-MQJ
1	child	6000000000013017126	LZ19-924	6000000004093135189;6000000002236872569;6000000001061869741;6000000003243167090	9HYC-SJ9;LTYC-DNP;LZ61-F76
1	spouse	4294404046250042543	L8YY-5PB	6000000004581478776;6000000000701222815;6000000003494660055	G8CD-HZD;GX2W-98H;L8YY-5R4;P6KX-TQS
1	spouse	6000000001045491041	LHXT-LR1	6000000003608919348	GBHK-J8F
1	child	6000000001045491041	LHXT-LR1	6000000001045369865;6000000001065449177;6000000001065274497;6000000058426507420;6000000003665048100;6000000001084436332;6000000012120495693	9W46-QD7;PF5N-4N4;PH7P-1KZ
1	spouse	6000000010211396295	9HTX-2CD	6000000003243318255;6000000000424732334;6000000001517866371;6000000003852730222	G39Q-HBK;GC3K-NKR
1	child	6000000010211396295	9HTX-2CD	6000000003243318225;6000000002043178550;6000000002043260623;6000000108707343948;6000000009432364977;6000000009438007766;6000000003346840239;6000000051796261036;6000000006906534035	KDQW-JTJ;LDS9-GTK;LRWM-NZ8
1	child	6000000002441720163	LBTD-DM3	6000000004903076002;6000000009305017764;6000000011507187733;6000000000695580826;6000000183390232821	9QS2-17L;GBLX-B5X;GGBN-4Y1;L7BY-YNR;P6KT-XJH
1	spouse	6000000002043263529	LDH1-G9D	6000000001744855801	GFSJ-QBN;PF5F-K1K
1	child	6000000001210528003	L8MB-C1W	6000000020170789302;6000000004828308499;6000000004690032329;6000000010455043218;6000000007151701497	GMYD-2BG;K8KP-Z6V;LZ84-SKX;MM4T-S8N
1	spouse	6000000003051169829	PWVP-JW8	6000000003051190270	G9PT-KBL;P9X6-VKJ
1	child	6000000003051169829	PWVP-JW8	6000000000250474120;6000000000796834346;6000000031759286871	GM42-NKN;LKPK-BRX;LY2K-XFK;LYKR-PZ6
1	spouse	6000000000437044109	KFLJ-TW7	6000000002315770064;6000000110500057853	L5YR-XC6;PMGD-X2F
1	spouse	6000000001169157385	LTXV-1JH	6000000001351760995	2RB7-W7V;LB2S-LKH
1	child	6000000001169157385	LTXV-1JH	6000000001169186893;6000000009802316945;6000000001169186884	GNWQ-J48;LTZX-636;P3BM-4NJ
1	child	5328189268700111491	G571-41Z	6000000007220506333;6000000003562237688	G74V-NM6;GQJF-TGN;GSZD-FG4;GZC1-NW6;P9X6-11N;P9XX-SS5
1	child	6000000002572701505	G4R4-R4H	6000000005607672589;6000000002550225209	9VS1-P15;G8SH-5JM;G8SH-VQY;LKM3-NTN;LKM3-NVC
1	child	6000000015889703785	P3XK-J52	6000000007220506333;6000000003562237688	G74V-NM6;GQJF-TGN;GSZD-FG4;GZC1-NW6;P9X6-11N;P9XX-SS5
1	child	6000000026451976732	GJPV-ZKP	6000000034997493109;6000000072064004861	GJPK-S4L;GJPV-GT2;GJPV-WG3;GZKF-BZH;GZKP-VVW;KZ3J-97F;L87K-4L2;L87K-4PK;L87K-4RF;L87K-4YM;L87K-C7P;L87K-CW1;L87K-H34;L87K-H4X;L87K-HDS;L87K-HJX;L87K-HTQ;L87K-HVT;MQ9W-N8V
1	child	6000000001827582117	LZ6S-D5L	6000000002893842118;6000000003464481815;6000000002945762130;6000000002340018754;6000000000902929755;6000000092681965878;6000000009627843197;6000000000902771771;6000000092681965862	2CY8-ZPY;2S22-RCK;G64K-DCQ;G64K-H5Q;G64K-ZP7;KNXD-V3H;L7PH-Q44;L8QL-QCT;LZXM-NYG;MZ6X-M51
1	spouse	6000000002274610910	L8W6-443	347803456540001332	MZHR-SKP
1	child	6000000004397805952	L13J-RCK	6000000003243185408;6000000003243447736;6000000003087151411;6000000198063534821	G8SK-C2S;GKC7-9MN;LY6N-18C
1	spouse	6000000000768917054	LBLP-Q79	6000000012782693932;6000000002188307669	PFJW-3W3
1	child	6000000000768917054	LBLP-Q79	6000000001593972605;6000000008643949504;6000000008538354447;6000000009351635651;6000000007294636415;6000000007294527770;6000000012782919528	GLZT-RZW;L8PY-4GW;MKG4-RM3;PF9F-TTC
1	child	6000000005154005003	LDSS-ZMW	6000000001744991593	LDSS-ZMJ;LY2R-ZK5;P4RG-4NB
1	spouse	6000000000701225368	L8WB-M2R	4644828;6000000001355774849	LZ8K-B1V
1	child	6000000000701225368	L8WB-M2R	6000000000549937047;6000000009551073062;6000000006906517066;6000000002311622834;6000000001632206444;6000000008580475991	G52S-JVC;GSXP-LM6;MH8P-93W
1	child	6000000005416616842	LD91-ST3	6000000001745033558;6000000016948836802	G4PH-JHN;L4BB-Z8Y;LY6V-8G3;PXXK-RTS
1	spouse	6000000000559404221	9CS3-646	6000000002174688133;6000000002174688278;6000000003403245880;6000000002904890464;6000000001563248849;6000000000440064763;6000000002931039490;6000000002172910183;6000000008481458843;6000000000171354745;6000000009915682642	GSBW-JNG;L66G-XS3;L825-5W4;PFY1-31F
1	child	6000000003051107855	2CNB-WKW	6000000001323894516;6000000010744785348;6000000019762100136;6000000040887614871;6000000010744819527;6000000002480182464;6000000001796431461;6000000003219766810;6000000002187755707;6000000000437170596	9CNW-MJY;G4YC-M63;GQG1-6TS;KZ4C-CR9;LZD1-94T;LZNZ-B7Q;P7VH-2F6;PXMS-8WM
1	spouse	6000000000011361541	MSZC-Z12	6000000000728657032	MFDV-SRR
1	child	6000000000011361541	MSZC-Z12	6000000002106275821;6000000002322298434;6000000000936707348;6000000000436601091;6000000002187891690;6000000001544473926;6000000008248188593;6000000188120938843;6000000188120264868;6000000000460957316;6000000012570458646	GRHX-K9S;GX6H-RKQ;L19S-RGW;L7BY-5LB;LDWL-NG9;LWVM-XM5;LYRC-TCB;P9Y2-ZV6;PXQT-S4G
1	spouse	6000000002713142517	LZFD-SD8	6000000008266067033	GT4F-TXW;PS46-182
1	child	6000000002713142517	LZFD-SD8	6000000006997472376;347871934200012670;6000000028868133962;6000000000685943239;4355819343220054580;6000000203344660835;6000000221892194098	GN6X-2ZY;GT4F-YJT;GTZK-18D;M726-HM7
1	child	6000000002979868893	LCPG-8Q9	6000000013097783884;6000000003086996239;362164304500001795;6000000003087173499;6000000003087173515;6000000000759679062;6000000092681009145	GZSZ-M9K;LF8V-ZQJ;LH1Y-NLV;LYR1-PNZ
2	father	6000000005417076176	L8YY-5HK	6000000003714580449	9CXC-B7Y;PN3S-BKM
2	child	6000000005417076176	L8YY-5HK	6000000001169088300;285601342810004065	LB23-C6T;MQ92-CT6;PN33-8QJ;PQN7-81P;PSJF-5B2
2	child	6000000003378081904	G7NJ-FCN	6000000011890709134;6000000011890727071;6000000072805227004;6000000141150042824;6000000076909579442;6000000076909493576	GM63-JVM;GPJH-NKB;GSVR-49Q;K2MG-GMD;L1RV-5KC;LVQ4-YJF
2	child	6000000005864637017	LDW5-FB6	6000000006906624436;6000000004192129567;6000000002187845246;6000000006442576107;6000000006442576070;6000000004287490622;6000000006442576209;6000000039390418512;6000000006906624617	G5P8-T1K;GBLD-ZBR;GQGR-WRJ;K8Y4-QHG;LCTX-HKP;MD76-4HZ
2	child	6000000000350890660	LB63-39R	6000000000770904326;6000000002408876196	GTZP-8VX
2	child	5287530087430075153	LD38-423	6000000018359459040;6000000009610055424;6000000018522471842;6000000018526702686;6000000002187757413	9496-LZX;PF9Y-C39
2	child	6000000001156548028	L1W1-M5G	6000000002240813932;6000000002135641769;6000000003243450018;6000000003243450025;6000000003243450032;6000000001655362535;6000000000628840508	93XX-V7M;9HVG-F7X;G177-KBG;GKY6-5BT;KH7R-3NW;MQ6H-1KM;P6X3-XF7;PZ5Y-XCX
2	spouse	6000000005910721929	9ZZL-PZY	4258970970100070152	99SD-Z4Q
2	child	6000000005910721929	9ZZL-PZY	6000000013127367142;6000000001544403322	LDSS-6CT;P3WH-H24
2	child	6000000005870356001	GX7F-XSZ	6000000005869553008;6000000002187690275	GP35-8WH;GR4R-F7X;L2SJ-2P1;LYZH-4RG;M5DP-69W
2	child	6000000000125394145	9CCY-L2W	6000000005599009107;6000000008031078223;6000000001563284308	L25G-FKQ
2	child	6000000001744815307	93T9-M9Z	6000000001501062142;6000000001501062166;6000000002043195964;6000000022539550668	9CD3-VYR;GZ24-S9T;GZ2W-B21
2	child	6000000002240801938	LRM1-QF5	6000000004696096351;6000000036190717593	G1QT-Q7Z;PS8C-YMK
2	child	6000000001050631452	LTW1-ZVD	6000000001137197188;6000000001827582083;6000000001169160076	G86H-Z3C;GG8T-2CR;LXM8-Q1G
2	child	6000000046941506825	9CDZ-Q8X	6000000000460957316;6000000012570458646	GX6H-RKQ;LDWL-NG9;LYRC-TCB
2	child	6000000000599365568	LD91-95N	6000000004287328111;6000000008177274797	G14M-G1G;G1SD-2PS;MCLW-CKN
2	child	6000000001381395280	LVD6-PLK	6000000006100782310;6000000000759893323;6000000002188028224;6000000207879268834	G1WC-MCM;PXG3-7R6;PXG3-MBN
2	child	6000000001828950711	G64G-CVS	6000000000782957036;6000000215853093822;6000000007735882694	2S35-87Q;G7PH-6XH;KCYH-F6W;KHYS-7BQ;L225-RG4
2	child	6000000007635631030	GLX4-X45	6000000007636368233;6000000013366236618;6000000007635997491;6000000002893861691;6000000024592073944;6000000024592470914;6000000003464260121	GWRZ-YDM;KCDK-M9L;KZKD-M7N;LZ67-N1L
2	child	6000000002441723192	LDSS-6H5	6000000013127367142;6000000001544403322	LDSS-6CT;P3WH-H24
2	child	3953135291130122872	LYVQ-999	6000000009551073062;6000000006906517066	G52S-JVC;GSXP-LM6
2	child	6000000003645832264	L8W6-ZVQ	6000000009328621508;6000000006442576280;6000000006442576298	KFVP-R4Y;LHZL-2SS
2	child	4224136108080121326	LZLV-QGZ	6000000001744835577;6000000003232558818	G2R6-W46
2	child	6000000010120948699	LR37-798	6000000004648710083;6000000116678931842	L2HL-63G;L6BB-8HF
2	child	6000000010506987053	LZ8D-9DK	6000000016573961565;6000000003171498734	PXML-4FZ
2	child	6000000204756670829	GHLZ-26K	6000000002006298745	L89V-BYC;LT4M-634
2	child	6000000039470976848	LDPY-RQZ	6000000036530369433;6000000007288687962;6000000043374860900	PHDL-DBF
2	child	6000000015841751013	GZFW-9Q6	6000000015588793241	GB2F-678;GBLP-1J2;GBTX-7JT
2	child	6000000001744837976	PNS2-6T6	6000000005758041019;6000000006906464210;6000000007316332923	LDHS-DWJ
2	child	6000000004827276873	L8WB-D2Z	6000000001169088300	MQ92-CT6;PN33-8QJ
2	child	6000000059500489866	LDJK-36M	6000000059499436981	LV5J-XL4
2	spouse	6000000003858710950	LDSM-QNV	6000000000460957316	LRMQ-JWY
2	child	6000000010455043218	LZ84-SKX	6000000000307274628;6000000019514406932	G65L-QST;LB5S-FN5;LD91-P63
2	child	5473900875460120094	L8TJ-56P	6000000032825011257;6000000003098183195;6000000002512272519	KDQN-WXX;LZDB-Z8M
2	child	6000000005587789441	L8WY-7T9	6000000001544508860;6000000006727885898;6000000002198417233;6000000010484567715	LW3Q-K6B;PC8F-759
2	child	6000000026452727404	LZ59-5HK	6000000034997493109	GJPK-S4L;GJPV-WG3;GZKF-BZH;GZKP-VVW;KZ3J-97F;L87K-4L2;L87K-4PK;L87K-4RF;L87K-4YM;L87K-C7P;L87K-CW1;L87K-H34;L87K-H4X;L87K-HDS;L87K-HJX;L87K-HTQ;L87K-HVT;MQ9W-N8V
2	spouse	6000000000738376486	L1RP-F94	6000000013097558655	MDRD-XKZ
2	child	6000000000738376486	L1RP-F94	6000000013097710421;6000000013097782273;6000000013097537612;6000000013097504825;6000000013097483697	LTD6-9R1
2	child	6000000177921458863	G8PW-127	6000000021653156982;6000000021652413708;6000000021652495549;6000000021651310257	G8CT-KQ2;G8P4-3ZQ;G8P4-9CX;G8P4-9DF;G8P4-MH8;G8PN-SGK;G8PW-B5D;G8PW-BHY;G8WB-T1Z;L4N2-R6J
2	spouse	6000000002266231326	LDSV-PC1	6000000002266243417	GG3J-2F1
2	child	6000000002266231326	LDSV-PC1	6000000002266382242;5104803485940063952;6000000027436840604;6000000000141490482	G1H2-WBC;GC4C-QMW;GT3W-VKD;LHG4-N8V;P6G8-7FX;PZ2F-ZLK
2	child	6000000038245360914	L8SC-C1N	6000000002006298745	L89V-BYC;LT4M-634
2	child	6000000001669654269	9W1F-TP6	6000000000437684735;6000000175158578770	GZYR-F4T
2	child	6000000000758079676	L6L1-BHL	6000000002017898070;6000000001137197188;6000000001827582083;6000000001169160076;6000000002893611154	G86H-Z3C;GG8T-2CR;GG8T-RHZ;GVBG-Y22;LCM4-NB4;LCM4-NYR;LXM8-Q1G
2	child	6000000002893736112	GZF7-Y6N	6000000015588793241	GB2F-678;GBLP-1J2;GBTX-7JT
2	child	6000000001172213829	PC6L-75N	6000000033244662476;6000000184626790276;6000000020991767741	GYPV-PM5;L1Y7-TRY;LD91-SRS;LYXW-T67;PZ66-KHT;PZDC-3RT;PZDC-CCX;PZDC-DSM;PZDC-RDX;PZDZ-9MV
2	spouse	6000000013446125614	LV7M-MT9	6000000004533182670;6000000004148982567	GXQJ-T8C
2	spouse	6000000006111890476	KZ48-P15	6000000001745058525	LBW5-7NC;PNMH-Q4K
2	child	6000000006111890476	KZ48-P15	6000000001500916569;6000000000437188168;6000000004261999057;6000000003827590997	GLD4-H7Y;GVZB-63W;L1Q2-3Q3;PCP6-6ZN
2	spouse	6000000006906506405	9HPQ-N9H	6000000010468967513;6000000183840393838	P6YY-S37
2	child	6000000002893824744	9K4K-WPT	6000000007401330590;6000000021806995688;6000000031472037479	GJJS-S7M;KP7J-Y6N;LY4P-5QG;LY4P-TT4;LY4P-Y6Z
2	child	4921273998360102568	P9JR-7RG	6000000004648710083;6000000116678931842	L2HL-63G;L6BB-8HF
2	child	5473900890130120000	G3TC-Q79	6000000032825011257;6000000003098183195;6000000002512272519	KDQN-WXX;LZDB-Z8M
2	child	6000000003852730222	G39Q-HBK	6000000009438007766;6000000003346840239;6000000051796261036;6000000006906534035	LDS9-GTK;LRWM-NZ8
2	child	6000000000768942057	LYJ7-NW3	6000000001593972605;6000000008643949504;6000000008538354447;6000000009351635651;6000000007294636415;6000000007294527770	GLZT-RZW;L8PY-4GW;MKG4-RM3;PF9F-TTC
2	child	6000000004533384157	L2Z5-9TF	6000000004533384265	GX9W-2VR;GX9W-3PL;GX9W-CP2
2	spouse	6000000003146957188	LDMT-RFL	6000000000112096314	9HZQ-S28
2	child	6000000003146957188	LDMT-RFL	6000000002187818550;6000000001745028784;6000000002187582129;6000000005598851961;6000000004533176833	G9D8-61Q;L27B-32Z
2	child	6000000059484164993	9HNB-M2J	6000000174148503119;6000000072056618009	G3RL-FPV;L87X-CSB;L87X-H4K;L87X-H9M;L87X-HBL;L87X-HV6
2	child	6000000001209415397	LDMB-Q59	6000000003665048100;6000000012120495693	9W46-QD7;PF5N-4N4
2	child	6000000002553705444	GNQ7-MN4	6000000006906428390	GLMJ-F9X
2	child	6000000000424570082	LBDX-4LG	6000000004533156860;6000000006727957273;6000000031442360921;6000000002988281970;6000000039632930821	L41W-ZCJ;L8BS-QXY
2	child	6000000002176661888	PW9B-SP3	6000000000768857361;6000000013462518524	LD91-95X
2	child	6000000000172095492	GWDP-YVK	6000000011890709134;6000000011890727071;6000000072805227004;6000000141150042824;6000000076909579442;6000000076909493576	GM63-JVM;GPJH-NKB;GSVR-49Q;K2MG-GMD;L1RV-5KC;LVQ4-YJF
2	child	6000000000624307198	LTFJ-P8P	6000000003108752547;6000000016832130277;6000000183463096827	G4SQ-YDS;LVDZ-CCV
2	child	6000000005406630017	LDSS-ZCS	6000000004533156860;6000000006727957273;6000000031442360921;6000000002988281970;6000000039632930821	L41W-ZCJ;L8BS-QXY
2	child	6000000018832085528	LDSM-4M1	6000000002198790315;6000000002198739364;6000000003243309971;6000000004903076002;6000000009305017764;6000000011507187733;6000000000695580826;6000000183390232821	9QS2-17L;GGBN-4Y1;L7BY-YNR;P6KT-XJH
2	child	6000000059500038071	GTHH-193	6000000059499436981	LV5J-XL4
2	child	6000000006727871963	LBNJ-3C7	6000000003243185408;6000000003243447736;6000000003087151411;6000000198063534821	G8SK-C2S;GKC7-9MN;LY6N-18C
2	child	6000000000444676198	9C72-WGJ	6000000003726054418;6000000005767888778;6000000078216322748;6000000002214147382;6000000006101348746;6000000166551454918;6000000166550225258;6000000166550410165;6000000166551498830;6000000166549121317;6000000166551257004;6000000134707954838	KFX1-BZD;LDW5-JN2
2	child	6000000000424686458	LZSJ-4MJ	6000000007151075155;6000000002188179904;6000000002187891625;6000000002187891724;6000000000559573962;6000000002187891752	G41C-NNQ;GWVD-ZF7;LHTD-RSR
2	child	6000000001789016114	MYBX-C2G	4444414873460026285;6000000003827618989;6000000002188261663	G6RX-6V9;GW7K-BYR;PHB5-HKR
2	child	6000000005229750431	GSX8-53N	6000000001501062142;6000000001501062166;6000000002043195964;6000000022539550668	9CD3-VYR;GZ24-S9T;GZ2W-B21
2	child	6000000002043186152	L8MP-T1Y	6000000003637326803;6000000000437389491;6000000001531210036;6000000000437348772;6000000000424629314	GCNR-2XC;LDSK-NZJ;LY39-ZNJ
2	child	6000000001669640549	LJLK-967	6000000001935619159;6000000010688104602;6000000010743398478;6000000010743262172;6000000021276322805;6000000021276649992;6000000021276285714	GTCZ-XK3;GTH8-M3B;GTHZ-6H7;GTJC-M3N;GTJH-53J;L16Z-RZW;L5GS-PD1
2	spouse	6000000000537043368	LBDD-T2H	6000000002043219318	K417-PHT
2	child	6000000000537043368	LBDD-T2H	6000000034012569271;6000000034012855005	GPXB-KFY
2	child	4647274	9H6Q-VVW	6000000003494707647;6000000012899995749	LDHS-6S3
2	child	6000000004556835744	G4B1-4C5	4283171256960046465;6000000006290739194;6000000028279165225;6000000204967123861;6000000207541647954	GGJJ-69M;LZCR-5M2
2	child	6000000001052011900	LZX2-BDJ	6000000003646023907;6000000000424848932;6000000003999583795;6000000000769909946	GZGY-PHB;LZFS-4S1
2	child	6000000001068387165	LZB4-2C7	6000000000307274628;6000000019514406932	G65L-QST;LB5S-FN5;LD91-P63
2	child	6000000003051273715	LCP1-19Y	6000000001323894516;6000000019762100136;6000000010744819527;6000000002480182464;6000000001796431461;6000000003219766810;6000000002187755707;6000000000437170596;6000000001744971326	9CNW-MJY;G4YC-M63;GQG1-6TS;LZNZ-B7Q;P7VH-2F6;PXMS-8WM
2	child	6000000059484044105	K67P-BJN	6000000174148503119	9HNB-MNY;G3RL-FPV;L87X-CMB;L87X-CSB;L87X-H4K;L87X-H9M;L87X-HBL;L87X-HV6
2	spouse	6000000000350890514	9MTF-W16	6000000003867333182;6000000012966079926	PCB9-793
2	child	6000000000350890514	9MTF-W16	6000000017204557468	9HVG-NHN
2	child	6000000002553595095	9HZG-67F	6000000006906428390	GLMJ-F9X
2	spouse	6000000001610448055	LYNR-DH4	6000000003858589577;6000000017917237051	LZZ8-DH4
2	child	6000000001610448055	LYNR-DH4	6000000002135641710;6000000002968624707;6000000020993590964	G5PC-7NM;LK3H-GVS;LT5N-277;MXBV-YWQ;P3HB-P1G
2	child	6000000001200506171	LDSS-LB3	6000000002841910480;6000000009811495539;6000000008197514999;6000000008177323097;6000000002892996735	KHB1-BQB;L2TM-589;LB8F-V84
2	child	6000000009909505293	MXKR-J9R	6000000002447185479;6000000001588414663;6000000001588401581;6000000003649647138	9QZ9-C18;GBH9-X6F;GYW5-F94;LDST-G1M
2	child	6000000000717229053	9WYV-M96	6000000002043244652;6000000005016701444;6000000000437339172;6000000000424894960;6000000008112058633;6000000002980191996;6000000000112096314	GVWB-3MQ;GY8D-VS4;L12N-9HN;L87F-RS8;MWRM-L2T;PZ9N-G1G
2	child	6000000006131047120	2Z98-QKN	6000000004533503102;6000000006906550173	LD9R-9TN;PHD5-MCB
2	child	6000000003243400214	L5JM-54G	6000000002841910480;6000000009811495539;6000000008197514999;6000000008177323097;6000000002892996735	KHB1-BQB;L2TM-589;LB8F-V84
