qid	geni_id	mul	culture	culture_evidence
Q107028277	6000000013860591279	略 曾	zh	graph traversal, 9 hop(s)
Q133281519	6000000013869518938	湖南衡陽	zh	graph traversal, 1 hop(s)
Q45525161	6000000013869544657	凝祉 湖南衡陽	zh	graph traversal, 2 hop(s)
Q61305648	6000000013869807662	筠 湖北蘄水	zh	graph traversal, 1 hop(s)
Q63258241	6000000013869857183	紀壽 岳崧 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q11091615	6000000013873799917	昭檆 約農 曾	zh	graph traversal, 1 hop(s)
Q16076134	6000000013882934500	沛霖 仲濟 雨三 湖北蘄水	zh	graph traversal, 2 hop(s)
Q45426692	6000000016688722416	恭 彥祖 吳郡吳縣	zh	carries the clan seat 吳郡吳縣, which is Chinese
Q45426735	6000000016688741429	璜 公伯 吳郡吳縣	zh	carries the clan seat 吳郡吳縣, which is Chinese
Q45425263	6000000016688956120	續 智初 會稽吳縣	zh	graph traversal, 1 hop(s)
Q45425304	6000000016688977296	褒 叔明 吳郡吳縣	zh	carries the clan seat 吳郡吳縣, which is Chinese
Q45425348	6000000016689085149	紆 叔盤 吳郡吳縣	zh	carries the clan seat 吳郡吳縣, which is Chinese
Q862768	6000000016698290515	瑁 子璋 吳郡吳縣	zh	carries the clan seat 吳郡吳縣, which is Chinese
Q45588206	6000000016707215683	翊 吳郡吳縣	zh	carries the clan seat 吳郡吳縣, which is Chinese
Q735420	6000000016925433518	羡 子姓	zh	graph traversal, 9 hop(s)
Q5948927	6000000016925474001	稽 子姓	zh	graph traversal, 11 hop(s)
Q10484733	6000000017547984176	毗牒 臨潢	zh	graph traversal, 2 hop(s)
Q134079944	6000000017553941246	弘農華陰	zh	carries the clan seat 弘農華陰, which is Chinese
Q4309963	6000000017554351446	隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q133281508	6000000018099424915	湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q107004272	6000000018175300799	其璞 叔瑜 湖南衡山	zh	graph traversal, 1 hop(s)
Q45388520	6000000019351158032	子遹 越州山陰	zh	carries the clan seat 越州山陰, which is Chinese
Q11068138	6000000019599193938	其鍠 子武 廣西臨桂	zh	graph traversal, 2 hop(s)
Q45375502	6000000019864619667	公奭 泉州晉江	zh	carries the clan seat 泉州晉江, which is Chinese
Q1567136	6000000021122067554	奭 子邵 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q836203	6000000021137800721	巋 仁遠 南蘭陵	zh	graph traversal, 2 hop(s)
Q45526862	6000000021138478189	霽 京兆杜陵	zh	carries the clan seat 京兆杜陵, which is Chinese
Q1285740	6000000021138925920	詧 理孫 南蘭陵	zh	graph traversal, 3 hop(s)
Q11075491	6000000021150558686	彥謙 孝沖 清河	zh	graph traversal, 3 hop(s)
Q1149114	6000000021150643175	繹 世誠 南蘭陵	zh	graph traversal, 2 hop(s)
Q11075508	6000000021150904515	遺愛 字俊 清河	zh	graph traversal, 1 hop(s)
Q45518224	6000000021151058350	遺則 清河	zh	graph traversal, 2 hop(s)
Q14416420	6000000021151067539	稚 承業 冀歸 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q8044212	6000000021151198758	遘 得聖 蘭陵	zh	graph traversal, 4 hop(s)
Q22813931	6000000021151256523	鉅 蘭陵	zh	graph traversal, 3 hop(s)
Q10297036	6000000021151434870	遺直 清河	zh	graph traversal, 3 hop(s)
Q8044240	6000000021151487032	寘 蘭陵	zh	graph traversal, 3 hop(s)
Q1291074	6000000021151512856	瑀 時文 南蘭陵	zh	graph traversal, 2 hop(s)
Q15926320	6000000021151556917	兕 義貞 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q712587	6000000021163679779	寂 貞玄 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q33402389	6000000021163999904	律師 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45498960	6000000021237699403	璀 字璀 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q134081021	6000000021240523343	鉅鹿曲城	zh	carries the clan seat 鉅鹿曲城, which is Chinese
Q4391801	6000000021260871234	承之 嗣伯 南蘭陵	ja	graph traversal, 1 hop(s)
Q10513912	6000000021260901339	鎋 南蘭陵	ja	graph traversal, 1 hop(s)
Q11622123	6000000021260918603	道生 南蘭陵	ja	graph traversal, 2 hop(s)
Q45420819	6000000021260943072	道賜 南蘭陵	ja	graph traversal, 1 hop(s)
Q10511382	6000000021260997305	樂子 閨子 南蘭陵	ja	name ends in 子, a Japanese given-name ending
Q10511856	6000000021261083078	雋 子武 南蘭陵	ja	graph traversal, 1 hop(s)
Q15924962	6000000021651887195	堯咨 嘉謨 閬州閬中	zh	carries the clan seat 閬州閬中, which is Chinese
Q45419659	6000000022699771819	埱 正平 范陽方城	zh	carries the clan seat 范陽方城, which is Chinese
Q701545	6000000022700032515	說 道濟 范陽方城	zh	carries the clan seat 范陽方城, which is Chinese
Q1143870	6000000023531398242	攸 大猷 河內溫縣	zh	carries the clan seat 河內溫縣, which is Chinese
Q15909080	6000000023531439343	崧 景猷 潁川潁陰	zh	carries the clan seat 潁川潁陰, which is Chinese
Q702166	6000000023531779916	預 元凱 京兆杜陵	zh	carries the clan seat 京兆杜陵, which is Chinese
Q10916665	6000000023619649947	覲 思祖 河內溫縣	zh	carries the clan seat 河內溫縣, which is Chinese
Q15911516	6000000023701024475	廙 世將 琅邪臨沂	zh	carries the clan seat 琅邪臨沂, which is Chinese
Q3274914	6000000023701355682	導 茂弘 琅邪臨沂	zh	carries the clan seat 琅邪臨沂, which is Chinese
Q1114786	6000000023701386405	潁川陽翟	zh	graph traversal, 2 hop(s)
Q45408771	6000000023701474092	耆之 琅邪臨沂	zh	carries the clan seat 琅邪臨沂, which is Chinese
Q15915744	6000000023701482134	洽 敬和 琅邪臨沂	zh	carries the clan seat 琅邪臨沂, which is Chinese
Q15907839	6000000023701549199	覽 玄通 琅邪臨沂	zh	carries the clan seat 琅邪臨沂, which is Chinese
Q378564	6000000023701596086	羲之 逸少 琅邪臨沂	zh	carries the clan seat 琅邪臨沂, which is Chinese
Q16906209	6000000023701636005	裁 士初 琅邪臨沂	zh	carries the clan seat 琅邪臨沂, which is Chinese
Q134098549	6000000023701655958	沛國譙縣	zh	carries the clan seat 沛國譙縣, which is Chinese
Q32176056	6000000023809804573	輯 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q26158718	6000000025610978146	稚 河南開封	zh	graph traversal, 7 hop(s)
Q717467	6000000028246402258	사 (娑) 소 (蘇)	ko	graph traversal, 1 hop(s)
Q10864664	6000000028794667731	啟鈐 桂莘 貴州紫江	zh	graph traversal, 2 hop(s)
Q133281707	6000000028794728345	光磯 湖南茶陵	zh	graph traversal, 1 hop(s)
Q133281702	6000000028795039661	沛 澤農 朱	zh	graph traversal, 2 hop(s)
Q1045763	6000000032170778221	頼宣 徳川	ja	graph traversal, 2 hop(s)
Q11091542	6000000032657100856	昭燏 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q66439693	6000000037090272651	賀 沈	ja	graph traversal, 3 hop(s)
Q561165	6000000037090405439	約 休文 吳興武康	zh	carries the clan seat 吳興武康, which is Chinese
Q11552417	6000000037090542434	璞 道真 吳興武康	zh	carries the clan seat 吳興武康, which is Chinese
Q11552418	6000000037090753149	穆夫 沈	ja	graph traversal, 1 hop(s)
Q66439691	6000000037090877234	陵 沈	ja	graph traversal, 5 hop(s)
Q11552420	6000000037090924017	警 沈	ja	graph traversal, 2 hop(s)
Q66439692	6000000037090998960	延 沈	ja	graph traversal, 4 hop(s)
Q6765384	6000000037091035842	林子 敬士 吳興武康	ja	name ends in 子, a Japanese given-name ending
Q66439690	6000000037091143839	曼 沈	ja	graph traversal, 6 hop(s)
Q45401605	6000000037590601525	滂 撫州臨川	zh	carries the clan seat 撫州臨川, which is Chinese
Q45431126	6000000037590820321	撫州臨川	zh	carries the clan seat 撫州臨川, which is Chinese
Q45363121	6000000037590883097	蕡 成之 撫州金谿	zh	graph traversal, 2 hop(s)
Q15936430	6000000037591073857	雱 元澤 撫州臨川	zh	carries the clan seat 撫州臨川, which is Chinese
Q45364104	6000000037591171683	撫州金谿	zh	graph traversal, 2 hop(s)
Q45364102	6000000037591245597	撫州金谿	zh	graph traversal, 1 hop(s)
Q45390710	6000000037591297321	德筠 撫州金谿	zh	graph traversal, 3 hop(s)
Q45366130	6000000037591379321	畋 撫州金谿	zh	graph traversal, 2 hop(s)
Q45366082	6000000037591422645	律 潤州丹陽	zh	graph traversal, 2 hop(s)
Q1155951	6000000037591433434	轍 子由 眉州眉山	zh	carries the clan seat 眉州眉山, which is Chinese
Q45386597	6000000037591478488	諮 周朋 杭州錢塘	zh	carries the clan seat 杭州錢塘, which is Chinese
Q45362452	6000000037591592660	迨 仲豫 眉州眉山	zh	carries the clan seat 眉州眉山, which is Chinese
Q45359969	6000000037591597159	說 傅朋 杭州錢塘	zh	carries the clan seat 杭州錢塘, which is Chinese
Q45391354	6000000037603387400	逈 彥遠 眉州眉山	zh	carries the clan seat 眉州眉山, which is Chinese
Q45358667	6000000037603431461	籀 仲滋 婺州金華	zh	carries the clan seat 婺州金華, which is Chinese
Q45390717	6000000037603605908	愨 德榖 常州武進	zh	carries the clan seat 常州武進, which is Chinese
Q19825226	6000000037700339204	純粹 德孺 蘇州吳縣	zh	carries the clan seat 蘇州吳縣, which is Chinese
Q45365261	6000000037721770284	毖 大名莘縣	zh	carries the clan seat 大名莘縣, which is Chinese
Q45363791	6000000037722184067	大名莘縣	zh	carries the clan seat 大名莘縣, which is Chinese
Q45433544	6000000037722398165	規 方叔 大名莘縣	zh	carries the clan seat 大名莘縣, which is Chinese
Q45356323	6000000037745968305	跂 至之 相州安陽	zh	graph traversal, 6 hop(s)
Q45427827	6000000037746643862	澡 相州安陽	zh	graph traversal, 2 hop(s)
Q10317793	6000000037869833609	迥 明遠 徐州彭城	zh	graph traversal, 2 hop(s)
Q11089173	6000000037888843569	說之 以道 伯以 季此 濟州鉅野	zh	carries the clan seat 濟州鉅野, which is Chinese
Q45369681	6000000037889380326	公遡 子西 濟州鉅野	zh	carries the clan seat 濟州鉅野, which is Chinese
Q45360413	6000000037889421516	佺 汴州開封	zh	graph traversal, 1 hop(s)
Q45360420	6000000037889594982	仲參 孝先 濟州鉅野	zh	carries the clan seat 濟州鉅野, which is Chinese
Q45378024	6000000037889899021	端規 夢規 濟州任城	zh	graph traversal, 4 hop(s)
Q45366040	6000000037890432957	易占 不疑 建昌南豐 五	zh	graph traversal, 1 hop(s)
Q19825225	6000000037910596056	直筠 饒州樂平	zh	graph traversal, 1 hop(s)
Q45358189	6000000038027136715	公孺 稚卿 壽州	zh	graph traversal, 3 hop(s)
Q10919873	6000000038027154817	公著 晦叔 壽州	zh	graph traversal, 2 hop(s)
Q4272132	6000000038027406702	祖謙 伯恭 東萊 婺州金華	zh	carries the clan seat 婺州金華, which is Chinese
Q30947356	6000000038027570848	公綽 仲裕 壽州	zh	graph traversal, 2 hop(s)
Q65798587	6000000038027664245	婺州金華	zh	carries the clan seat 婺州金華, which is Chinese
Q45358203	6000000038027775997	弸中 仁武 壽州	zh	graph traversal, 1 hop(s)
Q16078116	6000000038046256338	鍇 成都華陽	zh	carries the clan seat 成都華陽, which is Chinese
Q45369525	6000000038046431203	仲黼 文叔 成都華陽	zh	carries the clan seat 成都華陽, which is Chinese
Q45361116	6000000038046573201	百慮 許州長社	zh	graph traversal, 1 hop(s)
Q45378696	6000000038046578306	百揆 子中 成都華陽	zh	carries the clan seat 成都華陽, which is Chinese
Q16078123	6000000038046835879	鎡 成都華陽	zh	carries the clan seat 成都華陽, which is Chinese
Q45391511	6000000038067986658	澹 希白 眉州眉山	zh	carries the clan seat 眉州眉山, which is Chinese
Q45362424	6000000038068827870	渙 文甫 眉州眉山	zh	carries the clan seat 眉州眉山, which is Chinese
Q45362806	6000000038069434232	孝綽 泉州晉江	zh	carries the clan seat 泉州晉江, which is Chinese
Q45362811	6000000038069848844	孝(辶朮) 泉州晉江	zh	carries the clan seat 泉州晉江, which is Chinese
Q45363823	6000000038103076416	大名莘縣	zh	carries the clan seat 大名莘縣, which is Chinese
Q45364118	6000000038103370956	壽州	zh	graph traversal, 5 hop(s)
Q16075990	6000000038103475036	億 宗魏 開封雍邱	zh	carries the clan seat 開封雍邱, which is Chinese
Q45356376	6000000038103481223	繹 仲連 開封雍邱	zh	carries the clan seat 開封雍邱, which is Chinese
Q45356399	6000000038103653012	綜 仲文 開封雍邱	zh	carries the clan seat 開封雍邱, which is Chinese
Q16903326	6000000038103702983	縝 玉汝 開封雍邱	zh	carries the clan seat 開封雍邱, which is Chinese
Q15912964	6000000038103757899	絳 子華 開封雍邱	zh	carries the clan seat 開封雍邱, which is Chinese
Q45384389	6000000038107134968	𥾝 開封雍邱	zh	carries the clan seat 開封雍邱, which is Chinese
Q45365644	6000000038107135531	膺胄 越州會稽	zh	graph traversal, 3 hop(s)
Q45384551	6000000038107381886	鎬 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45356367	6000000038107480080	肖胄 似夫 越州會稽	zh	graph traversal, 3 hop(s)
Q45387207	6000000038107646972	膚冑 越州會稽	zh	graph traversal, 3 hop(s)
Q45366037	6000000038131907786	纁 元禮 鎮江丹徒	zh	graph traversal, 1 hop(s)
Q45380815	6000000038132026760	愓 鎮江丹徒	zh	graph traversal, 2 hop(s)
Q45363059	6000000038132118799	絪 建昌南城	zh	graph traversal, 2 hop(s)
Q45402037	6000000038132263227	斿 元龍 撫州臨川	zh	carries the clan seat 撫州臨川, which is Chinese
Q45359461	6000000038132354118	旊 元均 撫州臨川	zh	carries the clan seat 撫州臨川, which is Chinese
Q22098557	6000000038132412998	紆 公卷 公衮 建昌南豐 四	zh	graph traversal, 1 hop(s)
Q45359819	6000000038176832513	說 巖夫 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45359512	6000000038177275009	誨 規夫 真定	zh	graph traversal, 1 hop(s)
Q45358490	6000000038200538957	佖 曹州濟陰	zh	graph traversal, 3 hop(s)
Q135273782	6000000038221337200	錢	zh	graph traversal, 1 hop(s)
Q45484284	6000000038221476016	挻 杭州錢塘	zh	carries the clan seat 杭州錢塘, which is Chinese
Q45374242	6000000038224608855	衹德 嚴甫 撫州臨川	zh	carries the clan seat 撫州臨川, which is Chinese
Q6788466	6000000038224631849	幾道 叔原 撫州臨川	zh	carries the clan seat 撫州臨川, which is Chinese
Q45364057	6000000038980923906	宋州虞城	zh	graph traversal, 1 hop(s)
Q45359088	6000000038980963831	挺 子政 應天宋城	zh	graph traversal, 1 hop(s)
Q13407966	6000000039001007986	堯叟 唐夫 閬州閬中	zh	carries the clan seat 閬州閬中, which is Chinese
Q45364009	6000000039003231268	大名莘縣	zh	carries the clan seat 大名莘縣, which is Chinese
Q45364026	6000000039003537305	相州蕩陰	zh	graph traversal, 2 hop(s)
Q45358653	6000000039003545941	耆 國老 梓州銅山	zh	graph traversal, 1 hop(s)
Q45354986	6000000039008493659	嗣恭 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q45427876	6000000039008925137	浹 羅	zh	graph traversal, 5 hop(s)
Q45358669	6000000039009798584	涓 開封	zh	graph traversal, 2 hop(s)
Q45362401	6000000039009868666	注 開封	zh	graph traversal, 2 hop(s)
Q45426347	6000000039010403963	洞 開封	zh	graph traversal, 2 hop(s)
Q10899846	6000000039025031998	攽 貢父 公非 臨江新喻	zh	graph traversal, 1 hop(s)
Q45373399	6000000042925738799	洽 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45402189	6000000042925743304	覺 江寧溧水	zh	graph traversal, 4 hop(s)
Q45366034	6000000042925786645	耆年 壽翁 蘇州常熟	zh	graph traversal, 2 hop(s)
Q45402190	6000000042925788272	樞 江寧溧水	zh	graph traversal, 3 hop(s)
Q45373406	6000000042925897488	湜 正叔 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45363073	6000000042925936920	叔介 端直 宣州宣城	zh	graph traversal, 4 hop(s)
Q45424727	6000000042925988785	槐 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45424928	6000000042926078096	邲 蘇州常熟	zh	graph traversal, 2 hop(s)
Q45363635	6000000042926082999	恬 天隱 蘇州常熟	zh	graph traversal, 1 hop(s)
Q45373411	6000000042926084308	沂 與叔 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45373390	6000000042926101419	洙 魯叔 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45424972	6000000042926102132	邴 蘇州常熟	zh	graph traversal, 2 hop(s)
Q45428752	6000000042926164405	橅 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q10910275	6000000042926168008	涇 清叔 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45373403	6000000042926202988	溉 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45373408	6000000042926234949	樵 山甫 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45365577	6000000042926247755	晞顏 景淵 蘇州吳縣	zh	carries the clan seat 蘇州吳縣, which is Chinese
Q45428642	6000000042926251300	渙 平江崑山	zh	carries the clan seat 平江崑山, which is Chinese
Q45366111	6000000042926253835	闐 致虛 秀州嘉興	zh	graph traversal, 1 hop(s)
Q45363507	6000000043383969826	戢 同州韓城	zh	graph traversal, 1 hop(s)
Q107028237	6000000045017272839	筠 曾	zh	graph traversal, 6 hop(s)
Q45365552	6000000046846910925	褒 仲嘉 衢州開化	zh	graph traversal, 1 hop(s)
Q45380767	6000000046846961927	褎 仲舉 衢州開化	zh	graph traversal, 1 hop(s)
Q45426592	6000000046847128844	袤 仲長 衢州開化	zh	graph traversal, 1 hop(s)
Q45360549	6000000046925969454	襲古 閬州閬中	zh	carries the clan seat 閬州閬中, which is Chinese
Q15905993	6000000046926751887	省華 善則 閬州閬中	zh	carries the clan seat 閬州閬中, which is Chinese
Q15931088	6000000046994059949	俁 趙	zh	graph traversal, 1 hop(s)
Q10564247	6000000047502989238	勰 穆父 杭州錢塘	zh	carries the clan seat 杭州錢塘, which is Chinese
Q11534057	6000000048523716139	惔 文通 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q45420348	6000000048523828931	恬 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q26197825	6000000048523906867	叔宗 雙驎 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q61744128	6000000048525797051	約 元儉 河東	zh	graph traversal, 1 hop(s)
Q45420290	6000000048525959848	鷟 元翔 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q133467929	6000000048526000905	媚 河東	zh	graph traversal, 1 hop(s)
Q28481680	6000000048526395217	察躬 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q48928019	6000000048605162188	心洽 鵬雲 張	zh	graph traversal, 2 hop(s)
Q45424808	6000000049542686875	執中 宣州宣城	zh	graph traversal, 4 hop(s)
Q45427582	6000000049543102197	榘 蘇州吳縣	zh	carries the clan seat 蘇州吳縣, which is Chinese
Q45427536	6000000049543480888	棐 蘇州吳縣	zh	carries the clan seat 蘇州吳縣, which is Chinese
Q45363954	6000000049629524856	湖州烏程	zh	graph traversal, 1 hop(s)
Q45361917	6000000051565742081	長歷 臨江清江	zh	graph traversal, 4 hop(s)
Q45426217	6000000051565884944	襲譽 李	zh	graph traversal, 4 hop(s)
Q45362678	6000000051566049821	蕃 晉如 應天宋城	zh	graph traversal, 2 hop(s)
Q10350263	6000000052102539054	公綽 起之 河東解縣	zh	carries the clan seat 河東解縣, which is Chinese
Q15938817	6000000052113812950	敻 敬遠 京兆杜陵	zh	carries the clan seat 京兆杜陵, which is Chinese
Q19855480	6000000052126397881	道約 季恭 范陽涿縣	zh	carries the clan seat 范陽涿縣, which is Chinese
Q133467857	6000000052128327889	趙郡平棘	zh	carries the clan seat 趙郡平棘, which is Chinese
Q857067	6000000054068902927	琨 越石 中山魏昌	zh	graph traversal, 4 hop(s)
Q134097625	6000000054111617979	琅邪臨沂	zh	carries the clan seat 琅邪臨沂, which is Chinese
Q134089647	6000000054198066943	陳郡陽夏	zh	carries the clan seat 陳郡陽夏, which is Chinese
Q133521472	6000000055759597848	范陽涿縣	zh	carries the clan seat 范陽涿縣, which is Chinese
Q133472473	6000000055760029011	范陽涿縣	zh	carries the clan seat 范陽涿縣, which is Chinese
Q76011073	6000000055760080260	滎陽開封	zh	carries the clan seat 滎陽開封, which is Chinese
Q15243421	6000000055760458998	略 儁興 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q133467855	6000000055762383387	滎陽開封	zh	carries the clan seat 滎陽開封, which is Chinese
Q76011050	6000000055763268965	趙郡平棘	zh	carries the clan seat 趙郡平棘, which is Chinese
Q76011247	6000000055769344013	趙郡平棘	zh	carries the clan seat 趙郡平棘, which is Chinese
Q133468018	6000000055769424866	滎陽開封	zh	carries the clan seat 滎陽開封, which is Chinese
Q133472591	6000000055769670909	太原晉陽	zh	carries the clan seat 太原晉陽, which is Chinese
Q26159687	6000000055769715279	叔胤 趙國柏仁	zh	carries the clan seat 趙國柏仁, which is Chinese
Q76012422	6000000055770072921	隴西狄道	zh	carries the clan seat 隴西狄道, which is Chinese
Q11581523	6000000055770661558	愷 長仁 范陽涿縣	zh	carries the clan seat 范陽涿縣, which is Chinese
Q133521792	6000000055771360858	河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q15934434	6000000055771992821	瓘 世恭 京兆杜陵	zh	carries the clan seat 京兆杜陵, which is Chinese
Q133473314	6000000055805019865	廣平列人	zh	graph traversal, 1 hop(s)
Q45369816	6000000056060709186	恭 伯禮 泉州永春	zh	graph traversal, 4 hop(s)
Q45489241	6000000056061039912	丙 泉州永春	zh	graph traversal, 4 hop(s)
Q45369803	6000000056061055988	寔 泉州永春	zh	graph traversal, 5 hop(s)
Q45420442	6000000057281469946	苞 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45420450	6000000057281721863	暅 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45420492	6000000057283425046	慬 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45420459	6000000057294313992	邕 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q10742819	6000000057294314037	叔業 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
Q45420467	6000000057294355056	叔寶 河東聞喜	zh	carries the clan seat 河東聞喜, which is Chinese
