export,geni_id,name,sex,occupation,n_parent_families,n_spouse_families,birt_raw,birt_iso,birt_precision,birt_year,birt_month,birt_day,birt_year_end,birt_modifier,deat_raw,deat_iso,deat_precision,deat_year,deat_month,deat_day,deat_year_end,deat_modifier
exports\archive\export-geni\export-Forest-15.ged,6000000178918374828,Eleazar IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918192840,Netaniel III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917225876,Shemaiah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918838823,Tabia I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918544825,Amram II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918246839,Tabia II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918134827,Eleazar VII /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918027844,Baba Rabba /Samaritan High Priest/,M,,1,1,288,+0288-00-00T00:00:00Z,9,288,,,,,328,+0328-00-00T00:00:00Z,9,328,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918714857,Jonathan II ben Jair /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178915984982,Bakhi II ben Sashai /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918571830,Akkub II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918623825,Amram III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,M,,1,1,,,,,,,,,BEF -486,-0486-00-00T00:00:00Z,9,-486,,,,before
exports\archive\export-geni\export-Forest-15.ged,6000000178913855067,Hezekiah I ben Shalom /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918116832,daughter of Sanballat the Horonite,F,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918444842,Azariah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178914966945,Hilkiah or Hezekiah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917879865,Netaniel I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918851821,Ishmael ben Jonathan /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917117901,Zadok /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917506855,Netaniel IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918494826,Elishama /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918426863,Jair I ben Jonathan /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918207842,Phinehas II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917661869,Akabon V /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918444821,Akabon VI /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918422849,daughter of the king of Assyria,F,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917172871,Eleazar VI /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917883839,Levi II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918443849,Daliah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917369858,Baba I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916715907,Akabon IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917722864,Akabon I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918814849,Uzzi ben Bakhi /High Priest/,M,,0,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916677903,Eleazar V /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918655833,Hezekiah III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916547925,Akabon II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178913798001,Akabon III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918614821,Manasseh /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918541826,Jair IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918781824,Shalom I ben Shembet /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918366838,Ahid /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918631830,Zedekiah I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918574821,Netaniel II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918285871,Aabed-El /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918812830,Daliah I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917518898,Jair III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916666920,Jehozadak /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918692828,Shembet ben Bakhi /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918520823,Jonathan III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918625831,Amram I. /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918599826,Hananiah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178916918921,Akkubiah I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918015868,Amram IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918385827,Levi I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918560829,Hezekiah IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917662852,Eleazar III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178915542947,Joachim /Samaritan High Priest/,M,,1,1,,,,,,,,,BEF 30,+0030-00-00T00:00:00Z,9,30,,,,before
exports\archive\export-geni\export-Forest-16.ged,6000000178916928879,Seriah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178914668980,Akkub /Samaritan High Priest/,M,,1,1,,,,,,,,,BEF -587,-0587-00-00T00:00:00Z,9,-587,,,,before
exports\archive\export-geni\export-Forest-16.ged,6000000178918718823,Hillel I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918011846,Eleazar II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918529825,Akkubiah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917758844,Levi III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918374828,Eleazar IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917225876,Shemaiah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918838823,Tabia I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918544825,Amram II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918246839,Tabia II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918571830,Akkub II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918623825,Amram III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,M,,1,1,,,,,,,,,BEF -486,-0486-00-00T00:00:00Z,9,-486,,,,before
exports\archive\export-geni\export-Forest-16.ged,6000000178918116832,daughter of Sanballat the Horonite,F,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918444842,Azariah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178914966945,Hilkiah or Hezekiah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917879865,Netaniel I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918851821,Ishmael ben Jonathan /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917117901,Zadok /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918494826,Elishama /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918207842,Phinehas II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918422849,daughter of the king of Assyria,F,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917883839,Levi II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918443849,Daliah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917369858,Baba I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917722864,Akabon I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918655833,Hezekiah III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178916547925,Akabon II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918614821,Manasseh /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918541826,Jair IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918366838,Ahid /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918631830,Zedekiah I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918574821,Netaniel II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918285871,Aabed-El /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917518898,Jair III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178916666920,Jehozadak /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918520823,Jonathan III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918015868,Amram IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918560829,Hezekiah IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917662852,Eleazar III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178915542947,Joachim /Samaritan High Priest/,M,,1,1,,,,,,,,,BEF 30,+0030-00-00T00:00:00Z,9,30,,,,before
exports\archive\export-geni\export-Forest-17.ged,6000000178918011846,Eleazar II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917758844,Levi III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918529825,Akkubiah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918374828,Eleazar IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918192840,Netaniel III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917225876,Shemaiah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918246839,Tabia II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918027844,Baba Rabba /Samaritan High Priest/,M,,1,1,288,+0288-00-00T00:00:00Z,9,288,,,,,328,+0328-00-00T00:00:00Z,9,328,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918571830,Akkub II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,M,,0,1,,,,,,,,,BEF -486,-0486-00-00T00:00:00Z,9,-486,,,,before
exports\archive\export-geni\export-Forest-17.ged,6000000178918116832,daughter of Sanballat the Horonite,F,,0,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918494826,Elishama /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918207842,Phinehas II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918422849,daughter of the king of Assyria,F,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917883839,Levi II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918443849,Daliah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917369858,Baba I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917722864,Akabon I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178916547925,Akabon II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178913798001,Akabon III /Samaritan High Priest/,M,,1,0,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918614821,Manasseh /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918541826,Jair IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918574821,Netaniel II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918520823,Jonathan III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-29.ged,6000000178918422849,daughter of the king of Assyria,F,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-29.ged,6000000178918560829,Hezekiah IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-29.ged,6000000178917883839,Levi II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-29.ged,6000000178918443849,Daliah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-29.ged,6000000178918011846,Eleazar II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-29.ged,6000000178918571830,Akkub II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-29.ged,6000000178918529825,Akkubiah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-29.ged,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,M,,0,1,,,,,,,,,BEF -486,-0486-00-00T00:00:00Z,9,-486,,,,before
exports\archive\export-geni\export-Forest-35.ged,6000000178918015868,Amram IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918428821,Eleazar VIII /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917376830,Netaniel V /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918560829,Hezekiah IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917662852,Eleazar III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178915542947,Joachim /Samaritan High Priest/,M,,1,1,,,,,,,,,BEF 30,+0030-00-00T00:00:00Z,9,30,,,,before
exports\archive\export-geni\export-Forest-35.ged,6000000178918011846,Eleazar II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918529825,Akkubiah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917758844,Levi III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918374828,Eleazar IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918192840,Netaniel III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917225876,Shemaiah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918246839,Tabia II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918134827,Eleazar VII /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918027844,Baba Rabba /Samaritan High Priest/,M,,1,1,288,+0288-00-00T00:00:00Z,9,288,,,,,328,+0328-00-00T00:00:00Z,9,328,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918571830,Akkub II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,M,,0,1,,,,,,,,,BEF -486,-0486-00-00T00:00:00Z,9,-486,,,,before
exports\archive\export-geni\export-Forest-35.ged,6000000178918116832,daughter of Sanballat the Horonite,F,,0,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918494826,Elishama /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917506855,Netaniel IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918207842,Phinehas II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917661869,Akabon V /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918444821,Akabon VI /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918422849,daughter of the king of Assyria,F,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917172871,Eleazar VI /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917883839,Levi II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918443849,Daliah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917369858,Baba I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178916715907,Akabon IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917722864,Akabon I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178917733851,Netaniel VI /Samaritan High Priest/,M,,1,0,,,,,,,,,BET 640 AND 641,+0640-00-00T00:00:00Z,9,640,,,641,between
exports\archive\export-geni\export-Forest-35.ged,6000000178916677903,Eleazar V /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178916547925,Akabon II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178913798001,Akabon III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918614821,Manasseh /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918541826,Jair IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918574821,Netaniel II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-35.ged,6000000178918520823,Jonathan III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
