our_geni	our_name	via_child_geni	via_child_name	via_child_qid	candidate_parent_qids
6000000013296788468	Maria Sofia Stierncrona	6000000006127817165	Carl Johan Gyllenborg	Q5587236	Q113007770
6000000013400765266	Fredrika Lovisa Uggla	6000000013400675492	Gustaf Fredrik Åkerhielm af Margretelund	Q6255155	Q122980318
6000000017425559123	Anna Christina Bruncrona	6000000017424989989	Nils Abraham Bruncrona	Q16945159	Q66711908
6000000018625238474	Elias Frondin	6000000020128505901	Berge / Birger Frondin	Q5745627	Q5745634
6000000018625507007	Simon Melander	6000000018625012640	Daniel Melanderhielm	Q5983613	Q19976772
6000000018646675929	Justina Margareta Djurberg	6000000018625012640	Daniel Melanderhielm	Q5983613	Q19976772
6000000018985534304	Olof Olofsson Nauclérus	311815313480004654	Olof Nauclér	Q16649960	Q16649961
6000000019582909951	Maria Magdalena Lochner	6000000019584518841	Anders Abraham Grafström	Q490686	Q116439449
6000000019583224446	Abraham Grafström	6000000019584518841	Anders Abraham Grafström	Q490686	Q116439449
6000000019933609341	Karl Johan Andersson Knös	6000000019898891222	Anders Erik Knös	Q5916153	Q5916183
6000000020389536815	Christina Margareta af Palén	6000000000909345046	Robert Henrik Rehbinder till Viksberg	Q2575818	Q17383421|Q115871131
6000000020393995501	Brita Hedvig Wijnbladh	6000000021500080690	Olof Andersson Knös	Q4225027	Q5916162|Q4988935
6000000020394079179	Anders Olofsson Knös	6000000021500080690	Olof Andersson Knös	Q4225027	Q5916162|Q4988935
6000000021221473369	Gunilla Rommel	6000000020128505901	Berge / Birger Frondin	Q5745627	Q5745634
6000000021890809973	Anna Helena Silvius	6000000019898891222	Anders Erik Knös	Q5916153	Q5916183
6000000023140541858	Kristina Samuelsdotter	5105724209600128719	Samuel Andreæ Grubb	Q5773287	Q16649300|Q127270437
6000000024161876529	Anna Sofia Bäck	6000000025022974646	Albrecht Elof Ihre d.y.	Q2694124	Q66316940
6000000028475780607	Ingeldus Laurentii Rabenius	6000000017425518359	Olof Ingelsson Rabenius	Q6060365	Q16650170
6000000035049072634	Margareta Kalsenia	6000000017425518359	Olof Ingelsson Rabenius	Q6060365	Q16650170
6000000138755587213	Elsa Beata Wrede af Elimä	6000000138783072822	Mårten Bunge till Beateberg	Q16945169	Q5589959|Q3359192
