a_qid	b_qid	a_name	b_name	hops	people_to_create	via
Q127270443	Q11993753	Ragnhild Håkansdotter Håkansdotter	Olaus Simonis Nauclérus	2	1	1610437
Q102250479	Q11892303	Knut Uno Axel Samuel von Troil	Samuel Verner von Troil Jr.	2	1	5543113347570036366
Q102250479	Q5411287	Knut Uno Axel Samuel von Troil	Axel Gustaf Samuel von Troil	2	1	5543113347570036366
Q111346615	Q108283960	Johan Zakris Josua Ture Gustaf Rudbeck	Reinhold Thure Gustaf Carl Gabriel Rudbeck	2	1	6000000006127612406
Q111346615	Q6082410	Johan Zakris Josua Ture Gustaf Rudbeck	Oscar Thure Gustaf Alexander Rudbeck	2	1	6000000006127612406
Q66488894	Q103771890	Georg Wilhelm Vilhelm Fleetwood	Margareta Christina Frölich	2	1	6000000012361508122
Q66488894	Q50347227	Georg Wilhelm Vilhelm Fleetwood	Vilhelm Mauritz von Post	2	1	6000000012361508122
Q66488894	Q96335264	Georg Wilhelm Vilhelm Fleetwood	Fredrik von Post	2	1	6000000012361508122
Q66488894	Q5618664	Georg Wilhelm Vilhelm Fleetwood	Ernst von Post	2	1	6000000012361508122
Q6193512	Q6227936	Fredrik Georg Strömfelt	Fredrik Georg Hans Carl Wachtmeister af Johannishus	2	1	6000000006127526123
Q6193512	Q110303162	Fredrik Georg Strömfelt	Hilla Birgitta Trolle	2	1	6000000006127526123
Q6193512	Q50297352	Fredrik Georg Strömfelt	Axel Gustaf Wachtmeister af Björkö	2	1	6000000008650593796
Q6193512	Q109296011	Fredrik Georg Strömfelt	Magdalena Sofia Wachtmeister af Johannishus	2	1	6000000008650593796
Q112969829	Q79163190	Augustin Marhein till Vrå	Andreas Olderman	2	1	6000000009914004129
Q112969829	Q133445424	Augustin Marhein till Vrå	Anna Gerdes	2	1	6000000009914004129
Q115871014	Q6190322	Christoffer Christoffersson Grubbe	Peder Mattsson Upplänning till Ryd	2	1	6000000020816109107
Q115871014	Q110505406	Christoffer Christoffersson Grubbe	Anna Persdotter Skute (Tre Snäckor)	2	1	6000000020816109107
Q111199963	Q5754581	Carl Emanuel Geijer	Bengt Reinhold Geijer	2	1	6000000013401377353
Q111199963	Q5754709	Carl Emanuel Geijer	Per Adolf Geijer	2	1	6000000013401377353
Q67336185	Q5581532	Wihelm Ludvig Ludvig Taube	Carl Bonde	2	1	6000000001448467246
Q5823030	Q108817967	Carl Gustaf Indebetou	Joachim Wilhelm Almgren	2	1	6000000008260670782
Q5823030	Q140425936	Carl Gustaf Indebetou	Katarina Elisabeth Arosenius	2	1	6000000008260670782
Q5823030	Q6257444	Carl Gustaf Indebetou	John Olof Örvall	2	1	6000000025529414480
Q763053	Q53093056	Henning Adolf Gyllenborg	Gustaf Wilhelm von Köhler till Vilsta	2	1	6000000006128061749
Q763053	Q101231257	Henning Adolf Gyllenborg	Carl Fredrik Lood I Småland	2	1	6000000006128061749
Q763053	Q5599290	Henning Adolf Gyllenborg	Jakob Johan Gyllenborg	2	1	6000000009475022145
Q763053	Q5779272	Henning Adolf Gyllenborg	Johan Henning Gyllenborg	2	1	6000000009475022145
Q763053	Q124369418	Henning Adolf Gyllenborg	Christian Fredrik Lindencrona	2	1	6000000028640469910
Q114850416	Q6168738	Jakob Olofsson Schnack	Peter Olofsson Schnack	2	1	4711193880420015656
Q114850416	Q5930987	Jakob Olofsson Schnack	Carl Otto Lagercrantz	2	1	6000000012267581574
Q86919328	Q16206630	Esaias Elias Hackzell	Anders Mårtensson Hackzell	2	1	315816748360006412
Q75604146	Q108615842	Henrik Patricksson Leijel	Mårten Bunge	2	1	6000000007755528251
Q63102557	Q111424394	Henriette Elisabet Franzén	Maria Helena Rosina Franzen	2	1	6000000002759919665
Q63102557	Q98228556	Henriette Elisabet Franzén	Hjalmar Emil Grafström	2	1	6000000049327455031
Q6184970	Q122964476	Fredrik Ulrik Sparre till Rossvik	Carl Gustaf Lagerfelt	2	1	6000000019302447576
Q4954241	Q5747215	Gustafva Sofia Rosenborg	Carl Funck	2	1	6000000008549932057
Q5783620	Q115631693	Laurentius Jonæ Hallenius	Jonas Estonis Halenius	2	1	6000000003770307606
Q5783620	Q115631695	Laurentius Jonæ Hallenius	Anna Königsdotter	2	1	6000000003770307606
Q140425963	Q5630693	Johanna Sophia Arosenius	Otto Christian Ekman	2	1	6000000005021757798
Q140425963	Q5040021	Johanna Sophia Arosenius	Carl Daniel Ekman	2	1	6000000005021757798
Q140425963	Q123668541	Johanna Sophia Arosenius	Alida Dorothea Indebetou	2	1	6000000008260659627
Q5580877	Q5580885	Adam Ludvig Boije af Gennäs	Erik Gustaf Boije af Gennäs	2	1	6000000000044492456
Q932770	Q19820129	Gustaf von Paykull till Valloxsäby och Hässelby	Carl Schæffer	2	1	6000000019273082763
Q932770	Q16595000	Gustaf von Paykull till Valloxsäby och Hässelby	Anna Antoinetta Gyllenborg	2	1	6000000019273082763
Q136528904	Q21607514	Carl von Numers Till Uggelbohl	Johan Olof Rudbeck	2	1	6000000008391920211
Q136528904	Q29886570	Carl von Numers Till Uggelbohl	Bengt Gustaf Geijer d.y.	2	1	6000000008391252105
Q109835310	Q128043661	Beata Margareta Stenbock	Erik Gustaf Stenbock	2	1	6000000000182082027
Q109835310	Q449530	Beata Margareta Stenbock	Magnus Gustafsson Stenbock till Bogesund	2	1	6000000000182082027
Q64808959	Q117007343	Gustaf Adolf Adolph Horn	Claes Horn	2	1	6000000009036467920
Q490686	Q549109	Anders Abraham Grafström	Artur Immanuel Hazelius	2	1	6000000019584540222
Q490686	Q5794579	Anders Abraham Grafström	Gunnar Hazelius	2	1	6000000019584540222
Q490686	Q16650546	Anders Abraham Grafström	Carl Eduard von Horn	2	1	6000000013113033166
Q490686	Q98228556	Anders Abraham Grafström	Hjalmar Emil Grafström	2	1	6000000049327455031
Q2040261	Q6204657	Otto Reinhold Strömfelt	Evert Fredrik Taube till Odenkat	2	1	6000000006797093296
Q2040261	Q110303111	Otto Reinhold Strömfelt	Beata Elisabet Didriksdotter Wrangel av Adinal	2	1	6000000006797093296
Q140373574	Q140373642	Johan Gustaf Uggla	Johan Gustaf Uggla till Averstad	2	1	6000000003261105841
Q4941089	Q4940790	Catharina Bröms	Elisabet Bröms	2	1	6000000006127824369
Q109835929	Q133445424	Catharina Gerdes	Anna Gerdes	2	1	6000000008933827746
Q6082410	Q108283960	Oscar Thure Gustaf Alexander Rudbeck	Reinhold Thure Gustaf Carl Gabriel Rudbeck	2	1	6000000006127612406
Q4964771	Q748553	Anna Isasdotter MacKey	Henrik Henriksson Insen	2	1	6000000007223878479
Q132179197	Q5960165	Jakob Bothniensis	Carolus Nicolai Bothniensis	2	1	6000000006128124091
Q132179197	Q6257891	Jakob Bothniensis	Jonas Andersson Österling	2	1	6000000008847476946
Q136028270	Q52766442	Hedvig Ulrika Ekeblad	Beata Sofia Rålamb	2	1	6000000006127726982
Q135841909	Q110340162	Beata Ottiliana Maria Stackelberg	Carl Melker Strömfelt	2	1	6000000006127651544
Q120815785	Q6206403	Carolina Sabina Rosenstam	Jacob Tersmeden till Larsbo	2	1	6000000013441194503
Q120815785	Q71526810	Carolina Sabina Rosenstam	Elisabet Gangia	2	1	6000000013441194503
Q55908919	Q103905881	Anders Svensson Westerman	Andreas Olai Lysing	2	1	6000000003131726522
Q55908919	Q109653829	Anders Svensson Westerman	Emerentia Rydelia	2	1	6000000003131726522
Q140373616	Q5959493	Magdalena Zachariasdotter Bure	Jonas Petri Linnerius	2	1	6000000002994864380
Q140373616	Q16650155	Magdalena Zachariasdotter Bure	Zacharias Nicolai Plantin	2	1	315821360860001721
Q5549004	Q4976863	Herman Nestor Emanuel Amnéus	Stina Claesdotter Sandels	2	1	6000000019068623814
Q5549004	Q54478554	Herman Nestor Emanuel Amnéus	Claes Claesson Sandels	2	1	6000000019068623814
Q6247044	Q104550242	Didrik Wrangel	Claes Hansson Wachtmeister	2	1	6000000007522203204
Q6247044	Q104550258	Didrik Wrangel	Elisabet Tönnesdotter Wrangel	2	1	6000000007522203204
Q6247044	Q124606874	Didrik Wrangel	Hans Didrik Mörner af Morlanda	2	1	6000000013207278560
Q447040	Q99302007	Catharina Hansdotter	Christina Sofia Stenbock	2	1	6000000012055924904
Q4993033	Q6015299	Carl Gustaf Nordin	Johan Magnus af Nordin	2	1	6000000012736539557
Q115870622	Q121185759	Elisabet Bagge af Boo	Sven Svensson Svensson Svart	2	1	6000000007648925306
Q115870622	Q109295154	Elisabet Bagge af Boo	Maria Svensdotter Svart	2	1	6000000007648925306
Q115870622	Q6248255	Elisabet Bagge af Boo	Johan Andersson Lenæus	2	1	6000000006128178312
Q115870622	Q111292763	Elisabet Bagge af Boo	Christina Wärnschöld	2	1	6000000006128178312
Q115870622	Q134437823	Elisabet Bagge af Boo	Jakob Wärnschöld	2	1	6000000006128178312
Q630283	Q138509005	Carl Gustaf Armfelt	Ebba Margaret Wennerstedt	2	1	6000000006127971240
Q630283	Q101243388	Carl Gustaf Armfelt	Carl Armfelt	2	1	6000000009966159651
Q18242858	Q108817967	Hedvig Sofia Amalia Indebetou	Joachim Wilhelm Almgren	2	1	6000000008260670782
Q18242858	Q140425936	Hedvig Sofia Amalia Indebetou	Katarina Elisabeth Arosenius	2	1	6000000008260670782
Q18242858	Q99435706	Hedvig Sofia Amalia Indebetou	Johan Govert Indebetou	2	1	6000000008260670782
Q6068957	Q76827672	Carl Ludvig August Axel Reuterskiöld	Emy Reuterskiöld	2	1	6000000013192929891
Q140373631	Q110322649	Ulrika Eleonora Nohrström	Berndt Jonas Aminoff	2	1	6000000001664855282
Q140373631	Q11854130	Ulrika Eleonora Nohrström	Berndt Adolf Carl Gregori Aminoff	2	1	6000000001664855282
Q103771971	Q110303483	Anna Maria Törnstjerna, Törne	Tomas Andersén	2	1	6000000012641210805
Q103771971	Q110303485	Anna Maria Törnstjerna, Törne	Sara Nyman	2	1	6000000012641210805
Q5914206	Q124293541	Staffan Johansson Klingspor	Johan Gustaf Klingspor	2	1	6000000003320368386
Q21381620	Q71534192	Fredrik Silfverstolpe	Birgitta Elisabet Silfverstolpe	2	1	6000000007248229654
Q21381620	Q108936475	Fredrik Silfverstolpe	David Samuel Silfverstolpe	2	1	6000000007248229654
Q127270494	Q127270440	Anders Nilsson	Olof Matsson	2	1	6000000036095853034
Q127270494	Q127270441	Anders Nilsson	Karin Andersdotter	2	1	6000000036095853034
Q5930987	Q6327228	Carl Otto Lagercrantz	Nicolaus Andersson Hyltén till Össjö	2	1	6000000007160649292
Q6240343	Q6240370	Henrik Adolf Widmark	Carl Olof Widmark	2	1	6000000009494606557
Q6240343	Q6240376	Henrik Adolf Widmark	Per Fredrik Widmark	2	1	6000000009494606557
Q119726884	Q94935384	Otto Johann von Poll	Matthias von Stackelberg	2	1	6000000009945271268
Q119726884	Q128157167	Otto Johann von Poll	Ingeborg Grubbe	2	1	6000000009945271268
Q119726884	Q128159529	Otto Johann von Poll	Christina Luisa von Poll	2	1	6000000009945271268
Q5618664	Q103771890	Ernst von Post	Margareta Christina Frölich	2	1	6000000012361508122
Q5618664	Q96335264	Ernst von Post	Fredrik von Post	2	1	6000000012361508122
Q5618664	Q130560191	Ernst von Post	Christina Beata Taube	2	1	6000000029656417053
Q98698347	Q6248255	Claes Johan Taube	Johan Andersson Lenæus	2	1	6000000009628241375
Q99301916	Q11854977	Beata Gustafsdotter Oxenstierna	Carl Falkenberg af Trystorp	2	1	6000000007511906450
Q99301916	Q5724474	Beata Gustafsdotter Oxenstierna	Henrik Conradsson Falkenberg af Trystorp	2	1	6000000007511906450
Q5757422	Q5757435	Martinus Olai Olofsson	Martinus Eriksson Gestrin	2	1	6000000010310582104
Q449530	Q128043661	Magnus Gustafsson Stenbock till Bogesund	Erik Gustaf Stenbock	2	1	6000000000182082027
Q5767097	Q30106561	Anders Frithiof Wilhelm Grafström	Erik Olof Hjalmar Grafström	2	1	6000000049344158833
Q2598354	Q122964928	Gustaf Wachtmeister	Israel Carl Adam Lagerfelt	2	1	6000000006127836658
Q2598354	Q111015105	Gustaf Wachtmeister	Gustaf Axel Fredrik Lagerfelt	2	1	6000000006127836658
Q3365030	Q5949652	Carl Fredrik Bengt Lagercrantz	Claes Gustaf Lagercrantz	2	1	6000000006127401015
Q134437823	Q26405863	Jakob Wärnschöld	Olof Engelbertsson Bure	2	1	6000000006128178312
Q134437823	Q111292763	Jakob Wärnschöld	Christina Wärnschöld	2	1	6000000006128178312
Q6183159	Q16649300	Anders Anthelius Johansson	Andreas Persson	2	1	6000000007520538497
Q6183159	Q127270437	Anders Anthelius Johansson	Kristina Samuelsdotter	2	1	6000000007520538497
Q1352818	Q128043951	Erik Mattias von Nolcken	Christer Horn	2	1	6000000008826856543
Q48562235	Q18246625	Olaus Troilius	Uno Trulsson	2	1	5085563125980043506
Q48562235	Q4980659	Olaus Troilius	Margareta Hansdotter	2	1	5085563125980043506
Q53092262	Q5580888	Maria Christina Cronhielm af Flosta	Erik Gustaf Boije af Gennäs	2	1	6000000006127120926
Q45776409	Q5747260	Gustaf Henrik Marhein	Gustaf Funck till Brogård	2	1	6000000000047106992
Q4980508	Q23639489	Elisabet Stierncrona	Arvid Gustaf Taube	2	1	6000000012461225994
Q110457132	Q124806649	Margareta Eriksdotter Oxe	Hans Henrik von Rehbinder	2	1	6000000005399292201
Q127270492	Q128046424	Margareta Olofsdotter	Gustaf Adolf Transehe von Roseneck	2	1	6000000006127193197
Q108615809	Q19819158	Margareta Jacobsdotter Jernstedt	Jacob Jakobsson Lang	2	1	6000000018604392948
Q108615809	Q110157214	Margareta Jacobsdotter Jernstedt	Christina Margareta Lang	2	1	6000000018604392948
Q136000145	Q5783613	Claes Hallenius	Engelbert Hallenius Biskop i Skara	2	1	6000000003770393284
Q5805039	Q5805045	Carl Gustaf Hierta	Fredrik Philip Hierta	2	1	6000000006128024559
Q109096805	Q19977201	Johan Kruuse af Verchou	Jakob Pedersson Törnsköld till Runstorp	2	1	6000000007817772214
Q109096805	Q109061863	Johan Kruuse af Verchou	Brita Appelgren	2	1	6000000007817772214
Q110548841	Q110457015	Christine Nordenfeldt	Cecilia Nordenfeldt	2	1	6000000013344659670
Q110548841	Q6014594	Christine Nordenfeldt	Olof Nordenfeldt	2	1	6000000013344659670
Q1389332	Q6238790	Michael Olai Angermannus Wexionius	Olof Olofsson Wexionius	2	1	6000000002589086322
Q73763414	Q5698210	Maria Chydenius	Samuel Chydenius	2	1	6000000000583643059
Q73763414	Q490870	Maria Chydenius	Anders Jacobsson Chydenius	2	1	6000000000583643059
Q73763414	Q109852817	Maria Chydenius	Jakob Jakobsson Chydenius	2	1	6000000000583643059
Q128157167	Q61109730	Ingeborg Grubbe	Otto Johann von Poll	2	1	6000000009945271268
Q128157167	Q128159529	Ingeborg Grubbe	Christina Luisa von Poll	2	1	6000000009945271268
Q128157167	Q128045156	Ingeborg Grubbe	Ebbe Ludwig von Toll	2	1	6000000009944855922
Q5960165	Q3808928	Carolus Nicolai Bothniensis	Johannes Canuti Gestricius	2	1	6000000008394484862
Q5960165	Q6180436	Carolus Nicolai Bothniensis	Samuel Skunck	2	1	6000000008394390957
Q6227936	Q19721217	Fredrik Georg Hans Carl Wachtmeister af Johannishus	Salomon Christoffer von Köhler	2	1	6000000006127526153
Q6227936	Q110340162	Fredrik Georg Hans Carl Wachtmeister af Johannishus	Carl Melker Strömfelt	2	1	6000000006127526123
Q121362501	Q99301884	Hans Georg Strömfelt	Beata von Schulman	2	1	6000000008602331522
Q121362501	Q109835638	Hans Georg Strömfelt	Beata Christina Strömfelt	2	1	6000000008602331522
Q123512749	Q5621605	Jeanna Hedda Carolina von Rosen	James Dickson	2	1	6000000011615145490
Q123512749	Q75445756	Jeanna Hedda Carolina von Rosen	Eleonora Margareta Bagge	2	1	6000000011615145490
Q123512749	Q123503353	Jeanna Hedda Carolina von Rosen	Axel James Pontus von Rosen	2	1	6000000011615145490
Q5621605	Q123503386	James Dickson	Carl Pontus von Rosen	2	1	6000000011615145490
Q5621605	Q123503353	James Dickson	Axel James Pontus von Rosen	2	1	6000000011615145490
Q108767949	Q98690001	Herman Annerstedt	Herman Adolf Tersmeden	2	1	6000000021077627483
Q108767949	Q110687150	Herman Annerstedt	Anna Margareta Rosén von Rosenstein	2	1	6000000021077627483
Q108767949	Q2001721	Herman Annerstedt	Claes Annerstedt	2	1	6000000021077627483
Q125189434	Q125189560	Juliana Charlotta Kruuse af Verchou	Jakob Johan Kruuse af Verchou	2	1	6000000007622095355
Q4766181	Q6206374	Ann-Margret Tersmeden	Carl Herman Tersmeden	2	1	6000000019550425027
Q4766181	Q101372269	Ann-Margret Tersmeden	Augusta Sophie Tersmeden	2	1	6000000019550425027
Q6206431	Q6206397	Per Reinhold Tersmeden	Jacob Tersmeden d.y.	2	1	6000000007443413476
Q6206431	Q98689747	Per Reinhold Tersmeden	Magdalena Elisabeth Söderhielm	2	1	6000000007443413476
Q5562598	Q137806522	Samuel Aurivillius	Carl von Numers	2	1	6000000008391104730
Q5562598	Q1527696	Samuel Aurivillius	Carl Aurivillius	2	1	6000000008391104730
Q140319929	Q3881468	Simon Olofsson Nauclerus	Olaus Martini Mårtensson	2	1	1610437
Q110303113	Q5609935	Magdalena Hansdotter Clerck	Hans Hansson Clerck till Väster Lagnö	2	1	6000000012118892581
Q110303113	Q124606874	Magdalena Hansdotter Clerck	Hans Didrik Mörner af Morlanda	2	1	6000000013207278560
Q748553	Q5936860	Henrik Henriksson Insen	Anders Larsson Höök	2	1	6000000007223878479
Q140373649	Q140373642	Fredrika Mariana Uggla	Johan Gustaf Uggla till Averstad	2	1	6000000008378658229
Q71526810	Q128045629	Elisabet Gangia	Per Reinhold Söderhielm	2	1	6000000007071784195
Q71526810	Q81660438	Elisabet Gangia	Brita Elisabet Tersmeden	2	1	6000000013441194503
Q50347246	Q19977083	Carl Gustaf Silfverskiöld	Peter Silfverskiöld	2	1	6000000012119727672
Q128046424	Q6082487	Gustaf Adolf Transehe von Roseneck	Nicolaus Iohannis Johansson Jr.	2	1	6000000006127193197
Q103771980	Q131763739	Magdalena von Mentzer	Lovisa Eleonora Rudbeck	2	1	6000000012641179202
Q136375935	Q792087	Ture Bengtsson Ribbing RSO	Axel Erik Roos till Lövås	2	1	6000000000404647739
Q136375935	Q111954766	Ture Bengtsson Ribbing RSO	Hedvig Charlotta Cronhielm af Flosta	2	1	6000000000404647739
Q136375935	Q140373642	Ture Bengtsson Ribbing RSO	Johan Gustaf Uggla till Averstad	2	1	6000000008366817417
Q136375935	Q6079124	Ture Bengtsson Ribbing RSO	Axel Pontus von Rosen	2	1	6000000015119258311
Q136375935	Q109829993	Ture Bengtsson Ribbing RSO	Gustaf Fredrik von Rosen	2	1	6000000015119258311
Q136375935	Q56300912	Ture Bengtsson Ribbing RSO	Robert Axel von Rosen	2	1	6000000015119258311
Q136375935	Q123503386	Ture Bengtsson Ribbing RSO	Carl Pontus von Rosen	2	1	6000000015119258311
Q1527696	Q137806522	Carl Aurivillius	Carl von Numers	2	1	6000000008391104730
Q1527696	Q5629850	Carl Aurivillius	Petrus Ekerman	2	1	6000000008391184274
Q1527696	Q66086126	Carl Aurivillius	Anna Törner	2	1	6000000008391184274
Q140373582	Q4355998	Hedvig Fredrika Lagerborg	Robert Wilhelm Lagerborg	2	1	6000000001501440168
Q5614957	Q496775	Erik Dahl	Andreas ( Anders ) Christersson Dahl	2	1	6000000030282704252
Q5614957	Q5614944	Erik Dahl	Christopher Christofer Dahl	2	1	6000000030282704252
Q4993171	Q3362707	Carl Alphonse Walleen-Bornemann Friherre	Knut Wladimir Walleen-Bornemann	2	1	6000000025580586295
Q124305632	Q53092130	Johan Didrik von Köhler	Georg Reinhold von Köhler	2	1	6000000006127769070
Q124305632	Q53093056	Johan Didrik von Köhler	Gustaf Wilhelm von Köhler till Vilsta	2	1	6000000006127769070
Q140197236	Q139501122	Gustaf Olofsson Nauclér	Olof Olofsson Nauclér	2	1	1609329
Q99435706	Q108817967	Johan Govert Indebetou	Joachim Wilhelm Almgren	2	1	6000000008260670782
Q99435706	Q140425936	Johan Govert Indebetou	Katarina Elisabeth Arosenius	2	1	6000000008260670782
Q5779239	Q23639489	Fredrik Gyllenborg	Arvid Gustaf Taube	2	1	6000000012461225994
Q128045629	Q6206403	Per Reinhold Söderhielm	Jacob Tersmeden till Larsbo	2	1	6000000007071784195
Q6014618	Q116761477	Enar Vilhelm Nordenfelt	Regina Christina Christina Nordenfeldt	2	1	6000000001994951163
Q6014618	Q98545697	Enar Vilhelm Nordenfelt	Maria Charlotta Nordenfeldt	2	1	6000000001994951163
Q6014618	Q116761455	Enar Vilhelm Nordenfelt	Johanna Frederika Nordenfeldt	2	1	6000000001994951163
Q6014618	Q120876944	Enar Vilhelm Nordenfelt	Johan Åke Nordenfeldt	2	1	6000000001994951163
Q123130432	Q133533803	Carl Gustaf Oxenstierna af Eka och Lindö	Sven Gabriel Oxenstierna av Eka och Lindö	2	1	6000000008808166441
Q5562579	Q137806522	Magnus Petri Aurivillius	Carl von Numers	2	1	6000000008391104730
Q5562579	Q140068848	Magnus Petri Aurivillius	Jonas Ullholm	2	1	6000000013489150099
Q5562579	Q131609302	Magnus Petri Aurivillius	Magnus Ullholm	2	1	6000000013489150099
Q56300912	Q109829993	Robert Axel von Rosen	Gustaf Fredrik von Rosen	2	1	6000000015119258311
Q56300912	Q123503386	Robert Axel von Rosen	Carl Pontus von Rosen	2	1	6000000015119258311
Q116779732	Q135479909	Jonas Olofsson Gammal	Hans Månsson Gammal	2	1	6000000026093176761
Q53818369	Q5747215	Beata Charlotta Wennerstedt	Carl Funck	2	1	6000000008392871355
Q104550242	Q89002567	Claes Hansson Wachtmeister	Bleckert Wachtmeister af Björkö	2	1	6000000011470418514
Q5613467	Q53093056	Gustaf Cronhielm af Flosta	Gustaf Wilhelm von Köhler till Vilsta	2	1	6000000008178103926
Q17384438	Q133824981	Samuel Verner von Troil Sr.	Beata Maria von Troil	2	1	6000000011830480462
Q17384438	Q126845150	Samuel Verner von Troil Sr.	Uno Knutsson von Troil	2	1	6000000011830480462
Q123178226	Q130684369	Mats Kagg	Agneta Johansdotter Ållongren	2	1	6000000008769078223
Q4980659	Q6251491	Margareta Hansdotter	Jacobus Johannis Zebrozynthius	2	1	6000000004033098133
Q4980659	Q6082487	Margareta Hansdotter	Nicolaus Iohannis Johansson Jr.	2	1	6000000005436567477
Q19820129	Q128163846	Carl Schæffer	Anna Charlotta Paykull	2	1	6000000019273082763
Q94935384	Q61109730	Matthias von Stackelberg	Otto Johann von Poll	2	1	6000000009945271268
Q94935384	Q128159529	Matthias von Stackelberg	Christina Luisa von Poll	2	1	6000000009945271268
Q94935384	Q128045156	Matthias von Stackelberg	Ebbe Ludwig von Toll	2	1	6000000009944855922
Q6229400	Q16649267	Elias Wolker	Elias Pedersson Pedersson Gavelius	2	1	6000000046751478093
Q6238796	Q6045757	Olof Olofsson Wexionius	Æschillus Olai Petraeus	2	1	6000000006268620197
Q6238796	Q109668936	Olof Olofsson Wexionius	Anna Henriksdotter Kock	2	1	6000000006268620197
Q96183001	Q1345250	Jacob Lenæus	Petrus Königsson Königsson	2	1	6000000008883663531
Q96183001	Q135479908	Jacob Lenæus	Margareta Hansdotter Gammal	2	1	6000000008883663531
Q96183001	Q131317316	Jacob Lenæus	Barbara Lenaea	2	1	6000000008883663531
Q4105463	Q26240160	Carl Hans Wachtmeister af Johannishus	Eva Magdalena Oxenstierna af Korsholm och Wasa	2	1	6000000011371285425
Q6034157	Q40097646	Carl Otto Palmstierna	Nils Fredrik Palmstierna	2	1	6000000012641619366
Q119868899	Q3655969	Laurentius Engelbrektsson	Anders Engelbertsson Bure	2	1	6000000003125122695
Q119868899	Q5590143	Laurentius Engelbrektsson	Jonas Bureus	2	1	6000000003125122695
Q119868899	Q26405863	Laurentius Engelbrektsson	Olof Engelbertsson Bure	2	1	6000000003125122695
Q119868899	Q121200009	Laurentius Engelbrektsson	Magdalena Engelbertsdotter	2	1	6000000003125122695
Q119868899	Q514315	Laurentius Engelbrektsson	Georg Olofsson Olofsson Stiernhielm till Wassula	2	1	6000000007648809473
Q119868899	Q46022216	Laurentius Engelbrektsson	Georg Otto Stiernhielm	2	1	6000000007648809473
Q128163815	Q3808928	Christina Lithman	Johannes Canuti Gestricius	2	1	6000000008394484862
Q6082487	Q18246625	Nicolaus Iohannis Johansson Jr.	Uno Trulsson	2	1	6000000005436567477
Q130359437	Q139033715	Catharina Goeding	Petrus Martin	2	1	1386965
