characters,culture,mul
渙 平江崑山,zh,渙
闐 致虛 秀州嘉興,zh,闐
戢 同州韓城,zh,戢
筠 曾,zh,曾筠
褒 仲嘉 衢州開化,zh,褒
褎 仲舉 衢州開化,zh,褎
袤 仲長 衢州開化,zh,袤
襲古 閬州閬中,zh,襲古
省華 善則 閬州閬中,zh,省華
俁 趙,zh,趙俁
勰 穆父 杭州錢塘,zh,勰
惔 文通 河東解縣,zh,惔
恬 河東解縣,zh,恬
叔宗 雙驎 河東解縣,zh,叔宗
約 元儉 河東,zh,約
鷟 元翔 河東解縣,zh,鷟
媚 河東,zh,媚
察躬 河東解縣,zh,察躬
心洽 鵬雲 張,zh,張心洽
執中 宣州宣城,zh,執中
榘 蘇州吳縣,zh,榘
棐 蘇州吳縣,zh,棐
湖州烏程,zh,
長歷 臨江清江,zh,長歷
襲譽 李,zh,李襲譽
蕃 晉如 應天宋城,zh,蕃
公綽 起之 河東解縣,zh,公綽
敻 敬遠 京兆杜陵,zh,敻
道約 季恭 范陽涿縣,zh,道約
趙郡平棘,zh,
琨 越石 中山魏昌,zh,琨
琅邪臨沂,zh,
陳郡陽夏,zh,陳郡陽夏
范陽涿縣,zh,
范陽涿縣,zh,
滎陽開封,zh,
略 儁興 河南洛陽,zh,略
滎陽開封,zh,
趙郡平棘,zh,
趙郡平棘,zh,
滎陽開封,zh,
太原晉陽,zh,太原晉陽
叔胤 趙國柏仁,zh,叔胤
隴西狄道,zh,
愷 長仁 范陽涿縣,zh,愷
河南洛陽,zh,
瓘 世恭 京兆杜陵,zh,瓘
廣平列人,zh,
恭 伯禮 泉州永春,zh,恭
丙 泉州永春,zh,丙
寔 泉州永春,zh,寔
苞 河東聞喜,zh,苞
暅 河東聞喜,zh,暅
慬 河東聞喜,zh,慬
邕 河東聞喜,zh,邕
叔業 河東聞喜,zh,叔業
叔寶 河東聞喜,zh,叔寶
奣 河東聞喜,zh,奣
潁 河東聞喜,zh,潁
道子 復泰 河東聞喜,ja,道子
瞿曇 河東聞喜,zh,瞿曇
希惇 處實 河東聞喜,zh,希惇
稹 道安 河東聞喜,zh,稹
儆 九思 河東聞喜,zh,儆
渾 拓跋,zh,拓跋渾
庫汗 拓跋,zh,拓跋庫汗
稹 微之 河南洛陽,zh,稹
臯 河東聞喜,zh,臯
汯 河東聞喜,zh,汯
助 蘇州長洲,zh,助
思恭 子禮 潭州衡山,zh,思恭
炤 越州山陰,zh,炤
損之 濟州鉅野,zh,損之
公諤 澶州清豐,zh,公諤
謙之 恭道 濟州鉅野,zh,謙之
仲約 濟州鉅野,zh,仲約
宗愨 世良 世長 澶州清豐,zh,宗愨
宗藻 開封,zh,宗藻
棣州商河,zh,棣州商河
渙之 濟州鉅野,zh,渙之
公耄 澶州,zh,公耄
遘 澶州清豐,zh,遘
端矩 虔州贛縣,zh,端矩
宗愿 濟州任城,zh,宗愿
子誰 撫州臨川,zh,子誰
子與 點仲 濟州鉅野,zh,子與
補之 無咎 濟州鉅野,zh,補之
璹 濟州鄆城,zh,璹
璘 濟州鄆城,zh,璘
模 叔範 處州縉雲,zh,模
欽卨 寬伯 濮州鄄城,zh,欽卨
琯 開封杞縣,zh,琯
璆 開封雍邱,zh,璆
希說 濮州鄄城,zh,希說
黯 少汲 開封雍邱,zh,黯
珉 開封杞縣,zh,珉
瑨 君表 開封雍邱,zh,瑨
庶中 宣州太平,zh,庶中
切問 舜從 河南,zh,切問
袁州宜春,zh,袁州宜春
仲棐 河南洛陽,zh,仲棐
明州鄞縣,zh,
柟 汝良 魏州莘縣,zh,柟
縠 開封,zh,縠
明州鄞縣,zh,
棠 蘇州長洲,zh,棠
棣 蘇州長洲,zh,棣
枃 蘇州長洲,zh,枃
樞 蘇州長洲,zh,樞
轂 開封,zh,轂
公援 伯劭 明州鄞縣,zh,公援
幽州薊縣,zh,
次卿 常州武進,zh,次卿
杲 常州武進,zh,杲
約 廬州合肥,zh,約
廬州合肥,zh,
垂 舜諧 虞臣 揚州廣陵,zh,垂
佖 子澄 常州武進,zh,佖
次元 希一 常州武進,zh,次元
昷之 景山 揚州廣陵,zh,昷之
璆 常州武進,zh,璆
爰卿 常州武進,zh,爰卿
常州武進,zh,
次山 希元 常州武進,zh,次山
宧 養正 常州武進,zh,宧
鄭州管城,zh,
省恭 閬州閬中,zh,省恭
逾 開封,zh,逾
惇謹 眉州眉山,zh,惇謹
知默 子思 鄭州管城,zh,知默
敦書 通叟 眉州眉山,zh,敦書
鄭州管城,zh,
詡 閬州閬中,zh,詡
兗 景淵 衡州衡陽,zh,兗
鄭州管城,zh,
眉州眉山,zh,
漸 鴻漸 閬州閬中,zh,漸
克恭 張,zh,張克恭
遊古 鄭州管城,zh,遊古
仔 眉州眉山,zh,仔
䙼 劍州沙縣,zh,䙼
陟明 杭州錢塘,zh,陟明
敦厚 子山 家山 眉州眉山,zh,敦厚
奎 劍州沙縣,zh,奎
浚明 杭州錢塘,zh,浚明
河南洛陽,zh,
幽州薊縣,zh,
幽州薊縣,zh,
峭 青州益都,zh,峭
青州益都,zh,
邠州新平,zh,邠州新平
正辭 江陵,zh,正辭
葆光 衡州衡山,zh,葆光
正彝 江陵,zh,正彝
婺州武義,zh,婺州武義
璲 成都華陽,zh,璲
泰州海陵,zh,
正紀 江陵,zh,正紀
穜 仁熟 婺州金華,zh,穜
盱貽天長,zh,盱貽天長
仲較 世卿 開封祥符,zh,仲較
宗翊 越州山陰,zh,宗翊
曮 信州上饒,zh,曮
球 美成 信州上饒,zh,球
歷 信州上饒,zh,歷
玨 越州山陰,zh,玨
天敘 越州山陰,zh,天敘
嚴州桐廬,zh,嚴州桐廬
越州山陰,zh,
鄂州武昌,zh,鄂州武昌
越州山陰,zh,
螺 韓,zh,韓螺
注 子東 越州會稽,zh,注
㻌 京兆長安,zh,㻌
揔 京兆長安,zh,揔
璵 京兆長安,zh,璵
稙 元直 泗州臨淮,zh,稙
璫 京兆長安,zh,璫
含章 明用 宣州宣城,zh,含章
琂 青州益都,zh,琂
愻 京兆長安,zh,愻
思恭 臨州狄道,zh,思恭
磻 宣州宣城,zh,磻
怤 京兆長安,zh,怤
慇 京兆長安,zh,慇
玭 慈州文城,zh,玭
惎 京兆長安,zh,惎
縞 縞 李,zh,李縞
琟 京兆長安,zh,琟
聽 京兆長安,zh,聽
係 京兆長安,zh,係
握 湖州長興,zh,握
崧 伯高 湖州歸安,zh,崧
嶠 仲高 湖州歸安,zh,嶠
廬州合肥,zh,
歛止 湖州歸安,zh,歛止
廬州合肥,zh,
珹 中玉 博州,zh,珹
廬州合肥,zh,
瑊 中玉 忠玉 廬州合肥,zh,瑊
玿 廬州合肥,zh,玿
沼 眉州通義,zh,沼
閬州南部,zh,閬州南部
杲 眉州眉山,zh,杲
簣 常州宜興,zh,簣
焞 趙州平棘,zh,焞
不欺 子正 眉州眉山,zh,不欺
峴 叔子 常州宜興,zh,峴
諤 伯昌 婺州金華,zh,諤
鄭州管城,zh,
祜 眉州通義,zh,祜
鎬 金華,zh,鎬
釿 眉州通義,zh,釿
惟演 眉州通義,zh,惟演
續 鎮江丹徒,zh,續
抃 夢得 道卿 眉州眉山,zh,抃
嶠 季真 常州宜興,zh,嶠
恬 金華,zh,恬
眉州眉山,zh,
眉州眉山,zh,
籍 季文 眉州眉山,zh,籍
覺 道濟 建昌南豐,zh,覺
栘 常州宜興,zh,栘
絪 趙州平棘,zh,絪
縱 鎮江丹徒,zh,縱
天球 粹夫 宋州宋城,zh,天球
紹恭 彥安 越州山陰,zh,紹恭
紆 鎮江丹徒,zh,紆
陟 宋州宋城,zh,陟
曅 叔茂 建昌南豐,zh,曅
訏 泰州海陵,zh,訏
撫州臨川,zh,
拯 仲仁 宋州宋城,zh,拯
慥 端伯 泉州晉江,zh,慥
朦 宋州宋城,zh,朦
泉州晉江,zh,
掄 湖州德清,zh,掄
耒 泉州晉江,zh,耒
蘇州常熟,zh,
喚 茂昭 潤州金壇,zh,喚
穜 獻之 泉州晉江,zh,穜
積善 弘農華陰,zh,積善
珏 德全 湖州烏程,zh,珏
越州山陰,zh,
棣 儀仲 撫州臨川,zh,棣
沆 撫州臨川,zh,沆
護 福州侯官,zh,護
伸 福州侯官,zh,伸
約 魏州莘縣,zh,約
异 文殊 弘農華陰,zh,异
耆老 杭州錢塘,zh,耆老
暄 景和 弘農華陰,zh,暄
旉 文衍 弘農華陰,zh,旉
玄獎 弘農華陰,zh,玄獎
約 弘農華陰,zh,約
弘暕 弘農華陰,zh,弘暕
鱣 弘農華陰,zh,鱣
寬 景仁 弘農華陰,zh,寬
弘冑 弘農華陰,zh,弘冑
紀 文憲 弘農華陰,zh,紀
謩 潭州衡山,zh,謩
辯 河南,zh,辯
辟邪 趙州平棘,zh,辟邪
南劍州將樂,zh,南劍州將樂
恃和 滑州匡城,zh,恃和
思恭 河南洛陽,zh,思恭
伯膺 河南,zh,伯膺
搏 趙州平棘,zh,搏
襲 滑州匡城,zh,襲
建州松溪,zh,建州松溪
纘 趙州平棘,zh,纘
世辯 河南,zh,世辯
恃顯 滑州匡城,zh,恃顯
公挺 河南,zh,公挺
默之 滑州匡城,zh,默之
道謙 河南洛陽,zh,道謙
孝恭 趙州平棘,zh,孝恭
渙 河南洛陽,zh,渙
裔 河南,zh,裔
去伐 河南洛陽,zh,去伐
閣 滑州匡城,zh,閣
洽 河南洛陽,zh,洽
侔 滑州匡城,zh,侔
元稱 河南,zh,元稱
逖 河東解縣,zh,逖
憬 河東解縣,zh,憬
慤 河東解縣,zh,慤
續 河東解縣,zh,續
潁之 河東解縣,zh,潁之
挺之 河東解縣,zh,挺之
寔 河東解縣,zh,寔
惇 河東解縣,zh,惇
勁 河南,zh,勁
待價 乃文 河東解縣,zh,待價
栖 河東解縣,zh,栖
大隱 河東解縣,zh,大隱
崇約 河東解縣,zh,崇約
謇之 河東解縣,zh,謇之
鴻漸 功期 河東解縣,zh,鴻漸
諤之 河東解縣,zh,諤之
防 江平 扶風茂陵,zh,防
柬之 吳郡吳縣,zh,柬之
鸑 河東解縣,zh,鸑
褒 清河東武城,zh,褒
陲 平仲 清河武城,zh,陲
弘默 清河東武城,zh,弘默
敷 清河東武城,zh,敷
郔 貝州清河,zh,郔
鍔 河南偃師,zh,鍔
孝彝 京兆杜陵,zh,孝彝
鄜 清河武城,zh,鄜
道默 清河東武城,zh,道默
諲 河南偃師,zh,諲
漪 清河東武城,zh,漪
寬 清河東武城,zh,寬
礪 鄭州榮陽,zh,礪
瑊 河南偃師,zh,瑊
羲 鄭州榮陽,zh,羲
頌 河南偃師,zh,頌
頎 河南偃師,zh,頎
槦 河南洛陽,zh,槦
敦 清河東武城,zh,敦
璆 清河武城,zh,璆
沌 清河東武城,zh,沌
士諤 金華浦江,zh,士諤
璀 清河武城,zh,璀
嶠 河南偃師,zh,嶠
璘 貝州清河,zh,璘
膠 鄭州榮陽,zh,膠
稱 鄭州榮陽,zh,稱
縕 建昌南城,zh,縕
珏 貝州清河,zh,珏
璬 清河武城,zh,璬
漵 清河東武城,zh,漵
兖 清河東武城,zh,兖
邠 處仁 清河武城,zh,邠
瑀 清河武城,zh,瑀
璞 清河武城,zh,璞
瀣 河北道河南府,zh,瀣
粲 清河東武城,zh,粲
璜 清河武城,zh,璜
鄠 貝州清河,zh,鄠
綜 清河武城,zh,綜
峴 鄭州榮陽,zh,峴
彥綽 清河武城,zh,彥綽
景恭 京兆杜陵,zh,景恭
絳 清河東武城,zh,絳
栟 河南洛陽,zh,栟
瓘 清河武城,zh,瓘
著 清河東武城,zh,著
頌 敦美 河南偃師,zh,頌
郾 廣略 清河武城,zh,郾
漸 河北道河南府,zh,漸
翽 蒲州河東,zh,翽
庠 清河東武城,zh,庠
濛 河北道河南府,zh,濛
蕃 彥弼 撫州金谿,zh,蕃
鄲 晉封 清河武城,zh,鄲
荐 清河東武城,zh,荐
士謐 金華浦江,zh,士謐
曥 文炳 河南偃師,zh,曥
道楨 清河東武城,zh,道楨
郕 河南偃師,zh,郕
穜 鄭州榮陽,zh,穜
塤 貝州清河,zh,塤
保謙 鄭州榮陽,zh,保謙
建娘 崔,zh,崔建娘
郇 清河武城,zh,郇
滂 河南澠池,zh,滂
孝獎 京兆杜陵,zh,孝獎
珮 清河武城,zh,珮
伷 清河武城,zh,伷
參 清河東武城,zh,參
稧 河北道河南府,zh,稧
鄯 清河武城,zh,鄯
名娘 崔,zh,崔名娘
河北道河南府,zh,
諷 清河武城,zh,諷
玄覽 清河東武城,zh,玄覽
稹 河北道河南府,zh,稹
鄘 貝州清河,zh,鄘
羨 清河東武城,zh,羨
粲 清河東武城,zh,粲
元藻 貝州清河,zh,元藻
渾 河北道河南府,zh,渾
愸 京兆杜陵,zh,愸
彥辭 鄭州榮陽,zh,彥辭
兗 河北道鎮州,zh,兗
謙 清河東武城,zh,謙
㮚 撫州金谿,zh,㮚
杭州錢塘,zh,
閏之 季章 眉州青神,zh,閏之
蘇州常熟,zh,
弗 眉州青神,zh,弗
撫州臨川,zh,
河南洛陽,zh,
平江崑山,zh,
褒 福州侯官,zh,褒
裒 衢州開化,zh,裒
幾 揚州江都,zh,幾
楚州山陽,zh,楚州山陽
棠 蘇州吳縣,zh,棠
紹錤 泉州永春,zh,紹錤
泉州永春,zh,
筠 端甫 泉州永春,zh,筠
寀 泉州永春,zh,寀
從願 泉州南安,zh,從願
延 開封,ja,延
季子 京兆武功,ja,季子
泳 河東聞喜,zh,泳
綜 河東聞喜,zh,綜
挺 河東聞喜,zh,挺
導 河東聞喜,zh,導
潁 京兆萬年,zh,潁
椿 岐州扶風,zh,椿
岐州扶風,zh,
麗澤 開封,ja,麗澤
綽 京兆武功,zh,綽
勗 慎行 京兆武功,zh,勗
傅 河東聞喜,zh,傅
韙 京兆武功,zh,韙
震 岐州扶風,zh,震
叔謩 河東聞喜,zh,叔謩
諤 匪躬 蘇,zh,蘇諤
洽 河東聞喜,zh,洽
測 伯源 河東聞喜,zh,測
貺 河東聞喜,zh,貺
潀 河東聞喜,zh,潀
憚 知止 河東聞喜,zh,憚
麗正 開封,ja,麗正
孝頊 河東聞喜,zh,孝頊
綰 京兆武功,zh,綰
寬 京兆萬年,zh,寬
河東聞喜,zh,
震 京兆萬年,zh,震
蒨之 文聽 河東聞喜,zh,蒨之
䋔 京兆武功,zh,䋔
叔卿 河東聞喜,zh,叔卿
常棣 河東聞喜,zh,常棣
調 京兆萬年,zh,調
泛 河東聞喜,zh,泛
潁 河東聞喜,zh,潁
頲 廷碩 京兆武功,zh,頲
汧 河東聞喜,zh,汧
淨 河東聞喜,zh,淨
含章 積中 河東聞喜,zh,含章
樞 河東聞喜,zh,樞
澈 河東聞喜,zh,澈
耕 德實 河東聞喜,zh,耕
磵 河東聞喜,zh,磵
演 河東聞喜,zh,演
河東聞喜,zh,
略 河東聞喜,zh,略
浮 河東聞喜,zh,浮
叔猷 河東聞喜,zh,叔猷
襲治 河東聞喜,zh,襲治
濟 仲溥 開封,ja,濟
整 勃海饒安,zh,整
泳 蘭陵,zh,泳
璪 唐州方城,zh,璪
璟 唐州方城,zh,璟
孚 蘭陵,zh,孚
鍇 蘭陵,zh,鍇
寶卷 智藏 南蘭陵,zh,寶卷
殷 太原祁縣,zh,殷
戡 蘭陵,zh,戡
漪 若水 襄州襄陽,zh,漪
愻 元將 蘭陵,zh,愻
沔 蘭陵,zh,沔
異 蘭陵,zh,異
廩 蘭陵,zh,廩
混 彭城,ja,混
湯 京兆長安,zh,湯
庸 應之 蘭陵,zh,庸
籍 蘭陵,zh,籍
俶 蘭陵,zh,俶
酇 蘭陵,zh,酇
祗本 弘農華陰,zh,祗本
踐本 弘農華陰,zh,踐本
頎 蘭陵,zh,頎
守挹 弘農華陰,zh,守挹
倣 思道 蘭陵,zh,倣
愿 蘭陵,zh,愿
願 唐州方城,zh,願
濛 蘭陵,zh,濛
俛 思謙 蘭陵,zh,俛
熲 蘭陵,zh,熲
結 弘農華陰,zh,結
珦 唐州方城,zh,珦
珎 弘農華陰,zh,珎
士積 弘農華陰,zh,士積
纁 襄州襄陽,zh,纁
弘農華陰,zh,
緘 弘農華陰,zh,緘
佻 張,zh,張佻
繤 弘農華陰,zh,繤
守拙 弘農華陰,zh,守拙
嶠 襄州安養,zh,嶠
柬之 孟將 襄州襄陽,zh,柬之
瑀 唐州方城,zh,瑀
繟 張,zh,張繟
四娘 陳,zh,陳四娘
嶧 襄州襄陽,zh,嶧
遺玉 吳興長城,zh,遺玉
惇 隴西狄道,zh,惇
爰 隴西狄道,zh,爰
敦禮 隴西狄道,zh,敦禮
峴 京兆長安,zh,峴
翺 京兆長安,zh,翺
務該 隴西狄道,zh,務該
璡 隴西狄道,zh,璡
繹 京兆長安,zh,繹
彝 昇州江寧,zh,彝
澹 河南伊闕,zh,澹
祗 京兆長安,zh,祗
元規 隴西狄道,zh,元規
瑊 隴西狄道,zh,瑊
仲舒 益之 隴西狄道,zh,仲舒
岌 隴西狄道,zh,岌
邠 隴西狄道,zh,邠
鯤 潤州,zh,鯤
玄崱 隴西狄道,zh,玄崱
去病 隴西狄道,zh,去病
汭 秦州成紀,zh,汭
乞豆 隴西狄道,zh,乞豆
論 隴西狄道,zh,論
义羅 隴西狄道,zh,义羅
愿 隴西狄道,zh,愿
矩 京兆長安,zh,矩
孚 隴西狄道,zh,孚
景悞 秦州成紀,zh,景悞
涗 秦州成紀,zh,涗
晞 隴西狄道,zh,晞
嵸 隴西狄道,zh,嵸
嶧 京兆長安,zh,嶧
景叔 京兆長安,zh,景叔
處淨 隴西狄道,zh,處淨
朏 隴西狄道,zh,朏
鉊 某 隴西狄道,zh,鉊
方叔 秦州成紀,zh,方叔
峽 京兆長安,zh,峽
岵 京兆長安,zh,岵
崌 京兆長安,zh,崌
景悞 潤州,zh,景悞
逖 隴西狄道,zh,逖
汙 潤州,zh,汙
璄 隴西狄道,zh,璄
沖寂 隴西狄道,zh,沖寂
鈒 隴西狄道,zh,鈒
濃 潤州,zh,濃
景翱 京兆長安,zh,景翱
洗 隴西狄道,zh,洗
沖虛 隴西狄道,zh,沖虛
滻 隴西狄道,zh,滻
荊 某 隴西狄道,zh,荊
喦 京兆長安,zh,喦
瑗 仲寶 隴西狄道,zh,瑗
峘 京兆長安,zh,峘
𕜗 京兆長安,zh,𕜗
鮪 潤州,zh,鮪
洸 隴西狄道,zh,洸
鰅 潤州,zh,鰅
炬 隴西狄道,zh,炬
袨 京兆長安,zh,袨
巘 京兆長安,zh,巘
禬 京兆長安,zh,禬
巒 京兆長安,zh,巒
峒 京兆長安,zh,峒
頊 河南伊闕,zh,頊
伋 忠州桂溪,zh,伋
奭 叔保 吉州廬陵,zh,奭
允蹈 吉州廬陵,zh,允蹈
琯 河南伊闕,zh,琯
拻 趙州贊皇,zh,拻
璞 趙州贊皇,zh,璞
翿 許州長社,zh,翿
敬彝 趙州柏鄉,zh,敬彝
昶 趙州柏鄉,zh,昶
愍 趙州贊皇,zh,愍
咺 趙州贊皇,zh,咺
