geni_id	qid	cjk_names	label_en	culture	state
6000000001829763097		磯城津彦玉手看尊 安寧天皇	An'nei-tenno (Shikitsuhikotamatemi)		already has an English label
6000000001829841012		伊邪那美	Izanami		already has an English label
6000000001830733934		素盞嗚尊(建速須佐之男命)	Susanoo		already has an English label
6000000001831488449		天火明命(饒速日命)	Toshigami		already has an English label
6000000001831687587		稲飯命	Inahi no Mikoto		already has an English label
6000000001831778691		大国主神	Okuninushi		already has an English label
6000000001831902232		媛蹈鞴五十鈴媛命	Himetataraisuzu-hime no Mikoto		already has an English label
6000000001831904319		三輪大物主神	Kotoshironushi		already has an English label
6000000001832571130		渟名底仲媛命	Nunasokonakatsu-hime		already has an English label
6000000001832591340		息石耳命	Ikisomimi no mikoto		already has an English label
6000000001832595216		鴨王(事代主息子) | 鴨王	Kamo no Okimi		already has an English label
6000000001832628034		天豊津媛命	Amatoyotsuhime no Mikoto		already has an English label
6000000001834696127		天香山	Takakuraji or Ame-no-Kaguyama no Mikoto		already has an English label
6000000001835290435		押媛(忍鹿比売命) | 押媛	Oshihime		already has an English label
6000000001835345068		世襲足媛尊	Yosotarashi-hime		already has an English label
6000000001835354112		天忍男命	Amaoshio no mikoto		already has an English label
6000000001835510622		大彦命 | 大彦	Prince Ohiko		already has an English label
6000000001835522164		稚武彦命(吉備氏祖) | 稚武彦命	Wakatakehiko		already has an English label
6000000001835725628		御間城姫	Mimakihime		already has an English label
6000000001836276184		八坂入彦命	Yasaka Iribiko		already has an English label
6000000001842997421		日葉酢媛命	Hibasu-hime		already has an English label
6000000001843033671		丹波道主王	King of Tanba		already has an English label
6000000001844033355		播磨稲日大郎姫	Harima no Inabi no Ōiratsume		already has an English label
6000000001844250627		八坂入媛命	Yasakairi-hime		already has an English label
6000000001844330496		稚足彦尊 成務天皇	Seimu-tenno (Wakatarashihiko)		already has an English label
6000000001844392528		五百城入彦皇子	Ioki Iribiko		already has an English label
6000000001846197347		五十琴姫命 | 五十琴姫命 物部	Goju Kotohime Mononobe		already has an English label
6000000001846260088		胆咋宿祢 物部 | 物部胆咋宿祢	Ikui Mononobe		already has an English label
6000000001846463714		息長宿祢王	Okinaga no Sukune		already has an English label
6000000001846508982		息長帯比売 神功皇后 | 息長帯比売命 神功皇后 | 神功皇后	Jingū-kōgō (Okinagatarashi-hime)		already has an English label
6000000001846936883		迦迩米雷王	Kanime Ikazuchi		already has an English label
6000000001847540063		丹波之河上之摩須郎女	Saho no Ookuramitome		already has an English label
6000000001848355449		品陀真若王	Homuda Mawaka		already has an English label
6000000001848421960		大綜麻杵	Ōhesoki		already has an English label
6000000001848494033		仲姫命	Nakatsuhime		already has an English label
6000000001849117976		雌鳥皇女	Metori no Himemiko		already has an English label
6000000001849160328		矢田皇女	Yatanohimemiko		already has an English label
6000000001849174587		隼総別皇子	Prince Hayabusawake		already has an English label
6000000001850168969		玉郎女	Tamarojo		already has an English label
6000000001850371939		登富志郎女	Tohoshi no Iratsume		already has an English label
6000000001850451588		迦多遅王	Katashiwa-no-Miko		already has an English label
6000000001850513243		川原田郎女	Kawarata no Iratsume		already has an English label
6000000001850530180		忍坂大中比売 | 忍坂大中比売(応神天皇皇女)	Oshisaka no Ōnakatsuhime		already has an English label
6000000001858377742		大泊瀬稚武皇子 雄略天皇	Yuryaku-tenno (Ohatsusewakatakeru)		already has an English label
6000000001858455069		雄朝津間稚子宿禰尊 允恭天皇	Ingyo-tenno (Oasazumawakugonosukune)		already has an English label
6000000001858481102		多遅比瑞歯別尊 反正天皇	Hanzei-tenno (Tajihinomizuhawake)		already has an English label
6000000001858594396		穴穂皇子 安康天皇	Anko-tenno (Anaho)		already has an English label
6000000001859812156		白髪皇子 清寧天皇	Seinei-tenno (Shiraka)		already has an English label
6000000001860311207		小泊瀬稚鷦鷯尊 武烈天皇	Buretsu-tenno (Ohatsusenowakasazaki)		already has an English label
6000000001860414012		弘計王 顕宗天皇	Kenzo-tenno (Oke)		already has an English label
6000000001860632103		檜隈高田 宣化天皇	Senka-tenno (Hinokumanotakata)		already has an English label
6000000001860823306		勾 安閑天皇	Ankan-tenno (Magari)		already has an English label
6000000001893058363		小鳥 土師 | 土師小鳥	Otori Haji-no-muraji		already has an English label
6000000001893076404		身臣 土師 | 土師身臣	Minomi Haji-no-muraji		already has an English label
6000000001893089375		昨子 土師 | 土師昨子	Kuiko Haji-no-muraji		already has an English label
6000000001893109250		大保度 土師 | 土師大保度	Ohodo Haji-no-muraji		already has an English label
6000000001893111445		阿陀勝	Adakatsu		already has an English label
6000000001893120054		首 土師 | 土師首	Obito Haji-no-muraji		already has an English label
6000000001893123151		盤毘	Iwai		already has an English label
6000000001893134156		意富曽婆 土師 | 土師意富曽婆	Ohusoba Haji-no-muraji		already has an English label
6000000001893332397		古人 菅原 | 菅原古人	Furuhito sugawara-no-ason		already has an English label
6000000001893412323		清公 菅原 | 菅原清公	Kiyokimi sugawara		already has an English label
6000000001893412489		八嶋 土師 | 土師八嶋	Yashima Haji-no-muraji		already has an English label
6000000001893413214		阿多	Ata-no-mikoto no Mikoto		already has an English label
6000000001893436003		韓日狭	Karahisa-no-mikoto		already has an English label
6000000001893442226		是善 菅原 | 菅原是善	Koreyoshi sugawara		already has an English label
6000000001902657231		稚子 大河内	Oshikawachi no Wakugohime		already has an English label
6000000001902786893		太媛 | 太媛 物部	Futohime Mononobe		already has an English label
6000000001902834083		火焔	Honowo		already has an English label
6000000001902965288		倉麻呂 蘇我	Soga no Umako		already has an English label
6000000001903054386		石足 石川	Ishikawa no Ishiashi		already has an English label
6000000001903163316		池辺 用明天皇	Ikenobe Yomei-tenno		already has an English label
6000000001903206106		額田部 推古天皇	Nukatabe Suiko-tenno		already has an English label
6000000001903322114		泊瀬部 崇峻天皇	Hatsusebe Sushun-tenno		already has an English label
6000000001903649585		厩戸 | 聖徳太子	Prince Shōtoku		already has an English label
6000000001904176164		軽 孝徳天皇	Karu Kotoku-tenno		already has an English label
6000000001904195173		天武天皇 | 大海人 皇子	Tenmu Ōama		already has an English label
6000000001904234972		鸕野讚良 持統天皇	Unonosarara Jito-tenno		already has an English label
6000000001904428971		大友 弘文天皇	Otomo Kobun-tenno		already has an English label
6000000001904474072		高市 皇子	Takechi		already has an English label
6000000001904547828		氷上大刀自 氷上 | 大刀自 氷上 | 氷上娘(氷上大刀自)	Lady Higami		already has an English label
6000000001904565288		鎌足 中臣	Fujiwara no Kamatari		already has an English label
6000000001904712978		カヂ媛娘	Lady Kajihime		already has an English label
6000000001904732565		舎人親王 | 舎人	Toneri		already has an English label
6000000001904782044		五百重娘 藤原	Ioe no Iratsume Fujiwara		already has an English label
6000000001904794189		大蕤娘 蘇我 | 大蕤娘	Lady Ōnu		already has an English label
6000000001906745332		房前 藤原	Fujiwara no Fusasaki		already has an English label
6000000001907005001		不比等 藤原	Fujiwara no Fuhito		already has an English label
6000000001907386360		内麻呂 藤原	Fujiwara no Uchimaro		already has an English label
6000000001907386405		真楯 藤原	Fujiwara no Matate		already has an English label
6000000001907501974		道長 藤原	Michinaga Fujiwara		already has an English label
6000000001907678309		基経 藤原	Mototsune Fujiwara		already has an English label
6000000001907993526		武智麻呂 藤原	Fujiwara no Muchimaro		already has an English label
6000000001913876918		兼基 二条 | 二条兼基	Kanemoto Nijo		already has an English label
6000000001921160531		六角頼綱	Yoritsuna Rokkaku		already has an English label
6000000001922187874		融 源	Toru Minamoto		already has an English label
6000000001931434204		光子 藤原 | 藤原光子	Mitsuko Fujiwara		already has an English label
6000000001931748904		晴秀 勧修寺 | 勧修寺晴秀	Haruhide Kajuji		already has an English label
6000000001932064076		元子 粟屋 | 粟屋元子	Awaya		already has an English label
6000000001932120034		元隆 粟屋 | 粟屋元隆	Mototaka Awaya		already has an English label
6000000001952252790		長宗我部重氏 | 重氏 長宗我部	Shigeuji Chōsokabe		already has an English label
6000000001952260956		河勝 秦 | 秦河勝	Hata no Kawakatsu		already has an English label
6000000001952315196		長宗我部俊宗 | 俊宗 長宗我部	Toshimune Chōsokabe		already has an English label
6000000001952356038		長宗我部重俊 | 重俊 長宗我部	Shigetoshi Chōsokabe		already has an English label
6000000001952385089		秦能俊 | 能俊 秦	Yoshitoshi Hata		already has an English label
6000000001952391098		長宗我部忠俊 | 忠俊 長宗我部	Tadatoshi Chōsokabe		already has an English label
6000000001980087195		有栖川宮熾仁親王 | 熾仁 有栖川宮	Taruhito Arisugawa		already has an English label
6000000001985107443	Q2410760	昭良 一条 | 一条昭良	Akiyoshi Ichijo		already has an English label
6000000001989604160		満仲室 藤原	daughter of Fujiwara no Munetada		already has an English label
6000000001989703068		頼親 源	Minamoto no Yorichika		already has an English label
6000000001996627837		隆子 逢春門院 櫛笥 | 逢春門院	Takako Kushige		already has an English label
6000000002039711104		物部荒山 | 荒山 物部	Arayama Mononobe		already has an English label
6000000002039711241		目 物部 | 物部目	Mononobe no Me		already has an English label
6000000002039745463		物部尾輿 | 尾輿 物部	Okoshi Mononobe		already has an English label
6000000002039751362		物部伊莒弗 | 伊莒弗 物部	Ikofutsu Mononobe		already has an English label
6000000002039755863		十千根 物部 | 物部十千根	Toochine Mononobe		already has an English label
6000000002039880063		五十琴 物部 | 物部五十琴	Mononobe no Ikoto		already has an English label
6000000002039915289		代祢命	Yo Katashiro no Mikoto		already has an English label
6000000002039950067		彦湯支命	Hikoyu		already has an English label
6000000002039963109		登美夜須毘売	Tomiyasushi		already has an English label
6000000002039974016		宇摩志麻治命	Umashimaji no Mikoto		already has an English label
6000000002175912846		惟岳室 源	wife of Fujiwara no Koretake		already has an English label
6000000002177258977		伊尹 藤原	Koretada Fujiwara		already has an English label
6000000002177270080		昭子 源	Fujiwara no Akiko		already has an English label
6000000002187576411		원세조 쿠빌라이 칸 | ·忽必烈 孛兒只斤	Khubilai-Khan, Khagan of the Mongol Empire & 1st Emperor of the Yuan dynasty		already has an English label
6000000002187576433		蒙哥 孛兒只斤	Möngkä Borjigin dynasty 4th Great Khan of the Mongol Empire		already has an English label
6000000002187576459		旭烈兀 孛兒只斤	Hulagu Borjigin dynasty		already has an English label
6000000002188001969		托托罕	Toqoqan Borjigin dynasty		already has an English label
6000000002188002174		赤温 嘎楚嘎额珍 孛兒只斤	Qashï'un~ältchi 嘎楚嘎额珍 Borjigin dynasty		already has an English label
6000000002188002256		海都汗 博爾濟吉特	Qaidu Borjigin		already has an English label
6000000002188099103		孛端察儿 博爾濟吉特	Bodonchar-mungqaq Borjigit		already has an English label
6000000002188099914		顯 隴西狄道 七	Li Xian 李顯 Emperor Zhongzong of Tang		already has an English label
6000000002188101188		渊 | 淵 叔德 隴西狄道 四	Li Yuan 叔德 李		already has an English label
6000000002188101251		伽羅 獨孤 七	Empress Wenxian née Dugu		already has an English label
6000000002188101257		庫者 獨孤	Dugu Kuzhe		already has an English label
6000000002188101265		初豆伐 俟尼	Tu-ku Ta-Sien		already has an English label
6000000002188101485		王汗	Tughrul of the Kereit Khan		already has an English label
6000000002188144130		陳 | 阿嬌 陳	Empress Chen		already has an English label
6000000002188144158		劉	Liu		already has an English label
