geni_id	our_name	qid	candidate_name	via_child	shared_kid_words	shared_spouse_words
5232697877260054722	Pedro de Alcântara Luís Filipe Maria Gastão Miguel Gabriel Rafael Gonzaga de Orléans e Bragança	Q2566662	Pedro de Alcantara, Prince of Grão-Pará	Teresa Maria Teodora d'Orléans e Bragança Princesa d´Orléans e Bragança	francisca gasto joo pedro teodora teresa	
6000000016594593046	Mikhail Nicolaevich Muravyov	Q2607333	Mikhail Muravyov	Nicolai Mikhailovich Muravyov	muravyov	
6000000001777323448	Maria Gonzaga	Q588360	Maria Gonzaga, Duchess of Montferrat	Carlo Gonzaga	gonzaga	gonzaga
6000000003615868340	Barbara Browne	Q75263669	Barbara Browne	William Gore-Langton	6th baronet charles gore gorelangton mostyn pyers william	
6000000017657200138	Екатерина Святославовна кн. Шаховская	Q105772085	Yekaterina Korvin-Berzhinskaya		shakhovskoy	
6000000004540210557	Maria Nikolayevna Tolstaya	Q21092125	Mariya Volkonskaya	Lev Nikolayevich Tolstoy	nikolay tolstaya tolstoy	
6000000008855968974	Anastasia Petrovna Gorvataya-Shuyskaya	Q61866931	Anastasia Chovrina-Golovina	Irina Alexandrovna Mstislavskaya	alexandrovna irina	
6000000015339221347	Nikolai Dmitrievich Fst. Kropotkin	Q104210953	Nikolay Kropotkin	Elis.Nikol. Bordehl von Bordelius		
6000000079237582020	Henri Charles Emmanuel Greffulhe comte	Q3132810	Henry Greffulhe	Elaine Marie Joseph Charlotte de Greffulhe	elaine greffulhe	elisabeth
6000000059989468026		Q105609248	Fyodor Lopukhin	Adrian Fedorovich Lopukhin	adrian lopukhin	
6000000017132784885	Gaspare Melzi VII Conte di Magenta	Q41617109	Gaspare Melzi	Paula de Melzi y Eril dama noble	deril francesco melzi	
6000000002934660014	広言 惟宗	Q11073324	Koremune no Tadayasu	忠久 島津		
6000000002933557025	丹後内侍 比企	Q111366618	藤原遠宗の娘 (惟宗広言の妻)	忠久 島津		
6000000184175468822	Джиляхстан Татарк(х)анов	Q110737654	Kiltsiko, chieftain in Kabarda	Rusudan Багратиони	rusudan	
6000000002657718202	Ekaterina Leonidovna Ignatieva	Q102442491	Yekaterina Ignatyeva	Nikolai Nikolaevich Ignatiev	ignatieff ignatiev leonid nikolai vladimir	
6000000013456821163	Vasily Ivanovich Meshchersky	Q76372910	Vasily Meshchersky	Boris Vasilyevich Mestchersky	boris ivan mestchersky vasilievich von	
377258157880013634	Đurađ Branković	Q342130	Đurađ Branković	Lazar Branković	brankovi grgur katarina lazar mara stefan	
6000000018750010487	Мария Ивановна Римская-Корсакова	Q111576523	Maria Ivanovna Rimskay-Korsakova	Наталья Александровна Акинфова	rimskykorsakov	
6000000006772115293	Maria Ivanovna Dolgorukova	Q56232899	Mariya Galitzina	Aleksei Grigorievich Dolgorukov	dolgorukov	dolgorukov
6000000006944555245	Alexandra Mikhaïlovna Михайловна Apraxina	Q75970227	Aleksandra Sheremeteva	Peter Федорович Apraxin	apraksin apraksina apraxin fyodorovich yekaterina	
6000000019346778242	Alexander Michailovitch Михайлович Count Tolstoi	Q75392539	Aleksandr Tolstoy	Irina Alexandrovna Александровна von Isenburg	irina	
6000000008447731021	Maria Aleksandrovna Shuvalova	Q75318089	Mariya Komarova	Александр Павлович Шувалов	olga shuvalova	
6000000003405649833	Alfonso Maria Giuseppe Alberto di Borbone Due-Sicilie conte di Caserta	Q439014	Prince Alfonso, Count of Caserta	Gabriele Maria di Bourbón Delle Due Sicilie	archduchess bourbontwo calabria castro cristina dassisi filippo francesco gennaro immacolata maria paola pia ranieri sicilies	antonietta maria
6000000003405691988	Maria Antonietta Giuseppina Leopoldina di Borbone-Due Sicilie contessa di Caserta	Q255400	Princess Maria Antonietta of Bourbon-Two Sicilies	Gabriele Maria di Bourbón Delle Due Sicilie	archduchess bourbontwo calabria castro cristina dassisi filippo francesco gennaro immacolata maria paola pia ranieri sicilies	alfonso caserta
6000000012479730255	María del Olvido Fernández-Maquieira	Q75370042	María de Borbón y de Castellví	Carlos Fernández-Maquieira y de Borbón	alberto borbn carlos carlota fernando fernndezmaquieira jaime mara	
6000000008864423453	Evdokia Feodorovna Odoyevskaja	Q75970098	Yevdokiya Sheremeteva		odoyevsky	nikita odoyevsky
6000000015627688825	François de Montmorency- Fosseux	Q1451255	François de Montmorency-Bouteville	François-Henri de Montmorency	elisabethangelique franoishenri louise marie montmorency	
6000000008864387314	Andrey Konstantinovich Bezzubtsev	Q75970040	Andrey Bezzubtsev-Sheremet	Vasily Andreyevich Sheremetev	sheremetev vasily	
6000000033279721872	Alexander August Gustav Henric Achim Albrecht von Quistorp	Q95006158	Alexander von Quistorp		braun maria von	
6000000003935033242	Hillarion Illarionovich Vorontzov-Daschkov	Q4125787	Illarion Vorontsov-Dashkov	Maria Ilarianovna Romanov Princess of Russia		irina
6000000002188370492	Maria Theresa Maddalena of Bourbon-Two Sicilies Princess of Hohenzollern	Q272513	Princess Maria Teresa of Bourbon-Two Sicilies	Franz Joseph von Hohenzollern-Emden Prinz	franz friedrich hohenzollernemden joseph	wilhelm
6000000014519888684	Софья Ивановна Дмитриева-Мамонова	Q120753793	Sofya Yafimovich	Sofia Alexandrovna Delaunay		
6000000000701212674	William Ruthven	Q8017874	William Ruthven, 2nd Lord Ruthven	Patrick Ruthven Lord Ruthven	alexander barbara cecilia christian lilias lord margaret patrick ruthven	halyburton janet
6000000002188374769	Maria Antonia Roberta Blanka Leopoldina Beatrix Margarita Karoline Josepha Raphaela of Austria princess of Tuscany	Q17363712	Archduchess Maria Antonia of Austria	Blanca María de las Nieves Orlandis y Habsburgo	antonia blanca habsburgo isabel juan orlandis pinopar	
6000000016720007613		Q115957119	Vassili Nikolaïevitch Repnine-Volkonski		varvara	
6000000015889639576	Мария Николаевна герцогиня Лейхтенбергская де Богарнэ	Q75329831	Maria von Leuchtenberg	Alexandra Nikolaevna Меликова	alexandra leuchtenberg nicolaevitch nicolas von	
6000000023452983992	Екатерина Дмитриевна Пирогова	Q116200859	Ekaterina Berezina			
6000000015627750816	Madeleine-Charlotte-Bonne-Thérèse de Clermont-Tonnerre-Luxembourg	Q2595601	Magdalena van Tonnerre	Angélique-Cunégonde de Montmorency-Luxembourg	charles frederic montmorencyluxembourg paul sigismond	
6000000015548906598	Ernst Burchard Graf Mengden von Altenwoga	Q12362303	Ernst Burchard von Mengden	Georg* Heinrich Ludwig	georg	
6000000006927268077	Елизавета Алексеевна Нарышкина	Q104151643	Yelizaveta Alekseyevna Narishkina			
6000000008630790179	Amelia Anne Sophia Stanley	Q75264696	Lady Amelia Stanley	William Murray 2nd Lord Nairne	2nd amelia charles edward james john lord mungo murray nairne william	
6000000016461131755	Maria Anna Bertha Wilhelmine Christiane Elisabeth Rositta Szapáry de Szapár	Q24846548	Hedwig von Szapáry	Marianne Caroline Franziska Walpurga Bernadette Koczorowska	bernadette franziska muraszombath szapry walpurga	
6000000040560307558	Vera Bsse. von Wolff	Q112327832	Vera, Freiin von Wolff	Nikolaus Paul Wilhelm von Sturm	nikolaus von	
6000000004106626509	Sophia Alexandrovna Countess Bobrinskaya	Q15064535	Sofya Aleksandrovna Bobrinskaya	Alexander Alekseyevitch Count Bobrinsky	bobrinsky lev vladimir	
6000000016229273441	Maria Anna von Lobkowicz	Q75294957	Anna Prinzessin von Lobkowicz	Carl Josef Maria Antonius Oskar Philipp Leonhard Melchior Fürst von Wrede	carl hedwig ida leonhardine von wrede	
6000000016317247751	Christine Croy	Q75368546	Princess Christiane of Auersperg-Trautson	WILHELMINE Maria Christiane Elisabeth Antonia von Croÿ	agathe alexander antonia antonie antonius balthasar christiane cro elisabeth franz franziska karl kaspar klemens maria marie martina melchior prinz von wilhelmine	
6000000168137647067	Giorgi IX Bagrationi	Q2349593	George IX of Imereti	Mariam Bagrationi	bagrationi	mzekhatun
6000000186821602822	Mzekhatun Bagrationi	Q131929896	Mzekhatun Dadiani	Mariam Bagrationi	bagrationi david	
6000000029517569265	Friedrich FERDINAND Maria Ludwig Alfons Philipp Joseph Leopold Felix Graf Bossi-Fedrigotti di Campobove	Q106283285	Ferdinand Bossi-Fedrigotti	Marie Leopoldine Josefine Clara Gräfin Trapp von Matsch	friedrich graf grafin	
6000000002494774049	Roberto Carlo Luigi Maria di Borbone-Parma	Q314577	Robert I, Duke of Parma	Felix Bourbon-Parma	adelaide anastasia antonia augusto beatrice bourbonparma felix ferdinand francesca henrietta joseph luigi maria pia sixtus zita	infanta maria pia
6000000024430507013	Marina Nikolayevna Gagarina	Q124658798	Marina Trubetskaya	Maria Nikolayevna Shakhovskaya	maria marina sofia	
6000000005230995094	Vera Grigorievna Gregorievna von der Pahlen	Q104633171	Vera Chernyshyova	Вера Фридриховна Гагарина	der leonid pahlen von	
6000000012864596510	Sophie Födorowna Фёдоровна Bsse. Staël von Holstein	Q107983016	Sofya Andrault	Olga Nikolajevna Николаевна Оом	olga	
6000000006977145048	Lyubov Vasilyevna Trubetskaya	Q105709050	Lyubov Orlova-Denisova	Maria Nikolayevna Kristi	maria pyotr trubetskoy	
6000000018436023980	Natalia Shakhovskoy	Q105715312	Natalya Trubetskaya	Johann Nikolaevich Shakhovskoy		
6000000012747637808	Joseph Franz Maximillian Ferdinand Karl von Lobkowicz	Q570845	Joseph Francis, 7th Prince of Lobkowicz	Joseph Franz Karl Lobkowicz	anna eleonore ferdinand johann joseph karl lobkowicz ludwig marie nepomuk von windischgraetz	
6000000080341476323	Georg Aleksandrovich Count Bobrinsky	Q4088714	Georgiy Bobrinsky	Olga Georgeevna Бобринская	bobrinsky olga vladimir	
6000000027261704581	Margareta Marie Desideria Aloisia Josefa Johanna Von Hoenning O'Carroll	Q75318065	Margarite Prinzessin von Lobkowicz	Agnes Gabriele Maria Jaroslava Johanna von Nepomucek Pia Georgine Desideria Theresia Vom Kinde Jesu Kordula Miloradovich	agnes albert hoenning leopold ocarroll von zdenko	
6000000008114729428	Friedrich Christian Albert Leopold Anno Sylvester Macarius von Sachsen Prinz, Markgraf von Meißen	Q62265	Prince Friedrich Christian, Margrave of Meissen	Mathilde Maria Josepha Anna Xaveria Saxe-Coburg and Gotha	anna emanuel josepha maria mathilde saxony	
6000000008280382393	Maria Antónia Micaela Rafaela Gabriela Adelaide Xavier Josefa Expedita Gregória de Bragança	Q76371269	Infanta Maria Antonia of Portugal	Maria Mafalda Teresa Stenbock-Fermor	chanler mafalda maria teresa	
6000000035628230957	Elene Irakliivna Bagrationi	Q12126812	Princess Elene of Georgia	Mariam Bagrationi	bagrationi solomon	
6000000104577578983	Johann Nepomuk Maria Joseph Anton Xaver Vincenz Aloys Franz de Paula Stanislaus Bernhard Felix Damasus zu Sachsen	Q57538	Johann I of Saxony	Margaretha Karoline Friederike Cecilie Auguste Amalie Josephine Elisabeth Maria Johanna von Sachsen Erzherzogin von Österreich	albert anna elisabeth georg karl ludwig margaretha maria sophie	
6000000016899437107	Franz Eugen von Lobkowitz	Q24237133	František Lobkowicz	Maria Theresia von Lobkowitz	caroline friedrich jaroslav lobkowicz lobkowitz von	
6000000017158214313	François Marie de Lorraine	Q1279599	François Marie of Lorraine, prince of Lillebonne	Béatrice Hiéronyme de Lorraine	beatrice charles elisabeth franois franoise henri hieronyme jeanne lorraine louis marie	anne lorraine
6000000018742236535	Анастасия Николаевна Мальцова	Q101751843	Anastasiya Maltsova	Капитолина Сергеевна Дориан		
6000000103658089899	Bezhan Dadiani I	Q4153997	Bezhan Dadiani	Mariam Dadiani	dadiani mariam otia	
5675034716440048937	Yosef Dov Soloveitchik, Beis Halevi	Q1973117	Yosef Dov Soloveitchik	"Chaim ""Brisker"" Soloveitchik"	chaim soloveitchik	
6000000008379165803	Amalia Filipina del Pilar Blasa Bonisa Vita Rita Lutgarda Romana Judas Tadea Alberta Josefa Ana Joaquina Los Doce Apostólicos Bonifacia Domenica Bibiana Verónica de Borbón y Borbón-Dos Sicilias Princess of Spain, Princess of Bavaria	Q268365	Infanta Amalia of Spain	Isabella Maria Elisabeth von Bayern Prinzessin, Ducessa di Savoia-Genova	alfons bavaria clara elvira ferdinand isabella ludwig princess	
6000000005230828709	Anatols	Q323689	Anatol von Lieven	Dina Antoinette Cornelie Bsse. von Hahn	dina hahn von	lieven von
6000000020735400820	Elizaveta Nikolayevna Osorgina	Q124658701	Elizaveta Trubetskaya	Sofia Mikhailovna Lopukhina	antonina mikhail osorgin osorgina sergey	
6000000002188370820	Ludwig Gaston Klemens Maria Michael Gabriel Raphael Gonzaga Saxe-Coburg-Gotha	Q2553842	Prince Ludwig of Saxe-Coburg-Kohary	Antonius Maria Ludwig Klemens Eugen Karl Heinrich August Luitpold Leopold Franz Wolfgang Peter Gaston Alexander Alfons Ignatius Aloysius Stanislaus Saxe-Coburg and Gotha	antonius gotha immaculata maria	mathilde
6000000002188370828	Mathilde Marie Theresia Henriette Christine Luitpolda Saxe-Coburg-Kohary	Q63082	Princess Mathilde of Bavaria	Antonius Maria Ludwig Klemens Eugen Karl Heinrich August Luitpold Leopold Franz Wolfgang Peter Gaston Alexander Alfons Ignatius Aloysius Stanislaus Saxe-Coburg and Gotha	antonius gotha immaculata maria	ludwig
6000000001842851360	Charles III de Lorraine	Q1281245	Charles III of Lorraine, Duke of Elbeuf	Henri de Lorraine	anne charles eleonore emmanuel frederic henri henriette lorraine louis louise marie maurice suzanne	tour
6000000014785945062	Marie Françoise Celestine-Gabrielle Greffuhle	Q14782688	Marie-Françoise-Célestine-Gabrielle de Vintimille du Luc	Louis Charles de Greffuhle	amelie celestine darmaille greffulhe henri jeanne josephine marie	
6000000017969887527		Q103804793	Andrey Prozorovsky	Ivan Andreyevich Prozorovsky	ivan prozorovsky	
6000000018295891147	Ирина Матвеевна Прозоровская	Q103804801	Irina Velyaminova-Zernova	Ivan Andreyevich Prozorovsky	ivan prozorovsky	
6000000059620324010	Sergei Nikititch prince Troubetskoy	Q4464176	Sergey Trubetskoy	Piotr Sergeyevich Troubetskoy		
6000000023695834493	Sophia Iraklievna princess Troubetskaya	Q76372477	Sofia Bagration-Muchrani	Piotr Sergeyevich Troubetskoy		
6000000022421579951		Q4406025	Aleksandr Saltykov			
6000000002188088388	James Leslie	Q75257550	James Leslie, Master of Rothes	John Leslie	jean john leslie	drummond katherine
6000000004566920672	Katherine Drummond	Q75257551	Katherine Drummond	John Leslie	jean john leslie	james leslie
6000000002188425844	Amelie Maria von Bayern Prinzessin, Duchess of Urach	Q63532	Duchess Amalie in Bavaria	Rupprecht Eberhard Wilhelm Gero Maria v. Urach, Graf von Württemberg Fürst von Urach, Graf von Württemberg	albrecht eberhard elisabeth gabriele gero karl marie urach wilhelm	
6000000008450261906	Ольга Петровна Долгорукова	Q104475101	Olga Dolgorukova		aleksandrovna dolgorukov mensdorffpouilly olga varvara von	
5044714012680028079	Alexandra Nikolaevna Wolkonsky	Q61870683	Aleksandra Volkonskaya		volkonsky	
6000000002860042009	"María Cristina de Borbón y Borbón-Dos Sicilias ""La Infanta Boba"""	Q2584497	Infanta Maria Cristina of Spain	Pedro de Alcántara de Borbón y Borbón	alcntara alfonso borbn francisco gabriel jess luis mara pedro	infante portugal
6000000026247494821	John Fleming	Q75276084	John Fleming, 4th Earl of Wigton	Jean Fleming	fleming jean	
6000000003934965072	Alexandra Kirillovna Bar. de Poilly	Q61638016	Aleksandra Naryshkina	Hillarion Ivanovich Count Vorontsov-Dashkov	vorontsovdashkov	
6000000004391553009	Platon Ivanovitch Musin-Pushkin	Q11995824	Platon Musin-Pushkin	Valentin Platonovitch Count Musin-Pushkin	musinpushkin valentin	
6000000182301879865	Louise Marie Charlotte d'Arenberg	Q19368934	Louise Marie Charlotte d'Arenberg	Robert Jean de Vogüé	marie melchior vogue	
6000000018493341540	Evgeny Ivanovich Yakushkin	Q4537334	Evgeny Yakushkin	Vyacheslav Evgenyevich Yakushkin	evgeny vyacheslav yakushkin	
6000000008212428328	Heinrich Ferdinand Ferdinand Salvator Maria Joseph Leopold Karl Ludwig Pius Albert Rupert Katharina von Habsburg-Lothringen	Q1597211	Archduke Heinrich Ferdinand of Austria	Heinrich von Habsburg-Lothringen	habsburglothringen heinrich veronika von	
6000000016638954813	Joseph François de la Croix de Castries II Marquis de Castries	Q109487527	Joseph-François de La Croix	Charles Eugène Gabriel de la Croix de Castries IV Marquis de Castries	charles croix eugne gabriel	
6000000004543784807	Andrey Lvovich Tolstoy	Q60837083	Andrey Tolstoy			
6000000002322337040	Anastasia Romanovna Zakharyina-Yurieva	Q260663	Anastasia Romanovna	Fyodor I Ivanovich Rurikov	eudokia ivan ivanovich ivanovna maria tsarevich	ivan
6000000002188429210	Maria Pia di Borbone-Due Sicilie ducessa di Borbone-Parma	Q238453	Princess Maria Pia of Bourbon-Two Sicilies	Beatrice Colomba Maria Immacolata Leonia di Borbone-Parma Principessa	anastasia augusto beatrice maria pia	
6000000005062692717	Sefer Ali-Bey Georgi II Shervashidze	Q779692	Sefer Ali-Bey Sharvashidze	Nina Shervashidze	shervashidze	tamar
6000000005062778543	Tamar Katsievna Shervashidze	Q111988905	Tamar of Sa-Megrelo	Nina Shervashidze	shervashidze	alibey sefer
6000000002188429770	Camillo X. Carlo Alberto Massimo, Principe d'Arsoli	Q75369573	Carlo Alberto Massimo, 3rd Prince of Arsoli	Principe Fabrizio Massimo di Fabricio of Roviano	arsoli camillo carolina fabrizio francesco gabriella maria massimo roviano	
6000000011388639166		Q76270581	Pavel Galitzine	Paul Pavlovich Galitzine		
6000000011389001261	Ekaterina Nikitina Princess Golitsyna	Q76372474	Yekaterina Trubetskaya	Paul Pavlovich Galitzine		
6000000005231060012	Natalie von Lieven	Q76373269	Nathalie von der Pahlen	Pauls Ivans	alexandra lieven sophie von	
6000000020013234566	Anna Maria Corsini	Q108935775	Anna Maria Corsini	Francesco Maria Marescotti Ruspoli	francesco ruspoli	
6000000008864022040		Q75970042	Yevdokiya (?)	Nikita Vasilyevich Sheremetev		sheremetev vasily
6000000012941069512	Rudolf Matthias Gustav Julius Maria Guido von Matuschka	Q17123445	Guido von Matuschka-Greiffenklau	Richard María Albert Emmerich Wilhelm von Matuschka Freiherr von Greiffenclau, Toppolczan und Spaetgen	richard	
6000000041408056774	Владимир Васильевич Трубецкой	Q105645683	Vladimir Vasilyevich Trubetskoy	Vladimir Vladimirovich Владимирович Трубецкой	vladimir vladimirovich	
385238114590013948	Safiye Sultan Valide Sultan Sultan	Q437197	Safiye Sultan	Mehmed Osmanoğlu Sultan of the Ottoman Empire	aye ehzade fatma mehmed sultan	
6000000003784237528	Claude de Lorraine	Q1747977	Claude of Lorraine, duke of Chevreuse	Anne Marie de Lorraine	henriette lorraine	
6000000013269408558	Sergei Petrovich Count Rumyantsev	Q15088814	Sergey Rumyantsev	Zinaida Сергеевна Divova	varvara	
6000000022189378039	Maria de la Piedade Álvares Pereira de Melo 7.ª Duquesa de Cadaval	Q10326136	Maria da Piedade Caetano Álvares Pereira Melo	Jayme Segismundo Caetano Álvares Pereira de Melo 8.º Duque de Cadaval	cadaval melo pereira	
6000000011171277197	Margaret Leslie	Q75246732	Margaret Leslie	Mary Scott	anne buccleuch leslie mary scott walter wemyss	francis scott
6000000084795222916	Juliana Mikhailovna	Q75394656	Juliana of Kholm	Fiodor Borisovich	anna borisovna ivan	boris
6000000003139037531	Lev Alexandrovich Naryshkin	Q4313560	Lev Naryshkin	Natalia Naryszkina	naryshkin	
6000000134344493950	Johannes Franz Xaver Willibald Maria Josef Philipp Jeningen Leonhard Baptista von Waldburg zu Wolfegg und Waldsee Reichserbtruchsess	Q75346636	Johannes Franz Xaver Willibald Maria Josef Philipp Jeningen Leonhard von Waldburg Graf zu Wolfegg und Waldsee			
6000000013933363085	Pyotr Ivanovich Trubetskoy	Q4464169	Pyotr Trubetskoy	Pierre Troubetzkoy	troubetzkoy trubetskaya trubetskoy	
6000000005607957168	Benedicta Henrietta Philippina von Pfalz-Simmern Duchess of Brunswick-Lüneburg	Q63933	Benedicta Henrietta of the Palatinate	Wilhelmina Amalia von Braunschweig-Lüneburg Holy Roman Empress, Queen of the Germans, Queen of Hungary	amalia anne charlotte felicitas henriette sophie von	
6000000015325542152	Gaetano Sforza Cesarini	Q44485105	Gaetano I Sforza Cesarini, II principe di Genzano	Sforza Giuseppe Sforza Cesarini Savelli	cesarini giuseppe margherita sforza	
6000000008716390339	Maria Pavlovna Rodzianko	Q75310687	Marie Golitsyna	Marie Pavlovna Troubetzkoy	rodzianko troubetzkoy	
6000000016092427876	Claude de Gramont	Q112872428	Claude de Montmorency	Philibert de Gramont	anne gramont louise philibert	antoine
6000000006898921396	Katarina Zrinski	Q102543994	Katalin Frangepan de Veglia	Katarina Thurzó de Bethlenfalva	juraj zrinski	nikola zrinski
6000000009226763602		Q123983084	Николай Петрович Апраксин	Piotr Nicolaiévitch Apraxine		
6000000219217761873	Елена Романовна Московская	Q75394658	Helen of Mezetsk			
6000000002980137710	John Blair Jr.	Q75532426	John Blair of that Ilk	John Blair	blair john	
6000000017548086011	Nadejda Илларионовна Tolstoieva	Q61738953	Nadezhda Tolstaya	Anna Alexandrovna Vyrubova	alexandra anna vyrubova	
6000000006444240847	Margaret Mure	Q75636083	Margaret Mure	Neil Montgomery	montgomery neil	neil
6000000006975809298	Eugeny Nikolayevich Trubetskoy	Q4464161	Yevgeny Trubetskoy			
6000000015896314882	Варвара Петровна Бибикова	Q104152241	Varvara Myatleva			
3355261		Q75382025	Princess Sophie, Duchess of Arenberg	Léopold Engelbert Evrard Ruprecht Gaspard d'Arenberg	leopold	
6000000002188429639	Charles Ferdinand d'Artois (de Bourbon/Bourbon) duc de Berry	Q464657	Charles Ferdinand, Duke of Berry	Louise Marie Thérèse d'Artois Princesse de France	bourbon carrire charlotte dartois ferdinand henri louis louise oreille	carolina maria
6000000016719897746	Александра Николаевна Кушелева-Безбородко	Q105640562	Alexandra Repnina-Volkonskaya	Grigorij Aleks. Kušelev-Bezborodko	alexandrovna lyubov	
6000000002116164310	James Drummond	Q75252710	James Drummond, 1st Earl of Perth	Jean Gordon	jean	isabel seton
6000000007184109020	Olga Павловна Countess von Fersen	Q105813265	Olga Pavlovna Fersen (Stroganova)	Pavel Paul von Fersen		
6000000000996051655	Ekaterina Ivanovna Pigaryova	Q20025097	Yekaterina Tyutcheva	Kirill Vasilyevich Pigaryov	kirill nikolay pigaryov	
6000000011434718609	Dmitrij Mihailovich Михайлович Golicyn	Q135183864	Dmitri Golitsyn			
6000000009025304520	Marie Leopoldina von Habsburg-Österreich Erzherzogin, Römisch-Deutsche Kaiserin, Königin von Böhmen un	Q236892	Maria Leopoldine of Austria	Charles Joseph of Habsburg-Austria Archduke	archduke charles joseph	
6000000039796966708	Vasili Ivanovich prince of Ryazan	Q4104430	Vasily Ivanovich of Ryazan	Anna Vasilievna Бельская	anna ryazan vasilyevich	anna
6000000013300683171	Anna Vasilyevna of Moscow Rurikid	Q302419	Anna of Ryazan	Anna Vasilievna Бельская	anna ryazan vasilyevich	ivanovich ryazan
6000000018802263217	Fiodor Semionovich Urusov	Q4477402	Fyodor Urusov	Maria Fyodorovna Kurakina		
6000000074072422904	Фёкла Семёновна Урусова	Q105463847	Fyokla Grushetskaya	Maria Fyodorovna Kurakina		urusov
6000000033143646860	Maria Dmitrievna Gagarina	Q108813060	Marie Gagarine-Obolenski	Peter Andreevich Gagarin	gagarin	
6000000017920630425		Q2702861	Luarsab I of Kartli	სიმონ I / Simon I I Великий Bagriatoni r. 1556 to 1569 / 1578 to 1599	kartli simon	
