n	geni_id	qid
107	6000000044009687992	Q558673
108	6000000028745944002	Q716429
109	6000000019146569354	Q9182246
110	6000000026683490283	Q9667021
111	6000000010299857175	Q107070343
112	6000000003217476821	Q107070358
113	6000000036033577755	Q107070359
114	6000000003217521217	Q107070360
115	6000000003218804711	Q107070362
116	6000000102357252871	Q107070363
117	6000000007230770496	Q107070410
118	6000000030457609280	Q107070412
119	6000000030457375330	Q107070413
120	6000000030272708299	Q107070419
121	6000000030272649561	Q107070420
122	6000000030272700304	Q107070422
123	6000000030272947871	Q107070423
124	6000000011533238817	Q107070439
125	6000000007013076970	Q107070445
126	6000000007013069755	Q107070447
127	6000000011812569341	Q107070504
128	6000000005408810796	Q107070535
129	6000000005408566822	Q107070536
130	6000000011534590801	Q107070537
131	6000000010047125046	Q107070556
132	6000000011155404814	Q107070728
133	6000000007013306468	Q107070729
134	6000000020547734082	Q107070762
135	6000000005408810807	Q107070806
136	6000000020546763743	Q107070836
137	6000000005402919733	Q107070858
138	6000000003688242699	Q107070859
139	6000000003688235502	Q107070916
140	6000000003558532509	Q107071005
141	6000000003688274261	Q107071159
142	6000000003688155698	Q107071260
143	6000000003688293662	Q107071261
144	6000000003684167724	Q107071385
145	6000000003683686293	Q107071468
146	6000000003708170028	Q107071489
147	6000000003558493672	Q107071491
148	6000000003683717269	Q107071494
149	6000000003683593232	Q107071495
150	6000000003684347700	Q107071518
151	6000000003387082305	Q107071581
152	6000000008223078281	Q107071582
153	6000000003387082311	Q107071585
154	6000000003813037640	Q107071587
155	6000000003812995575	Q107071589
156	6000000003699233714	Q107071590
157	6000000011502014071	Q107071608
158	6000000011502124902	Q107071610
159	6000000008451624358	Q107071611
160	6000000008451588995	Q107071612
161	6000000003192698622	Q107072051
162	6000000005408187278	Q12962523
163	6000000005408224307	Q12963710
164	6000000011533347621	Q1396192
165	6000000003192576971	Q1464
166	6000000003251628867	Q1480
167	6000000011533217567	Q1494832
168	6000000003688249246	Q14956451
169	6000000000320232971	Q1971879
170	6000000005408224286	Q2191695
171	6000000003251841137	Q222805
172	6000000012140023540	Q2447682
173	6000000003192243898	Q2697778
174	6000000003558549536	Q3543546
175	6000000003192346485	Q384309
176	6000000010061971140	Q4827842
177	6000000016045141477	Q5257640
178	6000000003688071724	Q5258840
179	6000000003709018595	Q5607686
180	6000000003709018619	Q6766219
181	6000000010545006571	Q7335189
182	6000000176041627821	Q78358261
183	6000000003251595984	Q817304
184	6000000076038910920	Q16491387
185	6000000075965610898	Q54558462
186	6000000074704751850	Q5949152
187	6000000075487925889	Q65798938
188	6000000075487879993	Q65798939
189	6000000076465934862	Q9588111
190	6000000011489551195	Q109327804
191	6000000013106238147	Q115090
192	6000000030769455223	Q115336
193	6000000020899497621	Q131768477
194	6000000020897163715	Q131768546
195	6000000020897437764	Q135942885
196	6000000006900192265	Q1371711
197	6000000013879630018	Q1449148
198	6000000022465191993	Q1458218
199	6000000060405341821	Q15072010
200	6000000097404658825	Q15832993
201	6000000030771562750	Q1670468
202	6000000018702329794	Q1912829
203	342329338800013693	Q20478363
204	6000000022468194821	Q2059677
205	6000000022465033524	Q21032199
206	6000000010432693074	Q21664985
207	6000000009075807999	Q2547134
208	6000000004153074665	Q2637902
209	6000000060833926980	Q27323115
210	6000000014415770125	Q29976123
211	6000000022465138822	Q347607
212	6000000013879237443	Q48956
213	6000000010432516289	Q55718343
214	6000000022465116088	Q64717
215	6000000022467846134	Q72937962
216	6000000022464872553	Q77377
217	6000000000056224096	Q78872
218	6000000022921969124	Q824922
219	6000000000056086707	Q88028
220	6000000022464951164	Q9358
221	4059848181150122218	Q94614
222	6000000022921490606	Q94770016
223	6000000022921960048	Q94770025
224	6000000022921134027	Q94770027
225	342327880290012951	Q94903676
226	6000000022465034481	Q94915925
227	6000000022516178948	Q94915931
228	6000000022516177961	Q94915935
229	6000000022464640730	Q94915949
230	6000000022516208888	Q94915954
231	6000000022464847352	Q94915958
232	6000000022921239617	Q94915967
233	6000000022515880418	Q95202812
234	6000000022516178938	Q95301161
235	6000000120399087821	Q11147144
236	6000000120398891855	Q11147297
237	6000000049920787835	Q133865897
238	6000000049897133935	Q133865934
239	6000000049897654829	Q133865945
240	6000000120399423860	Q134161020
241	6000000120400178823	Q134161030
242	6000000068741200120	Q134161302
243	6000000045621210916	Q134161304
244	6000000203974804822	Q134727415
245	6000000049895443549	Q15914700
246	6000000203974804827	Q19852545
247	6000000029739328793	Q5321375
248	6000000030070826986	Q67199093
249	6000000196896737830	Q67199341
250	6000000030070481312	Q67199499
251	6000000030070810009	Q67199515
252	6000000030070626746	Q67199531
253	6000000030070284808	Q67199541
254	6000000080282326060	Q67263265
255	6000000029739421784	Q67270880
256	6000000029739795012	Q67272090
257	6000000029740545094	Q67273081
258	6000000017806080217	Q76029462
259	6000000017806071239	Q76029466
260	6000000113742783953	Q76029564
261	6000000017806032251	Q76029601
262	6000000030026973461	Q7672738
263	6000000029737813416	Q8259530
264	6000000071036985136	Q132822537
265	6000000075506059847	Q15938368
266	6000000075405315821	Q15941442
267	6000000075612037106	Q18109913
268	6000000075503253167	Q24833669
269	6000000074736794839	Q65798478
270	6000000075429661830	Q65798481
271	6000000075429611835	Q65798482
272	6000000075427565635	Q65798483
273	6000000075427185741	Q65798486
274	6000000075429689822	Q65798487
275	6000000075429592879	Q65798488
276	6000000075429529898	Q65798490
277	6000000075429325992	Q65798492
278	6000000075429427942	Q65798493
279	6000000075428306369	Q65798494
280	6000000075429552899	Q65798495
281	6000000074788854882	Q45413444
282	6000000010496873107	Q106091254
283	6000000083425972324	Q106091270
284	6000000083425762551	Q106091271
285	6000000083425550259	Q106091300
286	6000000083425117530	Q106091379
287	6000000083425420329	Q106091382
288	6000000083425938208	Q106091384
289	6000000010515394823	Q106289106
290	6000000010515443856	Q106289132
291	6000000011112212700	Q106289254
292	6000000011112303745	Q106289283
293	6000000010512382502	Q106706771
294	6000000011465570646	Q106706773
295	6000000012307161867	Q106706779
296	6000000010515106186	Q106706824
297	6000000021366524459	Q106706827
298	6000000014285634815	Q106706867
299	6000000011463302263	Q106706869
300	6000000023531498048	Q106706870
301	6000000002857255650	Q106706875
302	6000000021023048838	Q106706877
303	6000000012793548538	Q106706879
304	6000000012400726797	Q106706884
305	6000000012459291314	Q106706888
306	6000000012747847408	Q106706889
307	6000000003923087311	Q1149
308	6000000083350299928	Q16058489
309	6000000010506677289	Q17285647
310	6000000010506583472	Q23303613
311	6000000010512220600	Q23303619
312	322538858820007475	Q3174112
313	6000000010496279057	Q3633365
314	6000000003923449408	Q380148
315	6000000010506413032	Q4699780
316	6000000010506580597	Q4802123
317	6000000010506069771	Q5521018
318	6000000003923443410	Q554175
319	6000000010506505629	Q5701823
320	6000000005617018077	Q6374850
321	6000000010497008545	Q6437416
322	6000000010506060148	Q66622811
323	6000000010505469031	Q6963124
324	6000000010515502441	Q7285307
325	6000000003936176118	Q730045
326	6000000002857329346	Q7409045
327	6000000019910740595	Q75439224
328	6000000019909608317	Q75439229
329	6000000019909395961	Q75439231
330	6000000019958594964	Q75439233
331	6000000019909042612	Q75439254
332	6000000019959293102	Q75439415
333	6000000019959308179	Q75439418
334	6000000019958324825	Q75439420
335	6000000019909668081	Q75439452
336	6000000176479739876	Q107299068
337	6000000008873505964	Q107299069
338	6000000025597147011	Q107299075
339	6000000081499511439	Q107299078
340	6000000015799911854	Q107299085
341	6000000015800247258	Q107299088
342	6000000008873600757	Q107299095
343	6000000008873680558	Q107299096
344	6000000176481179840	Q107299106
345	6000000008873715463	Q107299107
346	6000000032531985106	Q107299114
347	6000000008873741786	Q107299131
348	6000000008873983559	Q107299136
349	6000000045948323825	Q107299140
350	6000000068761637972	Q107299142
351	6000000082080846849	Q107299189
352	6000000008873722909	Q107299193
353	6000000008873696088	Q107299195
354	6000000009107155927	Q107299202
355	6000000009107155922	Q107299203
356	6000000059344639855	Q107299240
357	6000000104627839503	Q107299244
358	6000000040250023585	Q107299246
359	6000000008873771470	Q107299270
360	6000000008873706072	Q107299271
361	6000000004373525872	Q107299293
362	6000000006332813021	Q107300183
363	4314358	Q107300209
364	6000000004372647571	Q107300211
365	4314363	Q107300213
366	6000000015137089733	Q107300353
367	6000000004372546951	Q107300354
368	6000000004387357283	Q107300359
369	6000000081049863941	Q107300393
370	6000000081049761913	Q107300405
371	6000000065809626821	Q107300432
372	6000000014672895542	Q107300433
373	6000000031302006254	Q107300434
374	6000000015799758424	Q12990834
375	6000000008873460193	Q13651734
376	6000000015777600317	Q16013936
377	6000000008873806429	Q16202530
378	6000000039849914636	Q16832223
379	6000000008873809013	Q19664637
380	6000000010283488713	Q21063745
381	6000000032513755565	Q21066767
382	6000000008873652563	Q313243
383	6000000015799696480	Q3765047
384	6000000004372788094	Q4243548
385	6000000008873847480	Q4733330
386	6000000014856891471	Q56703601
387	6000000008873741361	Q6067643
388	6000000004372862258	Q62568128
389	6000000008873919247	Q642827
390	6000000015776158996	Q6428923
391	6000000004372551353	Q7121271
392	6000000004372859708	Q72219489
393	6000000004372883756	Q7239766
394	6000000008873766160	Q7313570
395	6000000004650016662	Q106601179
396	6000000003716083001	Q106601201
397	6000000005956439240	Q106914878
398	6000000020198885005	Q106914880
399	6000000020198631277	Q106914889
400	6000000020198339602	Q106914890
401	6000000003715976376	Q106914905
402	6000000003716037189	Q106914910
403	6000000009930845636	Q106914924
404	6000000009930444270	Q106914925
405	6000000003716067172	Q106914937
406	6000000009330637903	Q106914939
407	6000000009929880169	Q106914947
408	6000000003716097008	Q106914989
409	6000000003710612326	Q106914992
410	6000000003710512632	Q106914993
411	6000000003710675404	Q106914994
412	6000000003715891324	Q106914996
413	6000000003710382956	Q106914998
414	6000000005778001153	Q106914999
415	6000000010584668514	Q106916514
416	6000000025897111349	Q106916516
417	6000000010584765589	Q106916519
418	6000000008984292618	Q106916525
419	6000000005279171028	Q106916527
420	6000000014568176081	Q106916558
421	6000000009797496498	Q106916559
422	6000000027722240479	Q106916560
423	6000000027722503361	Q106916562
424	6000000003716053086	Q107298194
425	6000000003716021363	Q107298198
426	6000000006916387186	Q107298211
427	6000000015014055485	Q107298333
428	6000000015014271001	Q107298348
429	6000000003715976142	Q107298352
430	6000000146492280907	Q107298363
431	6000000079091607932	Q107298366
432	6000000065534383048	Q107298378
433	6000000003716009142	Q107298381
434	6000000003716013049	Q107298383
435	6000000010587007281	Q107298385
436	6000000010585705594	Q107298387
437	6000000003716125091	Q107298390
438	6000000003716043659	Q107298391
439	6000000003716147062	Q107298411
440	6000000003710668384	Q14480969
441	6000000003716044066	Q16314140
442	6000000010584710383	Q16619869
443	6000000010584592662	Q20561810
444	6000000009797227456	Q20562895
445	6000000003715579659	Q3531971
446	6000000003716137034	Q3635516
447	6000000003715710063	Q47403425
448	6000000010584554694	Q4902138
449	6000000003716152124	Q6479877
450	6000000003716046738	Q6751191
451	6000000003716136086	Q7935972
452	6000000003715656494	Q8045769
453	6000000003715660381	Q8045771
454	6000000025358070430	Q10559663
455	6000000025390465936	Q106707818
456	6000000025390050350	Q106707852
457	6000000000331487142	Q106707866
458	6000000000259621922	Q106707882
459	6000000000259872139	Q106707887
460	6000000000252343604	Q106707888
461	6000000000265509945	Q106707893
462	6000000000265503836	Q106707894
463	6000000000265483897	Q106707896
464	6000000000265859044	Q106707897
465	6000000000265784406	Q106707898
466	6000000000265797353	Q106707899
467	6000000025358631180	Q106707939
468	6000000047683142088	Q106707970
469	313208179990007096	Q106708033
470	313184105500008983	Q106708036
471	313183638130004700	Q106708039
472	313183243080007978	Q106708041
473	313182761900002492	Q106708042
474	313215047770004774	Q106708070
475	6000000025390466143	Q106708098
476	6000000174606293474	Q106708100
477	6000000174614667881	Q106708101
478	6000000025358513622	Q106708262
479	313235393820005759	Q106708264
480	313234004470006000	Q106708279
481	6000000000127741425	Q106708332
482	287887720410004285	Q106708334
483	6000000004683196712	Q106708335
484	2394721	Q106708337
485	284423665310008397	Q106708339
486	313237530540001690	Q106708341
487	313238706640001709	Q106708342
488	2493285	Q106708368
489	2371032	Q106708372
490	287887152510007114	Q106708422
491	6000000003949811498	Q106708425
492	314086678480006041	Q106708426
493	313212056430007105	Q106708601
494	6000000029451836072	Q106708734
495	6000000025358913901	Q106708737
496	313269242360001885	Q106708739
497	6000000025358344338	Q106708755
498	6000000175246425133	Q106708839
499	6000000025358847088	Q106708847
500	5532138546930106567	Q106709027
501	5532299669050077201	Q106709042
502	5532152390700024520	Q106709043
503	313271500900008234	Q106713485
504	5550718705690081173	Q106713518
505	6000000025358696471	Q106713583
506	313253412440008180	Q106713584
507	5550712070630053677	Q106713613
508	6000000025358609719	Q2122664
509	6000000025358483684	Q21501386
510	6000000025358660377	Q47012408
511	6000000022980473098	Q76050815
512	6000000086844890898	Q76050822
513	6000000110826272821	Q76050845
514	6000000110826279828	Q76239202
515	6000000074712198028	Q65798612
516	6000000032919560971	Q114276776
517	6000000032919326228	Q114276863
518	6000000049863498947	Q124822037
519	6000000032919373171	Q125017336
520	6000000032919509137	Q125017740
521	6000000032919394133	Q125017772
522	6000000032919616949	Q125017774
523	6000000058688997901	Q125018845
524	6000000041424717895	Q139795059
525	6000000032918914723	Q140031575
526	6000000032919583974	Q140031783
527	6000000032919487128	Q140031820
528	6000000032918926704	Q140031952
529	6000000015753471908	Q19300851
530	6000000015753922395	Q19300864
531	6000000015753950303	Q19300969
532	6000000015754036047	Q19364345
533	6000000015753838589	Q233282
534	6000000071273791921	Q254220
535	6000000049726171830	Q27303716
536	6000000032919588924	Q45452302
537	6000000030425615131	Q45473060
538	6000000030425093503	Q45474307
539	6000000033248308846	Q45516086
540	6000000051411733825	Q45517594
541	6000000033247329459	Q45523326
542	6000000033247349660	Q45525500
543	6000000049770871017	Q45527009
544	6000000032919650837	Q45530458
545	6000000032919571089	Q45533119
546	6000000049774801838	Q45534702
547	6000000051411889821	Q45539349
548	6000000049767915889	Q45543165
549	6000000015753826552	Q7747
550	6000000049754520058	Q90578335
551	6000000049755230834	Q90579183
552	6000000074728817870	Q10414256
553	6000000075325341892	Q10900161
554	6000000075324753318	Q16260641
555	6000000074728688954	Q2109927
556	6000000075325250013	Q4391483
557	6000000074716915137	Q517036
558	6000000074728420078	Q517036
559	6000000075325393868	Q6149021
560	6000000074728895858	Q708354
561	6000000074768592833	Q708360
562	6000000075325183078	Q712137
563	6000000075324373505	Q717972
564	6000000008277941075	Q107291938
565	6000000008559518213	Q107291939
566	6000000009478998824	Q112644378
567	6000000009471559276	Q114239400
568	6000000008261091352	Q1165052
569	6000000009837484813	Q124048251
570	6000000009501023511	Q124048429
571	6000000009523128855	Q124054987
572	6000000009471847672	Q124466228
573	6000000129372483361	Q135216997
574	6000000014768717126	Q135217015
575	6000000006206249858	Q135217023
576	6000000009498804132	Q135271803
577	6000000022734639316	Q135646334
578	6000000008260796295	Q13637691
579	6000000009480428755	Q138638284
580	6000000009481489460	Q138638295
581	6000000026606549622	Q138793902
582	6000000009471965286	Q14507972
583	6000000009470451937	Q15823075
584	6000000008260353871	Q158314
585	6000000009500140807	Q17351370
586	6000000010779296583	Q1903961
587	6000000009471271886	Q2153541
588	6000000008260775430	Q22084744
589	6000000008260702592	Q22084775
590	6000000008260517010	Q22084776
591	6000000010782561395	Q22114544
592	6000000008742207250	Q22116711
593	6000000008277952541	Q22121817
594	6000000008260418940	Q22132150
595	6000000008260666532	Q22132157
596	6000000008260703615	Q22132447
597	6000000008260583934	Q22132490
598	6000000008260921816	Q22677145
599	6000000009471443790	Q255
600	6000000008260175163	Q2779550
601	6000000008260701810	Q3319490
602	6000000008260736732	Q352
603	6000000008260690623	Q385804
604	6000000008260821372	Q40098955
605	6000000008260799506	Q40101097
606	6000000008260858939	Q454576
607	6000000008260831761	Q4613831
608	6000000009837357175	Q55843435
609	6000000008281166227	Q57676
610	6000000009480295237	Q60827195
611	6000000008260573139	Q6216378
612	6000000008278709544	Q64799
613	6000000008260685546	Q66225
614	6000000015603293776	Q689638
615	6000000008260951961	Q698102
616	6000000008260966416	Q76433
617	6000000008260667294	Q78500
618	6000000008260823206	Q78643
619	6000000008260653696	Q84328
620	6000000037806719638	Q84890
621	6000000008260758470	Q85046
622	6000000014768810397	Q99029118
623	6000000006951572385	Q106769006
624	6000000002100295558	Q106769051
625	6000000001704582280	Q106769060
626	6000000001704659061	Q106769062
627	6000000006951673968	Q106769064
628	6000000001704585431	Q106769066
629	6000000006951673701	Q106769068
630	6000000006947956397	Q106769092
631	380596966670007545	Q106769100
632	6000000000653729538	Q106769104
633	6000000006951635557	Q106769105
634	6000000000653689941	Q106769123
635	6000000006951608369	Q106769125
636	6000000034218307379	Q106769126
637	6000000006951673875	Q106769151
638	6000000006951591205	Q106769152
639	6000000006951591202	Q106769153
640	6000000006951644762	Q106769155
641	6000000001794217147	Q106769163
642	6000000006947956757	Q106769164
643	6000000007996185015	Q106769166
644	6000000001794150230	Q106769167
645	6000000025123272641	Q106769168
646	6000000025123809646	Q106769169
647	6000000006951673860	Q106769175
648	365740745620013242	Q106769229
649	365734529860006442	Q106769230
650	365734360760011597	Q106769231
651	6000000006951673896	Q106769232
652	6000000001705093167	Q106769233
653	6000000006951673974	Q106769264
654	6000000000653774280	Q107055407
655	336665345960013484	Q107055408
656	336664981560013489	Q107055410
657	380111157300012053	Q107055411
658	378127445160004394	Q107055413
659	378096079810011319	Q107055415
660	378105129120013975	Q107055425
661	6000000060023194273	Q107055426
662	378097564460004396	Q107055427
663	6000000043276818056	Q107055430
664	6000000047970311828	Q107055432
665	6000000043303756054	Q107055434
666	6000000043303516612	Q107055435
667	6000000014243731745	Q116673220
668	380593718360003198	Q16188992
669	6000000017294597452	Q175669
670	6000000008445232850	Q20902162
671	6000000014243668588	Q20902372
672	6000000006951673854	Q2906601
673	6000000015964947128	Q336977
674	6000000006951673848	Q6167163
675	6000000075482908985	Q65798783
676	6000000074733687836	Q8070332
677	6000000006951673851	Q98480665
678	6000000015840361207	Q26037050
679	6000000013153652913	Q3256600
680	6000000015840337337	Q5393271
681	6000000015840395245	Q75975255
682	6000000066770231978	Q139950424
683	6000000032263774165	Q139969012
684	6000000032267689982	Q139973706
685	6000000066777195991	Q139973707
686	6000000052773986899	Q139974100
687	6000000076267861281	Q139974139
688	6000000076269381906	Q139976575
689	6000000046007339823	Q139976666
690	6000000046006166889	Q139976768
691	6000000046006458963	Q139976801
692	6000000076268604964	Q139985555
693	6000000076264671114	Q139986668
694	6000000076268120259	Q139986670
695	6000000005933135286	Q139997799
696	6000000005932829392	Q140001556
697	6000000076268582871	Q140018888
698	6000000094066912115	Q140030414
699	6000000076268547898	Q140030415
700	6000000045573614849	Q29855686
701	6000000010121425099	Q4089877
702	6000000046007376862	Q4228040
703	6000000032264764695	Q4395498
704	6000000010121131874	Q51669859
705	6000000075485099115	Q65798879
706	6000000045572591007	Q9263090
707	6000000150958659840	Q92764
708	6000000105871085985	Q75466612
709	6000000105871502839	Q75466614
710	6000000023699083954	Q75466617
711	6000000105871703852	Q75466668
712	6000000081547168848	Q104652870
713	6000000044253321547	Q104652871
714	6000000208406213843	Q115669
715	6000000008871761499	Q127869751
716	6000000208406995827	Q129651678
717	6000000208407152824	Q136036689
718	6000000081546757829	Q139807640
719	6000000008889520162	Q139862488
720	6000000177070998915	Q160196
721	6000000008889658850	Q262273
722	6000000008871678350	Q4583
723	6000000008872418405	Q5359936
724	6000000208407123821	Q62860
725	6000000074731298867	Q7160902
726	6000000012838794587	Q7336
727	6000000008871190054	Q7337
728	6000000008871372854	Q7339
729	6000000177072736842	Q77068
730	6000000008871484007	Q98930493
731	6000000089794967958	Q102434206
732	6000000089782193025	Q102434217
733	6000000041128913769	Q106630002
734	6000000041129419897	Q106630003
735	6000000041129115391	Q106630007
736	6000000041129131412	Q106630009
737	6000000001118024083	Q106630013
738	6000000099615608842	Q106630015
739	6000000099615738845	Q106630017
740	6000000099615878821	Q106630018
741	6000000041129199414	Q106630021
742	6000000008561880296	Q106630022
743	6000000041129399036	Q106630024
744	6000000041129167361	Q106630025
745	6000000008551983318	Q106630027
746	6000000008551872416	Q106630028
747	6000000142128386839	Q106630032
748	6000000001118040282	Q106630036
749	6000000001118040044	Q106630037
750	6000000075886683861	Q106630038
751	6000000142128387120	Q106630039
752	6000000142908048083	Q106630040
753	6000000012306359057	Q106630046
754	6000000006450601808	Q106630047
755	6000000012306705554	Q106630048
756	6000000001118057460	Q106630050
757	6000000000817472084	Q106630051
758	6000000000817392255	Q106630052
759	6000000018691608787	Q135582894
760	6000000001118024046	Q135582897
761	6000000023939428100	Q312556
762	6000000018691714414	Q366584
763	6000000055075197854	Q4407963
764	6000000055074818866	Q7147839
765	6000000055075230926	Q729462
766	6000000055074847924	Q7441528
767	6000000023939433211	Q97748633
768	6000000023939754334	Q97749941
769	6000000013355916112	Q10665
770	6000000038177370018	Q10920528
771	6000000003061984071	Q1345170
772	6000000013355984946	Q317824
773	6000000013356093211	Q41117
774	6000000013356096497	Q487289
775	6000000013355713117	Q489279
776	6000000013356086258	Q4991790
777	6000000109252496833	Q598173
778	6000000003061727692	Q6309725
779	6000000013356016586	Q709975
780	6000000074710844124	Q301650
781	6000000074711039980	Q559700
782	6000000074727128158	Q713013
783	6000000074711381821	Q716369
784	6000000074717555960	Q8048388
785	6000000016512500260	Q6519787
786	6000000068159180233	Q76052824
787	6000000068159938975	Q76052828
788	6000000068159535138	Q76052830
789	6000000068161190867	Q76052833
790	6000000016512725022	Q76052842
791	6000000016512127954	Q76052885
792	6000000068161044821	Q8012148
793	6000000018297100862	Q104416095
794	6000000003750311482	Q106678739
795	6000000003692957589	Q106678740
796	6000000001186134483	Q106678741
797	6000000001580040338	Q106678743
798	6000000001579882999	Q106678744
799	6000000001579938218	Q106678746
800	6000000018297691524	Q106678774
801	6000000018297763153	Q106678775
802	6000000001964521319	Q106678794
803	6000000001964473510	Q106678796
804	4113716923330023879	Q106678852
805	4113733641920057718	Q106678853
806	4113690599590060826	Q106678856
807	6000000172093423714	Q106678857
808	6000000011411581611	Q106678864
809	6000000011410786579	Q106678868
810	6000000011413166237	Q106678869
811	6000000004689639496	Q106678894
812	6000000001738790824	Q106678896
813	6000000001849491660	Q106678897
814	6000000001738875038	Q106678901
815	6000000001738639749	Q106678918
816	6000000001738872227	Q106678919
817	6000000001738570816	Q106678935
818	6000000007486545331	Q107565957
819	6000000001729968075	Q107565958
820	6000000001730029123	Q107565961
821	6000000001730076265	Q107565962
822	6000000074716226200	Q11091393
823	6000000045293602694	Q11650274
824	6000000001738685232	Q12501161
825	6000000037112544594	Q134103873
826	6000000022572060791	Q134103884
827	6000000071707531004	Q134105223
828	6000000071690861193	Q134105294
829	6000000050048076264	Q134105768
830	6000000071707705865	Q134125430
831	6000000045294533360	Q134125432
832	6000000022572549834	Q15930776
833	6000000074792502154	Q15930776
834	6000000050048186383	Q15938164
835	6000000074792828966	Q15938164
836	6000000071687567877	Q19856125
837	6000000045295760035	Q45416567
838	6000000050048862002	Q45416573
839	6000000045295003125	Q45416574
840	6000000045295400915	Q45485232
841	6000000071690901428	Q6306298
842	6000000075499741028	Q65799173
843	6000000075499889891	Q65799174
844	6000000001440174438	Q7078539
845	6000000136726293840	Q8003406
846	6000000212336101824	Q8248863
847	4113753197170081762	Q93085636
848	6000000074791250860	Q5974349
849	6000000037458532776	Q107341055
850	6000000015087618822	Q107341056
851	6000000077314407207	Q107341057
852	6000000077314686881	Q107341058
853	6000000003437850028	Q107341065
854	6000000011603104503	Q107341066
855	6000000029901360083	Q107341068
856	6000000007419043432	Q107341100
857	6000000015087757245	Q107341103
858	6000000003437765097	Q107341142
859	6000000015087843426	Q107341210
860	6000000011602980618	Q107341438
861	6000000011602735961	Q107341441
862	6000000015087902518	Q107341561
863	6000000015088185233	Q107341562
864	6000000018369081269	Q107341566
865	6000000036947678637	Q107341567
866	6000000010067346227	Q107341568
867	6000000010067337402	Q107341570
868	6000000015088017933	Q107343339
869	6000000015088020385	Q107343428
870	6000000006783206841	Q107343474
871	6000000038952116978	Q107343476
872	6000000011325265486	Q107343494
873	6000000008092461271	Q107343496
874	6000000013463508809	Q107343498
875	6000000010067251314	Q107343500
876	6000000011325280443	Q107343501
877	6000000011325161742	Q107343503
878	6000000009366467722	Q107343507
879	6000000038966515578	Q107343687
880	6000000038966866909	Q107343688
881	6000000015087844587	Q15999775
882	6000000006977002261	Q16130999
