qid	classes
Q240255	Q12308941
Q240482	Q101352
Q240683	Q101352
Q240702	Q12308941
Q240790	Q12308941
Q240931	Q12308941
Q241290	Q11879590
Q241356	Q11879590
Q241658	Q12308941
Q241872	Q101352
Q242198	Q101352
Q242426	Q101352
Q243304	Q101352
Q245145	Q101352
Q245304	Q12308941
Q245823	Q101352
Q246629	Q12308941
Q247200	Q101352
Q247781	Q101352
Q248718	Q11879590
Q249832	Q101352
Q250267	Q11879590
Q250622	Q11879590
Q250661	Q12308941
Q252221	Q110874
Q252247	Q12308941
Q252558	Q12308941
Q252934	Q12308941
Q253010	Q11879590
Q253493	Q11879590
Q253551	Q12308941
Q253589	Q11879590
Q254254	Q11879590
Q254906	Q101352
Q255209	Q11879590
Q255470	Q12308941
Q256463	Q12308941
Q256719	Q12308941
Q256744	Q3409032
Q257176	Q11879590
Q257383	Q101352
Q259268	Q12308941
Q259503	Q101352
Q259792	Q11879590
Q261113	Q12308941
Q262119	Q11879590
Q262439	Q12308941
Q262776	Q12308941
Q262891	Q11879590
Q263071	Q101352
Q263116	Q12308941
Q263542	Q101352
Q264002	Q11879590
Q264344	Q101352
Q265409	Q12308941
Q265867	Q12308941
Q266225	Q12308941
Q266749	Q12308941
Q266891	Q101352
Q267326	Q101352
Q267401	Q12308941
Q269339	Q11879590
Q271245	Q11879590
Q271313	Q101352
Q271370	Q12308941
Q272330	Q12308941
Q272332	Q101352
Q272796	Q12308941
Q272853	Q101352
Q272859	Q11879590
Q273754	Q12308941
Q277783	Q11879590
Q278742	Q11879590
Q278835	Q12308941
Q279372	Q101352
Q279478	Q101352
Q279543	Q101352
Q280291	Q11879590
Q280570	Q11879590
Q280684	Q12308941
Q280861	Q12308941
Q282919	Q12308941
Q283219	Q12308941
Q283277	Q11879590
Q285912	Q101352
Q290080	Q12308941
Q290348	Q101352
Q290587	Q11879590
Q290693	Q12308941
Q291930	Q11879590
Q292691	Q12308941
Q292880	Q101352
Q292941	Q110874
Q293580	Q101352
Q294054	Q12308941
Q294833	Q12308941
Q295685	Q12308941
Q295698	Q12308941
Q297063	Q101352
Q297574	Q101352
Q297611	Q12308941
Q298283	Q101352
Q298325	Q101352
Q300676	Q101352
Q300770	Q12308941
Q300775	Q101352
Q300777	Q12308941
Q300780	Q12308941
Q300804	Q11879590
Q300824	Q101352
Q300872	Q3409032
Q300907	Q11879590
Q300912	Q101352
Q300987	Q101352
Q300990	Q101352
Q301104	Q101352
Q301610	Q101352
Q301657	Q11879590
Q301840	Q101352
Q302038	Q12308941
Q302736	Q101352
Q302992	Q101352
Q303183	Q101352
Q303407	Q11879590
Q303635	Q101352
Q304622	Q101352
Q305227	Q101352
Q306464	Q101352
Q306749	Q101352
Q307288	Q12308941
Q307330	Q101352
Q307378	Q12308941
Q307433	Q101352
Q307542	Q12308941
Q307578	Q12308941
Q307694	Q12308941
Q307771	Q101352
Q307776	Q101352
Q307783	Q101352
Q307789	Q11879590
Q307878	Q101352
Q307901	Q12308941
Q307910	Q12308941
Q307914	Q101352
Q307915	Q11879590
Q307944	Q101352
Q307945	Q101352
Q307948	Q101352
Q307967	Q12308941
Q308325	Q12308941
Q317304	Q12308941
Q317315	Q12308941
Q317333	Q12308941
Q317438	Q12308941
Q317520	Q12308941
Q318278	Q101352
Q318363	Q101352
Q318375	Q12308941
Q318557	Q11879590
Q318574	Q11879590
Q320881	Q101352
Q321251	Q101352
Q322306	Q101352
Q322310	Q101352
Q323415	Q12308941
Q324511	Q11879590
Q324514	Q11879590
Q324528	Q11879590
Q324532	Q11879590
Q324544	Q11879590
Q325872	Q11879590
Q329006	Q3409032
Q330808	Q101352
Q330948	Q101352
Q331091	Q101352
Q331138	Q101352
Q331445	Q101352
Q332290	Q101352
Q334769	Q3409032
Q334808	Q3409032
Q334826	Q12308941
Q334893	Q101352
Q335561	Q110874
Q335937	Q11879590
Q336452	Q101352
Q336834	Q101352
Q336878	Q3409032
Q336958	Q12308941
Q337257	Q11879590
Q337400	Q12308941
Q337919	Q101352
Q338015	Q11879590
Q339346	Q3409032
Q339383	Q101352
Q339930	Q11879590
Q340285	Q12308941
Q340322	Q101352
Q340348	Q12308941
Q340531	Q12308941
Q340544	Q101352
Q341350	Q101352
Q341608	Q101352
Q341736	Q101352
Q341764	Q101352
Q342004	Q12308941
Q342908	Q101352
Q343153	Q12308941
Q343476	Q12308941
Q343579	Q12308941
Q343749	Q101352
Q343757	Q3409032
Q343835	Q12308941
Q343988	Q101352
Q344002	Q11879590
Q344054	Q101352
Q344119	Q12308941
Q344924	Q101352
Q345052	Q101352
Q345596	Q101352
Q345603	Q101352
Q345708	Q12308941
Q345918	Q101352
Q346047	Q11879590
Q346569	Q101352
Q346622	Q12308941
Q346860	Q101352
Q347181	Q12308941
Q347243	Q12308941
Q347378	Q101352
Q347592	Q101352
Q347929	Q101352
Q348263	Q12308941
Q348332	Q12308941
Q348454	Q12308941
Q348680	Q11879590
Q348915	Q101352
Q348946	Q12308941
Q348969	Q101352
Q349866	Q101352
Q351311	Q11879590
Q351567	Q101352
Q351595	Q101352
Q351601	Q101352
Q351608	Q101352
Q351735	Q101352
Q352078	Q101352
Q352089	Q101352
Q352161	Q12308941
Q352821	Q101352
Q352883	Q12308941
Q353259	Q3409032,Q12308941
Q353404	Q101352
Q353576	Q101352
Q353737	Q12308941
Q354330	Q101352
Q354370	Q11879590
Q354507	Q12308941
Q354633	Q11879590
Q355056	Q101352
Q355279	Q11879590
Q355383	Q101352
Q355482	Q101352
Q355713	Q12308941
Q355848	Q11879590
Q356377	Q101352
Q356559	Q101352
Q356969	Q101352
Q357139	Q101352
Q357255	Q11879590
Q357280	Q101352
Q357313	Q11879590
Q357589	Q11879590
Q358090	Q101352
Q358152	Q101352
Q358485	Q101352
Q359360	Q12308941
Q359432	Q101352
Q359502	Q101352
Q360413	Q11879590
Q360453	Q101352
Q360542	Q101352
Q360604	Q101352
Q361309	Q12308941
Q361650	Q12308941
Q362091	Q101352
Q362403	Q11879590
Q362868	Q12308941
Q363820	Q11879590
Q363990	Q101352
Q364289	Q101352
Q364753	Q12308941
Q364943	Q12308941
Q364960	Q11879590
Q364977	Q12308941
Q365625	Q12308941
Q365967	Q12308941
Q366030	Q12308941
Q366032	Q101352
Q367122	Q12308941
Q368314	Q12308941
Q368894	Q101352
Q369735	Q101352
Q369816	Q101352
Q370292	Q12308941
Q370531	Q101352
Q370731	Q12308941
Q371003	Q101352
Q371270	Q101352
Q371852	Q101352
Q372048	Q12308941
Q372250	Q12308941
Q372347	Q11879590
Q372399	Q11879590
Q373257	Q12308941
Q373803	Q11879590
Q374807	Q11879590
Q375094	Q12308941
Q375542	Q11879590
Q376160	Q12308941
Q376265	Q12308941
Q376340	Q12308941
Q377369	Q11879590
Q378160	Q12308941
Q378514	Q101352
Q378694	Q11879590
Q378867	Q11879590
Q379029	Q11879590
Q379059	Q101352
Q379477	Q101352
Q380827	Q101352
Q381098	Q12308941
Q381351	Q11879590
Q381702	Q12308941
Q381802	Q101352
Q382071	Q101352
Q382158	Q11879590
Q382779	Q101352
Q382833	Q101352
Q383010	Q101352
Q383113	Q101352
Q383552	Q11879590
Q384162	Q101352
Q384753	Q11879590
Q385063	Q101352
Q385468	Q11879590
Q385674	Q101352
Q386015	Q12308941
Q386156	Q11879590
Q386299	Q12308941
Q387114	Q101352
Q387640	Q101352
Q387682	Q11879590
Q387792	Q12308941
Q387979	Q12308941
Q388010	Q101352
Q388114	Q101352
Q388231	Q101352
Q388643	Q11879590
Q388777	Q101352
Q388849	Q12308941
Q388968	Q12308941
Q389013	Q12308941
Q389039	Q11879590
Q389528	Q11879590
Q390541	Q101352
Q390603	Q12308941
Q390678	Q12308941
Q391265	Q12308941
Q391321	Q11879590
Q391460	Q101352
Q391733	Q101352
Q392031	Q101352
Q392194	Q101352
Q392492	Q101352
Q392506	Q101352
Q392641	Q101352
Q392710	Q101352
Q392745	Q101352
Q392807	Q11879590
Q393037	Q12308941
Q393055	Q12308941
Q393240	Q101352
Q393389	Q12308941
Q393830	Q101352
Q393927	Q12308941
Q394055	Q12308941
Q394062	Q12308941
Q394148	Q11879590
Q394187	Q101352
Q394314	Q101352
Q394343	Q101352
Q394353	Q12308941
Q394380	Q12308941
Q394431	Q11879590
Q394612	Q101352
Q395150	Q11879590
Q395215	Q101352
Q395238	Q12308941
Q395503	Q101352
Q396447	Q12308941
Q396452	Q101352
Q397820	Q101352
Q398121	Q101352
Q399592	Q101352
Q399876	Q202444
Q400246	Q12308941
Q400282	Q101352
Q400458	Q101352
Q400508	Q101352
Q400509	Q101352
Q400534	Q101352
Q400538	Q101352
Q400559	Q101352
Q401836	Q12308941
Q403153	Q101352
Q403277	Q12308941
Q403433	Q101352
Q403712	Q101352
Q403821	Q11879590
Q403922	Q12308941
Q404721	Q101352
Q404899	Q101352
Q405000	Q11879590
Q405609	Q11879590
Q405626	Q12308941
Q405772	Q11879590
Q405906	Q101352
Q406044	Q11879590
Q406181	Q101352
Q406294	Q12308941
Q406384	Q101352
Q408512	Q101352
Q408729	Q11879590
Q409677	Q101352
Q410184	Q11879590
Q410605	Q101352
Q410778	Q12308941
Q411069	Q12308941
Q411091	Q12308941
Q411110	Q12308941
Q411679	Q101352
Q411924	Q101352
Q412179	Q101352
Q412582	Q12308941
Q413404	Q12308941
Q413535	Q101352
Q413753	Q101352
Q414325	Q101352
Q414592	Q101352
Q414927	Q101352
Q414977	Q101352
Q415295	Q12308941
Q415399	Q101352
Q415460	Q101352
Q415564	Q101352
Q416943	Q101352
Q416960	Q101352
Q417253	Q11879590
Q417600	Q101352
Q417602	Q12308941
Q417758	Q3409032
Q418008	Q12308941
Q419161	Q101352
Q419460	Q101352
Q419680	Q12308941
Q420128	Q101352
Q420404	Q101352
Q420455	Q101352
Q420588	Q101352
Q420601	Q101352
Q420703	Q101352
Q421434	Q101352
Q421604	Q101352
Q421649	Q101352
Q421840	Q101352
Q421954	Q101352
Q422287	Q101352
Q422371	Q101352
Q423413	Q101352
Q423632	Q12308941
Q423635	Q101352
Q423662	Q11879590
Q423891	Q101352
Q424325	Q101352
Q424327	Q11879590
Q424429	Q101352
Q424447	Q101352
Q424496	Q12308941
Q424982	Q101352
Q426452	Q101352
Q426463	Q101352
Q427407	Q11879590
Q428024	Q101352
Q428664	Q101352
Q428826	Q101352
Q429025	Q12308941
Q429542	Q12308941
Q429948	Q11879590
Q430050	Q12308941
Q430281	Q3409032
Q430546	Q11879590
Q430699	Q12308941
Q431274	Q101352
Q431758	Q101352
Q431890	Q101352
Q432161	Q12308941
Q432807	Q101352
Q436035	Q101352
Q436257	Q101352
Q436862	Q101352
Q439627	Q101352
Q440471	Q101352
Q440735	Q11879590
Q442524	Q101352
Q444211	Q12308941
Q444937	Q3409032
Q445731	Q11879590
Q447379	Q3409032,Q11879590
Q448135	Q3409032
Q448361	Q101352
Q448671	Q12308941
Q449365	Q101352
Q449411	Q101352
Q449508	Q101352
Q449599	Q12308941
Q450129	Q101352
Q450440	Q101352
Q450441	Q11879590
Q450742	Q101352
Q450765	Q101352
Q451705	Q101352
Q452023	Q101352
Q452690	Q11879590
Q453020	Q11879590
Q453452	Q101352
Q453544	Q11879590
Q453722	Q11879590
Q453946	Q11879590
Q454274	Q12308941
Q454414	Q101352
Q456646	Q101352
Q456808	Q11879590
Q456870	Q12308941
Q458843	Q12308941
Q461718	Q11879590
Q461796	Q12308941
Q462547	Q12308941
Q462601	Q12308941
Q463035	Q12308941
Q465164	Q3409032
Q465790	Q12308941
Q471514	Q11879590
Q471788	Q12308941
Q472066	Q12308941
Q473285	Q12308941
Q473694	Q12308941
Q474177	Q101352
Q474185	Q101352
Q474402	Q11879590
Q474666	Q101352
Q474904	Q101352
Q475210	Q12308941
Q476059	Q11879590
Q476155	Q12308941
Q477265	Q101352
Q477529	Q11879590
Q477534	Q11879590
Q477560	Q11879590
Q478127	Q101352
Q479129	Q11879590
Q479503	Q12308941
Q479647	Q12308941
Q479670	Q12308941
Q479963	Q12308941
Q480231	Q101352
Q480288	Q11879590
Q480911	Q12308941
Q481635	Q11879590
Q481648	Q101352
Q481809	Q11879590
Q482014	Q12308941
Q482015	Q101352
Q482079	Q12308941
Q482154	Q12308941
Q482159	Q11879590
Q482671	Q11879590
Q483460	Q12308941
Q484175	Q11879590
Q484236	Q11879590
Q484945	Q101352
Q486457	Q12308941
Q487496	Q12308941
Q487568	Q12308941
Q488359	Q12308941
Q488363	Q11879590
Q488642	Q12308941
Q490500	Q12308941
Q490557	Q101352
Q491379	Q11879590
Q492282	Q12308941
Q492347	Q12308941
Q492624	Q11879590
Q492730	Q12308941
Q493190	Q12308941
Q493293	Q3409032
Q493639	Q3409032
Q495538	Q11879590
Q495579	Q11879590
Q495635	Q12308941
Q497612	Q11879590
Q499249	Q12308941
Q501558	Q101352
Q503175	Q12308941
Q503229	Q202444,Q101352
Q503594	Q11879590
Q503607	Q11879590
Q503616	Q101352
Q503782	Q12308941
Q503785	Q11879590
Q504231	Q11879590
Q505008	Q11879590
Q505331	Q12308941
Q505357	Q12308941
Q505365	Q12308941
Q505367	Q202444
Q505437	Q12308941
Q505908	Q11879590
Q507318	Q11879590
Q507605	Q12308941
Q508553	Q12308941
Q508894	Q12308941
Q509729	Q11879590
Q509951	Q3409032,Q202444
Q510402	Q12308941
Q510613	Q11879590
Q511390	Q11879590
Q511611	Q12308941
Q511666	Q12308941
Q512153	Q11879590
Q512586	Q11879590
Q512778	Q101352
Q512920	Q11879590
Q513286	Q12308941
Q513325	Q11879590
Q513524	Q101352
Q514891	Q12308941
Q515050	Q12308941
Q516253	Q101352
Q516290	Q12308941
Q516350	Q3409032
Q517046	Q11879590
Q517054	Q12308941
Q517080	Q11879590
Q517366	Q11879590
Q520045	Q101352
Q520762	Q12308941
Q521264	Q202444,Q11879590
Q521681	Q12308941
Q523677	Q11879590
Q523797	Q101352
Q524209	Q101352
Q524537	Q3409032
Q525016	Q101352
Q526726	Q12308941
Q526763	Q12308941
Q527995	Q12308941
Q529410	Q11879590
Q529452	Q11879590
Q529460	Q101352
Q530549	Q101352
Q530625	Q11879590
Q530779	Q3409032
Q530833	Q101352
Q531710	Q12308941
Q533053	Q12308941
Q533466	Q11879590
Q533503	Q12308941
Q533594	Q101352
Q533670	Q101352
Q533686	Q11879590
Q535214	Q101352
Q535850	Q101352
Q537566	Q12308941
Q537941	Q11879590
Q538048	Q11879590
Q538053	Q101352
Q538351	Q101352
Q538847	Q12308941
Q539223	Q3409032,Q11879590
Q539304	Q101352
Q539504	Q12308941
Q539581	Q12308941
Q539788	Q101352
Q541194	Q11879590
Q541364	Q11879590
Q542211	Q11879590
Q543740	Q11879590
Q544124	Q12308941
Q545244	Q12308941
Q545486	Q12308941
Q545971	Q12308941
Q546111	Q12308941
Q546126	Q11879590
Q547494	Q101352
Q547852	Q101352
Q548056	Q11879590
Q548106	Q101352
Q548774	Q11879590
Q549202	Q11879590
Q550334	Q12308941
Q550506	Q12308941
Q551557	Q11879590
Q552092	Q12308941
Q552110	Q101352
Q552193	Q101352
Q553109	Q11879590
Q553235	Q11879590
Q554571	Q11879590
Q554684	Q11879590
Q554757	Q11879590
Q554769	Q12308941
Q554852	Q12308941
Q554863	Q12308941
Q554888	Q11879590
Q555728	Q11879590
Q556189	Q101352
Q557682	Q12308941
Q557984	Q101352
Q558067	Q11879590
Q558974	Q12308941
Q563325	Q11879590
Q564025	Q11879590
Q564327	Q11879590
Q564393	Q11879590
Q564684	Q11879590
Q564776	Q11879590
Q565970	Q101352
Q566000	Q11879590
Q566045	Q202444,Q11879590
Q566093	Q11879590
Q566131	Q11879590
Q566243	Q11879590
Q566390	Q11879590
Q566394	Q101352
Q566410	Q11879590
Q566477	Q11879590
Q566893	Q11879590
Q567094	Q11879590
Q567178	Q11879590
Q567203	Q101352
Q567240	Q3409032
Q567412	Q11879590
Q567435	Q11879590
Q567889	Q101352
Q568872	Q101352
Q568979	Q12308941
Q569694	Q12308941
Q570167	Q12308941
Q570669	Q12308941
Q570696	Q12308941
Q571050	Q12308941
Q571104	Q11879590
Q571530	Q12308941
Q572868	Q11879590
Q573375	Q101352
Q573918	Q101352
Q573960	Q101352
Q574091	Q101352
Q574510	Q11879590
Q574743	Q101352
Q575207	Q12308941
Q575692	Q12308941
Q575896	Q12308941
Q576194	Q3409032
Q576277	Q101352
Q576970	Q12308941
Q577011	Q12308941
Q577032	Q11879590
Q578453	Q11879590
Q578505	Q101352
Q578976	Q11879590
Q579371	Q12308941
Q580999	Q101352
Q581143	Q202444,Q12308941
Q581723	Q12308941
Q581849	Q12308941
Q582148	Q12308941
Q582903	Q11879590
Q587130	Q12308941
Q587248	Q101352
Q588617	Q11879590
Q588700	Q12308941
Q590150	Q101352
Q590893	Q11879590
Q591273	Q11879590
Q591929	Q12308941
Q592176	Q101352
Q593218	Q101352
Q593855	Q101352
Q594279	Q12308941
Q594430	Q101352
Q594773	Q101352
Q595105	Q12308941
Q596393	Q101352
Q596638	Q11879590
Q598081	Q11879590
Q598459	Q101352
Q599297	Q12308941
Q599668	Q11879590
Q600155	Q11879590
Q600381	Q11879590
Q600538	Q3409032
Q600552	Q12308941
Q600823	Q12308941
Q601533	Q11879590
Q602138	Q12308941
Q602559	Q12308941
Q602589	Q11879590
Q602647	Q11879590
Q602968	Q12308941
Q602977	Q3409032
Q603204	Q12308941
Q603701	Q11879590
Q605103	Q11879590
Q605616	Q101352
Q605821	Q12308941
Q605834	Q202444,Q12308941
Q606213	Q12308941
Q606764	Q12308941
Q606907	Q11879590
Q607350	Q11879590
Q607395	Q12308941
Q607721	Q12308941
Q607823	Q101352
Q607829	Q101352
Q608366	Q12308941
Q608485	Q101352
Q608738	Q11879590
Q608991	Q101352
Q609239	Q101352
Q609564	Q12308941
Q610111	Q12308941
Q610473	Q12308941
Q610478	Q12308941
Q610489	Q11879590
Q612479	Q101352
Q612659	Q12308941
Q612706	Q11879590
Q612807	Q11879590
Q613014	Q12308941
Q613243	Q12308941
Q613863	Q101352
Q615329	Q12308941
Q615417	Q12308941
Q615592	Q12308941
Q615620	Q11879590
Q615672	Q101352
Q615694	Q11879590
Q615898	Q101352
Q616997	Q12308941
Q617272	Q11879590
Q617704	Q101352
Q617751	Q11879590
Q617976	Q12308941
Q618149	Q101352
Q619325	Q11879590
Q620177	Q12308941
Q620178	Q12308941
Q620793	Q101352
Q621036	Q101352
Q621180	Q12308941
Q621435	Q11879590
Q621915	Q11879590
Q622583	Q11879590
Q626620	Q101352
Q626780	Q11879590
Q628262	Q101352
Q628471	Q12308941
Q629347	Q12308941
Q630328	Q12308941
Q630846	Q11879590
Q630960	Q101352
Q631585	Q12308941
Q632104	Q3409032
Q632264	Q11879590
Q632389	Q11879590
Q632390	Q11879590
Q632406	Q101352
Q632416	Q11879590
Q632842	Q12308941
Q632894	Q12308941
Q632945	Q101352
Q634062	Q12308941
Q634419	Q12308941
Q634520	Q101352
Q634916	Q11879590
Q634940	Q3409032
Q636461	Q11879590
Q637123	Q3409032
Q638038	Q101352
Q638777	Q11879590
Q639085	Q3409032
Q639292	Q12308941
Q639474	Q101352
Q639589	Q12308941
Q639748	Q12308941
Q639762	Q12308941
Q639901	Q101352
Q641566	Q101352
Q641974	Q101352
Q642254	Q12308941
Q642492	Q12308941
Q643507	Q12308941
Q643816	Q12308941
Q643838	Q11879590
Q644599	Q11879590
Q645064	Q101352
Q645412	Q11879590
Q645672	Q12308941
Q645699	Q12308941
Q645734	Q12308941
Q645737	Q12308941
Q645757	Q12308941
Q646082	Q12308941
Q646155	Q101352
Q646303	Q12308941
Q646312	Q11879590
Q646313	Q12308941
Q646616	Q11879590
Q646770	Q12308941
Q646973	Q12308941
Q647372	Q11879590
Q647610	Q101352
Q647872	Q11879590
Q647875	Q12308941
Q648010	Q101352
Q649085	Q12308941
Q649225	Q101352
Q649921	Q11879590
Q650324	Q11879590
Q650375	Q12308941
Q650383	Q11879590
Q650494	Q3409032
Q650689	Q11879590
Q651493	Q11879590
Q652685	Q101352
Q652878	Q12308941
Q653298	Q12308941
Q654168	Q3409032
Q654581	Q11879590
Q654658	Q12308941
Q654850	Q11879590
Q655722	Q11879590
Q655739	Q12308941
Q656179	Q101352
Q656520	Q12308941
Q656590	Q11879590
Q656698	Q11879590
Q656767	Q101352
Q656870	Q11879590
Q657436	Q12308941
Q657732	Q11879590
Q658098	Q12308941
Q658369	Q12308941
Q658676	Q101352
Q658962	Q12308941
Q659041	Q11879590
Q659150	Q12308941
Q659189	Q11879590
Q659757	Q11879590
Q660206	Q12308941
Q660542	Q101352
Q660892	Q12308941
Q661107	Q12308941
Q661284	Q3409032,Q12308941
Q661482	Q12308941
Q661512	Q101352
Q661572	Q11879590
Q661884	Q12308941
Q662251	Q12308941
Q662373	Q11879590
Q663072	Q11879590
Q663233	Q101352
Q664791	Q3409032
Q664832	Q12308941
Q664915	Q12308941
Q665157	Q3409032
Q665407	Q11879590
Q665812	Q12308941
Q666112	Q12308941
Q666578	Q11879590
Q666954	Q11879590
Q667918	Q101352
Q668036	Q12308941
Q668622	Q101352
Q668885	Q12308941
Q668902	Q3409032
Q669274	Q101352
Q669368	Q101352
Q671199	Q12308941
Q671381	Q11879590
Q671561	Q101352
Q672393	Q12308941
Q672415	Q12308941
Q672975	Q101352
Q673233	Q101352
Q673677	Q11879590
Q674360	Q12308941
Q674660	Q101352
Q675106	Q12308941
Q676574	Q12308941
Q676823	Q12308941
Q676984	Q12308941
Q677191	Q12308941
Q677210	Q12308941
Q677750	Q12308941
Q679211	Q202444
Q679499	Q12308941
Q679755	Q11879590
Q680401	Q101352
Q680426	Q12308941
Q681468	Q12308941
Q682121	Q11879590
Q682250	Q12308941
Q684595	Q11879590
Q685620	Q12308941
Q685740	Q11879590
Q685963	Q12308941
Q686223	Q101352
Q686299	Q11879590
Q686532	Q12308941
Q686636	Q12308941
Q686679	Q11879590
Q686722	Q101352
Q687322	Q11879590
Q687393	Q11879590
Q687531	Q11879590
Q687536	Q11879590
Q688492	Q12308941
Q688520	Q202444
Q688637	Q101352
Q689283	Q11879590
Q689640	Q202444
Q689963	Q101352
Q690848	Q12308941
Q690901	Q110874,Q101352
Q690984	Q101352
Q691011	Q101352
Q692453	Q11879590
Q692575	Q3409032,Q11879590
Q693486	Q12308941
Q693532	Q101352
Q693963	Q101352
Q694010	Q12308941
Q694739	Q11879590
Q694764	Q101352
Q695472	Q12308941
Q695486	Q12308941
Q695525	Q11879590
Q696811	Q12308941
Q696933	Q11879590
Q697186	Q101352
Q697234	Q12308941
Q697739	Q11879590
Q697810	Q11879590
Q697814	Q11879590
