geni_id,token,han,qid,verdict
6000000003937142136,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003937147880,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003954667537,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003954739437,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003954810498,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003954869036,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003954915028,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964628605,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964631557,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964631696,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964677974,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964724860,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964762584,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964764325,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964769626,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964791823,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964832547,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964871910,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964886300,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964892252,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964990204,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003964999272,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000005788382218,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000006171730466,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000007157063466,Tachibana,立花,Q26216117,resolved by the bearer's Han name
6000000008302533117,Tachibana,立花,Q26216117,resolved by the bearer's Han name
6000000008737141487,Saga,嵯峨,Q39241556,resolved by the bearer's Han name
6000000009866734062,Sono,園,Q99476781,resolved by the bearer's Han name
6000000012038807107,Koga,古賀,Q18646505,resolved by the bearer's Han name
6000000012588581748,Yuan,元,Q97638464,resolved by the bearer's Han name
6000000012588605524,Kan,堪,Q106879621,resolved by the bearer's Han name
6000000012592118612,Sono,園,Q99476781,resolved by the bearer's Han name
6000000012592188616,Takeda,竹田,Q18642402,resolved by the bearer's Han name
6000000012601928948,Sono,園,Q99476781,resolved by the bearer's Han name
6000000012602377081,Sono,園,Q99476781,resolved by the bearer's Han name
6000000012611731800,Sono,園,Q99476781,resolved by the bearer's Han name
6000000012612003391,Sono,園,Q99476781,resolved by the bearer's Han name
6000000012664589848,Yuan,元,Q97638464,resolved by the bearer's Han name
6000000012664630720,Yuan,元,Q97638464,resolved by the bearer's Han name
6000000012664672978,Yuan,元,Q97638464,resolved by the bearer's Han name
6000000012664682281,Yuan,元,Q97638464,resolved by the bearer's Han name
6000000012669164576,Takeda,武田,Q1981031,resolved by the bearer's Han name
6000000012701341063,Takeda,武田,Q1981031,resolved by the bearer's Han name
6000000012967351909,Bai,白,Q15711104,resolved by the bearer's Han name
6000000014329840181,Zhou,周,Q96465847,resolved by the bearer's Han name
6000000016684492705,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000023406791881,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000023759040163,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000023759513971,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000045895029952,Yán,延,Q96251245,resolved by the bearer's Han name
6000000054121589881,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000054244005913,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000054316553157,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000054316833847,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000054316986621,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000054317157866,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000054318571881,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000145755319086,Su,苏,Q20001413,resolved by the bearer's Han name
6000000173701070856,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000173701507684,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000173703269189,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000174437664995,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000174772002856,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000178117497902,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000192905416843,Hayashi,林,Q279372,resolved by the bearer's Han name
6000000192905435841,Hayashi,林,Q279372,resolved by the bearer's Han name
6000000192905458828,Itō,伊藤,Q6500676,resolved by the bearer's Han name
6000000192905525836,Hayashi,林,Q279372,resolved by the bearer's Han name
6000000192905582840,Hayashi,林,Q279372,resolved by the bearer's Han name
6000000192905594857,Hayashi,林,Q279372,resolved by the bearer's Han name
6000000192905603825,Hayashi,林,Q279372,resolved by the bearer's Han name
6000000193191643825,Saburō,三郎,Q20177168,resolved by the bearer's Han name
6000000193195538832,Tachibana,立花,Q26216117,resolved by the bearer's Han name
6000000193222287857,Tachibana,立花,Q26216117,resolved by the bearer's Han name
6000000193222335822,Tachibana,立花,Q26216117,resolved by the bearer's Han name
6000000193222854854,Abe,安倍,Q18645909,resolved by the bearer's Han name
6000000193223562821,Tachibana,立花,Q26216117,resolved by the bearer's Han name
6000000193223719847,Tachibana,立花,Q26216117,resolved by the bearer's Han name
6000000193225517822,Tachibana,立花,Q26216117,resolved by the bearer's Han name
6000000221823934136,Heng,衡,Q107096979,resolved by the bearer's Han name
