geni_id,orderlife_qid,en,ja,zh,hi,ar,ru,el,mul
347868854190012671,Q123261,Olaf I of Denmark,オーロフ1世 (デンマーク王),奥拉夫一世,,,Олаф I,Όλαφ Α΄ της Δανίας,
347871934200012670,Q139173,Ragnhild Eriksdottir,ラグンヒル,,,,,,
348076699600004943,Q205041,Princess of Italy / Berthais / Aeda (Alda / Attala),,,,,,,
348084891430004007,Q205042,Theodoric de Senlis,,,,,,,
348101875910005782,Q115533,Pepin I of Aquitaine,ピピン1世 (アキテーヌ王),丕平一世,,,Пипин I,Πεπίνος Α΄ της Ακουιτανίας,
348125364460011383,Q205044,N N,,,,,,,
348888302450003727,Q205045,Hildegard of Bavaria Abadesa de Zurich Princess of Germany,,,,,,,
348889594040013469,Q115656,Ermengarde,,,,,,,
348902048170005826,Q205047,Berta of Bavaria Abbess of Schwarzach-am-Main,,,,,,,
348906241490012681,Q205048,Ellinrat,,,,,,,
348931973910011551,Q205049,"Charles 'le Enfant', roi d'Aquitaine",,,,,,,
348974835960007142,Q205050,Adelais,,,,,,,
348989271720012699,Q111589,Hugh the Great,ユーグ大公,伟大的于格,ह्यूगो द ग्रेट,هيو العظيم,Гуго Великий,Ούγος ο Μέγας,
353440830330013057,Q143873,Thora,,,,,,,
353466568960001728,Q143864,Inge Magnusson,インゲ・マグヌソン,英格·馬格努森,,إنجي ماجنوسون,Инге Магнуссон,,
353479885240011139,Q137555,Haakon Magnusson of Norway,ホーコン・マグヌスソン,哈康·馬格努森,,,Хакон Воспитанник Торира,Χάακον Μάγκνουσον της Νορβηγίας,
353875187360013114,Q205052,Alaidis d'Amiens,,,,,,,
356575805210011493,Q147737,Haakon the Young,ホーコン若王,幼王哈康,,,Хакон Молодой,Χάακον ο Νέος,
358414969920005190,Q205053,Carol I de Flandra,,,,,,,
359281527140013083,Q167134,VII,,,,,,,
359282141180013088,Q167108,Баграт,,,,,,,
359282548040006278,Q167135,,,,,,,,
360520370310001313,Q93241,Rebecca  Abarbanel,,,,,,,
361088630390012679,Q43220,Michael IX Palaiologos,ミカエル9世パレオロゴス,米海爾九世,,ميخائيل التاسع باليولوج,Михаил IX Палеолог,Μιχαήλ Θ΄ Παλαιολόγος,
361088850870011645,Q46058,Rita of Armenia,リタ,亚美尼亚的里塔,,ريتا من أرمينيا,Рита Армянская,Ρίτα της Αρμενίας,
361088998770012651,Q46066,Andronikos III Palaiologos,アンドロニコス3世パレオロゴス,安德洛尼卡三世,,أندرونيكوس الثالث باليولوج,Андроник III Палеолог,Ανδρόνικος Γ´ Παλαιολόγος,
361089507860011643,Q49800,John V Palaiologos,ヨハネス5世パレオロゴス,约翰五世,,يوحنا الخامس باليولوج,Иоанн V Палеолог,Ιωάννης Ε΄ Παλαιολόγος,
361242720430013551,Q49901,Matthew Kantakouzenos,マテオス・カンダクジノス,马修·坎塔库泽努斯,,متى قانتاقوزن,Матфей Кантакузин,Ματθαίος Καντακουζηνός,
361244423510011619,Q55220,Andronikos IV Palaiologos,アンドロニコス4世パレオロゴス,安德洛尼卡四世,,أندرونيكوس الرابع باليولوج,Андроник IV Палеолог,Ανδρόνικος Δ´ Παλαιολόγος,
361250787660004588,Q55208,Theodoros I Palaiologos,テオドロス1世パレオロゴス,狄奥多尔一世·巴列奥略,,,Феодор I Палеолог,Θεόδωρος Α΄ Παλαιολόγος,
361324418330013559,Q164469,Haji Pangeran BIN RAJA MUDA PUTEH,,,,,,,
361492044320004652,Q163542,Adipati Raja Muda Puteh BIN Sultan Maraja Besar,,,,,,,
361493362090011607,Q162920,Maraja Besar Bin Sunan Kudus [jafar Shadiq],,,,,,,
361886414530007915,Q56023,Simeon of Moscow,セミョーン,谢苗一世,,سيميون إيفانوفيتش,Симеон Иванович Гордый,Συμεών της Μόσχας,
362156517910013935,Q121955,Bryachislav of Polotsk,ブリャチスラフ・イジャスラヴィチ,,,,Брячислав Изяславич,Μπρίτσισλαβ του Πολότσκ,
362164304500001795,Q122225,Alexios Komnenos,アレクシオス・コムネノス,阿莱克修斯·科穆宁,,ألكسيوس كومنينوس,Алексей Комнин,Αλέξιος Κομνηνός,
3624121,Q136376,Ingeborg Tryggvasdotter,,英格堡·特里格維斯多塔,,,Ингеборга Трюггведоттир,,
3624768,Q121175,Haakon Ericsson,ハーコン・エイリークスソン,哈康·埃里克松,,هاكون إريكسون,Хакон Эйрикссон,,
363871132870012262,Q121159,Mieszko I,ミェシュコ1世,梅什科一世,मिएश्को प्रथम,ميشكو الأول,Мешко I,Μιέσκο Α΄ της Πολωνίας,Mieszko I
363886034950010574,Q121993,"Leszek, Duke of Masovia",,萊謝克,,,Лешек Болеславович,Λέσεκ της Μαζοβίας,
364684989340012633,Q145132,Margaret de Clare,マーガレット・ド・クレア,,,,Маргарет де Клер,,Margaret de Clare
365447742810013159,Q149159,Joan of Lusignan,,,,,Жанна де Лузиньян,Ιωάννα του Λουζινιάν,
366089996110005542,Q205054,Wife of Nithard van Ponthieu,,,,,,,
366244888640011862,Q205055,"ARPAD(hazi) HenrikSzent Imre - Saint Emerich, prince of Hungary / herceg",,,,,,,
367922923820005107,Q112658,"Agnes I, Abbess of Quedlinburg",,,,,Агнеса I,"Αγνή Α΄, Ηγουμένη του Κέντλινμπεργκ",
367972467880002240,Q116092,Felicia of Sicily,,西西里的費莉齊亞,,,Фелиция Сицилийская,Φελίτσα της Σικελίας,
375773065110012019,Q49410,Marina Smilets of Bulgaria,,,,,,Μαρίνα Σμίλετς της Βουλγαρίας,
375777528840004741,Q43302,Nogai Khan,ノガイ,那海,नोगाई ख़ान,نوغاي خان,Ногай,Νογκάι Χαν,
375783977160004715,Q37432,Jochi,ジョチ,朮赤,जोची ख़ान,جوجي خان,Джучи,,
375784306260002721,Q37401,Genghis Khan,チンギス・カン,成吉思汗,चंगेज़ ख़ान,جنكيز خان,Чингисхан,Τζένγκις Χαν,
377622873940013790,Q137106,Iago ap Beli,イヤゴ・アプ・ベリ,亚戈·阿普·贝利,,,Иаго ап Бели,,Iago ap Beli
377661791800005806,Q135820,Brychan Brycheiniog,,,,,Брихан из Брекнока,,
379814567780012889,Q104947,"Mayeul II de Narbonne, vicomte de Macon",,,,,,,
381329039650006560,Q205057,Beatrice d'Albon,,,,,,,
381330655950006583,Q205058,"Guigues I 'le vieux', comte d'Albon",,,,,,,
381331645830003157,Q205059,"Guigues, seigneur de Vion",,,,,,,
383226021130012382,Q166527,Vahan I Mamikonian,,,,,,,
383257113720012446,Q205060,Madelgarde of Lommois,,,,,,,
383352724900004058,Q165778,Balakros de Macedoine,,,,,,,
384091490410011651,Q205061,Heilwis d'Ostrevant,,,,,,,
385223927880013853,Q167496,"Mehmed II, Ottoman sultan",,,,,,,
385912840740007136,Q126986,Zoe Porphyrogenita,ゾエ (東ローマ皇后),佐伊女皇,,زوي بورفيريوجينيتا,Зоя,Ζωή,
385916307050006085,Q205062,Argyrosa Argyros Princess,,,,,,,
385929885890010277,Q143816,Michael IV the Paphlagonian,ミカエル4世,米海爾四世,,ميخائيل الرابع البافلاغوني,Михаил IV Пафлагонский,Μιχαήλ Δ΄ Παφλαγόνας,
385935664970005621,Q121269,Konstantinos IX Monomachos,コンスタンティノス9世モノマコス,君士坦丁九世,,قسطنطين التاسع,Константин IX Мономах,Κωνσταντίνος Θ΄ Μονομάχος,
385953397470012188,Q124143,Konstantinos VII,コンスタンティノス7世,君士坦丁七世,,قسطنطين السابع,Константин VII Багрянородный,Κωνσταντίνος Ζ´,
388793565870003237,Q205063,Rotrude,,,,,,,
390852027630002207,Q103063,Garssia  Aznar de Gascohna,,,,,,,
391017930360010721,Q104317,"Arnaud Garcia de Gascogne, comte d'Astarac",,,,,,,
3914281777690071760,Q89295,R. Moshe Halevi Halevi,,,,,,,
3915431532080124767,Q94092,Ruqayyah daughter of al-Hasan,,,,,,,
3915447606900125285,Q94114,Abdul-Rahman son of al-Hasan,,,,,,,
3915523143370044292,Q94553,Sidi Sulaiman son of Abdullah al-Kamil,,,,,,,
3915556789490116350,Q94549,Yahya son of Abdullah al-Kamil,,,,,,,
3915559546190032458,Q94543,Ibrahim son of Abdullah al-Kamil,,,,,,,
3915955572940125389,Q88737,Rabbu Yosef the President Halevi,,,,,,,
3926469189610120429,Q113671,Egas (Duer)  Afonso de Ribadouro,,,,,,,
3926969818650030022,Q101143,D.Dordia Raimundes de Riba de Vizela,,,,,,,
3937484325120075383,Q121979,Sverker I of Sweden,スヴェルチェル,老斯渥克爾,,سفيركر الأكبر,Сверкер I,Σβέρκερ Α΄ της Σουηδίας,
3950516705030063754,Q119908,Harald Fairhair,ハーラル1世,哈拉尔一世,,هارالد الأشقر,Харальд I Прекрасноволосый,Χάραλντ Χορφάγκρε,
3953135291130122872,Q113912,Adelaide of Italy,ブルグントのアーデルハイト,意大利的雅德蕾德,,أديلايد من إيطاليا,Адельгейда Бургундская,Αδελαΐδα της Βουργουνδίας,
3967262167710039627,Q116174,Alfred the Great,アルフレッド大王,阿佛列大帝,,ألفريد العظيم,Альфред Великий,Αλφρέδος του Ουέσσεξ,
3970714729430045179,Q111356,Aslaug,アスラウグ,亞絲拉琪,,آسلوغ,Аслауг,,
4067496007150031161,Q105969,"Dom Gil Cabral, bispo de Guarda",,,,,,,
4067519823100021180,Q103641,Joao Martins Cabral,アーネム＝ナイメーヘン都市圏,阿納姆-奈梅亨都會區,,,,,
4067523799810010303,Q105967,N.N.,,,,,,,
4067552991300020569,Q113779,Martim  Duraes Riba Vizela,,,,,,,
4067557011140010308,Q103639,N.N.,,,,,,,
4067618057490010326,Q106184,Dordia (Pires)  Pais de Aguiar,,,,,,,
4067651000740031062,Q105485,Martim  Pires Espinel,,,,,,,
4067672355700123117,Q103385,Martim Gomes  Pires Espinel,,,,,,Αλφρέδος Μοσχκάου,
4067680158210010342,Q105481,NN Anes  de Paravinas,,,,,,,
4067682592610020441,Q103381,Pedro Gomes  Espinel,アーネム＝ナイメーヘン都市圏,阿納姆-奈梅亨都會區,,,,,
4068078558290123221,Q101469,Trastamiro Hermigio  Alboazar,アーネム＝ナイメーヘン都市圏,阿納姆-奈梅亨都會區,,,,,
4068084227010048440,Q101467,Arnhem-Nijmegen metropolitan area,アーネム＝ナイメーヘン都市圏,阿納姆-奈梅亨都會區,,,,,
4068099193130010323,Q100734,Dna. Helena  Godinhes,,,,,,,
4068107661440020572,Q100334,Lovesendo  Ramirez de Amaya,,,,,,,
4068111691660010327,Q102723,Artiga (Aldara)  daughter of Zaydan,,,,,,,
4069026975390010312,Q100062,Urraca,,,,,,,
4069076529180010318,Q100013,Elvira  Arias,,,,ماريون شيك,,,
4069098829580048103,Q101521,Zaydan  Ibn Zayd,,,,,,,
4069109711460048112,Q101517,Zayd  ibn 'Abd Allah,,,,,,,
4069355645200020817,Q100064,Fortun  Garces de Pamplona,,,,,,,
4069381735600010388,Q100074,Assona  Iniguez,モンテーゼ,蒙泰塞,,مونتيزي,,Μοντέζε,
4069417418510071354,Q97638,Caliph  Yazid,,,,,,,
4069419417000010398,Q98273,Atika  daughter of Yazid,,,,,,,
4073318,Q138265,Tora Magnusdatter,,托拉·马格努斯达特,,,Тора Магнусдоттер,,
4074661,Q139386,Loftur Sæmundsson,,,,,,,
4075666,Q138262,Eystein I of Norway,エイステイン1世,埃斯泰因一世,,,Эйстейн I Магнуссон,Έιστεν Α΄ της Νορβηγίας,
4075734,Q139383,Magnus IV of Norway,マグヌス4世,馬格努斯四世,,,Магнус IV Слепой,Μάγκνους Δ΄ της Νορβηγίας,
4076130,Q139389,Inge I of Norway,インゲ1世,英格一世 (挪威),,,Инги I Горбун,Ίνγκε Α΄ της Νορβηγίας,
4076230,Q141211,Haakon II of Norway,ホーコン2世,哈康二世,,,Хакон II Широкоплечий,Χάακον Β΄ της Νορβηγίας,
4076388,Q141202,Magnus V of Norway,マグヌス5世,馬格努斯五世,,,Магнус V,Μάγκνους Ε΄ της Νορβηγίας,
4085346784660032814,Q89041,Rabbeinu Aharon Halevi the Seer,,,,,,,
4102701,Q113308,Harthacnut I of Denmark,,哈德克努特·I·奥法·丹瑪,,,Кнуд I Хардекнуд,Αρθακανούτος Α΄,
4102767,Q143705,Eric X of Sweden,エリク10世 (スウェーデン王),埃里克·克努特松,,,Эрик X,Ερρίκος Ι΄ της Σουηδίας,
4127288428870050022,Q88134,"Hai ben Sherira, Gaon v'haDayyan b'Pumbeditha",,,,,,,
4127344820300026505,Q88032,Nechemya  ben Magis,,,,,,,
4128013497140049722,Q65873,Abu Talib  ibn Abd al-Muttalib,,,,,,,
4129460599360059866,Q138762,William de Braose,,,,,Уильям де Браоз,,
4168449344050058467,Q94984,al-Abbas bin Ja'far al-Sadiq,,,,,,,
4168490953610032334,Q94888,Ishaq al-Mutamin,,,,,,,
4168498692000072713,Q94942,Muhammad al-Dibaj,,,,,,,
4171476789890072533,Q93976,Zaynab bint Ali,,,,,,,
4179121104540034916,Q105606,Catarina  Dias de Melo,,,,,,,
4179138479930034930,Q105604,Maria Dias,,,,,,,
4179621947050073407,Q100840,Garcia  Jimenez de Pamplona,アーネム＝ナイメーヘン都市圏,阿納姆-奈梅亨都會區,,,,,
4179621973270034928,Q101603,Sancha  de Aragon,,,,,,,
4179732132180059855,Q100505,Arnaldo  de Spoleto,,,,,,,
4179946460940064007,Q100635,"Moninho  Viegas, o ""Gasco""",,,,,,,
4180323288100034990,Q103055,Uracca  Sanchez de Gascogne,,,,,,,
4181250114820035915,Q141117,Eric IX of Sweden,エリク9世 (スウェーデン王),埃里克九世,,إريك يدفاردسون,Эрик IX Святой,Ερρίκος Θ´ της Σουηδίας,
4181250149390035423,Q205065,Cecilie Knudsdatter af Danmark,,,,,,,
4189402108720126706,Q205066,Rothrudis,,,,,,,
4190611625600041862,Q104869,Carlos  de Aragon y Vera,,,,,,,
4190875500120027949,Q116184,Æthelflæd,エセルフリーダ,艾塞弗莉塔,,أثلفليد,Этельфледа Мерсийская,Έθελφλαεντ,Æthelflæd
4194863017010128979,Q149217,Edward II of England,エドワード2世,爱德华二世,,إدوارد الثاني ملك إنجلترا,Эдуард II,Εδουάρδος Β΄ της Αγγλίας,
4194887957440076070,Q117343,"Geoffrey Plantagenet, Count of Anjou",ジョフロワ4世,若弗鲁瓦五世,,جيفري الخامس كونت أنجو,Жоффруа V Плантагенет,Γοδεφρείδος Ε΄ του Ανζού,
4195082387770067939,Q117854,Melisende,メリザンド (エルサレム女王),梅利桑德,,ميليسندا,Мелисенда Иерусалимская,Μελισσάνθη της Ιερουσαλήμ,
4196241905310123227,Q160838,UTTANAPADA Manu,,,,,,,
4196353848790061985,Q169145,Citraketu Vasistha,,,,,,,
4196357391090059432,Q169146,MITRA Vasistha,,,,,,,
4196358650410122618,Q169147,Ulbana Vasistha,,,,,,,
4196363662750033216,Q169148,Dyuman Vasistha,,,,,,,
4199551254550059770,Q160892,MERU Muni,,,,,,,
4199612289260058005,Q169165,Subha Dharma,,,,,,,
4199651806040033292,Q169168,Prasada Dharma,,,,,,,
4199655681380061665,Q169169,Abhaya Dharma,,,,,,,
4199657960750061424,Q169170,Sukha Dharma,,,,,,,
4199660242630034994,Q169171,Muda Dharma,,,,,,,
4199662896160034911,Q169172,Smaya Dharma,,,,,,,
4199665311200059500,Q169173,Yoga Dharma,,,,,,,
4199667973710032175,Q169174,Darpa Dharma,,,,,,,
4199670105370061846,Q169175,Artha Dharma,,,,,,,
4199672355290062187,Q169176,Smrti Dharma,,,,,,,
4199674686550123429,Q169177,Ksema Dharma,,,,,,,
4199676870490072825,Q169178,Prasraya Dharma,,,,,,,
4199721131260072965,Q169187,VAYUNA Svadha,,,,,,,
4255285605760040512,Q205067,Thetberge,,,,,,,
4258970970100070152,Q205068,Suzanna van Italie,,,,,,,
4274386,Q126944,Philip of Sweden,フィリップ (スウェーデン王),菲里普,,فيليب هالستنسون,Филипп,Φίλιππος της Σουηδίας,
4286118427370035651,Q116220,Edgar of England,エドガー,埃德加,शांतिदूत एडगर,إدغار، ملك إنجلترا,Эдгар,Έντγκαρ Α΄ ο Ειρηνικός,
4293237,Q127996,Charles VII of Sweden,カール7世,卡爾七世,,كارل سفيركرسون,Карл VII,Κάρολος Ζ΄ της Σουηδίας,
4294404046250042543,Q143737,"William, king of Scotland (William the Lion)",ウィリアム1世,威廉,,وليام الأسد,Вильгельм I Лев,Γουλιέλμος Α΄ της Σκωτίας,
4296981596420026848,Q116735,Adelise of Soissons,,,,,,Αδελίζα του Σουασόν,
4310105748700020120,Q116343,"Henry II, Holy Roman Emperor",ハインリヒ2世,亨利二世,,هنري الثاني,Генрих II Святой,Ερρίκος Β΄ της Αγίας Ρωμαϊκής Αυτοκρατορίας,
4310818670550020181,Q205071,Elena di Ventimiglia,,,,,,,
4363142221750073202,Q50381,Manvydas,マントヴィーダス,,,,Монтвид,Μανβύντας,
4363152365890123437,Q46387,Narimantas,ナリマンタス,,,,Наримунт,Ναριμάντας,
4363156600820022016,Q50401,Alexandr Narimontovich,,,,,Александр Наримунтович,,
4363160345110081439,Q50393,Jerzy Narymuntowicz,,,,,Юрий Наримунтович,,
4363165195640021509,Q46391,Patrikas,パトリカス・ナリマンタイティス,,,,Патрикей Наримунтович,Πατρίκας,
4363168411310050572,Q50405,Szymon Narimontowicz,,,,,Семён Наримунтович,,
4363207859050048951,Q56071,Voishvil,,,,,Войшвил,,
4368374074540088479,Q94157,Muhammad,,,,,,,
4368416013130031112,Q94104,Khawla daughter of Manzur,,,,,,,
4368461048540088287,Q95774,Abdullah  Al-Idrisi,,,,,,,
4378439962430088095,Q195001,Erean .,,,,,,,
4378465462890042298,Q195002,Akael .,,,,,,,
4386407337160057781,Q99973,Guterre  Mendès de COÏMBRA,,,,,,,
4396587762320018352,Q35624,Francisca  Rivera Arellano Carreno,,,,,,,
4396617843440123010,Q33552,Pedro  Ramirez de Arellano y Zuniga,,,,,,,
4410178104790084300,Q97262,Al-Husayn son of Ahmad al-Muhajir,,,,,,,
4410181681180072451,Q97264,Ali son of Ahmad al-Muhajir,,,,,,,
4410424959800072206,Q96581,Abdul-Rahman son of al-Azraq,,,,,,,
4410450306000041185,Q96579,Yahya son of al-Arat,,,,,,,
4410488969090024951,Q96585,Sulayman son of al-Arat,,,,,,,
4410719680960024502,Q95706,Harb son of Umayya,,,,,,,
4410812169090066711,Q94413,Hamza ibn Abd al-Muttalib,,,,,,,
4410847186200073281,Q94036,Ja'far al-Tayyar bin Abi Talib,,,,,,,
4411077817660084635,Q94605,Zayd  Al-Husayni,,,,,,,
4413238907970084634,Q97129,Ahmad son of ,,,,,,,
4413241234740053136,Q97817,Ali son of ,,,,,,,
4413243520300037996,Q97819,Yihya son of ,,,,,,,
4413245426210042025,Q97821,alKassim son of  alMukhtar,,,,,,,
4413248024210024820,Q98428,Yousof bin  alDa'ee,,,,,,,
4434175518170069628,Q205072,"Hugues de Chateaudun vicomte de Chateaudun, archeveque du Tours",,,,,,,
4444414873460026285,Q205073,Agnes von Rheinfelden,,,,,,,
4486153815800026046,Q205074,"Gebhard I, Graf  von Diessen",,,,,,,
4486777791240026083,Q205075,Beatrice de Montbeliard,,,,,,,
4494141591070061564,Q95820,Abdullah  Al-Idrisi,,,,,,,
4494141611060038046,Q95816,Ruqayya daughter of Ismail Al-Azadi,,,,,,,
4494142858940120550,Q96383,Muhammad  Al-Idrisi,,,,,,,
4494144484570032763,Q97049,Abu al-Qasim  Al-Idrisi,,,,,,,
4494145863510033189,Q97740,Sulayman  Al-Idrisi,,,,,,,
4494147414800058173,Q98370,Dawud  Al-Idrisi,,,,,,,
4538880477870022264,Q104190,Pedro  Fernandez de Monroy de Fuentencalada,アーネム＝ナイメーヘン都市圏,阿納姆-奈梅亨都會區,,,,,
4538880491660011547,Q118541,Mayor  de Saavedra,,,,,,,
4538914240710064310,Q104186,Don Fernando Joanes de Monroy,ロバート・ウォルポール,罗伯特·沃波尔,,روبرت والبول,,Ρόμπερτ Γουόλπολ,
4538914255540011555,Q114083,D.Urraca Nunez Gomez de Guzman y Pombeiro Maldonado y Perez de Tr,,,,,,,
4539109721550011587,Q99993,Ermesenda  Eriz,,,,,,,
4567804484950035332,Q95301,Isa son of Idris II,,,,,,,
4567807066220076975,Q95285,Hamza son of Idris II,,,,,,,
4567808770430035092,Q95283,Dawud son of Idris II,,,,,,,
4567814378660129709,Q95281,Yahya son of Idris II,,,,,,,
4567817359610082232,Q95289,Ahmad son of Idris II,,,,,,,
4567818901930120003,Q95291,Abdullah son of Idris II,,,,,,,
4567828406120068479,Q95796,Idress  Al Idrees,,,,,,,
4567830251780067998,Q95798,Ali  Al Idrees,,,,,,,
4567875406370046579,Q95784,Muhammad son of  Qasim,,,,,,,
4567878167320068574,Q96352,Hasan al-Hajjam son of  Muhammad,,,,,,,
4567881592600046683,Q96354,Yahya  Al Idrees,,,,,,,
4569482970790026051,Q96366,Yahya  Al Idrees,,,,,,,
4569881930670120005,Q67642,'Ali bin Abu al-'As,,,,,,,
4569895705510047612,Q65817,ar-Rabeea' bin 'Abd al-'Uzza bin 'Abd Shams,,,,,,,
4569900099540082773,Q95207,Imam Abdullah son of Usman,,,,,,,
4571960599400047297,Q96356,Al Qasem Kanoon  Al Idrees,,,,,,,
4571962815890036148,Q97027,Ahmed  Al Idrees,,,,,,,
4571964620970121108,Q97029,Al Hassan  Al Idrees,,,,,,,
4572059746030047418,Q97728,Maymoun  Al Idrees,,,,,,,
4572063285970069225,Q98358,Abu Alaesh  Al Idrees,,,,,,,
4573114,Q117047,Yaroslav the Wise,ヤロスラフ1世,智者雅罗斯拉夫,,ياروسلاف الحكيم,Ярослав Владимирович Мудрый,Γιαροσλάβ Α΄ Σοφός,
4579776863610084664,Q97795,Mohammed  Abu Hashem,,,,,,,
4579802672330038505,Q98408,Abdullah,,,,,,,
4579812207890050238,Q98932,Mohammed  Abu Hashem,,,,,,,
4586243328850125422,Q95363,Salman al-Harabi,,,,,,,
4586245338330072433,Q95866,Dawud son of Salman al-Harabi,,,,,,,
4586247809920086555,Q96430,Abdullah al-Qasem son of Dawood as-Salmani,,,,,,,
4586249581550063831,Q97119,Abdulrahman son of Abdullah al-Qasem as-Salmani,,,,,,,
4586252433990052426,Q97811,"""Abu at-Tayeb"" Dawood bin Abdullah al-Qasem as-Salmani",,,,,,,
4586254278560063550,Q98424,al-Wahhas son of Dawood as-Salmani,,,,,,,
4586256134590086470,Q98942,Hamza bin al-Wahhas as-Salmani,,,,,,,
