geni_id	label	why
6000000008354895629	Anna Maria von Hartmansdorff	P3373 sibling Q141352983 held: over the 60-a-day cap
6000000008354897323	Joakim Christoffer von Hartmannsdorf	P3373 sibling Q141447191 held: over the 60-a-day cap
6000000008354897323	Joakim Christoffer von Hartmannsdorf	P3373 sibling Q141443309 held: over the 60-a-day cap
6000000008354897323	Joakim Christoffer von Hartmannsdorf	P3373 sibling Q141442992 held: over the 60-a-day cap
6000000008354897323	Joakim Christoffer von Hartmannsdorf	P3373 sibling Q141520569 held: over the 60-a-day cap
6000000008354933151	Mariana Lovisa Barnekow	P3373 sibling Q141450177 held: over the 60-a-day cap
6000000008363686975	Jakob Olson Tjora	P3373 sibling Q141444728 held: over the 60-a-day cap
6000000008363686975	Jakob Olson Tjora	P3373 sibling Q141318915 held: over the 60-a-day cap
6000000008363986466	Lisbet Larsdatter Sveinsvoll	P3373 sibling Q141318602 held: over the 60-a-day cap
6000000008366758791	Ulrika Augusta Uggla	P3373 sibling Q141257167 held: over the 60-a-day cap
6000000008366758791	Ulrika Augusta Uggla	P3373 sibling Q141422281 held: over the 60-a-day cap
6000000008385820935	Lorentz von Numers	P3373 sibling Q137806522 held: over the 60-a-day cap
6000000008385820935	Lorentz von Numers	P3373 sibling Q128047994 held: over the 60-a-day cap
6000000008386607464	Carl von Numers	P3373 sibling Q137806559 held: over the 60-a-day cap
6000000008386607464	Carl von Numers	P3373 sibling Q128047994 held: over the 60-a-day cap
6000000008386708140	Maria Gustava von Troil	P3373 sibling Q943803 held: over the 60-a-day cap
6000000008386708140	Maria Gustava von Troil	P3373 sibling Q141403498 held: over the 60-a-day cap
6000000008390619113	Carl Aurivillius	P3373 sibling Q141448541 held: over the 60-a-day cap
6000000008390619113	Carl Aurivillius	P3373 sibling Q5562598 held: over the 60-a-day cap
6000000008390619113	Carl Aurivillius	P3373 sibling Q141492688 held: over the 60-a-day cap
6000000008390619113	Carl Aurivillius	P3373 sibling Q141224331 held: over the 60-a-day cap
6000000008394484862	Anna Clo	P3373 sibling Q131317316 held: over the 60-a-day cap
6000000008403251632	Sten Carl Turesson Bielke	P3373 sibling Q141249727 held: over the 60-a-day cap
6000000008403251632	Sten Carl Turesson Bielke	P3373 sibling Q141314034 held: over the 60-a-day cap
6000000008403251632	Sten Carl Turesson Bielke	P3373 sibling Q141244236 held: over the 60-a-day cap
6000000008403251632	Sten Carl Turesson Bielke	P3373 sibling Q141440611 held: over the 60-a-day cap
6000000008403251632	Sten Carl Turesson Bielke	P3373 sibling Q141511181 held: over the 60-a-day cap
6000000008426928914	Hedvig Carlsdotter Posse af Säby	P3373 sibling Q141443359 held: over the 60-a-day cap
6000000008426928914	Hedvig Carlsdotter Posse af Säby	P3373 sibling Q141514604 held: over the 60-a-day cap
6000000008426928914	Hedvig Carlsdotter Posse af Säby	P3373 sibling Q141244212 held: over the 60-a-day cap
6000000008426928914	Hedvig Carlsdotter Posse af Säby	P3373 sibling Q141268088 held: over the 60-a-day cap
6000000008426928914	Hedvig Carlsdotter Posse af Säby	P3373 sibling Q141511465 held: over the 60-a-day cap
6000000008438841099	Kirsti Rasmusdatter Grannes	P3373 sibling Q141522140 held: over the 60-a-day cap
6000000008438904078	Henning Skyttenhielm	P3373 sibling Q141223728 held: over the 60-a-day cap
6000000008438904078	Henning Skyttenhielm	P3448 stepparent Q141244119 held: over the 40-a-day cap
6000000008447289618	Sigrid Guttormsdatter	P3373 sibling Q141216349 held: over the 60-a-day cap
6000000008447289618	Sigrid Guttormsdatter	P3373 sibling Q141352256 held: over the 60-a-day cap
6000000008447311776	Gudrun Guttormsdatter	P3373 sibling Q141216349 held: over the 60-a-day cap
6000000008447311776	Gudrun Guttormsdatter	P3373 sibling Q141352515 held: over the 60-a-day cap
6000000008467554009	Christina Ebba Leijonhufvud	P3448 stepparent Q141493406 held: over the 40-a-day cap
6000000008496882746	Hedvig Elisabeth Berndtsson	P3448 stepparent Q135480138 held: over the 40-a-day cap
6000000008496890939	Catharina Elisabet Brandt	P3373 sibling Q141518628 held: over the 60-a-day cap
6000000008496890943	Georg Brandt	P3373 sibling Q141447103 held: over the 60-a-day cap
6000000008496890943	Georg Brandt	P3373 sibling Q141514648 held: over the 60-a-day cap
6000000008496890948	Anna Maria Norn	P3373 sibling Q141520621 held: over the 60-a-day cap
6000000008496890948	Anna Maria Norn	P3448 stepparent Q141498404 held: over the 40-a-day cap
