qid	lang	label
Q101248686	nl	Maunu|Magnus Olafsson [Kase], Castellan of Häme
Q101249015	en	Catuna|Criejna?
Q101249015	mul	Catuna|Criejna?
Q101249015	nl	Catuna|Criejna?
Q101249093	en	Agnes 'Anne|Annis' Cater
Q101249093	mul	Agnes 'Anne|Annis' Cater
Q101249093	nl	Agnes 'Anne|Annis' Cater
Q101348684	en	Guta|Gutchen von Rheinberg
Q101348684	mul	Guta|Gutchen von Rheinberg
Q101348684	nl	Guta|Gutchen von Rheinberg
Q101349585	en	Maria|Margarethe Hase von Dievelich
Q101349585	mul	Maria|Margarethe Hase von Dievelich
Q101349585	nl	Maria|Margarethe Hase von Dievelich
Q101353962	en	Anna|Adelheid von Saarbrücken
Q101353962	mul	Anna|Adelheid von Saarbrücken
Q101353962	nl	Anna|Adelheid von Saarbrücken
Q101354054	en	Elise|Elisabeth de Moncler
Q101354054	mul	Elise|Elisabeth de Moncler
Q101354054	nl	Elise|Elisabeth de Moncler
Q101354074	en	Jakob|Jacques de Moncler
Q101354074	mul	Jakob|Jacques de Moncler
Q101354074	nl	Jakob|Jacques de Moncler
Q101354234	en	Lisa|Liza Bayer von Boppard, Heiress of Bayon
Q101354234	nb	Lisa Bayer von Boppard
Q101354234	nl	Lisa|Liza Bayer von Boppard, Heiress of Bayon
Q101402724	en	Isabella|Elvira de Guzmán, Señora de Gibraleon
Q101402724	mul	Isabella|Elvira de Guzmán, Señora de Gibraleon
Q101402724	nl	Isabella|Elvira de Guzmán, Señora de Gibraleon
Q101403711	en	Condesa Aldonza|Ildonca Gonzalez
Q101403711	mul	Condesa Aldonza|Ildonca Gonzalez
Q101403711	nl	Condesa Aldonza|Ildonca Gonzalez
Q101404581	en	Catherine|Katherine Cumberworth
Q101404581	mul	Catherine|Katherine Cumberworth
Q101404581	nl	Catherine|Katherine Cumberworth
Q101404588	en	Joan|Jane Pickering
Q101404588	mul	Joan|Jane Pickering
Q101404588	nl	Joan|Jane Pickering
Q101404601	en	Ellen|Alianore de Montagu
Q101404601	mul	Ellen|Alianore de Montagu
Q101404601	nl	Ellen|Alianore de Montagu
Q101404846	en	Maud|Matilda de Bokill (Bokell)
Q101404846	nl	Maud|Matilda de Bokill
Q101404846	ru	Мод де Бокилл
Q101404851	en	Jane|Joan Leyston
Q101404851	mul	Jane|Joan Leyston
Q101404851	nl	Jane|Joan Leyston
Q101518816	cs	Matylda z Rožmberka
Q101518816	en	Mecella|Metze z Rožmberka
Q101518816	nl	Mecella|Metze z Rozmberka
Q101518967	en	Elisabeth|Elsa von Runkel
Q101518967	nl	Elisabeth van Runkel
Q101523517	en	Anne|Mary Apulderfield
Q101523517	mul	Anne|Mary Apulderfield
Q101523517	nl	Anne|Mary Apulderfield
Q101523537	en	Jane|Elizabeth Elryngton
Q101523537	mul	Jane|Elizabeth Elryngton
Q101523537	nl	Jane|Elizabeth Elryngton
Q102147120	en	Margaret|Marion Fleming
Q102147120	mul	Margaret|Marion Fleming
Q102147120	nl	Margaret|Marion Fleming
Q102151346	en	Maud|Matilda Quatermain (Quatremain)
Q102151346	mul	Maud|Matilda Quatermain (Quatremain)
Q102151350	en	Thomas Quatremain (Quatermain|Quartermayne/Quartermain)
Q102151350	mul	Thomas Quatremain (Quatermain|Quartermayne/Quartermain)
Q102151382	en	Alice|Amice Pembrugge (Pembridge)
Q102151382	ru	Элис Пембридж
Q102151391	en	John Grendon, of Gayton|Grendon
Q102151391	mul	John Grendon, of Gayton|Grendon
Q102158483	en	Maud|Matilda Oldcastle
Q102158483	mul	Maud|Matilda Oldcastle
Q102158483	nl	Maud|Matilda Oldcastle
Q102352274	en	John|Roger Busard, of Ditchingham
Q102352274	mul	John|Roger Busard, of Ditchingham
Q102352274	nl	John|Roger Busard, of Ditchingham
Q102516306	en	Albrecht|Auberlin Volland
Q102516306	mul	Albrecht|Auberlin Volland
Q102516306	nl	Albrecht|Auberlin Volland
Q102516540	en	Utz|Ulrich Schwelcher von Tachenhausen, Edelknecht
Q102516540	mul	Utz|Ulrich Schwelcher von Tachenhausen, Edelknecht
Q102516540	nl	Utz|Ulrich Schwelcher von Tachenhausen, Edelknecht
Q102819638	en	Catherine|Louise Haye-Jousselin, dame de Fougeray
Q102819638	fr	Catherine de La Haye-Jouslain
Q102819638	mul	Catherine|Louise Haye-Jousselin, dame de Fougeray
Q102819638	nl	Catherine|Louise Haye-Jousselin, dame de Fougeray
Q102824060	en	Tegaine|Tiephaine de Greguen, Heiress de Foretic
Q102824060	mul	Tegaine|Tiephaine de Greguen, Heiress de Foretic
Q102824060	nl	Tegaine|Tiephaine de Greguen, Heiress de Foretic
Q102826839	en	Jeanne Péane (Peau|Payen)
Q102826839	fr	Jeanne Payen
Q102826839	nl	Jeanne Péane
Q102832024	en	Olive|Olbric de L'Isle-Jourdain
Q102832024	fr	Obrie de L'Isle-Jourdain
Q102832024	nl	Olive|Olbric de L'Isle-Jourdain
Q102832024	oc	Oliva de L'Isla de Baish
Q102836339	en	Grimoard|Guy Bouchard, Seigneur d'Aubeterre
Q102836339	mul	Grimoard|Guy Bouchard, Seigneur d'Aubeterre
Q102836339	nl	Grimoard|Guy Bouchard, Seigneur d'Aubeterre
Q102836376	en	Jeanne|Urbaine Chenin
Q102836376	mul	Jeanne|Urbaine Chenin
Q102836376	nl	Jeanne|Urbaine Chenin
Q102836588	en	Payen|Paen III de Maillé, Seigneur de Brézé
Q102836588	fr	Paen III de Maillé
Q102836588	nl	Payen|Paen III de Maillé, Seigneur de Brézé
Q102837376	en	Pleso|Jeanne de Launay
Q102837376	mul	Pleso|Jeanne de Launay
Q102837376	nl	Pleso|Jeanne de Launay
Q102837454	en	Perrinelle|Petronelle d'Amboise, Dame de Fontenay et Rochecorban
Q102837454	fr	Perrinelle d'Amboise
Q102837454	nl	Perrinelle|Petronelle d'Amboise, Dame de Fontenay et Rochecorban
Q102837820	en	Geoffroy|Geoffrey de Mareuil
Q102837820	mul	Geoffroy|Geoffrey de Mareuil
Q102837820	nl	Geoffroy|Geoffrey de Mareuil
Q102838056	en	Anne|Agnès de Bauffremont
Q102838056	mul	Anne|Agnès de Bauffremont
Q102838056	nl	Anne|Agnès de Bauffremont
Q102838072	en	Edmé|Aimé de Baudoncourt, seigneur de beire
Q102838072	mul	Edmé|Aimé de Baudoncourt, seigneur de beire
Q102838072	nl	Edmé|Aimé de Baudoncourt, seigneur de beire
Q102857028	en	Murza Vaqqas|Aqaz beg, Khan of Nogai horde
Q102857028	mul	Murza Vaqqas|Aqaz beg, Khan of Nogai horde
Q102857028	nl	Murza Vaqqas|Aqaz beg, Khan of Nogai horde
Q102859022	en	Dmitry Jurijevitch| (Georgijevitch), Prince of Cholm
Q102859022	nl	Dmitry Jurijevitch| (Georgijevitch), Prince of Cholm
Q102859022	ru	Дмитрий Юрьевич
Q103220335	en	Jane|Joan Empson
Q103220335	mul	Jane|Joan Empson
Q103220335	nl	Jane|Joan Empson
Q103220432	en	Sybil|Anne Fettiplace, of Stokenchurch
