qid,current_en,geni_id,sex,via_relation,via_qid,proposed_en
Q101248481,NN,,F,father,Q101248519,daughter of riddare Erengisle Jonsson
Q101247268,NN,,F,spouse,Q571982,"wife of Sobieslaw I, Duke of Pomerania"
Q101247944,NN,,F,mother,Q101248199,daughter of NN Alvsdottir
Q127270503,NN,,F,child,Q5797559,mother of Selim Heijkenskjöld
Q98697736,NN,,F,child,Q5900614,mother of Karl Karlsson
Q110378953,NN,,F,child,Q592380,"mother of Archibald Douglas, 3rd Earl of Douglas"
Q96240860,NN,,F,child,Q5971771,mother of Magnus Bengtsson
Q116029986,NN,,F,spouse,Q61140367,wife of Otto of Bickenbach
Q103807190,NN,,F,child,Q61197668,mother of Irina Khilkova
Q127270833,NN,,F,father,Q127270835,daughter of Petter
Q98697745,NN,,F,spouse,Q6175684,wife of Sigtrygg Bengtsson
Q102857494,NN,,F,child,Q61866798,mother of Kseniya Vsevolozhskaya
Q96240834,NN,,F,child,Q62007901,mother of Cecilia Knutsdotter (Bjälboätten)
Q131725908,NN,,F,child,Q6216888,mother of Ture Kettilsson
Q96963446,NN,,F,child,Q6227517,mother of John Cranston
Q130338014,NN,,F,child,Q6255496,mother of John Rolle
Q110456402,NN,,F,child,Q6455955,mother of Marie Fox
Q110578169,NN,,F,child,Q64617504,mother of Engenulf de Laigle
Q131731340,NN,,F,father,Q646772,daughter of Dan I of Wallachia
Q136275662,NN,,F,child,Q64943881,"mother of Emil ""Mille"" Andersson"
Q116032563,NN,,F,child,Q65248,mother of Andreas Peter Bernstorff
Q96076602,Unknown,,F,spouse,Q7177456,wife of Peter Van Brugh Livingston
Q110611860,NN,,F,child,Q735704,mother of Hnabi
Q116007139,NN,,F,child,Q7365775,mother of Gersende of Maine
Q110324614,NN,,F,child,Q73727,mother of Günter Strack
Q110378881,NN,,F,child,Q75240841,mother of Sir Walter Ogilvy of Auchterhouse
Q130335261,NN,,F,father,Q21165398,daughter of Berkeley Lucy
Q131741134,NN,,F,child,Q75280060,mother of Benedicta Maria Theresa Hall
Q123207263,NN,,F,child,Q75312007,mother of Emily Jane Kilpatrick
Q110613784,NN,,F,child,Q75327968,mother of Catherine Lokier
Q108912225,NN,,F,child,Q75342130,mother of Marianne Smythe
Q109852943,NN,,F,child,Q75351169,mother of Elizabeth Clinton
Q116040043,NN,,F,child,Q75382397,mother of Sir William de Montifex
Q106704833,NN,,F,child,Q75387912,mother of Ada (?)
Q110614746,NN,,F,child,Q75388718,mother of Thomas Gwynne
Q101247288,NN,,F,child,Q75393457,mother of Harold Finson
Q102349760,NN,,F,child,Q75445864,mother of Alice Welbye
Q116150416,NN,,F,child,Q75448094,mother of Clara Lipcsey de Bilke
Q129257300,NN,,F,child,Q75508757,mother of Sarah Matthews
Q111464804,NN,,F,child,Q75509875,mother of Dorothy Hovel
