record,line_number,tag,as_stored,reconstructed,evidence
@I6000000001504252287@,1573844,OCCU,"1501 Lensmand pσ Haraldsborg, 1505 Lensmand Lykaa, 1514 Lensmand Lindholm, 1526 Lensmand Vittsk÷vle, Forseglede Kong Frederik I Haandfµstning 1523, Lä","1501 Lensmand på Haraldsborg, 1505 Lensmand Lykaa, 1514 Lensmand Lindholm, 1526 Lensmand Vittskövle, Forseglede Kong Frederik I Haandfæstning 1523, Lä",unambiguous
@I6000000001504252532@,1574193,PLAC,Fµndrik,Fændrik,unambiguous
@I6000000001504252553@,1574226,PLAC,Vall°se Kirke,Valløse Kirke,degree-not-ordinal
@I6000000001504256732@,1575264,PLAC,"Lund, Malm°hus Len, Sverige","Lund, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504256732@,1575268,PLAC,"Eriksholm, Torlosa Onsj÷, Malm°hus Len, Sverige","Eriksholm, Torlosa Onsjö, Malmøhus Len, Sverige",unambiguous
@I6000000001504256822@,1575411,PLAC,"Lyngsgσrd, Luggude H., Malm°hus Len, Sverige","Lyngsgård, Luggude H., Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504256831@,1575446,PLAC,╪veds Kloster,Øveds Kloster,unambiguous
@I6000000001504259255@,1575723,PLAC,Gik Ned Med Skibet Dansborg Ved Fµr°erne,Gik Ned Med Skibet Dansborg Ved Færøerne,unambiguous
@I6000000001504281927@,1576245,PLAC,Tryggevµlde,Tryggevælde,unambiguous
@I6000000001504281927@,1576249,PLAC,Herf°lge Kirke,Herfølge Kirke,degree-not-ordinal
@I6000000001504282216@,1576475,PLAC,Bµlum,Bælum,unambiguous
@I6000000001504298075@,1578331,OCCU,"Godsejer til Nandrup, J°lby i N°rre Herred Mors, samt Lykkesholm pσ Langeland, erhvervet af hans kone","Godsejer til Nandrup, Jølby i Nørre Herred Mors, samt Lykkesholm på Langeland, erhvervet af hans kone",degree-not-ordinal
@I6000000001504298075@,1578336,OCCU,"Godsejer til Nandrup, J°lby i N°rre Herred Mors, samt Lykkesholm pσ Langeland, erhvervet af hans kone","Godsejer til Nandrup, Jølby i Nørre Herred Mors, samt Lykkesholm på Langeland, erhvervet af hans kone",degree-not-ordinal
@I6000000001504383050@,1579966,OCCU,Fµstem°,Fæstemø,unambiguous
@I6000000001504387479@,1580559,PLAC,Bekmⁿnde,Bekmünde,unambiguous
@I6000000001504519686@,1582950,PLAC,╪strup,Østrup,unambiguous
@I6000000001504519686@,1582954,PLAC,╪strup,Østrup,unambiguous
@I6000000001504528567@,1584520,PLAC,"Sor°, Danmark","Sorø, Danmark",degree-not-ordinal
@I6000000001504528567@,1584524,PLAC,"Sor°, Danmark","Sorø, Danmark",degree-not-ordinal
@I6000000001504528567@,1584528,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504528619@,1584693,PLAC,Oberstl°jtnant,Oberstløjtnant,degree-not-ordinal
@I6000000001504528707@,1584766,PLAC,R°rbµk,Rørbæk,unambiguous
@I6000000001504528731@,1584803,PLAC,R°rbµk,Rørbæk,unambiguous
@I6000000001504532457@,1585423,PLAC,Kµrgσrdsholm,Kærgårdsholm,unambiguous
@I6000000001504532878@,1585579,PLAC,R°gle I Skσne,Røgle I Skåne,degree-not-ordinal
@I6000000001504532888@,1585601,PLAC,Hjembµk Kirke,Hjembæk Kirke,unambiguous
@I6000000001504537337@,1586258,PLAC,╪stbirk Kirke,Østbirk Kirke,unambiguous
@I6000000001504539896@,1586648,PLAC,Str°veltorp Kirke,Strøveltorp Kirke,degree-not-ordinal
@I6000000001504585257@,1587832,PLAC,"Krageholm, Sovestad, Malm°hus Len, Sverige","Krageholm, Sovestad, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504585257@,1587840,PLAC,"Volstrup, Hj°rring, Danmark","Volstrup, Hjørring, Danmark",degree-not-ordinal
@I6000000001504592098@,1588088,PLAC,"Holmgaard, Moberg, Ringk°bing, Danmark","Holmgaard, Moberg, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504592157@,1588182,OCCU,"Sekondl°jtnant (Fodfolket), Hµren, Grosserer","Sekondløjtnant (Fodfolket), Hæren, Grosserer",unambiguous
@I6000000001504620434@,1590137,PLAC,Schardesbⁿll,Schardesbüll,unambiguous
@I6000000001504631077@,1590791,PLAC,"Noer, Eckernf÷rde, Slesvig-Holsten, Tyskland","Noer, Eckernförde, Slesvig-Holsten, Tyskland",unambiguous
@I6000000001504640225@,1590872,PLAC,"S°gσrd, Kliplev, Aabenraa-S°nderborg, Danmark","Søgård, Kliplev, Aabenraa-Sønderborg, Danmark",degree-not-ordinal
@I6000000001504640345@,1590890,PLAC,"Lehmkulen, Pl÷n, Slesvig-Holsten, Tyskland","Lehmkulen, Plön, Slesvig-Holsten, Tyskland",unambiguous
@I6000000001504640948@,1591190,PLAC,?Eskjµr,?Eskjær,unambiguous
@I6000000001504643062@,1591246,PLAC,"St°vringgσrd, Danmark","Støvringgård, Danmark",degree-not-ordinal
@I6000000001504646658@,1591620,PLAC,Sµbygσrd,Sæbygård,unambiguous
@I6000000001504646667@,1591643,PLAC,"Sor°, Danmark","Sorø, Danmark",degree-not-ordinal
@I6000000001504646723@,1591705,PLAC,til S°ndergσrd og Lundegaard,til Søndergård og Lundegaard,degree-not-ordinal
@I6000000001504646731@,1591722,PLAC,til ╪rndrup,til Ørndrup,unambiguous
@I6000000001504646807@,1591826,PLAC,J°lby,Jølby,degree-not-ordinal
@I6000000001504652886@,1592224,PLAC,Oberstl°jtnant,Oberstløjtnant,degree-not-ordinal
@I6000000001504654791@,1592416,PLAC,J°lbygσrd,Jølbygård,degree-not-ordinal
@I6000000001504654823@,1592449,PLAC,╪rslev kloster ? (mσske),Ørslev kloster ? (måske),unambiguous
@I6000000001504654916@,1592559,PLAC,Haraldkjµr,Haraldkjær,unambiguous
@I6000000001504654972@,1592657,PLAC,Haraldkjµr,Haraldkjær,unambiguous
@I6000000001504659013@,1592680,PLAC,Haraldkjµr,Haraldkjær,unambiguous
@I6000000001504659285@,1593000,PLAC,M°llerup og Hessel,Møllerup og Hessel,degree-not-ordinal
@I6000000001504659285@,1593007,PLAC,M°llerup,Møllerup,degree-not-ordinal
@I6000000001504659306@,1593052,PLAC,"Gronwohld, Eckernf÷rde,Slesvig-Holsten,Tyskland","Gronwohld, Eckernförde,Slesvig-Holsten,Tyskland",unambiguous
@I6000000001504659749@,1593116,PLAC,Primierl°jtnant,Primierløjtnant,degree-not-ordinal
@I6000000001504659979@,1593319,PLAC,"Baekmark, Flynder, Ringk°bing, Danmark","Baekmark, Flynder, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504663011@,1593345,PLAC,Bµkmark,Bækmark,unambiguous
@I6000000001504663213@,1593360,PLAC,til Faddersb°l,til Faddersbøl,degree-not-ordinal
@I6000000001504663437@,1593528,PLAC,╪rb°kgσrd,Ørbøkgård,unambiguous
@I6000000001504663457@,1593544,PLAC,Oberstl°jtnant,Oberstløjtnant,degree-not-ordinal
@I6000000001504663625@,1593784,PLAC,Dybµk,Dybæk,unambiguous
@I6000000001504663910@,1593935,PLAC,Vals°,Valsø,degree-not-ordinal
@I6000000001504669961@,1594315,PLAC,Oberstl°jtnant,Oberstløjtnant,degree-not-ordinal
@I6000000001504669972@,1594335,PLAC,"St°vringgσrd, Danmark","Støvringgård, Danmark",degree-not-ordinal
@I6000000001504669972@,1594342,PLAC,"St°vringgσrd, Danmark","Støvringgård, Danmark",degree-not-ordinal
@I6000000001504670074@,1594382,PLAC,"St°vringgσrd, Danmark","Støvringgård, Danmark",degree-not-ordinal
@I6000000001504670109@,1594423,PLAC,"St°vringgσrd, Danmark","Støvringgård, Danmark",degree-not-ordinal
@I6000000001504670468@,1594676,PLAC,S°l°jtnant,Søløjtnant,degree-not-ordinal
@I6000000001504670481@,1594705,PLAC,Lerbµk,Lerbæk,unambiguous
@I6000000001504670737@,1594895,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504670747@,1594926,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504670785@,1594997,PLAC,Bjergs° kirke,Bjergsø kirke,degree-not-ordinal
@I6000000001504673238@,1595512,PLAC,Oberstl°jtnant,Oberstløjtnant,degree-not-ordinal
@I6000000001504673375@,1595683,PLAC,Rµvkjµrsgσrd,Rævkjærsgård,unambiguous
@I6000000001504673513@,1595959,PLAC,Premierl°jtnant,Premierløjtnant,degree-not-ordinal
@I6000000001504673825@,1596234,PLAC,Fusing°,Fusingø,degree-not-ordinal
@I6000000001504673825@,1596238,PLAC,Fusing°  (af feber),Fusingø  (af feber),degree-not-ordinal
@I6000000001504673853@,1596299,PLAC,Fusing°,Fusingø,degree-not-ordinal
@I6000000001504673853@,1596303,PLAC,Fusing°  (af feber),Fusingø  (af feber),degree-not-ordinal
@I6000000001504673863@,1596323,PLAC,Fusing°,Fusingø,degree-not-ordinal
@I6000000001504673883@,1596379,PLAC,Fusing°,Fusingø,degree-not-ordinal
@I6000000001504673883@,1596383,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504673901@,1596403,PLAC,Tryggevµlde,Tryggevælde,unambiguous
@I6000000001504673958@,1596503,PLAC,"Tirsbµk, Jylland","Tirsbæk, Jylland",unambiguous
@I6000000001504673989@,1596583,PLAC,"Haraldskµr Gods, Vejle","Haraldskær Gods, Vejle",unambiguous
@I6000000001504674013@,1596664,PLAC,╪rum,Ørum,unambiguous
@I6000000001504674013@,1596668,PLAC,"Vesl°sgσrd, Han herred","Vesløsgård, Han herred",degree-not-ordinal
@I6000000001504674141@,1596719,PLAC,Bj°rnsholm,Bjørnsholm,degree-not-ordinal
@I6000000001504674141@,1596723,PLAC,Bj°rnsholm,Bjørnsholm,degree-not-ordinal
@I6000000001504674881@,1597426,PLAC,S°gσrd,Søgård,degree-not-ordinal
@I6000000001504679499@,1597755,PLAC,Nµs,Næs,unambiguous
@I6000000001504679509@,1597788,PLAC,Nµs,Næs,unambiguous
@I6000000001504679509@,1597795,PLAC,Nµs,Næs,unambiguous
@I6000000001504679599@,1597844,PLAC,"Sortebr°dre Kirkegσrd, Viborg","Sortebrødre Kirkegård, Viborg",degree-not-ordinal
@I6000000001504679649@,1597879,PLAC,"Helligσndsklosteret, Malm°","Helligåndsklosteret, Malmø",degree-not-ordinal
@I6000000001504683006@,1598011,PLAC,Ivernµs,Ivernæs,unambiguous
@I6000000001504683461@,1598478,PLAC,Bj°rnsholm,Bjørnsholm,degree-not-ordinal
@I6000000001504683524@,1598500,PLAC,"Lejb°lle, Bostrup, Svendborg, Danmark","Lejbølle, Bostrup, Svendborg, Danmark",degree-not-ordinal
@I6000000001504683547@,1598559,PLAC,Raabel°f,Raabeløf,degree-not-ordinal
@I6000000001504702242@,1599034,PLAC,Sor° Kirke,Sorø Kirke,degree-not-ordinal
@I6000000001504702494@,1599356,PLAC,"Bohus, KungΣlv, G÷teborg, Sverige","Bohus, KungΣlv, Göteborg, Sverige",unambiguous
@I6000000001504702578@,1599377,PLAC,"Allindemagle, Sor°, Danmark","Allindemagle, Sorø, Danmark",degree-not-ordinal
@I6000000001504723877@,1599776,PLAC,Malm°hus,Malmøhus,degree-not-ordinal
@I6000000001504727466@,1599803,OCCU,Medlem af Flensborg K°bmandsgilde,Medlem af Flensborg Købmandsgilde,degree-not-ordinal
@I6000000001504729765@,1599930,PLAC,Tryggevµlde,Tryggevælde,unambiguous
@I6000000001504732071@,1600265,PLAC,"Lystrup, Praest°, Danmark","Lystrup, Praestø, Danmark",degree-not-ordinal
@I6000000001504732098@,1600302,PLAC,"Lystrup, Praest°, Danmark","Lystrup, Praestø, Danmark",degree-not-ordinal
@I6000000001504732107@,1600338,PLAC,"Lystrup, Praest°, Danmark","Lystrup, Praestø, Danmark",degree-not-ordinal
@I6000000001504732125@,1600365,PLAC,"Lystrup, Praest°, Danmark","Lystrup, Praestø, Danmark",degree-not-ordinal
@I6000000001504732143@,1600393,PLAC,"Lystrup, Praest°, Danmark","Lystrup, Praestø, Danmark",degree-not-ordinal
@I6000000001504732258@,1600498,PLAC,"Krogholm, Sofvesta, Malm°hus Len, Sverige","Krogholm, Sofvesta, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504732270@,1600528,PLAC,M°rke kirke,Mørke kirke,degree-not-ordinal
@I6000000001504732282@,1600566,PLAC,"Krogholm, Sofvesta, Malm°hus Len, Sverige","Krogholm, Sofvesta, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504732352@,1600657,PLAC,"Krogholm, Sofvesta, Malm°hus Len, Sverige","Krogholm, Sofvesta, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504732364@,1600680,PLAC,"Krogholm, Sofvesta, Malm°hus Len, Sverige","Krogholm, Sofvesta, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504732386@,1600702,PLAC,"Krogholm, Sofvesta, Malm°hus Len, Sverige","Krogholm, Sofvesta, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504732386@,1600706,OCCU,Lensmand H°gsted og 1571 med Espholt Len,Lensmand Høgsted og 1571 med Espholt Len,degree-not-ordinal
@I6000000001504732890@,1600766,PLAC,"Hagenskov, S°nderby, Odense, Danmark","Hagenskov, Sønderby, Odense, Danmark",degree-not-ordinal
@I6000000001504741341@,1601314,PLAC,"Holmgσrd, Skodborg, Ringk°bing, Danmark","Holmgård, Skodborg, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504741364@,1601346,PLAC,"Gudum Kloster, Gudum, Ringk°bing, Danmark","Gudum Kloster, Gudum, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504741376@,1601380,PLAC,"Holmgσrd, Skodborg, Ringk°bing, Danmark","Holmgård, Skodborg, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504741376@,1601384,PLAC,"Gudum Kloster, Gudum, Ringk°bing, Danmark","Gudum Kloster, Gudum, Ringkøbing, Danmark",degree-not-ordinal
@I6000000001504743257@,1601823,PLAC,"Mygdal, Hj°rring, Danmark","Mygdal, Hjørring, Danmark",degree-not-ordinal
@I6000000001504743326@,1601844,PLAC,"S°rup, Ljunits Herred, Skσne","Sørup, Ljunits Herred, Skåne",degree-not-ordinal
@I6000000001504743552@,1601934,PLAC,"Tosterup, Malm°hus Len, Sverige","Tosterup, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504743835@,1602050,PLAC,"Lund, Malm°hus Len, Sverige","Lund, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504748019@,1602686,OCCU,"Godsejer, 1730 Ceremonimester hos Kongen, 1731 assessor i Hofretten, 1739 Assessor i H°jesteret, geheimeraad, Gehejmekonferensråd","Godsejer, 1730 Ceremonimester hos Kongen, 1731 assessor i Hofretten, 1739 Assessor i Højesteret, geheimeraad, Gehejmekonferensråd",degree-not-ordinal
@I6000000001504768173@,1603205,PLAC,"Eriksholm, Torlosa Onsj÷, Malm°hus Len, Sverige","Eriksholm, Torlosa Onsjö, Malmøhus Len, Sverige",unambiguous
@I6000000001504768217@,1603225,PLAC,"TrollenΣs, Onsj÷, Malm°hus Len, Sverige","TrollenΣs, Onsjö, Malmøhus Len, Sverige",unambiguous
@I6000000001504768261@,1603244,PLAC,"TrollenΣs, Onsj÷, Malm°hus Len, Sverige","TrollenΣs, Onsjö, Malmøhus Len, Sverige",unambiguous
@I6000000001504768348@,1603427,PLAC,"Lund, Malm°hus Len, Sverige","Lund, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000001504768370@,1603457,PLAC,"Eriksholm, Torlosa Onsj÷, Malm°hus Len, Sverige","Eriksholm, Torlosa Onsjö, Malmøhus Len, Sverige",unambiguous
@I6000000001504768554@,1603485,PLAC,"Bisat I K°benhavn, begravet I Mogenstrup","Bisat I København, begravet I Mogenstrup",degree-not-ordinal
@I6000000001504773440@,1603841,OCCU,Kejserlig L°jtnant,Kejserlig Løjtnant,degree-not-ordinal
@I6000000001504773440@,1603855,OCCU,"Kejserlig L°jtnant, til Kane (Kanne, senere Rantzausgave, i Hvilsted sogn","Kejserlig Løjtnant, til Kane (Kanne, senere Rantzausgave, i Hvilsted sogn",degree-not-ordinal
@I6000000001504773459@,1604004,OCCU,"Major i Århus, Hµren. 1742 kaptajn i Rendsburg,  1751  ved Det Bornholmske Regiment i Rendsborg, nu i Århus","Major i Århus, Hæren. 1742 kaptajn i Rendsburg,  1751  ved Det Bornholmske Regiment i Rendsborg, nu i Århus",unambiguous
@I6000000001504786956@,1605441,OCCU,"1642 Hofjunker, 1651 Lensmand pσ Vard°hus, 1666 Stiftsbefalingsmand o. Aarhus Stift, 1671 Amtmand Dueholm mfl Amter","1642 Hofjunker, 1651 Lensmand på Vardøhus, 1666 Stiftsbefalingsmand o. Aarhus Stift, 1671 Amtmand Dueholm mfl Amter",degree-not-ordinal
@I6000000001504807777@,1605862,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504807777@,1605866,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504810003@,1606246,PLAC,Nµsby K.,Næsby K.,unambiguous
@I6000000001504810024@,1606300,PLAC,Nµstved,Næstved,unambiguous
@I6000000001504810035@,1606322,PLAC,Nµsbyholm,Næsbyholm,unambiguous
@I6000000001504810035@,1606326,PLAC,Nµsbyholm,Næsbyholm,unambiguous
@I6000000001504810035@,1606330,PLAC,Nµstved,Næstved,unambiguous
@I6000000001504810066@,1606401,PLAC,Pⁿrglitz,Pürglitz,unambiguous
@I6000000001504810304@,1606728,PLAC,Sµbygσrd,Sæbygård,unambiguous
@I6000000001504810357@,1606862,PLAC,"Skjµrs°, Draaby, Randers, Danmark","Skjærsø, Draaby, Randers, Danmark",unambiguous
@I6000000001504810407@,1606940,PLAC,"Skjµrs°, Draaby, Randers, Danmark","Skjærsø, Draaby, Randers, Danmark",unambiguous
@I6000000001504810416@,1606961,PLAC,"Skjµrs°, Draaby, Randers, Danmark","Skjærsø, Draaby, Randers, Danmark",unambiguous
@I6000000001504810593@,1607270,PLAC,K°ge,Køge,degree-not-ordinal
@I6000000001504810603@,1607293,PLAC,Nµsbyholm,Næsbyholm,unambiguous
@I6000000001504810603@,1607297,PLAC,Nµsbyholm,Næsbyholm,unambiguous
@I6000000001504810712@,1607448,OCCU,"H°jesteretsaccessor, Justitsraad, Danskt justitieråd","Højesteretsaccessor, Justitsraad, Danskt justitieråd",degree-not-ordinal
@I6000000001504824076@,1608282,PLAC,"Skaf°gσrd, Hvilsager, Randers, Danmark","Skaføgård, Hvilsager, Randers, Danmark",degree-not-ordinal
@I6000000001504824094@,1608303,PLAC,"Skaf°gσrd, Hvilsager, Randers, Danmark","Skaføgård, Hvilsager, Randers, Danmark",degree-not-ordinal
@I6000000001504824111@,1608346,PLAC,"Skaf°gσrd, Hvilsager, Randers, Danmark","Skaføgård, Hvilsager, Randers, Danmark",degree-not-ordinal
@I6000000001504824120@,1608365,PLAC,"Skaf°gσrd, Hvilsager, Randers, Danmark","Skaføgård, Hvilsager, Randers, Danmark",degree-not-ordinal
@I6000000001504824267@,1608714,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504824357@,1608856,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504824499@,1608985,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504824515@,1609000,PLAC,"Sor°, Danmark","Sorø, Danmark",degree-not-ordinal
@I6000000001504824538@,1609053,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504824549@,1609073,PLAC,"St. Mariµ kirke, Helsing°r","St. Mariæ kirke, Helsingør",unambiguous
@I6000000001504824549@,1609077,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504824893@,1609465,OCCU,1533 Kannik i ┼rhus,1533 Kannik i Århus,unambiguous
@I6000000001504824902@,1609493,PLAC,Viborg Domkirke senere vist f°rt til Staby Kirke,Viborg Domkirke senere vist ført til Staby Kirke,degree-not-ordinal
@I6000000001504824915@,1609527,OCCU,"1492 og 1501 Hofsinde, 1511 og 1523 ╪stre og N°rre Herred i pant op pσ tjeneste","1492 og 1501 Hofsinde, 1511 og 1523 Østre og Nørre Herred i pant op på tjeneste",unambiguous
@I6000000001504827168@,1610075,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I6000000001504827168@,1610081,OCCU,"1474 Kannik i Lund og Roskilde, 1476 Rigsrσd, 1481 ╞rkedegn i K°benhavn, 1479-1501 Rektor K°benhavns universitet","1474 Kannik i Lund og Roskilde, 1476 Rigsråd, 1481 Ærkedegn i København, 1479-1501 Rektor Københavns universitet",unambiguous
@I6000000001504827198@,1610108,OCCU,1543-52 var Johan Rantzaus foged pσ ┼lholm,1543-52 var Johan Rantzaus foged på Ålholm,unambiguous
@I6000000001504827211@,1610134,OCCU,"1541-44 H°vedsmand pσ Hald og Stiftslensmand i Viborg Stift, 1563 proviantmester i Viborg Stift","1541-44 Høvedsmand på Hald og Stiftslensmand i Viborg Stift, 1563 proviantmester i Viborg Stift",degree-not-ordinal
@I6000000001504827243@,1610203,OCCU,"Hofsinde, 1541-61 forlenet med Vern° kloster.","Hofsinde, 1541-61 forlenet med Vernø kloster.",degree-not-ordinal
@I6000000001504827441@,1610588,PLAC,H°nborg,Hønborg,degree-not-ordinal
@I6000000001504827575@,1610746,PLAC,Tjµreby Kirke,Tjæreby Kirke,unambiguous
@I6000000001504827690@,1610909,OCCU,"1532 sunes at vµre provst i ┼rhus, 1532-61 forlenet med Middelsom og S°nderlyng Herred","1532 sunes at være provst i Århus, 1532-61 forlenet med Middelsom og Sønderlyng Herred",unambiguous
@I6000000001504827845@,1611030,PLAC,Vall°by Kirke,Valløby Kirke,degree-not-ordinal
@I6000000001504827845@,1611034,PLAC,Vall°,Vallø,degree-not-ordinal
