geni_id	qids	in_our_tree
297224549520002781	Q761870	yes
297283339470004936	Q29110340	yes
297422331840006356	Q1534433	yes
297579793070005409	Q12320132	yes
2976390	Q5440970	yes
2976952	Q40155712	yes
2977271	Q3082880	yes
297760434470002504	Q318344	yes
297777961690001711	Q4889757	yes
297814844800004130	Q5605676	yes
297815449410004082	Q467182	yes
297815802060003639	Q636631	yes
297816238260001749	Q111312495	yes
297851151970001719	Q66820587	yes
297895890750007892	Q4764058	yes
2979047	Q52083847	yes
2979061	Q104319270	yes
2979079	Q1362528	yes
298526371360001200	Q136548358	yes
298559252280006360	Q100701362	yes
298646310090008007	Q6793078	yes
298696465460005531	Q131699376	yes
298756360430005503	Q968608	yes
298758560500008057	Q4993211	yes
298853848070005545	Q131699328	yes
298888103100006395	Q94772865	yes
2992858	Q95204803	yes
299289493380006368	Q3048557	yes
299462582060002732	Q1297258	yes
299490180040005471	Q21524509	yes
299519789870003665	Q12201264	yes
299520607750002743	Q114599	yes
299553127120007956	Q3065407	yes
299695862400008970	Q64590450	yes
300242553270003652	Q22338497	yes
300333524050001907	Q5835825	yes
300446174940008133	Q10295013	yes
300494257960005339	Q6828787	yes
300570824780004636	Q452794	yes
300751774700007760	Q4808528	yes
301039007960002040	Q114064103	yes
301046968790007815	Q56247870	yes
301086905430001393	Q1701417	yes
301143012200005660	Q118342614	yes
3011744	Q233845	yes
301368975080001614	Q1647467	yes
301382606370006425	Q10347460	yes
301487939820002232	Q6232646	yes
301519352110007097	Q37843553	yes
3018266	Q1065848	yes
3018800	Q5481777	yes
302020307320008233	Q5831215	yes
302028329900005574	Q61038837	yes
3020843	Q53778244	yes
302110204030003710	Q6261835	yes
3022280	Q44426030	yes
302279713860005612	Q39055765	yes
302322780820001302	Q100694137	yes
3023811	Q1237651	yes
3024437	Q112568769	yes
302475248470004904	Q7796061	yes
3025177	Q116033544	yes
302520983470007129	Q282498	yes
3025345	Q105507058	yes
3027092	Q329376	yes
302778032260003715	Q104220082	yes
302807410110008102	Q106870234	yes
302889818300004057	Q5346359	yes
3029222	Q4990172	yes
303119388390006422	Q68675724	yes
303255159940005662	Q5675254	yes
3032729	Q3857460	yes
303398647970001095	Q105463863	yes
303633469420003804	Q105513059	yes
304091611390001823	Q380471	yes
304179672820003823	Q2896541	yes
304238071780007131	Q3745136	yes
3042923	Q16494056	yes
3043761	Q108814758	yes
304387245710003829	Q111359128	yes
3044694	Q9178492	yes
304494826430003800	Q32185358	yes
304518393280001767	Q2562827	yes
3045881	Q16566795	yes
3046133	Q16565710	yes
3046533	Q12791530	yes
3046906	Q11835322	yes
3048441	Q77028678	yes
304873438540001422	Q10309402	yes
3053408	Q11719831	yes
3053553	Q9285395	yes
305408018890001470	Q5570095	yes
3054457	Q5543850	yes
305550016360003842	Q6261628	yes
305646422380006448	Q116969492	yes
305806022100003878	Q131436422	yes
305817619130003824	Q113866982	yes
306003470380003813	Q1645447	yes
306127081980007106	Q96694508	yes
306493401460007149	Q7031479	yes
306493499090003881	Q97610701	yes
306513079700007145	Q36644155	yes
306569507470006422	Q10336065	yes
306622930340004640	Q16206318	yes
306755730170004583	Q11259626	yes
3067824	Q5544737	yes
306859719830005699	Q31792827	yes
3069548	Q213709	yes
307133957120005714	Q4579561	yes
307353290130001855	Q528742	yes
307381315550007128	Q3038061	yes
307422006000008280	Q1432745	yes
307444945850007143	Q3051872	yes
307951922790006426	Q138598773	yes
307995589670004368	Q50820420	yes
308197269790007059	Q5610897	yes
308242381910007066	Q19754887	yes
308267569730002139	Q92390874	yes
308337552020008286	Q115272472	yes
308338006670001449	Q115272072	yes
308338332860004357	Q115272382	yes
308349263600003864	Q110786965	yes
308349351860007069	Q103546	yes
308354777220002096	Q55908476	yes
308381975160001507	Q591205	yes
308391705060005685	Q6776183	yes
3087305	Q11346146	yes
308794536100003886	Q16083947	yes
308926309000005688	Q5610869	yes
308983064540007067	Q104409916	yes
308983446160001392	Q106406471	yes
3092370	Q326221	yes
309522162660007054	Q2899235	yes
309621651570003899	Q26727233	yes
309934505620002362	Q3130307	yes
