qid,geni_id,source
Q5542574,6000000007293370456,bureatten
Q5542622,6000000006127732217,bureatten
Q5542628,6000000009401515923,bureatten
Q5542632,6000000009726668887,bureatten
Q5547967,6000000038458872253,bureatten
Q5548897,6000000001502447400,bureatten
Q5561270,6000000006979041910,bureatten
Q5562579,6000000007025966290,bureatten
Q5562598,6000000007318765242,bureatten
Q5568857,6000000006776755330,bureatten
Q5570926,6000000007247592424,bureatten
Q5570928,6000000006782861172,bureatten
Q5570931,6000000011593945394,bureatten
Q5574572,6000000018254235320,bureatten
Q5575580,6000000001801796027,bureatten
Q5575607,6000000001801755169,bureatten
Q5580703,6000000006127985923,bureatten
Q5580881,6000000011536457635,bureatten
Q5580888,6000000006127120913,bureatten
Q5580892,6000000020865415341,bureatten
Q5584506,6000000009718220062,bureatten
Q5585470,6000000009190508789,bureatten
Q5587236,6000000006127817165,bureatten
Q5589950,6000000010230616079,bureatten
Q5590143,6000000004032591603,bureatten
Q5590194,6000000007277919295,bureatten
Q5590212,6000000024594396398,bureatten
Q5590407,6000000026433911361,bureatten
Q5605565,6000000019149843256,bureatten
Q5605651,6000000020086878142,bureatten
Q5605668,6000000007675721719,bureatten
Q5613434,6000000007026278130,bureatten
Q5618759,6000000003694920477,bureatten
Q5618766,6000000008820838686,bureatten
Q5618770,6000000006127523477,bureatten
Q5618800,6000000012159725691,bureatten
Q5618813,6000000006127907767,bureatten
Q5622753,6000000172119806833,bureatten
Q5626148,6000000007680468910,bureatten
Q5628179,6000000019271045023,bureatten
Q5698210,6000000054235169012,bureatten
Q5702986,6000000070658376932,bureatten
Q5706932,6000000008780306729,bureatten
Q5724521,6000000008979441405,bureatten
Q5725105,6000000019344206446,bureatten
Q5735890,6000000005087238866,bureatten
Q5745627,6000000020128505901,bureatten
Q5754581,6000000008331521234,bureatten
Q5757435,6000000007548228373,bureatten
Q5772271,6000000011724781475,bureatten
Q5773252,6000000107274459226,bureatten
Q5773287,5105724209600128719,bureatten
Q5779125,6000000007464308710,bureatten
Q5783613,6000000003770432103,bureatten
Q5790728,6000000008831013351,bureatten
Q5792035,6000000019659798123,bureatten
Q5797554,6000000011370804802,bureatten
Q5802518,6000000006127557446,bureatten
Q5802535,6000000006128046380,bureatten
Q5807131,6000000011532511759,bureatten
Q5807136,6000000006127951020,bureatten
Q5813616,6000000007285499105,bureatten
Q5813639,6000000006127657041,bureatten
Q5818420,6000000019777574162,bureatten
Q5819456,6000000078585591829,bureatten
Q5822415,6000000024166897841,bureatten
Q5823030,6000000008260592602,bureatten
Q5898100,6000000006127453696,bureatten
Q5913812,6000000008779183401,bureatten
Q5914160,6000000006127120320,bureatten
Q5914181,6000000006127120304,bureatten
Q5916153,6000000019898891222,bureatten
Q5916189,6000000021501491188,bureatten
Q5930909,6000000012597002570,bureatten
Q5930987,6000000007160673211,bureatten
Q5931081,6000000008890247904,bureatten
Q5931099,6000000008887558053,bureatten
Q593496,6000000020982846787,bureatten
Q593706,6000000000446956140,bureatten
Q5951779,6000000013400899375,bureatten
Q5951795,6000000013400741602,bureatten
Q5955392,6000000021334420003,bureatten
Q5959480,6000000013173980231,bureatten
Q5959493,6000000007885223091,bureatten
Q5960165,6000000007511893155,bureatten
Q5975022,6000000000047190401,bureatten
Q5976894,6000000044191693814,bureatten
Q5977879,6000000020984646082,bureatten
Q5978038,1386522,bureatten
Q5983613,6000000018625012640,bureatten
Q6001555,6000000006127542348,bureatten
Q6001589,6000000011399399424,bureatten
Q6001608,6000000006127550611,bureatten
Q6014779,6000000001609127338,bureatten
Q6015181,6000000012736122012,bureatten
Q6034157,6000000008988776807,bureatten
Q6045829,4983826543490109811,bureatten
Q6057321,6000000001208426544,bureatten
Q6060350,6000000023896755915,bureatten
Q6060365,6000000017425518359,bureatten
Q6066129,6000000026434836045,bureatten
Q6070068,6000000004310057362,bureatten
Q6079124,6000000015119243250,bureatten
Q6079275,6000000013143783109,bureatten
Q6079637,6000000006127907129,bureatten
Q6079648,6000000006127526943,bureatten
Q6080164,6000000009855557161,bureatten
Q6082455,6000000003580303855,bureatten
Q6082697,6000000007985537209,bureatten
Q6092385,6000000026306044337,bureatten
Q6092396,6000000036292089942,bureatten
Q6092404,6000000011634551625,bureatten
Q6145888,6000000002309876747,bureatten
Q6158199,6000000006783102821,bureatten
Q6161733,6000000001883008064,bureatten
Q6166560,6000000009889929969,bureatten
Q6170263,6000000007400284855,bureatten
Q6175446,6000000012044161205,bureatten
Q6175928,6000000006127570851,bureatten
Q6175942,6000000007510100335,bureatten
Q6175945,6000000019324978972,bureatten
Q6184896,6000000010894303789,bureatten
Q6184934,6000000006127346098,bureatten
Q6185927,6000000008649800582,bureatten
Q6188777,6000000004594967673,bureatten
Q6190771,6000000000840156453,bureatten
Q6193512,6000000008650680292,bureatten
Q6197780,6000000019361833914,bureatten
Q6206392,6000000013400608577,bureatten
Q6206408,6000000013175234469,bureatten
Q6206421,6000000013175221906,bureatten
Q6206425,6000000007441921037,bureatten
Q6218068,6000000007858436950,bureatten
Q6218214,6000000002933418844,bureatten
Q6218220,6000000012056738350,bureatten
Q6229400,6000000007675744536,bureatten
Q623497,6000000001459346066,added
Q6235986,1552522,bureatten
Q6240337,6000000009585266046,bureatten
Q6255155,6000000013400675492,bureatten
Q6330080,342032974900007076,bureatten
Q633094,6000000004334763223,bureatten
Q657814,6000000012617406308,bureatten
Q692994,6000000007247681864,bureatten
Q714044,6000000003022010249,added
Q717179,6000000011637024489,bureatten
Q719983,6000000011116437821,bureatten
Q763053,6000000013296288034,bureatten
Q792154,6000000001827582117,added
Q792307,6000000017999766001,bureatten
Q805827,6000000006127899214,bureatten
Q821990,6000000010837141342,bureatten
Q900478,6000000004138124294,bureatten
Q930758,6000000009785836259,bureatten
Q932770,6000000019273184653,bureatten
Q943803,6000000002811012188,bureatten
