geni_id	qids	sources
6000000008640446405	Q76282024;Q76355849	geni-about-me;geni-wikidata-pairs;structural
6000000008700079698	Q5339656;Q75527948	structural;wikidata-p2600
6000000008874153298	Q16654743;Q4143538	wikidata-p2600
6000000008877466651	Q2033112;Q7569679	wikidata-p2600
6000000008927048129	Q105796227;Q128157661	structural;wikidata-p2600
6000000009098248550	Q103773414;Q110621125	structural;wikidata-p2600
6000000009129004944	Q11609596;Q4142839	structural;wikidata-p2600
6000000009152980692	Q20172071;Q24921025	structural;wikidata-p2600
6000000009164124151	Q23060572;Q25080031	structural;wikidata-p2600
6000000009169192262	Q107305198;Q128157709	structural;wikidata-p2600
6000000009179187283	Q13478492;Q2632610	structural;wikidata-p2600
6000000009188822552	Q110619304;Q128157714	structural;wikidata-p2600
6000000009188866510	Q128044816;Q24257579	structural;wikidata-p2600
6000000009305326919	Q122966727;Q126995695	structural;wikidata-p2600
6000000009341941295	Q128157739;Q137253945	structural;wikidata-p2600
6000000009393814294	Q53350569;Q5930321	structural;wikidata-p2600
6000000009401820460	Q110313426;Q6170392	structural;wikidata-p2600
6000000009542502714	Q2614767;Q61791331	structural;wikidata-p2600
6000000009598022671	Q128044940;Q136142308	structural;wikidata-p2600
6000000009647287134	Q87195968;Q98970762	structural;wikidata-p2600
6000000009821276342	Q128045049;Q134269501	structural;wikidata-p2600
6000000009825686337	Q242436;Q2994313	structural;wikidata-p2600
6000000009917108488	Q128045142;Q131582037	structural;wikidata-p2600
6000000009974069526	Q128045185;Q16407181	structural;wikidata-p2600
6000000010160508821	Q468729;Q96240859	structural;wikidata-p2600
6000000010187777203	Q110621387;Q113357275	structural;wikidata-p2600
6000000010260760607	Q126973491;Q136376131	structural;wikidata-p2600
6000000010260760612	Q126995778;Q136376132	structural;wikidata-p2600
6000000010421891850	Q16403773;Q72444	structural;wikidata-p2600
6000000010521965469	Q101248756;Q122931811	structural;wikidata-p2600
6000000011106033398	Q16574;Q3849571	structural;wikidata-p2600
6000000011242532340	Q102856512;Q113411923	wikidata-p2600
6000000011242594971	Q136400424;Q4060947	structural;wikidata-p2600
6000000011243047286	Q64029409;Q64229816	wikidata-p2600
6000000011304927809	Q128045724;Q135668948	structural;wikidata-p2600
6000000011424147943	Q108654961;Q126995882	wikidata-p2600
6000000011480752479	Q104787056;Q107767302	structural;wikidata-p2600
6000000011634231270	Q126995965;Q137590248	structural;wikidata-p2600
6000000011725874790	Q1354041;Q99233110	structural;wikidata-p2600
6000000011734581768	Q112973525;Q128046195	structural;wikidata-p2600
6000000011766711029	Q2502278;Q2502306	structural;wikidata-p2600
6000000011770178436	Q13030454;Q2502278	structural;wikidata-p2600
6000000011835630616	Q2502260;Q2577157	structural;wikidata-p2600
6000000011855024217	Q2464872;Q4422093	structural;wikidata-p2600
6000000011997957937	Q105711345;Q111109033	structural;wikidata-p2600
6000000012060506669	Q134985823;Q7708632	structural;wikidata-p2600
6000000012224621046	Q110586521;Q134985843	structural;wikidata-p2600
6000000012225278608	Q110586519;Q134986339	structural;wikidata-p2600
6000000012225603128	Q134986337;Q134986339	structural;wikidata-p2600
6000000012225970508	Q134985843;Q134986476	structural;wikidata-p2600
6000000012344975039	Q126996019;Q133826906	structural;wikidata-p2600
6000000012349026469	Q112968565;Q128158490	structural;wikidata-p2600
6000000012468581950	Q110562184;Q354934	structural;wikidata-p2600
6000000012617578137	Q109835511;Q126996051	structural;wikidata-p2600
6000000012755295099	Q111369696;Q128158593	structural;wikidata-p2600
6000000012768218201	Q128158598;Q134695058	wikidata-p2600
6000000012770852334	Q110363080;Q130748682	wikidata-p2600
6000000012773760294	Q239448;Q452705	structural;wikidata-p2600
6000000012789241315	Q135284917;Q135284917;Q86734749;Q86734749	geni-about-me;geni-wikidata-pairs;izumo-roster
6000000012827521360	Q7482540;Q971925	structural;wikidata-p2600
6000000012827643258	Q110729577;Q128158624	structural;wikidata-p2600
6000000012926341055	Q497755;Q497775	structural;wikidata-p2600
6000000012985339392	Q110505319;Q126973533	structural;wikidata-p2600
6000000013071012314	Q113251690;Q128046540	wikidata-p2600
6000000013254785075	Q138411942;Q138411953	wikidata-p2600
6000000013294621009	Q134267712;Q134269883	wikidata-p2600
6000000013320216533	Q123553591;Q7287688	wikidata-p2600
6000000013484969973	Q128046652;Q128050571	structural;wikidata-p2600
6000000013537744189	Q128158757;Q136158691	structural;wikidata-p2600
6000000013775952915	Q75992117;Q75992119	wikidata-p2600
6000000013869716667	Q11091436;Q189512	structural;wikidata-p2600
6000000014067654981	Q127325158;Q131411864	structural;wikidata-p2600
6000000014193153692	Q17096131;Q17096143	structural;wikidata-p2600
6000000014882880868	Q103819279;Q130885409	wikidata-p2600
6000000014912988335	Q133968443;Q26714756	structural;wikidata-p2600
6000000014926332501	Q133825518;Q65932885	structural;wikidata-p2600
6000000014947742577	Q11738133;Q86598	structural;wikidata-p2600
6000000014959053284	Q27037989;Q27037997	wikidata-p2600
6000000014959439326	Q111961568;Q121028157	wikidata-p2600
6000000014980871068	Q121029189;Q60593125	structural;wikidata-p2600
6000000014986607699	Q101231437;Q139694492	structural;wikidata-p2600
6000000015110133792	Q102861886;Q61177857	structural;wikidata-p2600
6000000015129936737	Q128047068;Q98698674	structural;wikidata-p2600
6000000015163699130	Q108379406;Q137766722	wikidata-p2600
6000000015232466758	Q11730584;Q54817335	wikidata-p2600
6000000015284496874	Q136812848;Q136822535	structural;wikidata-p2600
6000000015339706261	Q123998132;Q48809122	wikidata-p2600
6000000015521026858	Q138411874;Q3678126	structural;wikidata-p2600
6000000015838269783	Q107296444;Q128159254	structural;wikidata-p2600
6000000015865744129	Q134986306;Q7326	structural;wikidata-p2600
6000000015972329829	Q103922542;Q108372045	wikidata-p2600
6000000016680602856	Q273111;Q75299193	structural;wikidata-p2600
6000000016750017533	Q103954044;Q106485733	structural;wikidata-p2600
6000000017164491063	Q122358741;Q94869241	structural;wikidata-p2600
6000000017255784111	Q110106057;Q134287388	wikidata-p2600
6000000017549225976	Q108654966;Q126996424	structural;wikidata-p2600
6000000017695098287	Q2099707;Q2149375	structural;wikidata-p2600
6000000017756499875	Q122259347;Q128162369	structural;wikidata-p2600
6000000017990892787	Q5730329;Q96240832	structural;wikidata-p2600
6000000018400226735	Q116471168;Q128048436	wikidata-p2600
6000000018947989438	Q111133765;Q134290774	wikidata-p2600
6000000019057116177	Q110426436;Q128048688	structural;wikidata-p2600
6000000019344873694	Q123604501;Q128160134	wikidata-p2600
6000000019911529602	Q11686080;Q17095965	structural;wikidata-p2600
6000000020070514278	Q122925780;Q122925808	wikidata-p2600
6000000020237257561	Q11729871;Q64024755	wikidata-p2600
6000000020315905414	Q116000346;Q126996740	structural;wikidata-p2600
6000000021639290053	Q116455955;Q97007322	wikidata-p2600
6000000021766594480	Q120380;Q6753643	structural;wikidata-p2600
6000000022147624604	Q137824810;Q4079835	wikidata-p2600
6000000022247978511	Q128167569;Q137590076	structural;wikidata-p2600
6000000022553474531	Q96199514;Q96985055	structural;wikidata-p2600
6000000022795798027	Q108430291;Q3434783	structural;wikidata-p2600
6000000023180016165	Q122958274;Q128049736	wikidata-p2600
6000000023296202097	Q116811702;Q76218296	wikidata-p2600
6000000023313158062	Q128045596;Q128049786	structural;wikidata-p2600
6000000023663972906	Q126904573;Q136463735	wikidata-p2600
6000000024116052302	Q18643449;Q2151031	structural;wikidata-p2600
6000000024682955809	Q110151011;Q110504869	wikidata-p2600
6000000024775108318	Q110151012;Q110504870	wikidata-p2600
6000000025067047958	Q124598682;Q138463984	wikidata-p2600
6000000026038614448	Q128051181;Q2053952	structural;wikidata-p2600
6000000026091259448	Q119068099;Q128165130	structural;wikidata-p2600
6000000026542465010	Q122975203;Q122975638	structural;wikidata-p2600
6000000027346272632	Q124098181;Q134985974	structural;wikidata-p2600
6000000027346467804	Q124098054;Q134985393	structural;wikidata-p2600
6000000027822596267	Q135841431;Q18011853	wikidata-p2600
6000000028063134101	Q128165490;Q20980058	structural;wikidata-p2600
6000000028067242955	Q126904130;Q140465834	structural;wikidata-p2600
6000000028265655898	Q121009606;Q24263178	wikidata-p2600
6000000029886012214	Q76827672;Q89033025	geni-about-me;geni-wikidata-pairs;wikidata-p2600
6000000031614493911	Q13033264;Q15042460	structural;wikidata-p2600
6000000031834378205	Q128305981;Q129153195	structural;wikidata-p2600
6000000033241523682	Q2587652;Q44059398	wikidata-p2600
6000000033241899724	Q130389513;Q27031142	wikidata-p2600
6000000033241928940	Q2080596;Q2991423	structural;wikidata-p2600
