qid	label	slot	n	parents	parent_labels
Q108926834	Rixa von der Schulenburg	mother	2	Q108926843;Q110325983	(Sophie ?) von dem Berge | Anna von Alvensleben
Q10899970	Liu Qichu	father	2	Q45527672;Q45527864	Pei Feng | Liu Bo
Q109319731	Sarah Parkman Cushing	mother	2	Q109348918;Q116855754	Elizabeth Parkman | Hannah Parkman
Q10945582	Sun Mian	mother	2	Q65798615;Q65798616	Zhang Shi | Zhou Shi
Q10947521	Song Xiang	father	2	Q45367371;Q45388865	Song Qi | Song Zhun
Q10948168	Sheng-yu	father	2	Q22908407;Q45694413	恒恩 | Heng-en
Q10963713	Publius Calvisius Tullus Ruso	father	2	Q12291694;Q684275	Publius Calvisius Ruso Julius Frontinus | Gnaeus Domitius Tullus
Q110109018	Johanna van Beaumont	mother	2	Q110109022;Q110109020	Johanna van Goch | Aernout (Arnoudina) van Beaumont
Q110153446	Gödel von Alvensleben	father	2	Q97208354;Q97208366	Ludolf III von Alvensleben zu Calbe | Ludolf IV von Alvensleben
Q110153446	Gödel von Alvensleben	mother	2	Q110152386;Q110152387	Armgard von Honlage | Anna von Bülow
Q11053886	Cui Mian	father	2	Q45420178;Q45518571	Cui Yi | Cui Kai
Q110561535	Henriette Buff	mother	2	Q110545984;Q110548682	Anna Sophia Haberkorn | Maria Margaretha Seipp
Q110688637	Clara von Hatzfeldt	father	2	Q1109882;Q129925715	Collis Potter Huntington | Edwin Dwight Prentice
Q11095388	Li Sui	father	2	Q9753;Q9749	Emperor Daizong of Tang | Emperor Suzong of Tang
Q11096026	Li An	father	2	Q10338446;Q45692655	Li Wei | Li Gang
Q11097334	Li Tao	father	2	Q45376377;Q45502146	Li Yuan | Li Yuan
Q11098176	Li Chongjin	mother	2	Q16603550;Q65800169	福慶長公主 | Zhao Shi
Q11098335	Li Xianzhong	father	2	Q45429373;Q45434325	Li Yongqi | Li Yongji
Q11118419	Yang Yuling	father	2	Q45402525;Q45510080	Yang Taiqing | Yang Taiqing
Q11118427	Yang Dan	father	2	Q45413822;Q45638612	Yang Shizong | Yang Shiyi
Q111459384	Anna Sedlnitzky von Choltitz	mother	2	Q113294526;Q126009704	Christina Spiering | Kateřina Pražmová z Bílkova
Q112542657	Zwinislawa Tczewsko-Lubiszewska	father	2	Q696738;Q696750	Sambor II, Duke of Pomerania | Swietopelk II, Duke of Pomerania
Q113025	Henry II , Duke of Lower Lorraine	father	2	Q125989;Q122277863	Waleran I of Limburg | Udo of Limburg
Q1137821	C. D. B. Bryan	father	2	Q548345;Q110759270	John O'Hara | Joseph Bryan III
Q11570138	Niu Hong	father	2	Q45420788;Q45558385	Niu Yun | Niu Liaoyun
Q1159574	Lucius Aelius Plautius Lamia Aelianus	father	2	Q655711;Q666605	Tiberius Plautius Silvanus Aelianus | Lucius Aelius Lamia
Q11621827	Cai Que	father	2	Q17066748;Q45557291	Cai Huangshang | Cai Xichen
Q11714668	Izabela Grabowska	father	2	Q54019;Q6149169	Stanisław August Poniatowski | Jan Jerzy Grabowski
Q117285284	Zachary Furnish-John	father	2	Q2808;Q1174489	Elton John | David Furnish
Q117324763	Francesca de Montferrat	father	2	Q1072294;Q1747587	Boniface III | Teodoro Paleologo di Montferrato
Q11736364	Karol Załuski	father	2	Q9356968;Q2315638	Teofil Załuski | Otto Heinrich von Igelström
Q11753251	Laura Orsini	father	2	Q11799329;Q108316	Orsino Orsini | Alexander VI
Q11905826	Vladimír Jiří Rott	father	2	Q1459036;Q18343070	Ladislav Rott | Karolína
Q12086698	Agrippina	father	2	Q156357;Q19692705	Lev I of Galicia | Yaroslav Romanovich
Q121287938	Erman Zaruddin Usman	father	2	Q120340687;Q121296059	Abdul Karim Ahmad | Usman
Q12278988	Domitia Lucilla	father	2	Q35691900;Q684275	Gnaeus Domitius Lucanus | Gnaeus Domitius Tullus
Q12278988	Domitia Lucilla	mother	2	Q107638183;Q107638147	Curtilia Mancia | Dasumia Polla
Q12303165	Bent Georg Jensen	father	2	Q288218;Q111030109	Georg Jensen | Georg Jensen
Q123858144	Julian Jones	father	2	Q204943;Q317427	Brian Jones | Donovan
Q125205416	Антоні Яленскі	father	2	Q125188328;Q125188321	Леан Яленскі | Мацей Яленскі
Q1268089	Sava II Petrović-Njegoš	father	2	Q2281428;Q75574947	Danilo I, Metropolitan of Cetinje | Ivan Petrovic-Njegoš
Q126905417	Otto Carl Bahder	father	2	Q126905416;Q126905419	Christoph Ludwig Bahder | Wilhelm Ludwig Bahder
Q126965186	Ivan Osipovič Kerzelli	father	2	Q128069738;Q126966784	Osip Ivanovič Kerzelli | Vera Golicyn (Gol'cov)
Q128070002	Philipp Samuel Eylandt	father	2	Q128068395;Q126965350	Carl Ludwig Eylandt | Alexander Friedrich Eylandt
Q128267	Joseph	father	2	Q2474891;Q11927082	Heli | Jacob (father of Joseph of Nazareth)
Q128576	Diana Cooper	father	2	Q3784973;Q1606613	Henry Manners, 8th Duke of Rutland | Harry Cust
Q130191850	Ferenc, Graf Hunyady de Kéthely	father	2	Q112647917;Q130435694	János Nepomuk, Graf Hunyady de Kéthely | József Hunyady
Q130396535	Luise Caroline von Geymüller	father	2	Q1694538;Q1694397	Johann Heinrich Geymüller | Johann Heinrich Geymüller
Q131195	Constantius Chlorus	father	2	Q1001936;Q46768	Flavius Eutropius | Maximian
Q131543320	Крыштаф Палубінскі	father	2	Q96211754;Q131543317	Leon Kazimierz Połubiński | Юзаф Палубінскі
Q131747858	Н Пронская	father	2	Q63026002;Q63026017	Глеб Юр’евіч Пронскі | Юрый Фёдаравіч Пронскі
Q1330397	Elisabeth von Bayern	father	2	Q694351;Q63178	Frederick | Stephen II, Duke of Bavaria
Q134160	José de San Martín	mother	2	Q17478063;Q58181074	Gregoria Matorras | Rosa Guarú
Q134346798	Caroline Amalie af Danneskiold-Samsøe	father	2	Q12305879;Q12305879	Christian Conrad Sophus Danneskiold-Samsøe | Christian Conrad Sophus Danneskiold-Samsøe
Q134346798	Caroline Amalie af Danneskiold-Samsøe	mother	2	Q75934669;Q75934669	Elizabeth Brudenell-Bruce | Elizabeth Brudenell-Bruce
Q13634415	Fan Zhi	father	2	Q45384128;Q45488627	Fan Shouyu | Fan Shouyu
Q136376271	Erik Hardenberg Gyllenstierna, 1.Lord of Svaneholm	father	2	Q108476105;Q108476105	Henrik Gyldenstierne | Henrik Gyldenstierne
Q136376271	Erik Hardenberg Gyllenstierna, 1.Lord of Svaneholm	mother	2	Q136376277;Q136376277	Lisbeth Clausdatter Podebusk, Heiress of Karsholm | Lisbeth Clausdatter Podebusk, Heiress of Karsholm
Q136376405	noble Madleena of Üksküla	mother	2	Q137612674;Q98698570	Dorothea Mecks | Barbara Anrep
Q1405	Augustus	father	2	Q363084;Q1048	Gaius Octavius | Julius Caesar
Q1406045	Ferdinand von Westphalen	mother	2	Q27867978;Q76366620	Caroline Heubel | Elisabeth von Veltheim
Q1407	Tiberius	father	3	Q342512;Q2165262;Q1405	Tiberius Claudius Nero | Marcus Gallius | Augustus
Q1413	Nero	father	2	Q351503;Q1411	Gnaeus Domitius Ahenobarbus | Claudius
Q1414	Galba	mother	2	Q2577717;Q6658867	Mummia Achaica | Livia Ocellina
Q14190976	Paulina Longworth Sturm	father	2	Q895819;Q465874	William Borah | Nicholas Longworth
Q1425	Trajan	father	2	Q714856;Q1424	Marcus Ulpius Traianus | Nerva
Q1427	Hadrian	father	2	Q2280800;Q1425	Publius Aelius Hadrianus Afer | Trajan
Q1429	Antoninus Pius	father	2	Q1230832;Q1427	Titus Aurelius Fulvus | Hadrian
Q1430	Marcus Aurelius	father	2	Q1292169;Q1429	Marcus Annius Verus | Antoninus Pius
Q14558264	Anna Skytte	mother	2	Q14558265;Q110549008	Maria Näf | baroness Maria Nevoy, of Methie, heiress of Marby
Q1502943	Geoffrey Boleyn	father	2	Q61492644;Q138504542	Thomas Boleyn | Geoffrey Boleyn
Q1503973	Georg Clam Martinic	father	2	Q698043;Q21534298	Heinrich Clam-Martinic | Gottfried Clam-Martinic
Q15079141	Catharina Dorothea Bach	mother	2	Q57487;Q57212	Maria Barbara Bach | Anna Magdalena Bach
Q15126506	Michael Meeropol	father	2	Q2739096;Q1284580	Julius Rosenberg | Abel Meeropol
Q15240746	Otto von Gemmingen	father	2	Q15629140;Q15629138	Ludwig Friedrich Wilhelm von Gemmingen | August Wilhelm von Gemmingen
Q153232	Jean Le Rond d'Alembert	father	2	Q3260394;Q569405	Louis-Camus Destouches | Léopold Philippe d'Arenberg
Q15392097	Hywel Caerllion ab Iorwerth	father	2	Q15392109;Q110622113	Iorwerth ab Owain | Iorwerth ab Owain Wan ap Caradog ap Gruffudd
Q1545284	Terry Melcher	father	2	Q61839510;Q1644646	Al Jorden | Martin Melcher
Q1557841	John Charles Olmsted	father	2	Q94287950;Q364187	John Hull Olmsted | Frederick Law Olmsted
Q15629147	Wilhelm Dietrich von Gemmingen	father	2	Q15629140;Q15629138	Ludwig Friedrich Wilhelm von Gemmingen | August Wilhelm von Gemmingen
Q15629148	Eduard Eberhard von Gemmingen	father	2	Q15629140;Q15629138	Ludwig Friedrich Wilhelm von Gemmingen | August Wilhelm von Gemmingen
Q15632910	Zhao Yanshou	father	2	Q28416909;Q45378079	Zhao Anren | Zhao Fu
Q1587694	Hartvig Krummedige	father	2	Q3429244;Q110549582	Erik Krummedige | NN Krummedige
Q15889729	Thorkell Thordarson	father	2	Q6175110;Q15889704	Þórðr Óleifsson | Thordur Víkingsson
Q15905324	Fan Tan	father	2	Q15902742;Q16076002	Fan Ziqi | Fan Gao
Q15908184	Cheng Xin	father	2	Q45416267;Q45447151	Cheng Sheng | Cheng Sheng
Q15908400	Jiang Xingben	father	2	Q45419741;Q45586583	Jiang Mu | Mou Mo
Q15913401	Zhao Tingmei	mother	2	Q8259161;Q19653943	Empress Dowager Du | Geng Shi
Q15914389	Xiao Shunzhi	father	2	Q10511808;Q45420819	Xiao Daoci | Xiao Fu
Q15927400	Feng Junheng	father	3	Q28478897;Q45419635;Q45623156	Feng Zhifa | Feng Kui | Feng Zhikui
Q15927754	Zhao Kai	mother	3	Q19653851;Q8251757;Q65800195	大王貴妃 | Guifei, of the Wang clan | Wang Shi
Q15942258	Wu Zhongfu	father	2	Q45363648;Q45511711	Wu Ju | Wu Zhongju
Q159481	Adam Weishaupt	father	2	Q15344566;Q96638	Johann Georg Weishaupt | Johann Adam von Ickstatt
Q16075464	Cai Juhou	father	2	Q45373472;Q45359048	Cai Yanxi | Cai Chengxi
Q16075587	Chen Kui	mother	2	Q65798869;Q65798870	Cheng Shi | Wang Shi
Q16076438	Wei Jingjun	father	2	Q45420852;Q45420853	Wei Yuqing | Wei Yue
Q16076784	Ma Guangzu	mother	2	Q65798550;Q65798554	Wu Shi | Ye Shi
Q16077208	Wei Shu	father	2	Q16076438;Q45459435	Wei Jingjun | Wei Mou
Q16077486	Wang Qi	father	2	Q24837724;Q15891262	Wang De | 王罕 (宋朝)
Q16077975	Chen Jing	father	2	Q45368642;Q45441860	Chen Bi | Chen Mi
Q16200269	Marie-Clementine Bagration	father	2	Q45662;Q239260	Klemens von Metternich | Pyotr Bagration
Q1654195	Volkmar II	father	2	Q2531480;Q44191432	Volkmar I | Friedrich III von Harzgau
Q16584942	Othelindis	father	2	Q220799;Q2561491	Bernard I | Bernard I, Margrave of the Nordmark
Q16853496	John William Foster	father	2	Q6233763;Q75850610	John Foster | William Foster
Q168763	Liv Tyler	father	2	Q194045;Q364875	Steven Tyler | Todd Rundgren
Q16904264	Yelü Zongyuan	mother	2	Q8253308;Q65798502	耿淑仪 | Jiang Shi
Q16904346	Chong Fang	father	3	Q45379473;Q45587927;Q45479260	Chong Renxu | Chong Xu | Chong Fang
Q16904472	Zhao Shiyuan	father	2	Q45367816;Q45367820	Zhao Bohuai | Zhao Bozhu
Q16906305	Liu Zheng	mother	2	Q65798764;Q65798765	Zheng Shi | Liu Shi
Q17426584	Kazimierz Grabowski	father	2	Q6149169;Q54019	Jan Jerzy Grabowski | Stanisław August Poniatowski
Q1769	Severus Alexander	father	2	Q1762;Q1446	Elagabalus | Caracalla
Q1812	Gordian III	father	2	Q12299551;Q1803	Junius Balbus | Gordian II
Q18159642	Florence Arnold-Forster	father	2	Q5559798;Q654942	William Delafield Arnold | William Edward Forster
Q18159642	Florence Arnold-Forster	mother	2	Q76159093;Q96077555	Jane Martha Arnold | Frances Anne Hodgson
Q1827950	Salah	father	2	Q457520;Q4208533	Arpachshad | Cainan
Q18531468	William Maxwell, 5th Lord Herries	father	2	Q6247264;Q18731731	John Maxwell, 4th Lord Maxwell | John Maxwell, 4th Lord Herries of Terregles
Q18531468	William Maxwell, 5th Lord Herries	mother	2	Q75249614;Q75260145	Agnes Stewart | Agnes Herries, Lady Herries of Terregles
Q18646123	Sichfrith mac Ímair	father	2	Q3156264;Q350321	Ímar | Ivar Ragnarsson
Q187602	Circe	father	2	Q241971;Q134270	Aeëtes | Helios
Q187602	Circe	mother	2	Q1333108;Q131575	Perse | Hecate
Q188965	Madame de Pompadour	father	2	Q3752271;Q584267	François Poisson | Charles François Paul Le Normant de Tournehem
Q18906164	Liu Meng	father	2	Q45371709;Q45466014	Liu Tan | Liu Tanjing
Q18907032	Quan Chui	father	2	Q45378261;Q45469788	Quan Wushi | Quan Wudai
Q18907054	Pei Xuan	father	2	Q45421967;Q45671398	Pei Zhiji | Pei Zhiji
Q18907082	Yin Liang	father	2	Q45420107;Q45420123	Yin Jianyou | Yin Yin
Q18908917	Wei Xu	father	2	Q45421970;Q45611502	Wei Youjian | Wei Youqian
Q191039	Germanicus	father	2	Q156778;Q1407	Nero Claudius Drusus | Tiberius
Q19513557	Otanes	father	2	Q116474334;Q13229447	Thukhra | Pharnaspes
Q1972860	Charles-Paris of Orléans	father	2	Q571463;Q273708	Henri II d'Orléans, Duke of Longueville | François de La Rochefoucauld
Q19760380	Anna Zimmerman	mother	2	Q115754610;Q115754359	Hortense-Victoire Leduc | Aglaé Bernos
Q1996692	Dasharatha	father	2	Q3595876;Q130683128	Aja | Kushik
Q20068021	Лагодовський Іван Олександрович	father	2	Q12116870;Q28702212	Aleksander Wańko Łahodowski | Ванько Лагодовський
Q20070979	Jan Mniszech	father	2	Q9341639;Q109719152	Stanislas Boniface Mniszech | Andrzej Mniszech
Q2066659	Publius Mucius Scaevola	father	2	Q939045;Q6095299	Quintus Mucius Scaevola | Quintus Mucius Scaevola
Q20735056	Franz Serényi	father	2	Q110371541;Q94984640	Pál Serényi de Kis-Serény | Franz Serényi
Q20735056	Franz Serényi	mother	2	Q110371542;Q139741849	Agnes Massay de Karaklány | Anežka Thurzoová z Bethlenfalvy
Q2132941	Carlo Visconti di Parma	mother	2	Q51089;Q110410459	Beatrice Regina della Scala | Regina de Salcalle
Q2172992	Rudolf Hoyos	mother	2	Q137940648;Q137940648	Maria Leontine Gräfin Larisch von Moennich | Maria Leontine Gräfin Larisch von Moennich
Q2196457	Mangkunegara IV	father	2	Q5088914;Q126926342	Mangkunegara III | KPA Adiwijaya I
Q2196457	Mangkunegara IV	mother	2	Q108104598;Q125732287	Raden Ayu Sekarkedhaton | RA Sekeli
Q22813480	Li Chengzu	father	2	Q22813479;Q45512023	Li Huang | Li Yu
Q22814034	Chu Meng	father	2	Q22814032;Q45418798	褚湮 | Chu Yun
Q22829107	Zhao Shanying	father	2	Q22829106;Q45368465	趙不韋 | Zhao Buqiu
Q22829152	Zhao Yuyin	father	2	Q22829150;Q45386900	Zhao Xiyan | Zhao Xiyong
Q229875	Hortense de Beauharnais	father	2	Q456122;Q517	Alexandre de Beauharnais | Napoleon
Q23011979	Kenneth Seymour Robbins	father	2	Q96200691;Q75763164	John Newell Robbins | George Robbins
Q23059558	Signe von Scanzoni	father	2	Q15439470;Q85877	Gustav Scanzoni von Lichtenfels | Walter Janssen
Q2307	Scipio Aemilianus	father	2	Q298168;Q1241388	Lucius Aemilius Paullus Macedonicus | Publius Cornelius Scipio
Q2335581	Randver	father	2	Q2335361;Q560751	Ráðbarðr | Redbad
Q2354262	Princess Johanna of Hesse and by Rhine	father	2	Q60737;Q61270	Georg Donatus, Hereditary Grand Duke of Hesse | Louis, Prince of Hesse and by Rhine
Q2354262	Princess Johanna of Hesse and by Rhine	mother	2	Q236196;Q1894917	Princess Cecilie of Greece and Denmark | Princess Margaret, Hereditary Grand Duchess of Hesse and by Rhine
Q235639	Billie Burke	mother	2	Q96288871;Q131506056	Blanche Beatty Burke | Blanch Burke
Q23581280	Flower Backhouse	father	2	Q8004902;Q75416237	William Backhouse | Sir John Backhouse
Q23581280	Flower Backhouse	mother	2	Q98344634;Q75416239	Anne Richards | Flower Henshaw
Q23800185	Joseph Baena	father	2	Q2685;Q75496774	Arnold Schwarzenegger | Rogelio Baena
Q241550	Catherine Carey	father	2	Q2577246;Q38370	William Carey | Henry VIII of England
Q24546208	Fabian von Wrangell	father	2	Q1233752;Q136385095	Moritz von Wrangel | Fabian Wrangell
Q24835861	Liu Sengxi	father	2	Q45420286;Q45528696	Liu Xu | Liu Ji
Q2511802	Cyngen Glodrydd	father	2	Q2511778;Q2575163	Rhuddfedel Frych | Cadell Ddyrnllwg
Q2520822	Menotti Garibaldi	mother	2	Q636688;Q42529875	Anita Garibaldi | Anna Maria Imeni
Q2526916	Pascweten	father	2	Q7336969;Q561348	Rivallo IV of Brittany | Alan I, King of Brittany
Q2535985	Sigtrygg Silkbeard	mother	2	Q3111071;Q75382754	Gormflaith ingen Murchada | unknown daughter of Scotland
Q2575163	Cadell Ddyrnllwg	father	2	Q1292998;Q116109754	Catigern | Pasgen ap Brydw
Q25752877	John ʻAimoku Dominis	mother	2	Q107288;Q107288	Liliʻuokalani | Liliʻuokalani
Q2581232	Eystein Halfdansson	father	2	Q2521523;Q76300818	Halfdan Hvitbeinn | Halfdan von Westfold
Q26159039	Li Jian	father	2	Q24832547;Q45419933	Li Xian | Li Qingye
Q26159846	Li Yi	father	2	Q26159843;Q45645411	李秀林 | Li Fenglin
Q2618388	Charles Louis Cadet de Gassicourt	father	2	Q7738;Q736277	Louis XV of France | Louis Claude Cadet de Gassicourt
Q26185015	Lu Ting	father	2	Q5359187;Q15923626	Lu Yu | Lu Qin
Q26186440	Lu Ting	father	2	Q26186437;Q45420227	Lu Zizhe | Lu Zhe
Q26208790	Wei Xu	father	3	Q26208784;Q45418915;Q45442056	韦真憙 | Wei Zhenshan | Wei Zhenjia
Q26208802	Wei Zhi	father	2	Q26208784;Q45442056	韦真憙 | Wei Zhenjia
Q263454	Clementine Churchill	father	2	Q2004836;Q16714247	George Middleton | Henry Hozier
Q2680280	William IV of Auvergne	father	2	Q3435462;Q2884086	Robert II de Clarmont | Guy I of Auvergne
Q276241	Elizabeth Medora Leigh	father	2	Q5679;Q75247402	Lord Byron | George Leigh
Q28155948	Suzanne Chodowiecka	father	2	Q696720;Q135654760	Daniel Nikolaus Chodowiecki | Jeanne Barez
Q28411819	Chen Shen	father	2	Q28411816;Q45574190	Chen Xian | Chen Hong
Q28413029	Xu Qian	father	2	Q45369232;Q65821671	Xu Gong | Xu Rixuan
Q28414582	Cui Cong	father	2	Q45419594;Q45471926	Cui Ao | Cui Yi
Q28414949	Yin Chongke	father	2	Q45385497;Q45507501	Yin Tingxun | Yin Yanxun
Q28415662	Chai Zongqing	father	2	Q11110220;Q45377283	Chai Yuxi | Chai Zongliang
Q28417850	Wei Shaoqin	father	2	Q45486518;Q45588811	Wei Hanchao | Wei Hanchao
Q285148	Marcus Atius Balbus	mother	2	Q123700858;Q654576	Lucilia | Pompeia
Q286802	Émilie Pellapra	father	2	Q104538182;Q517	Leu Henry Alain Pellapra | Napoleon
Q2960721	Charles de Vintimille	father	2	Q7738;Q135704121	Louis XV of France | Jean-Baptiste Félix Hubert de Vintimille du Luc
Q2975626	Clarissa Eden	father	2	Q5660018;Q721915	Harold Trevor Baker | Jack Churchill
Q298162	Gaius Caesar	father	2	Q48174;Q1405	Marcus Vipsanius Agrippa | Augustus
Q2995309	Consuelo Fould	father	2	Q3121088;Q5536702	Gustave Fould | George Barbu Știrbei
Q30941824	Yuan Zunni	father	2	Q45425619;Q45645988	Yuan Zhi | Yuan Mou
Q30942534	Li Xili	father	2	Q24832547;Q45419933	Li Xian | Li Qingye
Q30944701	Shi Lan	mother	2	Q65798647;Q65819600	Chen Xiang | Zhang Shi
Q311733	Titus Pomponius Atticus	father	2	Q7810326;Q1338934	Titus Pomponius | Quintus Caecilius
Q313044	Diego Luna	father	2	Q2640702;Q116822173	Alejandro Luna | Alejandro Luna Ledezma
Q313735	Lucius Caesar	father	2	Q48174;Q1405	Marcus Vipsanius Agrippa | Augustus
Q3148974	Imbert de La Platière des Bordes	mother	2	Q116959930;Q116968931	Marie de Fontenay | Léonarde de La Perrière
Q3160321	Jacques de Montgomery	father	2	Q110520322;Q109012605	René de Montgomerie, seigneur de Lorges | Georges de Montgomerie, Seigneur de Lorges
Q316524	Prince Alexander of Hesse and by Rhine	father	2	Q68351;Q166701	August von Senarclens de Grancy | Louis II, Grand Duke of Hesse
Q3172721	Jean I de Montmorency	mother	2	Q75887069;Q102819417	Jeanne de Levis | Marie de Dreux
Q3175668	Jean de Robersart	father	2	Q62625466;Q61910931	Thierry de Robersart | Джон Робессарт
Q3237588	Li Yi	father	3	Q45424508;Q45548101;Q45658364	Li Qiu | Li Qiu | Li Cun
Q325906	Agrippa Postumus	father	2	Q48174;Q1405	Marcus Vipsanius Agrippa | Augustus
Q3261766	Louis DuBois	mother	2	Q108927965;Q111525233	Cornélie Brunel | Françoise le Poivre
Q326817	Gustaf Düben	mother	2	Q111427741;Q111989737	Anna Maria Gabrielen | Anna-Maria Gabrielen
Q3308337	Michael Lindsay-Hogg	father	2	Q24829;Q76055474	Orson Welles | Sir Edward William Lindsay-Hogg, 4th Bt.
Q33477	Eugène Delacroix	father	2	Q1948324;Q160499	Charles-François Delacroix | Charles-Maurice de Talleyrand-Périgord
Q335885	Boite mac Cináeda	father	2	Q352800;Q221229	Kenneth II of Scotland | Kenneth III of Scotland
Q337013	Yuan Shao	father	2	Q18198377;Q5372202	袁成 | Yuan Feng
Q3370134	Cui Rong	father	2	Q45419555;Q45445145	Cui Lin | Cui Xianjie
Q3370317	Paul-Joseph Le Moyne de Longueuil	mother	2	Q76022998;Q76022997	Marie Marguerite Le Gardeur de Tilly | Claude Elizabeth Souart d'Adocourt
Q3380982	Philippe de Narbonne-Lara	father	2	Q7738;Q123025952	Louis XV of France | Jean François de Narbonne-Lara
Q3447891	Kekāuluohi	father	2	Q130215102;Q214910	Kalaʻimamahu | Kamehameha I
Q34608878	Jeannette Papin	father	2	Q696720;Q135654760	Daniel Nikolaus Chodowiecki | Jeanne Barez
Q3482119	Shimazu Tadahisa	father	2	Q11492951;Q11073324	Koremune no Hirokoto | Koremune no Tadayasu
Q3482119	Shimazu Tadahisa	mother	3	Q11368515;Q111366618;Q3107786	Tango no Naishi | 藤原遠宗の娘 (惟宗広言の妻) | Gishūmon-in no Tango
Q3515798	Tarquinia	father	2	Q13030457;Q212671	Gnaeus Tarquinius | Lucius Tarquinius Priscus
Q356899	Marc-Marie de Bombelles	mother	2	Q107305168;Q112053901	Genevieve Charlotte de Bradins de la Moisiere | Marie-Françoise-Suzanne de Surirey de Saint-Rémy
Q3622613	Marcus Licinius Crassus Frugi	father	2	Q11768202;Q770792	Marcus Pupius Piso Frugi | Marcus Licinius Crassus
Q3763023	Gianfrancesco Gonzaga	mother	2	Q3663523;Q15411245	Caterina Pico | Antonia Malatesta
Q378232	Alessandro de' Medici	father	2	Q312612;Q83159	Lorenzo de' Medici, Duke of Urbino | Clement VII
Q3847262	Maria Seymour-Conway, Marchioness of Hertford	father	2	Q336604;Q427554	William Douglas, 4th Duke of Queensberry | George Augustus Selwyn
Q4079842	Barbara Bakhmetev	father	2	Q110329803;Q110329815	Alexander Nikolaevitch Lopouchine | Ekaterina Petrovna Vereschagina
Q4147304	Michal Grabowski	father	2	Q54019;Q6149169	Stanisław August Poniatowski | Jan Jerzy Grabowski
Q4151497	Hugh de Mortimer	father	2	Q3419321;Q19358260	Ranulph de Mortimer | Hugh de Mortimer
Q41618	Leo VI the Wise	father	2	Q41592;Q41622	Basil I | Michael III
Q41866	Justinian I	father	2	Q183445;Q139813100	Justin I | Sabbatius
Q4269209	Anna Petrovna	father	2	Q151789;Q54019	Peter III of Russia | Stanisław August Poniatowski
Q4308218	Dou	father	2	Q4308720;Q45420311	Dou Yi | Dou Yi
Q435292	Gonzalo Pizarro	mother	2	Q133284529;Q134986726	Doña Francisca González y Mateos | Maria de Biedma
Q435366	Lotte Tarp	father	2	Q23303956;Q119857824	Svend Erik Tarp | Wolfgang Haug
Q436394	Paula Yates	father	2	Q3787461;Q6186036	Hughie Green | Jess Yates
Q4441326	Edmund de Stafford, 1st Baron Stafford	mother	2	Q61896210;Q140287535	Eleanor de Clinton | NN de Langley
Q445956	Angelica Garnett	father	2	Q684978;Q766166	Clive Bell | Duncan Grant
Q452950	Frank Hamilton Cushing	father	2	Q117442288;Q140045097	Thomas Cushing | Pedro Pino
Q45351427	An Tao	mother	2	Q45434364;Q45434425	Zhang Shi | Wang Shi
