qid	kind	leading_title	live_mul	live_en	langs_carrying_live	geni_ids	created_by	created_at
Q61338	title	Princess		Princess Margaret of Prussia	en			
Q61345	title	Princess		Princess Alexandra of Saxe-Coburg and Gotha	en	6000000001194822688		
Q61448	title	Princess		Princess Hermine Reuss of Greiz	en	6000000002176677291		
Q61449	title	Princess		Princess Victoria, Duchess of Nemours	en	6000000002188416054		
Q61450	title	Princess		Princess Marie Gabriele, Princess Rupprecht of Bavaria	en			
Q61464	title	Duke		Duke Johann Albrecht of Mecklenburg-Schwerin	en	6000000002188402493		
Q61487	title	Princess		Princess Marie of Waldeck and Pyrmont	en es	6000000000900837244		
Q61489	title	Countess		Countess Augusta Reuss of Ebersdorf	en	6000000001535193225		
Q61548	title	Prince		Prince Karl Theodor of Bavaria	en en-ca	6000000007329537312		
Q61777	title	Prince		Prince Georg Wilhelm of Hanover	en	6000000000307254380		
Q61781	title	Duchess		Duchess Louise Charlotte of Mecklenburg-Schwerin	en	4284776786610034331		
Q61786	title	Prince		Prince Albert of Prussia	en en-ca	5036441958970123764		
Q61789	title	Princess		Princess Marie Auguste of Thurn and Taxis	en es	6000000003581437848		
Q61911	title	Princess		Princess Therese of Saxe-Altenburg	en	6000000006127645027		
Q62022	title	Prince		Prince Wilhelm of Prussia	en en-ca	6000000003232583515		
Q62036	title	Princess		Princess Alexandra of Bavaria	en	6000000130570369092		
Q62043	title	Princess		Princess Philippine Charlotte of Prussia	en	6000000002774950185		
Q62056	title	Prince		Prince Eitel Friedrich of Prussia	en	4308132713530068682		
Q62063	title	Countess		Countess Palatine Caroline of Zweibrücken	en	6000000004025305942		
Q62068	title	Princess		Princess Augusta of Hesse-Kassel	en	6000000001260403655		
Q62261	title	Princess		Princess Theodolinde de Beauharnais of Leuchtenberg	en			
Q62263	title	Prince		Prince Ludwig Ferdinand of Bavaria	en en-ca	6000000002188424681		
Q62264	title	Princess		Princess Marie Amelie of Baden	en es	5260834362310100117		
Q62265	title	Prince		Prince Friedrich Christian, Margrave of Meissen	en			
Q62267	title	Princess		Princess Auguste of Bavaria	en	6000000002188402903		
Q62280	title	Duke		Duke Maximilian Emanuel in Bavaria	en en-ca			
Q62284	title	Princess		Princess Mathilde of Saxony	en en-ca da nb fi et es	6000000002188370376		
Q62336	title	Baron		Baron Wilhelm von Biela	en es	6000000172816559432		
Q62385	title	Duke		Duke Carl, Duke of Württemberg	en			
Q62393	title	Princess		Princess Amelia of Great Britain	en en-ca	6000000000769944219		
Q62401	title	Duke		Duke George of Oldenburg	en en-ca	4290454638540043428		
Q62549	title	Princess		Princess Eleonore of Solms-Hohensolms-Lich	en	6000000001435667555		
Q62550	title	Duchess		Duchess Sophia Charlotte of Oldenburg	en	6000000002188604075		
Q62579	title	Duke		Duke Joachim Ernst I, Duke of Anhalt	en	6000000002188615020		
Q62602	title	Prince		Prince Berthold, Margrave of Baden	en	6000000002188615956		
Q62775	title	Duke		Duke Wilhelm in Bavaria	en en-ca es	6000000006231684572		
Q62816	title	Duke	Duke Peter of Oldenburg	Duke Peter of Oldenburg	mul en			
Q62994	title	Princess		Princess Isabella, Duchess of Genoa	en	6000000008113867200		
Q62996	title	Princess		Princess Antoinette of Saxe-Coburg-Saalfeld	en	6000000005599214945		
Q63000	title	Prince		Prince Ferdinand of Saxe-Coburg and Gotha	en	6000000002159471272		
Q63010	title	Princess		Princess Elisabeth of Anhalt	en			
Q63014	title	Princess		Princess Marie Auguste of Anhalt	en	6000000000307247125		
Q63057	title	Princess		Princess Louise of Stolberg-Gedern	en en-ca	6000000001573869044		
Q63076	title	Prince		Prince Karl, 3rd Prince of Leiningen	en	6000000005599219969		
Q63082	title	Princess		Princess Mathilde of Bavaria	en			
Q63093	title	Prince		Prince Waldemar of Prussia	en es	6000000002074469310		
Q63095	title	Princess		Princess Augusta Reuss of Köstritz	en	6000000002281434244		
Q63261	title	Princess		Princess Louise Eleanore of Hohenlohe-Langenburg	en	6000000000307250056		
Q63284	title	Prince		Prince Moritz, Landgrave of Hesse	en	6000000031801834292		
Q63532	title	Duchess		Duchess Amalie in Bavaria	en en-ca			
Q63575	title	Prince		Prince Louis Ferdinand of Prussia	en	6000000000307252502		
Q63590	title	Prince		Prince Moritz of Saxe-Altenburg	en			
Q63593	title	Princess		Princess Maria Augusta of Saxony	en nl	6000000002188425999		
Q63597	title	Duchess		Duchess Jutta of Mecklenburg-Strelitz	en es	6000000007329600413		
Q63603	title	Princess		Princess Charlotte of Saxe-Meiningen	en	4284798184440034609		
Q63605	title	Prince		Prince Francis Xavier of Saxony	en	6000000002188436370		
Q63612	title	Duke		Duke Philipp of Württemberg	en en-ca	6000000008510291623		
Q63649	title	Count		Count Palatine Joseph Charles of Sulzbach	en en-ca nl es	6000000001390233175		
Q63653	title	Prince		Prince Alfons of Bavaria	en en-ca hu	6000000008379292586		
Q63679	title	Prince		Prince Frederick Charles of Hesse	en	6000000001366671070		
Q63813	title	Prince		Prince Friedrich Karl of Prussia	en en-ca es it	6000000002188604469		
Q63820	title	Duke		Duke George August of Mecklenburg	en	6000000003405497395		
Q63930	title	Countess		Countess Palatine Hedwig Elisabeth of Neuburg	en en-ca	6000000008258391410		
Q64193	title	Duke		Duke Friedrich Wilhelm II, Duke of Saxe-Altenburg	en	6000000001504715146		
Q64204	title	Duchess		Duchess Marie of Württemberg	en en-ca nl	6000000005599214336		
Q64207	title	Princess		Princess Magdalena Augusta of Anhalt-Zerbst	en nl	6000000002459818207		
Q64217	title	Prince		Prince Franz Wilhelm of Prussia	en			
Q64218	title	Countess		Countess Maria Louise Albertine of Leiningen-Falkenburg-Dagsburg	en	6000000001977028302		
Q64225	title	Princess		Princess Frederica Wilhelmina of Prussia	en	6000000003243593042		
Q64243	title	Duke		Duke Anthony Ulrich of Brunswick	en en-ca	6000000003421224434		
Q64251	title	Duke		Duke Albrecht II, Duke of Mecklenburg	en	6000000003858754511		
Q64412	title	Frei	Frei Otto	Frei Otto	mul en en-ca fr de nl sv da nb fi et es it pt la pl cs hu	6000000040672912821		
Q64462	title	Princess		Princess Charlotte of Saxe-Hildburghausen	en en-ca	6000000003232543518		
Q64553	title	Princess		Princess Helena of Nassau	en	6000000000899772697		
Q64613	title	Prince		Prince August of Württemberg	en en-ca es	6000000003232543558		
Q64704	title	Prince		Prince Sigismund of Prussia	en en-ca	6000000002074343520		
Q64907	title	Prince		Prince Georg Ludwig of Holstein-Gottorp	en en-ca es			
Q64921	title	Duke		Duke Pius August in Bavaria	en en-ca			
Q64956	title	Prince		Prince Arnulf of Bavaria	en en-ca es	6000000000307256699		
Q64965	title	Prince		Prince Maria Emanuel, Margrave of Meissen	en	6000000031614950133 6000000008114832398		
Q64976	title	Duke		Duke Nikolaus, Hereditary Grand Duke of Oldenburg	en	6000000003631933625		
Q65016	title	Princess		Princess Emma of Anhalt-Bernburg-Schaumburg-Hoym	en es			
Q65234	title	Princess		Princess Charlotte Sophie of Saxe-Coburg-Saalfeld	en es	6000000003375383789		
Q65293	title	Princess		Princess Antoinette of Saxe-Altenburg	en	6000000003243449909		
Q65406	title	Prince		Prince Augustus of Prussia	en en-ca nl es	6000000111030586840		
Q65509	title	Prince		Prince Albert of Saxe-Altenburg	en es	6000000002188416841		
Q65647	title	Princess		Princess Marie of Hesse-Kassel	en en-ca	6000000001547676181		
Q65680	title	Duchess		Duchess Agnes of Württemberg	en en-ca es	6000000014282651569		
Q65704	title	Duchess		Duchess Elisabeth Alexandrine of Württemberg	en es	6000000001545596804		
Q65713	title	Countess		Countess Palatine Elisabeth Auguste Sofie of Neuburg	en en-ca nl es	6000000001389913914		
Q65996	title	Prince		Prince August Ludwig I, Prince of Anhalt-Köthen	en	6000000015978180657		
Q66130	title	Prince		Prince Wilhelm, 5th Prince of Wied	en	6000000002188424848		
Q66424	title	Prince		Prince Wilhelm, Prince of Hohenzollern	en	6000000002145044196		
Q66530	title	Prince		Prince Hermann, 4th Prince of Wied	en	6000000001504551770		
Q66535	title	Princess		Princess Louise of Saxe-Hildburghausen	en	6000000000707740918		
Q66553	title	Princess		Princess Elisabeth Helene, Margravine of Meissen	en	6000000002188409264		
Q66561	title	Prince		Prince Konrad of Bavaria	en hu	6000000008106726290		
Q66589	title	Princess		Princess Elisabeth Marie of Bavaria	en	6000000004964748670		
Q66639	title	Princess		Princess Feodora of Saxe-Meiningen	en en-ca	6000000002188586024		
Q66642	title	Prince		Prince Friedrich, Prince of Hohenzollern	en	6000000008222062635		
Q66698	title	Prince		Prince Eduard of Saxe-Altenburg	en es	6000000002188399586		
Q66727	title	Princess		Princess Adelheid of Anhalt-Bernburg-Schaumburg-Hoym	en en-ca es	6000000002188444548		
Q67038	title	Prince		Prince Wolfgang of Hesse	en en-ca es	6000000001366725294		
Q67043	title	Prince	Prince Leopold I of Lippe	Leopold I, Prince of Lippe	mul			
Q67196	title	Duke		Duke Adam of Württemberg	en en-ca nl es	6000000002188502117		
Q67226	title	Duchess		Duchess Helene of Mecklenburg-Strelitz	en es			
Q67344	title	Princess		Princess Irmingard of Bavaria	en en-ca nl es	6000000003479755825		
Q67362	title	Prince		Prince Ludwig of Bavaria	en en-ca es	6000000008093504242		
Q67441	title	Princess		Princess Marie of Battenberg	en	6000000005598776711		
Q67777	title	Princess		Princess Elisabeth Sophie of Saxe-Altenburg	en	6000000001534928000		
Q67871	title	Princess		Princess Leopoldine of Baden	en es			
Q67890	title	Prince		Prince Frederick of Schaumburg-Lippe	en	6000000002927030585		
Q68034	title	Prince		Prince Paul of Thurn and Taxis	en nl es hu	6000000009792413754		
Q68089	title	Princess		Princess Pauline of Waldeck and Pyrmont	en es	6000000001504576152		
Q68270	title	Prince		Prince Wilhelm Friedrich of Wied	en	6000000000901322017		
Q68560	title	Princess		Princess Maria Christina of Saxony	en nl es	376458179730012918		
Q68771	title	Prince		Prince Josias of Coburg	en	6000000005599165234		
Q68918	title	Princess		Princess Theresa of Bavaria	en	6000000002188374256		
Q69420	title	Prince		Prince Friedrich Wilhelm, Prince of Hohenzollern	en	6000000008115635586		
Q69425	title	Duchess		Duchess Marie of Mecklenburg-Strelitz	en	6000000007329600417		
Q69465	title	Prince		Prince Heinrich of Bavaria	en es hu	6000000008107132308		
Q69655	title	Prince		Prince Johann Ernst of Saxe-Weimar	en es			
Q69916	title	Prince		Prince John August of Saxe-Gotha-Altenburg	en	6000000005599137755		
Q69929	title	Princess		Princess Maria Amalie of Saxony	en	6000000002188425924		
Q69999	title	Prince		Prince Friedrich Erdmann I, Prince of Anhalt-Köthen-Pless	en	6000000011449349457		
Q70203	title	Duke		Duke Christian Ludwig of Mecklenburg-Schwerin	en			
Q70244	title	Princess		Princess Maria Christina of Saxony	en	6000000002188450440		
Q70589	title	Prince		Prince Wilhelm of Baden	en			
Q70596	title	Count		Count Otto von Bray-Steinburg	en es	6000000004097614533		
Q70599	title	Prince		Prince Maximilian of Saxony	en	6000000002188370460		
Q70632	title	Prince		Prince Frederick of Prussia	en en-ca	323488943050002573		
Q70700	title	Countess		Countess Palatine Anna Maria of Neuburg	en nl	6000000003827359350		
Q70760	title	Prince		Prince Hubertus of Prussia	en	323484712110004248		
Q70762	title	Prince		Prince Friedrich of Prussia	en			
Q70766	title	Prinzessin	Prinzessin Friederike von Hannover	Princess Friederike, Baroness of Pawel-Rammingen	mul de			
Q70768	title	Princess		Princess Maria, Duchess of Calabria	en	6000000008093605411		
Q70771	title	Princess	Princess Marie Victoire d'Arenberg	Princess Marie Victoire d'Arenberg	mul en da nb pt	6000000013343445800		
Q70776	title	Duchess		Duchess Therese of Mecklenburg-Strelitz	en	6000000001504571422		
Q70787	title	Duchess		Duchess Sibylle of Saxe-Lauenburg	en en-ca			
Q70797	title	Prince		Prince Wittekind, Prince of Waldeck and Pyrmont	en			
Q70850	title	Princess		Princess Elisabeth of Hesse and by Rhine	en en-ca es	6000000001366540381		
Q70924	title	Duke		Duke Charles of Mecklenburg	en	6000000184844872839		
Q70932	title	Prince		Prince Wilhelm of Schaumburg-Lippe	en	6000000002188399665		
Q71062	title	Princess		Princess Ida of Saxe-Meiningen	en	6000000002188420379		
Q71109	title	Duke		Duke Georg Alexander, Duke of Mecklenburg-Strelitz	en	6000000000717487245		
Q71176	title	Prince		Prince Albert of Saxony	en	6000000008115069229		
Q71196	title	Prince		Prince Konstantin of Bavaria	en en-ca fr pt	6000000008105671271		
Q71236	title	Countess		Countess Palatine Maria Eufrosyne of Zweibrücken	en nl	6000000001340366085		
Q71440	title	Princess		Princess Amalia of Nassau-Dietz	en			
Q71680	title	Princess		Princess Sophie of Saxe-Coburg-Saalfeld	en			
Q71778	title	Prince		Prince Donatus, Landgrave of Hesse	en			
Q71931	title	Duke		Duke Clement Francis of Bavaria	en en-ca			
Q71944	title	Countess		Countess Emilie Juliane of Barby-Mühlingen	en es			
Q72431	title	Duke		Duke Louis Ernest of Brunswick-Lüneburg	en en-ca es			
Q72575	title	Duke		Duke William Frederick Philip of Württemberg	en hu	4276948620390069283		
Q72770	title	Prince		Prince Johann Georg of Hohenzollern	en en-ca es	4113919		
Q72967	title	Count		Count Karl-Wilhelm Finck von Finckenstein	en es hu	6000000018569919033		
Q73637	title	Prince		Prince Ernst Heinrich of Saxony	en es	6000000008115171242		
Q73995	title	Count		Count Karl II, Count of Hohenzollern-Sigmaringen	en			
Q74145	title	Princess		Princess Karoline Amalie of Hesse-Kassel	en nl	6000000000051746206		
Q74673	title	Countess		Countess Palatine Eleonora Catherine of Zweibrücken	en nl			
Q74754	title	Princess		Princess Luise Dorothea of Saxe-Meiningen	en nl es	6000000007356632248		
Q75112	title	Princess		Princess Alexandrine of Prussia	en	6000000000632003309		
Q75167	title	Duke		Duke Friedrich, Hereditary Duke of Württemberg	en	6000000009645766406		
Q75426	title	Lady		Lady Gabriella Windsor	en	6000000003159646194		
Q75770	title	Count		Count Palatine Wolfgang George Frederick of Neuburg	en			
Q75817	title	Prince		Prince Franz of Bavaria	en en-ca	6000000002188374136		
Q76930	title	Prince		Prince Rupert of the Rhine	en en-ca	6000000006727746848		
Q76967	title	Princess		Princess Augusta of Saxe-Gotha	en	6000000003891753089		
Q77185	title	Countess		Countess Marie Larisch von Moennich	en fi	6000000004289277725		
Q77556	title	Prince		Prince Wilhelm of Prussia	en en-ca	6000000003232528911		
Q77810	title	Princess		Princess Adelgunde, Princess of Hohenzollern	en			
Q77835	title	Countess		Countess Eleonore of Löwenstein-Wertheim-Rochefort	en	6000000009500037872		
Q77927	title	Prince		Prince Waldemar of Prussia	en	6000000005599120498		
Q77937	title	Princess		Princess Kira of Prussia	en			
Q78027	title	Duchess		Duchess Maria Elisabeth in Bavaria	en nl	6000000006283136493		
Q78223	title	Prince		Prince Ludwig I, Prince of Hohenlohe-Langenburg	en			
Q78537	title	Count		Count Karl von Stürgkh	en	6000000041717970254		
Q78567	title	Prince		Prince Aloys of Liechtenstein	en	6000000003365802887		
Q78596	title	Prince		Prince Maximilian, 1st Duke of Hohenberg	en			
Q78659	title	Prince		Prince Ernst of Hohenberg	en en-ca es			
Q78673	title	Count		Count Karl Ludwig von Ficquelmont	en nl es hu			
Q78692	title	Prince		Prince Karl, 8th Prince of Auersperg	en	6000000016478828627		
Q78741	title	Baron		Baron Max Wladimir von Beck	en es hu	6000000031558817744		
Q78770	title	Baron	Baron Anton von Doblhoff-Dier	Baron Anton von Doblhoff-Dier	mul en nl es	6000000067487329854		
Q78831	title	Count		Count Johann Bernhard von Rechberg und Rothenlöwen	en nl es	6000000016492393570		
Q78852	title	Count		Count Manfred von Clary-Aldringen	en	6000000002188468501		
Q78853	title	Prince		Prince Gottfried of Hohenlohe-Schillingsfürst	en	6000000013941255775		
Q78939	title	Baron		Baron Eligius Franz Joseph von Münch-Bellinghausen	en nl es	6000000016432226010		
Q79001	title	Count		Count Karl Ferdinand von Buol	en nl es	6000000019391624911		
Q79052	title	Count		Count Richard von Bienerth-Schmerling	en nl es hu	6000000068348426877		
Q79069	title	Count		Count Anton Alexander von Auersperg	en da	6000000024852459208		
Q79083	title	Count		Count Franz Philipp von Lamberg	en nl es	6000000016276022613		
Q79101	title	Count		Count Johann Nepomuk Wilczek	en nl es	6000000016216051342		
Q79109	title	Baron		Baron Raimund von Stillfried	en fr es	6000000010121884523		
Q80976	title	Prince		Prince Philip, Duke of Edinburgh	en en-us	6000000003075171096		
Q84971	title	Duchess		Duchess Rosa, Duchess of Württemberg	en	6000000008210960948		
Q84999	title	Count		Count Joseph Alexander Hübner	en nl es	6000000004096873613		
Q85021	title	Duchess		Duchess Maria Anna Josepha of Bavaria	en nl es	6000000000699639917		
Q85092	title	Baron		Baron Karl Ludwig von der Pfordten	en nl es it hu	6000000041537970857		
Q85457	title	Count		Count Erich Kielmansegg	en	6000000020250831835		
Q85538	title	Prince		Prince Aloys Franz de Paula Maria	en			
Q86044	title	Duchess		Duchess Helena, Hereditary Duchess of Württemberg	en	6000000008210854496		
Q86673	title	Countess		Countess Charlotte Johanna of Waldeck-Wildungen	en en-ca es			
Q86710	title	Count		Count Otto von Czernin	en nl es	6000000017428076138		
Q86732	title	Princess		Princess Rosemary of Salm-Salm	en en-ca es	6000000008440059689		
Q86984	title	Countess		Countess Palatine Christiane Henriette of Zweibrücken	en	6000000094458912000		
Q87916	title	Countess		Countess Julie von Brandenburg	en	6000000004651050727		
Q88594	title	Countess		Countess Palatine Magdalena Claudia of Zweibrücken-Birkenfeld-Bischweiler	en es	6000000005598791817		
Q88596	title	Princess		Princess Sophia Wilhelmina of Saxe-Coburg-Saalfeld	en en-ca es			
Q88851	title	Prince		Prince Henri, Count of Chambord	en			
Q89102	title	Baron		Baron Karl von Macchio	en nl	6000000059326166857		
Q89301	title	Princess		Princess Marie Auguste of Hanau und Horowitz, Gräfin von Schaumburg	en	6000000000051920253		
Q90178	title	Prince		Prince Louis of Anhalt-Köthen	en en-ca nl es	6000000014338114381		
Q91226	title	Baroness		Baroness Wilhelmine of Dörnberg	en nl es			
Q91546	title	Countess		Countess Johanna Sophia of Hohenlohe-Langenburg	en es			
Q91755	title	Countess		Countess Katharina Dorothea Finck of Finckenstein	en es	6000000000818453626		
Q91821	title	Princess		Princess Christa of Thurn and Taxis	en fr nl es hu			
Q92153	title	Duke		Duke Siegfried August in Bavaria	en en-ca nl hu	6000000002188412979		
Q92267	title	Princess		Princess Casimire of Anhalt-Dessau	en es			
Q92270	title	Princess		Princess Charlotte Wilhelmine of Saxe-Coburg-Saalfeld	en en-ca es			
Q92360	title	Duke		Duke Carl Alexander of Württemberg	en en-ca nl pl			
Q93341	title	Miles	Miles Davis	Miles Davis	mul en en-ca en-us fr de nl sv da nb fi et es it pt la pl cs hu	6000000042514521966		
Q94334	title	Queen		Queen Mathilde of Belgium	en	6000000002986377544		
Q95379	title	Princess		Princess Margareta, Princess of Sayn-Wittgenstein-Berleburg	en	6000000004237105455		
Q95587	title	Prince		Prince Franz Adolph of Anhalt-Bernburg-Schaumburg-Hoym	en nl es	6000000013539254198		
Q95596	title	Duke		Duke Frederick of Saxe-Weimar	en es	6000000001504709356		
Q95807	title	Princess		Princess Anne, Princess Ludwig of Löwenstein-Wertheim-Freudenberg	en			
Q96045	title	Prince		Prince Gustav of Thurn and Taxis	en nl es hu			
Q96046	title	Princess		Princess Hildegard Marie of Bavaria	en	6000000002188374188		
Q96058	title	Duke		Duke Karl Borwin of Mecklenburg-Strelitz	en	6000000007329600409		
Q96537	title	Princess		Princess Maria Leopoldine of Anhalt-Dessau	en es			
Q96547	title	Prince		Prince Max Emanuel of Thurn and Taxis	en es	6000000002188412287		
Q96731	title	Prince		Prince Bernhard, Margrave of Baden	en			
Q96733	title	Duchess		Duchess Woizlawa Feodora of Mecklenburg-Schwerin	en	6000000002188601796		
Q96849	title	Princess		Princess Louise of Saxe-Meiningen	en es			
Q96907	title	Prince		Prince Luitpold of Bavaria	en en-ca nl			
Q97033	title	Countess		Countess Palatine Anna Magdalena of Birkenfeld-Bischweiler	en en-ca es	6000000003827467170		
Q97063	title	Prince		Prince Friedrich Wilhelm, Landgrave of Hesse-Kassel	en			
Q98022	title	Countess		Countess Palatine Elisabeth of Simmern-Sponheim	en nl es	6000000006727778081		
Q98321	title	Countess		Countess Palatine Helena of Simmern	en en-ca nl es			
Q98517	title	Count		Count Ferdinand Edzard of East Frisia	en es			
Q98599	title	Princess		Princess Therese of Saxe-Altenburg	en	6000000002606796117		
Q98661	title	Prince		Prince Friedrich Wilhelm, 7th Prince of Wied	en			
Q98835	title	Prince		Prince Eduard, Prince of Anhalt	en			
Q100637	title	Duke		Duke Christoph in Bavaria	en	6000000002188412987		
Q100754	title	Princess		Princess Maria Theresia of Thurn and Taxis	en nl es			
Q100832	title	Baroness		Baroness Elisabeth of Wangenheim-Winterstein	en nl es			
Q101172	title	Countess		Countess Palatine Barbara of Zweibrücken-Neuburg	en en-ca nl es	6000000006727781831		
Q101354	title	Prince		Prince Franz Albrecht of Saxe-Lauenburg	en			
