qid,redirected_to,geni_id,lang,wikidata,ours,state,live_is_our_alias,wikidata_aliases
Q11959067,,6000000005607426327,zh,阿尔内·奥劳斯·夫约托夫特·加尔博格,阿尔内·奥劳斯·夫约托夫特·加尔博格,match,false,
Q12598947,,6000000186285688286,mul,Buyeo Taebi,Taebi Buyeo,differs,false,
Q12598947,,6000000186285688286,en,,Taebi Buyeo,absent_on_wikidata,false,
Q12598947,,6000000186285688286,ja,扶餘太妃,タエビ・プヨ,differs,false,
Q12598947,,6000000186285688286,zh,扶餘太妃,塔埃比·扶余,differs,false,扶餘氏
Q1340357,,6000000006645210002,mul,,Jakob Benzelius,absent_on_wikidata,false,
Q1340357,,6000000006645210002,en,Jacob Benzelius,Jakob Benzelius,differs,false,Jakob Benzelius
Q1340357,,6000000006645210002,ja,,ヤコブ・ベンゼリウス,absent_on_wikidata,false,
Q1340357,,6000000006645210002,zh,,雅科布·贝恩泽利乌斯,absent_on_wikidata,false,
Q1340404,,6000000006645331010,mul,,Eric Benzelius d.y.,absent_on_wikidata,false,
Q1340404,,6000000006645331010,en,Erik Benzelius the Younger,Eric Benzelius d.y.,differs,false,Erik Benzelius
Q1340404,,6000000006645331010,ja,,エリク・ベンゼリウス・ドイ,absent_on_wikidata,false,
Q1340404,,6000000006645331010,zh,小埃里克·本澤利烏斯,埃里克·贝恩泽利乌斯·德伊,differs,false,
Q1345250,,6000000002567020255,mul,,Petrus Königsson Kenicius,absent_on_wikidata,false,
Q1345250,,6000000002567020255,en,Petrus Kenicius,Petrus Königsson Kenicius,differs,false,
Q135513404,,6000000026092005226,en,Roland Martin,,we_have_none,false,
Q138474188,,6000000021197598122,mul,Hans Syvertsen Nyvold,Hans Syvertsen Nyvold,match,false,
Q138474188,,6000000021197598122,en,,Hans Syvertsen Nyvold,absent_on_wikidata,false,
Q138474188,,6000000021197598122,ja,ハンス・シーヴェシェン・ニーヴォル,ハンス・シーヴェシェン・ニーヴォル,match,false,
Q138474188,,6000000021197598122,zh,汉斯·西韦特森·尼沃尔,汉斯·西韦特森·尼沃尔,match,false,
Q1393227,,6000000006718066339,mul,Eva Ekeblad,Eva De la Gardie,differs,false,
Q1393227,,6000000006718066339,en,Eva Ekeblad,Eva De la Gardie,differs,false,
Q1393227,,6000000006718066339,ja,,エヴァ・デ・ラ・ガルディエ,absent_on_wikidata,false,
Q1393227,,6000000006718066339,zh,伊娃·爱克伯德,埃瓦·德·拉·加尔迪埃,differs,false,
Q141152512,,6000000003492005111,mul,Eivind Aadnesson Garborg,Eivind Aadnesson Garborg,match,false,
Q141152512,,6000000003492005111,en,Eivind Aadnesson Garborg,Eivind Aadnesson Garborg,match,false,
Q141152512,,6000000003492005111,ja,エイヴィン・オードネソン・ガルボルグ,エイヴィン・オードネソン・ガルボルグ,match,false,
Q141152512,,6000000003492005111,zh,埃温·奥德内松·加尔博格,埃温·奥德内松·加尔博格,match,false,
Q141152523,,6000000003491986946,mul,Ane Oline Jonsdatter Raugstad,Ane Oline Jonsdatter Raugstad,match,false,
Q141152523,,6000000003491986946,en,Ane Oline Jonsdatter Raugstad,Ane Oline Jonsdatter Raugstad,match,false,
Q141152523,,6000000003491986946,ja,アーネ・オリーネ・ヨンスダッテル・ラウグスタード,アーネ・オリーネ・ヨンスダッテル・ラウグスタード,match,false,
Q141152523,,6000000003491986946,zh,安内·奥利内·永斯达特·劳格斯塔,安内·奥利内·永斯达特·劳格斯塔,match,false,
Q141152600,,6000000003492005121,mul,Stena Eivindsdatter Garborg,"Stine ""Stena"" Eivindsdatter Jacobson",differs,false,
Q141152600,,6000000003492005121,en,Stena Eivindsdatter Garborg,"Stine ""Stena"" Eivindsdatter Jacobson",differs,false,
Q141152600,,6000000003492005121,ja,スティーネ・ステーナ・エイヴィンスダッテル・ガルボルグ,,we_have_none,false,
Q141152600,,6000000003492005121,zh,斯蒂内·斯泰娜·埃温斯达特·加尔博格,,we_have_none,false,
Q141152614,,6000000003492005126,mul,Jon Eivindson Garborg,Jon Eivindson Garborg,match,false,
Q141152614,,6000000003492005126,en,Jon Eivindson Garborg,Jon Eivindson Garborg,match,false,
Q141152614,,6000000003492005126,ja,ヨン・エイヴィンソン・ガルボルグ,ヨン・エイヴィンソン・ガルボルグ,match,false,
Q141152614,,6000000003492005126,zh,永·埃温松·加尔博格,永·埃温松·加尔博格,match,false,
Q141162040,,6000000003492005131,mul,Samuel Eivindsen Garborg,Samuel Eivindsen Garborg,match,false,
Q141162040,,6000000003492005131,en,Samuel Eivindsen Garborg,Samuel Eivindsen Garborg,match,false,
Q141162040,,6000000003492005131,ja,サムエル・エイヴィンセン・ガルボルグ,サムエル・エイヴィンセン・ガルボルグ,match,false,
Q141162040,,6000000003492005131,zh,萨穆埃尔·埃温森·加尔博格,萨穆埃尔·埃温森·加尔博格,match,false,
Q141162041,,6000000003492005136,mul,Even Eivindson Garborg,Even Eivindson Garborg,match,false,
Q141162041,,6000000003492005136,en,Even Eivindson Garborg,Even Eivindson Garborg,match,false,
Q141162041,,6000000003492005136,ja,エーヴェン・エイヴィンソン・ガルボルグ,エーヴェン・エイヴィンソン・ガルボルグ,match,false,
Q141162041,,6000000003492005136,zh,埃文·埃温松·加尔博格,埃文·埃温松·加尔博格,match,false,
Q141162043,,6000000003492005141,mul,Inger Marie Mary Eivindsdatter Garborg,"Inger Marie ""Mary"" Eivindsdatter Ronneberg",differs,false,
Q141162043,,6000000003492005141,en,Inger Marie Mary Eivindsdatter Garborg,"Inger Marie ""Mary"" Eivindsdatter Ronneberg",differs,false,
Q141162043,,6000000003492005141,ja,インゲル・マリー・メアリー・エイヴィンスダッテル・ガルボルグ,,we_have_none,false,
Q141162043,,6000000003492005141,zh,英厄尔·玛丽·玛丽·埃温斯达特·加尔博格,,we_have_none,false,
Q141162044,,6000000003492005146,mul,Abel Eivindsen Garborg,Abel Eivindsen Garborg,match,false,
Q141162044,,6000000003492005146,en,Abel Eivindsen Garborg,Abel Eivindsen Garborg,match,false,
Q141162044,,6000000003492005146,ja,アーベル・エイヴィンセン・ガルボルグ,アーベル・エイヴィンセン・ガルボルグ,match,false,
Q141162044,,6000000003492005146,zh,阿贝尔·埃温森·加尔博格,阿贝尔·埃温森·加尔博格,match,false,
Q141162045,,6000000003492005151,mul,Ole Eivindsen Garborg,Ole Eivindsen Garborg,match,false,
Q141162045,,6000000003492005151,en,Ole Eivindsen Garborg,Ole Eivindsen Garborg,match,false,
Q141162045,,6000000003492005151,ja,オーレ・エイヴィンセン・ガルボルグ,オーレ・エイヴィンセン・ガルボルグ,match,false,
Q141162045,,6000000003492005151,zh,奥勒·埃温森·加尔博格,奥勒·埃温森·加尔博格,match,false,
Q141162046,,6000000003492005156,mul,Ane Oline Lena Eivindsdatter Garborg,"Ane Oline ""Lena"" Eivindsdatter Tunheim",differs,false,
Q141162046,,6000000003492005156,en,Ane Oline Lena Eivindsdatter Garborg,"Ane Oline ""Lena"" Eivindsdatter Tunheim",differs,false,
Q141162046,,6000000003492005156,ja,アーネ・オリーネ・レーナ・エイヴィンスダッテル・ガルボルグ,,we_have_none,false,
Q141162046,,6000000003492005156,zh,安内·奥利内·莱娜·埃温斯达特·加尔博格,,we_have_none,false,
Q141168784,,6000000021079935250,mul,Aagot Garborg,Aagot Wendt,differs,true,Aagot Wendt
Q141168784,,6000000021079935250,en,Aagot Garborg,Aagot Wendt,differs,true,
Q141168784,,6000000021079935250,ja,オーゴット・ガルボルグ,オーゴット・ヴェント,differs,false,
Q141168784,,6000000021079935250,zh,奥高特·加尔博格,奥高特·温特,differs,false,
Q141168785,,6000000021197722738,mul,Aagot Garborg,Aagot Garborg,match,false,Aagot Nyvold
Q141168785,,6000000021197722738,en,Aagot Garborg,Aagot Garborg,match,false,
Q141168785,,6000000021197722738,ja,オーゴット・ニーヴォル,オーゴット・ガルボルグ,differs,false,
Q141168785,,6000000021197722738,zh,奥高特·尼沃尔,奥高特·加尔博格,differs,false,
Q141168786,,6000000035698611873,mul,Alice Ronneberg,Alice Ronneberg,match,false,
Q141168786,,6000000035698611873,en,Alice Ronneberg,Alice Ronneberg,match,false,
Q141168786,,6000000035698611873,ja,アリス・ロンネベルグ,アリス・ロンネベルグ,match,false,
Q141168786,,6000000035698611873,zh,艾丽丝·龙内贝格,艾丽丝·龙内贝格,match,false,
Q141168787,,6000000033774070464,mul,Alma Matilda Bring Iverson,Alma Matilda Bring Iverson,match,false,Alma Matilda Bring Iverson | Alma Matilda Tunheim
Q141168787,,6000000033774070464,en,Alma Matilda Bring Iverson,Alma Matilda Bring Iverson,match,false,Alma Matilda Tunheim
Q141168787,,6000000033774070464,ja,アルマ・マチルダ・トゥンヘイム,アルマ・マチルダ・ブリング・イーヴェション,differs,false,アルマ・マチルダ・トゥンヘイム
Q141168787,,6000000033774070464,zh,阿尔玛·玛蒂尔达·通海姆,阿尔玛·玛蒂尔达·布林·艾弗森,differs,false,阿尔玛·玛蒂尔达·通海姆
Q141168788,,6000000037693739967,mul,Arne Garborg Tunheim,Arne Garborg Tunheim,match,false,Arne Garborg Tunheim
Q141168788,,6000000037693739967,en,Arne Garborg Tunheim,Arne Garborg Tunheim,match,false,
Q141168788,,6000000037693739967,ja,アルネ・ガルボルグ・トゥンヘイム,アルネ・ガルボルグ・トゥンヘイム,match,false,
Q141168788,,6000000037693739967,zh,阿尔内·加尔博格·通海姆,阿尔内·加尔博格·通海姆,match,false,
Q141168789,,6000000035698494074,mul,Arnold Ronneberg,Arnold Ronneberg,match,false,Arnold Ronneberg
Q141168789,,6000000035698494074,en,Arnold Ronneberg,Arnold Ronneberg,match,false,
Q141168789,,6000000035698494074,ja,アルノルド・ロンネベルグ,アルノルド・ロンネベルグ,match,false,
Q141168789,,6000000035698494074,zh,阿诺德·龙内贝格,阿诺德·龙内贝格,match,false,
Q141168792,,6000000006572523374,mul,Astrid Garborg,Astrid Garborg,match,false,
Q141168792,,6000000006572523374,en,Astrid Garborg,Astrid Garborg,match,false,
Q141168792,,6000000006572523374,ja,アストリッド・ガルボルグ,アストリッド・ガルボルグ,match,false,
Q141168792,,6000000006572523374,zh,阿斯特丽德·加尔博格,阿斯特丽德·加尔博格,match,false,
Q141168794,,6000000037737979829,mul,Betsy Tunheim,Betsy Tunheim,match,false,Betsy Tunheim | Betsy Jacobson
Q141168794,,6000000037737979829,en,Betsy Tunheim,Betsy Tunheim,match,false,Betsy Jacobson
Q141168794,,6000000037737979829,ja,ベッツィ・ヤコブソン,ベッツィ・トゥンヘイム,differs,false,ベッツィ・ヤコブソン
Q141168794,,6000000037737979829,zh,贝齐·雅各布松,贝齐·通海姆,differs,false,贝齐·雅各布松
Q141168797,,6000000009126453497,mul,Christian Frederik Bergersen,Christian Frederik Bergersen,match,false,
Q141168797,,6000000009126453497,en,Christian Frederik Bergersen,Christian Frederik Bergersen,match,false,
Q141168797,,6000000009126453497,ja,クリスチャン・フレデリク・ベルゲルセン,クリスチャン・フレデリク・ベルゲルセン,match,false,
Q141168797,,6000000009126453497,zh,克里斯蒂安·弗雷德里克·贝格尔森,克里斯蒂安·弗雷德里克·贝格尔森,match,false,
Q141168801,,6000000033773908408,mul,Cora Estelle Pierson,Cora Estelle Pierson,match,false,Cora Estelle Pierson | Cora Estelle Tunheim
Q141168801,,6000000033773908408,en,Cora Estelle Pierson,Cora Estelle Pierson,match,false,Cora Estelle Tunheim
Q141168801,,6000000033773908408,ja,コーラ・エステル・トゥンヘイム,コーラ・エステル・ピアソン,differs,false,コーラ・エステル・トゥンヘイム
Q141168801,,6000000033773908408,zh,科拉·埃斯特尔·通海姆,科拉·埃斯特尔·皮尔森,differs,false,科拉·埃斯特尔·通海姆
Q141168803,,6000000021197841042,mul,Dagny Garborg,Dagny Garborg,match,false,Dagny Garborg | Dagny Nyvold
Q141168803,,6000000021197841042,en,Dagny Garborg,Dagny Garborg,match,false,Dagny Nyvold
Q141168803,,6000000021197841042,ja,ダグニー・ニーヴォル,ダグニー・ガルボルグ,differs,false,ダグニー・ニーヴォル
Q141168803,,6000000021197841042,zh,达格妮·尼沃尔,达格妮·加尔博格,differs,false,达格妮·尼沃尔
Q141168805,,6000000035698546990,mul,Edward Ronneberg,Edward Ronneberg,match,false,Edward Ronneberg
Q141168805,,6000000035698546990,en,Edward Ronneberg,Edward Ronneberg,match,false,
Q141168805,,6000000035698546990,ja,エドワード・ロンネベルグ,エドワード・ロンネベルグ,match,false,
Q141168805,,6000000035698546990,zh,爱德华·龙内贝格,爱德华·龙内贝格,match,false,
Q141168809,,6000000033773925586,mul,Edward Tunheim,Edward Tunheim,match,false,Edvard | Edward Tunheim
Q141168809,,6000000033773925586,en,Edward Tunheim,Edward Tunheim,match,false,
Q141168809,,6000000033773925586,ja,エドワード・トゥンヘイム,エドワード・トゥンヘイム,match,false,
Q141168809,,6000000033773925586,zh,爱德华·通海姆,爱德华·通海姆,match,false,
Q141168811,,6000000006570861816,mul,Eivind Garborg,Eivind Garborg,match,false,
Q141168811,,6000000006570861816,en,Eivind Garborg,Eivind Garborg,match,false,
Q141168811,,6000000006570861816,ja,エイヴィン・ガルボルグ,エイヴィン・ガルボルグ,match,false,
Q141168811,,6000000006570861816,zh,埃温·加尔博格,埃温·加尔博格,match,false,
Q141168816,,6000000003492005176,mul,Elisabet Ådnesdatter Bø,Elisabet Ådnesdatter Bø,match,false,Elisabet Bø | Elisabet Ådnesdatter Garborg
Q141168816,,6000000003492005176,en,Elisabet Ådnesdatter Bø,Elisabet Ådnesdatter Bø,match,false,Elisabet Ådnesdatter Garborg
Q141168816,,6000000003492005176,ja,エリサベート・オードネスダッテル・ガルボルグ,エリサベート・オードネスダッテル・ベー,differs,false,エリサベート・オードネスダッテル・ガルボルグ
Q141168816,,6000000003492005176,zh,伊丽莎白·奥德内斯达特·加尔博格,伊丽莎白·奥德内斯达特·贝,differs,false,伊丽莎白·奥德内斯达特·加尔博格
Q141168820,,6000000035698428095,mul,Eliza Ronneberg,Eliza Ronneberg,match,false,
Q141168820,,6000000035698428095,en,Eliza Ronneberg,Eliza Ronneberg,match,false,
Q141168820,,6000000035698428095,ja,エリザ・ロンネベルグ,エリザ・ロンネベルグ,match,false,
Q141168820,,6000000035698428095,zh,伊莱扎·龙内贝格,伊莱扎·龙内贝格,match,false,
Q141168824,,6000000035698619913,mul,Ernest Anton Ronneberg,Ernest Anton Ronneberg,match,false,Ernest Anton Ronneberg
Q141168824,,6000000035698619913,en,Ernest Anton Ronneberg,Ernest Anton Ronneberg,match,false,
Q141168824,,6000000035698619913,ja,アーネスト・アントン・ロンネベルグ,アーネスト・アントン・ロンネベルグ,match,false,
Q141168824,,6000000035698619913,zh,欧内斯特·安东·龙内贝格,欧内斯特·安东·龙内贝格,match,false,
Q141168827,,6000000005607426344,mul,Hans Eivind Garborg,Hans Eivind Garborg,match,false,Hans Eivind Garborg
Q141168827,,6000000005607426344,en,Hans Eivind Garborg,Hans Eivind Garborg,match,false,
Q141168827,,6000000005607426344,ja,ハンス・エイヴィン・ガルボルグ,ハンス・エイヴィン・ガルボルグ,match,false,
Q141168827,,6000000005607426344,zh,汉斯·埃温·加尔博格,汉斯·埃温·加尔博格,match,false,
Q141168830,,6000000006573130134,mul,Ingeborg Garborg,Ingeborg Talle,differs,true,Ingeborg Talle
Q141168830,,6000000006573130134,en,Ingeborg Garborg,Ingeborg Talle,differs,true,
Q141168830,,6000000006573130134,ja,インゲボルグ・ガルボルグ,インゲボルグ・タッレ,differs,false,
Q141168830,,6000000006573130134,zh,英厄堡·加尔博格,英厄堡·塔勒,differs,false,
Q141168833,,6000000003492005171,mul,Ingeborg Gurie Ådnesdatter Garborg,Ingeborg Gurie Ådnesdatter Garborg,match,false,Ingeborg Gurie Garborg
Q141168833,,6000000003492005171,en,Ingeborg Gurie Ådnesdatter Garborg,Ingeborg Gurie Ådnesdatter Garborg,match,false,
Q141168833,,6000000003492005171,ja,インゲボルグ・グーリエ・オードネスダッテル・ガルボルグ,インゲボルグ・グーリエ・オードネスダッテル・ガルボルグ,match,false,
Q141168833,,6000000003492005171,zh,英厄堡·古里·奥德内斯达特·加尔博格,英厄堡·古里·奥德内斯达特·加尔博格,match,false,
Q141168837,,6000000006572799149,mul,Ingebret Garborg,Ingebret Garborg,match,false,Inge
Q141168837,,6000000006572799149,en,Ingebret Garborg,Ingebret Garborg,match,false,
Q141168837,,6000000006572799149,ja,インゲブレート・ガルボルグ,インゲブレート・ガルボルグ,match,false,
Q141168837,,6000000006572799149,zh,英厄布雷特·加尔博格,英厄布雷特·加尔博格,match,false,
Q141168954,,6000000006573294012,mul,Jon Garborg,Jon Garborg,match,false,
Q141168954,,6000000006573294012,en,Jon Garborg,Jon Garborg,match,false,
Q141168954,,6000000006573294012,ja,ヨン・ガルボルグ,ヨン・ガルボルグ,match,false,
Q141168954,,6000000006573294012,zh,永·加尔博格,永·加尔博格,match,false,
Q141168955,,6000000003732742137,mul,Jon Samuelsen Raustad,Jon Samuelsen Raustad,match,false,Jon Raustad
Q141168955,,6000000003732742137,en,Jon Samuelsen Raustad,Jon Samuelsen Raustad,match,false,
Q141168955,,6000000003732742137,ja,ヨン・サムエルセン・ラウスタード,ヨン・サムエルセン・ラウスタード,match,false,
Q141168955,,6000000003732742137,zh,永·萨穆埃尔森·劳斯塔,永·萨穆埃尔森·劳斯塔,match,false,
Q141168957,,6000000003491986771,mul,Jonas Jonson Heigre,Jonas Jonson Heigre,match,false,
Q141168957,,6000000003491986771,en,Jonas Jonson Heigre,Jonas Jonson Heigre,match,false,
Q141168957,,6000000003491986771,ja,ヨナス・ヨンソン・ヘイグレ,ヨナス・ヨンソン・ヘイグレ,match,false,
Q141168957,,6000000003491986771,zh,约纳斯·永松·海格勒,约纳斯·永松·海格勒,match,false,
Q141169041,,6000000033774204088,mul,Olaf Tunheim,Olaf Tunheim,match,false,Olaf Tunheim
Q141169041,,6000000033774204088,en,Olaf Tunheim,Olaf Tunheim,match,false,
Q141169041,,6000000033774204088,ja,オーラフ・トゥンヘイム,オーラフ・トゥンヘイム,match,false,
Q141169041,,6000000033774204088,zh,奥拉夫·通海姆,奥拉夫·通海姆,match,false,
Q141169046,,6000000003491988821,mul,Samuel Jonson,Samuel Jonson,match,false,
Q141169046,,6000000003491988821,en,Samuel Jonson,Samuel Jonson,match,false,
Q141169046,,6000000003491988821,ja,サムエル・ヨンソン,サムエル・ヨンソン,match,false,
Q141169046,,6000000003491988821,zh,萨穆埃尔·永松,萨穆埃尔·永松,match,false,
Q141169062,,6000000033773881611,mul,Thoralf Tunheim,Thoralf Tunheim,match,false,Torolf Tunheim
Q141169062,,6000000033773881611,en,Thoralf Tunheim,Thoralf Tunheim,match,false,
Q141169062,,6000000033773881611,ja,トーラルフ・トゥンヘイム,トーラルフ・トゥンヘイム,match,false,
Q141169062,,6000000033773881611,zh,托拉尔夫·通海姆,托拉尔夫·通海姆,match,false,
Q141169072,,6000000003492005161,mul,Ådne Olsen Garborg,Ådne Olsen Garborg,match,false,Ådne Olsen Grøtheim
Q141169072,,6000000003492005161,en,Ådne Olsen Garborg,Ådne Olsen Garborg,match,false,Ådne Olsen Grøtheim
Q141169072,,6000000003492005161,ja,オードネ・オルセン・グレートヘイム,オードネ・オルセン・ガルボルグ,differs,false,オードネ・オルセン・グレートヘイム
Q141169072,,6000000003492005161,zh,奥德内·奥尔森·格勒特海姆,奥德内·奥尔森·加尔博格,differs,false,奥德内·奥尔森·格勒特海姆
Q141178196,,6000000003491986941,mul,Elisabet Kirstine Eriksdatter Stangeland,Elisabet Kirstine Eriksdatter Stangeland,match,false,Elisabet Kirstine Stangeland
Q141178196,,6000000003491986941,en,Elisabet Kirstine Eriksdatter Stangeland,Elisabet Kirstine Eriksdatter Stangeland,match,false,Elisabet Kirstine Stangeland
Q141178196,,6000000003491986941,ja,エリサベート・シシュティーネ・エリクスダッテル・スタンゲラン,エリサベート・シシュティーネ・エリクスダッテル・スタンゲラン,match,false,
Q141178196,,6000000003491986941,zh,伊丽莎白·谢什蒂内·埃里克斯达特·斯坦格兰,伊丽莎白·谢什蒂内·埃里克斯达特·斯坦格兰,match,false,
Q141178197,,6000000021198042859,mul,Elisabeth Nyvold,Elisabeth Nyvold,match,false,Elisabeth Johannesen
Q141178197,,6000000021198042859,en,Elisabeth Nyvold,Elisabeth Nyvold,match,false,Elisabeth Johannesen
Q141178197,,6000000021198042859,ja,エリーサベト・ヨハンネセン,エリーサベト・ニーヴォル,differs,false,
Q141178197,,6000000021198042859,zh,伊丽莎白·约翰内森,伊丽莎白·尼沃尔,differs,false,
Q141178198,,6000000003491986956,mul,Enevald Jonasson Heigre,Enevald Jonasson Heigre,match,false,
Q141178198,,6000000003491986956,en,Enevald Jonasson Heigre,Enevald Jonasson Heigre,match,false,
Q141178198,,6000000003491986956,ja,エーネヴァル・ヨナソン・ヘイグレ,エーネヴァル・ヨナソン・ヘイグレ,match,false,
Q141178198,,6000000003491986956,zh,埃内瓦尔德·约纳松·海格勒,埃内瓦尔德·约纳松·海格勒,match,false,
Q141178199,,6000000016756402733,mul,Gunder Bergersen,Gunder Bergersen,match,false,
Q141178199,,6000000016756402733,en,Gunder Bergersen,Gunder Bergersen,match,false,
Q141178199,,6000000016756402733,ja,グンデル・ベルゲルセン,グンデル・ベルゲルセン,match,false,
Q141178199,,6000000016756402733,zh,贡德尔·贝格尔森,贡德尔·贝格尔森,match,false,
Q141178200,,6000000005609534511,mul,Inger Kristoffersdatter,Inger Kristoffersdatter,match,false,
Q141178200,,6000000005609534511,en,Inger Kristoffersdatter,Inger Kristoffersdatter,match,false,
Q141178200,,6000000005609534511,ja,インゲル・クリストッフェシュダッテル,インゲル・クリストッフェシュダッテル,match,false,
Q141178200,,6000000005609534511,zh,英厄尔·克里斯托弗斯达特,英厄尔·克里斯托弗斯达特,match,false,
Q141178201,,6000000009126235990,mul,Marie Petrine Simensdatter Bergersen,Marie Petrine Simensdatter Bergersen,match,false,Marie Petrine Olsen | Marie Petrine Bergersen
Q141178201,,6000000009126235990,en,Marie Petrine Simensdatter Bergersen,Marie Petrine Simensdatter Bergersen,match,false,
Q141178201,,6000000009126235990,ja,マリー・ペトリーネ・シメンスダッテル・ベルゲルセン,マリー・ペトリーネ・シメンスダッテル・ベルゲルセン,match,false,
