qid	sv_title	anchors	anchors_in_tree	verdict	geni_id	geni_name
Q3426850	Ulla Adlerfelt	3	2	ambiguous (4)	6000000006127373805;6000000006127373894;6000000012012871640;6000000012747563514	Carl Axel Sigge  Wrede-Sparre af Sundby | Erik  Wrede-Sparre | Lovisa Augusta  Wrede-Sparre | Ulrika Sofia  Sparre af Sundby
Q5712203	Adolph von Engeström	3	3	ambiguous (5)	6000000008943488942;6000000012596988037;6000000019214373728;6000000019370801943;6000000188996009944	Adolf  Engeström | Gustaf  von Engeström | Jakob Johansson  Engeström adl von Engeström | Johan  Engeström | Maria Beata  Engeström adl von Engeström
Q6086476	Claes Rålamb (landshövding)	1	1	ambiguous (5)	6000000009441128089;6000000130756050027;6000000130756649852;6000000130756760866;6000000130756989835	Anna  Rålamb | Catharina  Rålamb | Claes Hansson  Rålamb  till Högsjögård | Ebba  Rålamb | Henrik  Rålamb
Q10511089	Gustaf af Nordin	2	2	ambiguous (5)	6000000005014895712;6000000005014895753;6000000005014895895;6000000012734302882;6000000018744972518	Catharina Helena  af Nordin | Claes Johan  af Nordin | Gustaf  af Nordin | Hedvig Hedda Charlotta  af Nordin | Margareta Elisabet  af Nordin
Q5712209	Gustaf von Engeström	3	3	ambiguous (5)	6000000008943488942;6000000012596988037;6000000019214373728;6000000019370801943;6000000188996009944	Adolf  Engeström | Gustaf  von Engeström | Jakob Johansson  Engeström adl von Engeström | Johan  Engeström | Maria Beata  Engeström adl von Engeström
Q5712215	Jacob von Engeström	3	3	ambiguous (5)	6000000008943488942;6000000012596988037;6000000019214373728;6000000019370801943;6000000188996009944	Adolf  Engeström | Gustaf  von Engeström | Jakob Johansson  Engeström adl von Engeström | Johan  Engeström | Maria Beata  Engeström adl von Engeström
Q5712237	Johan von Engeström (1743–1807)	3	3	ambiguous (5)	6000000008943488942;6000000012596988037;6000000019214373728;6000000019370801943;6000000188996009944	Adolf  Engeström | Gustaf  von Engeström | Jakob Johansson  Engeström adl von Engeström | Johan  Engeström | Maria Beata  Engeström adl von Engeström
Q16649855	Johannes Marci Bullernæsius	1	1	ambiguous (5)	6000000006590177212;6000000006590177216;6000000006590177220;6000000011528323580;6000000033654676178	Barbara Markusdotter  Bullernaesia | Johannes  Marci Bullernæsius | Nicolaus  Markusson | Nils  Schomerus | Wilhelm Marcusson  Markusson
Q1910650	Mathias Benzelstierna	1	1	ambiguous (5)	6000000008918863111;6000000008919421086;6000000008919626882;6000000008920923340;6000000010608096874	Beata Jakobina  Benzelia adl Benzelstierna nr 1628 | Eric  Bentzelstierna | Johan Jakob  Benzelius | Margaretha Jakobsdotter  Benzelia adl Benzelstierna nr 1628 | Matthias  Benzelius
Q4975813	Magdalena Rudenschöld	2	2	ambiguous (6)	6000000007673519020;6000000007673978404;6000000007673981238;6000000132286348929;6000000132287421823;6000000132290937965	Bengt  Rudenschöld | Carolina  Rudenschöld | Magdalena Charlotta  Rudenschiöld | Magdalena Charlotta  Rudenschöld | Torsten  Rudenschöld | Ulrika  Rudenschöld
Q5773273	Petrus Andreæ Grubb	1	1	ambiguous (6)	5235379264180082152;6000000007520538497;6000000007548088462;6000000009235024372;6000000009235134329;6000000011036078569	Brita  Andersdotter Grubb | Catharina  Grubb | Elisabet  Andersdotter Grubb | Ingeborg  Andersdotter Grubb | Margareta  Andersdotter Grubb | Petrus  Andersson
Q1195436	Aurore von Haxthausen	1	1	ambiguous (7)	6000000006128248590;6000000006128248606;6000000006128248622;6000000006128248638;6000000017856338219;6000000026188487746;6000000027486763222	Anna Gustava Sophia  Gyllenhaal | Carl Alexander Fredrik  Gyllenhaal | Hedvig Albertina Charlotta Johanna  Gyllenhaal | Ida Mathilda Charlotta  Gyllenhaal | Josefina Henrika Carolina Charlotta  Gyllen
Q6014711	Carl Fredric Nordenskiöld den yngre	2	2	ambiguous (7)	6000000002380189054;6000000017271134865;6000000017271857221;6000000017273483716;6000000017273598330;6000000181904418832;6000000222954271887	Anders Johan  Nordenskiöld | Carl Fredrik  Nordenskjöld   Nordenskiöld | Hedvig Juliana  Nordenskiöld | Karl Wilhelm  Nordenskiöld | Lovisa Fredrika  Nordenskiöld | Sofia Helena  Nordenskiöld | Ulrik 
Q19977123	Harald Strömfelt (död 1707)	1	1	ambiguous (7)	6000000005653788225;6000000005656680006;6000000005657228013;6000000006127651325;6000000006127651336;6000000007602857711;6000000011809154022	Anna Christina  Strömfelt | Brita  Strömfelt | Carl Philip  Strömfelt | Christian  Strömfelt | Gustaf Adolf  Strömfelt  till Strömhult | Harald  Strömfelt | Per  Strömfelt
Q5613471	Otto August Cronhielm	2	2	ambiguous (8)	6000000020706164114;6000000020866888902;6000000039428257758;6000000039428356191;6000000039428618041;6000000039428883874;6000000039430138826;6000000039442934943	Axel Fredrik  Cronhielm af Hakunge | Fredrik  Cronhielm af Hakunge | Hedvig Fredrika Gustava  Cronhielm af Hakunge | Karl Emil  Cronhielm af Hakunge | Ottiliana Carolina  Cronhielm af Hakunge | Otto A
Q5772249	Axel Johan Gripenhielm	1	1	ambiguous (9)	6000000007511906330;6000000007511906337;6000000009646553807;6000000011724949324;6000000173934964531;6000000173935334100;6000000173935972241;6000000173936390883;6000000173936409936	Anna Christina  Gripenhielm | Axel Johan  Gripenhielm | Barbro Christina  Gripenhjelm | Carl  Gripenhielm | Edmund  Gripenhielm | Edmund  Gripenhielm | Gustaf  Gripenhielm | Maria Elisabet  Gripenhiel
Q4962004	Brita Catharina Lidbeck	1	0	anchor not in tree		
Q6185468	Carl Gustaf Spens (militär)	1	0	anchor not in tree		
Q6185472	Carl Gustaf Spens (ämbetsman)	1	0	anchor not in tree		
Q5916183	Carl Johan Knös	3	0	anchor not in tree		
Q6164895	Carl Rinman	1	0	anchor not in tree		
Q6169558	Carl Schultén (1677–1730)	1	0	anchor not in tree		
Q10443915	Catharina Cederström	5	0	anchor not in tree		
Q4988599	Catharina Elisabet Grubb	1	0	anchor not in tree		
Q4991042	Charlotta Åkerhielm	3	0	anchor not in tree		
Q16595793	Charlotte Manderström	1	0	anchor not in tree		
Q19976089	David Ludvig Silfverstolpe	2	0	anchor not in tree		
Q5745634	Elias Frondin	1	0	anchor not in tree		
Q5570923	Erik Benzelstierna	3	0	anchor not in tree		
Q98545670	Fredrica Linder	1	0	anchor not in tree		
Q19977252	Fredrik Olof Widmark	1	0	anchor not in tree		
Q6219193	Georg Ulfsparre	1	0	anchor not in tree		
Q16945157	Gustaf Adolph Bruncrona	2	0	anchor not in tree		
Q16596480	Hedvig Strömfelt	1	0	anchor not in tree		
Q6003542	Henrik Johan Nauckhoff	1	0	anchor not in tree		
Q6090110	Hugo Herman von Saltza	1	0	anchor not in tree		
Q5590189	Jacob Burensköld	3	0	anchor not in tree		
Q5712230	Johan Mathias von Engeström	2	0	anchor not in tree		
Q5575588	Johan Ture Bielke	1	0	anchor not in tree		
Q552374	Johannes Steuchius	2	0	anchor not in tree		
Q16649271	Jonas Genberg	1	0	anchor not in tree		
Q5903874	Lars Fredrik von Kaulbars	1	0	anchor not in tree		
Q6188840	Magnus Stenbock (1763–1822)	3	0	anchor not in tree		
Q19822796	Mårten Kalling	2	0	anchor not in tree		
Q16650392	Nicolaus Sternell	1	0	anchor not in tree		
Q5855920	Odert Reinhold von Essen den yngre	3	0	anchor not in tree		
Q5605664	Pehr Gustaf Cederschjöld	2	0	anchor not in tree		
Q5754056	Peter Niklas von Gedda	1	0	anchor not in tree		
Q4992745	Rutger Macklean	3	0	anchor not in tree		
Q19721216	Salomon Jakob Gyllenadler	1	0	anchor not in tree		
Q6169398	Samuel Schröderstierna	1	0	anchor not in tree		
Q19976772	Simon Melander	1	0	anchor not in tree		
Q450795	Sophie von Knorring	1	0	anchor not in tree		
Q5589959	Sven Bunge	1	0	anchor not in tree		
Q16596096	Hedda Piper	6	6	rejected: given name hedda vs hedvig	6000000003577683616	Hedvig Catharina  Ekeblad
Q4959104	Hedvig Amalia Charlotta Klinckowström	6	1	rejected: given name hedvig vs sigrid	386743189540005666	Sigrid Margareta Charlotta  Fleming af Liebelitz
Q6206413	Jacob Nils Tersmeden	4	4	rejected: given name jacob vs jakob	6000000019549923176	Jakob Nils  Tersmeden
Q19006898	Magdalena Margareta Stenbock	2	1	rejected: given name magdalena vs fredrika	6000000006127496801	Fredrika Eleonora Gustafsdotter  Stenbock
Q19860753	Hans Fredrik Harald Strömfelt	3	2	rejected: sex M vs F	6000000006127651565	Brita Lovisa  Strömfelt
Q5918044	Olof Kolmodin den yngre	3	3	rejected: sex M vs F	6000000031547965171	Johanna Helena  Dahl
Q6230749	Lars Wallenstedt	2	1	single-anchor	6000000006719391025	Lars  Wallius Wallenstedt
Q6238796	Olof Wexionius	1	1	single-anchor	6000000010694226731	Olof Olofsson  Wexionius
Q6003576	Samuel Nauclér	1	1	single-anchor	6000000042391604192	Samuel  Nauclerus
