qid,mul_value,duplicate_langs,live_en,live_mul
Q98967461,Isabel Bendysshe,en nl,Isabel|Elizabeth Bendysshe,
Q98967470,Isabel Fraunceys,nl,"Isabel Fraunceys (Francis|Frauncis), Heiress of Giffords Hall",
Q98967474,"Matilda Cooke, of Lavenham",en nl,"Matilda|Maud Cooke, of Lavenham",
Q98967515,Hugh Fraunceys,nl,"Sir Hugh Fraunceys (Frauncis|Francis), of Giffords Hall & Wickenbrook",
Q98971057,"Mary Douglas, of Parkhead",en nl,"Mary|Elizabeth|Mariot|Marion Douglas, of Parkhead",
Q99021436,Agnes Launcelyn,en nl,Agnes|Jane Launcelyn,
Q99022881,Margaret Pert,en nl,Margaret|Joanna Pert,
Q99023088,Joan de Stainton,en nl,Joan|Juliana de Stainton,
Q99066584,Elsbeth ferch Thomas ap Watkin Vaughan,en nl,Elsbeth|Elizabeth ferch Thomas ap Watkin Vaughan,
Q99067235,Elisabeth Wogan,en nl,Elisabeth|Elsbeth Wogan,
Q99067261,Elinor Whitney,en nl,Elinor|Eleanor Whitney,
Q99067844,"Jenet ferch Jenkin Horton, of Llandoch",en nl,"Jenet|Elinor ferch Jenkin Horton, of Llandoch",
Q99068149,Matilda Dennis,en nl,Matilda|Janet? Dennis,
Q99069983,Maud Bostock,en nl,Maud|Alice Bostock,
Q99070448,Eleanor Puleston,en nl,Eleanor|Elen Puleston,
Q99072547,Generys ferch Gruffudd ab Owain ap Bleddyn,en nl,Generys|Angharad ferch Gruffudd ab Owain ap Bleddyn,
Q99082377,Gwenhwyfar verch Adda Gôch ab Ieuaf ab Adda ab Awr of Trevor,en nl,Gwenhwyfar|Gwenllian verch Adda Gôch ab Ieuaf ab Adda ab Awr of Trevor,
Q99084357,Gwenthellean Talbot,en nl,Gwenthellean|Gwenllian Talbot,
Q99085454,Philip Wiriot,en nl,Philip|Wilcock Wiriot,
Q99091059,Margaret Stephenson (FitzStephen),en,Margaret|Mary Stephenson (FitzStephen),
Q99100433,"Roger Debden, of Brampton, Suffolk",en nl,"Roger|Robert Debden, of Brampton, Suffolk",
Q99100463,Margaret Doreward,en nl,Margaret Doreward|Durward,
Q99100470,"William Doreward, of Doreward, Essex",en nl,"William|Richard|Roger Doreward, of Doreward, Essex",
Q99100477,Margaret Arsic (Harsicke),en,Margaret|Joan Arsic (Harsicke),
Q99154226,Margaret,en nl,Margaret|?Katherine,
Q99171615,Gerard Sothill,nl,"Sir Gerard Sothill (Soothill|Southill), of Redbourne",
Q99175334,Margaret Power,en,Margaret Power (Poher|Poer),
Q99175351,Henry Kynaston,en,Henry Kynaston (Kniveton|Kingston),
Q99177445,Joan Newdigate,en nl,Joan|Margaret Newdigate,
Q99177589,Robert Wilford (Wilsford),en,Robert|Thomas(?) Wilford (Wilsford),
Q99177624,Margaret Heckstall,en,Margaret Heckstall (Hikstall|Hexstall),
Q99183331,Margaret de Bromhall (Bramhall),en,Margaret|Cicely de Bromhall (Bramhall),
Q99186837,"Mary Carew, of Beddington",en nl,"Mary|Mercy Carew, of Beddington",
Q99199164,Margery,en nl,Margery|Margaret,
Q99204339,Margaret Billingford,en nl,Margaret|Margery Billingford,
Q99204564,Catherine Abarrow,en,Catherine Abarrow (or Barrow|Abarough),
Q99204570,"George Tourney, of Motcombe",en nl,"George|John Tourney, of Motcombe",
Q99204581,Jane,en nl,Jane|Joan,
Q99208467,Margaret Kemeys,en nl,Margaret|Margred Kemeys,
Q99208871,Isabel,en nl,Isabel|Elizabeth,
Q99210266,Niklaus von Diesbach,en nl,Niklaus|Claus von Diesbach,
Q99210288,Johanna von Mömpelgard,en nl,Johanna|Jonatha von Mömpelgard,
Q99210290,Veronika von Hunwyl (Hunwill),en,Veronika|Vérène von Hunwyl (Hunwill),
Q99210308,Marguerite Bugniet,en nl,Marguerite|Magdalena Bugniet,
Q99210313,Nikolaus Buginet,en nl,Nikolaus|Nikod Buginet,
Q99210418,Niclaus von Wattenwyl,en nl,Niclaus|Niklaus von Wattenwyl,
Q99210452,Henman von Rüssegg,en nl,Henman|Hans von Rüssegg,
Q99210457,Elisabeth von Rinach (Reinach),en,Elisabeth|Anna von Rinach (Reinach),
Q99211407,"Joan Stanhope, of Shelford",en nl,"Joan|Elizabeth Stanhope, of Shelford",
Q99211427,Jane Beler,en nl,Jane|Joan Beler,
Q99211430,"Francis Clarke, of Whissendine",en nl,"Francis|John Clarke, of Whissendine",
Q99211460,"Jenkin ap John ap Henry Kemeys, of Began",en nl,"Jenkin|John ap John ap Henry Kemeys, of Began",
Q99211462,Crisli ferch Morgan ap Llywelyn ab Ifor of Tredegar,en nl,Crisli|Elizabeth ferch Morgan ap Llywelyn ab Ifor of Tredegar,
Q99211514,Angell Dunn,en,Sir Angell Dunn (Donne|Downe),
Q99211664,Jenkin ap Henry ap Meurig Kemys/Kemeys,en nl,Jenkin|John ap Henry ap Meurig Kemys/Kemeys,
Q99211667,Henry ap Meurig Kemys,en nl,Henry ap Meurig Kemys|Kemeys,
Q99211669,Meurig Kemys,en nl,Meurig Kemys|Kemeys,
Q99239037,Alswn Malephant,en nl,Alswn|Alice Malephant,
Q99239118,Margaret Fleming,en nl,Margaret|Margred Fleming,
Q99240361,Judith Bosom,en,Judith|Godith Bosom (Bozon|Bosun),
