qid,mul_value,duplicate_langs,live_en,live_mul
Q107211784,Umarg Herr van Waldenburg,en nl,"Umarg|Amarg, Herr van Waldenburg",
Q107211806,"Willeburgis von Querfurt, Burggräfin von Magdeburg",en nl,"Willeburgis|Wilibirg von Querfurt, Burggräfin von Magdeburg",
Q107212014,Aechte van Steenhuys Pieter Nevendr.,en nl,Aechte|Petronella van Steenhuys Pieter Nevendr.,Aechte|Petronella van Steenhuys Pieter Nevendr.
Q107212020,Willem van der Burch,en nl,Willem|Jan van der Burch,Willem|Jan van der Burch
Q107275154,Cecily Bussey (Bussy),en,Cecily|Cicely Bussey (Bussy),
Q107275174,"Ann Vavasour, of Hazlewood",en nl,"Ann|Katherine Vavasour, of Hazlewood","Ann|Katherine Vavasour, of Hazlewood"
Q107275715,Alice Wasteneys,en nl,Alice|Sibil Wasteneys,Alice|Sibil Wasteneys
Q107275841,Hugh de Corona,en nl,Hugh|Thomas de Corona,Hugh|Thomas de Corona
Q107275933,Isabel Bellew,en nl,Isabel|Sibyl Bellew,Isabel|Sibyl Bellew
Q107276673,"Margaret Cheyne (Cheney), of Pinhoe",en nl,"Margaret|Alianor Cheyne (Cheney), of Pinhoe","Margaret|Alianor Cheyne (Cheney), of Pinhoe"
Q107276761,"William Baskett, of Dewlish",en nl,"William|Thomas Baskett, of Dewlish","William|Thomas Baskett, of Dewlish"
Q107276770,"Margaret Fitzjames, of Redlynch",en nl,"Margaret|Mary Fitzjames, of Redlynch","Margaret|Mary Fitzjames, of Redlynch"
Q107276777,Margaret Brockman,en nl,Margaret|Margery Brockman,Margaret|Margery Brockman
Q107276944,"Thomas Hody (Huddy), of Kington Magna",en nl,"Thomas|John Hody (Huddy), of Kington Magna","Thomas|John Hody (Huddy), of Kington Magna"
Q107277197,"Godfrey Lyffe, of Currypool (Corypole)",en nl,"Godfrey|Geoffrey Lyffe, of Currypool (Corypole)","Godfrey|Geoffrey Lyffe, of Currypool (Corypole)"
Q107278685,Margery Cralle,en nl,Margery|Margaret Cralle,Margery|Margaret Cralle
Q107278784,Beatrix Wesse (West),en,Beatrix|Bridget Wesse (West),
Q107278888,Margaret Kene (Kyme),en,Margaret|Bridget Kene (Kyme),
Q107278907,Isabel Bellingham,en nl,Isabel|Katherine Bellingham,Isabel|Katherine Bellingham
Q107278915,"Margaret Redmayne (Redman), of Harewood",en nl,"Margaret|Elizabeth Redmayne (Redman), of Harewood","Margaret|Elizabeth Redmayne (Redman), of Harewood"
Q107278956,Anne Fincham,en nl,Anne|Alice Fincham,Anne|Alice Fincham
Q107279030,Anne Sidney,en nl,Anne|Mary Sidney,Anne|Mary Sidney
Q107279089,John Metcalfe,en nl,John|Thomas Metcalfe,John|Thomas Metcalfe
Q107305290,Maret Molkenbur,en nl,Maret|Maarja Molkenbur,Maret|Maarja Molkenbur
Q108180006,"Joan Oteley (Ottley), of Pitchford",en nl,"Joan|Jane Oteley (Ottley), of Pitchford","Joan|Jane Oteley (Ottley), of Pitchford"
Q108180013,"Alice Corbet, of Lee (Leigh)",en nl,"Alice|Elizabeth Corbet, of Lee (Leigh)","Alice|Elizabeth Corbet, of Lee (Leigh)"
Q108187134,Mary Monson,en nl,Mary|Margery Monson,Mary|Margery Monson
Q108306212,Susan Rogers (or Rodgers),en,Susan|Elizabeth Rogers (or Rodgers),
Q108306320,Joanna Cokrel (Cockrell),en,Joanna|Joan|Juliana Cokrel (Cockrell),
Q108306323,"John Cusse, of Broughton Gifford",en nl,"John|William Cusse, of Broughton Gifford","John|William Cusse, of Broughton Gifford"
Q108306344,Eleanor Crooke,en nl,Eleanor|Helen Crooke,Eleanor|Helen Crooke
Q108409338,Caroline Levy,en nl,Caroline|Charlotte Levy,Caroline|Charlotte Levy
Q108409369,Merry Botellho,en nl,Merry|Mery Botellho,Merry|Mery Botellho
Q108409370,Pedro Botellho,en nl,Pedro|Pieter Botellho,Pedro|Pieter Botellho
Q108409413,Per Persson,en nl,Per|Pehr Persson,Per|Pehr Persson
Q108409417,Louisa Olofsdotter,en nl,Louisa|Lovisa Olofsdotter,Louisa|Lovisa Olofsdotter
Q108409559,Agatha Burghuysen,en nl,Agatha|Agien Burghuysen,Agatha|Agien Burghuysen
Q108409628,Jose Botellho,en nl,Jose|Joze Botellho,Jose|Joze Botellho
Q108409630,Magretha Jones,en nl,Magretha|Margretha Jones,Magretha|Margretha Jones
Q108409792,Anne Françoise Galmiche,en nl,Anne|Jeanne Françoise Galmiche,Anne|Jeanne Françoise Galmiche
Q108409801,Dominique Richard,en nl,Dominique|Demenge Richard,Dominique|Demenge Richard
Q108431724,Giovanna de Lannoy,en nl,Giovanna|Caterina de Lannoy,Giovanna|Caterina de Lannoy
Q108432327,"Jolande de Barbancon, Dame de Montigny-le-Christophe",en nl,"Jolande|Yolande de Barbancon, Dame de Montigny-le-Christophe",
Q108654755,Domna Iakovlevna Toloshanova,en nl,noble Domna|Daria Iakovlevna Toloshanova,
Q108683868,"John Bowles (Bowlay), of Penhow",en nl,"John|Jenkin Bowles (Bowlay), of Penhow","John|Jenkin Bowles (Bowlay), of Penhow"
Q108734092,"Milles Baron de Chandieu, Seigneur de Poules",en nl,"Milles|Gui, Baron de Chandieu, Seigneur de Poules","Milles|Gui, Baron de Chandieu, Seigneur de Poules"
Q108734168,Anne de Goumoëns,en nl,Anne|Claudinee de Goumoëns,Anne|Claudinee de Goumoëns
Q108742386,Hugues de Bertonde,en nl,Hugues|Himbert de Bertonde,Hugues|Himbert de Bertonde
Q108743240,Léger Mestrezat,en nl,Léger|Lezer Mestrezat,Léger|Lezer Mestrezat
Q108840453,Sir Adrian Molines (Molyns),en,Sir Adrian|Richard Molines (Molyns),
Q108840457,"Anne Colpeper, of Bedsbury (Bedgebury)",en nl,"Anne|Jane Colpeper, of Bedsbury (Bedgebury)","Anne|Jane Colpeper, of Bedsbury (Bedgebury)"
Q108840659,Guntram Schenk zu Schweinsberg,en nl,Guntram|Güntheram Schenk zu Schweinsberg,Guntram|Güntheram Schenk zu Schweinsberg
Q108840662,Hermann Schenck von Schweinsberg,en nl,Hermann|Mengot Schenck von Schweinsberg,Hermann|Mengot Schenck von Schweinsberg
Q108840664,Luckard von Merlau gen. Böhm,en nl,Luckard|Lucia von Merlau gen. Böhm,Luckard|Lucia von Merlau gen. Böhm
Q108840666,Agnes von Virmond,en nl,Agnes|Nese von Virmond,Agnes|Nese von Virmond
Q108840667,Ambrosius von Viermynne (Virmond),en,Ambrosius|Brosecke von Viermynne (Virmond),
Q108840671,Else Wais von Fauerbach,en nl,Else|Ilse Wais von Fauerbach,Else|Ilse Wais von Fauerbach
Q108840690,Weiprecht von Wolfskehl,en nl,Weiprecht|Eberhard von Wolfskehl,Weiprecht|Eberhard von Wolfskehl
Q108840708,Reinhard von Schönrade,en nl,Reinhard|Reiner von Schönrade,Reinhard|Reiner von Schönrade
Q108840716,"Johannes gen. Junghans von Dörnberg (Döringenberg), auf Frankenhausen",en nl,"Johannes|Hans gen. Junghans von Dörnberg (Döringenberg), auf Frankenhausen","Johannes|Hans gen. Junghans von Dörnberg (Döringenberg), auf Frankenhausen"
Q108841404,Ida A. Nordstrom,en nl,Ida A. Nordstrom|Peterson,Ida A. Nordstrom|Peterson
Q108844603,Ellen Vincent,en nl,Ellen|Eleanor Vincent,Ellen|Eleanor Vincent
Q108912561,Helen Conyers,en nl,Helen|Eleanor Conyers,Helen|Eleanor Conyers
Q108912855,Joan Sharpe,en nl,Joan|Cecily Sharpe,Joan|Cecily Sharpe
Q108912859,Joan Ffarington,en nl,Joan|Janet Ffarington,Joan|Janet Ffarington
Q108912865,"Isabel Langton, of Newton",en nl,"Isabel|Elizabeth Langton, of Newton","Isabel|Elizabeth Langton, of Newton"
Q108912911,Anne Scarisbrick,en nl,Anne|Mary Scarisbrick,Anne|Mary Scarisbrick
Q108912950,Maria Lanston,en nl,Maria Lanston|Langton,Maria Lanston|Langton
Q109010964,"Madeleine de Vendôme, Dame d'Illiers",en nl,"Madeleine|Jeanne de Vendôme, Dame d'Illiers",
Q109533594,Elisabeth von Walsee,en nl,Elisabeth|Elspeth|Jelna von Walsee,
Q109533826,Hans von Rammingen,en nl,Hans|Johann von Rammingen,Hans|Johann von Rammingen
Q109807804,Gast von Polenz,en nl,Gast|Just von Polenz,
Q109807834,Anna von Hirschfeld (Hirsfelt) a.d.H. Otterwisch,en,Anna|Jutta von Hirschfeld (Hirsfelt) a.d.H. Otterwisch,
Q109808001,Beatrijs van Duffel,en nl,Beatrijs|Béatrice van Duffel,Beatrijs|Béatrice van Duffel
Q109808012,Théodora de Cocq (Cock van Opynen) de Brueckom,en,Théodora|Thierrette de Cocq (Cock van Opynen) de Brueckom,
Q109808168,"Hildegond von Hessen zu Diersfordt, Vrouwe van Diersfort",en nl,"Hildegond|Hildegarde von Hessen zu Diersfordt, Vrouwe van Diersfort","Hildegond|Hildegarde von Hessen zu Diersfordt, Vrouwe van Diersfort"
Q109808223,Maria von Oer zu Geist,en nl,Maria|Anna von Oer zu Geist,Maria|Anna von Oer zu Geist
Q109808400,"Cunegonde de Juppleu (Zuppleau), Heiress of Herlemont",en nl,"Cunegonde|Kunigunde de Juppleu (Zuppleau), Heiress of Herlemont","Cunegonde|Kunigunde de Juppleu (Zuppleau), Heiress of Herlemont"
Q109835751,Andreas 'Berneck' Holter,en nl,Andreas 'Berneck' Holter|Holtte,
Q109835762,Ellen Jorgensdatter Daa,en nl,Ellen|Lene Jorgensdatter Daa,
Q109835998,Arsle,en nl,Arsle|Ursula,Arsle|Ursula
Q109852878,Margaret Bradfield,en nl,Margaret|Alice Bradfield,Margaret|Alice Bradfield
Q109852882,"John Newport, of Pelham, Herts",en nl,"John|James Newport, of Pelham, Herts","John|James Newport, of Pelham, Herts"
Q109852883,Margaret Crawley,en nl,Margaret|Margery Crawley,Margaret|Margery Crawley
Q109852954,Katherine de Drayton,en nl,Katherine|Catherine de Drayton,Katherine|Catherine de Drayton
Q109852969,Julian de Bockland,en nl,Julian|Juliana de Bockland,Julian|Juliana de Bockland
Q110066771,"Arnold St.Leger, of Ulcombe",en nl,"Arnold|Ralph St.Leger, of Ulcombe",
Q110066993,NN Mary Verney,en,NN (Mary|Elizabeth) Verney,
Q110067007,Nicholas Waring,en nl,Nicholas|Francis Waring,Nicholas|Francis Waring
Q110067036,Jane Dale,en nl,Jane|Joanna Dale,Jane|Joanna Dale
Q110067101,Isabella Lee,en,Isabella|Sibell Lee (Leigh|Legh),
Q110067314,John Dale,en nl,John|Thomas Dale,John|Thomas Dale
Q110067354,"Jane Hill, of Buntingdale, Salop",en nl,"Jane|Joan Hill, of Buntingdale, Salop","Jane|Joan Hill, of Buntingdale, Salop"
Q110067497,Margaret Bromley,en nl,Margaret|Mary Bromley,Margaret|Mary Bromley
Q110067505,Margaret Hewet,nl,"Margaret Hewet (Hewett|Hewit), of Walsall","Margaret Hewet (Hewett|Hewit), of Walsall"
Q110067684,Randle ap Iorwerth Gôch ab Ednyfed ap Madog Broughton,en nl,Randle|Raff ap Iorwerth Gôch ab Ednyfed ap Madog Broughton,Randle|Raff ap Iorwerth Gôch ab Ednyfed ap Madog Broughton
Q110067686,"Alice Brereton, of Malpas",en nl,"Alice|Alswn Brereton, of Malpas","Alice|Alswn Brereton, of Malpas"
Q110067764,Teili ferch Ieuan ap Madog Cyffin ap Madog Gôch of Meol Iwrch,en nl,Teili|Deilu ferch Ieuan ap Madog Cyffin ap Madog Gôch of Meol Iwrch,Teili|Deilu ferch Ieuan ap Madog Cyffin ap Madog Gôch of Meol Iwrch
Q110067821,Margred ferch Robin ap Gruffudd ap Madog Pado ab Ednyfed Gôch ap Cynwrig,en nl,Margred|Angharad ferch Robin ap Gruffudd ap Madog Pado ab Ednyfed Gôch ap Cynwrig,Margred|Angharad ferch Robin ap Gruffudd ap Madog Pado ab Ednyfed Gôch ap Cynwrig
Q110103734,"Bitter II von Raesfeld, Herr zu Ostendorf",en nl,"Bitter|Ritter II von Raesfeld, Herr zu Ostendorf","Bitter|Ritter II von Raesfeld, Herr zu Ostendorf"
Q110110520,Benedicta zu Solms-Burgsolms,en,Benedicta|Ponzetta zu Solms-Burgsolms,
Q110151258,Freiin Katharina von Sowinecz,en nl,Freiin Katharina|Helena von Sowinecz,
Q110152321,Ludolph von Münchhausen,en nl,Ludolph|Ludolphus von Münchhausen,Ludolph|Ludolphus von Münchhausen
Q110152324,Johannes von Münchhausen,en nl,Johannes|Ioannes von Münchhausen,Johannes|Ioannes von Münchhausen
Q110152375,Eberhard von Brandenstein auf Oppurg,en nl,Eberhard|Jobst von Brandenstein auf Oppurg,Eberhard|Jobst von Brandenstein auf Oppurg
Q110152399,Berta,en nl,Berta|Bertha,Berta|Bertha
Q110152441,Wolf II Pogwisch,en nl,Wolf|Volf II Pogwisch,Wolf|Volf II Pogwisch
Q110152447,"Heinrich von Rantzau in Dame, Herr von Salzau, Neuhaus & Bülk",en nl,"Heinrich|Henrik von Rantzau in Dame, Herr von Salzau, Neuhaus & Bülk","Heinrich|Henrik von Rantzau in Dame, Herr von Salzau, Neuhaus & Bülk"
Q110152483,Anna von der Lühe,en nl,Anna|Ilsabe von der Lühe,Anna|Ilsabe von der Lühe
Q110152597,Bartholomeus von Apfaltern,en nl,Bartholomeus|Kaspar von Apfaltern,
Q110152661,Dorothea von Waldburg,en nl,Dorothea|Johanna von Waldburg,
Q110152808,Helena von Albersdorf (Altersdorff),en,Helena|Helene von Albersdorf (Altersdorff),
Q110153421,Vilém z Zierotin,en nl,Vilém|Wilhelm z Zierotin,
Q110153465,Jeanne de Halewyn,en nl,Jeanne|Agnes de Halewyn,Jeanne|Agnes de Halewyn
Q110153494,Caspar I von Promnitz in Lessendorf,en nl,Caspar|Kaspar I von Promnitz in Lessendorf,Caspar|Kaspar I von Promnitz in Lessendorf
Q110153560,"Anseau de Joinville, Seigneur de Bonney",en nl,"Anseau|André de Joinville, Seigneur de Bonney","Anseau|André de Joinville, Seigneur de Bonney"
Q110153946,"Graf Johann von Lupfen, Landgraf von Stühlingen",en nl,"Graf Johann|Hans von Lupfen, Landgraf von Stühlingen",
Q110154000,Johann IV von Eberstorf,en nl,Johann IV|Hanns von Eberstorf,
Q110154005,Ehrentraub von Puchheim,en nl,Ehrentraub|Ehrentrudis von Puchheim,
Q110154028,Hinko Herr von Wrbna auf Maidelberg,en nl,"Hinko|Heinrich, Herr von Wrbna auf Maidelberg",
Q110154082,Margery von Detsch-Neukirch,en nl,Margery|Heyda von Detsch-Neukirch,
Q110154112,"Hans von Pottendorf, Herr zu Feistritz",en nl,"Hans|Johann von Pottendorf, Herr zu Feistritz",
Q110154117,Elisabeth von Walsee,en nl,Elisabeth|Elsbeth von Walsee,
Q110154466,"Heinrich von Brandenstein auf Oppurg, Herr auf Oppurg",en nl,"Heinrich|Albrecht von Brandenstein auf Oppurg, Herr auf Oppurg","Heinrich|Albrecht von Brandenstein auf Oppurg, Herr auf Oppurg"
Q110154472,Margarethe von Kauffungen,en nl,Margarethe|Marta|Martha von Kauffungen,Margarethe|Marta|Martha von Kauffungen
Q110154484,Dietrich von Münchhausen,en nl,Dietrich|Ditericus von Münchhausen,Dietrich|Ditericus von Münchhausen
Q110154602,Ludwig VI von Wangenheim,en nl,Ludwig|Lutz VI von Wangenheim,Ludwig|Lutz VI von Wangenheim
Q110154604,Margarethe von Schönberg,en nl,Margarethe|Elisabeth von Schönberg,
Q110154760,Gräfin Valpurga Slikova z Pasoun (von Schlick),en,Gräfin Valpurga|Walpurgis Slikova z Pasoun (von Schlick),
Q110248869,Jane Norton,en nl,Jane|Joan Norton,Jane|Joan Norton
Q110261762,Richard XII (XIII) von Daun,en,Richard|Rikart XII (XIII) von Daun,
Q110268777,"Catherine Goodwin, of Winchendon",en nl,"Catherine|Mary Goodwin, of Winchendon","Catherine|Mary Goodwin, of Winchendon"
Q110278697,Margaret Garnon,en,Margaret Garnon (Gamond|Gernon),Margaret Garnon (Gamond|Gernon)
Q110278698,Anne Fermor (Farmer),en,Anne|Amy Fermor (Farmer),Anne|Amy Fermor (Farmer)
Q110278713,Jane Raleigh,en,Jane|Joan Raleigh,Jane|Joan Raleigh
Q110278717,Joan Paronte,en,Joan Paronte (Punt|Pounte|Pound),Joan Paronte (Punt|Pounte|Pound)
Q110290088,Agnes Curzon,en,Agnes|Anne Curzon,Agnes|Anne Curzon
Q110290406,Roger Holland,en,Roger|Robin Holland,Roger|Robin Holland
Q110302825,Trond Sigundson,en nl,Trond Sigundson|Elgenbriktson,Trond Sigundson|Elgenbriktson
Q110303496,Else von Fersen,en nl,Else|Elisabeth|Gerdruta|Kerttu von Fersen,Else|Elisabeth|Gerdruta|Kerttu von Fersen
Q110313619,"Gyrild Bengtsdotter, heiress of Heggetorp",en nl,"Gyrild|Gyrith Bengtsdotter, heiress of Heggetorp","Gyrild|Gyrith Bengtsdotter, heiress of Heggetorp"
Q110313930,Adriane de Halewyn,en nl,Adriane|Anne de Halewyn,
Q110314401,Katherine Leeke,en nl,Katherine|Catherine Leeke,Katherine|Catherine Leeke
Q110315105,Marguerite de Bruyères,en nl,Marguerite|Béatrix de Bruyères,
Q110315246,Sébille d'Aulnays,en nl,Sébille|Clémence d'Aulnays,Sébille|Clémence d'Aulnays
Q110315413,"Sir Hamon Whichcote, of Harpswell",en nl,"Sir Hamon|Hammon Whichcote, of Harpswell","Sir Hamon|Hammon Whichcote, of Harpswell"
Q110315489,Alice Snawsell,en nl,Alice|Isabel Snawsell,Alice|Isabel Snawsell
Q110315534,"Robert Hingeston (Hyndeston), of Wonwell, Devon",en nl,"Robert|William Hingeston (Hyndeston), of Wonwell, Devon","Robert|William Hingeston (Hyndeston), of Wonwell, Devon"
Q110315584,Agnes Hollacombe,en,Agnes Hollacombe (Hallacombe|Holcombe),
Q110315679,"Sir Adam Esse, of Thewborough",en nl,"Sir Adam|Alan Esse, of Thewborough","Sir Adam|Alan Esse, of Thewborough"
Q110315689,Reginold FitzNichol,en nl,Reginold|Reginald FitzNichol,Reginold|Reginald FitzNichol
Q110315691,Jone,en nl,Jone|Joanna,Jone|Joanna
Q110315692,Margaret,en nl,Margaret|Margery,Margaret|Margery
Q110315706,Thomasin Cruse (Cruuwys),en,Thomasin|Thomasine Cruse (Cruuwys),
Q110315749,William Hingeston,en,William Hingeston (Henston|Hyndeston),
Q110315763,Anne Holway,en nl,Anne|Joanna Holway,Anne|Joanna Holway
Q110315775,Elinor Reynell,en nl,Elinor|Joan|Jane Reynell,Elinor|Joan|Jane Reynell
Q110316045,Alice Stukeley,en,Alice Stukeley (Stuckley|Stucley),
Q110324663,Conrad Hofmeister,en nl,Conrad Hofmeister|Kornmann,Conrad Hofmeister|Kornmann
Q110324807,"Börries von Münchhausen, Herr von Apelern",en nl,"Börries|Liborius von Münchhausen, Herr von Apelern","Börries|Liborius von Münchhausen, Herr von Apelern"
Q110324873,Statius III von Münchhausen,en nl,Statius|Iustatius III von Münchhausen,Statius|Iustatius III von Münchhausen
Q110324994,"Kurt von Viermynne (Virmond), Pfandherr zu Medebach",en nl,"Kurt|Konrad von Viermynne (Virmond), Pfandherr zu Medebach","Kurt|Konrad von Viermynne (Virmond), Pfandherr zu Medebach"
Q110325426,Mechtild von Mandelsloh,en nl,Mechtild|Elisabeth von Mandelsloh,Mechtild|Elisabeth von Mandelsloh
Q110325528,Beate von Löser a.d.H. Pretzsch,en nl,Beate|Agnes von Löser a.d.H. Pretzsch,Beate|Agnes von Löser a.d.H. Pretzsch
Q110325533,NN von Heynitz,en,NN von Heynitz (Haynitz|Heinitz),
Q110325544,Elisabeth Pflug,en nl,Elisabeth|Anna Pflug,Elisabeth|Anna Pflug
Q110325552,Elisabeth von Schleinitz,en nl,Elisabeth|Ilse von Schleinitz,
Q110325704,Burchard von Querfurt,en nl,Burchard|Busso von Querfurt,Burchard|Busso von Querfurt
Q110325895,Lencke von Münchhausen,en nl,Lencke|Elseke von Münchhausen,Lencke|Elseke von Münchhausen
Q110326028,Elisabeth von Plesse,en nl,Elisabeth|Lutrud von Plesse,Elisabeth|Lutrud von Plesse
Q110326393,Steben II von der Malsburg,en nl,Steben|Stephan II von der Malsburg,Steben|Stephan II von der Malsburg
Q110326556,Elisabeth von Bartensleben,en nl,Elisabeth|Bele von Bartensleben,Elisabeth|Bele von Bartensleben
Q110328200,Marie de Boiselve,en nl,Marie|Marguerite de Boiselve,Marie|Marguerite de Boiselve
Q110332061,Agnes Playford,en nl,Agnes|Annes Playford,Agnes|Annes Playford
Q110332098,"Francis Calibut (Calybutt), of Castle Acre, Norfolk",en nl,"Francis|Alanus Calibut (Calybutt), of Castle Acre, Norfolk","Francis|Alanus Calibut (Calybutt), of Castle Acre, Norfolk"
Q110332162,"Audrey Hare, of Bruisyard",en nl,"Audrey|Ethelreda Hare, of Bruisyard","Audrey|Ethelreda Hare, of Bruisyard"
Q110332307,"Margaret Sackville, of Fawley",en nl,"Margaret|Margery Sackville, of Fawley","Margaret|Margery Sackville, of Fawley"
Q110332336,"John Walbyf (Walbeoffe), of Llanhamlech",en nl,"John|Jenkin Walbyf (Walbeoffe), of Llanhamlech","John|Jenkin Walbyf (Walbeoffe), of Llanhamlech"
Q110332337,Jane Gunter,en nl,Jane|Jonet Gunter,Jane|Jonet Gunter
Q110332353,Stephen Guybon,en nl,Stephen|Lawrence Guybon,Stephen|Lawrence Guybon
Q110332388,Helene Audley,en nl,Helene|Ella|Elizabeth Audley,Helene|Ella|Elizabeth Audley
Q110332393,Muriel Brews,en,Muriel Brews (Brewse|Brewes),
Q110332898,Margaret Upton,en nl,Margaret|Margery Upton,Margaret|Margery Upton
Q110332910,Jennet Dawe,en nl,Jennet|Janet Dawe,Jennet|Janet Dawe
Q110332912,Johanna Reskymer,en nl,Johanna|Jane Reskymer,Johanna|Jane Reskymer
Q110332962,Margaret Yonge,en nl,Margaret|Agnes Yonge,
Q110333014,"Wenllyan Osborne, of London",en nl,"Wenllyan|Joan Osborne, of London","Wenllyan|Joan Osborne, of London"
Q110347026,Robert Breynton,en nl,Robert|Roger Breynton,Robert|Roger Breynton
Q110347323,Henriette du Chastel,en nl,Henriette|Marguerite du Chastel,Henriette|Marguerite du Chastel
Q110347435,"Aliette de Launay, dame de Coëtquenan",en nl,"Aliette|Alix de Launay, dame de Coëtquenan","Aliette|Alix de Launay, dame de Coëtquenan"
Q110352771,Clara Ottolina van der Hoop,en nl,Clara Ottolina|Johanna van der Hoop,Clara Ottolina|Johanna van der Hoop
Q110352836,Willemina Crouwel,en nl,Willemina|Wilhelmina Crouwel,Willemina|Wilhelmina Crouwel
Q110353062,Arend van den Berg,en nl,Arend|Arij van den Berg,Arend|Arij van den Berg
Q110354353,Elsebe Hagens,en nl,Elsebe|Elizabeth Hagens,Elsebe|Elizabeth Hagens
Q110354375,Ame Pieters Borgman,en nl,Ame|Aam|Arne Pieters Borgman,Ame|Aam|Arne Pieters Borgman
Q110354495,Aise Muntinga,en,Aise|Eisso Muntinga,
Q110354507,Ida de Boer,en nl,Ida|Alida de Boer,Ida|Alida de Boer
Q110354569,Johanna van Hoften,en nl,Johanna|Anna|Anneke van Hoften,Johanna|Anna|Anneke van Hoften
Q110354805,"Vaes Panhuys, of van Limbourg",en nl,"Vaes|Servaes Panhuys, of van Limbourg","Vaes|Servaes Panhuys, of van Limbourg"
Q110354806,Johan Vaes Panhuys,en nl,Johan|Jehan Vaes Panhuys,Johan|Jehan Vaes Panhuys
Q110354815,Jehenne du Bois,en nl,Jehenne|Johanna du Bois,Jehenne|Johanna du Bois
Q110362967,István Sulyok de Leksce,en nl,István|Stephen Sulyok de Leksce,István|Stephen Sulyok de Leksce
Q110362970,Klara Kende de Kölcse,en nl,Klara|Clara Kende de Kölcse,Klara|Clara Kende de Kölcse
Q110363095,"Ladislau Dracula de Sintesti, (Lászlá Drakulya de Semtheest)",en nl,"noble Ladislau|Vlad Dracula de Sintesti, (Lászlá Drakulya de Semtheest)","noble Ladislau|Vlad Dracula de Sintesti, (Lászlá Drakulya de Semtheest)"
Q110363211,Stefan Bagdy de Basarág,en nl,Stefan|István Bagdy de Basarág,Stefan|István Bagdy de Basarág
Q110363333,Helene Haranglábi,en nl,Helene|Ilona Haranglábi,Helene|Ilona Haranglábi
Q110366823,Jitka von Landstein,en nl,Jitka|Brigitta von Landstein,
Q110366899,"Hartnid V von Pettau zu Friedau, Marschall von Steiermark",en nl,"Hartnid|Hartold V von Pettau zu Friedau, Marschall von Steiermark",
Q110366916,"Antonio II, Conte d'Arco",en nl,"Antonio|Anton II, Conte d'Arco",
Q110366961,Peter von Eberstorf,en nl,Peter|Petrein von Eberstorf,
Q110367234,Kata,en nl,Kata|Katalin,
Q110369185,Yolande de Bueil,en nl,Yolande|Violante de Bueil,Yolande|Violante de Bueil
Q110369420,"Helena Thoroczkay de Thoroczkó-, Szent-György",en nl,"Helena|Ilona Thoroczkay de Thoroczkó-, Szent-György",
Q110370342,"Jeanne de La Baume, Comtesse de Montrevel",en nl,"Jeanne|Antoinette de La Baume, Comtesse de Montrevel",
Q110378161,"Luitgarde Gräfin von Zollern, Burgräfin von Nürnberg",en nl,"Luitgarde|Leukard, Gräfin von Zollern, Burgräfin von Nürnberg","Luitgarde|Leukard, Gräfin von Zollern, Burgräfin von Nürnberg"
Q110378504,"Archibald Sibbald, of Rankeilour",en nl,"Archibald|Andrew Sibbald, of Rankeilour","Archibald|Andrew Sibbald, of Rankeilour"
Q110378546,"Margaret Stewart, of Innermeath",en nl,"Margaret|Marjory Stewart, of Innermeath","Margaret|Marjory Stewart, of Innermeath"
Q110378859,"Hanault McLeod, of Harris",en nl,"Hanault|Hamiltone McLeod, of Harris","Hanault|Hamiltone McLeod, of Harris"
Q110379158,Andrew Jardine (Jardyne),en,Andrew|Alexander Jardine (Jardyne),
Q110381117,Hüe du Moulin,en nl,Hüe|Hugues du Moulin,Hüe|Hugues du Moulin
Q110381272,Marguerite Boursette,en nl,Marguerite|Isabeau Boursette,Marguerite|Isabeau Boursette
Q110381295,"Renaud de Haveskerke, Seigneur de Basse",en nl,"Renaud|Antoine de Haveskerke, Seigneur de Basse","Renaud|Antoine de Haveskerke, Seigneur de Basse"
Q110381301,"Maria van Beveren, Vrouwe van Diksmuide, Watou, Jumelles",en nl,"Maria|Marguerite van Beveren, Vrouwe van Diksmuide, Watou, Jumelles","Maria|Marguerite van Beveren, Vrouwe van Diksmuide, Watou, Jumelles"
Q110381302,Jan van Beveren,en nl,Jan|Jean van Beveren,Jan|Jean van Beveren
Q110383575,Metza Boos von Waldeck,en nl,Metza|Motza Boos von Waldeck,
Q110383576,Johann Boos von Waldeck,en nl,Johann|Philipp Boos von Waldeck,Johann|Philipp Boos von Waldeck
Q110383585,Margarethe Knebel von Katzenelbogen,en nl,Margarethe|Guta Knebel|Kenblin von Katzenelbogen,Margarethe|Guta Knebel|Kenblin von Katzenelbogen
Q110386085,Hadewich van Culemborg,en nl,Hadewich|Haze van Culemborg,Hadewich|Haze van Culemborg
Q110387744,Maud Bold,en nl,Maud|Matilda Bold,Maud|Matilda Bold
Q110388839,"Margaret Brereton, of Malpas",en nl,"Margaret|Anne Brereton, of Malpas","Margaret|Anne Brereton, of Malpas"
Q110389654,"Maud Massy (Massey), of Horton",en nl,"Maud|Maude Massy (Massey), of Horton","Maud|Maude Massy (Massey), of Horton"
Q110389717,Douce Warburton,en nl,Douce|Dowse Warburton,Douce|Dowse Warburton
Q110390408,Katherine Holland,en nl,Katherine|Alice Holland,Katherine|Alice Holland
Q110390631,Gwladus ferch Gwilym ab Ieuan ap Morgan,en nl,Gwladus|Margaret|Jane ferch Gwilym ab Ieuan ap Morgan,Gwladus|Margaret|Jane ferch Gwilym ab Ieuan ap Morgan
