geni_id,qid,label,description,items_sharing_this_key,in_our_corpus
6000000024682955809,Q110151011,"Count Karl Moritz von Roedern, Freiherr zu Krappitz und Bergck",,2,no
6000000024682955809,Q110504869,"Karl Moritz, Graf von Redern",,2,no
6000000024775108318,Q110151012,Freiin Ursula Marianne von Kittlitz,,2,no
6000000024775108318,Q110504870,Ursula M. A. von Kittlitz,,2,no
6000000025067047958,Q124598682,István Kerpacsics,"castellan of Zalaegerszeg, land owner (1636–1659)",2,no
6000000025067047958,Q138463984,Katalin Csány de Csány,Hungarian noblewoman,2,no
6000000027822596267,Q135841431,Канстанцін Салагуб,,2,no
6000000027822596267,Q18011853,Konstantinas Sologubas,,2,no
6000000028265655898,Q121009606,Stanisław Wołłowicz,,2,no
6000000028265655898,Q24263178,Stanislovas Kazimieras Vaina,,2,no
6000000033241523682,Q2587652,Konstanty Koriatowicz,prince of the Giedyminowicz dynasty,2,yes
6000000033241523682,Q44059398,Костянтин Коріятович,,2,yes
6000000033241899724,Q130389513,Любоў Іванаўна,,2,yes
6000000033241899724,Q27031142,Анна Ивановна,,2,yes
6000000049542888882,Q139046841,Георгий Николаевич Шлейфер,,2,no
6000000049542888882,Q139047034,Елена Николаевна Ратькова-Рожнова,,2,no
6000000049984380848,Q64236100,Syamyon Yamantavich-Padbyarezski,,2,no
6000000049984380848,Q96598227,Syamyon Yamantavich,,2,no
6000000057238218914,Q75923553,"Walter Little-Gilmour, 6th of Craigmillar and 11th of Gilberton",(1764-1807),2,no
6000000057238218914,Q75944406,Walter James Little,1807-1887,2,no
6000000064865319259,Q105364110,Franziska Lilienfeld,"holocaust victim, b. 1868-11-24",2,no
6000000064865319259,Q105512751,Fanny Lilienfeld,Holocaust victim (born 1868),2,no
6000000074825133860,Q115574147,Alois Elßler,Austrian scribe,2,no
6000000074825133860,Q55849619,Joseph Elßler,Austrian scribe (1767–1843),2,no
6000000086468284005,Q111906830,Раіна Копаць,,2,no
6000000086468284005,Q66777976,Fedota Kopciówna,,2,no
6000000105706792946,Q110410743,"Graf Nikolaus Andreas Maltzan, Freiherr zu Wartenberg und Penzlin",10 May 1670 Militsch - 19 Sep 1717 Gross-Glogau,2,yes
6000000105706792946,Q128070478,Nicolaus Andreas Gf. von Maltzahn,1670-1718,2,yes
6000000122737965912,Q23988466,Gabriel Schöning,,2,no
6000000122737965912,Q6170702,Frithiof Schöning,,2,no
6000000130737087039,Q120759118,Патэнцыяна Белазор,,2,no
6000000130737087039,Q131480109,Аляксандра Белазор,,2,no
6000000178715103822,Q105454550,Lilly Neumann,"holocaust victim, b. 1882-08-29",2,no
6000000178715103822,Q105512921,Luise Neumann,Holocaust victim (born 1882),2,no
6000000179964487850,Q104704111,Žofie Häutnerová,Holocaust victim (born 1876-01-13),2,no
6000000179964487850,Q104811700,Žofie Jelinková,"holocaust victim, b. 1876-01-13",2,no
6000000181286447901,Q15914619,Lu Hongyi,"person, CBDB ID = 370768",2,no
6000000181286447901,Q709067,Gu Jiegang,Chinese historian (1893-1980),2,no
6000000186712720840,Q135657856,Yusak,Father of Murtasinah (died 1978),2,no
6000000186712720840,Q140502546,Siti Handasah,Daughter of Yusak,2,no
6000000190348432821,Q3510235,Sebastian Mieg the elder,19 January 1520 - 4 March 1609,2,no
6000000190348432821,Q55856631,Sebastian Mieg the younger,5 Apr 1555 - 25 May 1596,2,no
6000000201641958861,Q128197913,Luise Krause,,2,no
6000000201641958861,Q138297797,Луиза фон Тизенгаузен,,2,no
6000000219324635826,Q135107221,Shaimim Anoa'i,,5,no
6000000219324635826,Q135107244,Jojo Anoa'i,American actress and model,5,no
6000000219324635826,Q135107247,Shanahan Anoa'i,,5,no
6000000219324635826,Q135107434,Aonani Anoa'i,,5,no
6000000219324635826,Q135107514,Aitonui Anoa'i,,5,no
6000000222203355825,Q2150277,Vincent Croiset,Dutch actor,2,no
6000000222203355825,Q2424758,Tina de Bruin,Dutch actress,2,no
