geni_id,label,description,pair_count,is_collision
6000000002997389994,Marija Schuller,____ - ____,2,yes
6000000002997392042,Benjamin Schuller,____ - ____,2,yes
6000000002997392449,France Anderle,____ - ____,2,yes
6000000002997392497,France Anderle,____ - ____,2,yes
6000000002997394321,Joef Blaznik,____ - ____,2,yes
6000000002997394346,Joef Blaznik,____ - ____,2,yes
6000000002997394450,Marija Lukman,____ - ____,3,yes
6000000002997394474,Urban Pesjak,____ - ____,2,yes
6000000002997402643,Janez Lukman,____ - ____,2,yes
6000000002997402651,Marija Lukman,____ - ____,3,yes
6000000002997402683,Janez Lukman,____ - ____,2,yes
6000000002997402716,Ovsenik,____ - ____,2,yes
6000000002997405332,Ovsenik,____ - ____,2,yes
6000000003015133826,NN,born 545,2,yes
6000000003051682514,Anders Johansson,4 Dec 1823 - 15 Jun 1849,2,yes
6000000003113324832,NN,"(Iberia), Georgia - (Iberia), Georgia",3,yes
6000000003136710411,NN,born circa 1575,3,yes
6000000003141294299,Anna Maria von Mirbach,6 Sep 1616 - 3 Nov 1673,2,yes
6000000003162544103,Mary Edwards,born 1800,2,yes
6000000003210322639,NN,born circa 1055,2,yes
6000000003232718460,NN,born 1600,2,yes
6000000003237265917,Margaret Grenfell,born 1743,2,yes
6000000003261073368,Maria de Noronha,born circa 1500,3,yes
6000000003318952953,Maria Olofsdotter,born 2 Feb 1783,2,yes
6000000003327935632,Maria de Noronha,born circa 1545,2,yes
6000000003417357879,Nils Andersson,25 May 1801 - 12 Jan 1829,2,yes
6000000003427723387,Jens Andersen Brok af Estrup,died 24 May 1408,2,yes
6000000003454727452,NN,born circa 1590,4,yes
6000000003497726908,Anders Andersson,1 May 1736 Norsjö 4 - 1831 Norsjö 4,2,yes
6000000003536581477,Olof Nilsson,born circa 1690,2,yes
6000000003546413162,Mary Tresise,born 1704,2,yes
6000000003574033734,Eliseo Rael,20 May 1858 - 10 Jan 1933,2,yes
6000000003617517993,Elizabeth Baugh,"born 1815 Virginia, USA",2,yes
6000000003627725450,Matias Perea,born circa 1726,2,yes
6000000003634253157,Crispus Graves,1742 - 14 Mar 1818,2,yes
6000000003635286218,Elizabeth Baugh,"born 1815 Virginia, USA",2,yes
6000000003645877868,Neferhetepes,born Egypt,2,yes
6000000003645882047,NN,born Egypt,2,yes
6000000003645890383,NN,born Egypt,2,yes
6000000003645908188,NN,Assyria - Assyria,2,yes
6000000003649677559,NN,born circa 1065,2,yes
6000000003649718701,NN,born circa 1115,2,yes
6000000003649778972,NN,born circa 1440,3,yes
6000000003665583271,Walter Olifard,died 1242,2,yes
6000000003796387928,NN,Europe - Europe,6,yes
6000000003796459984,NN,Europe - Europe,6,yes
6000000003796471263,Uknf,Europe - Europe,8,yes
6000000003796471443,NN,Europe - Europe,6,yes
6000000003796518764,NN,Europe - Europe,6,yes
6000000003796531688,Uknf,Europe - Europe,8,yes
6000000003796580969,Uknf,Europe - Europe,8,yes
6000000003796585045,Uknf,Europe - Europe,8,yes
6000000003796585070,Uknf,Europe - Europe,8,yes
6000000003796585097,Uknf,died Europe,3,yes
6000000003796585122,Uknf,died Europe,3,yes
6000000003796585198,Uknf,Europe - Europe,8,yes
6000000003796585224,Uknf,Europe - Europe,8,yes
6000000003796585249,Uknf,Europe - Europe,8,yes
6000000003796585298,Uknf,died Europe,3,yes
6000000003823650515,NN,died 1657,2,yes
6000000003827512070,NN,born circa 1190,2,yes
6000000003827809928,NN,born circa 1100,5,yes
6000000003828371866,Aelius,"born Rome, Roma, Italy",3,yes
6000000003828371873,Aelius,"born Rome, Roma, Italy",3,yes
6000000003828371880,Aelius,"born Rome, Roma, Italy",3,yes
6000000003828375123,Gaius Vibius Varus,"born circa 20 Rome, Roma, Italy",2,yes
6000000003828375144,Gaius Vibius Varus,"born circa 20 Rome, Roma, Italy",2,yes
6000000003828375940,Titus Flavius Sempronius Aquila,born circa 115,2,yes
