round	slot	from_geni	from_qid	ours_unmatched	theirs_unmatched
1	spouse	6000000003827576187	Q84697137	6000000003243493325	Q86731661;Q84956838
1	child	6000000179219972821	Q75793380	6000000179218006823	Q75793382;Q75793400
1	spouse	6000000006444136790	Q2797815	6000000006100530672	Q1149726;Q1151253;Q3366533
1	child	6000000001504319854	Q110304465	6000000006109078541	Q5921683;Q12300729;Q76369027;Q112967702
1	spouse	6000000003827151607	Q322357	6000000006727855875	Q54819861;Q54878965;Q76329826
1	spouse	6000000000138405383	Q4129783	4286118427370035651	Q190166;Q3577175
1	spouse	6000000000632030828	Q170197	6000000003219796634	Q152923;Q771657
1	spouse	6000000008533488626	Q5571604	6000000007645377347	Q126014239;Q126014289;Q126014337
1	spouse	6000000004032942523	Q6251491	6000000002797426818	Q110322681;Q109657892
1	spouse	6000000075399060867	Q45421188	6000000057636862823	Q45421185;Q65803880
1	child	6000000002141623547	Q442590	6000000051448208079	Q90196;Q689201;Q213760
1	child	6000000002004188529	Q84192	6000000032480636330	Q399500;Q71941
1	father	6000000003828385238	Q3622613	6000000003828385245	Q11768202;Q770792
1	spouse	6000000007151834962	Q3067105	4875322548810131096	Q11913271;Q135850831
1	child	6000000003938707063	Q93400917	6000000002860860190	Q93401155;Q96572825;Q98600262;Q99735466;Q100154159
1	child	6000000002187899334	Q75267248	6000000002187788775	Q75662335;Q75267242;Q61466221;Q76083783
1	child	6000000000307258099	Q273099	6000000009352408412	Q75387582;Q75384759
1	child	6000000000112339149	Q133861603	6000000000112346122	Q17384883;Q11855085
1	spouse	6000000006102048056	Q110505340	6000000006412186503	Q4958044;Q110505342
1	spouse	6000000091167997821	Q66706002	6000000003216112717	Q76251750;Q75910476
1	child	6000000068980501844	Q5564771	6000000080179290376	Q108935659;Q110896010
1	spouse	6000000004144028980	Q12306217	6000000006329182977	Q116468619;Q110379509
1	father	6000000003828116989	Q75244878	6000000005383008240	Q5587363;Q5587362
1	child	6000000075368107880	Q10454222	6000000007974321632	Q4308720;Q45420311
1	spouse	6000000002041098650	Q75240519	6000000006444108937	Q75403271;Q75566204
1	spouse	6000000002447085944	Q75299051	6000000006444092879	Q75299053;Q6261340
1	spouse	6000000007121644827	Q16649655	6000000006127307778	Q110548860;Q109296021
1	spouse	6000000002513752898	Q2579868	6000000008630789745	Q4948295;Q75821660
1	spouse	6000000006444659604	Q134998385	6000000007296798811	Q6258922;Q54313064
1	father	6000000009553122259	Q19513557	6000000012565017393	Q116474334;Q13229447
1	mother	6000000006444081338	Q5363796	6000000006596558501	Q734662;Q64831095
1	spouse	6000000009959633940	Q85475	6000000007711185821	Q55077311;Q55078167
1	spouse	6000000015506293061	Q55340862	6000000016901348810	Q110365675;Q110371389
1	child	6000000001278610141	Q552286	6000000003827359914	Q697412;Q76299907
1	spouse	6000000002428493008	Q5728035	6000000006444402320	Q76092637;Q76320608;Q76169176
1	spouse	6000000006444395972	Q5560370	6000000000551916444	Q16153180;Q75397108
1	spouse	6000000002440474568	Q11564070	6000000002440667615	Q106476812;Q106476762
1	spouse	6000000006727853100	Q558253	6000000006727749775	Q4768926;Q8211206
1	child	6000000017634016721	Q9292046	6000000017634078390	Q16561338;Q112084830
1	spouse	6000000001694449866	Q2300129	6000000003153535504	Q37731;Q7902593
1	child	6000000032170778221	Q1045763	6000000032170722329	Q1046230;Q6993673;Q111036141
1	father	6000000005747654261	Q3515798	6000000012851822899	Q13030457;Q212671
1	father	6000000006101240850	Q867859	6000000012328583538	Q16190110;Q46762
1	child	6000000009967802867	Q724235	6000000001669649063	Q960130;Q18607712;Q53637650;Q63436701
1	spouse	6000000009967802867	Q724235	6000000001669649864	Q56037077;Q75384624
1	child	5620645208310020106	Q2608009	5613208920440110050	Q3962596;Q5423038
1	father	6000000001809638693	Q3482119	6000000002934660014	Q11492951;Q11073324
1	mother	6000000001809638693	Q3482119	6000000002933557025	Q11368515;Q111366618;Q3107786
1	child	6000000002726714773	Q113957950	6000000001509597404	Q106532725;Q113957956;Q113957959;Q123703066
1	spouse	6000000006444128021	Q19325677	6000000010686338222	Q76092591;Q75387435
1	child	6000000015405984411	Q18745973	6000000083426848490	Q16159439;Q21074089;Q95152614;Q116471263
1	spouse	6000000121016188821	Q17523756	6000000014946518230	Q350239;Q3809343
1	child	6000000000062245094	Q360709	6000000002278676476	Q75388312;Q75388314
1	spouse	6000000000062245094	Q360709	6000000006444232597	Q75388306;Q75388317
1	spouse	5130352716880129212	Q372579	5130352729970129218	Q12788315;Q7922527
1	spouse	3419878	Q2647989	6000000002188468225	Q75380402;Q133756688
1	child	6000000003827435604	Q20499159	6000000003827635077	Q2339868;Q95628
1	child	6000000011851686210	Q111989621	5499757237520047426	Q111989618;Q16407156;Q140426346
1	child	6000000000199522828	Q230314	6000000003493243559	Q111977500;Q1905889
1	spouse	6000000000551628693	Q7606754	6000000000551628797	Q75260502;Q75242107
1	spouse	6000000012462990984	Q132853186	6000000012463011977	Q132852492;Q128071970
1	child	6000000006111356669	Q6197526	6000000001050600043	Q5980285;Q134563325
1	child	5203671294210030824	Q953878	6000000015317213529	Q518907;Q245779
1	spouse	6000000011627101338	Q313801	6000000012594588739	Q993988;Q11544730;Q115586623
1	spouse	6000000038103572025	Q10566063	6000000039003342361	Q65799216;Q65799217
1	child	6000000018069210078	Q40444661	6000000018069215396	Q123186276;Q123186395
1	child	6000000002143053627	Q235392	6000000002143186115	Q58165;Q61188387;Q76298802
1	child	323980878400001404	Q670075	323983545690001427	Q1276954;Q76371779;Q75296349;Q76332193
1	spouse	6000000009128592019	Q271520	6000000001397950212	Q9375387;Q54049
1	spouse	6000000006727757068	Q25487354	6000000006727757250	Q44192086;Q55257491
1	spouse	6000000019887612244	Q3107997	6000000019910705693	Q113674618;Q95210550
1	spouse	6000000012566500527	Q12363624	6000000022379782323	Q94773524;Q128194813
1	spouse	6000000000909707302	Q4953656	6000000006954470437	Q21539821;Q3429810
1	child	6000000001631230740	Q3335911	6000000001631230756	Q18715613;Q99746848
1	child	6000000007472526386	Q28648665	6000000006727858820	Q95397;Q2195384;Q116029926;Q116170748
1	spouse	6000000007472526386	Q28648665	6000000025967500958	Q65224634;Q105350
1	spouse	6000000010132478115	Q128126	6000000025442069003	Q510475;Q60221573;Q60221587
1	child	6000000015075057281	Q20081261	6000000026069696393	Q180338;Q75869928
1	spouse	6000000015075057281	Q20081261	6000000016186327739	Q61485476;Q75981804
1	child	6000000006719235048	Q6231365	6000000006719391025	Q65029598;Q6230749
1	spouse	6000000006719235048	Q6231365	6000000006718779823	Q4942230;Q111954782
1	spouse	6000000031070596972	Q5040788	6000000031070663838	Q92944456;Q92944468
1	father	5605575857030117371	Q2335581	5630189594750081580	Q2335361;Q560751
1	child	6000000015406797119	Q65224758	6000000015407299467	Q55379281;Q44191780;Q55238383;Q54890994;Q54857631;Q563146
1	spouse	6000000003827477529	Q319932	6000000001962363103	Q75290070;Q110153861
1	father	6000000015331464653	Q1330397	6000000003858766059	Q694351;Q63178
1	child	5597288619460126496	Q42305	6000000004586565895	Q1405919;Q75384665
1	spouse	6000000006727880382	Q52153867	6000000005622785343	Q361739;Q1770485
1	father	6000000075333961926	Q45419037	6000000021151483149	Q45419027;Q45528924
1	spouse	6000000015119277994	Q666719	6000000006727764385	Q2025468;Q17468143
1	spouse	6000000013659527245	Q45662	6000000194182897823	Q55856443;Q75979639;Q55856449
1	child	6000000006444139208	Q75403259	6000000005003502047	Q75446912;Q75446913;Q61911828
1	spouse	6000000006444452310	Q2368509	6000000002188091137	Q6470274;Q75264613
1	spouse	6000000013329452570	Q109830067	6000000002787906591	Q9141901;Q85987206
1	spouse	6000000000700952838	Q656226	6000000003302882337	Q1655899;Q1435313
1	spouse	6000000010597809757	Q532359	6000000000307280216	Q114054004;Q114054352;Q114054406
1	spouse	6000000003827542188	Q1330461	6000000004533196483	Q61258;Q61258
1	mother	6000000001336803104	Q285148	6000000006900553987	Q123700858;Q654576
1	spouse	6000000008630577916	Q727658	6000000008631008314	Q2942116;Q126517
1	spouse	6000000006444226148	Q75546013	6000000006444188853	Q75546011;Q75546017
1	child	6000000003827612585	Q101518887	6000000003827488735	Q101518877;Q20172077;Q136030441
1	spouse	6000000057634441178	Q468709	6000000057634290388	Q45625354;Q45472962
1	spouse	6000000021786204517	Q111508	6000000021786359973	Q131338451;Q131340255
1	spouse	6000000003649647198	Q16839029	6000000004382738639	Q15869977;Q75238109
1	child	6000000074745661959	Q45380979	6000000074745789904	Q45681834;Q45380981;Q45682180
1	child	6000000006727897929	Q776743	6000000000424767738	Q597601;Q101166460;Q113468506;Q56285650
1	spouse	4359005376200044500	Q1509868	6000000002339454978	Q75443636;Q75301463
1	spouse	6000000012838066880	Q236017	6000000012827253597	Q4264931;Q5816
1	mother	5090785799070043757	Q508648	5090833952240053741	Q75444556;Q131731259
1	spouse	5090785799070043757	Q508648	5231695373890033957	Q75444558;Q16940911
1	mother	6000000017547294993	Q1414	6000000041323911373	Q2577717;Q6658867
1	spouse	6000000015214980008	Q15447358	6000000027902870339	Q1694712;Q2040847
1	child	6000000021875607123	Q76371206	6000000025792735993	Q75269803;Q75467055
1	spouse	6000000003827477176	Q44192307	6000000003827477200	Q76263876;Q97761018
1	spouse	4259386	Q31240	6000000009278485477	Q1313351;Q97782671
1	spouse	6000000075404225209	Q45566614	6000000075400740459	Q45555818;Q65806499
1	spouse	6000000005607295709	Q1678546	6000000006186347635	Q55844097;Q139765178;Q139765181
1	spouse	6000000007103673380	Q1599703	6000000018210396906	Q21094793;Q2308146
1	father	6000000074735317910	Q45470652	6000000074734774120	Q45699918;Q45470588
1	spouse	6000000000246664135	Q75852834	6000000000246670143	Q75952702;Q75952960
1	spouse	6000000005703890001	Q48925204	6000000186130687864	Q3024596;Q24963039
1	spouse	377260401250012347	Q1072294	377259285000012201	Q16721952;Q23769818;Q136343496
1	spouse	6000000025003303721	Q260167	6000000037299477544	Q7067459;Q7702196
1	child	6000000001723257706	Q361184	6000000009649010712	Q75384830;Q75384833
1	spouse	6000000006444092290	Q18576132	6000000006444092283	Q27985300;Q75251438
1	child	6000000012885497381	Q94852021	6000000012885624239	Q116302491;Q135527642
1	spouse	370813395120004241	Q188634	370812248160011599	Q181615;Q236886;Q867369
1	child	6000000001664709020	Q829787	6000000000036850254	Q110313507;Q110151789;Q111364376;Q111364483;Q111364520;Q111364560
1	spouse	6000000000116753717	Q3845701	6000000002899069063	Q6010182;Q115484893;Q115484901
1	spouse	6000000000658152258	Q6236305	6000000003168569087	Q61911129;Q75291664
1	child	6000000002217529007	Q671419	6000000005747722679	Q3079827;Q3079716
1	spouse	6000000012368489981	Q11495065	6000000134865629825	Q65804530;Q65804531
1	spouse	6000000019260090957	Q2851331	6000000019260335559	Q3122212;Q3120347
1	child	6000000011837034336	Q76114916	6000000071030095945	Q76114451;Q76114920
1	spouse	6000000014409151791	Q7788650	6000000014409276342	Q5664246;Q75516756
1	spouse	6000000001870702725	Q5575631	6000000001870758169	Q16596214;Q125972583
1	spouse	6000000004880328995	Q1465068	6000000010541816752	Q243011;Q461990;Q75613081
1	child	6000000003656876560	Q23988288	6000000011586408474	Q109802222;Q18237772;Q134503378
1	spouse	6000000003656876560	Q23988288	6000000012959987424	Q134503253;Q134503256
1	child	6000000002188005710	Q2726556	6000000026179851235	Q3609052;Q76043672
1	spouse	6000000003216067334	Q75265795	6000000003216067774	Q76277550;Q75265798
1	spouse	6000000000238087888	Q5711217	6000000000238470523	Q17382185;Q133671428
1	spouse	6000000007980422466	Q75422204	6000000007980422472	Q75422206;Q75422207
1	spouse	364684989340012633	Q2609611	6000000002043252415	Q710482;Q2385983
1	spouse	6000000002603651439	Q18735713	6000000006444068396	Q68106713;Q26217222
1	spouse	6000000003792096193	Q6468443	6000000017345781879	Q76064584;Q75388262
1	spouse	6000000022644140364	Q110381462	6000000022644140357	Q112331136;Q110381835;Q110381461
1	father	6000000008546770480	Q112542657	6000000001186171027	Q696738;Q696750
1	child	6000000041548674135	Q28777523	6000000017736320006	Q110588311;Q131732211
1	child	6000000015838870278	Q128159255	6000000017026084217	Q128157419;Q6032550
1	mother	6000000006283846358	Q598388	6000000006231574546	Q104538139;Q3661959
1	spouse	6000000014686355046	Q1208883	6000000040427248072	Q201908;Q121600642
1	child	6000000002322339947	Q334861	6000000022715625854	Q307447;Q2176191
1	spouse	6000000015744008983	Q4464158	6000000194182897823	Q272289;Q109977580
1	spouse	6000000007722187291	Q5626164	6000000012570002470	Q109835490;Q109296483;Q130753924
1	child	338406850040012815	Q138464918	5551465454760081619	Q122388956;Q126949722;Q128049942
1	child	6000000016301317685	Q76258708	6000000016301419239	Q2589299;Q115870310;Q14948413
1	spouse	4411753852160042163	Q5414317	6000000194204374831	Q106704829;Q125547399
1	spouse	6000000035775532908	Q321344	6000000025997714993	Q4933952;Q4991001;Q4983324
1	mother	6000000006704094300	Q14558264	6000000006419684385	Q14558265;Q110549008
1	spouse	6000000004144375308	Q11865657	6000000002782847303	Q14191246;Q73762710
1	spouse	6000000012570987379	Q7005143	6000000209125111825	Q6997629;Q7004966
1	father	6000000075378647831	Q45426923	6000000057602803872	Q45422266;Q45461100
1	spouse	362164304500001795	Q1226606	6000000020991656553	Q4163672;Q123987292
1	child	6000000024336224628	Q124837	6000000024336366416	Q55851128;Q139679247
1	spouse	6000000007179405769	Q1000874	368942672780005439	Q1325720;Q2836713
1	spouse	6000000013342487547	Q4723	6000000000883399328	Q21994981;Q21994981;Q107113879
1	child	5578314952700127573	Q106880665	6000000058026298909	Q136337241;Q140316721
1	child	6000000001501062846	Q1503067	6000000000436954608	Q69754322;Q69755378;Q69755763;Q69756058;Q69756235;Q69756541;Q69757176;Q69756781;Q69755534
1	spouse	6000000011802509991	Q1699911	6000000011802611778	Q75575904;Q75575918
1	child	6000000012266286860	Q4948169	6000000016706706269	Q7965445;Q122360707
1	mother	6000000000728657032	Q640793	6000000004868995922	Q76346725;Q124485830
1	child	6000000003820968980	Q75532153	6000000000571754300	Q75244884;Q75532159;Q75387734
1	child	6000000008147681771	Q6185080	6000000006127373512	Q6185098;Q75168968;Q104549890
1	spouse	6000000006091777039	Q16823052	6000000003086748754	Q75565542;Q75453874
1	father	6000000019008009221	Q60447673	6000000019007464696	Q71566970;Q110459576
1	spouse	6000000015731769314	Q127734	6000000015731662486	Q44191536;Q1613268
1	child	6000000003827611991	Q55527369	6000000003827611632	Q5550929;Q6240661;Q110153592
1	spouse	6000000013579586299	Q4952238	2186128	Q5976087;Q345108
1	father	6000000001531202519	Q113025	6000000008575245445	Q125989;Q122277863
1	child	6000000003820968990	Q75532157	6000000000571754300	Q75244884;Q75532159;Q75387734
1	child	6000000002188496979	Q47468414	6000000010554169569	Q6688543;Q2782374;Q75251718;Q75251721;Q75251720
1	spouse	6000000009477786251	Q111983333	6000000008952662953	Q98697621;Q111983355
1	child	6000000000969942000	Q7330204	6000000002340378665	Q76286510;Q76286511
1	spouse	6000000000969942000	Q7330204	6000000000276142007	Q76286505;Q76286503
1	father	6000000003645864016	Q1159574	6000000001511843037	Q655711;Q666605
1	spouse	6000000017506482856	Q15042999	6000000050512098258	Q75376463;Q75376465
1	spouse	6000000012653136468	Q7486	6000000012653246282	Q5374622;Q3603411;Q8251705;Q8251658;Q8251666;Q8251757;Q19653851;Q19833433;Q8251746
1	spouse	6000000012349026359	Q5729178	6000000012349026469	Q105796088;Q112968565
1	child	6000000003526937433	Q370866	6000000083092393408	Q1421286;Q116923812
1	spouse	6000000004212973634	Q5613467	6000000006733309576	Q111954774;Q127270942
1	mother	6000000000115658521	Q462856	6000000007345723540	Q21155612;Q96088549
1	child	6000000000203423714	Q134986749	6000000001116886023	Q110587589;Q136006573
1	spouse	6000000054584086889	Q4696632	6000000054582482123	Q1864897;Q6748841
1	child	6000000007741960568	Q2876063	6000000004269718450	Q5864941;Q3172643
1	child	6000000006444136780	Q15286509	6000000004141353598	Q1149726;Q96074826
1	mother	6000000003827746857	Q61140367	6000000003827746817	Q97014037;Q116029985
1	child	6000000007959984785	Q18246687	6000000037647497653	Q18246691;Q108487373;Q106418732
1	child	6000000019391679301	Q213978	6000000027293082293	Q55854790;Q55854789
1	child	6000000004545615758	Q112968606	6000000007372348021	Q135668948;Q136385098
1	child	6000000000905967476	Q5305798	5421669053570058578	Q18460292;Q140457127
1	spouse	6000000016756175052	Q15502383	6000000025226266907	Q17355638;Q75919551
1	father	6000000003828196721	Q703354	6000000008404729735	Q897091;Q929498
1	child	6000000042825986487	Q63428	6000000042828353138	Q104148714;Q136083672;Q136083731
1	spouse	6000000042825986487	Q63428	6000000042828024054	Q104148744;Q136083727;Q136083740;Q136083747;Q136083773;Q136083775
1	spouse	6000000013824763608	Q75390852	6000000013463326974	Q75390851;Q75390854
1	spouse	6000000016219154395	Q1554562	6000000019323402702	Q76361741;Q110560647
1	spouse	6000000018639053294	Q2682059	6000000018636540873	Q263545;Q76289664
1	spouse	6000000024229811136	Q75739460	4353663811950013393	Q75739389;Q75739353;Q75739350
1	mother	6000000002142070034	Q462997	6000000008481458843	Q2001541;Q117303291
1	spouse	6000000008333459792	Q6132032	6000000008630789485	Q75389695;Q75772692
1	child	6000000021151598905	Q8213497	6000000075333758986	Q15931844;Q45530392
1	child	6000000006727922912	Q7308920	6000000002407820020	Q3402278;Q6787522
1	spouse	6000000006188836878	Q3439788	5340541780820104238	Q4693146;Q2690987;Q76324642
1	child	6000000003483564390	Q75320826	6000000003483677121	Q76371930;Q75320834
1	spouse	6000000015191747306	Q359936	6000000015191884155	Q76011855;Q75291222
1	spouse	6000000007069470022	Q7609477	6000000007069116381	Q75278555;Q75278560
1	spouse	6000000025460949179	Q75667177	6000000025460702639	Q76039078;Q75667180;Q75666809
1	father	6000000003219779698	Q335885	4659985	Q352800;Q221229
1	child	6000000009065772886	Q1293748	6000000005017172466	Q75617046;Q75617047;Q75617049;Q60535470;Q110396104
1	spouse	6000000009065772886	Q1293748	6000000040594308384	Q75617030;Q75617034
1	child	6000000004655788055	Q529984	6000000000350890684	Q633681;Q1038586;Q3053434
1	child	6000000013715517595	Q4939355	6000000041606529850	Q441716;Q5723762
1	mother	6000000021623395130	Q356899	6000000025902091507	Q107305168;Q112053901
1	spouse	5500863601450117697	Q122364479	6000000001561141410	Q122364505;Q122364487
1	child	6000000074732889942	Q8070135	6000000130310892911	Q11487616;Q45419610;Q48934705
1	spouse	6000000012468581950	Q354934	4932952221030036762	Q645739;Q433440
1	spouse	6000000043326697929	Q60709803	6000000010837512080	Q110386038;Q110152599
1	child	6000000016453665038	Q26878057	6000000016452889263	Q25160184;Q110549129
1	father	6000000003649677344	Q76154270	6000000002043193692	Q1381003;Q116052807
1	spouse	6000000006444755268	Q3784997	6000000005393856379	Q5363526;Q6485588
1	child	4296981596420026848	Q4773659	6000000003051199594	Q2845610;Q106154754
1	child	6000000010367475827	Q75350198	6000000017073113328	Q75248797;Q75350196;Q75611896
1	spouse	6000000010367475827	Q75350198	6000000017073127005	Q7087112;Q75611895;Q75611907
1	father	6000000003828204054	Q684275	6000000142106995839	Q107638081;Q868066
1	spouse	6000000005794015133	Q75627903	6000000002314938100	Q75500860;Q75627963
1	child	6000000000572409125	Q6184957	6000000006127393622	Q19420958;Q19421015;Q101243221
1	spouse	6000000074767774880	Q10721612	6000000075343713276	Q45544661;Q43387538
1	spouse	6000000006507819001	Q716607	6000000006507872001	Q75266797;Q75395086
1	spouse	6000000020070576276	Q122925797	6000000020070514278	Q122925808;Q64365458
1	child	6000000017018450079	Q21708711	6000000030278544940	Q2305151;Q21953090
1	father	6000000075344796899	Q5192711	6000000075345008860	Q45419598;Q5192698
1	child	6000000014528343325	Q4792879	6000000010554169569	Q334012;Q6688543;Q75271861;Q75271862
1	child	6000000032625593863	Q58038722	6000000032625766068	Q58042487;Q58047513;Q47525542
1	spouse	6000000006421016589	Q99302220	6000000006421089121	Q48121737;Q138606323
1	child	6000000012062852380	Q35043186	6000000003525921782	Q47087579;Q96083128;Q104603756;Q121888408
1	father	6000000075344182016	Q45419403	6000000055814444128	Q45419399;Q45501618
1	child	387638972190007407	Q76240877	6000000000870140656	Q76240883;Q130650173
1	child	5719124831600123179	Q4971348	6000000019900257122	Q5992302;Q110457072;Q123054047
1	spouse	5719124831600123179	Q4971348	6000000026188487746	Q110456988;Q123053906
1	child	6000000003649776785	Q75565114	6000000003495312508	Q75565119;Q75620360
1	child	6000000003827746851	Q61140373	6000000003827484098	Q116029866;Q116005647
1	child	6000000012691639866	Q359810	6000000008404729735	Q929498;Q897091;Q1159587
1	spouse	6000000011627118319	Q380623	6000000012621519452	Q11486210;Q108782876;Q110090813
1	child	6000000011017916072	Q4532539	6000000011018708070	Q1974868;Q3304798;Q1370600;Q29572217;Q123240782
1	spouse	6000000004850622056	Q4934671	6000000004837839339	Q12316593;Q5823432
1	spouse	6000000012706548373	Q124471379	6000000016369469860	Q16405369;Q55090819
1	spouse	6000000007763590362	Q311793	6000000077801202300	Q7244813;Q89860
1	spouse	6000000003914650750	Q75764514	6000000003053800379	Q969817;Q75966630
1	child	6000000008690676974	Q108654322	6000000008690703652	Q108654318;Q110621406;Q130634844;Q12360262
1	spouse	6000000012831696402	Q3663513	6000000063819544901	Q16536947;Q3750652
1	child	6000000007900999627	Q335979	6000000023465408925	Q75484515;Q75778410;Q75268569
1	spouse	6000000007900999627	Q335979	6000000008125259845	Q5478727;Q75243306;Q75243304
1	spouse	6000000006101381611	Q547839	6000000003858710537	Q6140983;Q134895146
1	child	6000000001353959747	Q76010797	6000000000216080035	Q3419288;Q76010799;Q76010800;Q76010801;Q76010802
1	spouse	6000000012344748682	Q137946220	6000000012344883589	Q5779277;Q125193468
1	spouse	2434187	Q2353183	6000000014150343139	Q76193305;Q76191857
1	spouse	6000000000351094258	Q157918	6000000002455376437	Q270381;Q21070437;Q136345206
1	spouse	6000000008415722429	Q175714	6000000000505752479	Q110316356;Q83426216
1	spouse	6000000081431449185	Q1460928	6000000081431458039	Q140339344;Q140339400;Q140339425
1	spouse	6000000003827467345	Q44192051	6000000001917063248	Q61140016;Q101172
1	child	6000000029710660198	Q24522214	6000000083265508862	Q31192944;Q131100938
1	spouse	6000000061265231928	Q66343	6000000025902075258	Q136159836;Q136159918
1	spouse	6000000001412952494	Q280016	6000000002173055162	Q3197345;Q2353839
1	spouse	6000000001142243548	Q6849096	6000000006444672475	Q6760040;Q75443641
1	spouse	6000000001895549329	Q2465604	6000000008337450037	Q138569276;Q19873392;Q94685864;Q140796444
1	child	6000000003827470523	Q60627463	6000000009688373889	Q110562201;Q120484582
1	child	6000000006727778289	Q3963981	6000000028474430627	Q465193;Q75245754;Q75245753;Q75245756;Q75245757
1	mother	4245829	Q813280	6000000001045459542	Q671407;Q1077646
1	spouse	6000000001745096477	Q2151004	6000000008522201740	Q3720333;Q75242503
1	child	6000000074746050174	Q45382976	6000000074745949282	Q45509741;Q45587038
1	child	6000000003124149935	Q96322050	6000000001985913777	Q96322049;Q131406773
1	spouse	6000000003096428100	Q7965192	6000000006769280276	Q75908776;Q75266673
1	mother	6000000006727867629	Q2132941	6000000005598888561	Q51089;Q110410459
1	child	6000000001459590493	Q6096777	6000000017670919456	Q2490551;Q6096782
1	child	6000000002187684162	Q320730	6000000003827635077	Q2339868;Q95628
1	child	6000000008059993700	Q1423	6000000041373938962	Q2803581;Q101062173;Q2521130;Q1238439
1	child	6000000005747654068	Q255870	6000000009718073041	Q462978;Q1329741;Q48961773
1	spouse	6000000038880194549	Q61102784	6000000038880338484	Q11864614;Q21044019
1	child	6000000006101378871	Q172168	6000000003645890604	Q45535;Q884910;Q189095
1	spouse	6000000003827455359	Q196030	6000000001500916216	Q70841118;Q75387282
1	child	6000000001262141004	Q126285077	6000000030971735545	Q134478388;Q140371493
1	spouse	6000000008971947305	Q75299369	6000000008971715921	Q5729332;Q75300076
