geni_id	qid	cjk_names	han_tokens	ko	ja_sourced	zh
4367599498460088311		满宽 黃 | 黃满宽	满宽 黃 黃满宽	만관 황 황만관		
4367604502840051100		果显 黃 | 黃果显	果显 黃 黃果显	과현 황 황과현		
4367609425930072648		珙兴 黃 | 黃珙兴	珙兴 黃 黃珙兴	공흥 황 황공흥		
4367614194510122873		华令 黃 | 黃华令	华令 黃 黃华令	화영 황 황화영		
4367617083260072827		文叶 黃 | 黃文叶	文叶 黃 黃文叶	문협 황 황문협		
4367622393300088525		鲁成 黃 | 黃鲁成	鲁成 黃 黃鲁成	노성 황 황노성		
4367627566350063997		昭 黃 | 黃昭	昭 黃 黃昭	소 황 황소		
4367630022810064284		鄂 黃 | 黃鄂	鄂 黃 黃鄂	악 황 황악		
4367632720620049202		丙 黃 | 黃丙	丙 黃 黃丙	병 황 황병		
4367636069120122805		衍微 黃 | 黃衍微	衍微 黃 黃衍微	연미 황 황연미		
4367641863210014163		敏通 黃 | 黃敏通	敏通 黃 黃敏通	민통 황 황민통		
4367647196480051004		敦复 黃 | 黃敦复	敦复 黃 黃敦复	돈복 황 황돈복		
4367649966710072993		光祖 黃 | 黃光祖	光祖 黃 黃光祖	광조 황 황광조		
4367653294920088176		玖 黃 | 黃玖	玖 黃 黃玖	구 황 황구		
4367659721400014637		孕 黃 | 黃孕	孕 黃 黃孕	잉 황 황잉		
4367664817430028632		署 黃 | 黃署	署 黃 黃署	서 황 황서		
4367668303790029126		鄂锜 黃 | 黃鄂锜	鄂锜 黃 黃鄂锜	악기 황 황악기		
4367673772950050610		惠 黃 | 黃惠	惠 黃 黃惠	혜 황 황혜		
4367677010220050445		敬唐 黃 | 黃敬唐	敬唐 黃 黃敬唐	경당 황 황경당		
4367686251610014630		固 黃 | 黃固	固 黃 黃固	고 황 황고		
4367689716970088486		友乔 黃 | 黃友乔	友乔 黃 黃友乔	우교 황 황우교		
4367696633560050566		祎南 黃 | 黃祎南	祎南 黃 黃祎南	의남 황 황의남		
4367702168130073092		初盛 黃 | 黃初盛	初盛 黃 黃初盛	초성 황 황초성		
4367705074270048982		谟 黃 | 黃谟	谟 黃 黃谟	모 황 황모		
4367720359130050547		立言 黃 | 黃立言	立言 黃 黃立言	입언 황 황입언		
4367726375240072708		藩 黃 | 黃藩	藩 黃 黃藩	번 황 황번		
4367731664240049052		文 黃 | 黃文	文 黃 黃文	문 황 황문		
4367735194370088101		洙 黃 | 黃洙	洙 黃 黃洙	수 황 황수		
4367741406530123181		源 黃 | 黃源	源 黃 黃源	원 황 황원		
4367746879700014418		宜韶 黃 | 黃宜韶	宜韶 黃 黃宜韶	의소 황 황의소		
4367752975240088126		石虞 黃 | 黃石虞	石虞 黃 黃石虞	석우 황 황석우		
4367799027120088577		修 黃 | 黃修	修 黃 黃修	수 황 황수		
4367806361940088429		颜 黃 | 黃颜	颜 黃 黃颜	안 황 황안		
4367811448850072829		绮 黃 | 黃绮	绮 黃 黃绮	기 황 황기		
4367813910820028641		渊 黃 | 黃渊	渊 黃 黃渊	연 황 황연		
4367817762920088126		秉 黃 | 黃秉	秉 黃 黃秉	병 황 황병		
4367823696530029180		畅 黃 | 黃畅	畅 黃 黃畅	창 황 황창		
4367831129870051198		正 黃 | 黃正	正 黃 黃正	정 황 황정		
4367836969510123202		应 黃 | 黃应	应 黃 黃应	응 황 황응		
4367843319620028861		邺 黃 | 黃邺	邺 黃 黃邺	업 황 황업		
4367849529660028609		龙 黃 | 黃龙	龙 黃 黃龙	용 황 황용		
4367852778420088353		刚中 黃 | 黃刚中	刚中 黃 黃刚中	강중 황 황강중		
4367859247280063538		要 黃 | 黃要	要 黃 黃要	요 황 황요		
4367862615040050600		模 黃 | 黃模	模 黃 黃模	모 황 황모		
4367869147100123247		侠仙 黃 | 黃侠仙	侠仙 黃 黃侠仙	협선 황 황협선		
4367872321890063557		所 黃 | 黃所	所 黃 黃所	소 황 황소		
4367878377590035155		寿 黃 | 黃寿	寿 黃 黃寿	수 황 황수		
4367884018170049523		俞 黃 | 黃俞	俞 黃 黃俞	유 황 황유		
4367887145010035791		函 黃 | 黃函	函 黃 黃函	함 황 황함		
4367890111090064154		凯 黃 | 黃凯	凯 黃 黃凯	개 황 황개		
4367892713910035040		冕 黃 | 黃冕	冕 黃 黃冕	면 황 황면		
4367895710950123642		厚 黃 | 黃厚	厚 黃 黃厚	후 황 황후		
4367898244960123552		舒 黃 | 黃舒	舒 黃 黃舒	서 황 황서		
4367900916370035527		最 黃 | 黃最	最 黃 黃最	최 황 황최		
4367908839000014329		奇 黃 | 黃奇	奇 黃 黃奇	기 황 황기		
4367911737050014525		嘉 黃 | 黃嘉	嘉 黃 黃嘉	가 황 황가		
4367914676290123740		南陆 黃 | 黃南陆	南陆 黃 黃南陆	남육 황 황남육		
4367921425350064097		陆终 黃 | 黃陆终	陆终 黃 黃陆终	육종 황 황육종		
4367925489970035269		吴回 黃 | 黃吴回	吴回 黃 黃吴回	오회 황 황오회		
4367928252130063882		卷章 黃 | 黃卷章	卷章 黃 黃卷章	권장 황 황권장		
4367931290840029397		伯益 黃 | 黃伯益	伯益 黃 黃伯益	백익 황 황백익		
4367937257320049612		皋陶 黃 | 黃皋陶	皋陶 黃 黃皋陶	고도 황 황고도		
4367943317830050602		大业 黃 | 黃大业	大业 黃 黃大业	대업 황 황대업		
4367946411990063951		称 黃 | 黃称	称 黃 黃称	칭 황 황칭		
4367959496500014505		颛顼 姬 | 姬颛顼	颛顼 姬 姬颛顼	전욱 희 희전욱		
4571609738370037583		彩雲 邱	彩雲 邱	채운 구		
4805363072210025258		亞若 章	亞若 章	아약 장		
4805365529160124538		孝慈 章 ♊	孝慈 章	효자 장		
5585043251410027169		洪義 陳	洪義 陳	홍의 진		
5585058808700067045		匡義 陳	匡義 陳	광의 진		
5585058821260067052		蠲公 陳	蠲公 陳	견공 진		
5585141496780072278		俊義 陳	俊義 陳	준의 진		
5585264496830120466		征公 陳	征公 陳	정공 진		
5585289720980105350		元達 陳	元達 陳	원달 진		
5585304282340085095		仲寓 陳 | 仲禹 陳	仲寓 陳 仲禹 陳	중우 진 중우 진		
5585318411320045561		仲弼 陳	仲弼 陳	중필 진		
5585318494340045567		喜公 陳 | 喜 陳	喜公 陳 喜 陳	희공 진 희 진		
5585331872090085401		仲志 陳	仲志 陳	중지 진		
5585667847100045951		元通 陳	元通 陳	원통 진		
5585696322060027118		元道 陳	元道 陳	원도 진		
5585711141710107295		元遠 陳	元遠 陳	원원 진		
5585750659800067792		慶公 陳 | 陳慶公, 111, 70, 23, 10	慶公 陳	경공 진		
5585763104500111593		饒公 陳 | 陳饒公, 112, 71, 24, 11	饒公 陳	요공 진		
5585861533330057910		禄公 陳	禄公 陳	녹공 진		
5585879627810085849		福生 陳	福生 陳	복생 진		
5585892731670107144		福養 陳	福養 陳	복양 진		
5585905696580027639		福貴 陳	福貴 陳	복귀 진		
5586107344060107473		肇公 陳	肇公 陳	조공 진		
5586119881400030561		黯公 陳	黯公 陳	암공 진		
5586133431310139764		仁暖 陳	仁暖 陳	인난 진		
5586155541450106913		仁煦 陳	仁煦 陳	인후 진		
5586173297700121847		仁旴 陳	仁旴 陳	인우 진		
5586185862310046393		光彖 陳	光彖 陳	광단 진		
5586198385680030437		光著 陳	光著 陳	광저 진		
5586210356080057276		光憲 陳	光憲 陳	광헌 진		
5586379328060067525		恭公 陳	恭公 陳	공공 진		
5586379346180067532		丞公 陳 | 丞 陳	丞公 陳 丞 陳	승공 진 승 진		
5586392474450085841		仲友 陳	仲友 陳	중우 진		
5586406437010068095		仲規 陳	仲規 陳	중규 진		
5593903896650124903		聞公 陳 | 聞 陳	聞公 陳 聞 陳	문공 진 문 진		
5593916385650057493		茹公 陳	茹公 陳	여공 진		
5593916397370057400		儔公 陳 | 俦 陳	儔公 陳 俦 陳	주공 진 주 진		
5593927694600057906		嘉公 陳	嘉公 陳	가공 진		
5593954651670114060		夷則 陳	夷則 陳	이칙 진		
5594304127190058077		壽公 陳 | 陳壽公, 105, 64, 17, 4	壽公 陳	수공 진		
5594311221080130570		玄禮 陳	玄禮 陳	현예 진		
5594324984540068966		元禮 陳	元禮 陳	원예 진		
6000000000024087515		范公 陳	范公 陳	범공 진		
6000000000032217822		锦公 陳	锦公 陳	금공 진		
6000000000032272824		霸柄 陳	霸柄 陳	패병 진		
6000000000032319880		岩公 陳	岩公 陳	암공 진		
6000000000032533493		霸隆 陳	霸隆 陳	패융 진		
6000000000032542713		铭公 陳	铭公 陳	명공 진		
6000000000032545216		伯亮 陳	伯亮 陳	백양 진		
6000000000032556160		锜公 陳	锜公 陳	기공 진		
6000000000032560325		霸图 陳	霸图 陳	패도 진		
6000000000032572201		伯高 陳	伯高 陳	백고 진		
6000000000035623990		霸姶 陳	霸姶 陳	패압 진		
6000000000035757522		霸先 陳	霸先 陳	패선 진		
6000000000035785218		尚之 陳	尚之 陳	상지 진		
6000000000035785991		天生 陳	天生 陳	천생 진		
6000000000035802784		天麟 陳	天麟 陳	천인 진		
6000000000035803423		康之 陳	康之 陳	강지 진		
6000000000035807708		季麟 陳	季麟 陳	계인 진		
6000000000035831436		顯逵 陳	顯逵 陳	현규 진		
6000000000035834308		公 陳	公 陳	공 진		
6000000000035849538		顼公 陳	顼公 陳	욱공 진		
6000000000035861072		休之 陳	休之 陳	휴지 진		
6000000000035862155		椽公 陳	椽公 陳	연공 진		
6000000000035900055		顯達 陳	顯達 陳	현달 진		
6000000000035979360		季凤 陳	季凤 陳	계봉 진		
6000000000035979427		季祥 陳	季祥 陳	계상 진		
6000000000036056012		伯昌 陳	伯昌 陳	백창 진		
6000000000037189174		津公 陳	津公 陳	진공 진		
6000000000037714810		伯华 陳	伯华 陳	백화 진		
6000000000037776924		伯驪 陳	伯驪 陳	백여 진		
6000000000037784600		果义 陳	果义 陳	과의 진		
6000000000037868931		敷公 陳	敷公 陳	부공 진		
6000000000037904163		果仁 陳	果仁 陳	과인 진		
6000000000037912252		果信 陳	果信 陳	과신 진		
6000000000037917859		敏公 陳	敏公 陳	민공 진		
6000000000037919752		克运 陳	克运 陳	극운 진		
6000000000037922242		果智 陳	果智 陳	과지 진		
6000000000037940096		果礼 陳	果礼 陳	과예 진		
6000000000037951471		克耕 陳	克耕 陳	극경 진		
6000000000037964444		克飞 陳	克飞 陳	극비 진		
6000000000038052192		元光 陳	元光 陳	원광 진		
6000000000038063114		政公 陳	政公 陳	정공 진		
6000000000098518870		泰 玄伯 潁川許昌	泰 玄伯 潁川許昌	태 현백 영천허창		
6000000000098634962		宗尧 陳	宗尧 陳	종요 진		
6000000000098644784		寔 仲弓 潁川許縣	寔 仲弓 潁川許縣	식 중궁 영천허현		
6000000000098646947		祈山 陳	祈山 陳	기산 진		
6000000000098656940		道沅 陳	道沅 陳	도원 진		
6000000000098668740		世珍 陳	世珍 陳	세진 진		
6000000000098676533		群 長文 潁川許昌	群 長文 潁川許昌	군 장문 영천허창		
6000000000098682979		顿昌 陳	顿昌 陳	돈창 진		
6000000000098706477		引奇 陳	引奇 陳	인기 진		
6000000000098716469		紀 元方 潁川許昌	紀 元方 潁川許昌	기 원방 영천허창		
6000000000098721852		全温 陳	全温 陳	전온 진		
6000000000098724375		冲翘 陳	冲翘 陳	충교 진		
6000000000098724567		天爵 陳	天爵 陳	천작 진		
6000000000098729477		绶公 陳	绶公 陳	수공 진		
6000000000098768546		立贤 陳	立贤 陳	입현 진		
6000000000098768757		见深 陳	见深 陳	견심 진		
6000000000098770462		武公 陳	武公 陳	무공 진		
6000000000098774599		仲成 陳	仲成 陳	중성 진		
6000000000098788548		成子 陳	成子 陳	성자 진		
6000000000098799537		昭子 陳	昭子 陳	소자 진		
6000000000098804872		履 陳	履 陳	이 진		
6000000000098806942		璉 陳	璉 陳	연 진		
6000000000098825146		康晋 陳	康晋 陳	강진 진		
6000000000098829535		季子 陳	季子 陳	계자 진		
6000000000098845183		希古 陳	希古 陳	희고 진		
6000000000098846175		若海 陳	若海 陳	약해 진		
6000000000098880630		哀子 陳	哀子 陳	애자 진		
6000000000098895492		鱼公 陳	鱼公 陳	어공 진		
6000000000098904397		康子 陳	康子 陳	강자 진		
6000000000098924801		辉公 陳	辉公 陳	휘공 진		
6000000000098935030		孟琏 陳	孟琏 陳	맹연 진		
6000000000098943151		公望 陳	公望 陳	공망 진		
6000000000099015603		伯成 陳	伯成 陳	백성 진		
6000000000099019122		宪公 陳	宪公 陳	헌공 진		
6000000000099046911		伯公 陳	伯公 陳	백공 진		
6000000000099078119		武子 陳	武子 陳	무자 진		
6000000000099101022		衍 21 | 衍	衍 衍	연 연		
6000000000099136412		璵 陳	璵 陳	여 진		
6000000000099166194		從善 陳	從善 陳	종선 진		
6000000000099173402		從古 陳	從古 陳	종고 진		
6000000000099185753		湯 陳	湯 陳	탕 진		
6000000000099199139		周昌 陳	周昌 陳	주창 진		
6000000000099222057		裔公 陳	裔公 陳	예공 진		
6000000000099222766		澄公 陳	澄公 陳	징공 진		
6000000000099224596		平公 陳	平公 陳	평공 진		
6000000000099228756		子遠 陳	子遠 陳	자원 진		
6000000000099254036		德紹 陳	德紹 陳	덕소 진		
6000000000099254595		述公 陳	述公 陳	술공 진		
6000000000099293420		凭公 陳	凭公 陳	빙공 진		
6000000000099324192		考 陳	考 陳	고 진		
6000000000099423044		原仁 陳	原仁 陳	원인 진		
6000000000099442110		勋公 陳	勋公 陳	훈공 진		
6000000000099449661		公子过 陳	公子过 陳	공자과 진		
6000000000099458049		與京 陳	與京 陳	여경 진		
6000000000099639642		公子黄 陳	公子黄 陳	공자황 진		
6000000000099898282		太子禦夏 陳	太子禦夏 陳	태자어하 진		
6000000000099901032		司徒招 陳	司徒招 陳	사도초 진		
6000000000099921566		夷公說 陳	夷公說 陳	이공설 진		
6000000000099929224		太子免 陳	太子免 陳	태자면 진		
6000000000099929739		完寇 田	完寇 田	완구 전		
6000000000099959205		公子子 陳	公子子 陳	공자자 진		
6000000000100001028		躍 嬀姓	躍 嬀姓	약 규성		
6000000000100607790		畴公 陳	畴公 陳	주공 진		
6000000000100675961		祐公 陳	祐公 陳	우공 진		
6000000000100690776		忠 孝先 潁川許縣	忠 孝先 潁川許縣	충 효선 영천허현		
6000000000100694784		談 陳	談 陳	담 진		
6000000000100700627		训公 陳	训公 陳	훈공 진		
6000000000100736655		締 陳	締 陳	체 진		
6000000000100767799		唐公 陳	唐公 陳	당공 진		
6000000000100853086		声公 陳	声公 陳	성공 진		
6000000000100902118		諶 季方 潁川許縣	諶 季方 潁川許縣	심 계방 영천허현		
6000000000104035781		滿 | 陳氏始祖 胡公滿	滿 陳氏始祖 胡公滿	만 진씨시조 호공만		
6000000000104210392		臯羊 嬀姓	臯羊 嬀姓	고양 규성		
6000000000104251063		犀侯 媯姓	犀侯 媯姓	서후 규성		
6000000000135773735		太姬 姬 | 太姬 | 大姬	太姬 姬 太姬 大姬	태희 희 태희 대희		
6000000000139615941		邘叔 姬	邘叔 姬	우숙 희		
6000000000211897857		武子 田	武子 田	무자 전		
6000000000211910741		厘子 田	厘子 田	이자 전		
6000000000211982974		和 田	和 田	화 전		
6000000000212006527		莊 田	莊 田	장 전		
6000000000212039671		白 田	白 田	백 전		
6000000000212054246		夷 田	夷 田	이 전		
6000000000212077256		文子 田	文子 田	문자 전		
6000000000212171217		灌 田	灌 田	관 전		
6000000000212178016		桓子 田	桓子 田	환자 전		
6000000000212191982		接 陳 | 接 陳 陳接	接 陳 接 陳 陳接	접 진 접 진 진접		
6000000000212210885		普 陳 | 普 陳 陳普	普 陳 普 陳 陳普	보 진 보 진 진보		
6000000000212213083		襄子 田	襄子 田	양자 전		
6000000000212220884		清 陳	清 陳	청 진		
6000000000212229911		審 陳 | 審 陳 陳審	審 陳 審 陳 陳審	심 진 심 진 진심		
6000000000212239448		因齊 田	因齊 田	인제 전		
6000000000212240588		餘 陳	餘 陳	여 진		
6000000000212255243		悼子 田	悼子 田	도자 전		
6000000000212263425		辟疆 田	辟疆 田	피강 전		
6000000000212264399		建 田	建 田	건 전		
6000000000212264820		桉 陳 | 桉 陳 陳桉	桉 陳 桉 陳 陳桉	안 진 안 진 진안		
6000000000212280572		軫 陳	軫 陳	진 진		
6000000000212283399		法章 田	法章 田	법장 전		
6000000000212312659		通 陳	通 陳	통 진		
6000000000212328453		軌 陳	軌 陳	궤 진		
6000000000212338635		黎 陳	黎 陳	여 진		
6000000000212338721		源 陳	源 陳	원 진		
6000000000212343187		地 田	地 田	지 전		
6000000000212373601		民 陳	民 陳	민 진		
6000000000212384583		實 陳	實 陳	실 진		
6000000000212402528		愿 陳	愿 陳	원 진		
6000000000212578107		恒 陳	恒 陳	항 진		
6000000000302327795		明福 邱	明福 邱	명복 구		
6000000000302332878		天英 邱 | 邱天英	天英 邱 邱天英	천영 구 구천영		
6000000000302343787		金叶 黄 | 黄金叶	金叶 黄 黄金叶	금협 황 황금협		
6000000000302992294		凤英 陈 | 陈凤英	凤英 陈 陈凤英	봉영 진 진봉영		
6000000000396240300		伦抖	伦抖	윤두		
6000000000396266438		登梯	登梯	등제		
6000000000396306174		玉梅 黄 | 黄玉梅	玉梅 黄 黄玉梅	옥매 황 황옥매		
6000000000608922221		舉	舉	거		
6000000000608922241		奢	奢	사		
6000000000608922253		員 子胥	員 子胥	원 자서		
6000000000608922265		尚	尚	상		
6000000000657555139		舜 有虞氏	舜 有虞氏	순 유우씨		
6000000000790382584		秉通	秉通	병통		
