score,side,frontier_geni,frontier_label,frontier_year,candidate_father_geni,candidate_father_label,candidate_year,candidate_place
3,mother,6000000007140194261,Kristina Johansdotter,1711,388325917570007375,Johan Falkenberg af Trystorp,1670,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000011390596873,Johan Fredrik Fredriksson Paykull,1692,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000004298329265,Johan Filip Makeléer,1691,Göteborg
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000012640838674,Johan Hastfehr till Sonnäs,1692,Ulvsby
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000022954411174,Johan Christoffer von Rosen,1687,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000003272813590,Johan Lorentzon Höjer,1693,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000004297770956,Johan Jacob Makeléer,1670,Göteborg
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000025905026258,Johan Axelsson Stierna,1693,Fylleryd
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000202301706821,Johan Adolf Stålhammar,1691,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000218227208009,Johan Wrangel,1662,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000202006614007,Johan Fredrik Krebs,1687,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000008540415143,Johan Christoffer von Rosen,1687,Harbroholm
3,mother,6000000011546871915,Ingrid Ericsdotter,1720,6000000019461265795,Eric Dubb,1703,
3,mother,6000000017945282122,Jon Persson,1727,6000000013173722518,Per Linnerius Linnerhielm,1706,
3,mother,6000000017945282122,Jon Persson,1727,6000000007675810814,Per Staffan Cederschiöld,1705,Sjösås (G)
3,mother,6000000017945282122,Jon Persson,1727,6000000018590478210,Per Gyllensvärd,1688,
3,mother,6000000017945282122,Jon Persson,1727,6000000079183163847,Per Hansson Silfverswärd,1703,Kroksgården
3,mother,6000000017945282122,Jon Persson,1727,6000000189986374844,Per Reinhold Tersmeden,1710,
3,mother,6000000017945282122,Jon Persson,1727,6000000006127582287,Per Abrahamsson Brahe,1701,
3,mother,6000000173443464864,Catharina Svensdotter,1747,6000000039712490635,Sven Hahl,1695,
3,mother,6000000173443464864,Catharina Svensdotter,1747,6000000017807246706,Sven Thure Leijonsköld,1728,
3,mother,6000000173443464864,Catharina Svensdotter,1747,6000000006127705669,Sven Duwall,1696,
3,mother,6000000173443464858,Lars Persson,1752,6000000013173722518,Per Linnerius Linnerhielm,1706,
3,mother,6000000173443464858,Lars Persson,1752,6000000007675810814,Per Staffan Cederschiöld,1705,Sjösås (G)
3,mother,6000000173443464858,Lars Persson,1752,6000000007004776293,Per von Christierson,1732,Suomenlinna
3,mother,6000000173443464858,Lars Persson,1752,6000000218696437144,Per Gyllensvärd,1712,
3,mother,6000000173443464858,Lars Persson,1752,4094530940810023984,Per Löfman,1734,Bofors bruk
3,mother,6000000173443464858,Lars Persson,1752,6000000016271491446,Per Berle,1731,
3,mother,6000000173443464858,Lars Persson,1752,6000000079183163847,Per Hansson Silfverswärd,1703,Kroksgården
3,mother,6000000173443464858,Lars Persson,1752,6000000022752270889,Per Evert Vilhelm von Liphardt,1723,Sundsholm
3,mother,6000000173443464858,Lars Persson,1752,6000000129467863984,Per Lenck,1724,Sjöbolet
3,mother,6000000173443464858,Lars Persson,1752,6000000189986374844,Per Reinhold Tersmeden,1710,
3,mother,6000000173443464858,Lars Persson,1752,6000000036635736423,Per Johan Andersson Rosenstråle,1731,Gishult
3,mother,6000000173443464858,Lars Persson,1752,6000000006127582287,Per Abrahamsson Brahe,1701,
3,mother,6000000178280536829,Stina Pehrsdotter,1756,6000000008638711288,Pehr Gardemeister,1720,Kourula
3,mother,6000000178280536829,Stina Pehrsdotter,1756,6000000039242844712,Pehr Gyllensvärd till Hössna,1737,
3,mother,6000000021132011052,Stina Jonsdotter,1794,6000000011757170597,Jon Stålhammar,1769,"Stenberga (F), Salshult"
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000026370368902,David de Bénéfice de Cheylus,1593,
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000016894608692,David Elphinstone,1585,
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000080237853958,David Hardie,1606,
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000078417785830,David Toscheach,1607,
3,father,6000000007635631013,Askjell Davidson Fjose,1629,5250508599270056838,David Leslie 1st Baron Newark,1601,Scotland
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000038774832834,David Tosheoch,1580,Loch Monzievaird
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000008964783970,David Stuart till Råckelsta,1595,Rockelsta Castle
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000022178096458,David Boswell,1587,"Auchinleck, Ayrshire, Scotland"
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000009688989912,David Douglas,1585,"Drumlanrig, Dumfries-shire, , Scotland"
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000119750983868,David Law,1589,
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000119750264929,David Law,1583,
3,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000025403027449,David Toshach,1610,
3,father,6000000178417040822,Knut Jakobsen Træfald,1641,6000000129051643845,Jakob Fugger Gf von Kirchberg und Weissenhorn,1606,Furth
3,father,6000000178417040822,Knut Jakobsen Træfald,1641,6000000008461900357,Jakob Johann Hanau-Münzenberg,1612,
3,father,6000000178417040822,Knut Jakobsen Træfald,1641,6000000003581829056,Jakob Kettler,1610,
3,father,6000000059763681849,Birgitte Eriksdatter,1650,6000000001317629855,Erik Henriksson Tott,1602,
3,father,6000000059763681849,Birgitte Eriksdatter,1650,6000000001458058448,Erik Gustafsson Stenbock,1612,Göksholm
3,father,6000000002529074581,Ingeborg Paulsdatter,1755,6000000144466740821,Paul Johan von Essen,1701,
3,father,6000000002529074581,Ingeborg Paulsdatter,1755,6000000021080259165,Paul d'Albert de Luynes,1703,
3,father,6000000002529074581,Ingeborg Paulsdatter,1755,6000000004298358509,Paul Fraser,1731,"Inverness, Scotland"
3,father,6000000002529074581,Ingeborg Paulsdatter,1755,6000000031191403063,Paul Schlorf,1707,Örebro
3,father,6000000002529074581,Ingeborg Paulsdatter,1755,6000000212418210467,Paul Menard dit Bellerose,1729,"Boucherville, Chambly, Quebec, Canada"
3,father,6000000002529074581,Ingeborg Paulsdatter,1755,6000000007629324066,Paul Sigismund von Thurn und Valsassina,1701,
2,mother,6000000013289307576,Anna Jansdotter,1639,6000000148403572821,Jan Oleśnicki h. Dębno,1612,
2,mother,6000000177943021895,Jon Jonson,1662,6000000007725406329,Jon Larsson,1637,
2,mother,6000000010723945448,Per Persson,1665,6000000024197146277,Per Höijer,1647,
2,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000006595705208,Erik Petré,1658,"Tönningen, Tyskland"
2,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000005758367750,Erik Gustaf Göransson Soop,1654,
2,mother,6000000177921654827,Carin Johansdotter,1704,6000000021106767963,Johan Johansson Gyllensting,1654,
2,mother,6000000177921654827,Carin Johansdotter,1704,6000000180674826955,Johan Christienssen,1653,
2,mother,6000000177921654827,Carin Johansdotter,1704,6000000039841111639,Johan Göran Irving,1655,
2,mother,6000000177921654827,Carin Johansdotter,1704,6000000185616439845,Johan Henrik Aminoff,1667,
2,mother,6000000177921654827,Carin Johansdotter,1704,6000000039747826911,Johan Jakob von Neüman,1660,
2,mother,6000000178278275935,Anna Eriksdotter,1707,6000000006595705208,Erik Petré,1658,"Tönningen, Tyskland"
2,mother,6000000178278275935,Anna Eriksdotter,1707,6000000005758367750,Erik Gustaf Göransson Soop,1654,
2,mother,6000000007140194261,Kristina Johansdotter,1711,6000000185616439845,Johan Henrik Aminoff,1667,
2,mother,6000000007140194261,Kristina Johansdotter,1711,6000000039747826911,Johan Jakob von Neüman,1660,
2,father,6000000025890654976,Ingebjørg Simonsdatter,1325,6000000017290941399,Simon II. von Teck,1297,
2,father,6000000007635631013,Askjell Davidson Fjose,1629,6000000013088791477,David Graeme,1606,
2,father,6000000178417040822,Knut Jakobsen Træfald,1641,6000000011655846311,Jakob Jakobsson Sabelhierta,1625,
1,mother,6000000191728221869,Kristina Gustavsdotter,1609,6000000006727749794,Gustav von Ostfriesland,1565,"Of Aurich,Hannover,Prussia"
1,mother,6000000191728221869,Kristina Gustavsdotter,1609,6000000006127657919,Gustav av Sverige Vasa,1587,
1,mother,6000000013199613421,Måns Olofsson,1659,6000000011050718862,Olof Zelow,1608,"Virum,"
1,mother,6000000013199806430,Maria Jönsdotter,1659,6000000105520786862,Jon Andersson,1634,Tummetorp/Tomtorp
1,mother,6000000001721459003,Ingri Eriksdotter,1674,6000000059620425081,Erik Mellin,1637,
1,mother,6000000001721459003,Ingri Eriksdotter,1674,6000000001318469066,Erik Andersson Koskull,1645,
