birth_year	our_children	qid	geni_id
1790	1	Q123020806	6000000022242592720
1789	1	Q50589347	6000000006258060048
1788	1	Q2870978	6000000022260000296
1788	1	Q87195604	6000000013165886478
1788	1	Q96089732	6000000013181882493
1786	2	Q103955372	6000000015963562936
1786	1	Q107712614	6000000008715413131
1785	1	Q63000	6000000002159471272
1784	2	Q114406405	6000000012251864242
1784	1	Q104778612	6000000019853037648
1784	1	Q3420641	6000000022243215423
1784	1	Q55848319	6000000010860560951
1784	1	Q78027	6000000006283136493
1784	1	Q96089731	6000000013181973248
1782	1	Q106231	6000000003043382639
1781	1	Q86715016	6000000024805514861
1781	1	Q96089736	6000000008200946933
1779	1	Q4944366	6000000007753195350
1778	1	Q12058695	6000000016316633877
1778	1	Q2268227	6000000003988465133
1776	1	Q170195	6000000004120140055
1776	1	Q453183	6000000003631805192
1775	1	Q1508382	6000000031553028290
1775	1	Q233603	6000000007279679730
1774	4	Q80211782	6000000021455799013
1774	3	Q121888403	6000000015951880903
1774	1	Q652514	6000000001924256022
1773	1	Q260505	6000000004146159748
1771	2	Q103955471	6000000004569733131
1770	2	Q242153	6000000002188425916
1769	1	Q261809	6000000001504605876
1769	1	Q296023	6000000004868768394
1768	2	Q699481	6000000000307247354
1768	1	Q20169591	5260337053690119273
1768	1	Q335133	6000000004868349188
1768	1	Q5779121	6000000007464386541
1767	1	Q65088	6000000003631840010
1767	1	Q676301	6000000002749967389
1765	2	Q234249	6000000007329688407
1764	1	Q5488598	6000000019853536785
1763	1	Q215903	6000000005599165460
1763	1	Q87461171	6000000028516229594
1762	1	Q3291494	6000000025902399573
1762	1	Q333011	6000000026162057884
1762	1	Q571815	6000000002632289156
1760	1	Q120753316	6000000041003864033
1759	2	Q58023	5415727940560046047
1759	1	Q131448031	6000000012772280250
1759	1	Q175250	6000000000197671407
1759	1	Q3297310	6000000014547659327
1759	1	Q7795886	6000000006802379363
1757	1	Q108840586	6000000012914974187
1757	1	Q3271730	6000000078492499012
1757	1	Q61489	6000000001535193225
1756	3	Q44319	5293715035170060525
1756	2	Q116970464	6000000018868491358
1756	1	Q121686688	6000000002246800379
1756	1	Q2978315	5260333350470072713
1755	1	Q108840585	6000000018829881323
1755	1	Q60522	6000000002122357427
1754	2	Q123224250	6000000007443424832
1754	1	Q2328783	6000000014127845342
1754	1	Q237730	6000000002122428080
1753	1	Q155734	6000000013792504552
1753	1	Q2287657	6000000077654426877
1753	1	Q233888	6000000000770008154
1751	2	Q229854	6000000003365734679
1751	1	Q104537633	6000000007454774610
1751	1	Q235663	6000000000307247176
1751	1	Q58003	4030332842630031152
1750	1	Q237663	6000000007387312494
1750	1	Q455554	6000000001534967306
1750	1	Q75439820	6000000016316829515
1750	1	Q96207667	6000000002860967961
1750	1	Q96207675	6000000002860967967
1749	1	Q96817334	6000000002498661114
1748	1	Q312215	4030318711310035066
1748	1	Q76022367	6000000012395841408
1747	1	Q311637	6000000000770008138
1747	1	Q5363368	6000000023968694730
1746	1	Q455182	6000000002393503500
1746	1	Q55133753	6000000062444008869
1745	1	Q111338262	6000000013725263505
1745	1	Q96083119	6000000002590593047
1745	1	Q96778938	6000000009649553352
1744	2	Q161159	6000000003891728922
1744	1	Q152229	6000000004178657304
1744	1	Q356899	6000000021623395130
1744	1	Q50607479	6000000003477369115
1743	1	Q256638	6000000001545757264
1742	1	Q6076183	6000000010143601647
1739	1	Q107858863	6000000007378184286
1739	1	Q96778937	6000000009649389624
1738	1	Q60657	6000000002188470324
1738	1	Q96817332	6000000002498291852
1737	1	Q3660163	6000000013377904498
1737	1	Q96243454	6000000013650862203
1736	1	Q3620733	6000000005286263021
1736	1	Q75764497	328061686980006956
1736	1	Q96056	6000000013375634043
1735	1	Q112257824	6000000036150974155
1735	1	Q3758414	6000000003230156365
1735	1	Q664164	6000000000307247336
1734	1	Q107844910	6000000007377174219
1734	1	Q349948	6000000004417841024
1734	1	Q98067231	6000000001816698077
1732	1	Q110730213	5234696512540065153
1732	1	Q54019	6000000002143472001
1732	1	Q725907	6000000002330374018
1729	1	Q36450	4215208366090031541
1729	1	Q88301558	6000000008482310136
1728	1	Q151789	6000000003628136249
1728	1	Q20935263	6000000007329673592
1728	1	Q55857634	6000000016309696200
1727	1	Q3557448	6000000014089295670
1725	1	Q532329	4547614728790128039
1725	1	Q88382564	6000000001180084502
1724	2	Q110278736	6000000008652857956
1724	1	Q104553516	6000000006590349117
1724	1	Q112257794	6000000180662196880
1724	1	Q61649	362897660870013195
1724	1	Q88328510	6000000008482640718
1723	1	Q3560278	6000000011518704912
1722	1	Q113517480	6000000015014536551
1722	1	Q3963952	6000000001369274248
1722	1	Q58020	6000000002188425967
1722	1	Q61869697	5260298344270110198
1721	1	Q106026159	4397804492160084260
1721	1	Q1761009	6000000005285721009
1719	1	Q44472811	6000000011671590394
1719	1	Q87195930	4397794490340051374
1719	1	Q96236535	6000000001383982010
1717	1	Q75243647	6000000011811042211
1716	1	Q114746790	349777071610011645
1716	1	Q61940430	6000000001180239409
1715	1	Q124001101	6000000008127773717
1714	1	Q177901	6000000025426403600
1714	1	Q3086122	6000000008670664805
1713	3	Q103953203	3736534
1713	1	Q96236522	6000000002410520291
1711	2	Q99638952	6000000004993664736
1711	1	Q108104186	6000000029700154565
1711	1	Q125636705	6000000006802866886
1711	1	Q20935088	4209380
1709	1	Q75418692	6000000014528352639
1708	1	Q96236513	6000000002410441621
1708	1	Q96236533	6000000001383982001
1707	1	Q18922113	6000000001367469470
1706	1	Q96985005	6000000004630921776
1704	1	Q16738488	5582190420530072604
1703	1	Q75420741	6000000013153990695
1702	1	Q18508318	6000000020504452438
1702	1	Q314817	6000000011626674938
1700	1	Q111917395	326703262150007779
1700	1	Q75764517	6000000003703332552
1699	1	Q6844857	4342797072590052504
1699	1	Q84276	5318646753630089420
1698	1	Q100949793	6000000000250537290
1696	1	Q110278739	6000000021689798798
1696	1	Q259725	4213961359040031541
1696	1	Q53438	5318646737330089414
1696	1	Q7411923	6000000001959236981
1695	1	Q96370973	4161037
1692	2	Q115574924	6000000002033515458
1692	2	Q88629539	6000000004089598210
1692	1	Q229867	5318340704530041555
1691	1	Q15452585	6000000003703351263
1691	1	Q5724793	6000000119699074824
1691	1	Q57528	6000000004170383455
1690	1	Q98057995	6000000003221182362
1690	1	Q98058000	6000000002860905983
1690	1	Q98058010	6000000008497098565
1689	1	Q100490297	6000000002870133154
1689	1	Q115573983	6000000045952238337
1689	1	Q1799553	6000000011795470733
1689	1	Q235121	6000000001299405508
1688	1	Q105013	311771392100007035
1688	1	Q96209397	6000000003434594713
1688	1	Q96304810	6000000006788771435
1687	1	Q161131	311769067160005759
1687	1	Q34564156	6000000004881527605
1687	1	Q88206480	6000000000218725805
1686	2	Q75494805	6000000006255301031
1686	1	Q105877490	6000000002870159621
1686	1	Q116179716	6000000003639240845
1685	1	Q100447614	6000000000110207478
1685	1	Q150665	6000000004170403499
1685	1	Q96209398	6000000008439248687
1684	2	Q107182424	6000000006440660159
1684	1	Q105098144	6000000007852330661
1684	1	Q115573842	6000000027841560324
1684	1	Q126101309	6000000007601797849
1683	1	Q116179713	6000000002872290966
1683	1	Q116811522	6000000001713407235
1683	1	Q131981	4555899
1683	1	Q170467	5318340685370041549
1683	1	Q6423363	6000000000718389713
1683	1	Q76961	4555944
1683	1	Q88234032	6000000005229759223
1683	1	Q96304803	6000000012934788262
1682	2	Q75494806	6000000005784625307
1682	2	Q98058003	6000000000956736301
1682	1	Q99901816	6000000001531449088
1681	1	Q104444191	6000000002487924146
1681	1	Q34564432	6000000002696690533
1681	1	Q96652522	6000000006295782906
1680	2	Q96602549	6000000039889564465
1680	1	Q551123	4213961327330041687
1680	1	Q84556502	6000000003075821529
1679	1	Q64207	6000000002459818207
1679	1	Q75291093	6000000113742583833
1678	1	Q123715192	6000000000323075916
1678	1	Q418544	6000000004439941017
1678	1	Q6228004	6000000004080224001
1678	1	Q7526634	6000000007355162261
1676	1	Q101422832	6000000003940274407
1676	1	Q122200875	6000000009449751910
1676	1	Q233610	6000000001469355416
1675	1	Q104444185	6000000002487645986
1675	1	Q97089476	6000000003077429795
1674	1	Q96288804	6000000000323076123
1674	1	Q97930377	6000000002810592149
1672	1	Q122441591	6000000000618758268
1672	1	Q131377880	6000000029605283805
1671	1	Q115573795	6000000003614578368
1671	1	Q96631685	6000000007401946406
1670	1	Q120142946	6000000000417247421
1670	1	Q121464319	6000000009968561996
1670	1	Q122441587	6000000000619035451
1669	1	Q115573743	6000000005619508138
1669	1	Q75494719	6000000000862321787
1669	1	Q96288801	6000000004086282247
1668	1	Q75500860	6000000000909283399
1666	1	Q105876632	6000000003481842035
1666	1	Q765660	6000000005239516529
1665	1	Q96214350	6000000014906819049
1665	1	Q96216574	6000000001540878604
1665	1	Q96318553	6000000000491098277
1664	1	Q100447597	6000000000695019518
1663	1	Q114797137	6000000000766103024
1663	1	Q120143025	6000000000834382998
1663	1	Q75240037	6000000005599183123
1661	1	Q105876616	6000000003481842027
1660	1	Q96236621	2076969
1660	1	Q98545377	6000000003914650852
1658	1	Q114746823	6000000000652561686
1657	1	Q113088904	6000000003137741824
1657	1	Q96318546	6000000006907028031
1657	1	Q99749889	6000000004547908339
1656	1	Q114761064	6000000004229255446
1655	3	Q101537636	6000000008260562416
1655	1	Q114761056	6000000007107742475
1655	1	Q8003835	6000000000250993446
1654	1	Q127445436	6000000005404186334
1654	1	Q187888	4517883609800058117
1653	6	Q26724	6000000087467601863
1652	1	Q109367339	6000000003301695178
1652	1	Q62217	6000000010827781790
1651	1	Q19325599	6000000004993462200
1651	1	Q90055365	6000000006788784443
1651	1	Q90059764	6000000007562788024
1651	1	Q96318550	6000000001540769189
1649	1	Q2850949	6000000029590611622
1647	1	Q101423697	6000000003198295091
1647	1	Q99212386	6000000003938648751
1647	1	Q99212396	6000000003941006549
1645	4	Q61197764	6000000002404704764
1645	1	Q120835486	6000000008308001488
1644	2	Q538128	6000000097034856257
1644	1	Q119853896	6000000018722723077
1644	1	Q75494816	6000000002401512275
1644	1	Q96198911	6000000001475223039
1643	1	Q96108349	6000000068540690093
1642	3	Q47292	4414000
1642	1	Q102162339	6000000015506425405
1641	1	Q75819160	378393585970004434
1641	1	Q96318543	334090189150013590
1640	2	Q102070213	6000000015538575344
1640	2	Q75243892	6000000007262938356
1640	1	Q113302323	6000000002929268496
1640	1	Q75577704	6000000006881234189
1640	1	Q86387486	4042319219530129585
1640	1	Q96243442	6000000006110954211
1639	1	Q107296684	6000000001353917369
1639	1	Q96215951	4152431880030024700
1638	1	Q108407938	6000000006444292551
1638	1	Q11978696	6000000005404138486
1638	1	Q96202051	6000000002498661959
1637	1	Q96217587	6000000002931119287
1635	1	Q1762948	6000000001952071108
1635	1	Q75819164	6000000000706030763
1634	1	Q16150356	6000000003940788406
1634	1	Q466404	6000000016115462699
1634	1	Q96916031	6000000041100352055
1634	1	Q96916034	6000000041100352060
1633	1	Q10312500	6000000006233039094
1633	1	Q6290631	6000000006442013492
1633	1	Q96377190	6000000003075827835
1632	1	Q96203201	4396241527600018185
1632	1	Q96217586	6000000002692011260
1632	1	Q96237595	6000000005771616320
1632	1	Q96243574	6000000003747073049
1631	1	Q236930	6000000003885198846
1631	1	Q75627960	6000000017975442363
1631	1	Q96216642	6000000005618746179
1631	1	Q97094274	6000000046668859882
1630	1	Q97094275	6000000006971518156
1629	2	Q99639049	1825658
1629	1	Q106637810	6000000003937461988
1629	1	Q110304285	4967611750730069271
1629	1	Q48720093	6000000003858651666
1628	1	Q104129022	6000000006376487243
1628	1	Q96209199	6000000003076443725
1627	5	Q63246	6000000003243210279
1627	1	Q100154000	358778627250010692
1627	1	Q110503412	6000000006444668998
1627	1	Q5339763	6000000085401639918
1627	1	Q75580967	6000000007286609736
1626	1	Q101422800	6000000006727984930
1626	1	Q109378517	6000000009428506894
1626	1	Q96202038	6000000006376515110
1625	3	Q96236723	6000000000252910562
1625	1	Q115923653	6000000001531375462
1625	1	Q455582	6000000007273357965
1625	1	Q96077371	6000000003458657029
1624	1	Q96244122	6000000007661415227
1623	1	Q104787705	6000000010868123355
1623	1	Q75578012	6000000000474908557
1623	1	Q96985055	6000000022553474531
1622	2	Q96985053	6000000006376446567
1622	1	Q5948935	6000000003732488988
1621	1	Q16209379	6000000008456516070
1621	1	Q97531962	6000000007809911404
1620	1	Q104537562	6000000000770072768
1619	1	Q568453	6000000007337941947
1619	1	Q96318548	6000000001170131087
1619	1	Q99335662	6000000000966187330
1618	1	Q16833647	6000000000112112674
1618	1	Q1757339	6000000001871290790
1618	1	Q96241508	6000000001455246048
1617	1	Q110304667	6000000001504387686
1617	1	Q75490473	6000000005741100494
1617	1	Q76355	6000000002053913237
1617	1	Q96237591	6000000015413133395
1617	1	Q96372107	6000000002930992494
1617	1	Q96476513	6000000000350982991
1616	1	Q110503411	6000000006444674024
1615	2	Q68262	6000000007271062531
1615	1	Q15485699	6000000002930827132
1615	1	Q76051287	6000000004957394178
1615	1	Q96476512	6000000004993408881
1615	1	Q96572793	6000000000326762933
1614	1	Q75494717	6000000002673019604
1614	1	Q76013982	6000000000724943490
1614	1	Q76161442	6000000006444515297
1613	2	Q71937	6000000011025949443
1613	1	Q96217469	6000000019429899239
1613	1	Q96372106	6000000006727985933
1612	1	Q12305807	6000000006119386220
1612	1	Q2601958	6000000006101312802
1612	1	Q75578123	6000000006444597982
1611	1	Q55238480	6000000056095653082
1610	1	Q10312355	6000000014642259575
1610	1	Q105878043	6000000002188045768
1610	1	Q16211658	6000000001287595269
1610	1	Q4821223	6000000004296770730
1609	2	Q75577627	6000000000436796701
1609	2	Q8211206	6000000001753229004
1609	1	Q4562013	6000000006600349260
1609	1	Q96354684	6000000003164765256
1608	3	Q644635	6000000000632013655
1607	1	Q336721	6000000006788201224
1607	1	Q7793796	6000000003077156406
1607	1	Q96241507	6000000001455150400
1606	1	Q370866	6000000003526937433
1606	1	Q96199879	6000000003077395261
1606	1	Q96354691	6000000002860732965
1606	1	Q97072207	6000000000845474324
1605	1	Q515767	6000000097562275946
1605	1	Q7341325	6000000004263674837
1605	1	Q7520047	304065794300008278
1605	1	Q75765886	6000000000796814453
1605	1	Q75926763	360238317540012487
1605	1	Q96237534	6000000005177215037
1605	1	Q97072178	6000000000795180389
1603	1	Q96237531	6000000005177209010
1602	2	Q96076727	6000000002556555186
1602	1	Q5498671	6000000000728012327
1602	1	Q6504718	6000000000769872628
1602	1	Q66364617	6000000002513723967
1601	3	Q270110	4543843
1601	1	Q105878046	6000000002928651226
1601	1	Q113296261	6000000035458509453
1601	1	Q50376686	6000000004038238155
1601	1	Q75501101	6000000009485731240
1601	1	Q75855320	6000000006175045287
1601	1	Q96199358	5658237485900100908
1600	1	Q1230432	6000000015073315176
1600	1	Q4498473	6000000020985273483
1600	1	Q85772018	6000000001560068058
1600	1	Q99220346	6000000003227239862
1599	2	Q1696679	6000000013492522461
1599	1	Q110304651	6000000001504844752
1598	3	Q7411088	6000000001553660296
1597	1	Q569335	6000000001504709429
1596	6	Q158252	304430340510004215
1595	1	Q99220336	6000000003184650575
1594	1	Q52938	6000000001368806207
1592	1	Q17066329	6000000000088517988
1592	1	Q28942936	6000000015186436061
1592	1	Q5480594	6000000002963758788
1591	1	Q78315440	6000000012042604202
1590	1	Q25184150	6000000001578788117
1590	1	Q5773597	6000000005945026062
1589	1	Q454851	6000000001380147514
1589	1	Q76169787	6000000000879468500
1589	1	Q94662236	6000000002545933782
1587	1	Q494863	6000000000896903379
1587	1	Q8020275	6000000005749660088
1585	1	Q106375012	6000000008507595214
1583	2	Q182779	6000000006653861012
1583	1	Q315846	6000000001548136270
1583	1	Q61912771	6000000003827496037
1583	1	Q76263149	6000000008522684476
1580	1	Q7411436	6000000000930323216
1578	2	Q96480384	6000000001712963819
1577	2	Q1447393	6000000010860611556
1576	3	Q257510	6000000001479577848
1576	1	Q375657	6000000001013932506
1573	3	Q62499	6000000003628047924
1570	1	Q75578125	6000000007728661298
1569	7	Q16715389	6000000027741816378
1569	1	Q6301364	6000000012042263080
1568	1	Q61177857	6000000015110173835
1567	2	Q65925	6000000003243247195
1567	1	Q116480274	868165
1566	2	Q1097265	6000000006797646030
1565	2	Q110083071	6000000013642398698
1565	2	Q16833570	6000000014723705368
1564	1	Q104969910	6000000010908216104
1563	2	Q11935499	6000000006727753243
1563	1	Q1246340	6000000006727778527
1561	1	Q75490451	6000000000664597674
1560	1	Q66645	6000000006250934792
1555	3	Q966628	6000000001841619252
1555	1	Q18328124	6000000001457787940
1554	4	Q90988	6000000009959700994
1554	1	Q100915950	6000000006444139054
1554	1	Q5945070	6000000001459981212
1553	1	Q8007174	6000000011852373485
1552	3	Q3026248	6000000015269045761
1552	1	Q5584481	6000000002395389417
1550	11	Q17485822	6000000001504367646
1550	3	Q66777934	6000000038091311986
1550	2	Q5571048	6000000012124448684
1550	2	Q81826292	6000000015268514100
1550	1	Q6184942	6000000001457868019
1549	4	Q16473103	6000000001389715469
1549	1	Q11995012	6000000002450434092
1548	1	Q16649637	4592410796700031770
1548	1	Q22000657	6000000001410972332
1547	2	Q983777	6000000001380087170
1546	3	Q57920	6000000001480249149
1546	2	Q2086776	6000000007605391351
1545	2	Q430950	6000000006727853995
1544	6	Q319870	6000000004304644718
1544	3	Q3336891	6000000013814215353
1544	2	Q110370440	6000000015090733415
1544	1	Q16946271	6000000010471450042
1544	1	Q76488	6000000006789628133
1542	1	Q2585599	6000000006127680262
1542	1	Q55851393	6000000010512883038
1540	3	Q21608503	6000000017341381028
1540	3	Q31191558	6000000003827464882
1537	6	Q2675612	6000000106968974883
1537	3	Q698977	6000000014051946310
1536	1	Q15082283	6000000006706547915
1536	1	Q75253606	6000000005320919029
1533	2	Q27230994	6000000063637158968
1532	1	Q119050	6000000011137896505
1531	3	Q15077286	6000000039799890012
1530	1	Q110860	6000000003827496060
1528	3	Q163551	376303206500005821
1528	2	Q229286	6000000000856408220
1528	1	Q108942409	6000000021337137639
1527	2	Q75253998	6000000012076169845
1527	1	Q687028	6000000001009256086
1526	2	Q94791427	6000000025095481229
1525	1	Q133311237	6000000018047941685
1525	1	Q61177512	6000000014114387219
1524	1	Q2334373	6000000000019192037
1520	6	Q26261711	6000000011810531722
1520	1	Q2478363	6000000028264100274
1520	1	Q6250307	6000000006444753308
1520	1	Q99659185	6000000006727785053
1517	2	Q5719563	6000000006444790538
1517	1	Q6080005	6000000005618053879
1516	2	Q727905	6000000003858695567
1515	1	Q532354	6000000012963636521
1511	1	Q234549	4104482
1510	2	Q17628639	6000000015646275885
1510	1	Q26877300	6000000004532046008
1510	1	Q75930724	6000000000654516179
1508	1	Q182637	6000000001465721422
1508	1	Q4020158	6000000008487245485
1505	1	Q2856841	6000000022648323321
1503	1	Q154998	4104411
1503	1	Q331575	5405903272180113463
1503	1	Q75273387	6000000096229186123
1501	1	Q6258753	6000000006444652001
1501	1	Q80823	6000000003702650070
1500	3	Q596078	6000000007066534006
1500	2	Q116866681	6000000021337842366
1500	2	Q1959796	6000000001536676173
1500	1	Q115249927	6000000001849202507
1500	1	Q1910451	6000000019051018526
1500	1	Q32500	6000000001095643277
1500	1	Q441864	6000000008874003686
1500	1	Q5086508	6000000014887395410
1500	1	Q64026357	6000000003515779615
1500	1	Q8007530	6000000001676757558
1500	1	Q88655711	6000000014934987909
